company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,grossppe,intangibleassets,longtermdebt,netppe,noncontrollinginterests,noncurrentdeferredrevenue,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,prepaidexpenses,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2012.0,Q2,,2011-09-30,2011-11-16 14:11:16+00:00,451000000.0,3965000000.0,1145000000.0,,-791000000.0,978000000.0,,2320000000.0,590000000.0,329000000.0,772000000.0,1786000000.0,,1308000000.0,2478000000.0,2523000000.0,57000000.0,,,507000000.0,,,,1028000000.0,1526000000.0,,,1733000000.0,3539000000.0,787000000.0,13321000000.0,4679000000.0,6676000000.0,4074000000.0,4679000000.0,4736000000.0,8585000000.0,13321000000.0,4122000000.0,4511000000.0,,-389000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2012.0,Q1,,2011-07-01,2011-08-12 16:52:26+00:00,483000000.0,4052000000.0,1232000000.0,,-648000000.0,1666000000.0,,2302000000.0,880000000.0,368000000.0,840000000.0,4062000000.0,,1254000000.0,2418000000.0,2513000000.0,58000000.0,,,540000000.0,,,,820000000.0,1467000000.0,,,2062000000.0,6448000000.0,430000000.0,16429000000.0,7713000000.0,7780000000.0,4233000000.0,7713000000.0,7771000000.0,8658000000.0,16429000000.0,6136000000.0,4425000000.0,,-389000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2013.0,FY,,2013-03-29,2015-06-05 13:47:40+00:00,373000000.0,3199000000.0,1425000000.0,,108000000.0,2054000000.0,0.0,2326000000.0,630000000.0,34000000.0,653000000.0,1516000000.0,,1116000000.0,2498000000.0,2184000000.0,26000000.0,,,501000000.0,,,,762000000.0,1743000000.0,,,420000000.0,1101000000.0,234000000.0,11251000000.0,3134000000.0,5673000000.0,3349000000.0,3134000000.0,3160000000.0,8091000000.0,11251000000.0,3394000000.0,4742000000.0,0.0,-401000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2013.0,Q3,,2012-12-28,2013-02-05 17:40:49+00:00,373000000.0,2939000000.0,1275000000.0,,-1112000000.0,2198000000.0,,2333000000.0,629000000.0,117000000.0,662000000.0,1523000000.0,,1160000000.0,2398000000.0,2264000000.0,20000000.0,,,360000000.0,,,,695000000.0,1898000000.0,,,481000000.0,2471000000.0,231000000.0,11260000000.0,3297000000.0,5618000000.0,3287000000.0,3297000000.0,3317000000.0,7943000000.0,11260000000.0,3378000000.0,4656000000.0,,-395000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2013.0,Q2,,2012-09-28,2012-11-06 14:58:57+00:00,386000000.0,3102000000.0,1276000000.0,,-1128000000.0,1850000000.0,,2345000000.0,607000000.0,46000000.0,712000000.0,1768000000.0,,12822000000.0,2399000000.0,2335000000.0,22000000.0,,,358000000.0,,,,905000000.0,1992000000.0,,,516000000.0,2038000000.0,988000000.0,23298000000.0,2863000000.0,5468000000.0,4015000000.0,2863000000.0,2885000000.0,8764000000.0,11649000000.0,15495000000.0,4749000000.0,,-392000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2013.0,Q1,,2012-06-29,2012-08-08 15:28:21+00:00,465000000.0,3252000000.0,1264000000.0,,-1207000000.0,1000000000.0,,2337000000.0,610000000.0,60000000.0,753000000.0,1721000000.0,,12112000000.0,1461000000.0,2359000000.0,50000000.0,,,362000000.0,,,,861000000.0,1966000000.0,,,547000000.0,1939000000.0,1257000000.0,21852000000.0,2678000000.0,4799000000.0,4409000000.0,2678000000.0,2728000000.0,8198000000.0,10926000000.0,14694000000.0,3789000000.0,,-391000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2014.0,FY,,2014-03-28,2015-06-08 10:35:52+00:00,394000000.0,2759000000.0,1094000000.0,,279000000.0,2443000000.0,0.0,2459000000.0,624000000.0,77000000.0,592000000.0,1667000000.0,,1077000000.0,2207000000.0,2031000000.0,32000000.0,,,557000000.0,,,,986000000.0,1219000000.0,,,426000000.0,1592000000.0,681000000.0,11389000000.0,3912000000.0,5628000000.0,3462000000.0,3912000000.0,3944000000.0,7445000000.0,11389000000.0,3730000000.0,3983000000.0,0.0,-418000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2014.0,Q3,,2013-12-27,2014-01-30 18:12:39+00:00,304000000.0,2735000000.0,1250000000.0,,-1001000000.0,2284000000.0,,2376000000.0,597000000.0,16000000.0,578000000.0,1688000000.0,,1064000000.0,2184000000.0,2029000000.0,27000000.0,,,507000000.0,,,,1037000000.0,1428000000.0,,,389000000.0,2736000000.0,637000000.0,11226000000.0,3698000000.0,5408000000.0,3382000000.0,3698000000.0,3725000000.0,7501000000.0,11226000000.0,3789000000.0,4119000000.0,,-413000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2014.0,Q2,,2013-09-27,2013-10-30 18:09:21+00:00,306000000.0,2823000000.0,1052000000.0,,-1397000000.0,2095000000.0,,2368000000.0,593000000.0,18000000.0,614000000.0,1474000000.0,,1075000000.0,2448000000.0,2086000000.0,38000000.0,,,494000000.0,,,,811000000.0,1686000000.0,,,409000000.0,2710000000.0,254000000.0,10773000000.0,3270000000.0,5327000000.0,2837000000.0,3270000000.0,3308000000.0,7465000000.0,10773000000.0,3360000000.0,4628000000.0,,-411000000.0
DXC Technology Co,CSC,6113F6JQLWIUGTBN1L36,23082,2014.0,Q1,,2013-06-28,2013-08-06 18:17:32+00:00,316000000.0,2880000000.0,1255000000.0,,-1424000000.0,1929000000.0,,2315000000.0,629000000.0,31000000.0,605000000.0,1444000000.0,,1098000000.0,2461000000.0,2114000000.0,19000000.0,,,494000000.0,,,,850000000.0,1720000000.0,,,551000000.0,2609000000.0,243000000.0,10866000000.0,3093000000.0,5360000000.0,3079000000.0,3093000000.0,3112000000.0,7754000000.0,10866000000.0,3392000000.0,4675000000.0,,-407000000.0
