company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,goodwill,grossppe,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,notereceivable,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othernoncurrentassets,othernoncurrentliabilities,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Celanese Corp,CE,5493007KZ3O535IUKS33,1306830,2011.0,Q2,,2011-06-30,2011-07-22 16:41:15+00:00,786000000.0,1027000000.0,-566000000.0,741000000.0,0.0,601000000.0,95000000.0,125000000.0,813000000.0,,238000000.0,2893000000.0,838000000.0,779000000.0,3273000000.0,0.0,434000000.0,414000000.0,1321000000.0,239000000.0,63000000.0,575000000.0,0.0,309000000.0,1277000000.0,2180000000.0,155000000.0,70000000.0,8919000000.0,1373000000.0,3014000000.0,1641000000.0,1373000000.0,1373000000.0,7546000000.0,8919000000.0,2632000000.0,5905000000.0,0.0,-842000000.0
Celanese Corp,CE,5493007KZ3O535IUKS33,1306830,2011.0,Q1,,2011-03-31,2011-04-26 16:41:15+00:00,740000000.0,950000000.0,-600000000.0,722000000.0,0.0,583000000.0,94000000.0,97000000.0,804000000.0,,252000000.0,3003000000.0,822000000.0,688000000.0,3153000000.0,0.0,438000000.0,407000000.0,1352000000.0,269000000.0,45000000.0,554000000.0,9000000.0,302000000.0,1114000000.0,1985000000.0,219000000.0,74000000.0,8622000000.0,1136000000.0,2851000000.0,1610000000.0,1136000000.0,1136000000.0,7486000000.0,8622000000.0,2618000000.0,5876000000.0,0.0,-832000000.0
Celanese Corp,CE,5493007KZ3O535IUKS33,1306830,2012.0,FY,,2012-12-31,2014-02-07 17:15:23+00:00,649000000.0,827000000.0,-89000000.0,959000000.0,0.0,731000000.0,49000000.0,63000000.0,777000000.0,,165000000.0,2930000000.0,800000000.0,711000000.0,3350000000.0,0.0,606000000.0,231000000.0,1602000000.0,209000000.0,31000000.0,475000000.0,,463000000.0,1152000000.0,1993000000.0,168000000.0,53000000.0,9000000000.0,1730000000.0,2839000000.0,1355000000.0,1730000000.0,1730000000.0,7270000000.0,9000000000.0,2811000000.0,5915000000.0,0.0,-905000000.0
Celanese Corp,CE,5493007KZ3O535IUKS33,1306830,2012.0,Q3,,2012-09-30,2012-10-23 17:18:49+00:00,685000000.0,932000000.0,-822000000.0,928000000.0,0.0,731000000.0,106000000.0,62000000.0,768000000.0,,174000000.0,2839000000.0,775000000.0,711000000.0,3295000000.0,0.0,539000000.0,320000000.0,1354000000.0,188000000.0,47000000.0,507000000.0,,446000000.0,1142000000.0,2903000000.0,141000000.0,56000000.0,8965000000.0,1915000000.0,2968000000.0,1395000000.0,1915000000.0,1915000000.0,7050000000.0,8965000000.0,2702000000.0,5655000000.0,0.0,-897000000.0
Celanese Corp,CE,5493007KZ3O535IUKS33,1306830,2012.0,Q2,,2012-06-30,2012-07-25 16:50:13+00:00,688000000.0,957000000.0,-858000000.0,800000000.0,0.0,725000000.0,106000000.0,55000000.0,756000000.0,,184000000.0,2845000000.0,756000000.0,726000000.0,3265000000.0,0.0,562000000.0,302000000.0,1392000000.0,177000000.0,40000000.0,466000000.0,,390000000.0,1123000000.0,2798000000.0,131000000.0,60000000.0,8779000000.0,1777000000.0,2866000000.0,1340000000.0,1777000000.0,1777000000.0,7002000000.0,8779000000.0,2648000000.0,5662000000.0,0.0,-888000000.0
Celanese Corp,CE,5493007KZ3O535IUKS33,1306830,2012.0,Q1,,2012-03-31,2012-04-24 17:24:08+00:00,758000000.0,928000000.0,-817000000.0,727000000.0,0.0,641000000.0,104000000.0,41000000.0,783000000.0,,202000000.0,2875000000.0,762000000.0,753000000.0,3329000000.0,0.0,562000000.0,314000000.0,1435000000.0,207000000.0,35000000.0,517000000.0,,368000000.0,1187000000.0,2597000000.0,155000000.0,63000000.0,8823000000.0,1541000000.0,2817000000.0,1471000000.0,1541000000.0,1541000000.0,7282000000.0,8823000000.0,2677000000.0,5811000000.0,0.0,-880000000.0
Celanese Corp,CE,5493007KZ3O535IUKS33,1306830,2013.0,FY,,2013-12-31,2015-02-06 17:19:30+00:00,799000000.0,867000000.0,-4000000.0,984000000.0,0.0,53000000.0,115000000.0,28000000.0,798000000.0,,142000000.0,2887000000.0,841000000.0,804000000.0,3425000000.0,0.0,289000000.0,425000000.0,1175000000.0,343000000.0,28000000.0,541000000.0,,341000000.0,287000000.0,3011000000.0,177000000.0,41000000.0,9018000000.0,2699000000.0,3182000000.0,1545000000.0,2699000000.0,2699000000.0,6319000000.0,9018000000.0,2411000000.0,4774000000.0,0.0,-361000000.0
Celanese Corp,CE,5493007KZ3O535IUKS33,1306830,2013.0,Q3,,2013-09-30,2013-10-21 16:59:14+00:00,739000000.0,949000000.0,-47000000.0,1100000000.0,0.0,753000000.0,50000000.0,177000000.0,787000000.0,,147000000.0,2870000000.0,857000000.0,753000000.0,3391000000.0,0.0,604000000.0,264000000.0,1546000000.0,293000000.0,39000000.0,457000000.0,,498000000.0,1151000000.0,2385000000.0,224000000.0,44000000.0,9512000000.0,2084000000.0,3228000000.0,1597000000.0,2084000000.0,2084000000.0,7428000000.0,9512000000.0,2893000000.0,5831000000.0,0.0,-1007000000.0
Celanese Corp,CE,5493007KZ3O535IUKS33,1306830,2013.0,Q2,,2013-06-30,2013-07-19 16:42:39+00:00,716000000.0,929000000.0,-91000000.0,1107000000.0,0.0,745000000.0,50000000.0,165000000.0,772000000.0,,152000000.0,2860000000.0,808000000.0,738000000.0,3325000000.0,0.0,602000000.0,231000000.0,1560000000.0,280000000.0,31000000.0,439000000.0,,483000000.0,1142000000.0,2242000000.0,224000000.0,45000000.0,9322000000.0,1985000000.0,3180000000.0,1544000000.0,1985000000.0,1985000000.0,7337000000.0,9322000000.0,2817000000.0,5793000000.0,0.0,-911000000.0
Celanese Corp,CE,5493007KZ3O535IUKS33,1306830,2013.0,Q1,,2013-03-31,2013-04-19 16:46:20+00:00,659000000.0,916000000.0,-119000000.0,978000000.0,0.0,736000000.0,50000000.0,121000000.0,762000000.0,,155000000.0,2959000000.0,796000000.0,758000000.0,3286000000.0,0.0,603000000.0,224000000.0,1576000000.0,197000000.0,38000000.0,459000000.0,,480000000.0,1123000000.0,2123000000.0,112000000.0,49000000.0,9068000000.0,1835000000.0,2986000000.0,1351000000.0,1835000000.0,1835000000.0,7233000000.0,9068000000.0,2796000000.0,5882000000.0,0.0,-905000000.0
