company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,goodwill,grossppe,intangibleassets,longtermdebt,netinventory,netppe,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,redeemablenoncontrollinginterest,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2012.0,Q3,,2012-02-29,2012-04-06 16:23:59+00:00,1298000000.0,3296000000.0,1913000000.0,2967000000.0,243000000.0,2021000000.0,0.0,4483000000.0,311000000.0,59000000.0,202000000.0,5172000000.0,534000000.0,229000000.0,3356000000.0,2205000000.0,921000000.0,979000000.0,,,,,,772000000.0,0.0,5447000000.0,140000000.0,1176000000.0,14794000000.0,10173000000.0,10932000000.0,3410000000.0,10176000000.0,10176000000.0,4618000000.0,14794000000.0,1657000000.0,1208000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2012.0,Q2,,2011-11-30,2012-01-05 16:49:23+00:00,1411000000.0,3103000000.0,1834000000.0,2887000000.0,215000000.0,1929000000.0,0.0,4335000000.0,298000000.0,81000000.0,201000000.0,5064000000.0,532000000.0,234000000.0,3164000000.0,2177000000.0,930000000.0,925000000.0,,,,,,795000000.0,0.0,5290000000.0,237000000.0,1436000000.0,14565000000.0,9840000000.0,10725000000.0,3563000000.0,9843000000.0,9843000000.0,4722000000.0,14565000000.0,1663000000.0,1159000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2012.0,Q1,,2011-08-31,2011-10-06 16:01:53+00:00,1421000000.0,3279000000.0,1968000000.0,2868000000.0,105000000.0,1608000000.0,0.0,4138000000.0,315000000.0,91000000.0,204000000.0,5034000000.0,536000000.0,238000000.0,3107000000.0,2166000000.0,858000000.0,906000000.0,,,,,,638000000.0,0.0,5653000000.0,280000000.0,2092000000.0,14803000000.0,9896000000.0,11039000000.0,3760000000.0,9899000000.0,9899000000.0,4904000000.0,14803000000.0,1598000000.0,1144000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2013.0,FY,,2013-05-31,2014-07-25 16:22:20+00:00,1669000000.0,3117000000.0,2036000000.0,,274000000.0,3337000000.0,0.0,5184000000.0,308000000.0,84000000.0,131000000.0,,289000000.0,1210000000.0,3484000000.0,2452000000.0,1043000000.0,1292000000.0,,,18000000.0,,,756000000.0,0.0,5620000000.0,155000000.0,2628000000.0,17545000000.0,11078000000.0,13630000000.0,3962000000.0,11081000000.0,11081000000.0,6464000000.0,17545000000.0,1463000000.0,2502000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2013.0,Q3,,2013-02-28,2013-04-04 16:46:36+00:00,1241000000.0,3232000000.0,1899000000.0,3110000000.0,231000000.0,2557000000.0,0.0,4977000000.0,275000000.0,138000000.0,131000000.0,5370000000.0,376000000.0,161000000.0,3329000000.0,2260000000.0,1059000000.0,1287000000.0,,29000000.0,62000000.0,,,882000000.0,0.0,5456000000.0,160000000.0,1485000000.0,15615000000.0,10664000000.0,11789000000.0,3500000000.0,10667000000.0,10667000000.0,4948000000.0,15615000000.0,1566000000.0,1448000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2013.0,Q2,,2012-11-30,2013-01-09 16:16:23+00:00,1519000000.0,3188000000.0,1879000000.0,3052000000.0,138000000.0,2291000000.0,0.0,4844000000.0,327000000.0,45000000.0,131000000.0,5310000000.0,374000000.0,170000000.0,3318000000.0,2258000000.0,973000000.0,1188000000.0,,344000000.0,198000000.0,,,733000000.0,0.0,5029000000.0,158000000.0,1234000000.0,15171000000.0,10011000000.0,11435000000.0,3799000000.0,10014000000.0,10014000000.0,5157000000.0,15171000000.0,1478000000.0,1358000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2013.0,Q1,,2012-08-31,2012-10-09 16:16:09+00:00,1551000000.0,3431000000.0,1974000000.0,3068000000.0,111000000.0,2165000000.0,0.0,4718000000.0,282000000.0,113000000.0,202000000.0,5359000000.0,536000000.0,226000000.0,3411000000.0,2291000000.0,949000000.0,1065000000.0,,,,,,745000000.0,0.0,5215000000.0,138000000.0,1102000000.0,15114000000.0,10044000000.0,11136000000.0,3776000000.0,10047000000.0,10047000000.0,5067000000.0,15114000000.0,1687000000.0,1291000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2014.0,FY,,2014-05-31,2015-07-23 17:26:50+00:00,1930000000.0,3434000000.0,2491000000.0,,85000000.0,2220000000.0,0.0,5865000000.0,355000000.0,432000000.0,131000000.0,,282000000.0,1199000000.0,3947000000.0,2834000000.0,1651000000.0,1544000000.0,,,,,,818000000.0,0.0,4871000000.0,174000000.0,2922000000.0,18594000000.0,10821000000.0,13696000000.0,5027000000.0,10824000000.0,10824000000.0,7770000000.0,18594000000.0,2064000000.0,2743000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2014.0,Q3,,2014-02-28,2014-04-04 18:10:26+00:00,1480000000.0,3355000000.0,2303000000.0,,33000000.0,1864000000.0,0.0,5723000000.0,319000000.0,45000000.0,131000000.0,,386000000.0,1201000000.0,3825000000.0,2736000000.0,1140000000.0,1515000000.0,,,0.0,,,882000000.0,0.0,5374000000.0,126000000.0,3165000000.0,17803000000.0,11130000000.0,13410000000.0,3954000000.0,11133000000.0,11133000000.0,6670000000.0,17803000000.0,1657000000.0,2716000000.0
Nike Inc,NKE,787RXPR0UX0O0XUXPZ81,320187,2014.0,Q2,,2013-11-30,2014-01-07 16:38:02+00:00,1612000000.0,3208000000.0,2005000000.0,,90000000.0,2086000000.0,0.0,5566000000.0,315000000.0,47000000.0,131000000.0,,385000000.0,1201000000.0,3695000000.0,2645000000.0,1052000000.0,1424000000.0,,,0.0,,,1202000000.0,0.0,5685000000.0,187000000.0,3101000000.0,17820000000.0,11341000000.0,13607000000.0,3851000000.0,11344000000.0,11344000000.0,6476000000.0,17820000000.0,1568000000.0,2625000000.0
