company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,othergains,otherincome,otheroperatingexpenses,otherspecialcharges,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2010.0,FY,2009-10-01,2010-09-30,2012-11-20 11:53:42+00:00,4.85,4.85,1.92,4.74,,305700000.0,1054500000.0,967000000.0,87500000.0,1029100000.0,25400000.0,6288900000.0,8616100000.0,,,-42900000.0,101100000.0,114700000.0,0.0,886600000.0,6288900000.0,2327200000.0,121900000.0,126900000.0,1059500000.0,1267700000.0,5000000.0,1272700000.0,8616100000.0,212200000.0,212200000.0,217100000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2010.0,Q3YTD,2009-10-01,2010-06-30,,3.57,3.57,1.43,3.49,,246000000.0,776500000.0,776500000.0,,757000000.0,19500000.0,4808300000.0,6674800000.0,,,-29800000.0,65800000.0,82800000.0,,725700000.0,4808300000.0,1866500000.0,91100000.0,91600000.0,844500000.0,1022000000.0,500000.0,1022500000.0,6674800000.0,212800000.0,212300000.0,216900000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2010.0,Q3TTM,2009-07-01,2010-06-30,,5.71,4.73,1.88,4.63,,332300000.0,1020400000.0,1022500000.0,-2100000.0,1000900000.0,19500000.0,6353300000.0,8804100000.0,,,-39100000.0,68500000.0,112200000.0,,959200000.0,6353300000.0,2450800000.0,119000000.0,123800000.0,1100800000.0,1350000000.0,4800000.0,1354800000.0,8804100000.0,212800000.0,212300000.0,216900000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2010.0,Q3,2010-04-01,2010-06-30,2011-07-27 16:10:28+00:00,1.19,1.19,0.49,1.17,,77600000.0,261300000.0,261300000.0,,253200000.0,8100000.0,1611000000.0,2252300000.0,,,-8000000.0,42400000.0,29300000.0,,241200000.0,1611000000.0,641300000.0,30000000.0,32500000.0,304900000.0,336400000.0,2500000.0,338900000.0,2252300000.0,212800000.0,212300000.0,216900000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2010.0,Q2,2010-01-01,2010-03-31,2011-04-26 15:38:32+00:00,1.19,1.19,0.49,1.16,,84900000.0,258400000.0,258400000.0,,252000000.0,6400000.0,1628700000.0,2249000000.0,,,-10400000.0,23400000.0,26300000.0,,240400000.0,1628700000.0,620300000.0,29500000.0,32200000.0,279700000.0,340600000.0,2700000.0,343300000.0,2249000000.0,211800000.0,212100000.0,216900000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2010.0,Q2YTD,2009-10-01,2010-03-31,,2.38,2.38,0.94,2.32,,168400000.0,515200000.0,515200000.0,,503800000.0,11400000.0,3197300000.0,4422500000.0,,,-21800000.0,23400000.0,53500000.0,,484500000.0,3197300000.0,1225200000.0,61100000.0,59100000.0,539600000.0,685600000.0,-2000000.0,683600000.0,4422500000.0,211800000.0,212100000.0,216900000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2010.0,Q2TTM,2009-04-01,2010-03-31,,5.06,4.08,1.84,3.99,,280100000.0,877100000.0,880600000.0,-3500000.0,860900000.0,16200000.0,6169800000.0,8528000000.0,,,-36800000.0,56300000.0,107000000.0,124000000.0,950300000.0,6169800000.0,2358200000.0,116500000.0,119800000.0,1200800000.0,1157400000.0,3300000.0,1160700000.0,8528000000.0,211800000.0,212100000.0,216900000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2010.0,Q1,2009-10-01,2009-12-31,2011-01-25 20:22:58+00:00,1.19,1.19,0.45,1.16,,83500000.0,256800000.0,256800000.0,,251800000.0,5000000.0,1568600000.0,2173500000.0,,,-11400000.0,,27200000.0,,244100000.0,1568600000.0,604900000.0,31600000.0,26900000.0,259900000.0,345000000.0,-4700000.0,340300000.0,2173500000.0,211600000.0,211700000.0,217000000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2010.0,Q1TTM,2009-01-01,2009-12-31,,3.87,3.87,1.8,3.8,,261700000.0,825900000.0,813100000.0,12800000.0,814500000.0,11400000.0,5981000000.0,8234400000.0,,,-31500000.0,32900000.0,110300000.0,124000000.0,940500000.0,5981000000.0,2253400000.0,117000000.0,114600000.0,1176200000.0,1077200000.0,-2400000.0,1074800000.0,8234400000.0,211600000.0,211700000.0,217000000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2011.0,FY,2010-10-01,2011-09-30,2013-11-26 09:38:11+00:00,5.75,5.75,,5.63,,375300000.0,1261500000.0,1171600000.0,89900000.0,1224200000.0,37300000.0,7098300000.0,9673700000.0,,,-41700000.0,48500000.0,118800000.0,0.0,941700000.0,7098300000.0,2575400000.0,115500000.0,154300000.0,1067300000.0,1508100000.0,38800000.0,1546900000.0,9673700000.0,212900000.0,213000000.0,217600000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2011.0,Q4,2011-07-01,2011-09-30,,3.08,3.08,-1.07,3.01,,190600000.0,674100000.0,602800000.0,71300000.0,651300000.0,22800000.0,3629600000.0,4879000000.0,,,-21100000.0,,61700000.0,,455100000.0,3629600000.0,1249400000.0,55100000.0,94800000.0,495700000.0,753700000.0,39700000.0,793400000.0,4879000000.0,212900000.0,213000000.0,217600000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2011.0,Q3YTD,2010-10-01,2011-06-30,,2.67,2.67,1.07,2.62,,184700000.0,587400000.0,568800000.0,18600000.0,572900000.0,14500000.0,3468700000.0,4794700000.0,,,-20600000.0,48500000.0,57100000.0,,486600000.0,3468700000.0,1326000000.0,60400000.0,59500000.0,571600000.0,754400000.0,-900000.0,753500000.0,4794700000.0,,,
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2011.0,Q3TTM,2010-07-01,2011-06-30,,3.95,3.95,1.56,3.87,,244400000.0,865400000.0,759300000.0,106100000.0,845000000.0,20400000.0,4949300000.0,6736000000.0,,,-33700000.0,83800000.0,89000000.0,,647500000.0,4949300000.0,1786700000.0,91200000.0,94800000.0,786600000.0,1000100000.0,3600000.0,1003700000.0,6736000000.0,,,
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2011.0,Q2YTD,2010-10-01,2011-03-31,,2.67,2.67,1.07,2.62,,184700000.0,587400000.0,568800000.0,18600000.0,572900000.0,14500000.0,3468700000.0,4794700000.0,,,-20600000.0,48500000.0,57100000.0,,486600000.0,3468700000.0,1326000000.0,60400000.0,59500000.0,571600000.0,754400000.0,-900000.0,753500000.0,4794700000.0,214300000.0,213800000.0,218800000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2011.0,Q2TTM,2010-04-01,2011-03-31,,5.14,5.14,2.05,5.04,,322000000.0,1126700000.0,1020600000.0,106100000.0,1098200000.0,28500000.0,6560300000.0,8988300000.0,,,-41700000.0,126200000.0,118300000.0,,888700000.0,6560300000.0,2428000000.0,121200000.0,127300000.0,1091500000.0,1336500000.0,6100000.0,1342600000.0,8988300000.0,214300000.0,213800000.0,218800000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2011.0,Q2,2011-01-01,2011-03-31,2012-04-27 08:51:01+00:00,1.42,1.42,0.58,1.39,,103200000.0,311500000.0,292900000.0,18600000.0,304300000.0,7200000.0,1748200000.0,2403000000.0,,,-13900000.0,5000000.0,27900000.0,0.0,242000000.0,1748200000.0,654800000.0,29400000.0,31700000.0,261000000.0,393800000.0,2300000.0,396100000.0,2403000000.0,214300000.0,213800000.0,218800000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2011.0,Q1TTM,2010-01-01,2010-12-31,,4.91,4.91,1.96,4.81,,303700000.0,1073600000.0,986100000.0,87500000.0,1045900000.0,27700000.0,6440800000.0,8834300000.0,,,-38200000.0,144600000.0,116700000.0,,887100000.0,6440800000.0,2393500000.0,121300000.0,127800000.0,1110200000.0,1283300000.0,6500000.0,1289800000.0,8834300000.0,214900000.0,214200000.0,219200000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2011.0,Q1,2010-10-01,2010-12-31,2012-01-27 15:00:59+00:00,1.25,1.25,0.49,1.23,,81500000.0,275900000.0,275900000.0,,268600000.0,7300000.0,1720500000.0,2391700000.0,,,-6700000.0,43500000.0,29200000.0,,244600000.0,1720500000.0,671200000.0,31000000.0,27800000.0,310600000.0,360600000.0,-3200000.0,357400000.0,2391700000.0,214900000.0,214200000.0,219200000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2012.0,FY,2011-10-01,2012-09-30,2014-11-24 13:55:10+00:00,5.53,5.53,,5.44,0.0,287300000.0,1193300000.0,1025200000.0,168100000.0,1167300000.0,26000000.0,7051900000.0,9611700000.0,,,-47100000.0,-76100000.0,126400000.0,327400000.0,946800000.0,7051900000.0,2559800000.0,123700000.0,153800000.0,1277400000.0,1282400000.0,30100000.0,1312500000.0,9611700000.0,211100000.0,211200000.0,214700000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2012.0,Q4,2012-07-01,2012-09-30,,0.66,0.66,-1.86,0.64,,17800000.0,142300000.0,140700000.0,1600000.0,138700000.0,3600000.0,1923000000.0,2605800000.0,,,-9600000.0,9800000.0,36000000.0,240600000.0,248100000.0,1923000000.0,682800000.0,38900000.0,39500000.0,524900000.0,157900000.0,600000.0,158500000.0,2605800000.0,211100000.0,211200000.0,214700000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2012.0,Q3YTD,2011-10-01,2012-06-30,,4.87,4.87,1.86,4.8,,269500000.0,1051000000.0,884500000.0,166500000.0,1028600000.0,22400000.0,5128900000.0,7005900000.0,,,-37500000.0,-85900000.0,90400000.0,86800000.0,698700000.0,5128900000.0,1877000000.0,84800000.0,114300000.0,752500000.0,1124500000.0,29500000.0,1154000000.0,7005900000.0,211600000.0,211500000.0,214700000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2012.0,Q3TTM,2011-07-01,2012-06-30,,7.95,7.95,0.79,7.81,,460100000.0,1725100000.0,1487300000.0,237800000.0,1679900000.0,45200000.0,8758500000.0,11884900000.0,,,-58600000.0,-85900000.0,152100000.0,86800000.0,1153800000.0,8758500000.0,3126400000.0,139900000.0,209100000.0,1248200000.0,1878200000.0,69200000.0,1947400000.0,11884900000.0,211600000.0,211500000.0,214700000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2012.0,Q3,2012-04-01,2012-06-30,2013-07-24 16:48:52+00:00,2.29,2.29,0.64,2.26,,133300000.0,492500000.0,365200000.0,127300000.0,484500000.0,8000000.0,1690800000.0,2340100000.0,,,-10500000.0,-85900000.0,32500000.0,0.0,230400000.0,1690800000.0,649300000.0,26000000.0,41700000.0,166500000.0,482800000.0,15700000.0,498500000.0,2340100000.0,211600000.0,211500000.0,214700000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2012.0,Q2YTD,2011-10-01,2012-03-31,,2.58,2.58,1.22,2.54,,136200000.0,558500000.0,519300000.0,39200000.0,544100000.0,14400000.0,3438100000.0,4665800000.0,,,-27000000.0,,57900000.0,86800000.0,468300000.0,3438100000.0,1227700000.0,58800000.0,72600000.0,586000000.0,641700000.0,13800000.0,655500000.0,4665800000.0,211400000.0,211100000.0,215000000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2012.0,Q2TTM,2011-04-01,2012-03-31,,5.66,5.66,0.15,5.55,,326800000.0,1232600000.0,1122100000.0,110500000.0,1195400000.0,37200000.0,7067700000.0,9544800000.0,,,-48100000.0,,119600000.0,86800000.0,923400000.0,7067700000.0,2477100000.0,113900000.0,167400000.0,1081700000.0,1395400000.0,53500000.0,1448900000.0,9544800000.0,211400000.0,211100000.0,215000000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2012.0,Q2,2012-01-01,2012-03-31,2013-04-25 10:01:23+00:00,1.4,1.4,0.64,1.38,,8800000.0,302200000.0,285200000.0,17000000.0,296000000.0,6200000.0,1715800000.0,2344300000.0,,,-13300000.0,,29800000.0,86800000.0,237300000.0,1715800000.0,628500000.0,29400000.0,35500000.0,340600000.0,287900000.0,6100000.0,294000000.0,2344300000.0,211400000.0,211100000.0,215000000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2012.0,Q1TTM,2011-01-01,2011-12-31,,5.68,5.68,0.09,5.56,,421200000.0,1241900000.0,1129800000.0,112100000.0,1203700000.0,38200000.0,7100100000.0,9603500000.0,,,-48700000.0,5000000.0,117700000.0,,928100000.0,7100100000.0,2503400000.0,113900000.0,163600000.0,1002100000.0,1501300000.0,49700000.0,1551000000.0,9603500000.0,210300000.0,210300000.0,213900000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2012.0,Q1,2011-10-01,2011-12-31,2013-01-25 11:07:02+00:00,1.18,1.18,0.58,1.16,,127400000.0,256300000.0,234100000.0,22200000.0,248100000.0,8200000.0,1722300000.0,2321500000.0,,,-13700000.0,,28100000.0,,231000000.0,1722300000.0,599200000.0,29400000.0,37100000.0,245400000.0,353800000.0,7700000.0,361500000.0,2321500000.0,210300000.0,210300000.0,213900000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2013.0,FY,2012-10-01,2013-09-30,2015-11-24 11:03:53+00:00,4.74,4.74,2.77,4.68,0.0,307900000.0,1032500000.0,1042500000.0,-10000000.0,994200000.0,38300000.0,7472100000.0,10180400000.0,,,-60100000.0,12400000.0,133700000.0,231600000.0,1066300000.0,7472100000.0,2708300000.0,141800000.0,167800000.0,1383900000.0,1324400000.0,26000000.0,1350400000.0,10180400000.0,209700000.0,209700000.0,212300000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2013.0,Q4,2013-07-01,2013-09-30,,0.64,0.64,0.71,0.63,,25800000.0,147300000.0,160400000.0,-13100000.0,137100000.0,10200000.0,1882900000.0,2586500000.0,,,-14400000.0,12400000.0,34600000.0,231600000.0,260200000.0,1882900000.0,703600000.0,35400000.0,42400000.0,524400000.0,179200000.0,7000000.0,186200000.0,2586500000.0,209700000.0,209700000.0,212300000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2013.0,Q3YTD,2012-10-01,2013-06-30,,4.1,4.1,2.06,4.05,,282100000.0,885200000.0,882100000.0,3100000.0,857100000.0,28100000.0,5589200000.0,7593900000.0,,,-45700000.0,,99100000.0,,806100000.0,5589200000.0,2004700000.0,106400000.0,125400000.0,859500000.0,1145200000.0,19000000.0,1164200000.0,7593900000.0,209000000.0,209400000.0,211900000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2013.0,Q3TTM,2012-07-01,2013-06-30,,4.76,4.76,0.2,4.69,,299900000.0,1027500000.0,1022800000.0,4700000.0,995800000.0,31700000.0,7512200000.0,10199700000.0,,,-55300000.0,9800000.0,135100000.0,240600000.0,1054200000.0,7512200000.0,2687500000.0,145300000.0,164900000.0,1384400000.0,1303100000.0,19600000.0,1322700000.0,10199700000.0,209000000.0,209400000.0,211900000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2013.0,Q3,2013-04-01,2013-06-30,2014-07-24 15:02:09+00:00,1.38,1.38,0.71,1.36,,94100000.0,298400000.0,297800000.0,600000.0,288400000.0,10000000.0,1875500000.0,2547300000.0,,,-16100000.0,,33500000.0,,271300000.0,1875500000.0,671800000.0,35400000.0,44200000.0,288700000.0,383100000.0,8800000.0,391900000.0,2547300000.0,209000000.0,209400000.0,211900000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2013.0,Q2YTD,2012-10-01,2013-03-31,,2.72,2.72,1.35,2.69,,188000000.0,586800000.0,584300000.0,2500000.0,568700000.0,18100000.0,3713700000.0,5046600000.0,,,-29600000.0,,65600000.0,,534800000.0,3713700000.0,1332900000.0,71000000.0,81200000.0,570800000.0,762100000.0,10200000.0,772300000.0,5046600000.0,208900000.0,208400000.0,211000000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2013.0,Q2TTM,2012-04-01,2013-03-31,,5.67,5.67,0.13,5.59,,339100000.0,1221600000.0,1090200000.0,131400000.0,1191900000.0,29700000.0,7327500000.0,9992500000.0,,,-49700000.0,-76100000.0,134100000.0,240600000.0,1013300000.0,7327500000.0,2665000000.0,135900000.0,162400000.0,1262200000.0,1402800000.0,26500000.0,1429300000.0,9992500000.0,208900000.0,208400000.0,211000000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2013.0,Q2,2013-01-01,2013-03-31,2014-04-24 11:21:47+00:00,1.39,1.39,0.71,1.38,,95800000.0,299600000.0,298500000.0,1100000.0,290400000.0,9200000.0,1813600000.0,2484200000.0,,,-18000000.0,,32300000.0,,266600000.0,1813600000.0,670600000.0,35200000.0,39800000.0,280900000.0,389700000.0,4600000.0,394300000.0,2484200000.0,208900000.0,208400000.0,211000000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2013.0,Q1TTM,2012-01-01,2012-12-31,,5.68,5.68,0.06,5.59,,252100000.0,1224200000.0,1076900000.0,147300000.0,1197500000.0,26700000.0,7229700000.0,9852600000.0,,,-45000000.0,-76100000.0,131600000.0,327400000.0,984000000.0,7229700000.0,2622900000.0,130100000.0,158100000.0,1321900000.0,1301000000.0,28000000.0,1329000000.0,9852600000.0,209200000.0,210000000.0,212600000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2013.0,Q1,2012-10-01,2012-12-31,2014-01-29 10:17:35+00:00,1.33,1.33,0.64,1.31,,92200000.0,287200000.0,285800000.0,1400000.0,278300000.0,8900000.0,1900100000.0,2562400000.0,,,-11600000.0,,33300000.0,,268200000.0,1900100000.0,662300000.0,35800000.0,41400000.0,289900000.0,372400000.0,5600000.0,378000000.0,2562400000.0,209200000.0,210000000.0,212600000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2014.0,FY,2013-10-01,2014-09-30,2016-11-21 13:23:28+00:00,4.66,4.66,3.02,4.61,310100000.0,369400000.0,993100000.0,996000000.0,-2900000.0,991700000.0,1400000.0,7629900000.0,10439000000.0,,,-52800000.0,5500000.0,139800000.0,12700000.0,1054700000.0,7629900000.0,2809100000.0,125100000.0,151400000.0,1470000000.0,1339100000.0,26300000.0,1365400000.0,10439000000.0,212800000.0,212700000.0,215200000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2014.0,Q4,2014-07-01,2014-09-30,,0.49,0.49,0.77,0.48,310100000.0,80700000.0,79000000.0,85000000.0,-6000000.0,104000000.0,-25000000.0,1927700000.0,2677000000.0,,,-11700000.0,5500000.0,39300000.0,12700000.0,238400000.0,1927700000.0,749300000.0,29000000.0,39700000.0,594300000.0,155000000.0,10700000.0,165700000.0,2677000000.0,212800000.0,212700000.0,215200000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2014.0,Q3YTD,2013-10-01,2014-06-30,,4.17,4.17,2.25,4.13,,288700000.0,914100000.0,911000000.0,3100000.0,887700000.0,26400000.0,5702200000.0,7762000000.0,,,-41100000.0,,100500000.0,,816300000.0,5702200000.0,2059800000.0,96100000.0,111700000.0,875700000.0,1184100000.0,15600000.0,1199700000.0,7762000000.0,213600000.0,212900000.0,215400000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2014.0,Q3TTM,2013-07-01,2014-06-30,,4.81,4.81,2.96,4.76,,314500000.0,1061400000.0,1071400000.0,-10000000.0,1024800000.0,36600000.0,7585100000.0,10348500000.0,,,-55500000.0,12400000.0,135100000.0,231600000.0,1076500000.0,7585100000.0,2763400000.0,131500000.0,154100000.0,1400100000.0,1363300000.0,22600000.0,1385900000.0,10348500000.0,213600000.0,212900000.0,215400000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2014.0,Q3,2014-04-01,2014-06-30,2015-07-30 12:55:48+00:00,1.47,1.47,0.77,1.46,,102100000.0,323500000.0,323500000.0,0.0,314000000.0,9500000.0,1918700000.0,2634600000.0,,,-3700000.0,0.0,33800000.0,0.0,272000000.0,1918700000.0,715900000.0,31300000.0,43100000.0,302100000.0,413800000.0,11800000.0,425600000.0,2634600000.0,213600000.0,212900000.0,215400000.0
Air Products and Chemicals Inc,APD,7QEON6Y1RL5XR3R1W237,2969,2014.0,Q2YTD,2013-10-01,2014-03-31,,2.7,2.7,1.48,2.67,,186600000.0,590600000.0,587500000.0,3100000.0,573700000.0,16900000.0,3783500000.0,5127400000.0,,,-37400000.0,,66700000.0,,544300000.0,3783500000.0,1343900000.0,64800000.0,68600000.0,573600000.0,770300000.0,3800000.0,774100000.0,5127400000.0,213200000.0,212400000.0,214900000.0
