company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
TITANIUM METALS CORP,TIE,,1011657,2011.0,Q2TTM,2010-07-01,2011-06-30,,0.59,0.59,0.08,0.59,54000000.0,107500000.0,107500000.0,105300000.0,2300000.0,740400000.0,951700000.0,100000.0,-10300000.0,-100000.0,60200000.0,740400000.0,211300000.0,49900000.0,161400000.0,100000.0,161500000.0,951700000.0,175000000.0,179700000.0,179900000.0
TITANIUM METALS CORP,TIE,,1011657,2011.0,Q2,2011-04-01,2011-06-30,2012-08-08 11:23:10+00:00,0.18,0.18,0.075,0.18,16000000.0,32100000.0,32100000.0,31500000.0,600000.0,209100000.0,272000000.0,1600000.0,-400000.0,,16800000.0,209100000.0,62900000.0,16400000.0,46500000.0,1600000.0,48100000.0,272000000.0,175000000.0,179700000.0,179900000.0
TITANIUM METALS CORP,TIE,,1011657,2011.0,Q1TTM,2010-04-01,2011-03-31,,0.52,0.52,,0.52,47700000.0,95300000.0,95300000.0,92800000.0,2500000.0,702500000.0,891700000.0,1400000.0,-10200000.0,,57800000.0,702500000.0,189200000.0,47600000.0,141600000.0,1400000.0,143000000.0,891700000.0,180600000.0,180200000.0,180400000.0
TITANIUM METALS CORP,TIE,,1011657,2011.0,Q1,2011-01-01,2011-03-31,2012-05-08 10:34:28+00:00,0.16,0.16,,0.16,14900000.0,29700000.0,29700000.0,28900000.0,800000.0,203800000.0,252000000.0,-400000.0,-11600000.0,,14800000.0,203800000.0,48200000.0,3200000.0,45000000.0,-400000.0,44600000.0,252000000.0,180600000.0,180200000.0,180400000.0
TITANIUM METALS CORP,TIE,,1011657,2012.0,Q3YTD,2012-01-01,2012-09-30,,0.43,0.43,0.22,0.43,40900000.0,77900000.0,77900000.0,74400000.0,3500000.0,646400000.0,816100000.0,300000.0,-1400000.0,,52600000.0,646400000.0,169700000.0,51200000.0,118500000.0,300000.0,118800000.0,816100000.0,169100000.0,175100000.0,175100000.0
TITANIUM METALS CORP,TIE,,1011657,2012.0,Q3TTM,2011-10-01,2012-09-30,,0.59,0.59,0.3,0.59,57400000.0,107400000.0,107400000.0,103000000.0,4400000.0,847700000.0,1074800000.0,1700000.0,-4400000.0,,68400000.0,847700000.0,227100000.0,64000000.0,163100000.0,1700000.0,164800000.0,1074800000.0,169100000.0,175100000.0,175100000.0
TITANIUM METALS CORP,TIE,,1011657,2012.0,Q3,2012-07-01,2012-09-30,2012-11-13 11:09:09+00:00,0.11,0.11,0.075,0.11,12300000.0,19400000.0,19400000.0,18600000.0,800000.0,207400000.0,257700000.0,-1000000.0,-100000.0,,17700000.0,207400000.0,50300000.0,17600000.0,32700000.0,-1000000.0,31700000.0,257700000.0,169100000.0,175100000.0,175100000.0
TITANIUM METALS CORP,TIE,,1011657,2012.0,Q2YTD,2012-01-01,2012-06-30,,0.32,0.32,0.15,0.32,28600000.0,58500000.0,58500000.0,55800000.0,2700000.0,439000000.0,558400000.0,1300000.0,-1300000.0,,34900000.0,439000000.0,119400000.0,33600000.0,85800000.0,1300000.0,87100000.0,558400000.0,177600000.0,175200000.0,175200000.0
TITANIUM METALS CORP,TIE,,1011657,2012.0,Q2TTM,2011-07-01,2012-06-30,,0.62,0.62,0.3,0.62,61200000.0,113900000.0,113900000.0,109400000.0,4500000.0,847700000.0,1079600000.0,6200000.0,-4800000.0,,67800000.0,847700000.0,231900000.0,63000000.0,168900000.0,6200000.0,175100000.0,1079600000.0,177600000.0,175200000.0,175200000.0
TITANIUM METALS CORP,TIE,,1011657,2012.0,Q2,2012-04-01,2012-06-30,2012-08-08 11:23:10+00:00,0.17,0.17,0.075,0.17,15200000.0,31400000.0,31400000.0,30200000.0,1200000.0,220700000.0,281700000.0,2900000.0,-400000.0,,17700000.0,220700000.0,61000000.0,17300000.0,43700000.0,2900000.0,46600000.0,281700000.0,177600000.0,175200000.0,175200000.0
TITANIUM METALS CORP,TIE,,1011657,2012.0,Q1TTM,2011-04-01,2012-03-31,,0.63,0.63,0.3,0.63,62000000.0,114600000.0,114600000.0,110700000.0,3900000.0,836100000.0,1069900000.0,4900000.0,-4800000.0,,66900000.0,836100000.0,233800000.0,62100000.0,171700000.0,4900000.0,176600000.0,1069900000.0,170700000.0,175200000.0,175200000.0
TITANIUM METALS CORP,TIE,,1011657,2012.0,Q1,2012-01-01,2012-03-31,2012-05-08 10:34:28+00:00,0.15,0.15,0.075,0.15,13400000.0,27100000.0,27100000.0,25600000.0,1500000.0,218300000.0,276700000.0,-1600000.0,-900000.0,,17200000.0,218300000.0,58400000.0,16300000.0,42100000.0,-1600000.0,40500000.0,276700000.0,170700000.0,175200000.0,175200000.0
