company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,issuanceofpreferredequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
Progressive Corp,PGR,,80661,2011.0,Q3,2011-07-01,2011-09-30,,58300000.0,22700000.0,,-300000.0,167400000.0,491900000.0,,69700000.0,-513000000.0,464200000.0,69700000.0,-513000000.0,464200000.0,20600000.0,150700000.0,150700000.0,65100000.0,1700000.0,-53400000.0,,-1325100000.0,-17700000.0,-12700000.0,-411200000.0,882500000.0,700000.0
Progressive Corp,PGR,,80661,2011.0,Q3YTD,2011-01-01,2011-09-30,2012-11-01 09:18:11+00:00,174700000.0,65300000.0,,100000.0,525300000.0,491900000.0,,-607000000.0,-877000000.0,1495300000.0,-607000000.0,-877000000.0,1495300000.0,11400000.0,758800000.0,758800000.0,-28800000.0,9500000.0,-14200000.0,-263600000.0,-6240800000.0,-53300000.0,-12700000.0,-832100000.0,5429400000.0,1900000.0
Progressive Corp,PGR,,80661,2011.0,Q2TTM,2010-07-01,2011-06-30,,234900000.0,83800000.0,,1400000.0,200000000.0,,,-1667500000.0,156100000.0,1505900000.0,-1667500000.0,156100000.0,1505900000.0,-4100000.0,1168900000.0,1168900000.0,-181700000.0,38100000.0,-14900000.0,-919100000.0,-6633700000.0,-70400000.0,-214300000.0,-572200000.0,6866400000.0,8700000.0
Progressive Corp,PGR,,80661,2011.0,Q2,2011-04-01,2011-06-30,,56900000.0,21600000.0,,200000.0,41500000.0,,,-279500000.0,-84100000.0,357600000.0,-279500000.0,-84100000.0,357600000.0,-5800000.0,245200000.0,245200000.0,-7600000.0,3400000.0,112400000.0,,-1554500000.0,-18100000.0,,-282900000.0,1375400000.0,700000.0
Progressive Corp,PGR,,80661,2011.0,Q2YTD,2011-01-01,2011-06-30,2012-08-02 09:14:10+00:00,116400000.0,42600000.0,,400000.0,357900000.0,0.0,,-676700000.0,-364000000.0,1031100000.0,-676700000.0,-364000000.0,1031100000.0,-9200000.0,608100000.0,608100000.0,-93900000.0,7800000.0,39200000.0,-263600000.0,-4915700000.0,-35600000.0,0.0,-420900000.0,4546900000.0,1200000.0
Progressive Corp,PGR,,80661,2011.0,Q1TTM,2010-04-01,2011-03-31,,231700000.0,82700000.0,,1000000.0,353200000.0,,,-1446000000.0,-237400000.0,1682800000.0,-1446000000.0,-237400000.0,1682800000.0,400000.0,1135600000.0,1135600000.0,-120400000.0,41400000.0,-172700000.0,-919100000.0,-6801300000.0,-65200000.0,-214300000.0,-354000000.0,6793500000.0,8300000.0
Progressive Corp,PGR,,80661,2011.0,Q1,2011-01-01,2011-03-31,2012-05-07 10:25:14+00:00,59500000.0,21000000.0,,200000.0,316400000.0,0.0,,-397200000.0,-279900000.0,673500000.0,-397200000.0,-279900000.0,673500000.0,-3400000.0,362900000.0,362900000.0,-86300000.0,4400000.0,-73200000.0,-263600000.0,-3361200000.0,-17500000.0,0.0,-138000000.0,3171500000.0,500000.0
Progressive Corp,PGR,,80661,2012.0,Q4,2012-10-01,2012-12-31,,41400000.0,25300000.0,,100000.0,-247500000.0,,,-605200000.0,565900000.0,26100000.0,-605200000.0,565900000.0,26100000.0,-13100000.0,249100000.0,249100000.0,-42200000.0,200000.0,-58500000.0,-601300000.0,-1084500000.0,-43500000.0,,-4100000.0,1752000000.0,400000.0
Progressive Corp,PGR,,80661,2012.0,FY,2012-01-01,2012-12-31,2015-03-02 10:59:13+00:00,186700000.0,94400000.0,,1000000.0,742500000.0,0.0,,-1404100000.0,-264900000.0,1691400000.0,-1404100000.0,-264900000.0,1691400000.0,23400000.0,902300000.0,902300000.0,-234500000.0,6300000.0,-44000000.0,-853700000.0,-6100500000.0,-127700000.0,-382500000.0,-174200000.0,6003500000.0,3800000.0
Progressive Corp,PGR,,80661,2012.0,Q3TTM,2011-10-01,2012-09-30,,203600000.0,92300000.0,,300000.0,668900000.0,,,-947600000.0,-698700000.0,1667900000.0,-947600000.0,-698700000.0,1667900000.0,21900000.0,909900000.0,909900000.0,-206800000.0,25400000.0,28100000.0,-252400000.0,-5850600000.0,-109800000.0,-384800000.0,-335800000.0,5229100000.0,4500000.0
Progressive Corp,PGR,,80661,2012.0,Q3,2012-07-01,2012-09-30,,47000000.0,23600000.0,,700000.0,338800000.0,,,-87600000.0,-416600000.0,530200000.0,-87600000.0,-416600000.0,530200000.0,26700000.0,277000000.0,277000000.0,-156200000.0,1500000.0,-47900000.0,-1400000.0,-2179900000.0,-30700000.0,-600000.0,-87100000.0,1840000000.0,1900000.0
Progressive Corp,PGR,,80661,2012.0,Q3YTD,2012-01-01,2012-09-30,2013-11-12 10:57:35+00:00,145300000.0,69100000.0,,900000.0,990000000.0,,,-798900000.0,-830800000.0,1665300000.0,-798900000.0,-830800000.0,1665300000.0,36500000.0,653200000.0,653200000.0,-192300000.0,6100000.0,14500000.0,-252400000.0,-5016000000.0,-84200000.0,-382500000.0,-170100000.0,4251500000.0,3400000.0
Progressive Corp,PGR,,80661,2012.0,Q2TTM,2011-07-01,2012-06-30,,214900000.0,91400000.0,,-700000.0,497500000.0,491900000.0,,-790300000.0,-795100000.0,1601900000.0,-790300000.0,-795100000.0,1601900000.0,15800000.0,783600000.0,783600000.0,14500000.0,25600000.0,22600000.0,-251000000.0,-4995800000.0,-96800000.0,-396900000.0,-659900000.0,4271600000.0,3300000.0
Progressive Corp,PGR,,80661,2012.0,Q2,2012-04-01,2012-06-30,,47700000.0,23200000.0,,-200000.0,214400000.0,,,-63900000.0,-353100000.0,426700000.0,-63900000.0,-353100000.0,426700000.0,9500000.0,118600000.0,118600000.0,22800000.0,,-11900000.0,,-1127300000.0,-24200000.0,-18600000.0,-45300000.0,809600000.0,700000.0
Progressive Corp,PGR,,80661,2012.0,Q2YTD,2012-01-01,2012-06-30,2013-08-06 11:12:44+00:00,98300000.0,45500000.0,,200000.0,651200000.0,,,-711300000.0,-414200000.0,1135100000.0,-711300000.0,-414200000.0,1135100000.0,9800000.0,376200000.0,376200000.0,-36100000.0,4600000.0,62400000.0,-251000000.0,-2836100000.0,-53500000.0,-381900000.0,-83000000.0,2411500000.0,1500000.0
Progressive Corp,PGR,,80661,2012.0,Q1TTM,2011-04-01,2012-03-31,,224100000.0,89800000.0,,-300000.0,324600000.0,491900000.0,,-1005900000.0,-526100000.0,1532800000.0,-1005900000.0,-526100000.0,1532800000.0,500000.0,910200000.0,910200000.0,-15900000.0,29000000.0,146900000.0,-251000000.0,-5423000000.0,-90700000.0,-378300000.0,-897500000.0,4837400000.0,3300000.0
Progressive Corp,PGR,,80661,2012.0,Q1,2012-01-01,2012-03-31,2013-05-02 10:15:18+00:00,50600000.0,22300000.0,,400000.0,436800000.0,,,-647400000.0,-61100000.0,708400000.0,-647400000.0,-61100000.0,708400000.0,300000.0,257600000.0,257600000.0,-58900000.0,4600000.0,74300000.0,-251000000.0,-1708800000.0,-29300000.0,-363300000.0,-37700000.0,1601900000.0,800000.0
Progressive Corp,PGR,,80661,2013.0,FY,2013-01-01,2013-12-31,2016-02-29 12:40:21+00:00,134000000.0,101300000.0,,-600000.0,742800000.0,0.0,,-646800000.0,-1356500000.0,1899900000.0,-646800000.0,-1356500000.0,1899900000.0,-104000000.0,1165400000.0,1165400000.0,-243600000.0,10300000.0,152200000.0,-175600000.0,-7422800000.0,-140400000.0,-208100000.0,-273400000.0,6050800000.0,3700000.0
Progressive Corp,PGR,,80661,2013.0,Q4,2013-10-01,2013-12-31,,22600000.0,26400000.0,,300000.0,-136500000.0,,,-258600000.0,80600000.0,151900000.0,-258600000.0,80600000.0,151900000.0,-25800000.0,299800000.0,299800000.0,-60400000.0,,-2400000.0,,-1091800000.0,-34800000.0,-150000000.0,-108600000.0,1208300000.0,1300000.0
