company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromdiscontinuedfinancingactivities,netcashfromdiscontinuedinvestingactivities,netcashfromdiscontinuedoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2012.0,Q4,2012-10-01,2012-12-31,,,359000000.0,23000000.0,,,,,,-575000000.0,-145000000.0,-1583000000.0,,,,-575000000.0,-145000000.0,1057000000.0,337000000.0,,,2640000000.0,35000000.0,-10000000.0,-134000000.0,,-135000000.0,-6000000.0,-470000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2012.0,Q3YTD,2012-01-01,2012-09-30,2013-10-23 07:08:05+00:00,,760000000.0,177000000.0,,,,,0.0,-1121000000.0,61000000.0,1583000000.0,,,,-1121000000.0,61000000.0,1583000000.0,523000000.0,,,,153000000.0,7000000.0,-401000000.0,,-196000000.0,-27000000.0,-846000000.0,250000000.0
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2012.0,Q3,2012-07-01,2012-09-30,,,176000000.0,75000000.0,,,,,,-334000000.0,-101000000.0,812000000.0,,,,-334000000.0,-101000000.0,812000000.0,377000000.0,,,,86000000.0,-37000000.0,-136000000.0,,-64000000.0,7000000.0,-291000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2012.0,Q2YTD,2012-01-01,2012-06-30,2013-07-24 07:09:23+00:00,,584000000.0,102000000.0,,,,,0.0,-787000000.0,162000000.0,771000000.0,,,,-787000000.0,162000000.0,771000000.0,146000000.0,,,,67000000.0,44000000.0,-265000000.0,,-132000000.0,-34000000.0,-555000000.0,250000000.0
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2012.0,Q2,2012-04-01,2012-06-30,,,492000000.0,24000000.0,,,,,,-403000000.0,-7000000.0,876000000.0,,,,-403000000.0,-7000000.0,876000000.0,466000000.0,,,,27000000.0,44000000.0,-138000000.0,,-51000000.0,,-292000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2012.0,Q1,2012-01-01,2012-03-31,2013-04-24 07:03:06+00:00,,92000000.0,78000000.0,,,,,,-384000000.0,169000000.0,-105000000.0,,,,-384000000.0,169000000.0,-105000000.0,-320000000.0,,,,40000000.0,0.0,-127000000.0,,-81000000.0,-34000000.0,-263000000.0,250000000.0
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2013.0,FY,2013-01-01,2013-12-31,2015-02-02 17:09:25+00:00,,,,495000000.0,,-99000000.0,,2944000000.0,-849000000.0,-346000000.0,2483000000.0,,,,-849000000.0,-346000000.0,2483000000.0,1288000000.0,1952000000.0,1952000000.0,135000000.0,,18000000.0,-545000000.0,,-364000000.0,-877000000.0,-2371000000.0,0.0
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2013.0,Q4,2013-10-01,2013-12-31,,,-579000000.0,-183000000.0,,,,,103000000.0,-821000000.0,-177000000.0,1204000000.0,,,,-821000000.0,-177000000.0,1204000000.0,206000000.0,0.0,,,-158000000.0,9000000.0,-134000000.0,,-186000000.0,78000000.0,-710000000.0,
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2013.0,Q3YTD,2013-01-01,2013-09-30,2013-10-23 07:08:05+00:00,,579000000.0,183000000.0,,,,,2841000000.0,-28000000.0,-169000000.0,1279000000.0,,,,-28000000.0,-169000000.0,1279000000.0,1082000000.0,,,,158000000.0,9000000.0,-411000000.0,,-178000000.0,-955000000.0,-1661000000.0,0.0
NORTHROP GRUMMAN CORP,NOC,RIMU48P07456QXSO0R61,1133421,2013.0,Q3TTM,2012-10-01,2013-09-30,,,938000000.0,206000000.0,,,,,2841000000.0,-603000000.0,-314000000.0,-304000000.0,,,,-603000000.0,-314000000.0,2336000000.0,1419000000.0,,,2640000000.0,193000000.0,-1000000.0,-545000000.0,,-313000000.0,-961000000.0,-2131000000.0,
