Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
10/26/1991,2423.0,,-1625.0,,798.0,,-706.0,,,,92.0,-27.0,,27.0,,,0.0,65.0,-24.0,,41.0,0.0,,,41.0,0.0,41.0,0.0,,41.0,41.0,,130.100006,0.31,0.31,,130.100006,0.31,0.31,0.31,
01/25/1992,3136.0,,-2129.0,,1007.0,,-799.0,,,,208.0,-410.0,,20.0,,,390.0,-202.0,74.0,,-128.0,0.0,,,-128.0,0.0,-128.0,-0.1,,-128.1,-128.1,,130.322998,-0.98,-0.98,-0.98,130.322998,-0.98,-0.98,-0.98,
04/25/1992,2096.0,,-1393.0,,703.0,,-654.0,,,,49.0,-22.0,,22.0,,,0.0,27.0,-10.0,,17.0,0.0,,,17.0,0.0,17.0,0.0,,17.0,17.0,,130.399994,0.13,0.13,,130.399994,0.13,0.13,0.13,
07/25/1992,2230.0,,-1484.0,,746.0,,-670.0,,,,76.0,-24.0,,24.0,,,0.0,52.0,-19.0,,33.0,0.0,,,33.0,0.0,33.0,0.0,,33.0,33.0,,130.5,0.25,0.25,,130.5,0.25,0.25,0.25,
10/24/1992,2501.0,,-1644.0,,857.0,,-729.0,,,,128.0,-25.0,,25.0,,,0.0,103.0,-38.0,,65.0,0.0,,,65.0,0.0,65.0,0.0,,65.0,65.0,,130.699997,0.5,0.5,,130.699997,0.5,0.5,0.5,
01/30/1993,3135.0,,-2162.0,,973.0,,-702.0,,,,271.0,-16.0,,16.0,,0.0,0.0,255.0,-90.0,,165.0,0.0,,,165.0,0.0,165.0,0.0,,165.0,165.0,,131.218002,1.26,1.26,1.26,131.218002,1.26,1.26,1.26,
05/01/1993,2135.0,,-1478.0,,657.0,,-679.0,,,,-22.0,-16.0,,16.0,,,0.0,-38.0,14.0,,-24.0,0.0,,,-24.0,0.0,-24.0,0.0,,-24.0,-24.0,,131.300003,-0.18,-0.18,,131.300003,-0.18,-0.18,-0.18,
07/31/1993,2288.0,,-1599.0,,689.0,,-686.0,,,,3.0,-19.0,,19.0,,,0.0,-16.0,6.0,,-10.0,0.0,,,-10.0,0.0,-10.0,0.0,,-10.0,-10.0,,131.5,-0.08,-0.08,,131.5,-0.08,-0.08,-0.08,
10/30/1993,2387.0,,-1603.0,,784.0,,-766.0,,,,18.0,-582.0,,24.0,,0.0,558.0,-564.0,214.0,,-350.0,0.0,,,-350.0,0.0,-350.0,0.0,,-350.0,-350.0,,131.600006,-2.66,-2.66,,131.600006,-2.66,-2.66,-2.66,
01/29/1994,2816.0,,-2067.0,,749.0,,-741.0,,,,8.0,-188.0,,20.0,,0.0,168.0,-180.0,69.0,,-111.0,0.0,,,-111.0,0.0,-111.0,0.0,,-111.0,-111.0,,131.699997,-0.84,-0.84,-0.84,131.699997,-0.84,-0.84,-0.84,
04/30/1994,1760.0,,-1229.0,,531.0,,-569.0,,,,-38.0,-20.0,,20.0,,,0.0,-58.0,20.0,,-38.0,0.0,,,-38.0,0.0,-38.0,0.0,,-38.0,-38.0,,131.899994,-0.29,-0.29,,131.899994,-0.29,-0.29,-0.29,
07/30/1994,1862.0,,-1292.0,,570.0,,-574.0,,,,-4.0,-43.0,,27.0,,0.0,16.0,-47.0,5.0,,-42.0,0.0,,,-42.0,0.0,-42.0,0.0,,-42.0,-42.0,,132.100006,-0.32,-0.32,,132.100006,-0.32,-0.32,-0.32,
10/29/1994,2094.0,,-1400.0,,694.0,,-612.0,,,,82.0,-27.0,,30.0,,0.0,-3.0,55.0,-18.0,,37.0,0.0,,,37.0,0.0,37.0,0.0,,37.0,37.0,,132.199997,0.28,0.28,,132.199997,0.28,0.28,0.28,
01/28/1995,2560.0,,-1705.0,,855.0,,-679.0,,,,176.0,-30.0,,30.0,,0.0,0.0,146.0,-56.0,,90.0,0.0,,,90.0,0.0,90.0,0.0,,90.0,90.0,,132.300003,0.69,0.69,0.69,132.300003,0.69,0.69,0.69,
04/29/1995,1794.0,,-1305.0,,489.0,,-605.0,,,,-116.0,-17.0,,32.0,,0.0,-15.0,-133.0,53.0,,-80.0,0.0,,,-80.0,0.0,-80.0,0.0,,-80.0,-80.0,,132.5,-0.6,-0.6,,132.5,-0.6,-0.6,-0.6,
07/29/1995,1922.0,,-1334.0,,588.0,,-591.0,,,,-3.0,-16.0,,33.0,,0.0,-17.0,-19.0,8.0,,-11.0,0.0,,,-11.0,0.0,-11.0,0.0,,-11.0,-11.0,,132.699997,-0.09,-0.09,,132.699997,-0.09,-0.09,-0.09,
10/28/1995,2071.0,,-1419.0,,652.0,,-567.0,,,,85.0,-28.0,,30.0,,0.0,-2.0,57.0,-23.0,,34.0,0.0,,,34.0,0.0,34.0,0.0,,34.0,34.0,,132.800003,0.26,0.26,,132.800003,0.26,0.26,0.26,
01/27/1996,2437.0,,-1677.0,,760.0,,-642.0,,,,118.0,-256.0,,24.0,,0.0,232.0,-138.0,31.0,,-107.0,0.0,,,-107.0,0.0,-107.0,0.0,,-107.0,-107.0,,132.899994,-0.8,-0.8,-0.8,132.899994,-0.8,-0.8,-0.8,
04/27/1996,1570.0,,-1119.0,,451.0,,-460.0,,,,-9.0,-16.0,,17.0,,0.0,-1.0,-25.0,10.0,,-15.0,7.0,,,-22.0,0.0,-22.0,0.0,,-22.0,-22.0,,133.100006,-0.17,-0.11,-0.11,133.100006,-0.17,-0.11,-0.11,
07/27/1996,1607.0,,-1095.0,,512.0,,-460.0,,,,52.0,-9.0,,15.0,,0.0,-6.0,43.0,-17.0,,26.0,4.0,,,22.0,0.0,22.0,0.0,,22.0,22.0,,134.300003,0.17,0.19,0.19,135.100006,0.17,0.19,0.19,
10/26/1996,1790.0,,-1199.0,,591.0,,-469.0,,,,122.0,7.0,,13.0,,0.0,-20.0,129.0,-52.0,,77.0,8.0,,,69.0,0.0,69.0,0.0,,69.0,69.0,,133.600006,0.52,0.58,0.58,134.399994,0.52,0.58,0.58,
01/25/1997,2050.0,,-1370.0,,680.0,,-494.0,,,,186.0,-13.0,,14.0,,0.0,-1.0,173.0,-68.0,,105.0,5.0,,,100.0,0.0,100.0,0.0,,100.0,100.0,,134.0,0.74,0.79,0.79,134.800003,0.74,0.78,0.78,
04/26/1997,1539.0,,-1074.0,,465.0,,-429.0,,,,36.0,-7.0,,11.0,,0.0,-4.0,29.0,-12.0,,17.0,16.0,,,1.0,0.0,1.0,0.0,,1.0,1.0,,134.100006,0.01,0.13,0.13,135.199997,0.01,0.13,0.13,
07/26/1997,1500.0,,-1037.0,,463.0,,-413.0,,,,50.0,-9.0,,11.0,,0.0,-2.0,41.0,-15.0,,26.0,207.0,,,-181.0,0.0,-181.0,0.0,,-181.0,-181.0,,134.5,-1.35,0.19,0.19,136.0,-1.33,0.19,0.19,
10/25/1997,1107.0,,-741.0,,366.0,,-282.0,,,,84.0,-8.0,,8.0,,0.0,0.0,76.0,-26.0,,50.0,-5.0,,,55.0,0.0,55.0,0.0,,55.0,55.0,,134.899994,0.41,0.37,0.37,136.300003,0.4,0.37,0.37,
01/31/1998,2002.0,,-1367.0,,635.0,0.0,-453.0,410.0,,43.0,182.0,0.0,,12.0,,,-12.0,182.0,-67.0,,115.0,,,,115.0,0.0,115.0,0.0,0.0,115.0,115.0,,134.9,0.85,0.85,0.85,135.8,0.85,0.85,0.85,
05/02/1998,1058.0,,-748.0,,310.0,,-305.0,,,,5.0,9.0,,10.0,,0.0,-19.0,14.0,-6.0,,8.0,13.0,,,-5.0,0.0,-5.0,0.0,,-5.0,-5.0,,135.100006,-0.04,0.06,-0.08,136.399994,-0.04,0.06,-0.08,
08/01/1998,1043.0,,-736.0,,307.0,,-290.0,,,,17.0,-7.0,,7.0,,0.0,0.0,10.0,-4.0,,6.0,19.0,,,-13.0,0.0,-13.0,0.0,,-13.0,-13.0,,135.399994,-0.09,0.04,0.04,136.0,-0.09,0.04,0.04,
10/31/1998,1122.0,,-840.0,,282.0,,-340.0,,,,-58.0,-18.0,,18.0,,0.0,0.0,-76.0,36.0,,-40.0,115.0,,,-155.0,0.0,-155.0,0.0,,-155.0,-155.0,,135.600006,-1.14,-0.29,-0.29,135.600006,-1.14,-0.29,-0.29,
01/31/1999,1332.0,,-1053.0,,279.0,,-339.0,,,,-60.0,73.0,,9.0,,0.0,-82.0,13.0,16.0,,29.0,-8.0,,,37.0,0.0,37.0,0.0,,37.0,37.0,,135.600006,0.27,0.21,0.21,135.600006,0.27,0.21,0.21,
05/01/1999,1079.0,,-791.0,,288.0,,-302.0,,,,-14.0,-16.0,,11.0,,0.0,5.0,-30.0,8.0,,-11.0,3.0,,,-25.0,0.0,-11.0,0.0,0.0,-11.0,-11.0,,136.7,-0.080468,-0.080468,-0.08,136.7,-0.080468,-0.080468,-0.08,
07/31/1999,981.0,,-730.0,,251.0,,-274.0,,,,-23.0,-39.0,,17.0,,0.0,22.0,-62.0,26.0,,-36.0,-6.0,,,-30.0,0.0,-30.0,0.0,0.0,-30.0,-30.0,,137.300003,-0.22,-0.26,0.06,137.300003,-0.22,-0.26,0.06,
10/30/1999,1087.0,,-785.0,,302.0,,-273.0,,,,29.0,-15.0,,17.0,,0.0,-2.0,14.0,-6.0,,8.0,0.0,,,8.0,0.0,8.0,0.0,0.0,8.0,8.0,,137.399994,0.06,0.06,0.07,138.399994,0.06,0.06,0.07,
01/29/2000,1179.0,,-850.0,,329.0,,-312.0,,,,17.0,135.0,,20.0,,0.0,-155.0,152.0,-65.0,,87.0,14.0,,,73.0,0.0,73.0,0.0,0.0,73.0,73.0,,137.399994,0.53,0.63,0.31,138.199997,0.53,0.63,0.31,
04/29/2000,1108.0,,-787.0,,321.0,,-298.0,,,,23.0,1.0,,,,0.0,-1.0,24.0,-9.0,,15.0,10.0,,,5.0,0.0,15.0,0.0,0.0,15.0,15.0,,137.6,0.11,0.11,0.11,138.5,0.11,0.11,0.11,
07/29/2000,971.0,,-692.0,,279.0,,-262.0,,,,17.0,4.0,,,,0.0,-4.0,21.0,-8.0,,13.0,3.0,,,10.0,0.0,9.0,0.0,0.0,9.0,9.0,,137.699997,0.07,0.09,0.09,139.0,0.07,0.09,0.09,
10/30/2000,1085.0,,-751.0,,334.0,,-278.0,,,,56.0,-9.0,,,,0.0,9.0,47.0,-18.0,,29.0,4.0,,,25.0,0.0,25.0,0.0,0.0,25.0,25.0,,137.899994,0.18,0.21,0.21,139.5,0.18,0.21,0.21,
02/03/2001,1256.0,,-871.0,,385.0,,-293.0,,,,92.0,,,,,,,,,,42.0,330.0,,,,0.0,-288.0,0.0,0.0,-288.0,-288.0,,139.600006,-2.08,0.31,0.26,139.600006,-2.06,0.31,0.26,
05/05/2001,1072.0,,-746.0,,326.0,,-269.0,,,,57.0,-4.0,,,,0.0,4.0,53.0,-21.0,,32.0,-5.0,,,37.0,0.0,37.0,0.0,0.0,37.0,37.0,,138.600006,0.27,0.23,0.23,139.699997,0.27,0.23,0.23,
07/29/2001,1048.0,,-742.0,,306.0,,-265.0,,,,41.0,-37.0,,,,0.0,37.0,4.0,0.0,,4.0,18.0,,,-14.0,0.0,-14.0,0.0,0.0,-14.0,-14.0,,139.5,-0.1,0.03,0.2,140.800003,-0.1,0.03,0.2,
11/03/2001,1104.0,,-777.0,,327.0,,-267.0,,,,60.0,-9.0,8.0,,,0.0,1.0,51.0,-18.0,,33.0,0.0,,,33.0,0.0,33.0,0.0,0.0,33.0,33.0,,139.8,0.24,0.24,0.24,150.8,0.23,0.23,0.23,
02/02/2002,1155.0,,-806.0,,349.0,,-276.0,,,,73.0,-6.0,,,,0.0,6.0,67.0,-25.0,,42.0,6.0,,,36.0,0.0,36.0,0.0,0.0,36.0,36.0,,139.699997,0.25,0.29,0.34,150.600006,0.24,0.28,0.327,
05/04/2002,1090.0,,-770.0,,320.0,,-256.0,,,,64.0,-7.0,,8.0,-1.0,0.0,0.0,57.0,-19.0,,38.0,18.0,,,20.0,0.0,20.0,0.0,0.0,20.0,20.0,,140.100006,0.14,0.27,0.27,150.899994,0.14,0.26,0.26,
08/03/2002,1085.0,,-773.0,,312.0,,-258.0,,,,54.0,-3.0,,9.0,-2.0,0.0,-4.0,51.0,-18.0,,33.0,2.0,,,31.0,0.0,31.0,0.0,0.0,31.0,31.0,,140.699997,0.22,0.23,0.23,151.0,0.21,0.22,0.22,
11/02/2002,1120.0,,-777.0,,343.0,,-272.0,,,,71.0,-12.0,5.0,8.0,-3.0,0.0,7.0,59.0,-24.0,,43.0,-1.0,,,36.0,0.0,45.0,0.0,0.0,45.0,45.0,,140.9,0.32,0.32,0.3,150.7,0.31,0.31,0.29,
02/01/2003,1214.0,,-845.0,,369.0,,-291.0,,,,78.0,-7.0,,8.0,-1.0,0.0,0.0,71.0,-23.0,,48.0,-9.0,,,57.0,0.0,57.0,0.0,0.0,57.0,57.0,,140.100006,0.41,0.35,0.35,150.800003,0.39,0.33,0.33,
05/03/2003,1128.0,,-782.0,,346.0,,-279.0,,,,67.0,-5.0,,7.0,-2.0,0.0,0.0,62.0,-23.0,,39.0,1.0,,,38.0,0.0,38.0,0.0,0.0,38.0,38.0,,141.100006,0.27,0.28,0.28,151.300003,0.26,0.27,0.27,
08/02/2003,1123.0,,-791.0,,332.0,,-273.0,,,,59.0,-4.0,,6.0,-2.0,0.0,0.0,55.0,-18.0,,37.0,1.0,,,36.0,0.0,36.0,0.0,0.0,36.0,36.0,,141.300003,0.25,0.26,0.26,152.100006,0.24,0.25,0.25,
11/01/2003,1123.0,,-792.0,,331.0,,-271.0,,,,60.0,-3.0,,4.0,-1.0,0.0,0.0,57.0,-18.0,,37.0,1.0,,,38.0,0.0,36.0,0.0,0.0,36.0,36.0,,141.699997,0.43,0.43,0.43,153.199997,0.41,0.41,0.41,
01/31/2004,1334.0,,-922.0,,412.0,,-298.0,,,,114.0,-4.0,,7.0,-3.0,0.0,0.0,110.0,-39.0,,71.0,0.0,,,71.0,0.0,71.0,0.0,0.0,71.0,71.0,,141.699997,0.5,0.5,0.5,155.0,0.47,0.47,0.47,
05/01/2004,1186.0,,-825.0,,361.0,,-283.0,,,,78.0,-4.0,,6.0,-2.0,0.0,0.0,74.0,-27.0,,47.0,-1.0,,,48.0,0.0,48.0,0.0,0.0,48.0,48.0,,143.600006,0.33,0.33,0.33,156.199997,0.31,0.31,0.31,
07/31/2004,1268.0,,-899.0,,369.0,,-308.0,,,,61.0,-4.0,,6.0,-2.0,0.0,0.0,57.0,-12.0,,45.0,-37.0,,,82.0,0.0,82.0,0.0,0.0,82.0,82.0,,150.800003,0.55,0.3,0.31,157.100006,0.53,0.29,0.3,
10/30/2004,1366.0,,-940.0,,426.0,,-309.0,,,,117.0,-4.0,,5.0,-1.0,0.0,0.0,113.0,-39.0,,74.0,0.0,,,74.0,0.0,74.0,0.0,0.0,74.0,74.0,,154.5,0.47,0.47,0.47,157.399994,0.47,0.47,0.47,
01/29/2005,1535.0,,-1058.0,,477.0,,-342.0,,,,135.0,-5.0,,5.0,-2.0,0.0,2.0,130.0,-41.0,,89.0,0.0,,,89.0,0.0,89.0,0.0,0.0,89.0,89.0,,154.7,0.58,0.58,0.58,157.8,0.57,0.57,0.57,
04/30/2005,1377.0,,-959.0,,418.0,,-324.0,283.0,,41.0,94.0,-3.0,3.0,6.0,-3.0,0.0,0.0,91.0,-33.0,,58.0,0.0,,,58.0,0.0,58.0,0.0,0.0,58.0,58.0,,155.1,0.37,0.37,0.37,158.1,0.37,0.37,0.37,
07/30/2005,1304.0,,-927.0,,377.0,,-306.0,265.0,,41.0,71.0,0.0,3.0,6.0,-3.0,0.0,-3.0,71.0,-27.0,,44.0,0.0,,,44.0,0.0,44.0,0.0,0.0,44.0,44.0,,155.6,0.29,0.29,0.29,158.3,0.28,0.28,0.28,
10/29/2005,1408.0,,-978.0,,430.0,,-326.0,280.0,,46.0,104.0,-2.0,2.0,5.0,-3.0,0.0,0.0,102.0,-37.0,,65.0,-1.0,,,66.0,0.0,66.0,0.0,0.0,66.0,66.0,,155.2,0.43,0.42,0.42,157.4,0.42,0.41,0.41,
01/28/2006,1564.0,,-1080.0,,484.0,,-344.0,,,,140.0,1.0,,6.0,-4.0,0.0,-3.0,141.0,-45.0,,96.0,0.0,,,96.0,0.0,96.0,0.0,0.0,96.0,96.0,,156.7,0.62,0.62,0.62,156.7,0.61,0.61,0.61,
04/29/2006,1365.0,,-946.0,,419.0,,-326.0,283.0,,43.0,93.0,-1.0,-3.0,1.0,-4.0,0.0,4.0,92.0,-34.0,,58.0,-1.0,,,59.0,0.0,59.0,0.0,0.0,59.0,59.0,,154.7,0.38,0.37,0.37,156.7,0.38,0.37,0.37,
07/29/2006,1303.0,,-942.0,,361.0,,-317.0,273.0,,44.0,44.0,-19.0,1.0,6.0,-5.0,0.0,18.0,25.0,-11.0,,14.0,0.0,,,14.0,0.0,14.0,0.0,0.0,14.0,14.0,,154.9,0.09,0.09,0.16,156.7,0.09,0.09,0.16,
10/28/2006,1430.0,,-1008.0,,422.0,,-328.0,284.0,,44.0,94.0,7.0,1.0,6.0,-5.0,,-8.0,101.0,-36.0,,65.0,0.0,,,65.0,0.0,65.0,0.0,0.0,65.0,65.0,0.0,155.0,0.42,0.42,0.42,156.8,0.42,0.42,0.42,
02/03/2007,1652.0,,-1118.0,,534.0,,-367.0,323.0,,44.0,167.0,7.0,-2.0,10.0,-12.0,0.0,-5.0,174.0,-64.0,,110.0,-3.0,,,113.0,0.0,113.0,0.0,0.0,113.0,113.0,,156.9,0.72,0.7,0.7,156.9,0.72,0.7,0.7,
05/05/2007,1316.0,,-956.0,,360.0,,-333.0,290.0,,43.0,27.0,0.0,,5.0,-5.0,0.0,0.0,27.0,-10.0,,17.0,0.0,,,17.0,0.0,17.0,0.0,0.0,17.0,17.0,,154.8,0.11,0.11,0.11,156.5,0.11,0.11,0.11,
08/04/2007,1283.0,,-981.0,,302.0,,-330.0,286.0,,44.0,-28.0,-1.0,0.0,5.0,-5.0,0.0,1.0,-29.0,11.0,,-18.0,0.0,,,-18.0,0.0,-18.0,0.0,0.0,-18.0,-18.0,0.0,154.0,-0.12,-0.12,-0.12,154.0,-0.12,-0.12,-0.12,
11/03/2007,1356.0,,-975.0,,381.0,,-439.0,289.0,,150.0,-58.0,0.0,10.0,15.0,-5.0,0.0,-10.0,-58.0,24.0,,-34.0,-1.0,,,-33.0,0.0,-33.0,0.0,0.0,-33.0,-33.0,,153.6,-0.22,-0.22,0.21,153.6,-0.22,-0.22,0.21,
02/02/2008,1482.0,,-1105.0,,377.0,0.0,-345.0,311.0,,34.0,32.0,-22.0,1.0,6.0,-5.0,0.0,21.0,10.0,61.0,,71.0,-1.0,,,72.0,0.0,72.0,0.0,0.0,72.0,72.0,,154.9,0.46,0.45,0.1273,154.9,0.46,0.45,0.1273,
05/03/2008,1309.0,1309.0,-943.0,943.0,366.0,0.0,-350.0,299.0,32.0,19.0,16.0,-1.0,1.0,5.0,-4.0,,0.0,15.0,-12.0,,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,21.0,18.0,153.8,0.02,0.02,0.136541,155.0,0.02,0.02,0.136129,
08/02/2008,1302.0,1302.0,-941.0,941.0,361.0,0.0,-333.0,299.0,33.0,1.0,28.0,0.0,2.0,4.0,-2.0,,-2.0,28.0,-10.0,,18.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,0.0,18.0,18.65,0.65,154.0,0.11,0.11,0.121104,155.4,0.11,0.11,0.114183,
11/01/2008,1309.0,1309.0,-954.0,954.0,355.0,0.0,-322.0,287.0,32.0,3.0,33.0,4.0,1.0,4.0,-3.0,,-5.0,37.0,-13.0,,24.0,0.0,0.0,0.0,24.0,0.0,24.0,0.0,0.0,24.0,27.0,3.0,154.1,0.16,0.16,0.175211,155.6,0.16,0.16,0.175211,
01/31/2009,1317.0,1317.0,-939.0,939.0,378.0,0.0,-558.0,289.0,33.0,236.0,-180.0,0.0,1.0,3.0,-2.0,,-1.0,-180.0,56.0,,-124.0,1.0,1.0,0.0,-125.0,0.0,-125.0,0.0,0.0,-125.0,39.0,163.0,154.1,-0.81,-0.81,0.253082,154.1,-0.81,-0.81,0.247755,
05/02/2009,1216.0,1216.0,-860.0,860.0,356.0,0.0,-306.0,278.0,28.0,0.0,50.0,-1.0,2.0,3.0,-1.0,,-1.0,49.0,-18.0,,31.0,0.0,0.0,0.0,31.0,0.0,31.0,0.0,0.0,31.0,31.0,0.0,155.3,0.2,0.2,0.2,155.5,0.2,0.2,0.2,
08/01/2009,1099.0,1099.0,-819.0,819.0,280.0,0.0,-280.0,252.0,28.0,0.0,0.0,-2.0,3.0,3.0,0.0,,-1.0,-2.0,1.0,,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,155.9,0.0,-0.006414,-0.006414,155.9,0.0,-0.006414,-0.006414,
10/31/2009,1214.0,1214.0,-885.0,885.0,329.0,0.0,-339.0,274.0,29.0,36.0,-10.0,-3.0,3.0,4.0,-1.0,,0.0,-13.0,7.0,,-6.0,0.0,0.0,0.0,-6.0,0.0,-6.0,0.0,0.0,-6.0,16.0,22.0,156.4,-0.04,-0.04,0.102302,156.4,-0.04,-0.04,0.100665,
01/30/2010,1325.0,1325.0,-958.0,958.0,367.0,0.0,-327.0,295.0,27.0,5.0,40.0,-1.0,2.0,3.0,-1.0,,-1.0,39.0,-16.0,,23.0,0.0,0.0,0.0,23.0,0.0,23.0,0.0,0.0,23.0,27.210526,4.210526,156.9,0.14,0.14,0.173426,156.9,0.14,0.14,0.166836,
05/01/2010,1281.0,1281.0,-888.0,888.0,393.0,0.0,-306.0,280.0,26.0,0.0,87.0,-3.0,3.0,4.0,-1.0,,0.0,84.0,-30.0,,54.0,0.0,0.0,0.0,54.0,0.0,54.0,0.0,0.0,54.0,54.0,0.0,156.5,0.35,0.35,0.35,157.3,0.34,0.34,0.34,
07/31/2010,1096.0,1096.0,-791.0,791.0,305.0,0.0,-294.0,268.0,26.0,0.0,11.0,-1.0,2.0,3.0,-1.0,,-1.0,10.0,-4.0,,6.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,6.0,6.0,0.0,156.1,0.04,0.04,0.04,156.9,0.04,0.04,0.04,
10/30/2010,1280.0,1280.0,-892.0,892.0,388.0,0.0,-314.0,287.0,27.0,0.0,74.0,-1.0,2.0,3.0,-1.0,,-1.0,73.0,-21.0,,52.0,0.0,0.0,0.0,52.0,0.0,52.0,0.0,0.0,52.0,52.0,0.0,155.4,0.33,0.33,0.33,156.2,0.33,0.33,0.33,
01/29/2011,1392.0,1392.0,-962.0,962.0,430.0,0.0,-340.0,303.0,27.0,10.0,90.0,0.0,2.0,4.0,-2.0,,-2.0,90.0,-33.0,,57.0,0.0,0.0,0.0,57.0,0.0,57.0,0.0,0.0,57.0,61.0,4.0,156.2,0.36,0.36,0.390525,156.2,0.36,0.36,0.385608,
04/30/2011,1452.0,1452.0,-977.0,977.0,475.0,0.0,-325.0,298.0,27.0,0.0,150.0,-1.0,2.0,4.0,-2.0,,-1.0,149.0,-55.0,,94.0,0.0,0.0,0.0,94.0,0.0,94.0,0.0,0.0,94.0,94.0,0.0,154.4,0.61,0.61,0.61,155.7,0.6,0.6,0.6,
