Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2011,39054,8357,6984,1373,1713,1713,0.0,0,0.0,0.0,0.0,0.0,1916,,,,1273,11986,16190,20439,-4249,0.0,,10878,9295,4523.0,4772,92.0,1491,27068,,3212,1808,,,1404,1339,0,138,138,,1201,7347,3343,,4740,11898,11818,10873,945,945,,13026,,3821,,,1641.0,4221,24844,36742,0,7113,3,7110,-31,-4725,-45,2312,0,2312,39054,
12/31/2011,37988,7762,6246,1516,1358,1358,0.0,0,0.0,0.0,0.0,0.0,1877,,4.0,,1262,10997,16037,20607,-4570,0.0,,10954,9273,4523.0,4750,,1677,26991,,3507,1998,,0.0,1509,1311,0,125,125,,1186,6576,3253,0.0,1057,11394,11424,10496,928,928,,13364,0.0,4269,,,1603.0,4239,24788,36182,0,7117,3,7114,-31,-4863,-417,1806,0,1806,37988,
03/31/2012,38199,7273,5606,1667,1908,1908,0.0,0,0.0,0.0,0.0,0.0,2080,,,,1470,11261,16026,20819,-4793,0.0,,10912,9235,4523.0,4712,,1677,26938,,3359,2220,,,1139,1140,0,127,127,,1013,7987,2958,,947,12486,11296,10408,888,888,,12907,,4272,,,1596.0,4081,24203,36689,0,7133,3,7130,-32,-5311,-280,1510,0,1510,38199,
06/30/2012,38694,7704,6086,1618,1818,1818,0.0,0,0.0,0.0,0.0,0.0,2186,,,,1528,11708,16127,21248,-5121,0.0,,10859,9204,4523.0,4681,,1655,26986,,3395,2165,,,1230,1468,0,119,119,,1349,8449,2872,,1152,13312,10979,10128,851,851,,12768,,4287,,,1646.0,3963,23747,37059,0,7138,3,7135,-32,-4972,-499,1635,0,1635,38694,
09/30/2012,37905,6680,5129,1551,1862,1862,0.0,0,0.0,0.0,0.0,0.0,2232,,,,1591,10774,16197,21623,-5426,0.0,,10934,9173,4523.0,4650,,1761,27131,,3516,2188,,,1328,1824,0,120,120,,1704,7717,2839,,1454,13057,10420,9592,828,828,,12601,,4249,,,1649.0,3864,23021,36078,0,7143,3,7140,-32,-4965,-319,1827,0,1827,37905,
12/31/2012,37628,6543,4770,1773,1338,1338,0.0,0,0.0,0.0,0.0,0.0,2168,,0.0,,1625,10049,16830,22549,-5719,0.0,,10749,9120,4523.0,4597,,1629,27579,,4075,2312,,0.0,1763,1934,0,122,122,,1812,6809,2756,0.0,1085,12818,11232,10440,792,792,,13097,0.0,5014,,,1543.0,3784,24329,37147,0,7148,3,7145,-35,-5586,-1046,481,0,481,37628,
03/31/2013,36842,5390,3538,1852,1679,1679,0.0,0,0.0,0.0,0.0,0.0,2079,,3.0,,1585,9148,16903,22955,-6052,0.0,,10791,9084,4523.0,4561,,1704,27694,,3748,2293,,,1455,1200,0,121,121,,1079,7944,2755,,999,12892,10947,10182,765,765,,12909,,5017,,,1485.0,3652,23856,36748,0,7162,3,7159,-38,-6003,-1027,94,0,94,36842,
06/30/2013,37468,5964,4143,1821,1732,1732,0.0,0,0.0,0.0,0.0,0.0,1925,,,,1385,9621,16974,23396,-6422,0.0,,10873,9046,4523.0,4523,,1827,27847,,3778,2298,,,1480,1028,0,119,119,,909,8121,2644,,951,12927,10938,10214,724,724,,12386,,4579,,,1542.0,3621,23324,36251,0,7358,4,7354,-38,-5534,-569,1217,0,1217,37468,
09/30/2013,37260,5736,3935,1801,1693,1693,0.0,0,0.0,0.0,0.0,0.0,1960,,2.0,,1392,9389,17092,23749,-6657,0.0,,10779,9010,4523.0,4487,,1767,27871,,3970,2126,,,1844,1074,0,117,117,,957,7560,2556,,1059,12604,10985,10204,781,781,,11943,,4456,,,1573.0,3358,22928,35532,0,7414,4,7410,-38,-5155,-493,1728,0,1728,37260,
12/31/2013,36812,5121,3220,1901,1503,1503,0.0,0,0.0,0.0,0.0,0.0,2078,,0.0,,1387,8702,17341,24270,-6929,0.0,,10769,8959,4523.0,4436,,1810,28110,,3783,2087,,0.0,1696,1485,0,117,117,,1368,6839,2535,0.0,1065,12107,10924,10171,753,753,,10797,0.0,3353,,,1662.0,3247,21721,33828,0,7429,4,7425,-38,-5015,608,2984,0,2984,36812,
03/31/2014,37185,5024,3009,2015,1609,1609,0.0,0,0.0,0.0,0.0,0.0,2155,,9.0,,1535,8788,17696,24946,-7250,0.0,,10701,8925,4523.0,4402,,1767,28397,,3695,2332,,,1363,1290,0,112,112,,1178,8106,2593,,984,13091,10834,10098,736,736,,10681,,3327,,,1608.0,3153,21515,34606,0,7670,4,7666,-47,-5624,580,2579,0,2579,37185,
06/30/2014,38447,5796,3424,2372,1665,1665,0.0,0,0.0,0.0,0.0,0.0,2158,,45.0,,1572,9619,18058,25578,-7520,0.0,,10770,8895,4523.0,4372,,1830,28828,,3901,2441,,,1460,1266,0,98,98,,1168,8167,2735,,992,13334,11054,10354,700,700,,10712,,3278,,,1576.0,3123,21766,35100,0,7640,4,7636,-47,-4835,589,3347,0,3347,38447,
09/30/2014,38011,5514,3117,2397,1559,1559,0.0,0,0.0,0.0,0.0,0.0,2152,,,,1570,9225,18209,25965,-7756,0.0,,10577,8853,4523.0,4330,,1724,28786,,3736,2085,,,1651,1439,0,99,99,,1340,7689,2820,,1085,12864,10655,9988,667,667,,10628,,3201,,,1570.0,3037,21283,34147,0,7624,4,7620,-237,-3911,388,3864,0,3864,38011,
12/31/2014,36595,4384,2002,2382,1146,1146,0.0,0,0.0,0.0,0.0,0.0,2017,,0.0,0.0,2011,7547,18761,26726,-7965,0.0,,5764,8807,4523.0,4284,,1480,24525,,3700,1882,0.0,0.0,1818,1423,0,110,110,,1313,7385,2879,29.0,932,12508,10524,9953,571,571,,11167,0.0,4159,,,1000.0,3100,21691,34199,0,7725,4,7721,-367,-3883,-1079,2396,0,2396,36595,
03/31/2015,39091,5608,3352,2256,1471,1471,0.0,0,0.0,0.0,0.0,0.0,2430,,,,1855,9509,19260,27588,-8328,0.0,,10322,8780,4523.0,4257,,1542,29582,,3671,2074,,,1597,1812,0,112,112,,1700,8486,2966,,847,13969,10474,9914,560,560,,11640,,4015,,,1577.0,3082,22114,36083,0,7936,4,7932,-576,-3375,-977,3008,0,3008,39091,
06/30/2015,39367,4985,2796,2189,1471,1471,0.0,0,0.0,0.0,0.0,0.0,2337,,,,1718,8793,19750,28407,-8657,0.0,,10824,8743,4523.0,4220,,2081,30574,,4168,2322,,,1846,1158,0,111,111,,1047,8484,2873,,792,13810,10501,9938,563,563,,10934,,3395,,,1623.0,3043,21435,35245,0,7942,4,7938,-826,-2182,-812,4122,0,4122,39367,
09/30/2015,41869,5599,3427,2172,1513,1513,0.0,0,0.0,0.0,0.0,0.0,2985,,,846.0,1679,10097,20440,29466,-9026,0.0,,11332,8716,4523.0,4193,,1770,31772,,4269,2082,,,2187,1449,0,137,137,,1312,7770,2796,,811,13488,10672,9910,762,762,,9154,,3429,,,0.0,2929,19826,33314,0,7945,4,7941,-1090,2634,-934,8555,0,8555,41869,
12/31/2015,40861,5196,3006,2190,1128,1128,0.0,0,0.0,0.0,0.0,0.0,1504,,0.0,2037.0,1504,7828,20792,30129,-9337,0.0,,12241,8659,4523.0,4136,,1545,33033,,4219,1869,,0.0,2350,1359,0,135,135,,1224,6836,2826,0.0,842,12414,10400,9673,727,727,,9081,0.0,3370,,,0.0,2885,19481,31895,0,7950,4,7946,-1610,3457,-831,8966,0,8966,40861,
03/31/2016,40373,3972,1795,2177,1581,1581,0.0,0,0.0,0.0,0.0,0.0,1671,,,1800.0,1671,7224,21140,30891,-9751,0.0,,12009,8635,4523.0,4112,,1574,33149,,3887,2065,,,1822,1409,0,114,114,,1295,8084,2884,,996,13380,10197,9472,725,725,,8956,,3348,,,0.0,2724,19153,32533,0,7960,4,7956,-3113,3770,-777,7840,0,7840,40373,
06/30/2016,40476,4685,2483,2202,1450,1450,0.0,0,0.0,0.0,0.0,0.0,1709,,,1392.0,1709,7844,21469,31642,-10173,0.0,,11163,8200,4523.0,3677,,1571,32632,,4209,2240,,,1969,1400,0,128,128,,1272,8373,2830,,911,13982,10015,9275,740,740,,8695,,3289,,,0.0,2576,18710,32692,0,7969,4,7965,-3809,4358,-734,7784,0,7784,40476,
09/30/2016,40327,4856,2630,2226,1481,1481,0.0,0,0.0,0.0,0.0,0.0,1633,,,863.0,1633,7970,21577,32065,-10488,0.0,,10780,8177,4523.0,3654,,1740,32357,,4420,2138,,,2282,1093,0,124,124,,969,7740,2743,,1010,13253,10364,9612,752,752,,8271,,3147,,,,2381,18635,31888,0,7978,4,7974,-4064,5323,-798,8439,0,8439,40327,
12/31/2016,40140,4428,2179,2249,1176,1176,0.0,0,0.0,0.0,0.0,0.0,1705,,,655.0,1705,7309,22259,33175,-10916,0.0,,10572,8155,4523.0,3632,,1762,32831,,4446,2139,,0.0,2307,965,0,116,116,,849,6875,2748,0.0,1010,12286,10740,9918,822,822,,8455,0.0,3473,,,0.0,2234,19195,31481,0,6572,3,6569,-511,3427,-829,8659,0,8659,40140,
03/31/2017,41445,4379,2164,2215,1429,1429,0.0,0,0.0,0.0,0.0,0.0,1916,,,598.0,1916,7724,23319,34663,-11344,0.0,,10402,8135,4523.0,3612,,1669,33721,,3704,2135,,,1569,829,0,113,113,,716,8129,2806,,1008,12662,12014,11178,836,836,,8320,,3459,1851.0,1608.0,0.0,2055,20334,32996,0,6565,3,6562,-816,3536,-836,8449,0,8449,41445,
06/30/2017,42307,4649,2371,2278,1499,1499,0.0,0,0.0,0.0,0.0,0.0,2100,,,127.0,2100,8248,24195,35967,-11772,0.0,,9864,8115,4523.0,3592,,1622,34059,,4037,2225,,,1812,1551,0,115,115,,1436,8008,2799,,837,13596,11612,10668,944,944,,8245,,3336,1739.0,1597.0,,2110,19857,33453,0,6580,3,6577,-1236,4354,-844,8854,0,8854,42307,
09/30/2017,42565,4328,1870,2458,1603,1603,0.0,0,0.0,0.0,0.0,0.0,1946,,,0.0,1946,7877,24585,36853,-12268,0.0,,10103,8081,4523.0,3558,,2022,34688,,4214,2231,,,1983,1641,0,125,125,,1516,7232,2793,,703,13087,12302,11334,968,968,,8206,,3219,1631.0,1588.0,253.0,1941,20508,33595,0,6594,3,6591,-1791,4991,-824,8970,0,8970,42565,
12/31/2017,42346,3798,1482,2316,1340,1340,0.0,0,0.0,0.0,0.0,0.0,1995,,0.0,0.0,1995,7133,24864,36800,-11936,46.0,46.0,10303,8062,4523.0,3539,,2241,35213,,4362,2196,,0.0,2166,1693,0,128,128,,1565,6708,2591,0.0,576,12763,12699,11703,996,996,,8150,0.0,3523,1921.0,1602.0,204.0,1832,20849,33612,0,6101,3,6098,-769,4549,-1147,8734,0,8734,42346,
03/31/2018,44018,4475,2404,2071,1760,1760,0.0,0,0.0,0.0,0.0,0.0,2052,,,0.0,2052,8287,25714,38060,-12346,0.0,,10017,8044,4523.0,3521,,1973,35731,,4036,2399,,,1637,1779,0,124,124,,1655,8368,2716,,646,14183,13185,12166,1019,1019,,8314,,3421,1828.0,1593.0,250.0,1927,21499,35682,0,6080,3,6077,-1314,4684,-1114,8336,0,8336,44018,
06/30/2018,44691,5071,2884,2187,1840,1840,0.0,0,0.0,0.0,0.0,0.0,1970,,,,1970,8881,26946,39753,-12807,0.0,,8864,7922,4523.0,3399,848.0,94,35810,,4485,2703,,,1782,1004,0,117,117,,887,8603,2783,,571,14092,13499,12460,1039,1039,,8461,,3400,1815.0,1585.0,419.0,1859,21960,36052,0,6094,3,6091,-1720,5367,-1102,8639,0,8639,44691,
09/30/2018,44837,4935,2621,2314,1752,1752,0.0,0,0.0,0.0,0.0,0.0,1984,,,,1984,8671,27308,40626,-13318,0.0,,8858,7905,4523.0,3382,,953,36166,,4585,2581,,,2004,1046,0,136,136,,910,8053,2712,,585,13684,13334,12218,1116,1116,,8350,,3188,1611.0,1577.0,639.0,1811,21684,35368,0,6108,3,6105,-1753,6203,-1089,9469,0,9469,44837,
12/31/2018,49024,3950,1694,2256,1426,1426,0.0,0,0.0,0.0,0.0,0.0,1718,,11.0,0.0,1718,7094,32661,45927,-13266,516.0,516.0,8753,7682,4523.0,3159,,1060,41930,,4547,2363,,0.0,2184,2072,0,842,123,719.0,1230,7220,2719,0.0,553,13839,17715,12215,5500,224,5276.0,7428,0.0,2871,1576.0,1295.0,828.0,1010,25143,38982,0,6123,3,6120,-1993,6715,-803,10042,0,10042,49024,
03/31/2019,50639,4067,1848,2219,1789,1789,0.0,0,0.0,0.0,0.0,0.0,1752,,,0.0,1752,7608,33651,47390,-13739,512.0,512.0,8868,7667,4523.0,3144,,1201,43031,,4367,2707,,,1660,1973,0,772,133,639.0,1201,8995,2750,,601,15335,18115,12734,5381,236,5145.0,7387,,2741,1454.0,1287.0,898.0,998,25502,40837,0,6083,3,6080,-2487,6999,-793,9802,0,9802,50639,
06/30/2019,52150,5444,3221,2223,1762,1762,0.0,0,0.0,0.0,0.0,0.0,1704,,,,1704,8910,33826,47520,-13694,518.0,518.0,8896,7652,4523.0,3129,1139.0,105,43240,,4904,3033,,,1871,2009,0,754,117,637.0,1255,9165,2763,,604,16078,18174,12938,5236,202,5034.0,7578,,2643,1366.0,1277.0,1192.0,980,25752,41830,0,6099,3,6096,-3022,8050,-807,10320,0,10320,52150,
09/30/2019,52199,5126,2959,2167,1617,1617,0.0,0,0.0,0.0,0.0,0.0,1790,,,,1790,8533,34269,48422,-14153,529.0,529.0,8868,7637,4523.0,3114,1131.0,100,43666,,4952,2848,,,2104,2113,0,870,92,778.0,1243,8626,2682,,574,15691,18027,12900,5127,186,4941.0,7180,,1923,1087.0,836.0,1594.0,981,25207,40898,0,6114,3,6111,-3384,9075,-504,11301,0,11301,52199,
12/31/2019,52611,4944,2762,2182,1364,1364,0.0,0,0.0,0.0,0.0,0.0,1886,,24.0,0.0,1886,8194,34928,49465,-14537,671.0,671.0,8818,7532,4523.0,3009,,1262,44417,,4974,2703,,0.0,2271,2139,0,732,46,686.0,1407,7825,2836,0.0,566,14938,18311,13145,5166,220,4946.0,7831,0.0,2235,1446.0,789.0,1736.0,1024,26142,41080,0,6132,3,6129,-3599,9716,-718,11531,0,11531,52611,
03/31/2020,53055,5221,3442,1779,792,792,0.0,0,0.0,0.0,0.0,0.0,1892,,0.0,,1892,7905,36664,51675,-15011,149.0,149.0,8337,7468,4523.0,2945,763.0,106,45150,,4083,2436,,,1647,4802,0,747,59,688.0,4055,7202,4133,,538,16087,18627,13198,5429,369,5060.0,8923,,2289,1514.0,775.0,1322.0,1179,27550,43637,0,6099,3,6096,-3901,7991,-771,9418,0,9418,53055,
06/30/2020,54901,7463,6505,958,857,857,0.0,0,0.0,0.0,0.0,0.0,1721,,,,1721,10041,36473,52051,-15578,141.0,141.0,8246,7375,4523.0,2852,798.0,73,44860,,3394,1725,,,1669,5145,0,691,93,598.0,4454,7856,4830,,2066,16395,19747,14318,5429,316,5113.0,10242,,3178,2221.0,957.0,804.0,1430,29989,46384,0,7310,3,7307,-3899,6365,-1259,8517,0,8517,54901,
