Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
10/31/2003,31.409,21.041,3.433,7.149,,,7.149,-0.214,,-0.214,,-20.945,-11.118,0.0,,,-11.118,,,0.0,0.0,0.0,,,,,-9.827,6.171003,0.0,-6.077997,,,,13.562,13.562,,-1.313,,16.635,,5.797,
01/31/2004,6.809,18.355,3.589,6.894,,,6.894,-22.028999,,-22.028999,,-9.864,-6.864,0.0,,,-6.864,,,0.0,0.0,0.0,,,,,-3.0,0.946,-0.963,-4.044,,,,5.829,5.829,0.0,0.124,,-2.109,,,
04/30/2004,30.049999,21.698999,3.938,-1.962,,,-1.962,6.375,,6.375,,-56.417,-12.383,0.0,,,-12.383,,,0.0,0.0,0.0,,,,,-44.033999,1.774,0.0,-3.415,,,,5.146,5.146,0.0,0.043,,-24.593,,,
07/31/2004,29.104,24.048,4.028,5.209,,,5.209,-4.181,,-4.181,,-15.57,-11.308,0.0,,,-11.308,,,0.0,0.0,0.0,,,,,-4.262,-8.190001,-0.981,-8.428001,,,,1.226,1.226,0.0,-0.007,,5.344,,,
10/31/2004,35.235001,28.723,4.096,-1.423,,,-1.423,3.839,,3.839,,-18.785999,-9.95,0.0,,,-9.95,,,0.0,0.0,0.0,,,,,-8.835999,-3.156,,-4.578,,,,1.565,1.565,0.0,-0.143,,13.293,,,
01/31/2005,35.807,17.709,8.182,7.627,,,7.627,2.289,,2.289,,-625.509,-11.63,0.0,,,-11.63,,,0.0,0.0,0.0,,,,,-613.879,589.557,-0.983,576.627,,,,21.406,21.406,0.0,-7.493,,-0.145,,,
04/30/2005,42.876,27.827,12.878,6.113,,,6.113,-3.942,,-3.942,,-34.513,-27.19,0.0,,,-27.19,,,0.0,0.0,0.0,,,,,-7.323,-19.738,0.0,-25.235,,,,5.611,5.611,0.0,-0.114,,-11.375,,,
07/31/2005,40.616,37.619,13.666,-1.943,,,-1.943,-8.726,,-8.726,,-39.079,-37.037,0.0,,,-37.037,,,0.0,0.0,0.0,,,,,-2.042,-0.607,-1.323,1.432,,,,0.97,0.97,0.0,-1.686,,0.93,,,
10/31/2005,64.543999,8.565,13.912,16.780001,,,16.780001,25.283001,,25.283001,,-43.219002,-41.236,0.0,,,-41.236,,,0.0,0.0,0.0,,,,,-1.983002,-8.547997,0.0,-16.168997,,,,7.879,7.879,0.0,-0.258,,12.777,,,
01/31/2006,33.054,17.954,14.176,8.87,,,8.87,-7.946,,-7.946,,-100.69,-45.96,0.0,,,-45.96,,,0.0,0.0,0.0,,,,,-54.73,61.407,-1.335,60.823,,,,2.544,2.544,0.0,-0.625,,-6.229,,,
04/30/2006,45.398,13.701,15.097,24.409,,,24.409,-7.809,,-7.809,,-46.112,-39.607,0.0,,,-39.607,,,0.0,0.0,0.0,,,,,-6.505,-7.328,0.0,-9.001,,,,1.466,1.466,0.0,0.207,,-8.042,,,
07/31/2006,36.407,20.977,15.747,8.266,,,8.266,-8.583,,-8.583,,-40.783,-38.967,0.0,,,-38.967,,,0.0,0.0,0.0,,,,,-1.816,0.545,-1.336,2.174,,,,-0.309,0.0,-0.309,0.016,,-3.831,,,
10/31/2006,35.65,13.602,16.627,1.053,,,1.053,4.368,,4.368,,-23.025,-18.123,0.0,,,-18.123,,,0.0,0.0,0.0,,,,,-4.902,-17.125,0.0,-17.027,,,,-0.681,0.309,-0.99,0.583,,-4.5,,,
01/31/2007,0.761,5.348,16.066,14.446,,,14.446,-35.099,,-35.099,,-83.983,-50.043,0.0,,,-50.043,,,0.0,0.0,0.0,,,,,-33.94,98.578,-1.337,98.406,,,,1.491,1.491,0.0,0.018,,15.356,,,
04/30/2007,47.673,-0.527,16.873,4.739,,,4.739,26.588,,26.588,,-74.9,-40.047,0.0,,,-40.047,,,0.0,0.0,0.0,,,,,-34.853,15.68,0.0,22.551,,,,3.998,3.998,0.0,-10.869,,-11.547,,,
07/31/2007,47.428,8.18,22.712,-3.758,,,-3.758,20.294,,20.294,,-47.441,-38.598,0.0,,,-38.598,,,0.0,0.0,0.0,,,,,-8.843,-3.959,-1.344,-4.609,,,,2.265,2.265,0.0,-0.271,,-3.972,,,
10/31/2007,38.122,-24.193,28.86,27.965,,,27.965,5.49,,5.49,,-58.27,-54.937,0.0,,,-54.937,,,0.0,0.0,0.0,,,,,-3.333,15.313,0.0,15.306,,,,1.68,1.68,0.0,-1.673,,-4.835,,,
01/31/2008,-5.592,6.877,20.112,2.268,,,2.268,-34.849,,-34.849,,-44.442,-42.728,0.0,,,-42.728,,,0.0,0.0,0.0,,,,,-1.714,49.394,-1.349,48.44,,,,2.326,2.326,0.0,-0.023,,-0.64,,,
04/30/2008,17.084,11.241,21.016,4.046,,,4.046,-19.219,,-19.219,,-35.494,-34.146,,,,-34.146,,,,,,,,,,-1.348,17.735,0.0,15.9,,,,1.804,1.804,,0.031,,-0.675,,,
07/31/2008,44.029,17.879,21.263,16.629,,,16.629,-11.742,,-11.742,,-26.057,-25.408,,,,-25.408,,,,,,,,,,-0.649,-16.445,-1.35,-15.464,,,,0.321,0.321,,0.048,,1.527,,,
10/31/2008,41.007,29.479,19.794,-47.053,13.567,3.864,-64.484,38.787,-11.917,50.704,,-22.764,-22.603,,,,-22.603,,,,,,,,,,-0.161,-19.737,0.0,-22.981,,,,3.557,3.557,,-0.313,,-1.494,,,
01/31/2009,24.904,23.873,25.0,-16.744,,,-16.744,-7.225,,-7.225,0.0,-35.349,-34.095,0.0,0.0,0.0,-34.095,-34.095,0.0,0.0,0.0,0.0,-1.254,0.0,-1.254,0.0,0.0,10.538,0.0,10.402,-1.224,256.486,-244.86,0.136,0.136,0.0,0.0,-0.152,-0.059,,,
04/30/2009,43.835,24.649,21.006,30.814,,,30.814,-32.634,,-32.634,0.0,-22.417,-19.966,0.0,0.0,0.0,-19.966,-19.966,0.0,0.0,0.0,0.0,-2.451,0.0,-2.451,0.0,0.0,-18.947,-1.355,-17.561,5.427,226.512,-249.5,-0.031,,,0.0,0.116,2.587,,,
07/31/2009,75.913,21.908,21.987,8.286,,,8.286,23.732,,23.732,0.0,-20.232,-19.881,0.0,0.0,0.0,-19.881,-19.881,0.0,0.0,0.0,0.0,-0.351,0.0,-0.351,0.0,0.0,-56.621,0.0,-56.62,-10.35,101.527,-147.797,0.0,0.0,0.0,0.0,0.258,-0.682,,,
10/31/2009,78.476,30.118,24.609,32.587,,,32.587,-8.838,,-8.838,0.0,-20.639,-19.964,0.0,0.0,0.0,-19.964,-19.964,0.0,0.0,0.0,0.0,-0.675,0.0,-0.675,0.0,0.0,-57.709,-1.357,-57.499,-29.813,151.942,-179.628,1.147,1.147,0.0,0.0,0.014,0.142,,,
01/31/2010,56.142,20.423,22.905,12.169,,,12.169,0.645,,0.645,0.0,-21.418,-12.911,0.0,0.0,0.0,-12.911,-12.911,0.0,0.0,0.0,0.0,-8.507,0.0,-8.507,0.0,0.0,-36.83,0.0,-38.156,8.068,112.686,-158.91,1.326,1.326,0.0,0.0,-0.004,-2.11,,,
04/30/2010,71.618,4.455,23.992,23.316,,,23.316,19.855,,19.855,0.0,-33.672,-11.208,0.0,0.0,0.0,-11.208,-11.208,0.0,0.0,0.0,0.0,-22.464,0.0,-22.464,0.0,0.0,-29.944,-1.362,-30.37,-1.552,165.482,-194.3,1.788,1.788,0.0,0.0,0.005,8.007,,,
07/31/2010,75.293,39.727,23.888,5.178,,,5.178,6.5,,6.5,0.0,-18.34,-16.869,0.0,0.0,0.0,-16.869,-16.869,0.0,0.0,0.0,0.0,-1.471,0.0,-1.471,0.0,0.0,-63.545,0.0,-66.277,8.731,76.092,-151.1,2.732,2.732,0.0,0.0,0.003,-6.589,,,
10/31/2010,64.61,48.198,23.216,-1.579,,,-1.579,-5.225,,-5.225,0.0,-33.174,-32.769,0.0,0.0,0.0,-32.769,-32.769,0.0,0.0,0.0,0.0,-0.405,0.0,-0.405,0.0,0.0,-31.248,-1.37,-35.535,-3.139,209.854,-242.25,5.657,5.657,0.0,0.0,0.145,0.333,,,
01/31/2011,72.931,39.215,22.894,10.108,,,10.108,0.714,,0.714,0.0,-61.234,-28.785,0.0,0.0,0.0,-28.785,-28.785,0.0,0.0,0.0,0.0,-32.449,0.0,-32.449,0.0,0.0,-11.945,0.0,-8.926,-3.673,508.947,-514.2,6.188,6.188,0.0,-9.207,-0.005,-0.253,,,
04/30/2011,64.891,35.36,23.511,21.645,,,21.645,-15.625,,-15.625,0.0,-27.381,-23.231,0.0,0.0,0.0,-23.231,-23.231,0.0,0.0,0.0,0.0,-4.15,0.0,-4.15,0.0,0.0,-32.801,-1.385,-61.076,1.111,528.518,-590.705,29.977,29.977,0.0,-0.317,0.401,5.11,,,
07/31/2011,93.594,44.217,25.405,9.485,,,9.485,14.487,,14.487,0.0,-23.507,-19.14,0.0,0.0,0.0,-19.14,-19.14,0.0,0.0,0.0,0.0,-4.367,0.0,-4.367,0.0,0.0,-64.447,0.0,-107.993,9.637,132.465,-250.095,43.604,43.604,0.0,-0.058,-0.073,5.567,,,
10/31/2011,110.99,56.638,26.339,16.519,,,16.519,11.494,,11.494,0.0,-49.553,-32.509,0.0,0.0,0.0,-32.509,-32.509,0.0,0.0,0.0,0.0,-17.044,0.0,-17.044,0.0,0.0,-63.68,-1.431,-74.405,14.244,246.593,-335.242,5.161,5.161,0.0,6.995,-0.454,-2.697,,,
01/31/2012,41.55,54.623,25.816,9.394,,,9.394,-48.283,,-48.283,0.0,-18.785,-19.953,0.0,0.0,0.0,-19.953,-19.953,0.0,0.0,0.0,0.0,-0.398,0.0,-0.398,0.0,1.566,-20.197,0.0,29.873,-13.788,335.686,-292.025,-48.756,0.0,-48.756,-1.314,-0.062,2.506,,,
04/30/2012,80.641,54.921,26.754,10.53,,,10.53,-11.564,,-11.564,0.0,-20.179,-23.104,0.0,0.0,0.0,-23.104,-23.104,0.0,0.0,0.0,0.0,-0.249,0.0,-0.249,0.0,3.174,-60.372,-1.421,-90.997,5.026,240.702,-336.725,29.433,29.433,0.0,2.613,-0.026,0.064,,,
07/31/2012,78.113,66.875,27.825,5.266,,,5.266,-21.853,,-21.853,0.0,-166.522,-24.084,0.0,0.0,0.0,-24.084,-24.084,0.0,0.0,0.0,0.0,-144.322,0.0,-144.322,0.0,1.884,94.378,0.0,112.215,-54.295,576.187,-409.677,-16.52,8.487,-25.007,-1.317,-0.982,4.987,,,
10/31/2012,114.817,71.92,30.819,-8.359,,,-8.359,20.437,,20.437,0.0,-32.988,-32.638,0.0,,0.0,-32.638,-32.638,0.0,0.0,0.0,0.0,-0.35,0.0,-0.35,0.0,0.0,-82.252,-1.436,-107.843,-0.574,109.894,-217.163,30.506,,,-3.479,0.531,0.108,,,
01/31/2013,47.623,74.667,31.525,1.057,,,1.057,-59.626,,-59.626,0.0,-32.445,-29.315,0.0,0.0,0.0,-29.315,-29.315,0.0,0.0,0.0,0.0,-3.69,0.0,-3.69,0.0,0.56,-14.125,0.0,37.714,8.483,340.4,-311.169,-44.904,0.0,-44.904,-6.935,0.552,1.605,,,
04/30/2013,114.903,75.136,30.944,22.729,,,22.729,-13.906,,-13.906,0.0,-41.921,-38.175,0.0,0.0,0.0,-38.175,-38.175,0.0,0.0,0.0,0.0,-4.44,0.0,-4.44,0.0,0.694,-72.201,-1.449,-85.965,0.067,311.0,-397.032,15.213,,,0.0,-0.785,-0.004,,,
07/31/2013,103.058,88.951,31.117,-9.64,,,-9.64,-7.37,,-7.37,0.0,-39.439,-38.572,0.0,0.0,0.0,-38.572,-38.572,0.0,0.0,0.0,0.0,-1.105,0.0,-1.105,0.0,0.238,-51.813,0.0,-76.403,-0.17,323.6,-399.833,4.422,4.422,0.0,20.168,-0.765,11.041,,,
10/31/2013,150.341,57.397,31.763,-17.642,,,-17.642,78.823,,78.823,0.0,-76.113,-72.065,0.0,0.0,0.0,-72.065,-72.065,0.0,0.0,0.0,0.0,-3.81,0.0,-3.81,0.0,-0.238,-23.458,-1.469,98.817,12.656,792.0,-705.839,-98.767,24.204,-122.971,-22.039,1.141,51.911,,,
01/31/2014,68.574,71.843,31.395,-34.664,,,-34.664,,,,0.0,-58.131,-60.979,0.0,0.0,0.0,-60.979,-60.979,0.0,0.0,0.0,0.0,1.489,0.0,1.489,0.0,1.359,-58.584,0.0,-0.534,-0.534,486.9,-486.9,-50.0,0.0,-50.0,-8.05,-0.424,-48.565,,0.7,
04/30/2014,126.332,79.16,31.75,15.422,,,15.422,,,,0.0,-61.626,-61.197,0.0,0.0,0.0,-61.197,-61.197,0.0,0.0,0.0,0.0,-0.429,0.0,-0.429,0.0,0.0,-11.545,-1.436,-12.714,-12.593,448.4,-448.521,12.652,,,-10.047,0.67,53.831,,0.5,
07/31/2014,107.861,88.067,32.502,-12.708,,,-12.708,,,,0.0,-56.066,-55.76,0.0,0.0,0.0,-55.76,-55.76,0.0,0.0,0.0,0.0,-0.306,0.0,-0.306,0.0,0.0,40.044,0.0,9.352,9.392,427.6,-427.64,10.4,10.4,0.0,20.292,-0.712,91.127,,0.6,
10/31/2014,152.056,30.786,42.554,-22.876,,,-22.876,101.592,,101.592,0.0,-1170.585,-60.129,0.0,0.0,0.0,-60.129,-60.129,0.0,0.0,0.0,0.0,-1110.456,0.0,-1110.456,0.0,0.0,872.25,-1.448,891.824,-3.596,1198.8,-303.38,-12.893,4.3,-17.193,-5.233,-2.285,-148.564,,2.349,
01/31/2015,79.841,61.179,42.884,-24.222,,,-24.222,,,,0.0,-65.199,-64.995,0.0,0.0,0.0,-64.995,-64.995,0.0,0.0,0.0,0.0,-0.204,0.0,-0.204,0.0,0.0,-20.247,0.0,11.116,-10.684,240.6,-218.8,-15.996,0.0,-15.996,-15.367,-3.189,-8.794,,3.0,
04/30/2015,110.64,60.713,44.505,5.42,,,5.42,,,,0.0,-53.918,-53.37,0.0,0.0,0.0,-53.37,-53.37,0.0,0.0,0.0,0.0,-0.548,0.0,-0.548,0.0,0.0,-54.243,-1.448,-50.431,146.198,242.8,-439.429,0.0,0.0,0.0,-2.364,-0.996,1.483,,3.8,
07/31/2015,95.968,44.952,53.909,-8.381,,,-8.381,5.488,,5.488,0.0,-66.774,-66.348,0.0,0.0,0.0,-66.348,-66.348,0.0,0.0,0.0,0.0,-0.426,0.0,-0.426,0.0,0.0,-29.682,0.0,-39.166,-3.966,230.9,-266.1,17.657,,,-8.173,-0.418,-0.906,,3.5,
10/31/2015,104.521,36.679,50.105,4.644,,,4.644,13.093,,13.093,0.0,-102.056,-58.31,0.0,0.0,0.0,-58.31,-58.31,0.0,0.0,0.0,0.0,-43.746,0.0,-43.746,0.0,0.0,-2.505,-1.458,92.439,53.239,487.0,-447.8,-43.108,8.2,-51.308,-50.378,-0.539,-0.579,,3.735,
01/31/2016,89.5,51.4,53.5,15.0,,,15.0,-30.4,,-30.4,0.0,-106.0,-45.1,0.0,0.0,0.0,-45.1,-45.1,0.0,0.0,0.0,0.0,-60.9,0.0,-60.9,0.0,0.0,17.8,0.0,28.1,-0.7,367.3,-338.5,0.6,0.6,0.0,-10.9,-1.7,-0.4,,4.0,
04/30/2016,97.848,74.125,47.979,7.025,,,7.025,-31.281,,-31.281,0.0,-125.726,-41.176,0.0,0.0,0.0,-41.176,-41.176,0.0,0.0,0.0,0.0,-84.55,0.0,-84.55,0.0,0.0,54.699,-1.452,65.232,-22.874,1000.0,-911.894,4.421,4.421,0.0,-13.502,1.596,28.417,,5.6,
07/31/2016,128.952,87.875,49.421,-15.425,,,-15.425,7.081,,7.081,0.0,-136.974,-31.124,0.0,0.0,0.0,-31.124,-31.124,0.0,0.0,0.0,0.0,-105.85,0.0,-105.85,0.0,0.0,29.001,-0.048,0.568,0.574,147.0,-147.006,6.779,6.779,0.0,21.702,-2.796,18.183,,5.2,
10/31/2016,193.3,60.5,47.4,27.3,,,27.3,58.1,,58.1,0.0,-50.0,-35.2,0.0,0.0,0.0,-35.2,-35.2,0.0,0.0,0.0,0.0,-14.8,0.0,-14.8,0.0,0.0,-102.9,-1.4,-108.9,-108.9,63.0,-63.0,8.0,8.0,0.0,-0.6,-2.2,38.2,,8.9,
01/31/2017,108.4,75.8,47.8,15.1,,,15.1,-30.3,,-30.3,0.0,-202.1,-28.7,0.0,0.0,0.0,-28.7,-28.7,0.0,0.0,0.0,0.0,-173.4,0.0,-173.4,0.0,0.0,83.5,0.0,91.1,-5.9,266.1,-169.1,0.0,0.0,0.0,-7.6,0.5,-9.7,0.0,6.3,
04/30/2017,240.1,104.9,94.0,100.7,,,100.7,-59.5,,-59.5,0.0,-231.1,-57.3,0.0,0.0,0.0,-57.3,-57.3,0.0,0.0,0.0,0.0,-173.8,0.0,-173.8,0.0,0.0,10.0,-1.5,52.6,-192.4,619.0,-374.0,-29.5,0.0,-29.5,-11.6,1.5,20.5,,13.4,
07/31/2017,154.5,103.6,47.2,2.9,,,2.9,0.8,,0.8,0.0,-61.3,-38.1,0.0,0.0,0.0,-38.1,-38.1,0.0,0.0,0.0,0.0,-23.2,0.0,-23.2,0.0,0.0,-170.9,0.0,-174.7,-9.9,445.8,-610.6,0.0,0.0,0.0,3.8,2.4,-75.3,,,
10/31/2017,199.0,88.6,47.2,6.7,,,6.7,56.5,,56.5,0.0,-88.9,-31.8,0.0,0.0,0.0,-31.8,-31.8,0.0,0.0,0.0,0.0,-57.1,0.0,-57.1,0.0,0.0,-67.0,-1.4,-40.4,-9.4,349.0,-380.0,-25.5,0.0,-25.5,0.3,-0.3,42.8,,,
01/31/2018,26.2,-122.5,66.6,259.1,,,259.1,-177.0,,-177.0,0.0,-1244.6,-51.4,0.0,0.0,0.0,-51.4,-51.4,0.0,0.0,0.0,0.0,-1193.2,0.0,-1193.2,0.0,0.0,1217.4,0.0,1231.8,4.8,1672.8,-445.8,0.0,0.0,0.0,-14.4,3.9,2.9,-176.4,,
