Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
10/01/1999,21036,619,619,,1387,1387.0,,250,250.0,,,,271,,,,2527,12696,19153.0,-6457.0,,5813,,,,,5202.0,611,18509,,1293,1293,,,,1116,,,,,,1362,,,1362,3771,6096,,,,,5428,,,,5428,11524,15295,,1737,,,,4125.0,-121,5741,,5741,21036,
12/31/1999,20720,974,974,0.0,1135,,,220,220.0,0.0,0.0,0.0,234,,,,2563,12257,17526.0,-5269.0,0.0,5900,0.0,,,,,5900,18157,,1197,1197,,,,923,,,,,,1353,,,1353,3473,6196,,,,,5295,,,,5295,11491,14964,0.0,1743,,,0.0,,4013,5756,0.0,5756,20720,
03/31/2000,20525,666,666,,1129,1129.0,,263,263.0,,,,292,,,,2350,12213,17514.0,-5301.0,,5962,,,,,5134.0,828,18175,,1176,1176,,,,844,,,,,,1265,,,1265,3285,6160,,,,,5373,,,,5373,11533,14818,,1732,,,,3997.0,-22,5707,,5707,20525,
06/30/2000,20374,395,395,,1135,1135.0,,278,278.0,,,,271,,,,2079,12390,17750.0,-5360.0,,5905,,,,,5074.0,831,18295,,1051,1051,,,,833,,,,,,1139,,,1139,3023,6296,,,,,5361,,,,5361,11657,14680,,1728,,,,3987.0,-21,5694,,5694,20374,
09/29/2000,20707,869,869,,833,833.0,,276,276.0,,,,274,,,,2252,12542,17968.0,-5426.0,,5913,,,,,5084.0,829,18455,,1141,1141,,,,600,,,,,,1330,,,1330,3071,6122,,,,,5469,,,,5469,11591,14662,,1718,,,,4348.0,-21,6045,,6045,20707,
12/29/2000,20548,686,686,0.0,850,,,194,194.0,0.0,0.0,0.0,290,,,,2020,12661,17863.0,-5202.0,0.0,5867,0.0,0.0,0.0,,,5867,18528,,1030,1030,,,,941,,,,,,1280,,,1280,3251,5896,,,,,5384,,,,5384,11280,14531,0.0,1680,,,0.0,,4337,6017,0.0,6017,20548,
03/30/2001,20438,621,621,,840,840.0,,269,269.0,,,,270,,,,2000,12684,17981.0,-5297.0,,5754,,,,,5017.0,737,18438,,1057,1057,,,,666,,,,,,1167,,,1167,2890,6212,,,,,5360,,,,5360,11572,14462,,1683,,,,4293.0,0,5976,,5976,20438,
06/29/2001,20509,556,556,,890,890.0,,268,268.0,,,,263,,,,1977,12741,18116.0,-5375.0,,5791,,,,,5030.0,761,18532,,1015,1015,,,,1108,,,,,,1218,,,1218,3341,5770,,,,,5366,,,,5366,11136,14477,,1695,,,,4337.0,0,6032,,6032,20509,
09/28/2001,20606,592,592,,876,876.0,,266,266.0,,,,285,,,,2019,12879,18279.0,-5400.0,,5708,,,,,5037.0,671,18587,,1097,1097,,,,1248,,,,,,1102,,,1102,3447,5659,,,,,5387,,,,5387,11046,14493,,1698,,,,4415.0,0,6113,,6113,20606,
12/28/2001,20801,618,618,0.0,871,,,191,191.0,0.0,0.0,0.0,604,,,,2284,12847,17760.0,-4913.0,0.0,5670,0.0,0.0,0.0,,,5670,18517,,905,905,,,,1269,,,,,,1133,,,1133,3307,5839,,,,,5535,,,,5535,11374,14681,0.0,1706,,,0.0,,4414,6120,0.0,6120,20801,
03/29/2002,20842,781,781,,809,809.0,,223,223.0,,,,363,,,,2176,12979,18261.0,-5282.0,,5687,,,,,5044.0,643,18666,,912,912,,,,952,,,,,,997,,,997,2861,6361,,,,,5476,,,,5476,11837,14698,,1725,,,,4463.0,-44,6144,,6144,20842,
06/28/2002,20920,731,731,,828,828.0,,220,220.0,,,,312,,,,2091,13068,18416.0,-5348.0,,5761,,,,,5073.0,688,18829,,918,918,,,,904,,,,,,1072,,,1072,2894,6338,,,,,5420,,,,5420,11758,14652,,1736,,,,4576.0,-44,6268,,6268,20920,
09/27/2002,21025,422,422,,955,955.0,,212,212.0,,,,321,,,,1910,13209,18531.0,-5322.0,,5906,,,,,5129.0,777,19115,,893,893,,,,804,,,,,,1051,,,1051,2748,6434,,,,,5467,,,,5467,11901,14649,,1740,,,,4682.0,-46,6376,,6376,21025,
12/27/2002,20951,264,264,0.0,799,,,180,180.0,0.0,0.0,0.0,546,,,,1789,13286,18560.0,-5274.0,0.0,5876,0.0,0.0,0.0,,,5876,19162,,802,802,,,,534,,,,,,1118,,,1118,2454,6519,,,,,5737,,,,5737,12256,14710,0.0,1762,,,0.0,,4479,6241,0.0,6241,20951,
03/28/2003,20959,294,294,,847,847.0,,187,187.0,,,,294,,,,1622,13351,18636.0,-5285.0,,5986,,,,,5122.0,864,19337,,839,839,,,,517,,,,,,886,,,886,2242,6527,,,,,5867,,,,5867,12394,14636,,1765,,,,4875.0,-317,6323,,6323,20959,
06/27/2003,21539,311,311,,1219,1219.0,,178,178.0,,,,324,,,,2032,13504,18892.0,-5388.0,,6003,,,,,5145.0,858,19507,,768,768,,,,1290,,,,,,862,,,862,2920,6204,,,,,5979,,,,5979,12183,15103,,1769,,,,4981.0,-314,6436,,6436,21539,
09/26/2003,21927,736,736,,1250,1250.0,,168,168.0,,,,226,,,,2380,13614,19050.0,-5436.0,,5933,,,,,5149.0,784,19547,,800,800,,,,1304,,,,,,920,,,920,3024,6480,,,,,6111,,,,6111,12591,15615,,1770,,,,4858.0,-316,6312,,6312,21927,
12/26/2003,21760,368,368,0.0,1115,1115.0,,168,168.0,0.0,0.0,0.0,646,,,,2297,13634,19087.0,-5453.0,0.0,5829,0.0,0.0,0.0,,,5829,19463,,821,821,,,,428,,,,,,1125,,,1125,2374,6886,,,,,6052,,,,6052,12938,15312,0.0,1794,,,0.0,4957.0,-303,6448,0.0,6448,21760,
03/26/2004,22073,447,447,0.0,1170,1170.0,,179,179.0,0.0,0.0,0.0,236,,,,2032,13846,19546.0,-5700.0,0.0,6195,0.0,0.0,0.0,,5177.0,1018,20041,,864,864,,,,579,,,,,,923,,,923,2366,6970,,,,,6253,,,,6253,13223,15589,0.0,1802,,,0.0,4966.0,-284,6484,0.0,6484,22073,
06/25/2004,22452,728,728,0.0,1215,1215.0,,174,174.0,0.0,0.0,0.0,257,,,,2374,13894,19719.0,-5825.0,0.0,6184,0.0,0.0,0.0,,5196.0,988,20078,,863,863,,,,814,,,,,,916,,,916,2593,6901,,,,,6289,,,,6289,13190,15783,0.0,1807,,,0.0,5065.0,-203,6669,0.0,6669,22452,
09/24/2004,24365,629,629,0.0,1171,1171.0,,167,167.0,0.0,0.0,0.0,348,,,,2315,19979,25861.0,-5882.0,0.0,2071,0.0,0.0,0.0,,1169.0,902,22050,,862,862,,,,284,,,,,,871,,,871,2017,7096,,,,,8416,,,,8416,15512,17529,0.0,1812,,,0.0,5167.0,-143,6836,0.0,6836,24365,
12/31/2004,24605,859,522,337.0,1159,1159.0,,165,165.0,0.0,0.0,0.0,820,,,,3003,19945,25852.0,-5907.0,0.0,1657,0.0,64.0,-64.0,,,1657,21602,,870,870,,,,1084,,,,,,1363,,,1363,3317,6248,,,,,8229,,,,8229,14477,17794,0.0,1821,,,0.0,5210.0,-220,6811,0.0,6811,24605,
04/01/2005,25092,1823,1823,0.0,1163,1163.0,,190,190.0,0.0,0.0,0.0,403,,,,3579,19882,25964.0,-6082.0,0.0,1631,0.0,0.0,0.0,,879.0,752,21513,,939,939,,,,915,,,,,,1208,,,1208,3062,6208,,,,,8334,,,,8334,14542,17604,0.0,1874,,,0.0,5768.0,-154,7488,0.0,7488,25092,
07/01/2005,23750,513,513,0.0,1123,1123.0,,196,196.0,0.0,0.0,0.0,372,,,,2204,19881,26121.0,-6240.0,0.0,1665,0.0,0.0,0.0,,893.0,772,21546,,885,885,,,,621,,,,,,1003,,,1003,2509,5399,,,,,8225,,,,8225,13624,16133,0.0,1895,,,0.0,5912.0,-190,7617,0.0,7617,23750,
09/30/2005,24021,590,590,0.0,1274,1274.0,,203,203.0,0.0,0.0,0.0,380,,,,2447,19975,26275.0,-6300.0,0.0,1599,0.0,0.0,0.0,,920.0,679,21574,,930,930,,,,950,,,,,,1260,,,1260,3140,5058,,,,,8061,,,,8061,13119,16259,0.0,1915,,,0.0,6053.0,-206,7762,0.0,7762,24021,
12/30/2005,24232,602,309,293.0,1202,1202.0,,199,199.0,0.0,0.0,0.0,369,,,,2372,20163,26538.0,-6375.0,0.0,1697,0.0,64.0,-64.0,,,1697,21860,,954,954,,,,937,,,,,,1088,,,1088,2979,5093,,,,,8206,,,,8206,13299,16278,0.0,1969,,,0.0,6262.0,-277,7954,0.0,7954,24232,
03/31/2006,24419,713,376,337.0,1202,1202.0,,208,,0.0,0.0,0.0,324,,,,2447,20285,26850.0,-6565.0,0.0,1687,0.0,0.0,0.0,,918.0,769,21972,,965,965,,,,916,,,,,,1073,,,1073,2954,5045,,,,,8145,,,,8145,13190,16144,0.0,2093,,,0.0,6479.0,-297,8275,0.0,8275,24419,
06/30/2006,24598,682,320,362.0,1204,1204.0,,202,,,,,307,,,,2395,20557,27229.0,-6672.0,0.0,1646,0.0,0.0,0.0,,609.0,1037,22203,,917,917,,,,1378,,,,,,965,,,965,3260,4567,,,,,8168,,,,8168,12735,15995,0.0,2070,,,0.0,6841.0,-308,8603,0.0,8603,24598,
09/29/2006,24872,660,388,272.0,1275,1275.0,,197,,0.0,0.0,0.0,406,,,,2538,20646,27306.0,-6660.0,0.0,1688,0.0,0.0,0.0,,938.0,750,22334,,971,971,,,,1070,,,,,,972,,,972,3013,4937,,,,,8279,,,,8279,13216,16229,0.0,1826,,,0.0,7125.0,-308,8643,0.0,8643,24872,
12/29/2006,25129,900,461,439.0,1174,1174.0,,204,204.0,0.0,0.0,0.0,394,,,,2672,20923,27715.0,-6792.0,0.0,1534,73.0,73.0,0.0,,,1461,22457,,974,974,,,,600,,,,,,948,,,948,2522,5362,,,,,8303,,,,8303,13665,16187,0.0,1907,,,0.0,7427.0,-392,8942,0.0,8942,25129,
03/30/2007,24925,937,512,425.0,1112,1112.0,,217,,0.0,0.0,0.0,342,,,,2608,21093,28051.0,-6958.0,0.0,1224,0.0,0.0,0.0,,955.0,269,22317,,977,977,,,,751,,,,,,927,,,927,2655,5182,,,,,7970,,,,7970,13152,15807,0.0,1860,,,0.0,7648.0,-390,9118,0.0,9118,24925,
06/29/2007,25071,830,428,402.0,1171,1171.0,,238,,,,,332,,,,2571,21262,28331.0,-7069.0,0.0,1238,0.0,0.0,0.0,,965.0,273,22500,,958,958,,,,238,,,,,,994,,,994,2190,5751,,,,,7890,,,,7890,13641,15831,0.0,1705,,,0.0,7919.0,-384,9240,0.0,9240,25071,
09/28/2007,25605,1236,660,576.0,1173,1173.0,,244,244.0,0.0,0.0,0.0,327,,,,2980,21428,28569.0,-7141.0,0.0,1197,0.0,0.0,0.0,,979.0,218,22625,,1002,1002,,,,235,,,,,,931,,,931,2168,6678,,,,,7982,,,,7982,14660,16828,0.0,891,,,0.0,8262.0,-376,8777,0.0,8777,25605,
12/28/2007,25534,714,368,346.0,1174,1174.0,,240,,0.0,0.0,0.0,363,,,,2491,21780,28999.0,-7219.0,,1263,64.0,64.0,0.0,,1004.0,195,23043,,976,976,,,,787,,,,,,908,,,908,2671,6470,,,,,7708,,,,7708,14178,16849,,445,,,0.0,8565.0,-325,8685,,8685,25534,
03/28/2008,26661,1639,1570,69.0,1170,1170.0,,247,,0.0,0.0,0.0,358,,,,3414,21970,29305.0,-7335.0,0.0,1277,0.0,0.0,0.0,,1031.0,246,23247,,979,979,,,,770,,,,,,955,,,955,2704,7440,,,,,7775,,,,7775,15215,17919,0.0,405,,,0.0,8660.0,-323,8742,0.0,8742,26661,
06/27/2008,26788,1477,1398,79.0,1218,1218.0,,247,247.0,0.0,0.0,0.0,347,,,,3289,22198,29652.0,-7454.0,0.0,1301,0.0,0.0,0.0,,1043.0,258,23499,,1008,1008,,,,584,,,,,,898,,,898,2490,7396,,,,,7829,,,,7829,15225,17715,0.0,421,,,0.0,8973.0,-321,9073,0.0,9073,26788,
09/26/2008,26637,971,895,76.0,1249,1249.0,0.0,251,,,,,280,,,,2751,22587,30163.0,-7576.0,0.0,1299,,,,,1048.0,251,23886,,1087,1087,,,,543,0.0,,,,,1199,,,1199,2829,7367,,,,,7868,,,,7868,15235,18064,0.0,394,,,0.0,8499.0,-320,8573,0.0,8573,26637,
12/26/2008,26288,745,669,76.0,1107,1107.0,,217,,,,,322,,,,2391,22688,30208.0,-7520.0,0.0,1209,64.0,64.0,0.0,,1015.0,130,23897,,973,973,,,,320,,,,,,1111,,,1111,2404,7512,,,,,8324,,,,8324,15836,18240,0.0,391,,,0.0,8398.0,-741,8048,0.0,8048,26288,
03/27/2009,26567,1129,1056,73.0,958,958.0,0.0,250,,,,,263,,151.0,112.0,2600,22762,30399.0,-7637.0,0.0,1205,,,,,1016.0,189,23967,,1636,934,116.0,,586.0,314,0.0,,,,314.0,120,,,120,2070,7995,7995.0,,,,8297,636.0,,6266.0,1395,16292,18362,0.0,392,391.459772,0.540228,0.0,8534.0,-742,8184,21.0,8205,26567,
06/26/2009,26735,1178,1108,70.0,885,885.0,0.0,254,,,,,319,,159.0,160.0,2636,22887,30584.0,-7697.0,0.0,1212,,,,,1027.0,185,24099,,1544,904,110.0,,530.0,318,0.0,,,,318.0,99,,,99,1961,7933,7933.0,,,,8385,579.0,,6417.0,1389,16318,18279,0.0,421,392.0,29.0,0.0,8757.0,-735,8443,13.0,8456,26735,
09/25/2009,27020,1321,1240,81.0,928,928.0,0.0,239,,,,,282,,171.0,111.0,2770,23040,30805.0,-7765.0,0.0,1210,,,,,1037.0,173,24250,,1665,963,121.0,,581.0,316,0.0,,,,316.0,95,,,95,2076,7906,7906.0,,,,8349,580.0,,6551.0,1218,16255,18331,0.0,441,393.0,48.0,0.0,8963.0,-728,8676,13.0,8689,27020,
12/25/2009,26887,1090,1029,61.0,995,995.0,0.0,203,,,,,282,0.0,158.0,124.0,2570,23064,30907.0,-7843.0,0.0,1253,0.0,0.0,0.0,,1088.0,165,24317,,1652,967,112.0,0.0,573.0,113,0.0,,,,113.0,100,0.0,0.0,100,1865,7895,7895.0,,,,8359,547.0,967.0,6528.0,317,16254,18119,0.0,393,393.0,0.0,0.0,9090.0,-729,8754,14.0,8768,26887,
03/26/2010,27193,1050,993,57.0,971,971.0,0.0,218,,,,,262,,184.0,78.0,2501,23290,31276.0,-7986.0,0.0,1402,,,,,1096.0,306,24692,,1654,931,162.0,,561.0,617,0.0,,,,617.0,117,,,117,2388,7372,7372.0,,,,8548,553.0,,6668.0,1327,15920,18308,0.0,389,389.0,0.0,0.0,9279.0,-798,8870,15.0,8885,27193,
