Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1994,6496,38,38,0.0,512,,,645,,,,,327,,,,,1522,2606,8698.0,-6092.0,,,2368,,,,,2368,4974,,653,653,,,,37,,,,,,566,,,566,1256,1524,,,,,2856,,,,2856,4380,5636,96.0,,,,0.0,,764,860,0,860,6496,
09/30/1994,6441,24,24,0.0,532,,,613,,,,,339,,,,,1508,2536,8460.0,-5924.0,,,2397,,,,,2397,4933,,665,665,,,,71,,,,,,589,,,589,1325,1405,,,,,2773,,,,2773,4178,5503,96.0,,,,0.0,,842,938,0,938,6441,
12/31/1994,6480,20,20,0.0,672,,,595,,,,,493,,,,,1780,2536,8490.0,-5954.0,124.0,,2040,,,,,2040,4700,,678,678,,,,21,,,,,,568,,,568,1267,1432,,,,,2772,,,,2772,4204,5471,96.0,,,,0.0,,913,1009,0,1009,6480,
03/31/1995,6417,23,23,0.0,597,,,603,,,,,429,,,,,1652,2503,8514.0,-6011.0,,,2262,,,,,2262,4765,,644,644,,,,32,,,,,,631,,,631,1307,1300,,,,,2742,,,,2742,4042,5349,96.0,,,,0.0,,972,1068,0,1068,6417,
06/30/1995,6503,29,29,0.0,614,,,634,,,,,398,,,,,1675,2498,8312.0,-5814.0,,,2330,,,,,2330,4828,,747,747,,,,98,,,,,,659,,,659,1504,1147,,,,,2714,,,,2714,3861,5365,96.0,,,,0.0,,1042,1138,0,1138,6503,
09/30/1995,6647,62,62,0.0,594,,,650,,,,,315,,,,,1621,2501,8364.0,-5863.0,,,2525,,,,,2525,5026,,756,756,,,,151,,,,,,602,,,602,1509,1090,,,,,2686,,,,2686,3776,5285,71.0,,,,0.0,,1291,1362,0,1362,6647,
12/31/1995,6521,52,52,0.0,579,,,601,,,,,212,,,,,1444,2512,8421.0,-5909.0,145.0,,2420,,,,,2420,5077,,815,815,,,,101,,,,,,603,,,603,1519,923,,,,,2671,,,,2671,3594,5113,71.0,,,,0.0,,1337,1408,0,1408,6521,
03/31/1996,6447,29,29,0.0,559,,,625,,,,,232,,,,,1445,2490,8457.0,-5967.0,,,2512,,,,,2512,5002,,726,726,,,,114,,,,,,622,,,622,1462,896,,,,,2653,,,,2653,3549,5011,71.0,,,,0.0,,1365,1436,0,1436,6447,
06/30/1996,6467,20,20,0.0,524,,,630,,,,,239,,,,,1413,2516,8515.0,-5999.0,,,2538,,,,,2538,5054,,720,720,,,,99,,,,,,624,,,624,1443,905,,,,,2651,,,,2651,3556,4999,71.0,,,,0.0,,1397,1468,0,1468,6467,
09/30/1996,6595,20,20,0.0,513,,,724,,,,,208,,,,,1465,2537,8581.0,-6044.0,,,2593,,,,,2593,5130,,695,695,,,,120,,,,,,494,,,494,1309,1070,,,,,2689,,,,2689,3759,5068,71.0,,,,0.0,,1456,1527,0,1527,6595,
12/31/1996,6580,23,23,0.0,580,,,648,,,,,177,,,,,1428,2551,8347.0,-5796.0,209.0,,2392,,,,,2392,5152,,667,667,,,,91,,,,,,541,,,541,1299,1014,,,,,2637,,,,2637,3651,4950,71.0,,,,0.0,,1559,1630,0,1630,6580,
03/31/1997,6504,16,16,0.0,472,,,667,,,,,179,,,,,1334,2527,8319.0,-5792.0,,,2643,,,,,2643,5170,,661,661,,,,114,,,,,,581,,,581,1356,810,,,,,2636,,,,2636,3446,4802,71.0,,,,0.0,,1631,1702,0,1702,6504,
06/30/1997,6574,16,16,0.0,473,,,706,,,,,182,,,,,1377,2498,8240.0,-5742.0,,,2699,,,,,2699,5197,,685,685,,,,38,,,,,,567,,,567,1290,536,,,,,2960,,,,2960,3496,4786,249.0,,,,0.0,,1539,1788,0,1788,6574,
09/30/1997,6701,17,17,0.0,517,,,714,,,,,231,,,,,1479,2488,8268.0,-5780.0,,,2734,,,,,2734,5222,,700,700,,,,72,,,,,,583,,,583,1355,505,,,,,2952,,,,2952,3457,4812,249.0,,,,0.0,,1640,1889,0,1889,6701,
12/31/1997,6694,18,18,0.0,588,,,705,,,,,220,,,,,1531,2496,8295.0,-5799.0,198.0,,2469,,,,,2469,5163,,687,687,,,,67,,,,,,580,,,580,1334,456,,,,,2874,,,,2874,3330,4664,251.0,,,,0.0,,1779,2030,0,2030,6694,
03/31/1998,6743,12,12,0.0,519,,,718,,,,,227,,,,,1476,2475,8285.0,-5810.0,,,2792,,,,,2792,5267,,663,663,,,,56,,,,,,563,,,563,1282,476,,,,,2888,,,,2888,3364,4646,251.0,,,,0.0,,1846,2097,0,2097,6743,
06/30/1998,6784,16,16,0.0,483,,,738,,,,,220,,,,,1457,2468,8305.0,-5837.0,,,2859,,,,,2859,5327,,634,634,,,,45,,,,,,522,,,522,1201,432,,,,,2920,,,,2920,3352,4553,251.0,,,,0.0,,1980,2231,0,2231,6784,
09/30/1998,6866,23,23,0.0,441,,,776,,,776.0,,215,,,,,1455,2489,8382.0,-5893.0,,,2922,,,,,2922,5411,,618,618,,,,32,,,,,,511,,,511,1161,501,,,,,2911,,,,2911,3412,4573,251.0,,,,0.0,,2042,2293,0,2293,6866,
12/31/1998,6693,9,9,0.0,392,,,698,234.0,282.0,182.0,0.0,176,,,,,1275,2500,8439.0,-5939.0,179.0,,2739,0.0,,,,2739,5418,,501,501,,,,25,,,,,,490,,,490,1016,464,,,,,2872,,,,2872,3336,4352,251.0,,,,0.0,,2090,2341,0,2341,6693,
03/31/1999,6744,18,18,0.0,406,,,712,206.0,319.0,187.0,,177,,,,,1313,2506,8506.0,-6000.0,,,2925,0.0,,,,2925,5431,,577,577,,,,18,,,,,,457,,,457,1052,444,,,,,2947,,,,2947,3391,4443,251.0,,,,0.0,,2050,2301,0,2301,6744,
06/30/1999,6884,20,20,0.0,423,,,768,183.0,368.0,217.0,,176,,,,,1387,2499,8574.0,-6075.0,,,2998,0.0,,,,2998,5497,,612,612,,,,28,,,,,,462,,,462,1102,491,,,,,2964,,,,2964,3455,4557,251.0,,,,0.0,,2076,2327,0,2327,6884,
09/30/1999,6960,6,6,0.0,532,,,719,164.0,350.0,205.0,0.0,180,,,,,1437,2491,8596.0,-6105.0,,,3032,0.0,,,,3032,5523,,694,694,,,,23,,,,,,449,,,449,1166,543,,,,,2973,,,,2973,3516,4682,251.0,,,,0.0,,2027,2278,0,2278,6960,
12/31/1999,7525,22,22,0.0,838,,,743,158.0,392.0,193.0,0.0,378,,,,,1981,2516,8748.0,-6232.0,50.0,,2978,0.0,,,,2978,5544,,739,739,,,,13,,,,,,514,,,514,1266,902,,,,,3052,,,,3052,3954,5220,252.0,,,,0.0,,2053,2305,0,2305,7525,
03/31/2000,7549,5,5,0.0,884,,,758,169.0,378.0,211.0,0.0,321,,,,,1968,2478,8760.0,-6282.0,,,3103,0.0,,,,3103,5581,,695,695,,,,9,,,,,,503,,,503,1207,931,,,,,3097,,,,3097,4028,5235,251.0,,,,0.0,,2063,2314,0,2314,7549,
06/30/2000,7606,5,5,0.0,842,,,772,186.0,368.0,218.0,0.0,363,,,,,1982,2444,8791.0,-6347.0,,,3180,0.0,,,,3180,5624,,691,691,,,,30,,,,,,490,,,490,1211,919,,,,,3133,,,,3133,4052,5263,183.0,,,,0.0,,2092,2275,68,2343,7606,
09/30/2000,7793,6,6,0.0,832,,,856,247.0,391.0,218.0,0.0,423,,,,,2117,2413,8818.0,-6405.0,,,3263,0.0,,,,3263,5676,,627,627,,,,435,,,,,,505,,,505,1567,683,,,,,3202,,,,3202,3885,5452,251.0,,,,0.0,,2090,2341,0,2341,7793,
12/31/2000,8711,219,219,0.0,627,,,350,307.0,429.0,210.0,0.0,1521,,,,,2717,2739,9270.0,-6531.0,72.0,,3183,0.0,,,,3183,5994,,760,760,,,,209,,,,,,422,,,422,1391,2236,,,,,2916,,,,2916,5152,6543,251.0,,,,0.0,,1917,2168,0,2168,8711,
03/31/2001,8626,180,180,0.0,626,,,957,255.0,434.0,268.0,0.0,656,,,,,2419,3067,9637.0,-6570.0,,,3140,0.0,0.0,0.0,,3140,6207,,822,822,,,,297,,,,,,408,,,408,1527,1939,,,,,3010,,,,3010,4949,6476,251.0,,,,0.0,,1899,2150,0,2150,8626,
06/30/2001,8954,254,254,0.0,652,,,916,279.0,378.0,259.0,0.0,854,,,,,2676,3098,9806.0,-6708.0,,,3180,0.0,0.0,0.0,,3180,6278,,778,778,,,,347,,,,,,535,,,535,1660,2085,,,,,3100,,,,3100,5185,6845,251.0,,,,0.0,,1858,2109,0,2109,8954,
09/30/2001,9337,475,475,0.0,656,,,950,284.0,419.0,247.0,0.0,920,,,,,3001,3089,9864.0,-6775.0,,,3247,0.0,0.0,0.0,,3247,6336,,801,801,,,,136,,,,,,528,,,528,1465,2622,,,,,3172,,,,3172,5794,7259,251.0,,,,0.0,,1827,2078,0,2078,9337,
12/31/2001,8337,147,147,0.0,802,,,870,280.0,388.0,202.0,0.0,254,,,,,2073,3084,9950.0,-6866.0,65.0,,3115,0.0,0.0,0.0,,3115,6264,,638,638,,,,32,,,,,,589,,,589,1259,1434,,,,,3138,,,,3138,4572,5831,0.0,2564.0,,,0.0,,-58,2506,0,2506,8337,
03/31/2002,8271,57,57,0.0,747,747.0,,901,244.0,433.0,224.0,0.0,255,,,,,1960,3063,9998.0,-6935.0,,,3248,0.0,0.0,0.0,,3248,6311,,698,698,,,,31,,,,,,537,,,537,1266,1434,,,,,3132,,,,3132,4566,5832,0.0,2584.0,,,0.0,-87.0,-58,2439,0,2439,8271,
06/30/2002,8614,28,28,0.0,977,977.0,,919,264.0,422.0,233.0,0.0,376,,,,,2300,3031,10046.0,-7015.0,341.0,,2942,0.0,0.0,0.0,,2942,6314,,703,703,,,,7,,,,,,635,,,635,1345,1439,,,,,3160,,,,3160,4599,5944,0.0,2782.0,,,0.0,-65.0,-47,2670,0,2670,8614,
09/30/2002,8679,105,105,0.0,1058,936.0,,967,284.0,444.0,239.0,0.0,251,,,,,2381,2989,10065.0,-7076.0,335.0,,2974,0.0,0.0,0.0,,2974,6298,,796,796,,,,7,,,,,,546,,,546,1349,1428,,,,,3126,,,,3126,4554,5903,0.0,2785.0,,,0.0,36.0,-45,2776,0,2776,8679,
12/31/2002,7977,243,243,0.0,934,,,1030,287.0,472.0,271.0,0.0,233,,,,,2440,2978,10073.0,-7095.0,61.0,,2498,414.0,0.0,414.0,,2084,5537,,767,767,,,,26,,,,,,579,,,579,1372,1408,,,,,3170,,,,3170,4578,5950,0.0,2791.0,,,0.0,,-764,2027,0,2027,7977,
03/31/2003,8325,367,367,0.0,1104,959.0,,1077,264.0,507.0,306.0,0.0,260,,,,,2808,2958,10142.0,-7184.0,,,2559,414.0,0.0,414.0,,2145,5517,,892,892,,,,26,,,,,,612,,,612,1530,1408,,,,,3158,,,,3158,4566,6096,250.0,2787.0,,,0.0,-4.0,-804,2229,0,2229,8325,
06/30/2003,9333,145,145,0.0,1351,1233.0,,1468,325.0,665.0,478.0,0.0,286,,,,,3250,3497,10459.0,-6962.0,,,2586,414.0,0.0,414.0,,2172,6083,,1039,1039,,,,37,,,,,,730,,,730,1806,1846,,,,,3506,,,,3506,5352,7158,250.0,2790.0,,,0.0,-62.0,-803,2175,0,2175,9333,
09/30/2003,9241,160,160,0.0,1274,1126.0,,1394,282.0,613.0,499.0,0.0,238,,,,,3066,3367,10456.0,-7089.0,,,2808,413.0,0.0,413.0,,2395,6175,,1012,1012,,,,28,,,,,,813,,,813,1853,1853,,,,,3890,,,,3890,5743,7596,231.0,2782.0,,,0.0,-399.0,-969,1645,0,1645,9241,
12/31/2003,7837,316,316,0.0,1219,,,1283,281.0,575.0,427.0,0.0,288,,,,,3106,3415,10372.0,-6957.0,35.0,,1281,477.0,0.0,477.0,,804,4731,,1020,1020,,,,48,20.0,28.0,28.0,,,1059,,,1059,2127,1890,1706.0,184.0,184.0,,2727,,,,2727,4617,6744,226.0,2791.0,,,0.0,0.0,-1924,1093,0,1093,7837,
03/31/2004,8314,764,764,0.0,1404,1302.0,,1180,234.0,544.0,402.0,0.0,274,,,,,3622,3398,10433.0,-7035.0,6.0,,1288,476.0,0.0,476.0,,812,4692,,1107,1107,,,,313,313.0,0.0,0.0,,,1012,,,1012,2432,1628,1480.0,148.0,148.0,,2748,,,,2748,4376,6808,222.0,3125.0,,,0.0,0.0,-1869,1478,28,1506,8314,
06/30/2004,8400,590,590,0.0,1579,1463.0,,1332,465.0,510.0,357.0,0.0,273,,,,,3774,3403,10500.0,-7097.0,,,1223,440.0,0.0,440.0,,783,4626,,1212,1212,,,,63,,,,,,1052,,,1052,2327,1599,,,,,2764,,,,2764,4363,6690,218.0,3117.0,,,0.0,0.0,-1653,1682,28,1710,8400,
09/30/2004,8795,1062,1062,0.0,1671,,,1251,352.0,537.0,362.0,0.0,191,,,,,4175,3514,10704.0,-7190.0,10.0,,1096,440.0,0.0,440.0,,656,4620,,1331,1331,,,,73,,,,,,1045,,,1045,2449,1569,,,,,2712,,,,2712,4281,6730,216.0,3137.0,,,0.0,193.0,-1506,2040,25,2065,8795,
12/31/2004,11064,1037,1037,0.0,1592,1592.0,,1305,381.0,591.0,333.0,0.0,417,,,,,4351,3627,10864.0,-7237.0,302.0,,2784,38.0,0.0,38.0,,2746,6713,,1285,1285,,,,86,86.0,0.0,0.0,,,1164,,,1164,2535,1363,1363.0,0.0,0.0,,3064,,,,3064,4427,6962,216.0,3155.0,,,0.0,755.0,-52,4074,28,4102,11064,
03/31/2005,11229,1147,1147,0.0,1775,1775.0,,1308,312.0,605.0,391.0,0.0,322,,,,,4552,3651,10973.0,-7322.0,286.0,,2740,36.0,,,,2704,6677,,1280,1280,,,,35,,,,,,1009,,,1009,2324,1362,,,,,3093,,,,3093,4455,6779,216.0,3162.0,,,0.0,1093.0,-51,4420,30,4450,11229,
06/30/2005,11238,1242,1242,0.0,1570,1570.0,,1428,480.0,601.0,347.0,0.0,297,,,,,4537,3723,11071.0,-7348.0,292.0,,2686,34.0,0.0,34.0,,2652,6701,,1130,1130,,,,8,,,,,,978,,,978,2116,1355,,,,,3088,,,,3088,4443,6559,216.0,3163.0,,,0.0,1322.0,-52,4649,30,4679,11238,
09/30/2005,11365,1394,1394,0.0,1504,1504.0,,1341,490.0,530.0,321.0,0.0,388,,,,,4627,3840,11192.0,-7352.0,291.0,,2607,32.0,0.0,32.0,,2575,6738,,1191,1191,,,,17,,,,,,999,,,999,2207,1366,,,,,3062,,,,3062,4428,6635,216.0,3175.0,,,-51.0,1413.0,-52,4701,29,4730,11365,
12/31/2005,9822,1479,1479,0.0,1516,1516.0,,1466,507.0,568.0,391.0,0.0,370,,,,,4831,4015,11316.0,-7301.0,303.0,,673,280.0,0.0,280.0,,393,4991,,1256,1256,,,,364,364.0,0.0,0.0,,,1129,,,1129,2749,1363,1363.0,0.0,0.0,,2354,,,,2354,3717,6466,216.0,3176.0,,,-253.0,1605.0,-1420,3324,32,3356,9822,
03/31/2006,10170,1471,1471,0.0,1722,1722.0,,1483,471.0,614.0,398.0,0.0,370,,,,,5046,4159,,,285.0,,680,28.0,,,,652,5124,,1194,1194,,,,274,,,,,,1269,,,1269,2737,1359,,,,,2338,,,,2338,3697,6434,216.0,3176.0,,,-250.0,1846.0,-1283,3705,31,3736,10170,
06/30/2006,10439,1477,1477,0.0,1885,1885.0,,1517,464.0,688.0,365.0,0.0,400,,,,,5279,4212,11723.0,-7511.0,283.0,,665,26.0,0.0,26.0,,639,5160,,1225,1225,,,,236,,,,,,1282,,,1282,2743,1331,,,,,2301,,,,2301,3632,6375,0.0,3070.0,,,-34.0,2229.0,-1232,4033,31,4064,10439,
09/30/2006,10462,1410,1410,0.0,1871,1871.0,,1673,558.0,661.0,454.0,0.0,331,,,,,5285,4269,11881.0,-7612.0,288.0,,620,23.0,0.0,23.0,,597,5177,,1286,1286,,,,146,,,,,,1336,,,1336,2768,1327,,,,,2141,,,,2141,3468,6236,0.0,3066.0,,,-298.0,2628.0,-1201,4195,31,4226,10462,
12/31/2006,10586,1422,1422,0.0,1681,1681.0,,1604,639.0,597.0,368.0,0.0,489,,,,,5196,4429,12197.0,-7768.0,331.0,,630,0.0,0.0,0.0,,630,5390,,1254,1254,,,,148,107.0,41.0,41.0,,,1300,,,1300,2702,943,839.0,104.0,104.0,,2538,,,,2538,3481,6183,0.0,3066.0,,,-317.0,2902.0,-1286,4365,38,4403,10586,
03/31/2007,10914,1552,1552,0.0,1835,1835.0,,1618,623.0,621.0,374.0,0.0,495,,,,,5500,4439,,,320.0,,655,0.0,,,,655,5414,,1354,1354,,,,111,111.0,0.0,0.0,,,1282,,,1282,2747,940,940.0,0.0,0.0,,2537,,,,2537,3477,6224,0.0,3073.0,,,-334.0,3148.0,-1231,4656,34,4690,10914,
06/30/2007,12913,1103,1103,0.0,2119,2119.0,,2055,525.0,847.0,683.0,0.0,479,,,,,5756,4932,,,333.0,,1892,1239.0,972.0,267.0,,653,7157,,1555,1555,,,,178,178.0,0.0,0.0,,,1364,,,1364,3097,2125,2125.0,0.0,0.0,,2697,,,,2697,4822,7919,0.0,3078.0,,,-355.0,3426.0,-1189,4960,34,4994,12913,
09/30/2007,13312,1403,1403,0.0,2168,2168.0,,1826,525.0,784.0,517.0,0.0,488,,,,,5885,4809,12862.0,-8053.0,315.0,,2303,1386.0,1155.0,231.0,,917,7427,,1577,1577,,,,195,,,,,,1392,,,1392,3164,2103,,,,,2659,,,,2659,4762,7926,0.0,3075.0,,,-373.0,3672.0,-1022,5352,34,5386,13312,
12/31/2007,15632,401,401,0.0,1924,1924.0,,2279,904.0,827.0,548.0,0.0,355,,,,,4959,6688,14788.0,-8100.0,694.0,,3291,2131.0,1712.0,419.0,,1160,10673,,1668,1668,,,,163,,,,,,1172,,,1172,3003,3147,,,,,3863,,,,3863,7010,10013,0.0,3079.0,,,-395.0,3683.0,-836,5531,88,5619,15632,
03/31/2008,16177,454,454,0.0,2292,2292.0,,2339,690.0,922.0,599.0,128.0,310,,,,,5395,6832,15085.0,-8253.0,763.0,,3187,1987.0,1635.0,352.0,,1200,10782,,1903,1903,,,,208,,,,,,1284,,,1284,3395,3142,,,,,3762,,,,3762,6904,10299,0.0,3086.0,,,-421.0,3888.0,-775,5778,100,5878,16177,
06/30/2008,17307,391,391,0.0,3018,3018.0,,2593,802.0,1052.0,612.0,127.0,367,,,,,6369,6890,,,770.0,,3278,1992.0,1716.0,276.0,,1286,10938,,2269,2269,,,,158,,,,,,1446,,,1446,3873,3110,,,,,3790,,,,3790,6900,10773,0.0,3096.0,,,-470.0,4527.0,-744,6409,125,6534,17307,
09/30/2008,17268,793,793,0.0,3124,3124.0,,2669,1095.0,932.0,642.0,0.0,395,,,,,6981,6732,,,728.0,,2827,2023.0,1726.0,297.0,,804,10287,,2154,2154,,,,105,105.0,0.0,0.0,,,1435,,,1435,3694,3120,3120.0,0.0,0.0,,4119,,,,4119,7239,10933,0.0,3106.0,,,-599.0,5410.0,-1738,6179,156,6335,17268,
12/31/2008,16087,724,724,,2144,2144.0,,2492,1422.0,552.0,518.0,0.0,372,,,,,5732,6676,15345.0,-8669.0,695.0,,2984,1891.0,1609.0,282.0,,1093,10355,,1440,1440,,,,92,,,,,,1246,,,1246,2778,3064,,,,,5186,,,,5186,8250,11028,0.0,3110.0,,,-612.0,5666.0,-3269,4895,164,5059,16087,
03/31/2009,15142,1131,1131,0.0,1406,1406.0,0.0,2080,1106.0,433.0,415.0,126.0,476,,719.0,,166.0,5093,6558,15279.0,-8721.0,667.0,667.0,2824,1865.0,1588.0,277.0,,240,10049,,2049,1181,,43.0,825.0,93,12.0,,,,81.0,297,,,236,2439,3043,3043.0,,,,5081,,4675.0,,406,8124,10563,0.0,3122.0,124.0,2998.0,-613.0,5192.0,-3322,4379,200,4579,15142,
06/30/2009,15737,1950,1950,0.0,1144,1144.0,0.0,1781,978.0,371.0,315.0,117.0,583,,665.0,129.0,164.0,5458,6740,,,630.0,630.0,2909,1927.0,1648.0,279.0,,317,10279,,1808,986,,35.0,787.0,28,10.0,,,,18.0,313,,,261,2149,3333,3333.0,,,,5126,,4720.0,,406,8459,10608,0.0,3788.0,151.0,3637.0,-610.0,4793.0,-3098,4873,256,5129,15737,
09/30/2009,15849,1543,1543,0.0,1502,1502.0,0.0,1677,726.0,525.0,294.0,132.0,534,,732.0,206.0,186.0,5256,6860,,,697.0,697.0,3036,1983.0,1702.0,281.0,,321,10593,,2364,1408,135.0,51.0,770.0,20,1.0,,,,19.0,82,,,50,2466,3346,3346.0,,,,4998,,4593.0,,405,8344,10810,0.0,3799.0,151.0,3648.0,-608.0,4483.0,-2925,4749,290,5039,15849,
12/31/2009,15422,1218,1218,0.0,1423,1423.0,0.0,1679,481.0,741.0,336.0,121.0,695,0.0,535.0,214.0,182.0,5015,6820,16030.0,-9210.0,695.0,695.0,2892,2006.0,1725.0,281.0,16.0,335,10407,,2371,1396,89.0,32.0,854.0,42,23.0,,,,19.0,61,0.0,0.0,59,2474,3345,3345.0,,,,4624,0.0,4143.0,,481,7969,10443,0.0,3803.0,151.0,3652.0,-608.0,4209.0,-2728,4676,303,4979,15422,
03/31/2010,15327,1386,1386,0.0,1811,1811.0,0.0,1647,449.0,769.0,319.0,110.0,556,,482.0,21.0,228.0,5400,6409,15662.0,-9253.0,658.0,658.0,2860,2035.0,1754.0,281.0,,343,9927,,2481,1585,133.0,52.0,711.0,35,14.0,,,,21.0,68,,,68,2584,3651,3651.0,,,,4535,,4104.0,,431,8186,10770,0.0,3804.0,151.0,3653.0,-606.0,4044.0,-2686,4556,1,4557,15327,
