Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Increase in Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/2001,59.319,27.375999,6.768,2.93,,,,2.93,22.245001,,,,,-8.569,,-8.569,,,,,,,,,,,,8.569,,,,,,,,,,,,,,,4.878,0.0,
12/31/2001,47.582001,28.332001,7.122,-7.027,,,,-7.027,19.155001,,,,,-13.877,,-13.877,,,,,,,,,,,,13.877,,,,,,,,,,,,,,,42.693001,0.0,
03/31/2002,-39.176998,31.399,5.001,-3.989,,,,-3.989,-71.587997,,,,,-13.71,,-13.71,,,,,,,,,,,,13.71,,,,,,,,,,,,,,,9.555,0.0,
06/30/2002,66.047997,34.835999,4.965,19.856001,,,,19.856001,6.391,,,,-18.115999,-18.115999,,-18.115999,,,,,,,,,,,,0.0,,,,,,,,,,,,,,47.931998,30.556,0.734,
09/30/2002,70.003998,33.165001,5.985,-7.645,,,,-7.645,38.499001,,,,-6.539,-6.539,,-6.539,,,,,,,,,,,,0.0,,,,,,,,,,,,,,63.464998,22.068001,0.0,
12/31/2002,75.169998,33.848,4.287,-16.848,,,,-16.848,53.882999,,,,,-4.462,,-4.462,,,,,,,,,,,,4.462,,,,,,,,,,,,,,,13.057,0.0,
03/31/2003,-28.646999,35.32,5.295,-9.6,,,,-9.6,-59.661999,,,,-3.355,-3.355,,-3.355,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-32.001999,2.635,0.0,
06/30/2003,51.431999,38.674,5.169,-4.427,,,,-4.427,12.016,,,,-2.944,-2.944,,-2.944,,,,,,,,,,,,0.0,,,,,,,,,,,,,,48.487999,32.245998,0.658,
09/30/2003,-180.664001,40.053001,5.422,52.700001,,,,52.700001,-278.838989,,,,-3.354,-3.354,,-3.354,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-184.018001,17.302999,22.049999,
12/31/2003,252.52,41.31,5.48,-34.541,,-4.122,2.66,-33.079,240.271,,,,17.675,-3.8,,-3.8,21.487,180.509,-159.022,,,,,,,,,-0.012,-373.002,-12.78,-343.937,,,,,-18.151,2.494,-20.645,0.0,1.866,,-102.807,,,
03/31/2004,-33.873001,55.207001,4.949,4.007,,,,4.007,-98.036003,,,,67.874001,-4.586,0.0,-4.586,66.121,76.18,-10.059,0.0,,,,,,,,6.339001,-48.832999,-16.016001,0.0,,,,,-33.782998,6.644,-40.426998,0.0,0.966,,-14.832,19.612,0.0,
06/30/2004,73.648003,47.995998,5.156,6.547,,,,6.547,13.949,,,,-58.883999,-5.306,0.0,-5.306,-12.385001,13.562,-25.947001,0.0,,,,,,,,-41.192998,-19.177,-15.741,0.0,,,,,-3.597,3.405,-7.002,0.0,0.161,,-4.413,37.867001,0.574,
09/30/2004,103.686996,-9.814,5.357,67.636002,,,,67.636002,40.507999,,,,-5.45,-5.353,0.0,-5.353,1.879997,55.994999,-54.115002,0.0,,,,,,,,-1.976997,-15.502,-15.928,0.0,,,,,2.166,3.276,-1.11,0.0,-1.74,,82.735001,8.377,0.352,
12/31/2004,87.896,49.752,5.224,8.667,,,,8.667,24.253,,,,3.487,-10.347,0.0,-10.347,39.002,46.517,-7.515,0.0,,,,,,,,-25.168,-13.141,-15.975,0.0,,,,,-7.024,2.044,-9.068,0.0,9.858,,78.242,31.487,-0.352,
03/31/2005,-139.607,46.536,8.832,-0.335,,-4.361,18.147,-14.121,-194.64,,,,-138.079,-16.684,,-16.684,9.128,18.221,-9.093,,,,,,,,,-130.523,128.42,-19.274,133.16,,,,,8.787,8.871,-0.084,,5.747,,-149.266,8.839,0.315,
06/30/2005,254.696,53.335,11.062,25.842,,,,25.842,164.457,,,,-13.853,-12.454,0.0,-12.454,5.429,9.908,-4.479,0.0,,,,,,,,-6.828,-54.992,-19.16,0.0,,,,,-30.836,1.686,-32.522,0.0,-4.996,,185.851,58.195,0.169,
09/30/2005,-35.684,61.119,2.52,-12.468,,,,-12.468,-86.855,,,,-9.3,-13.792,0.0,-13.792,2.177,16.335,-14.158,0.0,,,,,,,,2.315,-56.639,-19.073,0.0,,,,,-35.216,4.953,-40.169,0.0,-2.35,,-101.623,36.248,3.452,
12/31/2005,170.117,72.918,8.488,35.836,,,,35.836,52.875,,,,-58.554,-12.224,0.0,-12.224,-10.632,13.217,-23.849,0.0,,,,,,,,-35.698,-23.854,-19.099,0.0,,,,,-2.818,1.873,-4.691,0.0,-1.937,,87.709,31.482,0.004,
03/31/2006,-62.04,70.862,11.606,17.761,,-5.117,26.542,-3.664,-162.269,,,,-39.891,-14.602,,-14.602,-25.289,16.083,-41.372,,,,,,,,,0.0,-14.194,-26.891,0.0,,,,,6.175,6.214,-0.039,,6.522,,-116.125,29.305,3.281,
06/30/2006,94.21,63.404,11.525,-0.179,,,,-0.179,19.46,,,,-73.987,-12.933,0.0,-12.933,-11.84,0.0,-11.84,0.0,,,,,,,,-49.214,-19.634,-27.221,0.0,,,,,-0.952,0.235,-1.187,0.0,8.539,,0.589,75.184,0.314,
09/30/2006,205.687,18.914,13.581,20.942,,,,20.942,152.25,,,,412.726,-19.479,0.0,-19.479,-6.895,1.939,-8.834,0.0,,,,,,,,439.1,-43.199,-27.022,0.0,,,,,-17.022,6.367,-23.389,0.0,0.845,,575.214,22.875,3.281,
12/31/2006,483.027,169.422,36.097,171.192,,,,171.192,106.316,,,,-295.283,-36.979,0.0,-36.979,-142.943,7.64,-150.583,0.0,,,,,,,,-115.361,28.659,-54.531,0.0,,,,,-4.99,1.368,-6.358,0.0,88.18,,216.403,27.133,0.742,
03/31/2007,-485.2,195.388,46.062,-3.003,,103.426,41.418,-147.847,-723.647,,,,-171.08,-27.983,,-27.983,-83.887,41.742,-125.629,,,,,,,,,-59.21,514.804,-88.417,550.0,,,,,-88.593,75.803,-164.396,,141.814,,-141.476,50.315,6.707,
06/30/2007,407.591,222.244,48.624,-127.337,,41.462,91.43,-260.229,264.06,,,,-25.607,-34.322,0.0,-34.322,-2.588,86.569,-89.157,0.0,,,,,,,,11.303,-44.562,-88.349,-190.0,,,,,-96.27,26.092,-122.362,0.0,330.057,,337.422,52.443,6.977,
09/30/2007,438.924,255.2,48.701,-29.838,,-100.576,142.519,-71.781,164.861,,,,-52.639,-22.635,0.0,-22.635,-33.631,65.42,-99.051,0.0,,,,,,,,3.627,578.044,-88.821,783.712,,,,,-67.863,15.482,-83.345,0.0,-48.984,,964.329,154.652,9.226,
12/31/2007,587.449,995.272,198.824,-226.303,,-104.654,188.256,-309.905,-380.344,,,,-1068.832,-111.317,0.0,-111.317,-255.665,265.561,-521.226,0.0,,,,,,,,-701.85,977.279,-353.463,993.854,,,,,-187.894,195.416,-383.31,0.0,524.782,,495.896,375.731,29.979,
03/31/2008,-130.0,241.0,59.0,114.0,,-42.0,70.0,86.0,-544.0,,,,-134.0,-25.0,,-25.0,-111.0,27.0,-138.0,,,,,,,,,2.0,-198.0,-104.0,0.0,,,,,-10.0,26.0,-36.0,0.0,-84.0,,-462.0,58.0,29.0,
06/30/2008,611.0,274.0,58.0,66.0,,,,66.0,213.0,,,,-185.0,-15.0,0.0,-15.0,-122.0,25.0,-147.0,0.0,,,,,,,,-48.0,-192.0,-104.0,-1.0,,,,,35.0,42.0,-7.0,0.0,-122.0,,234.0,237.0,4.0,
09/30/2008,675.0,217.0,61.0,140.0,,,,140.0,257.0,,,,-52.0,-32.0,0.0,-32.0,-55.0,16.0,-71.0,0.0,,,,,,,,35.0,-258.0,-105.0,-100.0,,,,,17.0,18.0,-1.0,0.0,-70.0,,365.0,137.0,28.0,
12/31/2008,760.0,52.0,58.0,506.0,,,,506.0,144.0,,,,-23.0,-5.0,0.0,-5.0,-7.0,54.0,-61.0,0.0,,,,,,,,-11.0,-498.0,-106.0,0.0,,,,,1.0,3.0,-2.0,0.0,-393.0,,239.0,212.0,2.0,
03/31/2009,-126.0,84.0,57.0,342.0,179.0,-44.0,82.0,125.0,-609.0,-74.0,-535.0,0.0,104.0,-16.0,0.0,-16.0,117.0,126.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-201.0,-105.0,0.0,0.0,0.0,0.0,0.0,-34.0,5.0,-39.0,0.0,-62.0,-16.0,-239.0,133.0,26.0,
06/30/2009,400.0,218.0,58.0,134.0,58.0,-15.0,77.0,14.0,-10.0,-23.0,13.0,0.0,-86.0,-17.0,0.0,-17.0,67.0,72.0,-5.0,0.0,0.0,0.0,0.0,-158.0,0.0,-158.0,0.0,22.0,96.0,-103.0,-1.0,-1.0,0.0,0.0,0.0,325.0,326.0,-1.0,0.0,-125.0,102.0,512.0,207.0,0.0,
09/30/2009,557.0,317.0,60.0,-17.0,11.0,-40.0,73.0,-61.0,197.0,-22.0,219.0,0.0,-7.0,-19.0,0.0,-19.0,-15.0,31.0,-46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,-66.0,-108.0,-1.0,0.0,0.0,0.0,-1.0,13.0,14.0,-1.0,0.0,30.0,-26.0,458.0,65.0,26.0,
12/31/2009,1399.0,897.0,239.0,543.0,224.0,-89.0,317.0,91.0,-280.0,-53.0,-227.0,0.0,-5519.0,-65.0,0.0,-65.0,187.0,260.0,-73.0,0.0,0.0,0.0,0.0,-5755.0,0.0,-5755.0,0.0,114.0,6749.0,-422.0,4522.0,2034.0,0.0,2495.0,-7.0,2809.0,2855.0,-46.0,0.0,-160.0,47.0,2676.0,503.0,52.0,
03/31/2010,-164.0,423.0,78.0,156.0,-6.0,55.0,108.0,-1.0,-821.0,-59.0,-762.0,0.0,-30.0,-44.0,0.0,-44.0,1.0,29.0,-28.0,0.0,0.0,0.0,0.0,-8.0,0.0,-8.0,0.0,21.0,-1755.0,-196.0,-1502.0,-1354.0,0.0,0.0,-148.0,-66.0,48.0,-114.0,0.0,9.0,-56.0,-2005.0,67.0,38.0,
06/30/2010,310.0,817.0,157.0,337.0,14.0,89.0,221.0,13.0,-1001.0,-109.0,-892.0,0.0,-402.0,-66.0,,-66.0,-351.0,57.0,-408.0,,,,,-8.0,0.0,-8.0,0.0,23.0,-2372.0,-389.0,-1962.0,-1790.0,0.0,0.0,-172.0,-66.0,51.0,-117.0,,45.0,-61.0,-2525.0,282.0,99.0,
09/30/2010,1105.0,551.0,74.0,35.0,-38.0,-47.0,114.0,6.0,445.0,-30.0,475.0,0.0,-78.0,-30.0,0.0,-30.0,-40.0,74.0,-114.0,0.0,0.0,0.0,0.0,-8.0,0.0,-8.0,0.0,0.0,-632.0,-193.0,-348.0,-344.0,0.0,0.0,-4.0,-144.0,3.0,-147.0,0.0,53.0,58.0,453.0,73.0,37.0,
12/31/2010,1073.0,657.0,79.0,41.0,-10.0,-39.0,110.0,-20.0,296.0,21.0,275.0,0.0,-147.0,-35.0,0.0,-35.0,-84.0,50.0,-134.0,0.0,0.0,0.0,0.0,-7.0,0.0,-7.0,0.0,-21.0,-166.0,-194.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,22.0,-29.0,731.0,228.0,63.0,
03/31/2011,-156.0,568.0,73.0,122.0,-14.0,48.0,137.0,-49.0,-919.0,-1.0,-918.0,0.0,-15.0,-83.0,0.0,-83.0,51.0,104.0,-53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,-465.0,-272.0,-104.0,-100.0,0.0,0.0,-4.0,-83.0,23.0,-106.0,0.0,-6.0,48.0,-588.0,132.0,39.0,
06/30/2011,873.0,619.0,73.0,85.0,-5.0,-86.0,105.0,71.0,96.0,-28.0,124.0,0.0,-89.0,-76.0,0.0,-76.0,-26.0,12.0,-38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,-771.0,-248.0,2019.0,600.0,0.0,1496.0,-77.0,-2541.0,7.0,-2548.0,0.0,-1.0,4.0,17.0,517.0,65.0,
09/30/2011,1236.0,595.0,76.0,126.0,35.0,-70.0,133.0,28.0,439.0,-2.0,441.0,0.0,-82.0,-59.0,0.0,-59.0,-25.0,26.0,-51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-939.0,-249.0,-558.0,-500.0,0.0,0.0,-58.0,-120.0,9.0,-129.0,0.0,-12.0,-28.0,187.0,170.0,37.0,
12/31/2011,873.0,555.0,77.0,86.0,-47.0,-29.0,122.0,40.0,155.0,-85.0,240.0,0.0,-18.0,-29.0,0.0,-29.0,9.0,71.0,-62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-310.0,-245.0,-53.0,0.0,0.0,0.0,-53.0,-93.0,9.0,-102.0,0.0,81.0,-22.0,523.0,143.0,86.0,
03/31/2012,-102.0,572.0,73.0,87.0,-74.0,65.0,114.0,-18.0,-834.0,-176.0,-658.0,0.0,-487.0,-41.0,0.0,-41.0,-99.0,76.0,-175.0,0.0,0.0,0.0,0.0,-210.0,0.0,-210.0,0.0,-137.0,-393.0,-285.0,-76.0,0.0,0.0,0.0,-76.0,-166.0,96.0,-262.0,0.0,134.0,28.0,-954.0,91.0,43.0,
06/30/2012,967.0,554.0,72.0,190.0,27.0,-32.0,121.0,74.0,151.0,-12.0,163.0,0.0,-60.0,-57.0,0.0,-57.0,34.0,133.0,-99.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,0.0,-35.0,158.0,-260.0,1397.0,0.0,0.0,1495.0,-98.0,-1023.0,20.0,-1043.0,0.0,44.0,-22.0,1043.0,465.0,84.0,
09/30/2012,1021.0,642.0,74.0,-76.0,-20.0,-75.0,109.0,-90.0,381.0,-9.0,390.0,0.0,-4.0,-23.0,0.0,-23.0,59.0,182.0,-123.0,0.0,0.0,0.0,0.0,-55.0,0.0,-55.0,0.0,15.0,-426.0,-259.0,-29.0,0.0,0.0,0.0,-29.0,-160.0,10.0,-170.0,0.0,22.0,37.0,628.0,281.0,41.0,
12/31/2012,354.0,690.0,76.0,30.0,12.0,-19.0,107.0,-70.0,-442.0,-467.0,25.0,0.0,285.0,-29.0,0.0,-29.0,299.0,304.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,-283.0,-256.0,34.0,0.0,0.0,331.0,-297.0,-168.0,2.0,-170.0,0.0,107.0,27.0,383.0,139.0,108.0,
03/31/2013,190.0,632.0,72.0,223.0,-10.0,93.0,127.0,13.0,-737.0,51.0,-788.0,0.0,31.0,-18.0,0.0,-18.0,27.0,117.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,-805.0,-309.0,-180.0,-100.0,0.0,0.0,-80.0,-423.0,38.0,-461.0,0.0,107.0,-80.0,-664.0,78.0,53.0,
06/30/2013,1140.0,729.0,72.0,35.0,13.0,-56.0,104.0,-26.0,304.0,-121.0,425.0,0.0,-21.0,-28.0,0.0,-28.0,-6.0,86.0,-92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,-1388.0,-286.0,-931.0,0.0,0.0,0.0,-931.0,-239.0,15.0,-254.0,0.0,68.0,-5.0,-274.0,414.0,108.0,
09/30/2013,1146.0,730.0,71.0,41.0,18.0,-81.0,109.0,-5.0,304.0,-135.0,439.0,0.0,-285.0,-14.0,0.0,-14.0,16.0,22.0,-6.0,0.0,0.0,0.0,0.0,-240.0,0.0,-240.0,0.0,-47.0,-619.0,-287.0,-82.0,0.0,0.0,0.0,-82.0,-262.0,7.0,-269.0,0.0,12.0,77.0,319.0,254.0,46.0,
12/31/2013,1166.0,841.0,76.0,-169.0,-144.0,-149.0,108.0,16.0,418.0,-13.0,431.0,0.0,-208.0,-34.0,0.0,-34.0,-163.0,61.0,-224.0,0.0,0.0,0.0,0.0,-58.0,0.0,-58.0,0.0,47.0,-580.0,-286.0,-67.0,0.0,0.0,0.0,-67.0,-243.0,16.0,-259.0,0.0,16.0,25.0,403.0,318.0,97.0,
03/31/2014,-206.0,756.0,73.0,278.0,15.0,165.0,127.0,-29.0,-1313.0,-95.0,-1218.0,0.0,133.0,-15.0,0.0,-15.0,143.0,266.0,-123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,64.0,-366.0,877.0,0.0,0.0,997.0,-120.0,-473.0,102.0,-575.0,0.0,26.0,13.0,4.0,178.0,50.0,
06/30/2014,532.0,808.0,145.0,965.0,-109.0,102.0,236.0,736.0,-1386.0,-102.0,-1284.0,0.0,94.0,-34.0,0.0,-34.0,98.0,337.0,-239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,67.0,-692.0,1341.0,0.0,0.0,1341.0,0.0,-739.0,93.0,-832.0,0.0,157.0,44.0,737.0,696.0,148.0,
09/30/2014,1284.0,917.0,70.0,-57.0,18.0,-133.0,100.0,-42.0,354.0,-87.0,441.0,0.0,163.0,-6.0,0.0,-6.0,102.0,167.0,-65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,-336.0,-324.0,192.0,0.0,0.0,192.0,0.0,-253.0,3.0,-256.0,0.0,49.0,-89.0,1022.0,296.0,104.0,
12/31/2014,1271.0,813.0,63.0,67.0,31.0,-73.0,117.0,-8.0,328.0,-227.0,555.0,0.0,-18.0,-26.0,0.0,-26.0,85.0,150.0,-65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.0,-1592.0,-322.0,-1024.0,,,,,-242.0,14.0,-256.0,0.0,-4.0,-87.0,-426.0,235.0,106.0,
03/31/2015,-509.0,822.0,63.0,201.0,19.0,87.0,143.0,-48.0,-1595.0,-334.0,-1261.0,0.0,-128.0,-98.0,0.0,-98.0,52.0,143.0,-91.0,0.0,0.0,0.0,0.0,-88.0,0.0,-88.0,0.0,6.0,-716.0,-389.0,0.0,0.0,0.0,0.0,0.0,-443.0,55.0,-498.0,0.0,116.0,-93.0,-1446.0,133.0,40.0,
06/30/2015,1005.0,819.0,65.0,43.0,-13.0,-87.0,126.0,17.0,78.0,-91.0,169.0,0.0,23.0,-36.0,0.0,-36.0,100.0,171.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.0,-475.0,-364.0,37.0,0.0,0.0,787.0,-750.0,-267.0,12.0,-279.0,0.0,119.0,77.0,630.0,575.0,59.0,
09/30/2015,1351.0,843.0,68.0,59.0,4.0,-73.0,128.0,0.0,381.0,23.0,358.0,0.0,-37.0,-26.0,0.0,-26.0,-20.0,147.0,-167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-509.0,-362.0,0.0,0.0,0.0,0.0,0.0,-178.0,98.0,-276.0,0.0,31.0,-39.0,766.0,305.0,40.0,
12/31/2015,1157.0,861.0,99.0,-13.0,-8.0,-83.0,117.0,-39.0,210.0,-182.0,392.0,0.0,-323.0,-61.0,0.0,-61.0,-6.0,,,0.0,0.0,0.0,0.0,-185.0,0.0,-185.0,0.0,-71.0,-364.0,-361.0,0.0,0.0,0.0,0.0,0.0,-212.0,66.0,-278.0,0.0,209.0,-60.0,410.0,263.0,55.0,
03/31/2016,-565.0,657.0,56.0,280.0,3.0,98.0,172.0,7.0,-1558.0,-85.0,-1473.0,0.0,46.0,-30.0,0.0,-30.0,78.0,133.0,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-547.0,-419.0,0.0,0.0,0.0,0.0,0.0,-492.0,70.0,-562.0,0.0,364.0,-36.0,-1102.0,107.0,40.0,
06/30/2016,467.0,789.0,58.0,56.0,-2.0,-43.0,117.0,-16.0,-436.0,-137.0,-299.0,0.0,-20.0,-37.0,0.0,-37.0,50.0,64.0,-14.0,0.0,0.0,0.0,0.0,-30.0,0.0,-30.0,0.0,-3.0,-263.0,-376.0,0.0,0.0,0.0,0.0,0.0,-277.0,2.0,-279.0,0.0,390.0,-100.0,84.0,532.0,64.0,
09/30/2016,1060.0,875.0,57.0,36.0,-1.0,-61.0,119.0,-21.0,92.0,-56.0,148.0,0.0,-269.0,-21.0,0.0,-21.0,-205.0,18.0,-223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.0,-370.0,-376.0,0.0,0.0,0.0,0.0,0.0,-242.0,35.0,-277.0,0.0,248.0,-32.0,389.0,271.0,40.0,
12/31/2016,1192.0,851.0,58.0,85.0,0.0,-8.0,113.0,-20.0,198.0,-171.0,369.0,0.0,55.0,-31.0,0.0,-31.0,78.0,163.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-505.0,-374.0,0.0,0.0,0.0,0.0,0.0,-280.0,1.0,-281.0,0.0,149.0,-105.0,637.0,455.0,54.0,
03/31/2017,-164.0,859.0,63.0,342.0,0.0,198.0,162.0,-18.0,-1428.0,-188.0,-1240.0,0.0,-49.0,-19.0,0.0,-19.0,-40.0,21.0,-61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-180.0,-447.0,697.0,0.0,0.0,697.0,0.0,-562.0,0.0,-562.0,0.0,132.0,32.0,-361.0,82.0,40.0,
06/30/2017,1344.0,854.0,62.0,91.0,0.0,-27.0,128.0,-10.0,337.0,60.0,277.0,0.0,-333.0,-36.0,0.0,-36.0,-204.0,43.0,-247.0,0.0,0.0,0.0,0.0,-73.0,0.0,-73.0,0.0,-20.0,-1283.0,-407.0,-700.0,0.0,0.0,0.0,-700.0,-284.0,0.0,-284.0,0.0,108.0,70.0,-202.0,544.0,82.0,
09/30/2017,2540.0,944.0,190.0,2263.0,,170.0,417.0,1676.0,-857.0,-145.0,-712.0,0.0,-511.0,-100.0,0.0,-100.0,-279.0,121.0,-400.0,0.0,0.0,0.0,0.0,-102.0,0.0,-102.0,0.0,-30.0,-2083.0,-1259.0,-3.0,0.0,0.0,697.0,-700.0,-1133.0,0.0,-1133.0,0.0,312.0,161.0,107.0,916.0,150.0,
12/31/2017,1410.0,2295.0,50.0,-1271.0,,-1391.0,125.0,-5.0,336.0,-77.0,413.0,0.0,-97.0,-55.0,0.0,-55.0,-44.0,45.0,-89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-547.0,-403.0,0.0,0.0,0.0,0.0,0.0,-288.0,0.0,-288.0,0.0,144.0,31.0,797.0,208.0,55.0,
03/31/2018,-141.0,1089.0,53.0,167.0,0.0,10.0,175.0,-18.0,-1450.0,-21.0,-1429.0,0.0,-53.0,-33.0,0.0,-33.0,28.0,122.0,-94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.0,-874.0,-505.0,0.0,0.0,0.0,0.0,0.0,-719.0,0.0,-719.0,0.0,350.0,115.0,-953.0,74.0,29.0,
06/30/2018,1287.0,1073.0,107.0,1363.0,,2.0,310.0,1051.0,-1256.0,36.0,-1292.0,0.0,-142.0,-63.0,0.0,-63.0,-39.0,161.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,-1473.0,-969.0,0.0,0.0,0.0,0.0,0.0,-1040.0,0.0,-1040.0,0.0,536.0,-27.0,-355.0,589.0,94.0,
09/30/2018,1265.0,1216.0,57.0,-152.0,,-189.0,121.0,-84.0,144.0,125.0,19.0,0.0,-558.0,-45.0,0.0,-45.0,180.0,239.0,-59.0,0.0,0.0,0.0,0.0,-699.0,0.0,-699.0,0.0,6.0,-820.0,-502.0,0.0,0.0,0.0,0.0,0.0,-515.0,0.0,-515.0,0.0,197.0,-31.0,-144.0,176.0,29.0,
12/31/2018,523.0,927.0,56.0,164.0,,-39.0,133.0,70.0,-624.0,-193.0,-431.0,0.0,-108.0,-96.0,0.0,-96.0,-19.0,49.0,-68.0,,,,,0.0,0.0,0.0,0.0,7.0,-472.0,-497.0,40.0,0.0,0.0,40.0,0.0,-532.0,0.0,-532.0,0.0,517.0,-35.0,-92.0,394.0,54.0,
