Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2013,1278.0,1278.0,-1045.0,1045.0,233.0,0.0,-129.0,,135.0,20.0,-26.0,104.0,-25.0,25.0,,,0.0,79.0,3.0,,82.0,0.0,0.0,0.0,82.0,0.0,82.0,0.0,0.0,82.0,61.85,-20.15,117.6,0.7,0.7,0.525935,118.5,0.69,0.69,0.519958,
03/31/2014,1278.0,1278.0,-1044.0,1044.0,234.0,0.0,-126.0,132.0,132.0,19.0,-25.0,108.0,-27.0,27.0,,,0.0,81.0,39.0,,120.0,0.0,0.0,0.0,120.0,,120.0,0.0,0.0,120.0,99.85,-20.15,117.8,1.02,1.02,0.847623,118.7,1.01,1.01,0.840244,
06/30/2014,1355.0,1355.0,-1107.0,1107.0,248.0,0.0,-175.0,130.0,130.0,20.0,25.0,73.0,-31.0,31.0,,,0.0,42.0,-21.0,1.0,22.0,0.0,0.0,0.0,22.0,-1.0,21.0,0.0,0.0,21.0,35.95,14.95,117.4,0.18,0.18,0.306218,118.3,0.18,0.18,0.306218,
09/30/2014,1382.0,1382.0,-1131.0,1131.0,251.0,0.0,-144.0,110.0,110.0,18.0,16.0,107.0,-28.0,28.0,,,0.0,79.0,-27.0,,52.0,0.0,0.0,0.0,52.0,,52.0,0.0,0.0,52.0,68.25,16.25,117.4,0.44,0.44,0.581346,118.1,0.44,0.44,0.577595,
12/31/2014,1257.0,1257.0,-1014.0,1014.0,243.0,0.0,-139.0,,115.0,19.0,5.0,104.0,-74.0,28.0,,,46.0,30.0,4.0,0.0,34.0,0.0,0.0,0.0,34.0,-1.0,33.0,0.0,0.0,33.0,84.9,51.9,117.5,0.28,0.28,0.722553,118.1,0.28,0.28,0.719458,
03/31/2015,1207.0,1207.0,-998.0,998.0,209.0,0.0,-151.0,129.0,129.0,17.0,5.0,58.0,-26.0,26.0,,,0.0,32.0,-13.0,,19.0,0.0,0.0,0.0,19.0,-1.0,18.0,0.0,0.0,18.0,22.0,4.0,117.8,0.15,0.15,0.186757,118.5,0.15,0.15,0.183755,
06/30/2015,1414.0,1414.0,-1106.0,1106.0,308.0,0.0,-152.0,130.0,130.0,18.0,4.0,156.0,-21.0,26.0,,,-5.0,135.0,-44.0,1.0,92.0,0.0,0.0,0.0,92.0,-1.0,91.0,0.0,0.0,91.0,89.75,-1.25,117.5,0.77,0.77,0.76383,118.3,0.77,0.77,0.759434,
09/30/2015,1447.0,1447.0,-1107.0,1107.0,340.0,0.0,-144.0,130.0,130.0,18.0,-4.0,196.0,-28.0,28.0,,,0.0,168.0,-55.0,0.0,113.0,0.0,0.0,0.0,113.0,-1.0,112.0,0.0,0.0,112.0,113.3,1.3,117.2,0.96,0.96,0.966724,118.3,0.95,0.95,0.960989,
12/31/2015,1297.0,1297.0,-1001.0,1001.0,296.0,0.0,-158.0,,136.0,20.0,2.0,138.0,-20.0,20.0,,,0.0,118.0,-8.0,0.0,110.0,0.0,0.0,0.0,110.0,-1.0,109.0,0.0,0.0,109.0,79.0,-30.0,116.2,0.94,0.94,0.679862,117.3,0.92,0.92,0.664246,
03/31/2016,1231.0,1231.0,-959.0,959.0,272.0,0.0,-156.0,134.0,134.0,19.0,3.0,116.0,-23.0,23.0,,,0.0,93.0,-34.0,,59.0,0.0,0.0,0.0,59.0,-2.0,57.0,0.0,0.0,57.0,62.0,5.0,115.5,0.49,0.49,0.536797,116.5,0.49,0.49,0.532918,
06/30/2016,1545.0,1545.0,-1129.0,1129.0,416.0,0.0,-176.0,151.0,151.0,21.0,4.0,240.0,-29.0,29.0,,,0.0,211.0,-73.0,1.0,139.0,0.0,0.0,0.0,139.0,-1.0,138.0,0.0,0.0,138.0,146.45,8.45,115.1,1.2,1.2,1.272372,116.4,1.19,1.19,1.262595,
09/30/2016,1518.0,1518.0,-1144.0,1144.0,374.0,0.0,-167.0,141.0,141.0,20.0,6.0,207.0,-29.0,28.0,,,1.0,178.0,-65.0,0.0,113.0,0.0,0.0,0.0,113.0,-1.0,112.0,0.0,0.0,112.0,119.8,7.8,114.1,0.98,0.98,1.049956,115.4,0.97,0.97,1.037591,
12/31/2016,1383.0,1383.0,-1068.0,1068.0,315.0,0.0,-181.0,,158.0,22.0,1.0,134.0,-26.0,28.0,,,-2.0,108.0,-16.0,-4.0,88.0,0.0,0.0,0.0,88.0,-2.0,86.0,0.0,0.0,86.0,95.95,9.95,112.9,0.761736,0.761736,0.849867,113.3,0.759047,0.759047,0.846867,
03/31/2017,1478.0,1478.0,-1136.0,1136.0,342.0,0.0,-174.0,142.0,142.0,21.0,11.0,168.0,-24.0,26.0,,,-2.0,144.0,-43.0,,101.0,0.0,0.0,0.0,101.0,0.0,101.0,0.0,0.0,101.0,97.0,-4.0,112.3,0.9,0.9,0.863758,113.5,0.89,0.89,0.854758,
06/30/2017,1597.0,1597.0,-1189.0,1189.0,408.0,0.0,-189.0,,155.0,21.0,13.0,219.0,-56.0,27.0,,,29.0,163.0,-67.0,0.0,96.0,0.0,0.0,0.0,96.0,0.0,96.0,0.0,0.0,96.0,135.0,39.0,111.6,0.86,0.86,1.209677,113.1,0.85,0.85,1.194828,
09/30/2017,1703.0,1703.0,-1280.0,1280.0,423.0,0.0,-200.0,,159.0,22.0,19.0,223.0,-95.0,28.0,,,67.0,128.0,-32.0,0.0,96.0,0.0,0.0,0.0,96.0,0.0,96.0,0.0,0.0,96.0,112.0,16.0,111.0,0.86,0.86,1.009009,112.7,0.85,0.85,0.99197,
12/31/2017,1606.0,1606.0,-1210.0,1210.0,396.0,0.0,-209.0,163.0,163.0,21.0,25.0,187.0,-63.0,26.0,,,37.0,124.0,-127.0,0.0,-3.0,0.0,0.0,0.0,-3.0,-1.0,-4.0,0.0,0.0,-4.0,137.0,141.0,111.2,-0.04,-0.04,1.232014,112.9,-0.04,-0.04,1.208893,
03/31/2018,1691.0,1691.0,-1336.0,1336.0,355.0,0.0,-228.0,,185.0,23.0,20.0,127.0,-24.0,28.0,,,-4.0,103.0,-11.0,,92.0,0.0,0.0,0.0,92.0,0.0,92.0,0.0,0.0,92.0,90.0,-2.0,111.5,0.83,0.83,0.807175,112.8,0.82,0.82,0.80227,
06/30/2018,1824.0,1824.0,-1406.0,1406.0,418.0,0.0,-215.0,,187.0,22.0,6.0,203.0,-30.0,33.0,,,-3.0,173.0,-49.0,-2.0,122.0,0.0,0.0,0.0,122.0,-1.0,121.0,0.0,0.0,121.0,131.0,10.0,110.9,1.09,1.09,1.181244,111.9,1.08,1.08,1.169366,
09/30/2018,1818.0,1818.0,-1370.0,1370.0,448.0,0.0,-193.0,,159.0,21.0,13.0,255.0,-27.0,31.0,,,-4.0,228.0,-67.0,-1.0,160.0,0.0,0.0,0.0,160.0,1.0,161.0,0.0,0.0,161.0,171.0,10.0,110.0,1.46,1.46,1.554545,110.9,1.45,1.45,1.540171,
12/31/2018,1724.0,1724.0,-1313.0,1313.0,411.0,0.0,-189.0,,169.0,23.0,-3.0,222.0,-22.0,25.0,,,-3.0,200.0,-29.0,0.0,171.0,0.0,0.0,0.0,171.0,0.0,171.0,0.0,0.0,171.0,194.0,23.0,109.4,1.56,1.56,1.773309,110.3,1.55,1.55,1.758522,
03/31/2019,1667.0,1667.0,-1342.0,1342.0,325.0,0.0,-209.0,,182.0,22.0,5.0,116.0,-34.0,36.0,,,-2.0,82.0,-39.0,1.0,44.0,0.0,0.0,0.0,44.0,0.0,44.0,0.0,0.0,44.0,60.0,16.0,109.5,0.4,0.4,0.547945,110.1,0.4,0.4,0.545322,
06/30/2019,1918.0,1918.0,-1478.0,1478.0,440.0,0.0,-213.0,,181.0,22.0,10.0,227.0,-29.0,32.0,,,-3.0,198.0,-59.0,-1.0,138.0,0.0,0.0,0.0,138.0,0.0,138.0,0.0,0.0,138.0,143.79,5.79,109.0,1.27,1.27,1.319174,109.5,1.26,1.26,1.312877,
09/30/2019,1883.0,1883.0,-1422.0,1422.0,461.0,0.0,-186.0,,164.0,21.0,1.0,275.0,-63.0,33.0,,,30.0,212.0,-61.0,0.0,151.0,0.0,0.0,0.0,151.0,-1.0,150.0,0.0,0.0,150.0,179.0,29.0,109.2,1.37,1.37,1.639194,110.0,1.36,1.36,1.623636,
12/31/2019,1692.0,1692.0,-1309.0,1309.0,383.0,0.0,-214.0,,171.0,22.0,21.0,169.0,-71.0,30.0,,,41.0,98.0,-27.0,1.0,72.0,0.0,0.0,0.0,72.0,1.0,73.0,0.0,0.0,73.0,125.0,52.0,109.3,0.67,0.67,1.143641,110.2,0.66,0.66,1.131869,
03/31/2020,1601.0,1601.0,-1295.0,1295.0,306.0,0.0,-1176.0,,179.0,21.0,976.0,-870.0,-23.0,27.0,,,-4.0,-893.0,-24.0,1.0,-916.0,0.0,0.0,0.0,-916.0,-1.0,-917.0,0.0,0.0,-917.0,65.0,982.0,108.8,-8.43,-8.43,0.597426,108.8,-8.43,-8.43,0.595735,
06/30/2020,1625.0,1625.0,-1282.0,1282.0,343.0,0.0,-175.0,,151.0,18.0,6.0,168.0,-33.0,36.0,,,-3.0,135.0,-39.0,-1.0,95.0,0.0,0.0,0.0,95.0,1.0,96.0,0.0,0.0,96.0,94.84,-1.16,108.6,0.88,0.88,0.873297,108.9,0.88,0.88,0.869348,
09/30/2020,1791.647,,,,411.97131118,,,,,,,217.364,,,,,,188.182,,,130.9,,,,,,130.9,,,130.9,136.071,,,1.203,1.203,1.233,,1.203,1.203,1.233,
12/31/2020,1669.706,,,,380.65957388,,,,,,,192.636,,,,,,161.545,,,116.18,,,,,,116.18,,,116.18,118.529,,,1.078,1.078,1.075,,1.078,1.078,1.075,
