Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1999,4494,42,42,0.0,657,,,403,110.0,84.0,209.0,0.0,114,,,,1216,1055,1936.0,-881.0,30,,,2193,505.0,,,1688,3278,,365,365,,,,237,,,,,,286,,,,286,888,796,,,,,259,,,259,1055,1943,0.0,2723,,,-241.0,-168.0,-174,2140,411,2551,4494,
12/31/1999,2943,84,84,0.0,557,,,412,111.0,86.0,215.0,0.0,148,,,,1201,1037,1923.0,-886.0,20,,,685,495.0,485.0,10.0,190,1742,,348,348,,,,56,,,,,,259,,,,259,663,1578,,,,,264,,,264,1842,2505,0.0,2721,,,-240.0,,-2059,422,16,438,2943,
03/31/2000,2961,53,53,0.0,613,,,415,107.0,89.0,219.0,0.0,170,,,,1251,1013,1914.0,-901.0,22,,,675,486.0,,,189,1710,,383,383,,,,77,,,,,,254,,,,254,714,1571,,,,,266,,,266,1837,2551,0.0,2721,,,-240.0,,-2088,393,17,410,2961,
06/30/2000,2988,51,51,,640,,,391,112.0,82.0,197.0,0.0,202,,,,1284,1004,1877.0,-873.0,23,,,677,479.0,,,198,1704,,426,426,,,,43,,,,,,256,,,,256,725,1570,,,,,274,,,274,1844,2569,,2730,,,-240.0,-1868.0,-221,401,18,419,2988,
09/30/2000,2912,68,68,0.0,554,,,395,123.0,85.0,187.0,0.0,190,,,,1207,984,1849.0,-865.0,23,,,698,467.0,,,231,1705,,436,436,,,,35,,,,,,269,,,,269,740,1505,,,,,289,,,289,1794,2534,0.0,2734,,,-240.0,-1864.0,-267,363,15,378,2912,
12/31/2000,2886,35,35,0.0,457,,,422,142.0,83.0,197.0,0.0,195,,,,1109,1005,1852.0,-847.0,24,,,748,463.0,458.0,5.0,285,1777,,464,464,,,,92,,,,,,253,,,,253,809,1435,,,,,298,,,298,1733,2542,0.0,2738,,,-240.0,,-2168,330,14,344,2886,
03/31/2001,2869,56,56,0.0,475,,,409,123.0,89.0,197.0,0.0,187,,,,1127,964,1802.0,-838.0,28,,,750,451.0,,,299,1742,,465,465,,,,188,,,,,,251,,,,251,904,1409,,,,,294,,,294,1703,2607,0.0,2740,,,-240.0,,-2253,247,15,262,2869,
06/30/2001,2845,70,70,,494,,,369,71.0,84.0,175.0,39.0,203,,,,1136,941,1797.0,-856.0,25,,,743,447.0,,,296,1709,,462,462,,,,208,,,,,,258,,,,258,928,1382,,,,,291,,,291,1673,2601,,2743,,,-240.0,-1958.0,-315,230,14,244,2845,
09/30/2001,2799,92,92,0.0,439,,,354,103.0,88.0,163.0,0.0,190,,,,1075,949,1818.0,-869.0,27,,,748,443.0,,,305,1724,,464,464,,,,142,,,,,,280,,,,280,886,1359,,,,,297,,,297,1656,2542,0.0,2745,,,-240.0,-1960.0,-303,242,15,257,2799,
12/31/2001,2681,53,53,0.0,395,,,326,108.0,69.0,149.0,0.0,167,,,,941,967,1835.0,-868.0,40,,,733,441.0,,,292,1740,,401,401,,,,191,,,,,,284,,,,284,876,1324,,,,,392,,,392,1716,2592,0.0,2748,,,-240.0,,-2434,74,15,89,2681,
03/31/2002,2719,56,56,0.0,442,,,324,68.0,70.0,150.0,0.0,176,,,,998,951,1838.0,-887.0,36,,,734,426.0,,,308,1721,,454,454,,,,208,,,,,,310,,,,310,972,1299,,,,,390,,,390,1689,2661,0.0,2748,,,-240.0,-2061.0,-405,42,16,58,2719,
06/30/2002,2765,52,52,0.0,457,,,333,107.0,74.0,152.0,0.0,182,,,,1024,982,1915.0,-933.0,12,,,747,429.0,411.0,18.0,318,1741,,500,500,,,,160,,,,,,315,,,,315,975,1261,,,,,403,,,403,1664,2639,0.0,2749,,,-240.0,-2042.0,-357,110,16,126,2765,
09/30/2002,2740,46,46,0.0,428,,,327,72.0,76.0,179.0,0.0,197,,,,998,968,1912.0,-944.0,14,,,760,428.0,410.0,18.0,332,1742,,499,499,,,,168,,,,,,303,,,,303,970,1239,,,,,408,,,408,1647,2617,0.0,2749,,,-240.0,-2037.0,-366,106,17,123,2740,
12/31/2002,2504,54,54,0.0,409,,,352,114.0,74.0,164.0,0.0,151,,,,966,1026,2011.0,-985.0,14,,,498,205.0,185.0,20.0,293,1538,,505,505,,,,228,,,,,,283,,,,283,1016,1217,,,,,346,,,346,1563,2579,0.0,2749,,,-240.0,,-2603,-94,19,-75,2504,
03/31/2003,2582,58,58,0.0,451,,,373,122.0,76.0,175.0,0.0,177,,,,1059,1038,2064.0,-1026.0,16,,,469,208.0,187.0,21.0,261,1523,,592,592,,,,250,,,,,,267,,,,267,1109,1193,,,,,328,,,328,1521,2630,0.0,2419,,,-240.0,0.0,-2245,-66,18,-48,2582,
06/30/2003,2673,58,58,0.0,522,,,355,120.0,76.0,159.0,0.0,162,,,,1097,1069,2161.0,-1092.0,19,,,488,211.0,191.0,20.0,277,1576,,567,567,,,,111,,,,,,247,,,,247,925,1386,,,,,336,,,336,1722,2647,0.0,2751,,,-240.0,0.0,-2505,6,20,26,2673,
09/30/2003,2649,63,63,0.0,483,,,338,80.0,76.0,182.0,0.0,160,,,,1044,1067,2186.0,-1119.0,20,,,518,211.0,191.0,20.0,307,1605,,569,569,,,,18,,,,,,299,,,,299,886,1386,,,,,339,,,339,1725,2611,0.0,2752,,,-240.0,0.0,-2495,17,21,38,2649,
12/31/2003,2795,145,145,0.0,427,,,343,121.0,73.0,149.0,0.0,182,,,,1097,1111,2303.0,-1192.0,21,,,558,218.0,193.0,25.0,340,1690,,621,621,,,,20,,,,,,252,,,,252,893,1410,,,,,411,,,411,1821,2714,0.0,2751,,,-240.0,-2212.0,-241,58,23,81,2795,
03/31/2004,2912,149,149,0.0,498,,,367,118.0,86.0,163.0,0.0,217,,,,1231,1079,2285.0,-1206.0,21,,,581,219.0,194.0,25.0,362,1681,,692,692,,,,18,,,,,,298,,,,298,1008,1408,,,,,422,,,422,1830,2838,0.0,2754,,,-240.0,0.0,-2461,53,21,74,2912,
06/30/2004,2923,166,166,0.0,530,,,352,116.0,83.0,153.0,0.0,222,,,,1270,1059,2278.0,-1219.0,22,,,572,216.0,192.0,24.0,356,1653,,669,669,,,,20,,,,,,308,,,,308,997,1399,,,,,431,,,431,1830,2827,0.0,2757,,,-240.0,0.0,-2444,73,23,96,2923,
09/30/2004,2996,203,203,0.0,495,,,363,123.0,88.0,152.0,0.0,214,,,,1275,1070,2342.0,-1272.0,21,,,630,218.0,193.0,25.0,412,1721,,667,667,,,,20,,,,,,301,,,,301,988,1403,,,,,480,,,480,1883,2871,0.0,2519,,,-240.0,0.0,-2178,101,24,125,2996,
12/31/2004,3110,214,214,0.0,458,458.0,,382,144.0,85.0,153.0,0.0,224,,,,1278,1134,2451.0,-1317.0,24,,,674,220.0,196.0,24.0,454,1832,,696,696,,,,19,,,,,,332,,,,332,1047,1401,,,,,488,,,488,1889,2936,0.0,2764,,,-240.0,-2189.0,-185,150,24,174,3110,
03/31/2005,3061,68,68,0.0,528,528.0,,435,148.0,104.0,183.0,0.0,241,,,,1272,1095,2418.0,-1323.0,21,,,673,219.0,196.0,23.0,454,1789,,707,707,,,,48,,,,,,307,,,,307,1062,1360,,,,,479,,,479,1839,2901,0.0,2768,,,-240.0,-2173.0,-220,135,25,160,3061,
06/30/2005,3067,66,66,0.0,631,,,404,135.0,97.0,172.0,0.0,234,,,,1335,1050,2369.0,-1319.0,21,,,661,218.0,195.0,23.0,443,1732,,726,726,,,,49,,,,,,322,,,,322,1097,1363,,,,,456,,,456,1819,2916,0.0,2771,,,-240.0,-2142.0,-260,129,22,151,3067,
09/30/2005,3050,89,89,0.0,648,648.0,,395,138.0,94.0,163.0,,206,,,,1338,1051,2413.0,-1362.0,22,,,639,218.0,195.0,23.0,421,1712,,716,716,,,,71,,,,,,326,,,,326,1113,1358,,,,,406,,,406,1764,2877,0.0,2774,,,-240.0,-2132.0,-252,150,23,173,3050,
12/31/2005,2940,141,141,0.0,515,515.0,,360,125.0,81.0,154.0,0.0,181,,,,1197,1043,2428.0,-1385.0,23,,,677,230.0,200.0,30.0,447,1743,,651,651,,,,22,19.0,3.0,3.0,,,306,,,,306,979,1356,1346.0,10.0,10.0,,452,,,452,1808,2787,0.0,2776,,,-240.0,-2125.0,-282,129,24,153,2940,
03/31/2006,3032,96,96,0.0,608,,,392,140.0,80.0,172.0,0.0,181,,,,1277,1052,2479.0,-1427.0,24,,,679,232.0,200.0,32.0,447,1755,,729,729,,,,32,30.0,2.0,2.0,,,288,,,,288,1049,1352,1342.0,10.0,10.0,,448,,,448,1800,2849,0.0,2781,,,-240.0,-2119.0,-265,157,26,183,3032,
06/30/2006,3165,123,123,0.0,636,636.0,,414,150.0,80.0,184.0,0.0,201,,,,1374,1084,2562.0,-1478.0,24,,,683,233.0,201.0,32.0,450,1791,,769,769,,,,20,,,,,,324,,,,324,1113,1349,,,,,458,,,458,1807,2920,0.0,2784,,,-240.0,-2095.0,-230,219,26,245,3165,
09/30/2006,3153,116,116,0.0,619,,,419,148.0,88.0,183.0,0.0,207,,,,1361,1080,2577.0,-1497.0,27,,,685,233.0,201.0,32.0,452,1792,,730,730,,,,51,,,,,,324,,,,324,1105,1352,,,,,448,,,448,1800,2905,0.0,2785,,,-240.0,-2090.0,-235,220,28,248,3153,
12/31/2006,3274,202,202,0.0,578,,,441,158.0,90.0,193.0,0.0,194,,,,1415,1093,2643.0,-1550.0,26,,,740,211.0,203.0,8.0,529,1859,,781,781,,,,28,,,,,,310,,,,310,1119,1357,,,,,544,,,544,1901,3020,0.0,2790,,,-240.0,-2072.0,-252,226,28,254,3274,
03/31/2007,3489,136,136,0.0,777,,,516,141.0,172.0,203.0,0.0,209,,,,1638,1096,2688.0,-1592.0,25,,,730,213.0,204.0,9.0,517,1851,,950,950,,,,29,,,,,,315,,,,315,1294,1424,,,,,497,,,497,1921,3215,0.0,2791,,,-240.0,-2079.0,-227,245,29,274,3489,
06/30/2007,3709,168,168,0.0,908,,,523,144.0,168.0,211.0,0.0,220,,,,1819,1104,2767.0,-1663.0,24,,,762,214.0,206.0,8.0,548,1890,,1049,1049,,,,31,,,,,,318,,,,318,1398,1419,,,,,534,,,534,1953,3351,0.0,2795,,,-240.0,-2032.0,-197,326,32,358,3709,
09/30/2007,3822,203,203,0.0,880,,,580,159.0,205.0,216.0,0.0,231,,,,1894,1144,2902.0,-1758.0,22,,,762,233.0,207.0,26.0,529,1928,,1025,1025,,,,33,,,,,,328,,,,328,1386,1503,,,,,487,,,487,1990,3376,0.0,2798,,,-240.0,-2011.0,-134,413,33,446,3822,
12/31/2007,3590,188,188,0.0,732,,,539,152.0,175.0,212.0,0.0,182,,,,1641,1185,2978.0,-1793.0,19,,,745,234.0,208.0,26.0,511,1949,,987,987,,,,46,,,,,,325,,,,325,1358,1328,,,,,473,,,473,1801,3159,0.0,2800,,,,-2087.0,-313,400,31,431,3590,
03/31/2008,3773,161,161,,834,0.0,,602,122.0,196.0,240.0,44.0,203,,,,1800,1232,3116.0,-1884.0,18,,,723,237.0,209.0,28.0,486,1973,,1039,1039,,,,44,,,,,,330,,,,330,1413,1419,,,,,443,,,443,1862,3275,0.0,2803,,,-240.0,-2080.0,-19,464,34,498,3773,
06/30/2008,3892,164,164,,907,,,621,128.0,198.0,247.0,48.0,231,,,,1923,1244,3181.0,-1937.0,13,,,712,236.0,209.0,27.0,476,1969,,1074,1074,,,,46,,,,,,355,,,,355,1475,1446,,,,,448,,,448,1894,3369,0.0,2805,,,-240.0,-2068.0,-7,490,33,523,3892,
09/30/2008,3562,127,127,0.0,795,,,599,180.0,188.0,231.0,0.0,244,,,,1765,1184,3053.0,-1869.0,14,,,599,239.0,213.0,26.0,360,1797,,1012,1012,,,,54,,,,,,327,,,,327,1393,1470,,,,,442,,,442,1912,3305,0.0,2807,,,-240.0,-2204.0,-141,222,35,257,3562,
12/31/2008,2828,126,126,0.0,529,,,513,159.0,143.0,211.0,0.0,170,,,,1338,1145,2960.0,-1815.0,11,,,334,121.0,95.0,26.0,213,1490,,790,790,,,,49,,,,,,318,,,,318,1157,1402,,,,,489,,,489,1891,3048,0.0,2809,,,-240.0,-2502.0,-318,-251,31,-220,2828,
03/31/2009,2742,113,113,0.0,587,,,465,100.0,124.0,199.0,42.0,148,,87.0,127.0,1313,1092,2896.0,-1804.0,10,,10.0,327,117.0,91.0,26.0,123,1429,,929,663,29.0,32.0,205.0,61,0.0,,,,61.0,51,,,51.0,51,1041,1526,1526.0,,,,479,,368.0,60,2005,3046,0.0,2812,,2812.0,-240.0,-2551.0,-358,-337,33,-304,2742,
06/30/2009,2767,111,111,0.0,581,,,452,96.0,124.0,189.0,43.0,194,,61.0,170.0,1338,1117,3040.0,-1923.0,9,,9.0,303,120.0,95.0,25.0,122,1429,,992,701,47.0,23.0,221.0,65,0.0,,,,65.0,41,,,33.0,41,1098,1455,1455.0,,,,477,,373.0,71,1932,3030,0.0,2813,,2813.0,-240.0,-2584.0,-279,-290,27,-263,2767,
09/30/2009,2939,137,137,0.0,669,,,456,104.0,136.0,173.0,43.0,223,,85.0,195.0,1485,1126,3153.0,-2027.0,8,,8.0,320,119.0,89.0,30.0,116,1454,,1133,822,47.0,31.0,233.0,73,0.0,,,,73.0,46,,,62.0,46,1252,1395,1395.0,,,,505,,366.0,77,1900,3152,0.0,2816,,2816.0,-240.0,-2592.0,-228,-244,31,-213,2939,
12/31/2009,2841,167,167,0.0,572,,,428,95.0,116.0,175.0,42.0,226,0.0,100.0,191.0,1393,1110,3099.0,-1989.0,8,,8.0,330,119.0,89.0,30.0,111,1448,,1081,766,36.0,22.0,257.0,75,69.0,4.0,4.0,,2.0,45,0.0,0.0,66.0,45,1201,1145,1145.0,0.0,0.0,,477,0.0,331.0,80,1622,2823,0.0,3006,1.0,3005.0,-240.0,-2575.0,-212,-21,39,18,2841,
03/31/2010,3034,193,193,0.0,750,,,465,103.0,133.0,188.0,41.0,235,,96.0,200.0,1643,1063,3060.0,-1997.0,9,,9.0,319,120.0,88.0,32.0,103,1391,,1202,874,41.0,31.0,256.0,202,0.0,,,,202.0,36,,,60.0,36,1440,1137,1137.0,,,,471,,326.0,85,1608,3048,0.0,2997,1.0,2996.0,-240.0,-2568.0,-243,-54,40,-14,3034,
06/30/2010,2980,146,146,0.0,820,,,471,107.0,133.0,193.0,38.0,235,,86.0,188.0,1672,993,2886.0,-1893.0,9,,9.0,306,117.0,85.0,32.0,103,1308,,1284,954,40.0,22.0,268.0,65,0.0,,,,65.0,37,,,57.0,37,1386,1189,1189.0,,,,452,,314.0,81,1641,3027,0.0,3000,1.0,2999.0,-240.0,-2528.0,-318,-86,39,-47,2980,
09/30/2010,3270,184,184,0.0,929,,,549,126.0,162.0,219.0,42.0,255,,77.0,207.0,1917,1037,3069.0,-2032.0,11,,11.0,305,121.0,89.0,32.0,107,1353,,1419,1070,49.0,30.0,270.0,70,0.0,,,,70.0,63,,,53.0,63,1552,1227,1227.0,,,,443,,297.0,93,1670,3222,0.0,3003,1.0,3002.0,-240.0,-2518.0,-240,5,43,48,3270,
12/31/2010,3167,233,233,0.0,796,,,547,118.0,164.0,222.0,43.0,214,0.0,92.0,176.0,1790,1050,3109.0,-2059.0,9,,9.0,318,121.0,89.0,32.0,105,1377,,1339,1048,51.0,13.0,227.0,63,61.0,1.0,1.0,,1.0,66,0.0,0.0,56.0,66,1468,1160,1160.0,0.0,0.0,,492,0.0,311.0,125,1652,3120,0.0,3009,1.0,3008.0,-240.0,-2536.0,-237,-4,51,47,3167,
03/31/2011,3532,199,199,0.0,1038,,,637,134.0,192.0,266.0,45.0,255,,91.0,216.0,2129,1072,3208.0,-2136.0,12,,12.0,319,124.0,90.0,34.0,104,1403,,1526,1205,59.0,22.0,240.0,146,0.0,,,,146.0,57,,,57.0,57,1729,1185,1185.0,,,,485,,306.0,122,1670,3399,0.0,3010,1.0,3009.0,-240.0,-2489.0,-205,76,57,133,3532,
06/30/2011,3558,161,161,0.0,1091,,,626,138.0,179.0,262.0,47.0,264,,92.0,222.0,2142,1083,3282.0,-2199.0,12,,12.0,321,125.0,91.0,34.0,104,1416,,1541,1208,55.0,13.0,265.0,67,0.0,,,,67.0,62,,,58.0,62,1670,1227,1227.0,,,,476,,297.0,121,1703,3373,0.0,3012,1.0,3011.0,-251.0,-2439.0,-182,140,45,185,3558,
09/30/2011,3436,163,163,0.0,1073,,,621,131.0,194.0,250.0,46.0,246,,87.0,204.0,2103,1026,3136.0,-2110.0,13,,13.0,294,108.0,75.0,33.0,99,1333,,1496,1181,46.0,23.0,246.0,70,0.0,,,,70.0,56,,,50.0,56,1622,1234,1234.0,,,,450,,279.0,121,1684,3306,0.0,3013,1.0,3012.0,-256.0,-2409.0,-265,83,47,130,3436,
12/31/2011,3337,214,214,0.0,936,,,592,121.0,181.0,244.0,46.0,237,0.0,92.0,197.0,1979,1047,3153.0,-2106.0,10,,10.0,301,106.0,74.0,32.0,103,1358,,1454,1171,44.0,13.0,226.0,66,62.0,,,,4.0,50,0.0,0.0,51.0,50,1570,1158,1158.0,,,,554,0.0,385.0,118,1712,3282,0.0,3017,1.0,3016.0,-256.0,-2379.0,-382,0,55,55,3337,
03/31/2012,3651,193,193,0.0,1135,,,679,134.0,208.0,287.0,50.0,252,,89.0,209.0,2259,1077,3234.0,-2157.0,9,,9.0,306,107.0,75.0,32.0,110,1392,,1577,1270,43.0,14.0,250.0,94,0.0,,,,94.0,42,,,50.0,42,1713,1264,1264.0,,,,554,,377.0,127,1818,3531,0.0,3020,1.0,3019.0,-256.0,-2349.0,-353,62,58,120,3651,
06/30/2012,3627,181,181,0.0,1144,,,668,138.0,205.0,274.0,51.0,271,,85.0,227.0,2264,1060,3192.0,-2132.0,8,,8.0,295,103.0,72.0,31.0,107,1363,,1551,1231,58.0,10.0,252.0,132,0.0,,,,132.0,41,,,44.0,41,1724,1234,1234.0,,,,527,,364.0,119,1761,3485,0.0,3023,1.0,3022.0,-274.0,-2262.0,-391,96,46,142,3627,
09/30/2012,3702,207,207,0.0,1098,,,672,147.0,217.0,256.0,52.0,296,,122.0,226.0,2273,1088,3282.0,-2194.0,4,,4.0,337,110.0,73.0,37.0,105,1429,,1504,1188,57.0,14.0,245.0,134,0.0,,,,134.0,43,,,41.0,43,1681,1211,1211.0,,,,513,,350.0,122,1724,3405,0.0,3027,1.0,3026.0,-274.0,-2137.0,-374,242,55,297,3702,
12/31/2012,3608,223,223,0.0,966,,,667,133.0,207.0,273.0,54.0,268,0.0,116.0,196.0,2124,1122,3365.0,-2243.0,4,,4.0,358,107.0,72.0,35.0,135,1484,,1485,1186,50.0,10.0,239.0,113,110.0,0.0,0.0,,3.0,51,0.0,0.0,27.0,51,1649,1067,1067.0,0.0,0.0,,586,0.0,407.0,152,1653,3302,0.0,3032,1.0,3031.0,-274.0,-2104.0,-408,246,60,306,3608,
03/31/2013,3878,233,233,0.0,1129,,,697,143.0,228.0,271.0,55.0,324,,140.0,254.0,2383,1119,3349.0,-2230.0,6,,6.0,370,105.0,71.0,34.0,125,1495,,1536,1245,39.0,14.0,238.0,115,0.0,,,,115.0,39,,,29.0,39,1690,1252,1252.0,,,,585,,389.0,167,1837,3527,0.0,3038,1.0,3037.0,-274.0,-2050.0,-430,284,67,351,3878,
06/30/2013,3939,235,235,0.0,1196,,,669,138.0,206.0,271.0,54.0,347,,151.0,275.0,2447,1110,3333.0,-2223.0,8,,8.0,374,102.0,70.0,32.0,121,1492,,1630,1339,36.0,9.0,246.0,120,0.0,,,,120.0,44,,,26.0,44,1794,1158,1158.0,,,,594,,374.0,194,1752,3546,0.0,3050,1.0,3049.0,-276.0,-1987.0,-448,339,54,393,3939,
09/30/2013,4099,276,276,0.0,1226,,,699,148.0,228.0,267.0,56.0,378,,158.0,302.0,2579,1133,3423.0,-2290.0,8,,8.0,379,101.0,70.0,31.0,120,1520,,1617,1288,45.0,14.0,270.0,131,0.0,,,,131.0,104,,,25.0,104,1852,1226,1226.0,,,,582,,358.0,199,1808,3660,0.0,3071,1.0,3070.0,-294.0,-1975.0,-422,380,59,439,4099,
12/31/2013,3830,275,275,0.0,1041,,,656,130.0,202.0,267.0,57.0,318,0.0,125.0,247.0,2290,1175,3498.0,-2323.0,14,,14.0,351,99.0,69.0,30.0,127,1540,,1661,1359,40.0,10.0,252.0,83,81.0,0.0,0.0,,2.0,94,0.0,0.0,28.0,91,1838,1019,1019.0,0.0,0.0,,481,0.0,249.0,204,1500,3338,0.0,3015,1.0,3014.0,-301.0,-1921.0,-360,433,59,492,3830,
03/31/2014,4179,267,267,0.0,1265,,,737,151.0,233.0,295.0,58.0,359,,117.0,288.0,2628,1194,3545.0,-2351.0,14,,14.0,343,98.0,69.0,29.0,128,1551,,1753,1430,44.0,14.0,265.0,106,0.0,,,,106.0,95,,,29.0,95,1954,1209,1209.0,,,,458,,235.0,194,1667,3621,0.0,3030,1.0,3029.0,-301.0,-1875.0,-363,491,67,558,4179,
06/30/2014,4317,260,260,0.0,1334,,,761,149.0,238.0,315.0,59.0,374,,121.0,302.0,2729,1231,3617.0,-2386.0,14,,14.0,343,96.0,68.0,28.0,126,1588,,1825,1494,41.0,10.0,280.0,91,0.0,,,,91.0,93,,,29.0,93,2009,1206,1206.0,,,,455,,222.0,204,1661,3670,0.0,3038,1.0,3037.0,-301.0,-1794.0,-354,589,58,647,4317,
09/30/2014,4232,275,275,0.0,1244,,,755,151.0,240.0,305.0,59.0,371,,130.0,294.0,2645,1231,3537.0,-2306.0,0,,,356,93.0,66.0,27.0,133,1587,,1755,1411,50.0,14.0,280.0,111,0.0,,,,111.0,77,,,27.0,77,1943,1187,1187.0,,,,426,,202.0,197,1613,3556,0.0,3042,1.0,3041.0,-301.0,-1716.0,-412,613,63,676,4232,
