Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1992,96.322998,38.127,10.29,27.837,24.298,,,14.026,,,,,2.221,,,,78.671997,15.643,22.83,-7.187,,,2.008,,,,2.008,17.651,,4.837,4.837,,,2.076,,,,,7.413,,,7.413,14.326,0.997,,,,,,,,,0.997,15.323,,41.105999,,,0.0,,39.894001,81.0,,81.0,96.323,
12/31/1992,97.334,42.987998,23.302999,19.684999,17.792,,,16.108,,,,,2.278,,,,79.166,16.191,24.030001,-7.839,,,1.977,,,,1.977,18.168,,4.121,4.121,,,1.84,,,,,7.929,,,7.929,13.89,0.763,,,,,,,,,0.763,14.653,,41.530998,,,0.0,,41.150002,82.681,,82.681,97.334,
03/31/1993,100.639,40.417999,29.98,10.438,22.275,,,16.735001,,,,,1.872,,,,81.300003,17.570999,26.219999,-8.649,0.0,,1.768,,,,1.768,19.338999,,5.095,5.095,,,0.918,,,,,7.914,,,7.914,13.927,0.697,,,,0.0,,,,0.0,0.697,14.624,0.0,42.909,,,0.0,,43.105999,86.014999,0.0,86.014999,100.638999,
06/30/1993,105.434998,41.77,32.799999,8.97,24.002001,,,16.955999,,,,,1.89,,,,84.617996,19.309999,28.785,-9.475,0.0,,1.507,,,,1.507,20.816999,,4.042,4.042,,,2.26,,,,,8.643,,,8.643,14.945,0.0,,,,0.0,,,,0.0,0.0,14.945,0.0,44.115002,,,0.0,,46.375,90.490002,0.0,90.490002,105.435001,
09/30/1993,118.653,45.785,20.881001,24.903999,29.066999,,,18.476999,,,,,2.52,,,,95.848999,21.443001,31.982,-10.539,0.0,,1.361,,,,1.361,22.804001,,6.054,6.054,,,3.352,,,,,9.785,,,9.785,19.191,0.0,,,,0.0,,,,0.0,0.0,19.191,0.0,48.387001,,,0.0,,51.075001,99.462002,0.0,99.462002,118.653002,
12/31/1993,131.117004,48.622,24.058001,24.563999,36.296001,,,21.122,,,,,3.102,,,,109.141998,20.693001,32.248001,-11.555,0.0,,1.282,,,,1.282,21.975001,,8.223,8.223,,,4.518,,,,,12.915,,,12.915,25.656,0.0,,,,0.0,,,,0.0,0.0,25.656,0.0,48.710999,,,0.0,,56.75,105.460999,0.0,105.460999,131.116999,
03/31/1994,195.837006,105.538998,70.949997,34.589001,40.130001,,,26.452,,,,,3.338,,,,175.459,19.153,31.414,-12.261,0.0,,1.225,,,,1.225,20.378,,7.71,7.71,,,5.052,,,,,14.873,,,14.873,27.635,0.0,,,,0.0,,,,0.0,0.0,27.635,0.0,104.210999,,,0.0,,63.991001,168.202,0.0,168.202,195.837,
06/30/1994,206.352005,120.795998,48.916,71.879997,35.339001,,,23.848,,,,,3.152,,,,183.134995,22.224001,35.473,-13.249,0.0,,0.993,,,,0.993,23.217001,,9.579,9.579,,,2.766,,,,,15.609999,,,15.609999,27.955,0.0,,,,0.0,,,,0.0,0.0,27.955,0.0,104.543999,,,0.0,,73.852997,178.396996,0.0,178.396996,206.351995,
09/30/1994,231.020004,125.576,62.300999,63.275002,44.248001,,,26.915001,,,,,6.167,,,,202.906006,27.042,40.997002,-13.955,0.0,,1.072,,,,1.072,28.114,,15.035,15.035,,,1.433,,,,,19.032,,,19.032,35.5,0.0,,,,0.0,,,,0.0,0.0,35.5,0.0,109.113998,,,0.0,,86.405998,195.519997,0.0,195.519997,231.019997,
12/31/1994,265.0,136.539002,45.987,90.552002,60.59,,,27.278999,,,,,9.959,,,,234.367004,29.409,44.937,-15.528,0.0,,1.224,,,,1.224,30.633,,14.845,14.845,,,4.518,,,,,31.422999,,,31.422999,50.785999,0.0,,,,0.0,,,,0.0,0.0,50.785999,0.0,112.531998,,,0.0,,101.681999,214.213997,0.0,214.213997,264.999996,
03/31/1995,289.644989,146.339001,54.644001,91.695,66.571999,,,32.169998,,,,,11.597,,,,256.678009,31.487,50.25,-18.763,0.0,,1.48,,,,1.48,32.967,,15.518,15.518,,,4.448,,,,,35.990002,,,35.990002,55.956001,0.0,,,,0.0,,,,0.0,0.0,55.956001,0.0,115.226997,,,0.0,,118.461998,233.688995,0.0,233.688995,289.644997,
06/30/1995,311.618988,156.355003,60.124001,96.231003,70.611,,,35.548,,,,,12.445,,,,274.959015,34.966,55.415001,-20.448999,0.0,,1.694,,,,1.694,36.66,,18.618999,18.618999,,,4.158,,,,,34.381001,,,34.381001,57.158001,0.0,,,,0.0,,,,0.0,0.0,57.158001,0.0,118.108002,,,0.0,,136.352997,254.460999,0.0,254.460999,311.618999,
09/30/1995,341.605988,162.773994,90.977997,71.795998,87.389999,,,35.401001,,,,,13.485,,,,299.049988,40.952999,62.639,-21.686001,0.0,,1.603,,,,1.603,42.555999,,22.516001,22.516001,,,6.934,,,,,33.123001,,,33.123001,62.573002,0.0,,,,0.0,,,,0.0,0.0,62.573002,0.0,122.223999,,,0.0,,156.809006,279.033005,0.0,279.033005,341.606007,
12/31/1995,364.687988,149.798996,60.113998,89.684998,112.087997,,,36.778999,,,,,19.497,,,,318.162994,44.705002,68.449997,-23.745001,0.0,,1.82,,,,1.82,46.525002,,32.866001,32.866001,,,7.369,,,,,51.670997,,,51.670997,91.905998,0.0,,,,0.0,,,,0.0,0.0,91.905998,0.0,118.422997,,,0.0,,154.358994,272.781991,0.0,272.781991,364.687989,
03/31/1996,394.933014,158.321999,52.080002,106.241997,116.945999,,,46.991001,,,,,20.385,,,,342.644012,49.625,75.862999,-26.238001,0.0,,2.664,,,,2.664,52.289,,34.358002,34.358002,,,7.062,,,,,53.773999,,,53.773999,95.194,0.0,,,,0.0,,,,0.0,0.0,95.194,0.0,120.734001,,,0.0,,179.005005,299.739006,0.0,299.739006,394.933006,
06/30/1996,412.269012,162.241997,52.112,110.129997,114.042,,,46.540001,,,,,21.058001,,,,343.881989,65.738998,94.626999,-28.888,0.0,,2.648,,,,2.648,68.386998,,23.059,23.059,,,11.91,,,,,49.217997,,,49.217997,84.186996,0.0,,,,0.0,,,,0.0,0.0,84.186996,0.0,122.804001,,,0.0,,205.278,328.082001,0.0,328.082001,412.268997,
09/30/1996,439.622986,172.044003,50.074001,121.970001,115.555,,,51.631001,,,,,23.74,,,,362.970001,67.012001,98.707001,-31.695,0.0,,9.641,,,,9.641,76.653001,,22.524,22.524,,,13.649,,,,,50.797001,,,50.797001,86.970001,0.0,,,,0.0,,,,0.0,0.0,86.970001,0.0,124.164001,,,0.0,,228.488998,352.653,0.0,352.653,439.623001,
12/31/1996,459.787,176.668,176.668,,119.71,119.71,,55.448,,,,,22.143,,,,373.969,66.218,,,0.0,,19.6,,,,19.6,85.818,,26.047,26.047,,,13.153,0.0,13.153,13.153,,46.951,,,46.951,86.151,0.0,,,,0.0,,,,0.0,0.0,86.151,0.0,128.751,,,,244.885,0.0,373.636,0.0,373.636,459.787,
03/29/1997,478.009003,183.465996,47.109001,136.356995,129.108002,,,57.507,,,,,22.046,,,,392.127014,67.393997,105.864998,-38.471001,0.0,,18.488001,,,,18.488001,85.881998,,26.23,26.23,,,12.22,,,,,43.714002,,,43.714002,82.164001,0.0,,,,0.0,,,,0.0,0.0,82.164001,0.0,135.764008,,,0.0,,260.080994,395.845001,0.0,395.845001,478.009003,
06/28/1997,463.303009,49.673001,34.116001,15.557,134.156998,,,92.988998,,,,,48.450001,,,,325.269012,87.984001,131.014999,-43.030998,0.0,,50.049999,,,,50.049999,138.034,,31.724001,31.724001,,,13.053,,,,,104.928,,,104.928,149.705002,65.0,,,,0.0,,,,0.0,65.0,214.705002,0.0,142.406006,,,0.0,,106.192001,248.598007,0.0,248.598007,463.303009,
09/27/1997,482.458008,67.58,38.604,28.976,141.703995,,,88.142998,,,,,45.335999,,,,342.763,84.607002,126.055,-41.448002,0.0,,55.088001,,,,55.088001,139.695004,,26.749001,26.749001,,,12.27,,,,,99.070995,,,99.070995,138.089996,65.0,,,,0.0,,,,0.0,65.0,203.089996,0.0,152.800003,,,0.0,,126.568001,279.368004,0.0,279.368004,482.458,
12/31/1997,493.3,98.089,98.089,,133.925,133.925,,82.133,,,,,36.862,,,,351.009,93.34,,,,,48.951,,,,48.951,142.291,,22.865,22.865,,,11.652,0.0,11.652,11.652,,92.782,,,92.782,127.299,65.0,,,,,,,,,65.0,192.299,,154.167,,,,146.834,0.0,301.001,,301.001,493.3,
03/28/1998,553.59198,100.66,65.583,35.077,183.395996,,,84.924004,,,,,37.588001,,,,406.567993,99.670998,149.347,-49.675999,0.0,,47.353001,,,,47.353001,147.023998,,52.856998,52.856998,,,11.643,,,,,99.720995,,,99.720995,164.220993,65.0,,,,0.0,,,,0.0,65.0,229.220993,0.0,157.270996,,,0.0,,167.100006,324.371002,0.0,324.371002,553.591995,
06/27/1998,558.875,107.438999,56.659,50.779999,171.537994,,,83.790001,46.925999,30.202999,6.661,,33.125,,,,395.891998,111.913002,167.074005,-55.160999,0.0,,51.07,0.0,,,51.07,162.983002,,42.842999,42.842999,,,10.263,,,,,97.817006,,,97.817006,150.923004,65.0,,,,0.0,,,,0.0,65.0,215.923004,0.0,160.647995,,,0.0,,182.304001,342.951996,0.0,342.951996,558.875,
09/26/1998,544.877991,111.294003,66.757004,44.536999,158.962997,,,81.731003,52.112999,21.725,7.893,,32.860001,,,,384.847992,104.501999,166.050003,-61.548,0.0,,55.528,0.0,,,55.528,160.029999,,27.201,27.201,,,11.318,,,,,86.503003,,,86.503003,125.022003,65.0,,,,0.0,,,,0.0,65.0,190.022003,0.0,164.518997,,,0.0,,190.337006,354.856003,0.0,354.856003,544.878006,
12/31/1998,551.939026,130.818001,81.223999,49.594002,173.363998,,,69.223,,,,,25.690001,,,,399.095001,105.579002,173.800003,-68.221001,0.0,,47.264999,,,,47.264999,152.844002,,30.966,30.966,,,12.986,,,,,67.521999,,,67.521999,111.473999,65.0,,,,0.0,,,,0.0,65.0,176.473999,0.0,176.139999,,,0.0,,199.324997,375.464996,0.0,375.464996,551.938995,
03/27/1999,749.840027,340.029999,154.220001,185.809998,152.945007,,,77.625,56.487999,17.379999,3.757,0.0,26.569,,,,597.169006,103.264999,178.169006,-74.903999,0.0,,49.405998,0.0,0.0,0.0,49.405998,152.670998,,25.021,25.021,,,12.696,12.696,0.0,0.0,,56.834002,,,56.834002,94.551003,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,94.551003,0.0,446.946991,,,0.0,,208.341995,655.288986,0.0,655.288986,749.839989,
06/26/1999,785.432007,345.265999,113.584999,231.681,169.231995,,,92.600998,62.411999,25.459,4.73,0.0,24.086,,,,631.184998,99.976997,180.880997,-80.903999,0.0,,54.27,0.0,0.0,0.0,54.27,154.246998,,44.612,44.612,,,11.631,11.631,0.0,0.0,,58.892003,,,58.892003,115.135002,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,115.135002,0.0,449.386993,,,0.0,,220.910004,670.296997,0.0,670.296997,785.431999,
09/25/1999,832.484985,354.219002,112.624001,241.595001,184.554001,,,93.848999,66.769997,22.166,4.913,0.0,28.993999,,,,661.616028,106.738998,195.682999,-88.944,0.0,,64.129997,0.0,0.0,0.0,64.129997,170.868995,,53.369999,53.369999,,,13.213,13.213,0.0,0.0,,65.570001,,,65.570001,132.153,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,132.153,0.0,455.651001,,,0.0,,244.681,700.332001,0.0,700.332001,832.485001,
12/31/1999,909.929016,385.256989,181.567993,203.688995,213.677994,,,103.883003,71.688004,29.621,2.574,0.0,29.848,,,,732.666016,106.778999,202.201996,-95.422997,0.0,,70.484001,0.0,0.0,0.0,70.484001,177.263,,43.438,43.438,,,13.521,13.521,0.0,0.0,,83.270996,,,83.270996,140.229996,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,140.229996,0.0,490.587006,,,0.0,,279.112,769.699005,0.0,769.699005,909.929001,
04/01/2000,1044.357056,450.216995,266.819,183.397995,255.324997,,,119.674004,81.392998,33.060001,5.221,0.0,42.412998,,,,867.629028,107.549004,209.904999,-102.356003,0.0,,69.179001,0.0,0.0,0.0,69.179001,176.728004,,53.77,53.77,,,19.966999,19.966999,0.0,0.0,,91.888,,,91.888,165.625,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,165.625,0.0,543.559021,,,0.0,,335.173004,878.732025,0.0,878.732025,1044.357025,
07/01/2000,1718.322021,1071.403976,888.315979,183.087997,285.996002,,,136.858994,94.168999,40.640999,2.049,0.0,31.733999,,,,1525.993042,126.921997,236.994995,-110.072998,0.0,,65.406998,0.0,0.0,0.0,65.406998,192.328995,,82.999001,82.999001,,,15.946,15.946,0.0,0.0,,129.804999,,,129.804999,228.75,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,228.75,0.0,1078.535034,,,0.0,,411.036987,1489.572021,0.0,1489.572021,1718.322021,
09/30/2000,1846.187988,1103.447998,679.828003,423.619995,355.623993,,,146.227997,101.821999,40.368999,4.037,0.0,45.325001,,,,1650.625,130.697006,247.626999,-116.93,0.0,,64.865997,0.0,0.0,0.0,64.865997,195.563004,,86.992996,86.992996,,,16.785,16.785,0.0,0.0,,162.603992,,,162.603992,266.381989,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,266.381989,0.0,1089.355957,,,0.0,,490.450012,1579.805969,0.0,1579.805969,1846.187958,
12/31/2000,2205.474121,1219.664001,589.414978,630.249023,401.290985,,,201.671997,135.203995,56.997002,9.471,0.0,152.207993,,,,1974.834961,151.554993,293.346008,-141.791,0.0,,79.084,0.0,0.0,0.0,79.084,230.638992,,123.023003,123.023003,,,21.601999,21.601999,0.0,0.0,,419.374022,,,419.374022,563.999023,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,563.999023,0.0,1200.718018,,,0.0,,440.756989,1641.475006,0.0,1641.475006,2205.47403,
03/31/2001,2185.922119,1199.952026,741.101013,458.851013,338.203003,,,235.748001,152.781006,70.857002,12.11,0.0,150.279999,,,,1924.182983,176.462997,326.458008,-149.994995,0.0,,85.276001,0.0,0.0,0.0,85.276001,261.738998,,92.028,92.028,,,28.517,28.517,0.0,0.0,,322.955,,,322.955,443.5,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,443.5,0.0,1211.338013,,,0.0,,531.083984,1742.421997,0.0,1742.421997,2185.921997,
06/30/2001,2227.311035,1254.316956,708.427979,545.888977,299.285004,,,272.311005,195.477997,69.974998,6.858,0.0,141.403,,,,1967.31604,185.893005,344.851013,-158.957993,0.0,,74.101997,0.0,0.0,0.0,74.101997,259.995003,,92.415001,92.415001,,,27.547001,27.547001,0.0,0.0,,255.509007,,,255.509007,375.471008,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,375.471008,0.0,1260.380981,,,0.0,,591.458984,1851.839966,0.0,1851.839966,2227.310974,
09/29/2001,3073.11499,936.137024,540.796021,395.341003,265.09201,,,251.621002,197.149994,48.627998,5.843,0.0,1081.427979,,,,2534.278076,192.815002,357.334991,-164.520004,0.0,,346.022003,0.0,0.0,0.0,346.022003,538.837005,,266.427002,266.427002,,,890.549988,890.549988,0.0,0.0,,61.495056,,,61.495056,1218.472046,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1218.472046,0.0,1271.406982,,,0.0,,583.236023,1854.643005,0.0,1854.643005,3073.115051,
12/31/2001,3009.662109,921.822021,550.640015,371.182007,225.916,,,244.712006,199.701996,42.716999,2.293,0.0,1124.760986,,,,2517.210938,177.600998,346.979004,-169.378006,244.673004,,70.177002,0.0,0.0,0.0,70.177002,492.451004,,67.317001,67.317001,,,888.838013,888.838013,0.0,0.0,,181.512955,,,181.512955,1137.667969,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1137.667969,0.0,1273.20105,,,0.0,,598.79303,1871.99408,0.0,1871.99408,3009.662048,
03/30/2002,3047.38501,958.174011,585.997009,372.177002,185.375,,,261.654999,205.179993,49.396,7.079,0.0,1155.113037,,,,2560.316895,169.447006,346.858002,-177.410995,244.673004,,72.947998,0.0,0.0,0.0,72.947998,487.068008,,80.014,80.014,,,882.004028,882.004028,0.0,0.0,,170.667031,,,170.667031,1132.685059,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1132.685059,0.0,1318.095947,,,0.0,,596.604004,1914.699951,0.0,1914.699951,3047.38501,
06/30/2002,3086.316895,941.893982,524.896973,416.997009,221.244003,,,251.362,198.289993,46.168999,6.903,0.0,1014.872009,,,,2429.37207,167.742996,355.537994,-187.794998,397.428986,,91.773003,0.0,0.0,0.0,91.773003,656.944984,,95.519997,95.519997,,,880.880005,880.880005,0.0,0.0,,177.822044,,,177.822044,1154.222046,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1154.222046,0.0,1329.302979,,,0.0,,602.791992,1932.094971,0.0,1932.094971,3086.317017,
09/28/2002,2174.069092,924.730987,473.735992,450.994995,230.233002,,,239.686996,193.016998,39.460999,7.209,0.0,105.135002,,,,1499.786011,167.104996,359.778015,-192.673004,397.399994,,109.778,0.0,0.0,0.0,109.778,674.28299,,69.410004,69.410004,,,1.635,1.635,0.0,0.0,,202.219004,,,202.219004,273.264008,0.0,0.0,0.0,0.0,23.532,,,,23.532,23.532,296.796008,0.0,1309.369995,,,0.0,,567.903015,1877.27301,0.0,1877.27301,2174.069018,
12/31/2002,2493.993896,1019.652008,615.843994,403.808014,192.862,,,257.358002,205.341003,45.487,6.53,0.0,164.061996,,,,1633.93396,179.925995,406.721008,-226.794998,397.428986,,282.704987,0.0,163.136002,-163.136002,282.704987,860.059967,,71.218002,71.218002,,,116.436996,116.436996,0.0,0.0,,193.954987,,,193.954987,381.609985,0.0,0.0,0.0,0.0,56.695999,,,,56.695999,56.695999,438.305984,0.0,1487.281006,,,0.0,,568.406982,2055.687988,0.0,2055.687988,2493.993973,
03/29/2003,2375.989014,929.799988,517.158997,412.640991,203.639008,,,253.039993,201.044006,40.640999,11.355,0.0,140.005005,,,,1526.484009,174.300995,,,397.428986,,277.774994,0.0,163.136002,-163.136002,277.774994,849.504974,,61.634998,61.634998,,,0.0,0.0,0.0,0.0,,174.559002,,,174.559002,236.194,0.0,0.0,0.0,0.0,57.373001,,,,57.373001,57.373001,293.567001,0.0,1503.540039,,,0.0,,578.882019,2082.422058,0.0,2082.422058,2375.989059,
06/28/2003,2400.408936,950.697021,529.833008,420.864014,213.214996,,,244.709,189.914993,39.505001,15.289,0.0,150.380997,,,,1559.001953,174.192001,,,397.428986,,269.786011,0.0,163.136002,-163.136002,269.786011,841.406998,,55.492001,55.492001,,,0.0,0.0,0.0,0.0,,163.847004,,,163.847004,219.339005,0.0,0.0,0.0,0.0,57.585999,,,,57.585999,57.585999,276.925003,0.0,1533.833984,,,0.0,589.327026,0.322998,2123.484009,0.0,2123.484009,2400.409012,
09/27/2003,2317.835938,977.51297,529.482971,448.029999,221.307999,,,200.772995,158.485992,23.485001,18.802,0.0,174.792999,,,,1574.386963,513.241028,,,0.0,,230.207993,0.0,172.893005,-172.893005,230.207993,743.449021,,69.002998,69.002998,,,3.164,3.164,0.0,0.0,,162.114008,,,162.114008,234.281006,0.0,0.0,0.0,0.0,48.250999,,,,48.250999,48.250999,282.532005,0.0,1543.604004,,,0.0,490.759003,0.941009,2035.304016,0.0,2035.304016,2317.836021,
12/31/2003,2338.899902,1002.132019,497.178009,504.95401,231.759995,,,199.100006,146.399002,37.501999,15.199,0.0,138.996002,,,,1571.988037,506.566986,870.577026,-364.01001,0.0,,260.345001,260.345001,173.266998,87.078003,0.0,766.911987,,53.536999,53.536999,,,13.023,13.023,0.0,0.0,,154.522002,,,154.522002,221.082001,0.0,0.0,0.0,0.0,45.958,,,,45.958,45.958,267.040001,0.0,1565.926025,,,0.0,501.362,4.571991,2071.860016,0.0,2071.860016,2338.900017,
03/27/2004,2436.679932,1032.73703,494.006012,538.731018,285.980988,,,213.408997,159.201004,49.708,4.5,0.0,150.817993,,,,1682.939941,492.480988,,,0.0,,261.25,261.25,173.266998,87.983002,0.0,753.730988,,85.686996,85.686996,,,21.669001,21.669001,0.0,0.0,,193.806997,,,193.806997,301.162994,0.0,0.0,0.0,0.0,46.063,,,,46.063,46.063,347.225994,0.0,1575.75,,,0.0,507.898987,5.798035,2089.447021,0.0,2089.447021,2436.673016,
06/26/2004,2338.459961,878.445038,314.415009,564.030029,330.190002,,,220.746994,161.723007,50.577999,8.446,0.0,160.632996,,,,1590.02002,479.59201,,,0.0,,268.856995,268.856995,173.266998,95.589996,0.0,748.449005,,72.455002,72.455002,,,8.056,8.056,0.0,0.0,,249.514999,,,249.514999,330.026001,0.0,0.0,0.0,0.0,42.304001,,,,42.304001,42.304001,372.330002,0.0,1527.959961,,,0.0,435.231995,2.946991,1966.138947,0.0,1966.138947,2338.468948,
09/25/2004,2398.429932,510.385994,51.887001,458.498993,426.65799,,,250.160995,185.882004,50.102001,14.177,0.0,155.858994,,,,1343.060059,486.229004,,,0.0,,569.140015,391.502991,277.921997,113.580994,177.637024,1055.369019,,71.583,71.583,,,5.399,5.399,0.0,0.0,,299.432001,,,299.432001,376.414001,154.925003,154.925003,0.0,0.0,50.895,,,,50.895,205.820004,582.234005,0.0,1445.800049,,,0.0,367.371002,3.031006,1816.202057,0.0,1816.202057,2398.436062,
12/31/2004,2401.832,587.762,106.117,481.645,395.522,395.522,,261.046,192.935,54.586,13.525,0.0,124.994,,,,1369.324,476.492,913.393,-436.901,0.0,,556.016,379.308,278.972,100.336,176.708,1032.508,,70.446,70.446,,,3.103,3.103,0.0,0.0,,250.481,,,250.481,324.03,161.103,161.103,0.0,0.0,54.865,,,,54.865,215.968,539.998,0.0,1473.829,,,0.0,399.919,-11.914,1861.834,0.0,1861.834,2401.832,
