Date,Total Assets,Cash & Cash Equivalents,ST And LT Investments,Available for Sales/FVTOCI,Real Estate Investments,Other Investments,Net Receivables,Total Commercial Loans,Commercial RE Loans,Total Consumer Loans,1-4 Family Residential Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Total Deposits,ST Borrowings & Repos,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2008,95577,6228,,,0.0,,3887,,,,,,,,,2887.0,,,1372.0,1091.0,,,,,84090,,8229,0.0,0.0,0.0,,,0.0,2027,0.0,0.0,,2027.0,,,,78854,89110,0.0,4691,,,-2012.0,4592,-1093,6178,289.0,6467,95577,
03/31/2009,94581,5796,30738.0,25762.0,,4976.0,3579,,,0.0,,0.0,,,,,,,,,,,,,54468,,8465,,,,,,,1922,,,,1922.0,,,,77557,87944,0.0,4722,3.0,4719.0,-2021.0,4817,-1134,6384,253.0,6637,94581,
06/30/2009,103214,4469,34793.0,29911.0,,4882.0,4067,,,0.0,,0.0,,,,,,,,,,,,0.0,59885,,9216,,,,,,,2435,,,,2435.0,,,,83189,94840,0.0,5644,3.0,5641.0,-2021.0,4875,-388,8110,264.0,8374,103214,
09/30/2009,111201,3580,36847.0,32625.0,,4222.0,4247,,,0.0,,0.0,,,,,,,,,,,,0.0,66527,,9028,,,,,,,2076,,,,2076.0,,,,90703,101807,0.0,5702,3.0,5699.0,-2021.0,5091,277,9049,345.0,9394,111201,
12/31/2009,113770,3097,36938.0,32546.0,,4392.0,4435,,,0.0,,0.0,,,,,,,1404.0,1135.0,269.0,2313.0,,0.0,65583,,8554,0.0,0.0,0.0,,,0.0,1868,0.0,0.0,,1868.0,22.0,1930.0,,91524,103898,0.0,5751,3.0,5748.0,-2023.0,5276,265,9269,603.0,9872,113770,
03/31/2010,122377,4816,35765.0,31414.0,,4351.0,4768,,,0.0,,0.0,,,,,,,,,,,,0.0,77028,,8632,,,,,,,2612,,,,2612.0,,,,100433,111677,0.0,5822,3.0,5819.0,-2038.0,5959,365,10108,592.0,10700,122377,
06/30/2010,121110,3827,36526.0,32216.0,,4310.0,4906,,,0.0,,0.0,,,,,,,,,,,,0.0,75851,,8421,484.0,,,,,484.0,2684,,,,2684.0,,,,98402,109991,0.0,5872,3.0,5869.0,-2259.0,6278,607,10498,621.0,11119,121110,
09/30/2010,129044,3685,37980.0,33586.0,,4394.0,4892,,,0.0,,0.0,,,,,,,,,,,,0.0,82487,,8492,869.0,,,,,869.0,2735,,,,2735.0,,,,105444,117540,0.0,5920,3.0,5917.0,-2412.0,6545,897,10950,554.0,11504,129044,
12/31/2010,131214,3310,42199.0,5444.0,,36755.0,4909,,,0.0,,0.0,0.0,,,,,,1486.0,1161.0,325.0,1949.0,,0.0,77361,,8779,794.0,0.0,0.0,,397.0,397.0,7455,0.0,0.0,,7455.0,21.0,2251.0,,100629,119929,0.0,6032,3.0,6029.0,-2620.0,6748,565,10725,560.0,11285,131214,
03/31/2011,133832,2460,37457.0,33030.0,,4427.0,5505,,,0.0,,,,,,,,,,,,,,,88410,,8911,497.0,,,,,497.0,2298,,,,2298.0,,,,110937,122643,0.0,6046,3.0,6043.0,-2952.0,6915,542,10551,638.0,11189,133832,
06/30/2011,135138,3007,43363.0,5416.0,,37947.0,5335,,,0.0,,0.0,,,,,,,,,,,,0.0,83433,,9430,505.0,,,,,505.0,8034,,,,8034.0,,190.0,,105751,123910,0.0,6111,3.0,6108.0,-3319.0,7123,633,10548,680.0,11228,135138,
09/30/2011,130380,3093,43750.0,5160.0,,38590.0,5364,,,0.0,,0.0,0.0,,,,,,,,,,,0.0,78173,,9624,504.0,,,,,504.0,7933,,,,7933.0,,162.0,,101170,119393,0.0,6185,3.0,6182.0,-3772.0,7222,636,10271,716.0,10987,130380,
12/31/2011,132307,3251,44742.0,4789.0,,39953.0,4440,,,0.0,,0.0,,,,,,,1446.0,1164.0,282.0,2233.0,,0.0,76195,,9850,1008.0,0.0,0.0,,504.0,504.0,7067,0.0,0.0,,7067.0,19.0,1884.0,,102785,122613,0.0,6240,3.0,6237.0,-4034.0,6031,751,8988,706.0,9694,132307,
03/31/2012,136757,2874,43919.0,39104.0,,4815.0,5516,,,0.0,,0.0,,,,,,,,,,,,0.0,84448,,9961,504.0,,,,,504.0,7612,,,,7612.0,,,,108931,127008,0.0,6240,3.0,6237.0,-4261.0,6285,851,9115,634.0,9749,136757,
06/30/2012,135270,3272,41013.0,34590.0,,6423.0,5537,2584.0,2584.0,0.0,,0.0,0.0,2584.0,-33.0,2551.0,,,,,,,,0.0,82897,,10079,498.0,,,,,498.0,7616,,,,7616.0,,,,107464,125657,0.0,6290,3.0,6287.0,-4611.0,6384,942,9005,608.0,9613,135270,
09/30/2012,138564,3932,40748.0,34425.0,,6323.0,5584,2570.0,2570.0,0.0,,0.0,0.0,2570.0,-29.0,2541.0,,,,,,,,0.0,85759,,10048,500.0,,,,,500.0,7634,,,,7634.0,,,,110561,128743,0.0,6366,3.0,6363.0,-4953.0,6477,1267,9157,664.0,9821,138564,
12/31/2012,134729,2950,37638.0,31472.0,,6166.0,4315,2606.0,2606.0,1039.0,1039.0,0.0,0.0,3645.0,-36.0,3609.0,,,1415.0,1174.0,241.0,1932.0,,0.0,82870,,6526,501.0,0.0,0.0,,,501.0,7384,0.0,0.0,,7384.0,20.0,1871.0,,108715,125017,0.0,6506,3.0,6503.0,-5325.0,6717,1194,9092,620.0,9712,134729,
03/31/2013,137296,3041,37231.0,31049.0,,6182.0,4383,2621.0,2621.0,987.0,987.0,0.0,0.0,3608.0,-35.0,3573.0,,,,,,,,0.0,89068,,6494,500.0,,,,,500.0,7537,,,,7537.0,,,,113148,127679,0.0,6595,3.0,6592.0,-5697.0,6978,1084,8960,657.0,9617,137296,
06/30/2013,137258,3377,36409.0,30018.0,,6391.0,4651,2642.0,2642.0,951.0,951.0,0.0,0.0,3593.0,-35.0,3558.0,,,,,,,,0.0,89263,,6586,501.0,,,,,501.0,7649,,,,7649.0,,,,113540,128276,0.0,6733,3.0,6730.0,-6148.0,7130,625,8340,642.0,8982,137258,
09/30/2013,140208,3465,36516.0,30084.0,,6432.0,4503,2655.0,2655.0,901.0,901.0,0.0,0.0,3556.0,-32.0,3524.0,,,,,,,,0.0,92200,,6744,500.0,,,,,500.0,8189,,,,8189.0,,,,115606,131039,0.0,6843,3.0,6840.0,-6565.0,7442,605,8325,844.0,9169,140208,
12/31/2013,144576,3051,37227.0,30310.0,,6917.0,4610,2682.0,2682.0,859.0,859.0,0.0,0.0,3541.0,-31.0,3510.0,,,1363.0,1164.0,199.0,2077.0,,0.0,92738,,7062,500.0,0.0,0.0,,,500.0,2720,0.0,0.0,,2720.0,18.0,1581.0,,123463,135344,0.0,6932,3.0,6929.0,-6961.0,7626,595,8192,1040.0,9232,144576,
03/31/2014,145964,2899,37816.0,30478.0,,7338.0,4714,2695.0,2695.0,821.0,821.0,0.0,0.0,3516.0,-29.0,3487.0,,,,,,,,0.0,97048,,7211,300.0,,,,,300.0,8866,,,,8866.0,,,,120142,136519,0.0,7049,3.0,7046.0,-7389.0,7938,746,8344,1101.0,9445,145964,
06/30/2014,149160,2859,38110.0,30486.0,,7624.0,4909,2705.0,2705.0,797.0,797.0,0.0,0.0,3502.0,-28.0,3474.0,,,,,,,,0.0,99808,,7285,200.0,,,,,200.0,9195,,,,9195.0,,,,122803,139483,0.0,7147,3.0,7144.0,-7802.0,8163,920,8428,1249.0,9677,149160,
09/30/2014,147193,3155,38103.0,32442.0,,5661.0,4895,2714.0,2714.0,771.0,771.0,0.0,0.0,3485.0,-28.0,3457.0,,,,,,,,0.0,97583,,7513,200.0,,,,,200.0,9453,,,,9453.0,,,,120687,137853,0.0,7235,3.0,7232.0,-8181.0,8460,746,8260,1080.0,9340,147193,
12/31/2014,148810,3028,38290.0,30027.0,,8263.0,5027,2729.0,2729.0,739.0,739.0,0.0,0.0,3468.0,-28.0,3440.0,,,1313.0,1154.0,159.0,1852.0,,0.0,95860,,7664,200.0,0.0,0.0,,,200.0,3062,0.0,0.0,,3062.0,18.0,1618.0,,126943,139505,0.0,7348,3.0,7345.0,-8589.0,8703,662,8124,1181.0,9305,148810,
03/31/2015,151448,3147,38448.0,30150.0,,8298.0,5140,2683.0,2683.0,710.0,710.0,0.0,0.0,3393.0,-25.0,3368.0,,,,,,,4785.0,0.0,96560,,7878,200.0,,,,,200.0,9845,,,,9845.0,,,4075.0,120191,142189,0.0,7426,3.0,7423.0,-8966.0,9031,704,8195,1064.0,9259,151448,
06/30/2015,148806,3041,38102.0,29427.0,,8675.0,5267,2735.0,2735.0,679.0,679.0,0.0,0.0,3414.0,-26.0,3388.0,,,,,,,3797.0,0.0,95211,,7820,200.0,,,,,200.0,10408,,,,10408.0,,,3741.0,117641,139810,0.0,7503,3.0,7500.0,-9428.0,9300,500,7875,1121.0,8996,148806,
09/30/2015,145320,3570,38341.0,29286.0,,9055.0,5289,2757.0,2757.0,649.0,649.0,0.0,0.0,3406.0,-24.0,3382.0,,,,,,,4093.0,0.0,90645,,8046,200.0,,,,,200.0,10945,,,,10945.0,,,3233.0,114075,136499,0.0,7560,3.0,7557.0,-9885.0,9493,461,7629,1192.0,8821,145320,
12/31/2015,145339,2859,37355.0,28673.0,,8682.0,5274,2755.0,2755.0,627.0,627.0,0.0,0.0,3382.0,-23.0,3359.0,,,1270.0,1137.0,133.0,2036.0,3587.0,0.0,89599,,8634,200.0,,,,,200.0,10223,,,,10223.0,18.0,1454.0,3089.0,113342,136960,0.0,7614,3.0,7611.0,-10338.0,9662,253,7191,1188.0,8379,145339,
03/31/2016,140250,2795,34099.0,29480.0,,4619.0,5295,2747.0,2747.0,330.0,330.0,0.0,0.0,3077.0,-22.0,3055.0,,,,,,,,0.0,95006,,8876,200.0,,,,,200.0,5356,,,,5356.0,,,,118725,133157,0.0,7613,3.0,7610.0,-10761.0,9799,442,7093,0.0,7093,140250,
06/30/2016,142684,3050,34853.0,30158.0,,4695.0,5190,2713.0,2713.0,326.0,326.0,0.0,0.0,3039.0,-22.0,3017.0,,,,,,,5631.0,0.0,90943,,9132,200.0,,,,,200.0,5201,,,,5201.0,11.0,,3827.0,117224,135595,0.0,7662,3.0,7659.0,-11218.0,10007,638,7089,0.0,7089,142684,
09/30/2016,143623,3329,35474.0,30799.0,,4675.0,5336,2682.0,2682.0,314.0,314.0,0.0,0.0,2996.0,-22.0,2974.0,,,,,,,5178.0,0.0,91332,,9442,200.0,,,,,200.0,5644,,,,5644.0,,,3708.0,117833,136827,0.0,7712,3.0,7709.0,-11609.0,10098,595,6796,0.0,6796,143623,
12/31/2016,139821,2486,35102.0,30719.0,,4383.0,5310,2702.0,2702.0,305.0,305.0,0.0,0.0,3007.0,-21.0,2986.0,,,1212.0,1104.0,108.0,2072.0,3446.0,0.0,87207,,10036,200.0,,,,,200.0,5236,,,,5236.0,15.0,1442.0,3195.0,113405,133529,0.0,7768,3.0,7765.0,-12027.0,10351,200,6292,0.0,6292,139821,
03/31/2017,140857,2177,35039.0,30582.0,,4457.0,5372,2712.0,2712.0,290.0,290.0,0.0,0.0,3002.0,-21.0,2981.0,,,29.0,,29.0,,2871.0,0.0,92388,,10316,200.0,,,,,200.0,5252,,,,5252.0,,,2910.0,115952,134630,0.0,7860,3.0,7857.0,-12485.0,10633,219,6227,0.0,6227,140857,
06/30/2017,143144,2563,35199.0,30647.0,,4552.0,5519,2737.0,2737.0,277.0,277.0,0.0,0.0,3014.0,-21.0,2993.0,,,,,,,3076.0,0.0,93794,,10200,200.0,,,,,200.0,5216,,,,5216.0,32.0,,2942.0,118304,136894,0.0,7906,3.0,7903.0,-12852.0,10897,299,6250,0.0,6250,143144,
09/30/2017,145486,2504,35417.0,30826.0,,4591.0,5751,2770.0,2770.0,251.0,251.0,0.0,0.0,3021.0,-21.0,3000.0,,,,,,,3190.0,0.0,95624,,10427,201.0,,,,,201.0,5169,,,,5169.0,39.0,,3155.0,120190,139181,0.0,8020,3.0,8017.0,-13298.0,11271,312,6305,0.0,6305,145486,
12/31/2017,147480,2620,35300.0,30927.0,,4373.0,5787,2775.0,2775.0,0.0,,0.0,0.0,2775.0,-19.0,2756.0,,,1313.0,1175.0,138.0,1310.0,3563.0,0.0,94831,,10303,200.0,,,,,200.0,5097,,,,5097.0,15.0,915.0,3371.0,121584,141485,0.0,8088,3.0,8085.0,-13648.0,11326,229,5995,0.0,5995,147480,
03/31/2018,144762,2201,34710.0,30319.0,,4391.0,5880,2740.0,2740.0,0.0,,0.0,0.0,2740.0,-19.0,2721.0,,,26.0,0.0,26.0,,3169.0,0.0,96055,,10240,201.0,,,,,201.0,5055,,,,5055.0,,,3369.0,120057,138922,0.0,8119,3.0,8116.0,-14070.0,11796,-5,5840,0.0,5840,144762,
06/30/2018,143268,2582,33905.0,30459.0,,3446.0,5930,2708.0,2708.0,0.0,,0.0,0.0,2708.0,-19.0,2689.0,,,0.0,,,,2970.0,0.0,95192,,10428,201.0,,,,,201.0,4291,,,,4291.0,,,3334.0,119382,137636,0.0,8174,3.0,8171.0,-14489.0,12126,-179,5632,0.0,5632,143268,
09/30/2018,145191,2478,34236.0,30840.0,,3396.0,6047,2703.0,2703.0,0.0,,0.0,0.0,2703.0,-19.0,2684.0,,,,,,,3354.0,0.0,96392,,10758,201.0,,,,,201.0,4240,,,,4240.0,,,3927.0,120447,139573,0.0,8217,3.0,8214.0,-14853.0,12498,-244,5618,0.0,5618,145191,
12/31/2018,137216,3097,34835.0,31058.0,,3777.0,6185,2715.0,2715.0,0.0,,,0.0,2715.0,-19.0,2696.0,,,1248.0,1158.0,90.0,1300.0,2574.0,0.0,85281,,11545,201.0,,,,,201.0,4610,25.0,25.0,,4585.0,14.0,791.0,2680.0,111787,131628,0.0,8263,3.0,8260.0,-15293.0,12909,-291,5588,0.0,5588,137216,
03/31/2019,144403,3347,32559.0,28764.0,,3795.0,7462,2663.0,2663.0,0.0,,0.0,0.0,2663.0,-19.0,2644.0,225.0,225.0,23.0,0.0,23.0,,3012.0,0.0,95131,,11520,243.0,53.0,11.0,42.0,,190.0,5331,250.0,44.0,206.0,5081.0,,,3072.0,118394,138560,0.0,8273,3.0,8270.0,-15637.0,13172,35,5843,0.0,5843,144403,
06/30/2019,148678,4361,34345.0,30642.0,,3703.0,7435,2681.0,2681.0,0.0,,0.0,0.0,2681.0,-19.0,2662.0,225.0,225.0,0.0,,,,3636.0,0.0,96014,,13273,228.0,35.0,8.0,27.0,,193.0,5030,275.0,56.0,219.0,4755.0,,,3298.0,120819,142648,0.0,8340,3.0,8337.0,-16109.0,13530,269,6030,0.0,6030,148678,
09/30/2019,149513,5392,37375.0,30967.0,,6408.0,20,2723.0,2723.0,0.0,,0.0,6610.0,9333.0,-19.0,9314.0,220.0,220.0,0.0,,,,4272.0,0.0,92920,,13436,211.0,14.0,4.0,10.0,,197.0,5004,290.0,57.0,233.0,4714.0,,,3423.0,121442,143516,0.0,8395,3.0,8392.0,-16679.0,13944,337,5997,0.0,5997,149513,
12/31/2019,151828,3827,36743.0,33129.0,,3614.0,7210,2797.0,2797.0,0.0,,0.0,0.0,2797.0,-19.0,2778.0,215.0,215.0,1257.0,1167.0,90.0,1690.0,4343.0,0.0,93765,,14430,256.0,69.0,14.0,55.0,,187.0,4913,231.0,43.0,188.0,4682.0,28.0,1025.0,3579.0,121868,146099,0.0,8464,3.0,8461.0,-17276.0,14279,262,5729,0.0,5729,151828,
03/31/2020,145682,8829,35245.0,31846.0,,3399.0,7188,2805.0,2805.0,0.0,,0.0,0.0,2805.0,-26.0,2779.0,,,,,,,11401.0,0.0,80240,,17010,200.0,,,,,200.0,3720,,,,3720.0,,,43.0,118016,138989,0.0,8581,3.0,8578.0,-17773.0,16180,-295,6693,0.0,6693,145682,
06/30/2020,154902,7703,37894.0,34442.0,,3452.0,7295,2816.0,2816.0,0.0,,0.0,21.0,2837.0,-28.0,2809.0,,,0.0,,,,5777.0,0.0,93424,,16070,200.0,,,,,200.0,4324,51.0,51.0,,4273.0,,,3615.0,124193,148402,0.0,8625,3.0,8622.0,-18029.0,15510,394,6500,0.0,6500,154902,
