Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/29/2007,10918.6,,-10217.8,,,700.8,,-317.8,,,383.0,-25.5,30.3,34.6,-4.3,0.0,-4.8,357.5,-142.8,214.7,0.0,,,214.7,0.0,214.7,0.0,0.0,214.7,214.7,32.81,537.8,0.4,0.4,0.46,548.0,0.39,0.39,0.45,
12/29/2007,11378.4,,-10612.2,,,766.2,,-392.8,,,373.4,-37.4,37.4,,,0.0,0.0,336.0,-128.4,207.6,0.0,,,207.6,0.0,207.6,0.0,0.0,207.6,207.6,27.31,535.2,0.39,0.39,0.44,546.3,0.38,0.38,0.43,
03/29/2008,12962.9,,-12062.7,,,900.2,,-397.9,,,502.3,-54.3,26.0,27.8,-1.8,0.0,28.3,448.0,-177.8,270.2,0.0,,,270.2,0.0,270.2,0.0,0.0,270.2,270.2,,526.9,0.51,0.51,0.56,537.8,0.5,0.5,0.55,
06/28/2008,12774.6,,-11841.1,,,933.5,0.0,-368.4,368.4,0.0,565.1,-128.1,25.0,30.3,-5.3,0.0,103.1,437.0,-174.3,262.7,0.0,,,262.7,0.0,262.7,0.0,0.0,262.7,262.7,,507.7,0.52,0.52,0.57,517.6,0.51,0.51,0.56,
09/27/2008,12559.1,,-11634.3,,,924.8,,-418.3,,,506.5,-58.2,20.1,26.9,-6.8,0.0,38.1,448.3,-152.6,295.7,0.0,,,295.7,0.0,295.7,0.0,0.0,295.7,295.7,,503.3,0.59,0.59,0.59,513.4,0.58,0.58,0.58,
12/27/2008,12961.3,,-11991.2,,,970.1,0.0,-454.9,381.0,73.9,515.2,-57.6,54.4,60.0,-5.6,0.0,3.2,457.6,-183.2,274.4,0.0,,,274.4,0.0,274.4,0.0,0.0,274.4,274.4,,496.3,0.55,0.55,0.6,505.3,0.54,0.54,0.59,
03/28/2009,14833.9,14833.9,-13889.8,13877.8,107.1,944.1,0.0,-416.2,309.1,0.0,527.9,-41.6,,45.1,,,-3.5,486.3,-195.3,291.0,0.0,0.0,0.0,291.0,0.0,291.0,0.0,0.0,291.0,291.0,0.0,492.2,0.59,0.59,0.59,501.2,0.58,0.58,0.58,
06/27/2009,14930.4,14930.4,-13914.6,13903.6,109.2,1015.8,0.0,-446.6,337.4,0.0,569.2,-41.2,,43.4,,,-2.2,528.0,-215.9,312.1,0.0,0.0,0.0,312.1,0.0,312.1,0.0,0.0,312.1,312.1,0.0,479.6,0.65,0.65,0.65,488.0,0.64,0.64,0.64,
09/26/2009,14794.8,14794.8,-13754.8,13742.3,114.2,1040.0,0.0,-447.4,333.2,0.0,592.6,-39.9,,43.3,,,-3.4,552.7,-217.1,335.6,0.0,0.0,0.0,335.6,0.0,335.6,0.0,0.0,335.6,335.6,0.0,475.4,0.71,0.71,0.71,484.7,0.69,0.69,0.69,
12/26/2009,15245.2,15245.2,-14218.1,14205.8,106.5,1027.1,0.0,-451.0,344.5,0.0,576.1,-39.9,,40.7,,,-0.8,536.2,-194.7,341.5,0.0,0.0,0.0,341.5,0.0,341.5,0.0,0.0,341.5,341.5,0.0,477.0,0.72,0.72,0.72,487.2,0.7,0.7,0.7,
03/27/2010,16310.9,16310.9,-15318.2,15305.8,102.5,992.7,0.0,-421.1,318.6,0.0,571.6,-39.3,,40.7,,,-1.4,532.3,-211.8,320.5,0.0,0.0,0.0,320.5,0.0,320.5,0.0,0.0,320.5,320.5,0.0,467.7,0.69,0.69,0.69,478.2,0.67,0.67,0.67,
06/26/2010,16407.5,16407.5,-15345.8,15333.6,103.4,1061.7,0.0,-447.1,343.7,0.0,614.6,-32.5,,38.8,,,-6.3,582.1,-225.2,356.9,0.0,0.0,0.0,356.9,0.0,356.9,0.0,0.0,356.9,356.9,0.0,453.0,0.79,0.79,0.79,462.0,0.77,0.77,0.77,
09/25/2010,16319.8,16319.8,-15200.3,15187.7,105.1,1119.5,0.0,-466.2,361.1,0.0,653.3,-40.8,,43.4,,,-2.6,612.5,-241.0,371.5,0.0,0.0,0.0,371.5,0.0,371.5,0.0,0.0,371.5,371.5,0.0,429.9,0.86,0.86,0.86,437.1,0.85,0.85,0.85,
12/25/2010,16930.2,16930.2,-15769.0,15752.1,111.9,1161.2,0.0,-503.5,391.6,0.0,657.7,-50.4,,49.5,,,0.9,607.3,-228.8,378.5,0.0,0.0,0.0,378.5,0.0,378.5,0.0,0.0,378.5,378.5,0.0,421.4,0.9,0.9,0.9,430.2,0.88,0.88,0.88,
03/26/2011,17019.6,17019.6,-15949.3,15932.6,107.5,1070.3,0.0,-460.3,352.8,0.0,610.0,-54.2,,51.9,,,2.3,555.8,-222.7,333.1,0.0,0.0,0.0,333.1,0.0,333.1,0.0,0.0,333.1,333.1,0.0,405.5,0.82,0.82,0.82,414.2,0.8,0.8,0.8,
06/25/2011,17074.0,17074.0,-15968.6,15953.4,109.1,1105.4,0.0,-493.6,384.5,0.0,611.8,-54.2,,52.3,,,1.9,557.6,-214.8,342.8,0.0,0.0,0.0,342.8,0.0,342.8,0.0,0.0,342.8,342.8,0.0,397.6,0.86,0.86,0.86,405.1,0.85,0.85,0.85,
09/24/2011,16981.5,16981.5,-15814.4,15798.8,110.4,1167.1,0.0,-528.8,418.4,0.0,638.3,-49.6,,52.2,,,-2.6,588.7,-233.3,355.4,0.0,0.0,0.0,355.4,0.0,355.4,0.0,0.0,355.4,377.4,22.0,388.0,0.92,0.92,0.97268,394.9,0.9,0.9,0.95571,
12/31/2011,18988.2,18988.2,-17708.8,17692.8,114.6,1279.4,0.0,-554.0,439.4,0.0,725.4,-51.7,,52.1,,,-0.4,673.7,-249.3,424.4,0.0,0.0,0.0,424.4,0.0,424.4,0.0,0.0,424.4,451.9,27.5,387.8,1.09,1.09,1.165291,394.7,1.08,1.08,1.149673,
03/31/2012,16031.8,16031.8,-15033.7,15033.7,,998.1,0.0,-542.6,471.6,71.0,455.5,-50.8,,52.4,,,-1.6,404.7,-159.6,245.1,0.0,0.0,0.0,245.1,,245.1,0.0,0.0,245.1,245.1,0.0,389.8,0.63,0.63,0.63,397.2,0.62,0.62,0.62,
06/30/2012,14636.4,,,,,1119.6846,,,,,660.8,,,,,,,621.833,,370.333,,,,,,370.333,,,370.333,401.875,,,0.939,0.939,1.042,,0.939,0.939,1.042,
09/30/2012,14521.0,,,,,1184.9136,,,,,740.4,,,,,,,691.667,,408.667,,,,,,408.667,,,408.667,439.5,,,1.046,1.046,1.153,,1.046,1.046,1.153,
