Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2014,454.163,5.957,5.957,0.0,98.085,98.085,0,35.805,0,0,34.926,0.879,60.205,,,60.205,200.052,206.144,221.992,-15.848,0.0,0.0,47.967,47.777,22.823,24.954,,,0.19,254.111,,138.194,123.017,,,15.177,0.525,0.0,,,,0.525,0.0,,,0.0,138.719,233.543,233.543,,,,2.02,,,,,0.193,1.827,235.563,374.282,0,79.881,79.881,0,,0.0,79.881,0.0,79.881,454.163,
06/30/2014,459.353,6.769,6.769,0.0,74.121,74.121,0,38.971,0,0,38.06,0.911,52.528,,,52.528,172.389,239.59,257.859,-18.269,0.0,0.0,47.374,47.115,22.823,24.292,,,0.259,286.964,,141.424,128.464,,,12.96,0.525,0.0,,,,0.525,0.0,,,0.0,141.949,235.776,235.776,,,,2.399,,,,,0.207,2.192,238.175,380.124,0,79.229,79.229,0,,0.0,79.229,0.0,79.229,459.353,
09/30/2014,1299.813,10.601,10.601,0.0,69.436,69.436,0,27.051,0,0,26.128,0.923,49.768,,,49.768,156.856,284.804,285.939,-1.135,0.0,0.0,858.153,857.932,613.722,244.21,,,0.221,1142.957,,134.359,115.477,,,18.882,0.529,0.0,,,,0.529,0.0,,,0.0,134.888,273.03,273.03,,,,3.169,,,,,1.108,2.061,276.199,411.087,0,888.726,888.726,0,,0.0,888.726,0.0,888.726,1299.813,
12/31/2014,6148.865,125.426,125.426,0.0,193.199,193.199,0,440.294,0,0,393.802,46.492,525.361,,,525.361,1284.28,2081.126,2170.802,-89.676,0.0,0.0,2783.459,2747.891,1854.436,893.455,,,35.568,4864.585,,731.512,383.496,,,348.016,13.772,0.0,,,,13.772,0.0,0.0,,0.0,745.284,1092.204,1092.204,,,,468.221,0.0,0.0,0.0,0.0,378.953,89.268,1560.425,2305.709,0,902.147,902.147,0,0.0,2946.653,3848.8,-5.644,3843.156,6148.865,
03/31/2015,2210.405,50.971,50.971,0.0,56.987,56.987,0,52.683,0,0,39.942,12.741,51.279,,,51.279,211.92,927.76,974.069,-46.309,0.0,,1070.725,1033.667,864.088,169.579,20.969,,16.089,1998.485,,155.052,106.916,,,48.136,13.749,0.0,,,,13.749,0.0,,,0.0,168.801,856.187,856.187,,,,49.396,,,,,,49.396,905.583,1074.384,0,1140.819,1140.819,0,,0.0,1140.819,-4.798,1136.021,2210.405,
06/30/2015,3578.343,62.771,62.771,0.0,202.747,202.747,0,362.469,0,0,352.063,10.406,277.662,,,277.662,905.649,1376.489,1494.015,-117.526,0.0,,1296.205,1266.408,814.819,451.589,2.509,,27.288,2672.694,,590.984,397.188,,,193.796,13.704,0.0,,,,13.704,0.0,,,0.0,604.688,1694.421,1694.421,,,,52.817,,,,,,52.817,1747.238,2351.926,0,1170.131,1170.131,0,,,1170.131,56.286,1226.417,3578.343,
09/30/2015,6179.593,47.773,47.773,0.0,223.156,223.156,0,350.613,0,0,252.682,97.931,428.327,,,428.327,1049.869,2298.004,2475.49,-177.486,0.0,,2831.72,2779.635,1799.044,980.591,,,52.085,5129.724,,728.384,439.158,,,289.226,13.762,0.0,,,,13.762,0.0,,,0.0,742.146,2443.447,2443.447,,,,514.855,,,,,419.303,95.552,2958.302,3700.448,0,2435.001,2435.001,0,,0.0,2435.001,44.144,2479.145,6179.593,
12/31/2015,8842.0,73.0,73.0,0.0,161.0,161.0,0,467.0,0,0,446.0,21.0,567.0,,,567.0,1268.0,3155.0,3494.0,-339.0,0.0,,4419.0,4371.0,3111.0,1260.0,,,48.0,7574.0,,757.0,434.0,,,323.0,5.0,0.0,,,,5.0,0.0,0.0,,0.0,762.0,1953.0,1953.0,,,,864.0,0.0,0.0,0.0,0.0,694.0,170.0,2817.0,3579.0,0,3045.0,3045.0,0,0.0,2218.0,5263.0,0.0,5263.0,8842.0,
03/31/2016,8802.642,76.529,76.529,0.0,173.119,173.119,0,344.459,0,0,214.728,129.731,603.148,,,603.148,1197.255,3161.953,3558.893,-396.94,0.0,,4443.434,4380.746,3109.258,1271.488,,,62.688,7605.387,,666.424,393.776,,,272.648,4.824,0.0,,,,4.824,0.0,,,0.0,671.248,4192.912,4192.912,,,,854.888,,,,,684.082,170.806,5047.8,5719.048,0,3083.594,3083.594,0,,0.0,3083.594,0.0,3083.594,8802.642,
06/30/2016,8761.554,83.175,83.175,0.0,232.673,232.673,0,496.829,0,0,352.582,144.247,217.798,,,217.798,1030.475,3228.409,3688.571,-460.162,0.0,,4502.67,4430.966,3153.657,1277.309,,,71.704,7731.079,,770.668,445.709,127.819,42.065,155.075,5.694,0.0,,,,5.694,98.994,,,98.994,875.356,4189.261,4189.261,,,,836.959,,,,,668.188,168.771,5026.22,5901.576,0,2859.978,2859.978,0,,0.0,2859.978,0.0,2859.978,8761.554,
09/30/2016,8997.001,80.565,80.565,0.0,257.714,257.714,0,488.78,0,0,348.796,139.984,234.194,,,234.194,1061.253,3322.718,3837.479,-514.761,0.0,,4613.03,4527.162,3236.398,1290.764,,,85.868,7935.748,,792.934,439.95,,,352.984,5.01,0.0,,,,5.01,62.716,,,62.716,860.66,4473.43,4473.43,,,,855.67,,,,,694.995,160.675,5329.1,6189.76,0,2807.241,2807.241,0,,0.0,2807.241,0.0,2807.241,8997.001,
12/31/2016,8701.0,103.0,103.0,0.0,361.0,361.0,0,423.0,0,0,383.0,40.0,431.0,,177.0,254.0,1318.0,1584.0,1942.0,-358.0,0.0,,5799.0,2325.0,1550.0,775.0,,,3474.0,7383.0,,1097.0,616.0,,,481.0,5.0,0.0,,,,5.0,0.0,0.0,,0.0,1102.0,4509.0,4509.0,,,,894.0,0.0,0.0,0.0,0.0,643.0,251.0,5403.0,6505.0,0,2196.0,2196.0,0,0.0,0.0,2196.0,0.0,2196.0,8701.0,
03/31/2017,8454.0,74.0,74.0,0.0,242.0,242.0,0,512.0,0,0,369.0,143.0,375.0,,,375.0,1203.0,3299.0,4024.0,-725.0,0.0,,3952.0,3904.0,2612.0,1292.0,,,48.0,7251.0,,920.0,438.0,,,482.0,5.0,0.0,,,,5.0,1.0,,,1.0,926.0,4295.0,4295.0,,,,804.0,,,,,626.0,178.0,5099.0,6025.0,300,2129.0,2129.0,0,,0.0,2429.0,0.0,2429.0,8454.0,
06/30/2017,8311.0,97.0,97.0,0.0,244.0,244.0,0,356.0,0,0,341.0,15.0,4587.0,,4194.0,393.0,5284.0,1155.0,1478.0,-323.0,0.0,,1872.0,1818.0,1032.0,786.0,,,54.0,3027.0,,982.0,461.0,,,521.0,5.0,0.0,,,,5.0,154.0,,,154.0,1141.0,4362.0,4362.0,,,,707.0,,,,,601.0,106.0,5069.0,6210.0,300,1801.0,1801.0,0,,0.0,2101.0,0.0,2101.0,8311.0,
09/30/2017,8307.0,86.0,86.0,0.0,258.0,258.0,0,359.0,0,0,344.0,15.0,4559.0,,4147.0,412.0,5262.0,1191.0,1531.0,-340.0,0.0,,1854.0,1808.0,1031.0,777.0,,,46.0,3045.0,,1137.0,583.0,,,554.0,6.0,0.0,,,,6.0,166.0,,,166.0,1309.0,4182.0,4182.0,,,,681.0,,,,,582.0,99.0,4863.0,6172.0,300,1835.0,1835.0,0,,0.0,2135.0,0.0,2135.0,8307.0,
12/31/2017,8344.0,28.0,28.0,0.0,285.0,285.0,0,426.0,0,0,387.0,39.0,3805.0,0.0,3313.0,492.0,4544.0,1557.0,2012.0,-455.0,0.0,,2243.0,2198.0,1430.0,768.0,,,45.0,3800.0,,1133.0,559.0,,,574.0,6.0,0.0,,,,6.0,75.0,0.0,0.0,75.0,1214.0,4284.0,4284.0,,,,599.0,0.0,0.0,0.0,0.0,389.0,210.0,4883.0,6097.0,300,1947.0,,0,0.0,0.0,2247.0,0.0,2247.0,8344.0,
03/31/2018,4919.0,98.0,98.0,0.0,289.0,289.0,0,434.0,0,0,393.0,41.0,399.0,,6.0,393.0,1220.0,1522.0,2019.0,-497.0,0.0,,2177.0,2086.0,1430.0,656.0,,,91.0,3699.0,,1353.0,416.0,,,937.0,5.0,0.0,,,,5.0,0.0,,,0.0,1358.0,2283.0,2283.0,,,,346.0,,,,,124.0,222.0,2629.0,3987.0,0,932.0,932.0,0,,0.0,932.0,0.0,932.0,4919.0,
06/30/2018,5006.0,19.0,19.0,0.0,388.0,388.0,0,456.0,0,0,439.0,17.0,372.0,,6.0,366.0,1235.0,1520.0,2044.0,-524.0,0.0,,2251.0,2128.0,1469.0,659.0,,,123.0,3771.0,,1150.0,439.0,,,711.0,5.0,0.0,,,,5.0,0.0,,,0.0,1155.0,2602.0,2602.0,,,,333.0,,,,,112.0,221.0,2935.0,4090.0,0,916.0,916.0,0,,0.0,916.0,0.0,916.0,5006.0,
09/30/2018,5148.0,15.0,15.0,0.0,453.0,453.0,0,469.0,0,0,457.0,12.0,394.0,,6.0,388.0,1331.0,1494.0,2047.0,-553.0,0.0,,2323.0,2189.0,1534.0,655.0,,,134.0,3817.0,,1081.0,551.0,,,530.0,5.0,0.0,,,,5.0,0.0,,,0.0,1086.0,2774.0,2774.0,,,,343.0,,,,,118.0,225.0,3117.0,4203.0,0,945.0,945.0,0,,0.0,945.0,0.0,945.0,5148.0,
12/31/2018,4879.0,56.0,56.0,0.0,299.0,299.0,0,374.0,0,0,363.0,11.0,176.0,0.0,0.0,176.0,905.0,1546.0,2133.0,-587.0,0.0,,2428.0,2267.0,1559.0,708.0,,,161.0,3974.0,,860.0,412.0,,,448.0,5.0,0.0,,,,5.0,0.0,0.0,0.0,0.0,865.0,2980.0,2980.0,,,,250.0,0.0,0.0,0.0,0.0,103.0,147.0,3230.0,4095.0,0,784.0,,0,0.0,0.0,784.0,0.0,784.0,4879.0,
03/31/2019,5423.0,23.0,23.0,0.0,350.0,350.0,0,392.0,0,0,380.0,12.0,245.0,,28.0,217.0,1010.0,2004.0,,,0.0,,2409.0,2254.0,1560.0,694.0,,,155.0,4413.0,,737.0,482.0,,,255.0,30.0,0.0,24.0,,24.0,6.0,0.0,,,0.0,767.0,3556.0,3029.0,527.0,,527.0,291.0,,,,,90.0,201.0,3847.0,4614.0,0,809.0,809.0,0,,0.0,809.0,0.0,809.0,5423.0,
06/30/2019,5470.0,36.0,36.0,0.0,400.0,400.0,0,410.0,0,0,402.0,8.0,252.0,,,252.0,1098.0,1975.0,2610.0,-635.0,0.0,,2397.0,2237.0,1558.0,679.0,,,160.0,4372.0,,860.0,530.0,,,330.0,27.0,0.0,21.0,,21.0,6.0,0.0,,,0.0,887.0,3515.0,2995.0,520.0,,520.0,289.0,,,,,90.0,199.0,3804.0,4691.0,0,779.0,779.0,0,,0.0,779.0,0.0,779.0,5470.0,
09/30/2019,5497.0,13.0,13.0,0.0,335.0,335.0,0,422.0,0,0,415.0,7.0,205.0,,,205.0,975.0,2010.0,2673.0,-663.0,0.0,,2512.0,2223.0,1557.0,666.0,,,289.0,4522.0,,769.0,456.0,,,313.0,34.0,0.0,21.0,,21.0,13.0,0.0,,,0.0,803.0,3581.0,3060.0,521.0,,521.0,351.0,,,,,93.0,258.0,3932.0,4735.0,0,762.0,762.0,0,,0.0,762.0,0.0,762.0,5497.0,
12/31/2019,5438.0,21.0,21.0,0.0,337.0,337.0,0,419.0,0,0,412.0,7.0,147.0,0.0,0.0,147.0,924.0,2004.0,2696.0,-692.0,0.0,,2510.0,2201.0,1555.0,646.0,,121.0,188.0,4514.0,,713.0,445.0,,,268.0,31.0,0.0,27.0,7.0,20.0,4.0,0.0,0.0,0.0,0.0,744.0,3590.0,3035.0,555.0,25.0,530.0,346.0,0.0,0.0,0.0,0.0,109.0,237.0,3936.0,4680.0,0,758.0,758.0,0,0.0,,758.0,0.0,758.0,5438.0,
03/31/2020,4977.0,31.0,31.0,0.0,126.0,126.0,0,182.0,0,0,174.0,8.0,130.0,,0.0,130.0,469.0,2014.0,2734.0,-720.0,0.0,,2494.0,2186.0,1555.0,631.0,,135.0,173.0,4508.0,,360.0,162.0,,,198.0,32.0,0.0,20.0,,20.0,12.0,0.0,,,0.0,392.0,3696.0,3130.0,566.0,31.0,535.0,343.0,,,,,109.0,234.0,4039.0,4431.0,0,546.0,546.0,0,,0.0,546.0,0.0,546.0,4977.0,
06/30/2020,5121.0,33.0,33.0,0.0,208.0,208.0,0,283.0,0,0,276.0,7.0,118.0,,,118.0,642.0,1987.0,2736.0,-749.0,0.0,,2492.0,2172.0,1555.0,617.0,,136.0,184.0,4479.0,,567.0,296.0,,,271.0,31.0,0.0,19.0,,19.0,12.0,0.0,,,0.0,598.0,3576.0,3023.0,553.0,29.0,524.0,329.0,,,,,94.0,235.0,3905.0,4503.0,0,618.0,618.0,0,,0.0,618.0,0.0,618.0,5121.0,
