Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Depreciation & Amortization,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2007,612.926,,,-350.923,,262.003,,-175.709,,,,,4.717,,86.294,-46.127,33.057,54.409,-21.352,0.0,13.07,40.167,-5.769,34.398,0.0,,,34.398,0.0,34.398,0.0,,34.398,34.398,47.481,354.726843,0.1,0.1,0.233,355.896858,0.1,0.1,0.233,
09/30/2007,660.95,,,-416.973,,243.977,,-264.484,,,,,4.283,,-20.507,-28.952,45.717,72.607,-26.89,0.0,-16.765,-49.459,0.952,-48.507,0.0,,,-48.507,0.0,-48.507,0.0,0.0,-48.507,-48.507,86.324,354.856121,-0.14,-0.14,0.118,354.856121,-0.14,-0.14,0.118,
12/31/2007,1048.473,,,-635.662,,412.811,0.0,-279.246,,,,,1.853,,133.565,-88.019,71.622,83.18,-11.558,0.0,16.397,45.546,-5.663,39.883,0.0,,,39.883,0.0,39.883,0.0,0.0,39.883,39.883,,355.077646,0.11,0.11,0.2,357.012901,0.11,0.11,0.199,
03/31/2008,1079.023,,,-645.756,,433.267,,-331.581,,,,,8.132,,101.686,-110.246,109.235,114.7,-5.465,0.0,1.011,-8.56,-2.674,-11.234,0.0,,,-11.234,0.0,-11.234,0.0,0.0,-11.234,-11.234,28.022,355.274537,-0.03,-0.03,0.066,355.274537,-0.03,-0.03,0.066,
06/30/2008,1112.114,,,-679.717,,432.397,,-357.212,,,,,5.969,,75.185,-90.961,85.341,88.474,-3.133,0.0,5.62,-15.776,2.782,-12.994,0.0,,,-12.994,4.198,-8.796,0.0,0.0,-8.796,-8.796,34.825,355.364583,-0.02,-0.02,0.087,355.364583,-0.02,-0.02,0.087,
09/30/2008,1105.434,,,-732.239,,373.195,,-345.047,,,,,8.859,,28.148,-80.064,87.32,90.535,-3.215,0.0,-7.256,-51.916,19.425,-32.491,0.0,,,-32.491,0.283,-32.208,0.0,0.0,-32.208,-32.208,40.351,355.393259,-0.09,-0.09,0.023,355.393259,-0.09,-0.09,0.023,
12/31/2008,1093.375,,,-711.04,,382.335,,-378.546,,,,,18.905,,3.789,-155.562,120.143,128.116,-7.973,,35.419,-151.773,40.167,-111.606,0.0,,,-111.606,0.286,-111.32,-13.638,-11.568,-136.526,-136.526,99.584,501.692862,-0.27,-0.27,-0.07,501.692862,-0.27,-0.27,-0.07,
03/31/2009,1079.062,1173.108,-94.046,-684.549,684.549,394.513,0.0,-358.234,121.303,121.303,0.254,139.249,21.01,76.418,36.279,-71.312,65.569,71.118,-5.549,,5.743,-35.033,-0.813,-35.846,0.0,0.0,0.0,-35.846,1.24,-34.606,-29.938,-23.136,-87.68,-45.608,43.312,647.802932,-0.14,-0.14,-0.06849,647.802932,-0.14,-0.14,-0.07314,
06/30/2009,1058.7,1142.994,-84.294,-63.234,63.234,995.466,0.0,-1166.811,123.8,123.8,0.01,143.633,20.707,878.661,-171.345,-61.406,62.179,64.871,-2.692,,-0.773,-232.751,54.488,-178.263,0.0,0.0,0.0,-178.263,2.323,-175.94,-23.172,-23.136,-222.248,-37.497,184.751,658.877256,-0.34,-0.34,-0.05691,658.877256,-0.34,-0.34,-0.059597,
09/30/2009,1141.144,1233.989,-92.845,-720.763,720.763,420.381,0.0,-357.999,127.189,127.189,0.08,148.677,29.272,52.781,62.382,-88.683,86.915,88.514,-1.599,,1.768,-26.301,-54.316,-80.617,0.0,0.0,0.0,-80.617,4.111,-76.506,-23.35,-23.136,-122.992,-98.328,28.775,660.24559,-0.19,-0.19,-0.1427,660.24559,-0.19,-0.19,-0.146418,
12/31/2009,1284.199,1379.353,-95.154,-799.508,799.508,484.691,0.0,-440.747,153.907,153.907,0.189,154.482,32.813,99.356,43.944,-122.486,96.085,97.367,-1.282,,26.401,-78.542,4.525,-74.017,0.0,0.0,0.0,-74.017,6.59,-67.427,-23.35,-23.137,-113.914,-32.354,88.15,660.247807,-0.17,-0.17,-0.039022,660.247807,-0.17,-0.17,-0.039022,
03/31/2010,1334.888,1442.846,-107.958,-826.996,826.996,507.892,0.0,-366.072,126.259,126.259,0.157,153.089,16.442,70.125,141.82,-80.804,76.532,78.165,-1.633,,4.272,61.016,-13.202,47.814,0.0,0.0,0.0,47.814,-30.233,17.581,-23.35,-23.136,-28.905,37.103,35.775,660.280641,-0.04,-0.04,0.010405,660.280641,-0.04,-0.04,0.010405,
06/30/2010,1594.476,1705.413,-110.937,-938.144,938.144,656.332,0.0,-489.557,172.919,172.919,0.676,170.694,18.711,126.557,166.775,-80.154,74.914,76.987,-2.073,,5.24,86.621,-8.073,78.548,0.0,0.0,0.0,78.548,-36.741,41.807,-23.35,-23.136,-4.679,118.898,86.836,660.364559,-0.01,-0.01,0.124412,660.364559,-0.01,-0.01,0.121497,
09/30/2010,1908.772,2046.376,-137.604,-1040.553,1040.553,868.219,0.0,-484.914,193.476,193.476,0.425,186.738,37.833,66.442,383.305,-89.31,74.062,76.723,-2.661,,15.248,293.995,-25.161,268.834,0.0,0.0,0.0,268.834,-54.337,214.497,-23.35,-23.136,168.011,272.61,50.262,660.836841,0.25,0.25,0.330298,789.156247,0.21,0.21,0.273691,
12/31/2010,2015.046,2123.302,-108.256,-1069.494,1069.494,945.552,0.0,-456.866,190.644,190.644,0.525,184.45,24.776,56.471,488.686,-74.413,72.358,74.938,-2.58,,2.055,414.273,-27.866,386.407,0.0,0.0,0.0,386.407,-60.898,325.509,-22.757,-29.716,273.036,348.01,14.076,688.139581,0.4,0.4,0.417229,806.346583,0.34,0.34,0.357457,
03/31/2011,2111.919,2206.511,-94.592,-87.245,87.245,2024.674,0.0,-1538.747,210.485,210.485,0.573,203.393,35.058,1089.238,485.927,-76.213,71.538,73.585,-2.047,,4.675,409.714,-45.211,364.503,0.0,0.0,0.0,364.503,-75.18,289.323,-19.598,-41.569,228.156,237.689,9.533,723.389226,0.32,0.32,0.328577,811.239242,0.28,0.28,0.291751,
06/30/2011,2345.096,2448.626,-103.53,-1203.305,1203.305,1141.791,0.0,-533.669,223.561,223.561,2.42,216.195,23.496,67.997,608.122,-64.656,66.564,70.592,-4.028,,-1.908,543.466,-54.374,489.092,0.0,0.0,0.0,489.092,-78.455,410.637,-19.219,-23.811,367.607,471.636,25.574,728.69514,0.5,0.5,0.539569,811.274706,0.45,0.45,0.481523,
09/30/2011,2409.375,2536.558,-127.183,-99.229,99.229,2310.146,0.0,-1677.59,240.672,240.672,3.308,210.214,33.953,1189.443,632.556,-75.009,68.392,70.761,-2.369,,6.617,557.547,-52.375,505.172,0.0,0.0,0.0,505.172,-80.293,424.879,-19.14,-52.108,353.631,370.277,16.646,729.773246,0.48,0.48,0.507386,812.543534,0.44,0.44,0.460486,
12/31/2011,2544.355,2670.639,-126.284,-1372.554,1372.554,1171.801,0.0,-508.519,162.206,162.206,5.008,197.935,57.949,85.421,663.282,-79.186,62.061,68.011,-5.95,,17.125,584.096,-59.744,524.352,0.0,0.0,0.0,524.352,-89.068,435.284,-5.967,-109.203,320.114,429.836,20.654,731.412225,0.44,0.44,0.465904,812.718294,0.39,0.39,0.415413,
03/31/2012,2762.742,2888.81,-126.068,-95.825,95.825,2666.917,0.0,-1959.363,218.717,218.717,1.198,204.692,52.218,1482.538,707.554,-65.274,59.024,64.672,-5.648,,6.25,642.28,-63.171,579.109,0.0,0.0,0.0,579.109,-80.167,498.942,0.0,0.0,498.942,568.623,69.681,760.437437,0.66,0.66,0.747758,818.797155,0.61,0.61,0.695102,
06/30/2012,2581.906,2713.053,-131.147,-1426.145,1426.145,1155.761,0.0,-758.033,259.038,259.038,6.797,230.497,58.374,203.327,397.728,-72.262,57.641,64.533,-6.892,,14.621,325.466,-39.085,286.381,0.0,0.0,0.0,286.381,-45.794,240.587,0.0,0.0,240.587,404.279,117.898,821.110555,0.29,0.29,0.436586,826.102326,0.29,0.29,0.432716,
09/30/2012,2709.482,2851.925,-142.443,-83.533,83.533,2625.949,0.0,-2091.854,268.832,268.832,4.201,236.552,72.805,1509.464,534.095,-55.764,58.116,62.292,-4.176,,-2.352,478.331,-33.351,444.98,0.0,0.0,0.0,444.98,-95.198,349.782,0.0,0.0,349.782,377.983,28.201,821.482154,0.43,0.43,0.460123,825.606248,0.42,0.42,0.454158,
12/31/2012,3077.002,3230.881,-153.879,-1710.613,1710.613,1366.389,0.0,-694.384,315.348,315.348,7.762,260.47,55.935,54.869,672.005,-55.506,60.531,67.067,-6.536,,-5.025,616.499,-45.156,571.343,0.0,0.0,0.0,571.343,-136.561,434.782,0.0,0.0,434.782,579.272,7.929,822.214678,0.53,0.53,0.538437,826.662036,0.53,0.53,0.538437,
03/31/2013,3302.719,3457.921,-155.202,-1787.807,1787.807,1514.912,0.0,-688.209,290.414,290.414,5.351,262.724,64.679,65.041,826.703,-67.147,65.039,68.832,-3.793,,2.108,759.556,-55.582,703.974,0.0,0.0,0.0,703.974,-132.013,571.961,0.0,0.0,571.961,578.567,6.606,823.367441,0.69,0.69,0.702684,827.452691,0.69,0.69,0.697984,
06/30/2013,3242.941,3404.573,-161.632,-1772.941,1772.941,1470.0,0.0,-689.359,307.869,307.869,6.002,261.156,62.058,52.274,780.641,-61.247,65.14,68.376,-3.236,,-3.893,719.394,-47.721,671.673,0.0,0.0,0.0,671.673,-141.92,529.753,0.0,0.0,529.753,676.53,4.857,823.974421,0.64,0.64,0.648819,827.901261,0.64,0.64,0.645867,
09/30/2013,3568.54,3759.126,-190.586,-1912.059,1912.059,1656.481,0.0,-741.655,380.865,380.865,3.487,258.947,55.371,42.985,914.826,-59.891,63.098,66.917,-3.819,,-3.207,854.935,-45.637,809.298,0.0,0.0,0.0,809.298,-182.554,626.744,0.0,0.0,626.744,677.777,51.033,823.200515,0.76,0.76,0.823344,826.96534,0.76,0.76,0.821711,
12/31/2013,3655.685,3872.816,-217.131,-2043.65,2043.65,1612.035,0.0,-725.962,350.592,350.592,0.969,264.993,55.678,53.73,886.073,-76.446,61.597,67.086,-5.489,,14.849,809.627,-39.896,769.731,0.0,0.0,0.0,769.731,-192.192,577.539,0.0,0.0,577.539,784.129,14.398,818.631514,0.71,0.71,0.723081,822.314351,0.7,0.7,0.717509,
03/31/2014,4010.384,4221.481,-211.097,-2139.875,2139.875,1870.509,0.0,-726.684,336.499,336.499,1.692,271.073,61.918,55.502,1143.825,-87.944,65.323,71.126,-5.803,,22.621,1055.881,-59.153,996.728,0.0,0.0,0.0,996.728,-220.543,776.185,0.0,0.0,776.185,792.198,16.013,814.766709,0.95,0.95,0.9723,817.537615,0.95,0.95,0.969587,
06/30/2014,3624.35,3827.024,-202.674,-1942.556,1942.556,1681.794,0.0,-720.334,327.532,327.532,4.217,274.056,49.669,64.86,961.46,-61.699,63.893,69.59,-5.697,,-2.194,899.761,-46.917,852.844,0.0,0.0,0.0,852.844,-181.41,671.434,0.0,0.0,671.434,686.135,14.701,807.038086,0.83,0.83,0.850189,809.224051,0.83,0.83,0.848167,
09/30/2014,3533.122,3748.958,-215.836,-1883.875,1883.875,1649.247,0.0,-677.826,341.501,341.501,3.043,261.088,31.103,41.091,971.421,-63.053,61.17,66.779,-5.609,,1.883,908.368,-47.869,860.499,0.0,0.0,0.0,860.499,-188.794,671.705,0.0,0.0,671.705,672.613,0.908,803.064834,0.84,0.84,0.839558,804.810589,0.83,0.83,0.833128,
12/31/2014,3415.993,3628.325,-212.332,-1779.114,1779.114,1636.879,0.0,-614.359,252.601,252.601,5.373,265.97,44.032,46.383,1022.52,-53.819,58.152,66.686,-8.534,,-4.333,968.701,-90.701,878.0,0.0,0.0,0.0,878.0,-156.695,721.305,0.0,0.0,721.305,728.823,7.518,799.851322,0.9,0.9,0.911198,801.465931,0.9,0.9,0.90938,
03/31/2015,3011.622,3199.463,-187.841,-1583.261,1583.261,1428.361,0.0,-717.246,324.478,324.478,1.533,263.76,57.35,70.125,711.115,-44.412,59.877,66.255,-6.378,,-15.465,666.703,-55.665,611.038,0.0,0.0,0.0,611.038,-99.115,511.923,0.0,0.0,511.923,529.573,17.65,797.935314,0.64,0.64,0.663679,798.87704,0.64,0.64,0.662094,
06/30/2015,2921.421,3091.971,-170.55,-1562.251,1562.251,1359.17,0.0,-669.86,315.602,315.602,2.348,258.077,36.056,57.777,689.31,-61.89,61.739,65.801,-4.062,,0.151,627.42,-45.929,581.491,0.0,0.0,0.0,581.491,-112.318,469.173,0.0,0.0,469.173,479.115,9.942,797.715773,0.59,0.59,0.600609,798.552917,0.59,0.59,0.600609,
09/30/2015,2893.683,3080.839,-187.156,-1499.334,1499.334,1394.349,0.0,-655.28,314.117,314.117,3.147,257.435,32.757,47.824,739.069,-48.529,64.804,66.962,-2.158,,-16.275,690.54,-72.347,618.193,0.0,0.0,0.0,618.193,-98.835,519.358,0.0,0.0,519.358,526.661,7.303,796.559738,0.65,0.65,0.661169,797.302248,0.65,0.65,0.65916,
12/31/2015,2861.735,3042.077,-180.342,-1472.244,1472.244,1389.491,0.0,-687.51,313.218,313.218,3.344,258.292,29.472,83.184,701.981,-64.762,63.715,66.202,-2.487,,1.047,637.219,-62.244,574.975,0.0,0.0,0.0,574.975,-109.193,465.782,0.0,0.0,465.782,489.016,23.234,794.963357,0.59,0.59,0.615143,795.653442,0.59,0.59,0.615143,
03/31/2016,2716.24,2894.546,-178.306,-1459.588,1459.588,1256.652,0.0,-671.022,299.2,299.2,2.377,269.423,45.397,54.625,585.63,-113.692,66.621,68.648,-2.027,,47.071,471.938,-63.025,408.913,0.0,0.0,0.0,408.913,-88.746,320.167,0.0,0.0,320.167,354.972,34.805,794.488858,0.4,0.4,0.446793,795.032018,0.4,0.4,0.443778,
06/30/2016,2650.081,2823.645,-173.564,-1355.562,1355.562,1294.519,0.0,-775.818,301.374,301.374,2.01,264.219,42.193,166.022,518.701,-69.553,62.035,64.037,-2.002,,7.518,449.148,-54.711,394.437,0.0,0.0,0.0,394.437,-66.471,327.966,0.0,0.0,327.966,429.267442,101.301442,794.580095,0.41,0.41,0.540244,795.050014,0.41,0.41,0.537415,
09/30/2016,2968.542,3180.713,-212.171,-1447.381,1447.381,1521.161,0.0,-801.584,330.112,330.112,2.371,287.479,51.03,130.592,719.577,-44.792,62.89,65.189,-2.299,,-18.098,674.785,-69.272,605.513,0.0,0.0,0.0,605.513,-92.156,513.357,0.0,0.0,513.357,597.544583,84.187583,794.659426,0.65,0.65,0.751951,795.136252,0.65,0.65,0.751951,
12/31/2016,3075.0,3297.0,-222.0,-1574.469,1574.469,1500.531,0.0,-831.531,353.314,353.314,2.0,328.0,34.38,113.837,669.0,-10.0,72.0,76.0,-4.0,,-62.0,659.0,-52.0,607.0,0.0,0.0,0.0,607.0,-98.0,509.0,0.0,0.0,509.0,543.4,34.4,794.778997,0.64,0.64,0.683712,795.077689,0.64,0.64,0.683266,
03/31/2017,3067.0,3067.0,,-1551.0,1551.0,1516.0,0.0,-752.0,339.0,339.0,3.0,331.0,32.0,47.0,764.0,-116.0,75.0,78.0,-3.0,,41.0,648.0,-69.0,579.0,0.0,0.0,0.0,579.0,-98.0,481.0,0.0,0.0,481.0,488.0,7.0,794.0,0.61,0.61,0.61461,795.0,0.61,0.61,0.61461,
06/30/2017,3109.0,3109.0,,-1529.0,1529.0,1580.0,0.0,-763.0,354.0,354.0,2.0,336.0,22.0,49.0,817.0,-100.0,75.0,79.0,-4.0,,25.0,717.0,-78.0,639.0,0.0,0.0,0.0,639.0,-93.0,546.0,0.0,0.0,546.0,553.0,7.0,792.0,0.69,0.69,0.698232,792.0,0.69,0.69,0.698232,
09/30/2017,3161.0,3161.0,,-1574.0,1574.0,1587.0,0.0,-732.0,359.0,359.0,3.0,274.0,23.0,73.0,855.0,-98.0,79.0,83.0,-4.0,,19.0,757.0,-73.0,684.0,0.0,0.0,0.0,684.0,-115.0,569.0,0.0,0.0,569.0,591.65,22.65,791.0,0.72,0.72,0.747977,792.0,0.72,0.72,0.747977,
12/31/2017,3391.0,3391.0,,-2059.0,2059.0,1332.0,0.0,-304.0,,,5.0,267.0,,32.0,1028.0,-96.0,82.0,87.0,-5.0,,14.0,932.0,429.0,1361.0,0.0,0.0,0.0,1361.0,-149.0,1212.0,0.0,0.0,1212.0,680.923076,-531.076924,790.0,1.53,1.53,0.861928,791.0,1.53,1.53,0.858601,
03/31/2018,3579.0,3579.0,,-1754.0,1754.0,1825.0,0.0,-667.0,345.0,345.0,3.0,273.0,-16.0,62.0,1158.0,-113.0,84.0,89.0,-5.0,,29.0,1045.0,571.0,1616.0,0.0,0.0,0.0,1616.0,-160.0,1456.0,0.0,0.0,1456.0,794.763158,-661.236842,789.0,1.85,1.85,1.007304,790.0,1.84,1.84,1.002991,
06/30/2018,3303.0,3303.0,,-1706.0,1706.0,1597.0,0.0,-800.0,368.0,368.0,2.0,283.0,7.0,140.0,797.0,-40.0,84.0,93.0,-9.0,,-44.0,757.0,-81.0,676.0,0.0,0.0,0.0,676.0,-120.0,556.0,0.0,0.0,556.0,654.769239,98.769239,789.0,0.7,0.7,0.829872,790.0,0.7,0.7,0.825024,
09/30/2018,3372.0,3372.0,,-1722.0,1722.0,1650.0,0.0,-728.0,366.0,366.0,4.0,292.0,5.0,61.0,922.0,-140.0,104.0,126.0,-22.0,,36.0,782.0,-83.0,699.0,0.0,0.0,0.0,699.0,-128.0,571.0,0.0,0.0,571.0,627.73913,56.73913,786.0,0.73,0.73,0.79865,787.0,0.73,0.73,0.79865,
12/31/2018,3475.0,3475.0,,-2205.0,2205.0,1270.0,0.0,-396.0,,,3.0,298.0,,95.0,874.0,-132.0,115.0,138.0,-23.0,,17.0,742.0,-782.0,-40.0,0.0,0.0,0.0,-40.0,-130.0,-170.0,0.0,0.0,-170.0,602.192976,772.192976,780.0,-0.22,-0.22,0.772042,780.0,-0.22,-0.22,0.769991,
03/31/2019,3646.0,3646.0,,-1824.0,1824.0,1822.0,0.0,-851.0,369.0,369.0,5.0,310.0,4.0,163.0,971.0,-142.0,121.0,141.0,-20.0,,21.0,829.0,-85.0,744.0,0.0,0.0,0.0,744.0,-162.0,582.0,0.0,0.0,582.0,687.390934,105.390934,774.0,0.75,0.75,0.888102,775.0,0.75,0.75,0.885988,
06/30/2019,3334.0,3334.0,,-1689.0,1689.0,1645.0,0.0,-751.0,376.0,376.0,4.0,303.0,7.0,61.0,894.0,450.0,126.0,143.0,-17.0,,-576.0,1344.0,-236.0,1108.0,0.0,0.0,0.0,1108.0,-154.0,954.0,0.0,0.0,954.0,562.47331,-391.52669,772.0,1.24,1.24,0.728592,772.0,1.24,1.24,0.728592,
09/30/2019,3250.0,3250.0,,-1602.0,1602.0,1648.0,0.0,-749.0,364.0,364.0,4.0,298.0,4.0,79.0,899.0,-148.0,117.0,137.0,-20.0,,31.0,751.0,-82.0,669.0,0.0,0.0,0.0,669.0,-136.0,533.0,0.0,0.0,533.0,572.2,39.2,769.0,0.69,0.69,0.744083,769.0,0.69,0.69,0.740975,
12/31/2019,3509.0,3509.0,,-2125.0,2125.0,1384.0,0.0,-450.0,393.0,393.0,11.0,305.0,,-259.0,934.0,-86.0,117.0,134.0,-17.0,,-31.0,848.0,-65.0,783.0,0.0,0.0,0.0,783.0,-154.0,629.0,0.0,0.0,629.0,678.523812,49.523812,767.0,0.82,0.82,0.884646,768.0,0.82,0.82,0.884484,
03/31/2020,1782.0,1782.0,,-1011.0,1011.0,771.0,0.0,-716.0,319.0,319.0,6.0,304.0,18.0,69.0,55.0,-81.0,118.0,131.0,-13.0,,-37.0,-26.0,-25.0,-51.0,0.0,0.0,0.0,-51.0,50.0,-1.0,0.0,0.0,-1.0,9.952381,10.952381,764.0,0.0,0.0,0.013027,764.0,0.0,0.0,0.013027,
06/30/2020,98.0,98.0,,-372.0,372.0,-274.0,0.0,-648.0,262.0,262.0,9.0,298.0,17.0,62.0,-922.0,-117.0,114.0,118.0,-4.0,,3.0,-1039.0,54.0,-985.0,0.0,0.0,0.0,-985.0,165.0,-820.0,0.0,0.0,-820.0,-811.857143,8.142857,764.0,-1.07,-1.07,-1.06264,764.0,-1.07,-1.07,-1.06264,
09/30/2020,916.636,,,,,-340.4386104,,,,,,,,,-331.225,,,,,,,-543.0,,-362.833,,,,,,-362.833,,,-362.833,-382.0,,,-0.46,-0.46,-0.516,,-0.46,-0.46,-0.516,
12/31/2020,1970.091,,,,,394.05760182,,,,,,,,,142.8,,,,,,,-65.296,,56.967,,,,,,56.967,,,56.967,2.19,,,0.015,0.015,0.04,,0.015,0.015,0.04,
