Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2007,7961.2,405.2,397.6,7.6,312.8,312.8,,37.0,37.0,0.0,0.0,0.0,101.8,,,,,,,856.8,3917.3,,,0.0,,3187.1,3053.8,1965.0,1088.8,133.3,7104.4,,169.9,169.9,,,,39.5,39.5,0.0,0.0,,,423.4,,,423.4,632.8,5449.1,5449.1,0.0,0.0,,1419.2,,,,1419.2,6868.3,7501.1,0.0,558.2,,,0.0,50.8,-148.9,460.1,0.0,460.1,7961.2,
06/30/2007,8006.4,483.8,483.8,0.0,311.1,311.1,,44.3,44.3,0.0,0.0,0.0,109.8,,,,,,,949.0,3893.7,,,0.0,,3163.7,3041.4,1965.0,1076.4,122.3,7057.4,,156.1,156.1,,,,49.3,49.3,0.0,0.0,,,476.5,,,476.5,681.9,5439.5,5439.5,0.0,0.0,,1411.5,,,,1411.5,6851.0,7532.9,0.0,562.7,,,0.0,47.3,-136.5,473.5,0.0,473.5,8006.4,
09/30/2007,8297.4,67.9,67.9,0.0,350.8,350.8,,34.8,0.0,0.0,0.0,0.0,144.2,,,,,,,597.7,4073.9,,,0.0,,3625.8,3495.4,2284.9,1210.5,130.4,7699.7,,160.4,160.4,,,,65.2,65.2,0.0,0.0,,,439.0,,,439.0,664.6,5633.7,5633.7,0.0,0.0,,1538.3,,,,1538.3,7172.0,7836.6,0.0,565.5,,,0.0,45.9,-150.6,460.8,0.0,460.8,8297.4,
12/31/2007,8241.2,72.0,72.0,,320.7,320.7,,29.6,29.6,0.0,0.0,0.0,106.1,,,,,,,528.4,4030.3,9207.9,-5177.6,0.0,,3682.5,3408.3,2224.2,1184.1,274.2,7712.8,,158.1,158.1,,,,24.3,24.3,0.0,0.0,,,495.9,,,495.9,678.3,5331.2,5331.2,0.0,0.0,,1531.9,,,,1531.9,6863.1,7541.4,0.0,286.8,,,0.0,516.0,-103.0,699.8,0.0,699.8,8241.2,
03/31/2008,8142.9,53.5,53.5,0.0,329.4,329.4,,30.8,,,,,85.0,,,,,,,498.7,3986.5,,,0.0,,3657.7,3461.0,2276.4,1184.6,196.7,7644.2,,163.1,163.1,,,,24.3,,,,,,427.7,,,427.7,615.1,5342.9,,,,,1589.9,,,,1589.9,6932.8,7547.9,0.0,190.2,,,0.0,527.9,-123.1,595.0,0.0,595.0,8142.9,
06/30/2008,8040.5,59.6,59.6,0.0,322.2,322.2,,29.6,,,,,88.3,,,,,,,499.7,3935.2,,,,,3605.6,3381.4,2224.2,1157.2,224.2,7540.8,,140.0,140.0,,,,24.3,,,,,,475.2,,,475.2,639.5,5344.7,,,,,1554.0,,,,1554.0,6898.7,7538.2,0.0,94.5,,,0.0,520.1,-112.3,502.3,0.0,502.3,8040.5,
09/30/2008,8060.2,111.6,111.6,,329.1,329.1,,31.0,,,,,87.9,,,,,,,559.6,3911.4,,,,,3589.2,3368.7,2224.2,1144.5,220.5,7500.6,,149.9,149.9,,,,24.3,,,,,,437.1,,,437.1,611.3,5371.4,,,,,1536.9,,,,1536.9,6908.3,7519.6,0.0,96.6,,,0.0,516.1,-72.1,540.6,0.0,540.6,8060.2,
12/31/2008,8009.3,296.6,296.6,,316.6,316.6,,30.8,,,,,64.7,,,,,,,708.7,3897.1,9470.9,-5573.8,,,3403.5,3330.4,2198.2,1132.2,73.1,7300.6,,134.0,134.0,,,,24.3,,,,,,507.0,,,507.0,665.3,5358.2,,,,,1733.5,,,,1733.5,7091.7,7757.0,0.0,101.5,,,0.0,487.4,-336.6,252.3,0.0,252.3,8009.3,
03/31/2009,7905.0,312.2,312.2,0.0,287.9,287.9,0.0,24.1,,,,,63.0,,,,,,40.8,687.2,3835.3,,,0.0,,3382.5,3310.3,2198.2,1112.1,72.2,7217.8,,364.2,117.0,71.8,175.4,,24.2,0.0,,,,24.2,182.6,,,29.2,571.0,5355.1,5355.1,,,,1755.7,,,1105.3,650.4,7110.8,7681.8,0.0,83.6,,,0.0,466.1,-326.5,223.2,0.0,223.2,7905.0,
06/30/2009,7789.5,245.4,245.4,0.0,296.2,296.2,0.0,31.0,,,,,56.1,,,,,,37.1,628.7,3798.8,,,0.0,,3362.0,3290.1,2198.2,1091.9,71.9,7160.8,,415.5,119.8,54.4,241.3,,24.2,0.0,,,,24.2,187.3,,,63.6,627.0,5202.0,5202.0,,,,1734.1,,,1111.4,622.7,6936.1,7563.1,0.0,77.4,,,0.0,447.7,-298.7,226.4,0.0,226.4,7789.5,
09/30/2009,7768.1,290.0,290.0,0.0,294.7,294.7,0.0,23.5,,,,,70.4,,,,,,53.9,678.6,3751.8,,,0.0,,3337.7,3271.0,2198.2,1072.8,66.7,7089.5,,347.9,131.9,43.1,172.9,,24.1,0.0,,,,24.1,200.1,,,152.8,572.1,5199.0,5199.0,,,,1807.2,,,1177.7,629.5,7006.2,7578.3,0.0,63.6,,,0.0,419.0,-292.8,189.8,0.0,189.8,7768.1,
12/31/2009,9145.4,1062.9,1062.9,0.0,291.7,291.7,0.0,26.1,,,,,75.3,16.3,0.0,0.0,,,37.3,1456.0,3992.6,9985.7,-5993.1,0.0,,3696.8,3597.7,2344.4,1253.3,99.1,7689.4,,446.5,120.7,60.6,265.2,0.0,23.8,0.0,0.0,0.0,,23.8,239.0,0.0,0.0,121.6,709.3,6271.4,6271.4,0.0,0.0,,1904.0,0.0,354.6,1372.0,177.4,8175.4,8884.7,0.0,83.6,,,0.0,385.4,-208.3,260.7,0.0,260.7,9145.4,
03/31/2010,9327.4,580.1,580.1,0.0,321.0,321.0,0.0,31.9,,,,,83.4,,,,,,56.1,1016.4,4167.2,,,0.0,,4143.8,4048.4,2639.9,1408.5,95.4,8311.0,,489.0,178.7,87.6,222.7,,28.3,0.0,,,,28.3,204.1,,,80.9,721.4,6266.7,6266.7,,,,1936.4,,,1412.5,523.9,8203.1,8924.5,0.0,268.1,,,0.0,345.4,-210.6,402.9,0.0,402.9,9327.4,
06/30/2010,10087.2,53.5,53.5,0.0,343.0,343.0,0.0,35.1,,,,,146.5,,,47.6,,,69.4,578.1,4468.4,,,0.0,,5040.7,4932.6,3208.3,1724.3,108.1,9509.1,,534.3,182.3,81.3,270.7,,28.1,0.0,,,,28.1,224.2,,,96.1,786.6,6564.0,6564.0,,,,2094.8,,,1541.3,553.5,8658.8,9445.4,0.0,551.0,0.1,550.9,0.0,303.5,-212.7,641.8,0.0,641.8,10087.2,
09/30/2010,10132.2,155.2,155.2,0.0,348.5,348.5,0.0,33.6,,,,,169.5,,,40.0,,,108.2,706.8,4438.7,,,0.0,,4986.7,4870.0,3187.9,1682.1,116.7,9425.4,,436.9,137.2,71.3,228.4,,130.5,0.0,0.0,0.0,,130.5,297.2,,,165.9,864.6,6555.8,6555.8,0.0,0.0,,2096.4,,,1563.9,532.5,8652.2,9516.8,0.0,556.2,0.1,556.1,0.0,267.8,-208.6,615.4,0.0,615.4,10132.2,
12/31/2010,11303.9,42.3,42.3,0.0,373.9,373.9,0.0,52.5,,,,,219.0,62.9,0.0,50.6,,0.0,60.7,687.7,4764.2,11254.2,-6490.0,0.0,,5852.0,5709.7,3671.2,2038.5,142.3,10616.2,,533.0,151.3,81.3,300.4,0.0,139.2,0.0,,,,139.2,317.8,0.0,0.0,206.5,990.0,7186.6,7186.6,,,,2296.3,0.0,384.4,1696.2,215.7,9482.9,10472.9,0.0,855.1,0.1,855.0,0.0,0.0,-24.1,831.0,0.0,831.0,11303.9,
03/31/2011,11342.8,35.8,35.8,0.0,370.5,370.5,0.0,45.4,,,,,249.5,83.5,,50.6,,,74.8,701.2,4782.8,,,0.0,,5858.8,5696.7,3721.3,1975.4,162.1,10641.6,,484.4,170.5,75.4,238.5,,137.7,0.0,0.0,0.0,,137.7,301.3,,,204.8,923.4,7285.3,7285.3,0.0,0.0,,2329.3,,,1819.8,509.5,9614.6,10538.0,0.0,894.3,0.1,894.2,0.0,110.2,-199.7,804.8,0.0,804.8,11342.8,
06/30/2011,11329.2,52.1,52.1,0.0,371.7,371.7,0.0,56.4,,,,,233.0,76.6,,51.2,,,71.6,713.2,4804.2,,,0.0,,5811.8,5646.7,3724.3,1922.4,165.1,10616.0,,519.1,172.0,85.1,262.0,,142.7,0.0,,,,142.7,289.1,,,178.0,950.9,7224.5,7224.5,,,,2353.4,,,1864.7,488.7,9577.9,10528.8,0.0,900.7,0.1,900.6,0.0,75.9,-176.2,800.4,0.0,800.4,11329.2,
09/30/2011,11419.1,34.3,34.3,0.0,386.2,386.2,0.0,60.8,,,,,342.1,126.6,,50.6,,,72.3,823.4,4825.6,,,0.0,,5770.1,5592.5,3720.4,1872.1,177.6,10595.7,,533.7,171.7,90.8,271.2,,44.8,0.0,,,,44.8,297.1,,,168.9,875.6,7296.6,7296.6,,,,2424.3,,,2003.6,420.7,9720.9,10596.5,0.0,982.1,0.1,982.0,0.0,18.6,-178.1,822.6,0.0,822.6,11419.1,
12/31/2011,14392.1,227.0,227.0,0.0,657.4,657.4,0.0,76.5,,,,,557.5,15.3,0.0,61.4,,124.1,124.6,1518.4,5709.2,12764.6,-7055.4,0.0,,7164.5,6987.0,4301.7,2685.3,177.5,12873.7,,723.7,296.0,117.9,309.8,0.0,213.7,0.0,,,,213.7,525.6,0.0,0.0,406.4,1463.0,8936.7,8936.7,,,,2497.1,0.0,373.9,1849.8,273.4,11433.8,12896.8,0.0,1493.4,0.1,1493.3,0.0,0.0,1.9,1495.3,0.0,1495.3,14392.1,
03/31/2012,13966.4,64.2,64.2,0.0,603.9,603.9,0.0,68.2,,,,,396.5,13.6,,6.5,,3.0,189.9,1132.8,5718.2,,,0.0,,7115.4,6947.2,4357.0,2590.2,168.2,12833.6,,760.6,330.3,103.3,327.0,,66.1,0.0,,,,66.1,453.4,,,338.8,1280.1,8788.0,8788.0,,,,2472.2,,,1841.6,630.6,11260.2,12540.3,0.0,1419.5,0.1,1419.4,0.0,,6.6,1426.1,0.0,1426.1,13966.4,
06/30/2012,13927.2,37.5,37.5,0.0,595.7,595.7,0.0,70.7,,,,,408.0,19.7,,0.0,,2.1,218.2,1111.9,5759.5,,,0.0,,7055.8,6888.7,4409.0,2479.7,167.1,12815.3,,717.2,306.2,115.4,295.6,,65.8,0.0,,,,65.8,518.7,,,406.0,1301.7,8794.3,8794.3,,,,2493.8,,,1853.5,640.3,11288.1,12589.8,0.0,1332.0,0.1,1331.9,0.0,0.0,5.4,1337.4,0.0,1337.4,13927.2,
09/30/2012,14028.4,114.8,114.8,0.0,632.9,632.9,0.0,74.4,,,,,391.4,22.7,,0.0,,1.9,240.8,1213.5,5824.9,,,0.0,,6990.0,6805.6,4411.6,2394.0,184.4,12814.9,,761.7,320.0,114.4,327.3,,1182.5,0.0,,,,1182.5,498.2,,,369.7,2442.4,7848.3,7848.3,,,,2493.1,,,1835.7,657.4,10341.4,12783.8,0.0,1245.2,0.1,1245.1,0.0,0.0,-0.6,1244.6,0.0,1244.6,14028.4,
12/31/2012,13982.0,132.0,132.0,0.0,609.0,609.0,0.0,75.0,,,,,494.5,23.3,0.0,15.7,,,206.1,1310.5,5861.8,13826.8,-7965.0,0.0,,6809.7,6642.7,4331.4,2311.3,167.0,12671.5,,730.5,363.7,104.3,262.5,0.0,866.0,0.0,,,,866.0,571.4,0.0,91.2,542.4,2167.9,8099.8,8099.8,,,,2609.5,0.0,419.5,1896.8,202.0,10709.3,12877.2,0.0,1098.4,0.1,1098.3,0.0,0.0,6.4,1104.8,0.0,1104.8,13982.0,
03/31/2013,13723.5,54.4,54.4,0.0,594.1,594.1,0.0,71.4,,,,,394.7,26.6,,,,,223.1,1114.6,5858.2,,,0.0,,6750.7,6577.8,4340.9,2236.9,172.9,12608.9,,707.7,301.5,96.2,310.0,,888.0,0.0,,,,888.0,509.2,,,394.4,2104.9,8108.7,8108.7,,,,2486.0,,,1815.2,670.8,10594.7,12699.6,0.0,1023.2,0.1,1023.1,0.0,0.0,0.7,1023.9,0.0,1023.9,13723.5,
06/30/2013,13638.9,78.3,78.3,0.0,613.5,613.5,0.0,69.9,,,,,352.1,23.1,,,,,204.1,1113.8,5835.4,,,0.0,,6689.7,6503.9,4340.9,2163.0,185.8,12525.1,,712.0,329.9,103.3,278.8,0.0,76.8,0.0,,,,76.8,543.6,,,462.6,1332.4,8867.9,8867.9,,,,2492.5,,,1827.0,665.5,11360.4,12692.8,0.0,921.6,0.1,921.5,0.0,0.0,24.5,946.1,0.0,946.1,13638.9,
09/30/2013,13486.7,73.4,73.4,0.0,634.8,634.8,0.0,68.5,,,,,307.9,19.0,,,,,192.7,1084.6,5781.0,,,0.0,,6621.1,6431.4,4340.9,2090.5,189.7,12402.1,,797.6,389.5,104.3,303.8,,86.0,0.0,,,,86.0,552.1,,,469.0,1435.7,8760.8,8760.8,,,,2435.4,,,1810.4,625.0,11196.2,12631.9,0.0,835.8,0.1,835.7,0.0,0.0,19.0,854.8,0.0,854.8,13486.7,
12/31/2013,13444.6,48.2,48.2,0.0,635.3,635.3,0.0,67.7,,,,,433.6,,0.0,,,,192.1,1184.8,5702.6,14627.4,-8924.8,0.0,,6557.2,6351.5,4331.4,2020.1,205.7,12259.8,,744.7,385.9,104.2,254.6,0.0,85.0,0.0,,,,85.0,615.9,0.0,41.8,585.9,1445.6,8622.2,8622.2,,,,2536.6,0.0,195.6,2038.3,260.9,11158.8,12604.4,0.0,811.7,0.1,811.6,0.0,0.0,28.5,840.2,0.0,840.2,13444.6,
03/31/2014,13239.8,70.0,70.0,0.0,632.7,632.7,0.0,70.4,,,,,370.3,24.1,,,,,178.7,1143.4,5610.1,,,0.0,,6486.3,6285.9,4331.4,1954.5,200.4,12096.4,,766.9,355.9,89.0,322.0,,88.7,0.0,,,,88.7,572.0,,,572.0,1427.6,8617.6,8617.6,,,,2471.9,,,1968.0,503.9,11089.5,12517.1,0.0,703.4,0.1,703.3,0.0,0.0,19.3,722.7,0.0,722.7,13239.8,
06/30/2014,12985.7,54.8,54.8,0.0,630.9,630.9,0.0,64.5,,,,,280.8,17.4,,,,,164.7,1031.0,5540.7,,,0.0,,6414.0,6220.8,4331.4,1889.4,193.2,11954.7,,710.9,361.4,95.0,254.5,,92.5,0.0,,,,92.5,601.9,,,601.9,1405.3,8593.1,8593.1,,,,2397.1,,,1897.9,499.2,10990.2,12395.5,0.0,574.7,0.1,574.6,0.0,0.0,15.5,590.2,0.0,590.2,12985.7,
09/30/2014,12831.6,103.7,103.7,0.0,617.3,617.3,0.0,68.1,,,,,239.0,21.0,,,,,147.8,1028.1,5456.3,,,0.0,,6347.2,6157.1,4331.4,1825.7,190.1,11803.5,,776.6,356.5,97.6,322.5,,92.5,0.0,,,,92.5,534.8,,,462.2,1403.9,8568.6,8568.6,,,,2400.2,,,1872.5,527.7,10968.8,12372.7,0.0,437.8,0.1,437.7,0.0,0.0,21.1,458.9,0.0,458.9,12831.6,
12/31/2014,12520.3,27.8,27.8,0.0,635.5,635.5,0.0,63.7,,,,,171.3,,0.4,,,,171.3,898.3,5412.3,15338.0,-9925.7,0.0,,6209.7,6116.8,4352.8,1764.0,92.5,11622.0,,753.4,403.3,95.2,254.9,0.0,717.5,0.0,,,,717.5,572.1,0.0,77.2,572.1,2043.0,7927.5,7927.5,,,,2325.0,0.0,317.0,1773.2,157.6,10252.5,12295.5,0.0,252.2,,,0.0,-39.5,12.1,224.8,0.0,224.8,12520.3,
03/31/2015,12619.1,74.0,74.0,0.0,658.5,658.5,0.0,63.0,,,,,270.4,,,,,,178.7,1065.9,5315.0,,,0.0,,6238.2,6063.3,4352.8,1710.5,174.9,11553.2,,738.4,332.0,84.3,322.1,,92.5,0.0,,,,92.5,525.4,,,525.4,1356.3,8728.1,8728.1,,,,2439.7,,,1828.8,610.9,11167.8,12524.1,0.0,87.0,0.1,86.9,0.0,0.0,8.0,95.0,0.0,95.0,12619.1,
06/30/2015,13204.4,47.0,47.0,0.0,665.7,665.7,0.0,73.1,,,,,328.4,,,,,,162.1,1114.2,5291.7,,,0.0,,6798.5,5980.9,4340.0,1640.9,817.6,12090.2,,559.1,369.6,93.1,96.4,,148.7,0.0,,,,148.7,509.3,,,509.3,1217.1,10683.3,10683.3,,,,869.0,,,382.5,486.5,11552.3,12769.4,0.0,675.9,0.1,675.8,0.0,-145.4,-95.5,435.0,0.0,435.0,13204.4,
09/30/2015,13004.4,97.2,97.2,0.0,657.3,657.3,0.0,81.0,,,,,287.5,,0.0,,,,158.7,1123.0,5329.7,,,,,6551.7,5926.2,4340.0,1586.2,625.5,11881.4,,614.6,366.7,93.2,154.7,,152.3,0.0,,,,152.3,530.8,,40.4,511.6,1297.7,10701.0,10701.0,,,,831.4,,,322.8,468.2,11532.4,12830.1,0.0,638.6,,,0.0,-152.6,-311.7,174.3,0.0,174.3,13004.4,
12/31/2015,12518.1,31.3,31.3,0.0,643.9,643.9,0.0,79.5,,,,,120.6,,0.0,,,,120.6,875.3,5279.8,16095.3,-10815.5,549.2,549.2,5813.8,5718.3,4213.6,1504.7,95.5,11642.8,,592.6,430.1,84.1,78.4,,158.6,0.0,152.7,152.7,,5.9,515.9,,33.4,497.6,1267.1,10165.0,5164.6,5000.4,5000.4,,779.6,,313.5,287.4,145.3,10944.6,12211.7,0.0,602.9,0.00967,602.89033,0.0,-12.1,-284.4,306.4,0.0,306.4,12518.1,
03/31/2016,12611.2,74.6,74.6,0.0,636.1,636.1,0.0,79.4,,,,,149.9,,57.1,,,,149.9,940.0,5255.7,,,653.8,653.8,5761.7,5670.8,4213.6,1457.2,33.8,11671.2,,513.3,323.6,71.6,118.1,,168.5,0.0,156.6,156.6,,11.9,467.8,,,467.8,1149.6,10392.9,5433.1,4959.8,4959.8,,731.0,,,254.9,476.1,11123.9,12273.5,0.0,587.6,,,0.0,-244.0,-5.9,337.7,0.0,337.7,12611.2,
06/30/2016,11821.6,41.6,41.6,0.0,628.5,628.5,0.0,70.7,,,,,130.9,,,,,,130.9,871.7,5239.3,,,0.0,0.0,5710.6,5625.0,4213.6,1411.4,85.6,10949.9,,484.8,342.2,76.3,66.3,,172.3,0.0,160.4,160.4,,11.9,462.9,,,462.9,1120.0,9650.0,4731.6,4918.4,4918.4,,722.4,,,241.4,481.0,10372.4,11492.4,0.0,578.7,,,0.0,-242.5,-7.0,329.2,0.0,329.2,11821.6,
09/30/2016,11823.6,61.4,61.4,0.0,649.7,649.7,0.0,80.3,,,,,129.6,,,,,,129.6,921.0,5238.8,,,0.0,0.0,5663.8,5578.9,4213.6,1365.3,84.9,10902.6,,498.5,327.8,77.6,93.1,,177.9,0.0,164.5,164.5,,13.4,472.0,,44.1,456.6,1148.4,9728.4,4852.7,4875.7,4875.7,,696.5,,,199.7,452.7,10424.9,11573.3,0.0,569.3,0.00961,569.29039,0.0,-308.7,-10.3,250.3,0.0,250.3,11823.6,
12/31/2016,11770.0,59.1,59.1,0.0,618.6,618.6,0.0,77.5,,,,,111.7,,6.3,,0.0,,111.7,866.9,5283.5,16990.4,-11706.9,0.0,0.0,5619.6,5534.1,4213.6,1320.5,79.2,10903.1,,526.3,390.2,78.0,58.1,,183.6,0.0,168.7,168.7,,14.9,544.7,,21.9,531.3,1254.6,9680.6,4848.7,4831.9,4831.9,,664.8,,343.8,151.5,147.6,10345.4,11600.0,0.0,559.7,0.00963,559.69037,0.0,-395.6,5.9,170.0,0.0,170.0,11770.0,
03/31/2017,12904.2,51.5,51.5,0.0,654.8,654.8,0.0,87.0,,,,,169.8,,10.8,,,,169.8,963.1,5575.6,,,0.0,,6365.5,6267.9,4690.2,1577.7,86.8,11941.1,,512.7,335.8,80.9,96.0,,192.2,0.0,172.9,172.9,,19.3,596.1,,19.1,581.5,1301.0,10246.9,5459.8,4787.1,4787.1,,633.9,,,98.2,516.6,10880.8,12181.8,0.0,1220.5,0.01904,1220.48096,0.0,-506.9,8.8,722.4,0.0,722.4,12904.2,
06/30/2017,12706.2,24.7,24.7,0.0,659.7,659.7,0.0,90.4,,,,,152.1,,7.5,,53.5,,152.1,926.9,5558.2,,,0.0,,6221.1,6077.9,4571.1,1506.8,82.2,11779.3,,484.7,340.4,85.3,59.0,,197.1,0.0,177.8,177.8,,19.3,546.0,,19.9,532.9,1227.8,10300.5,5559.9,4740.6,4740.6,,547.7,,,0.0,527.8,10848.2,12076.0,0.0,1198.0,,,0.0,-575.0,7.2,630.2,0.0,630.2,12706.2,
