Date,Revenue,Sales & Services Revenue,Financing Revenue,Cost of Revenue,Cost of Goods & Services,Cost of Financing Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2001,5056,,,-3830.0,,,1226.0,0.0,-885.0,638.0,,247.0,341.0,-42.0,,69.0,,,,-23.0,299.0,-94.0,205.0,0.0,,,205.0,0.0,205,0.0,0.0,205,205.0,,686.64,0.3,0.3,0.3,695.038,0.295,0.295,0.295,
12/31/2001,5096,,,-3805.0,,,1291.0,,-1088.0,,,,203.0,34.0,,63.0,,,,-97.0,237.0,-70.0,167.0,0.0,,,167.0,0.0,167,0.0,0.0,167,167.0,,686.598,0.245,0.245,0.385,694.136,0.24,0.24,0.38,
03/31/2002,4409,,,-3548.0,,,861.0,,-691.0,,,,170.0,-54.0,69.0,69.0,,,,-15.0,116.0,-36.0,80.0,0.0,,,80.0,0.0,80,0.0,0.0,80,80.0,,687.184,0.115,0.115,0.115,695.474,0.115,0.115,0.115,
06/30/2002,5291,,,-3991.0,,,1300.0,0.0,-907.0,620.0,,287.0,393.0,-104.0,,71.0,,,,27.0,289.0,-89.0,200.0,0.0,,,200.0,0.0,200,0.0,0.0,200,200.0,,688.02,0.29,0.29,0.29,696.364,0.29,0.29,0.29,
09/30/2002,5075,,,-3933.0,,,1142.0,,-818.0,,,,324.0,-40.0,66.0,66.0,,,,-26.0,284.0,-71.0,213.0,0.0,,,213.0,0.0,213,0.0,0.0,213,213.0,,688.344,0.31,0.31,0.31,692.45,0.305,0.305,0.305,
12/31/2002,5377,,,-4195.0,,,1182.0,,-745.0,,,,437.0,-15.671,-4.795,73.0,,-0.329,,20.795,421.329,-116.0,305.0,0.0,,,305.329,0.0,305,0.0,0.0,305,305.0,,688.436,0.445,0.445,0.445,692.636,0.44,0.44,0.44,
03/31/2003,4821,,,-3750.0,,,1071.0,,-849.0,,,,222.0,-44.0,66.0,66.0,,,,-22.0,178.0,-49.0,129.0,0.0,,,129.0,0.0,129,0.0,0.0,129,129.0,,688.632,0.185,0.185,0.185,693.652,0.185,0.185,0.185,
06/30/2003,5932,,,-4447.0,,,1485.0,,-899.0,,,,586.0,-32.0,65.0,65.0,,,,-33.0,554.0,-155.0,399.0,0.0,,,399.0,0.0,399,0.0,0.0,399,399.0,,689.338,0.58,0.58,0.58,696.836,0.575,0.575,0.575,
09/30/2003,5545,,,-4259.0,,,1286.0,,-901.0,,,,385.0,-94.0,61.0,61.0,,,,33.0,291.0,-69.0,222.0,0.0,,,222.0,0.0,222,0.0,0.0,222,222.0,40.0,692.5,0.32,0.32,0.38,712.178,0.31,0.31,0.365,
12/31/2003,6465,,,-4959.0,,,1506.0,,-1007.0,,,,499.0,-25.0,54.0,54.0,,,,-29.0,474.0,-125.0,349.0,0.0,,,349.0,0.0,349,0.0,0.0,349,349.0,,691.846,0.505,0.505,0.505,717.302,0.485,0.485,0.485,
03/31/2004,6467,,,-4817.0,,,1650.0,,-1076.0,,,,574.0,-4.0,57.0,57.0,,,,-53.0,570.0,-158.0,412.0,0.0,,,412.0,0.0,412,0.0,0.0,412,412.0,,685.224,0.6,0.6,0.6,711.472,0.58,0.58,0.58,
06/30/2004,7564,,,-5670.0,,,1894.0,,-1131.0,,,,763.0,-2.0,59.0,59.0,,,,-57.0,761.0,-209.0,552.0,0.0,,,552.0,0.0,552,0.0,0.0,552,552.0,,684.8,0.805,0.805,0.805,709.6,0.775,0.775,0.775,
09/30/2004,7659,,,-5875.0,,,1784.0,,-1121.0,,,,663.0,17.0,60.0,60.0,,,,-77.0,680.0,-182.0,498.0,0.0,,,498.0,0.0,498,0.0,0.0,498,498.0,,683.6,0.73,0.73,0.73,706.0,0.7,0.7,0.7,
12/31/2004,8584,,,-6642.0,,,1942.0,,-1259.0,,,,683.0,50.0,54.0,54.0,,,,-104.0,733.0,-182.0,551.0,0.0,,,551.0,0.0,551,0.0,0.0,551,551.0,,684.0,0.81,0.81,0.81,712.2,0.77,0.77,0.77,
03/31/2005,8339,,,-6385.0,,,1954.0,,-1198.0,,,,756.0,57.0,65.0,65.0,,,,-122.0,813.0,-232.0,581.0,0.0,,,581.0,0.0,581,0.0,0.0,581,581.0,,684.2,0.85,0.85,0.85,713.2,0.815,0.815,0.815,
06/30/2005,9360,,,-7074.0,,,2286.0,,-1265.0,,,,1021.0,54.0,65.0,65.0,,,,-119.0,1075.0,-315.0,760.0,0.0,,,760.0,0.0,760,0.0,0.0,760,760.0,,678.3,1.12,1.12,1.12,705.1,1.08,1.08,1.08,
09/30/2005,8977,,,-6744.0,,,2233.0,,-1293.0,,,,940.0,30.0,68.0,68.0,,,,-98.0,970.0,-303.0,667.0,0.0,,,667.0,0.0,667,0.0,0.0,667,667.0,,678.8,0.98,0.98,0.98,710.7,0.94,0.94,0.94,
12/31/2005,9663,,,-7123.0,,,2540.0,,-1473.0,,,,1067.0,49.0,,62.0,,,,-111.0,1116.0,-270.0,846.0,0.0,,,846.0,0.0,846,0.0,0.0,846,846.0,,673.6,1.26,1.26,1.26,705.4,1.2,1.2,1.2,
03/31/2006,9392,,,-6784.0,,,2608.0,,-1390.0,821.0,,569.0,1218.0,-8.0,68.0,68.0,,0.0,,-77.0,1210.0,-370.0,840.0,0.0,,,840.0,0.0,840,0.0,0.0,840,840.0,,672.0,1.25,1.25,1.25,699.1,1.2,1.2,1.2,
06/30/2006,10605,,,-7672.0,,,2933.0,,-1454.0,881.0,,573.0,1479.0,16.0,66.0,66.0,,0.0,,-114.0,1495.0,-449.0,1046.0,0.0,,,1046.0,0.0,1046,0.0,0.0,1046,1046.0,,662.1,1.58,1.58,1.58,688.5,1.52,1.52,1.52,
09/30/2006,10517,,,-7876.0,,,2641.0,,-1563.0,988.0,,575.0,1078.0,25.0,,72.0,,0.0,,-122.0,1103.0,-334.0,769.0,0.0,,,769.0,0.0,769,0.0,0.0,769,769.0,52.0,653.2,1.18,1.18,1.26,677.2,1.14,1.14,1.22,
12/31/2006,11003,,,-8240.0,,,2763.0,,-1617.0,,,,1146.0,-12.0,,68.0,,0.0,,-56.0,1134.0,-252.0,882.0,0.0,,,882.0,0.0,882,0.0,0.0,882,882.0,,647.6,1.36,1.36,1.36,669.5,1.32,1.32,1.32,
03/31/2007,10016,,,-7407.0,,,2609.0,,-1469.0,890.0,,579.0,1140.0,51.0,,79.0,,0.0,,-149.0,1191.0,-375.0,816.0,0.0,,,816.0,0.0,816,0.0,0.0,816,816.0,,643.9,1.27,1.27,1.27,665.2,1.23,1.23,1.23,
06/30/2007,11356,,,-8579.0,,,2777.0,,-1564.0,968.0,,596.0,1213.0,-5.0,,80.0,,0.0,,-80.0,1208.0,-385.0,823.0,0.0,,,823.0,0.0,823,0.0,0.0,823,823.0,,640.5,1.28,1.28,1.28,662.8,1.24,1.24,1.24,
09/30/2007,11442,,,-8559.0,,,2883.0,,-1570.0,938.0,,632.0,1313.0,9.0,,69.0,,0.0,,-105.0,1322.0,-395.0,927.0,0.0,,,927.0,0.0,927,0.0,0.0,927,927.0,,638.3,1.45,1.45,1.45,660.0,1.4,1.4,1.4,
12/31/2007,12144,,,-9213.0,,,2931.0,,-1676.0,1025.0,,651.0,1255.0,50.0,,60.0,0.0,0.0,,-132.0,1305.0,-330.0,975.0,0.0,,,975.0,0.0,975,0.0,0.0,975,975.0,,630.4,1.55,1.55,1.55,650.8,1.5,1.5,1.5,
03/31/2008,11796,,,-8893.0,,,2903.0,,-1610.0,959.0,,651.0,1293.0,49.0,,74.0,,0.0,,-134.0,1342.0,-420.0,922.0,0.0,,,922.0,0.0,922,0.0,0.0,922,922.0,,617.5,1.49,1.49,1.49,637.9,1.45,1.45,1.45,
06/30/2008,13624,,,-10315.0,,,3309.0,,-1784.0,1074.0,,710.0,1525.0,15.0,,70.0,,0.0,,-95.0,1540.0,-434.0,1106.0,0.0,,,1106.0,0.0,1106,0.0,0.0,1106,1106.0,,614.3,1.8,1.8,1.8,635.5,1.74,1.74,1.74,
09/30/2008,12981,,,-9995.0,,,2986.0,0.0,-1813.0,1061.0,,752.0,1173.0,90.0,,59.0,,0.0,,-138.0,1263.0,-395.0,868.0,0.0,,,868.0,,868,0.0,0.0,868,868.0,,607.0,1.43,1.43,1.43,624.8,1.39,1.39,1.39,
12/31/2008,12923,,,-10365.0,,,2558.0,0.0,-2101.0,1305.0,,796.0,457.0,-97.0,71.0,71.0,0.0,0.0,5.0,26.0,360.0,296.0,661.0,0.0,,,661.0,,661,0.0,0.0,661,661.0,,602.1,1.1,1.1,1.1,610.6,1.08,1.08,1.08,
03/31/2009,9225,8510.0,715.0,-7306.0,7027.0,279.0,1919.0,0.0,-2094.0,882.0,388.0,824.0,-175.0,-37.0,,101.0,,,1.0,-64.0,-212.0,80.0,-131.0,0.0,0.0,0.0,-131.0,19.0,-112,0.0,0.0,-112,244.368,356.368,602.1,-0.19,-0.19,0.405859,602.1,-0.19,-0.19,0.401875,
06/30/2009,7975,7254.0,721.0,-6024.0,5752.0,272.0,1951.0,0.0,-1604.0,914.0,351.0,339.0,347.0,54.0,,109.0,,,-1.0,-163.0,401.0,-40.0,360.0,0.0,0.0,0.0,360.0,11.0,371,0.0,0.0,371,445.376,74.376,611.8,0.61,0.61,0.727976,619.8,0.6,0.6,0.72,
09/30/2009,7298,6583.0,715.0,-5511.0,5255.0,256.0,1787.0,0.0,-1510.0,907.0,327.0,276.0,277.0,-25.0,,91.0,,,1.0,-66.0,252.0,139.0,392.0,0.0,0.0,0.0,392.0,12.0,404,0.0,0.0,404,273.7,-130.3,622.4,0.65,0.65,0.439749,635.5,0.64,0.64,0.434965,
12/31/2009,7898,7193.0,705.0,-6090.0,5852.0,238.0,1808.0,0.0,-1680.0,942.0,355.0,383.0,128.0,0.0,,88.0,,,-13.0,-88.0,128.0,91.0,206.0,0.0,0.0,0.0,206.0,26.0,232,0.0,0.0,232,279.65,47.65,624.2,0.37,0.37,0.448013,641.7,0.36,0.36,0.434256,
03/31/2010,8238,7551.0,687.0,-6127.0,5894.0,233.0,2111.0,0.0,-1603.0,932.0,402.0,269.0,508.0,-39.0,,102.0,,,-2.0,-63.0,469.0,-231.0,236.0,0.0,0.0,0.0,236.0,-3.0,233,0.0,0.0,233,298.95,65.95,626.4,0.37,0.37,0.477251,643.5,0.36,0.36,0.462486,
06/30/2010,10409,9723.0,686.0,-7606.0,7372.0,234.0,2803.0,0.0,-1826.0,1059.0,450.0,317.0,977.0,-31.0,,81.0,,,-4.0,-50.0,946.0,-209.0,733.0,0.0,0.0,0.0,733.0,-26.0,707,0.0,0.0,707,735.6,28.6,629.8,1.12,1.12,1.16799,647.0,1.09,1.09,1.134204,
09/30/2010,11134,10452.0,682.0,-7979.0,7752.0,227.0,3155.0,0.0,-1968.0,1148.0,510.0,310.0,1187.0,-84.0,,85.0,,,-7.0,-1.0,1103.0,-295.0,801.0,0.0,0.0,0.0,801.0,-9.0,792,0.0,0.0,792,795.25,3.25,632.6,1.25,1.25,1.257113,651.6,1.22,1.22,1.224988,
12/31/2010,12807,12141.0,666.0,-9569.0,9349.0,220.0,3238.0,0.0,-1947.0,1109.0,543.0,295.0,1291.0,-59.0,,75.0,,,-11.0,-16.0,1232.0,-233.0,988.0,0.0,0.0,0.0,988.0,-20.0,968,0.0,0.0,968,996.6,28.6,637.0,1.52,1.52,1.564521,659.6,1.47,1.47,1.51336,
03/31/2011,12949,12277.0,672.0,-9260.0,9057.0,203.0,3689.0,0.0,-1856.0,1099.0,525.0,232.0,1833.0,-70.0,,87.0,,,-8.0,-17.0,1763.0,-512.0,1243.0,0.0,0.0,0.0,1243.0,-18.0,1225,0.0,0.0,1225,1206.15,-18.85,641.4,1.91,1.91,1.880496,664.9,1.84,1.84,1.81165,
06/30/2011,14230,13535.0,695.0,-10512.0,10303.0,209.0,3718.0,0.0,-2117.0,1257.0,584.0,276.0,1601.0,-251.0,,90.0,,,-10.0,161.0,1350.0,-318.0,1022.0,0.0,0.0,0.0,1022.0,-7.0,1015,0.0,0.0,1015,1221.05,206.05,645.5,1.57,1.57,1.891634,667.2,1.52,1.52,1.828828,
09/30/2011,15716,15023.0,693.0,-11666.0,11455.0,211.0,4050.0,0.0,-2291.0,1360.0,584.0,347.0,1759.0,-125.0,,112.0,,,-6.0,13.0,1634.0,-474.0,1154.0,0.0,0.0,0.0,1154.0,-13.0,1141,0.0,0.0,1141,1245.0,104.0,646.6,1.76,1.76,1.925456,666.0,1.71,1.71,1.866156,
