Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/04/1999,1812.0,,,-513.0,,1299.0,,-1063.0,,,,236.0,99.0,36.0,42.0,-6.0,,,,-135.0,335.0,-138.0,,197.0,0.0,,,197.0,0.0,197.0,0.0,,197.0,197.0,-141.0,616.0,0.32,0.32,0.183,640.0,0.3075,0.3075,0.17575,
12/25/1999,2311.0,,,-663.0,,1648.0,,-1412.0,,,,236.0,-15.0,51.0,55.0,-4.0,,0.0,,-36.0,221.0,-76.0,,145.0,0.0,,,145.0,0.0,145.0,0.0,0.0,145.0,145.0,-23.55,612.0,0.2375,0.2375,0.2,628.0,0.2325,0.2325,0.195,
03/18/2000,1597.0,,,-441.0,,1156.0,,-964.0,,,,192.0,9.0,37.0,41.0,-4.0,,0.0,,-46.0,201.0,-81.0,,120.0,0.0,,,120.0,0.0,120.0,0.0,0.0,120.0,120.0,-24.16,596.0,0.2025,0.2025,0.1625,604.0,0.2,0.2,0.16,
06/10/2000,1656.0,,,-449.0,,1207.0,,-989.0,,,,218.0,-39.0,41.0,44.0,-3.0,,0.0,,-2.0,179.0,-73.0,,106.0,0.0,,,106.0,0.0,106.0,0.0,0.0,106.0,106.0,,588.0,0.18,0.18,0.1925,596.0,0.1775,0.1775,0.19,
09/02/2000,1658.0,,,-455.0,,1203.0,,-988.0,,,,215.0,-122.0,39.0,42.0,-3.0,,0.0,,83.0,93.0,-34.0,,59.0,0.0,,,59.0,0.0,59.0,0.0,0.0,59.0,59.0,57.0,584.0,0.1025,0.1025,0.195,588.0,0.1,0.1,0.1925,
12/30/2000,2182.0,,,-597.0,,1585.0,,-1347.0,,,,238.0,-27.0,51.0,55.0,-4.0,,0.0,,-24.0,211.0,-83.0,,128.0,0.0,,,128.0,0.0,128.0,0.0,0.0,128.0,128.0,-7.61,584.0,0.22,0.22,0.2025,596.0,0.215,0.215,0.2025,
03/24/2001,1506.0,,,-410.0,,1096.0,,-920.0,,,,176.0,-39.0,36.0,39.0,-3.0,,0.0,,3.0,137.0,-49.0,,88.0,0.0,,,88.0,0.0,88.0,0.0,0.0,88.0,88.0,0.0,588.0,0.15,0.15,0.15,600.0,0.1475,0.1475,0.1475,
06/16/2001,1605.0,,,-442.0,,1163.0,,-970.0,,,,193.0,-15.0,32.0,37.0,-5.0,,0.0,,-17.0,178.0,-62.0,,116.0,0.0,,,116.0,0.0,116.0,0.0,0.0,116.0,116.0,-6.1,588.0,0.1975,0.1975,0.1875,608.0,0.19,0.19,0.18,
09/08/2001,1640.0,,,-457.0,,1183.0,,-967.0,,,,216.0,-21.0,-3.0,,-3.0,,0.0,,24.0,195.0,-71.0,,124.0,0.0,,,124.0,0.0,124.0,0.0,0.0,124.0,124.0,3.0,588.0,0.21,0.21,0.215,612.0,0.2,0.2,0.205,
12/29/2001,2202.0,,,-599.0,,1603.0,,-1317.0,,,,286.0,-112.0,46.0,49.0,-3.0,,0.0,,66.0,174.0,-59.0,,164.0,0.0,,,115.0,0.0,164.0,0.0,0.0,164.0,164.0,0.0,584.0,0.2825,0.2825,0.2825,608.0,0.27,0.27,0.27,
03/23/2002,1614.0,,,-439.0,,1175.0,,-956.0,,,,219.0,-27.0,34.0,35.0,-1.0,,0.0,,-7.0,192.0,-68.0,,124.0,0.0,,,124.0,0.0,124.0,0.0,0.0,124.0,124.0,,588.0,0.21,0.21,0.2,620.0,0.2,0.2,0.19,
06/15/2002,1767.0,,,-482.0,,1285.0,,-1051.0,,,,234.0,-26.0,33.0,35.0,-2.0,,0.0,,-7.0,208.0,-68.0,,140.0,0.0,,,140.0,0.0,140.0,0.0,0.0,140.0,140.0,-6.0,594.0,0.235,0.235,0.225,628.0,0.225,0.225,0.215,
09/07/2002,1915.0,,,-517.0,,1398.0,,-1138.0,,,,260.0,-47.0,45.0,48.0,-3.0,,0.0,,2.0,213.0,-66.0,,147.0,0.0,,,147.0,0.0,147.0,0.0,0.0,147.0,147.0,6.25,594.0,0.245,0.245,0.255,624.0,0.235,0.235,0.245,
12/28/2002,2461.0,,,-671.0,,1790.0,,-1498.0,,,,292.0,-47.0,60.0,62.0,-2.0,,0.0,,-13.0,245.0,-73.0,,172.0,0.0,,,172.0,0.0,172.0,0.0,0.0,172.0,172.0,0.0,590.0,0.29,0.29,0.29,612.0,0.28,0.28,0.28,
03/22/2003,1802.0,,,-492.0,,1310.0,,-1090.0,,,,220.0,-45.0,42.0,44.0,-2.0,,0.0,,3.0,175.0,-57.0,,118.0,1.0,,,117.0,0.0,117.0,0.0,0.0,117.0,117.0,6.069,586.0,0.2,0.2,0.21,606.0,0.195,0.195,0.205,
06/14/2003,1936.0,,,-532.0,,1404.0,,-1149.0,,,,255.0,-77.0,42.0,44.0,-2.0,,0.0,,35.0,178.0,-56.0,,122.0,0.0,,,122.0,0.0,122.0,0.0,0.0,122.0,122.0,23.0,586.0,0.21,0.21,0.25,608.0,0.2,0.2,0.24,
09/06/2003,1989.0,,,-544.0,,1445.0,,-1173.0,,,,272.0,-42.0,39.0,43.0,-4.0,,0.0,,3.0,230.0,-66.0,,164.0,0.0,,,164.0,0.0,164.0,0.0,0.0,164.0,164.0,9.27,588.0,0.28,0.28,0.295,614.0,0.265,0.265,0.28,
12/27/2003,2653.0,,,-732.0,,1921.0,,-1634.0,,,,287.0,16.0,50.0,54.0,-4.0,,0.0,,-66.0,303.0,-89.0,,214.0,0.0,,,214.0,0.0,214.0,0.0,0.0,214.0,214.0,-9.07,588.0,0.365,0.365,0.35,616.0,0.35,0.35,0.335,
03/20/2004,1970.0,,,-540.0,,1430.0,,-1199.0,,,,231.0,-23.0,35.0,38.0,-3.0,,0.0,,-12.0,208.0,-66.0,,142.0,0.0,,,142.0,0.0,142.0,0.0,0.0,142.0,142.0,6.144,582.0,0.245,0.245,0.255,610.0,0.235,0.235,0.245,
06/12/2004,2077.0,,,-588.0,,1489.0,,-1238.0,,,,251.0,-8.0,32.0,36.0,-4.0,,0.0,,-24.0,243.0,-65.0,,178.0,0.0,,,178.0,0.0,178.0,0.0,0.0,178.0,178.0,-1.67,580.0,0.305,0.305,0.3025,608.0,0.29,0.29,0.2875,
09/04/2004,2179.0,,,-618.0,,1561.0,,-1280.0,,,,281.0,-19.0,29.0,32.0,-3.0,,0.0,,-10.0,262.0,-77.0,,185.0,0.0,,,185.0,0.0,185.0,0.0,0.0,185.0,185.0,2.118,582.0,0.32,0.32,0.325,610.0,0.305,0.305,0.31,
12/25/2004,2785.0,,,-792.0,,1993.0,,-1660.0,,,,333.0,-20.0,33.0,39.0,-6.0,,0.0,,-13.0,313.0,-78.0,,235.0,0.0,,,235.0,0.0,235.0,0.0,0.0,235.0,235.0,,586.0,0.4,0.4,0.385,614.0,0.38,0.38,0.365,
03/19/2005,2054.0,,,-574.0,,1480.0,,-1241.0,,,,239.0,-16.0,28.0,33.0,-5.0,,0.0,,-12.0,223.0,-70.0,,153.0,0.0,,,153.0,0.0,153.0,0.0,0.0,153.0,153.0,7.546,582.0,0.26,0.26,0.275,608.0,0.25,0.25,0.26,
06/11/2005,2153.0,,,-600.0,,1553.0,,-1313.0,,,,240.0,-9.0,30.0,33.0,-3.0,,0.0,,-21.0,231.0,-53.0,,178.0,0.0,,,178.0,0.0,178.0,0.0,0.0,178.0,178.0,3.06,576.0,0.31,0.31,0.315,602.0,0.295,0.295,0.3,
09/03/2005,2243.0,,,-619.0,,1624.0,,-1355.0,,,,269.0,11.0,28.0,34.0,-6.0,,0.0,,-39.0,280.0,-75.0,,205.0,0.0,,,205.0,0.0,205.0,0.0,0.0,205.0,205.0,3.25,570.0,0.36,0.36,0.365,596.0,0.345,0.345,0.35,
12/31/2005,2899.0,,,-824.0,,2075.0,,-1801.0,,,,274.0,4.0,41.0,39.0,-6.0,,0.0,,-37.0,278.0,-52.0,,226.0,0.0,,,226.0,0.0,226.0,0.0,0.0,226.0,226.0,,562.0,0.4,0.4,0.42,584.0,0.385,0.385,0.405,
03/25/2006,2085.0,,,-557.0,,1528.0,,-1246.0,,,,282.0,-35.0,35.0,38.0,-3.0,,0.0,,0.0,247.0,-77.0,,170.0,0.0,,,170.0,0.0,170.0,0.0,0.0,170.0,170.0,6.87,552.0,0.31,0.31,0.32,572.0,0.295,0.295,0.305,
06/17/2006,2182.0,,,-583.0,,1599.0,,-1301.0,,,,298.0,-27.0,36.0,37.0,-1.0,,0.0,,-9.0,271.0,-79.0,,192.0,0.0,,,192.0,0.0,192.0,0.0,0.0,192.0,192.0,2.12,544.0,0.355,0.355,0.36,562.0,0.34,0.34,0.345,
09/09/2006,2278.0,,,-606.0,,1672.0,,-1341.0,,,,331.0,-21.0,34.0,40.0,-6.0,,0.0,,-13.0,310.0,-80.0,,230.0,0.0,,,230.0,0.0,230.0,0.0,0.0,230.0,230.0,3.25,536.0,0.43,0.43,0.435,554.0,0.415,0.415,0.42,
12/30/2006,3016.0,,,-803.0,,2213.0,,-1879.0,,,,334.0,-54.0,,57.0,-8.0,,-7.0,,12.0,337.0,-48.0,,232.0,0.0,,,289.0,0.0,232.0,0.0,0.0,232.0,232.0,,537.0,0.43,0.43,0.45,556.0,0.42,0.42,0.44,
03/24/2007,2223.0,,,-1148.0,,1075.0,,-776.0,,,,299.0,-19.0,36.0,43.0,-7.0,,,,-17.0,280.0,-86.0,,194.0,,,,194.0,,194.0,,,194.0,194.0,,532.0,0.365,0.365,0.365,550.0,0.35,0.35,0.355,
06/16/2007,2367.0,,,-648.0,,1719.0,,-1412.0,,,,307.0,-35.0,38.0,43.0,-5.0,,,,-3.0,272.0,-58.0,,214.0,0.0,,,214.0,,214.0,,0.0,214.0,214.0,,528.0,0.41,0.615,0.41,547.0,0.39,0.585,0.39,
09/08/2007,2564.0,,,-700.0,,1864.0,,-1483.0,,,,381.0,-18.0,38.0,44.0,-6.0,,,,-20.0,363.0,-93.0,,270.0,,,,270.0,,270.0,,,270.0,270.0,,523.0,0.52,0.52,0.52,541.0,0.5,0.5,0.5,
12/29/2007,3262.0,,,-900.0,,2362.0,,-2040.0,,,,322.0,-46.0,,69.0,-15.0,,-3.0,,-5.0,276.0,-45.0,,231.0,0.0,,,231.0,0.0,231.0,0.0,0.0,231.0,231.0,,509.0,0.45,0.45,0.45,528.0,0.44,0.44,0.44,
03/22/2008,2413.0,,,-1805.0,,608.0,0.0,-184.0,,,,424.0,-51.0,53.0,59.0,-6.0,,,,-2.0,373.0,-117.0,,256.0,,,,256.0,-2.0,254.0,0.0,0.0,254.0,254.0,-104.7,486.0,0.52,0.52,0.8314,504.0,0.5,0.5,0.8003,
06/14/2008,2659.0,,,-2031.0,,628.0,0.0,-304.0,,,,324.0,-59.0,52.0,59.0,-7.0,,,,7.0,265.0,-40.0,,225.0,,,,225.0,-1.0,224.0,0.0,0.0,224.0,224.0,,480.0,0.47,0.47,0.47,498.0,0.45,0.45,0.4473,
09/06/2008,2842.0,,,-2149.0,,693.0,0.0,-287.0,,,,406.0,-42.0,47.0,53.0,-6.0,,,,-5.0,364.0,-79.0,,285.0,,,,285.0,-3.0,282.0,0.0,0.0,282.0,282.0,,470.0,0.6,0.6,0.6,487.0,0.58,0.58,0.58,
12/27/2008,3383.0,,,-1003.0,,2380.0,,-2013.0,,,,367.0,-81.0,74.0,74.0,0.0,,,,7.0,286.0,-82.0,,204.0,,,,204.0,,204.0,0.0,0.0,204.0,204.0,,465.0,0.44,0.44,0.47,479.0,0.43,0.43,0.46,
03/21/2009,2217.0,2217.0,,-1630.0,1630.0,587.0,0.0,-236.0,255.0,255.0,-19.0,351.0,-53.0,53.0,57.0,-4.0,,,,0.0,298.0,-79.0,,219.0,0.0,0.0,0.0,219.0,-1.0,218.0,0.0,0.0,218.0,225.15,7.15,466.0,0.47,0.47,0.483155,479.0,0.46,0.46,0.474927,
06/13/2009,2476.0,2476.0,,-1853.0,1853.0,623.0,0.0,-229.0,281.0,281.0,-52.0,394.0,-43.0,43.0,47.0,-4.0,,0.0,-7.0,7.0,351.0,-45.0,,306.0,0.0,0.0,0.0,306.0,-3.0,303.0,0.0,0.0,303.0,383.55,80.55,470.0,0.65,0.65,0.816064,483.0,0.63,0.63,0.79677,
09/05/2009,2778.0,2778.0,,-2036.0,2036.0,742.0,0.0,-272.0,276.0,276.0,-4.0,470.0,-42.0,42.0,46.0,-4.0,,,,0.0,428.0,-88.0,,340.0,0.0,0.0,0.0,340.0,-6.0,334.0,0.0,0.0,334.0,337.25,3.25,472.0,0.71,0.71,0.714513,485.0,0.69,0.69,0.696701,
12/26/2009,3365.0,3365.0,,-2533.0,2533.0,832.0,0.0,-457.0,409.0,409.0,48.0,375.0,-56.0,56.0,74.0,-18.0,,,,0.0,319.0,-101.0,,218.0,0.0,0.0,0.0,218.0,-2.0,216.0,0.0,0.0,216.0,259.55,43.55,474.0,0.46,0.46,0.547574,485.0,0.45,0.45,0.539794,
03/20/2010,2345.0,2345.0,,-1679.0,1679.0,666.0,0.0,-302.0,245.0,245.0,57.0,364.0,-41.0,41.0,44.0,-3.0,,,,0.0,323.0,-78.0,,245.0,0.0,0.0,0.0,245.0,-4.0,241.0,0.0,0.0,241.0,245.55,4.55,474.0,0.51,0.51,0.518038,485.0,0.5,0.5,0.509381,
06/12/2010,2574.0,2574.0,,-1878.0,1878.0,696.0,0.0,-275.0,283.0,283.0,-8.0,421.0,-42.0,42.0,45.0,-3.0,,,,0.0,379.0,-90.0,,289.0,0.0,0.0,0.0,289.0,-3.0,286.0,0.0,0.0,286.0,295.1,9.1,473.0,0.61,0.61,0.62389,485.0,0.59,0.59,0.608763,
09/04/2010,2862.0,2862.0,,-2041.0,2041.0,821.0,0.0,-277.0,285.0,285.0,-8.0,544.0,-38.0,38.0,44.0,-6.0,,,,0.0,506.0,-139.0,,367.0,0.0,0.0,0.0,367.0,-10.0,357.0,0.0,0.0,357.0,358.3,1.3,473.0,0.76,0.76,0.757505,484.0,0.74,0.74,0.742686,
12/25/2010,3562.0,3562.0,,-2632.0,2632.0,930.0,0.0,-490.0,464.0,464.0,26.0,440.0,-54.0,54.0,74.0,-20.0,,,,0.0,386.0,-109.0,,277.0,0.0,0.0,0.0,277.0,-3.0,274.0,0.0,0.0,274.0,301.3,27.3,474.0,0.58,0.58,0.635654,488.0,0.56,0.56,0.615943,
03/19/2011,2425.0,2425.0,,-1721.0,1721.0,704.0,0.0,-303.0,255.0,255.0,48.0,401.0,-43.0,43.0,48.0,-5.0,,,,0.0,358.0,-91.0,,267.0,0.0,0.0,0.0,267.0,-3.0,264.0,0.0,0.0,264.0,309.5,45.5,473.0,0.56,0.56,0.654334,486.0,0.54,0.54,0.633621,
06/11/2011,2816.0,2816.0,,-2078.0,2078.0,738.0,0.0,-319.0,308.0,308.0,11.0,419.0,-35.0,35.0,41.0,-6.0,,,,0.0,384.0,-62.0,,322.0,0.0,0.0,0.0,322.0,-6.0,316.0,0.0,0.0,316.0,333.55,17.55,471.0,0.67,0.67,0.708174,484.0,0.65,0.65,0.68626,
09/03/2011,3274.0,3274.0,,-2401.0,2401.0,873.0,0.0,-385.0,310.0,310.0,75.0,488.0,-32.0,32.0,40.0,-8.0,,,,0.0,456.0,-67.0,,389.0,0.0,0.0,0.0,389.0,-6.0,383.0,0.0,0.0,383.0,400.55,17.55,469.0,0.82,0.82,0.854051,481.0,0.8,0.8,0.836486,
12/31/2011,4111.0,4111.0,,-3085.0,3085.0,1026.0,0.0,-519.0,499.0,499.0,20.0,507.0,-46.0,46.0,55.0,-9.0,,,,0.0,461.0,-104.0,,357.0,0.0,0.0,0.0,357.0,-1.0,356.0,0.0,0.0,356.0,380.05,24.05,465.0,0.77,0.77,0.817312,477.0,0.75,0.75,0.800419,
03/24/2012,2743.0,2743.0,,-1930.0,1930.0,813.0,0.0,-168.0,272.0,272.0,-104.0,645.0,-37.0,37.0,40.0,-3.0,,,,0.0,608.0,-147.0,,461.0,0.0,0.0,0.0,461.0,-3.0,458.0,0.0,0.0,458.0,458.65,0.65,465.0,0.99,0.99,0.986344,478.0,0.96,0.96,0.96136,
06/16/2012,3168.0,3168.0,,-2365.0,2365.0,803.0,0.0,-330.0,346.0,346.0,-16.0,473.0,-38.0,38.0,42.0,-4.0,,,,0.0,435.0,-102.0,,333.0,0.0,0.0,0.0,333.0,-2.0,331.0,0.0,0.0,331.0,333.6,2.6,465.0,0.71,0.71,0.717419,477.0,0.69,0.69,0.695451,
09/08/2012,3569.0,3569.0,,-2575.0,2575.0,994.0,0.0,-323.0,332.0,332.0,-9.0,671.0,-32.0,32.0,36.0,-4.0,,,,0.0,639.0,-161.0,161.0,478.0,0.0,0.0,0.0,478.0,-7.0,471.0,0.0,0.0,471.0,473.6,2.6,460.0,1.02,1.02,1.029565,472.0,1.0,1.0,1.005508,
12/29/2012,4153.0,4153.0,,-3115.0,3115.0,1038.0,0.0,-533.0,560.0,560.0,-27.0,505.0,-42.0,42.0,51.0,-9.0,,,,0.0,463.0,-127.0,,336.0,0.0,0.0,0.0,336.0,1.0,337.0,0.0,0.0,337.0,348.7,11.7,457.0,0.74,0.74,0.76302,468.0,0.72,0.72,0.745,
03/23/2013,2535.0,2535.0,,-1796.0,1796.0,739.0,0.0,-252.0,273.0,273.0,-21.0,487.0,-31.0,31.0,46.0,-15.0,,,,0.0,456.0,-120.0,,336.0,0.0,0.0,0.0,336.0,1.0,337.0,0.0,0.0,337.0,339.6,2.6,455.0,0.74,0.74,0.746374,465.0,0.72,0.72,0.725591,
06/15/2013,2904.0,2904.0,,-2198.0,2198.0,706.0,0.0,-316.0,333.0,333.0,-17.0,390.0,-32.0,32.0,,,,,,0.0,358.0,-82.0,,276.0,0.0,0.0,0.0,276.0,5.0,281.0,0.0,0.0,281.0,282.95,1.95,454.0,0.62,0.62,0.623238,464.0,0.61,0.61,0.614203,
09/07/2013,3466.0,3466.0,,-2534.0,2534.0,932.0,0.0,-582.0,327.0,327.0,255.0,350.0,-31.0,31.0,36.0,-5.0,,,,0.0,319.0,-182.0,182.0,137.0,0.0,0.0,0.0,137.0,15.0,152.0,0.0,0.0,152.0,427.95,275.95,451.0,0.34,0.34,0.948891,461.0,0.33,0.33,0.92859,
12/28/2013,4179.0,4179.0,,-3131.0,3131.0,1048.0,0.0,-477.0,479.0,479.0,-2.0,571.0,-153.0,153.0,166.0,-13.0,,,,0.0,418.0,-103.0,,315.0,0.0,0.0,0.0,315.0,6.0,321.0,0.0,0.0,321.0,417.2,96.2,448.0,0.72,0.72,0.93125,458.0,0.7,0.7,0.910044,
03/22/2014,2724.0,2724.0,,-1884.0,1884.0,840.0,0.0,-269.0,271.0,271.0,-2.0,571.0,-33.0,33.0,33.0,0.0,,,,0.0,538.0,-139.0,,399.0,0.0,0.0,0.0,399.0,0.0,399.0,0.0,0.0,399.0,400.95,1.95,447.0,0.89,0.89,0.89698,456.0,0.87,0.87,0.874276,
06/14/2014,3204.0,3204.0,,-2364.0,2364.0,840.0,0.0,-361.0,352.0,352.0,9.0,479.0,-29.0,29.0,29.0,0.0,,,,0.0,450.0,-112.0,,338.0,0.0,0.0,0.0,338.0,-4.0,334.0,0.0,0.0,334.0,347.65,13.65,446.0,0.75,0.75,0.779484,455.0,0.73,0.73,0.76,
09/06/2014,3354.0,3354.0,,-2504.0,2504.0,850.0,0.0,-300.0,323.0,323.0,-23.0,550.0,-28.0,28.0,,,,,,0.0,522.0,-119.0,119.0,403.0,0.0,0.0,0.0,403.0,1.0,404.0,0.0,0.0,404.0,403.35,-0.65,443.0,0.91,0.91,0.910497,452.0,0.89,0.89,0.888562,
12/27/2014,3997.0,3997.0,,-3090.0,3090.0,907.0,0.0,-950.0,473.0,473.0,477.0,-43.0,-40.0,40.0,,,,,,0.0,-83.0,-36.0,,-119.0,0.0,0.0,0.0,-119.0,33.0,-86.0,0.0,0.0,-86.0,213.0,299.0,441.0,-0.2,-0.2,0.482993,441.0,-0.2,-0.2,0.478005,
03/21/2015,2622.0,2622.0,,-1831.0,1831.0,791.0,0.0,-285.0,295.0,295.0,-10.0,506.0,-34.0,34.0,,,,,,0.0,472.0,-111.0,,361.0,0.0,0.0,0.0,361.0,1.0,362.0,0.0,0.0,362.0,360.7,-1.3,438.0,0.83,0.83,0.823516,446.0,0.81,0.81,0.807085,
06/13/2015,3105.0,3105.0,,-2295.0,2295.0,810.0,0.0,-439.0,353.0,353.0,86.0,371.0,-33.0,33.0,,,,,,0.0,338.0,-102.0,,236.0,0.0,0.0,0.0,236.0,-1.0,235.0,0.0,0.0,235.0,325.6,90.6,437.0,0.54,0.54,0.74508,445.0,0.53,0.53,0.733596,
09/05/2015,3427.0,3427.0,,-2494.0,2494.0,933.0,0.0,-330.0,328.0,328.0,2.0,603.0,-32.0,32.0,,,,12.0,-15.0,3.0,571.0,-145.0,,426.0,0.0,0.0,0.0,426.0,-5.0,421.0,0.0,0.0,421.0,444.95,23.95,436.0,0.97,0.97,1.020528,444.0,0.95,0.95,1.003941,
12/26/2015,1976.0,1976.0,,-1201.0,1201.0,775.0,0.0,-346.0,381.0,381.0,-35.0,429.0,-38.0,38.0,,,,,,0.0,391.0,-101.0,,290.0,15.0,15.0,0.0,275.0,,275.0,0.0,0.0,275.0,296.55,6.55,433.0,0.635104,0.67,0.684873,439.0,0.626424,0.66,0.67492,
03/19/2016,1443.0,1443.0,,-856.0,856.0,587.0,0.0,-238.0,243.0,243.0,-5.0,349.0,-41.0,42.0,,,,,,-1.0,308.0,-82.0,,226.0,-138.0,-138.0,0.0,364.0,,364.0,0.0,0.0,364.0,234.3,8.3,415.0,0.88,0.55,0.564578,421.0,0.87,0.54,0.559715,
06/11/2016,1509.0,1509.0,,-893.0,893.0,616.0,0.0,-201.0,254.0,254.0,-53.0,415.0,-51.0,51.0,,,,,,0.0,364.0,-98.0,,266.0,-70.0,-70.0,0.0,336.0,,336.0,0.0,0.0,336.0,237.55,-28.45,408.0,0.82,0.65,0.58223,415.0,0.81,0.64,0.571446,
09/03/2016,1518.0,1518.0,,-871.0,871.0,647.0,0.0,-249.0,270.0,270.0,-21.0,398.0,-97.0,98.0,,,,,,-1.0,301.0,-83.0,,218.0,-422.0,-422.0,0.0,640.0,,640.0,0.0,0.0,640.0,223.65,5.65,388.0,1.65,0.56,0.576418,395.0,1.62,0.55,0.564304,
12/31/2016,1886.0,1886.0,,-1070.0,1070.0,816.0,0.0,-296.0,362.0,362.0,-66.0,520.0,-148.0,114.0,114.0,0.0,,4.0,,30.0,372.0,-64.0,,308.0,5.0,5.0,0.0,303.0,0.0,303.0,0.0,0.0,303.0,416.55,108.55,366.0,0.84,0.84153,1.138115,372.0,0.83,0.84153,1.133331,
03/31/2017,1417.0,1417.0,,-804.0,804.0,613.0,0.0,-129.0,237.0,237.0,-108.0,484.0,-137.0,110.0,,,,,,27.0,347.0,-67.0,,280.0,0.0,0.0,0.0,280.0,0.0,280.0,0.0,0.0,280.0,241.55,-38.45,357.0,0.78,0.78,0.676611,364.0,0.77,0.77,0.664368,
