Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Deferred Tax Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2008,5607,777,777,,764,764,,869,408.0,507.0,,-46.0,337,,,,,2747,1636,2133.0,-497.0,200,,1024,623,108,515,,,,119.0,282,2860,,759,759,,,,70,,,,,,617,,,617,1446,1181,,,,,845,,,,,845,2026,3472,771,2322,,,0,-706.0,-359,2028,107,2135,5607,
03/31/2009,5147,549,549,0.0,804,804,0.0,771,337.0,434.0,0.0,0.0,305,,,,305.0,2429,1758,,,187,187.0,773,641,103,538,,,,132.0,0,2718,,1127,613,89.0,,425.0,44,0.0,,,,44.0,11,,,11,1182,1184,1184.0,,,,886,,,,,886,2070,3252,771,2324,1.0,2323.0,0,-871.0,-428,1796,99,1895,5147,
06/30/2009,5060,553,553,0.0,789,789,0.0,707,318.0,389.0,0.0,0.0,280,,,,280.0,2329,1762,,,206,206.0,763,630,109,521,,,,133.0,0,2731,,1085,573,65.0,,447.0,30,0.0,,,,30.0,11,,,11,1126,1069,1069.0,,,,855,,,,,855,1924,3050,771,2326,1.0,2325.0,0,-879.0,-308,1910,100,2010,5060,
09/30/2009,5262,814,814,0.0,800,800,0.0,679,309.0,370.0,0.0,0.0,233,,,,233.0,2526,1738,,,242,242.0,756,621,113,508,,,,135.0,0,2736,,1136,643,65.0,,428.0,30,0.0,,,,30.0,0,,,0,1166,966,966.0,,,,867,,,,,867,1833,2999,771,2546,1.0,2545.0,0,-925.0,-228,2164,99,2263,5262,
12/31/2009,5154,947,947,0.0,728,728,0.0,608,300.0,402.0,0.0,-94.0,360,,,99.0,261.0,2643,1484,2331.0,-847.0,262,262.0,765,549,111,438,,,,112.0,104,2511,,1104,601,101.0,,402.0,34,0.0,0.0,0.0,,34.0,79,,,79,1217,969,969.0,0.0,0.0,,1189,,760.0,643.0,117.0,429,2158,3375,771,2581,1.0,2580.0,0,-1169.0,-504,1679,100,1779,5154,
03/31/2010,4990,1026,1026,0.0,843,843,0.0,616,281.0,335.0,0.0,0.0,225,,,8.0,217.0,2710,1411,,,238,238.0,631,515,105,410,,,,113.0,3,2280,,1190,716,45.0,,429.0,43,0.0,,,,43.0,3,,,3,1236,898,898.0,,,,1133,,,,,1133,2031,3267,771,2584,1.0,2583.0,-1,-1208.0,-524,1622,101,1723,4990,
06/30/2010,4954,1059,1059,0.0,860,860,0.0,615,284.0,331.0,0.0,0.0,287,,,7.0,280.0,2821,1315,,,229,229.0,589,473,95,378,,,,114.0,2,2133,,1243,767,29.0,,447.0,48,0.0,,,,48.0,3,,,3,1294,891,891.0,,,,1100,,,,,1100,1991,3285,771,2589,1.0,2588.0,-1,-1207.0,-581,1571,98,1669,4954,
09/30/2010,5170,1137,1137,0.0,901,901,0.0,689,322.0,367.0,0.0,0.0,268,,,5.0,263.0,2995,1351,,,225,225.0,599,479,106,373,,,,117.0,3,2175,,1289,807,19.0,,463.0,50,0.0,,,,50.0,2,,,2,1341,903,903.0,,,,1127,,,,,1127,2030,3371,771,2593,1.0,2592.0,-2,-1169.0,-492,1701,98,1799,5170,
12/31/2010,5101,1144,1090,54.0,816,816,0.0,708,327.0,440.0,0.0,-59.0,265,,,,265.0,2933,1351,2095.0,-744.0,0,,817,456,104,352,,,,123.0,238,2168,,1240,779,38.0,,423.0,167,0.0,0.0,0.0,,167.0,0,,,0,1407,780,780.0,0.0,0.0,,1128,,740.0,,,388,1908,3315,762,2614,1.0,2613.0,-4,-1189.0,-496,1687,99,1786,5101,
03/31/2011,5298,837,837,0.0,1074,1074,0.0,764,348.0,416.0,0.0,0.0,282,,,,282.0,2957,1377,,,259,259.0,705,578,110,468,,,,127.0,0,2341,,1468,985,50.0,,433.0,49,0.0,,,,49.0,0,,,0,1517,834,834.0,,,,1135,,751.0,,,384,1969,3486,753,2631,1.0,2630.0,-6,-1229.0,-439,1710,102,1812,5298,
06/30/2011,5497,776,718,58.0,1124,1124,0.0,817,387.0,430.0,0.0,0.0,274,,,,274.0,2991,1377,,,267,267.0,862,593,112,481,,,,269.0,0,2506,,1507,1021,53.0,,433.0,51,0.0,,,,51.0,0,,,0,1558,867,867.0,,,,1147,,746.0,,,401,2014,3572,753,2638,1.0,2637.0,-7,-1166.0,-397,1821,104,1925,5497,
09/30/2011,5348,901,851,50.0,1097,1097,0.0,827,386.0,441.0,0.0,0.0,255,,,,255.0,3080,1289,,,258,258.0,721,531,104,427,,,,190.0,0,2268,,1499,1029,53.0,,417.0,65,0.0,,,,65.0,0,,,0,1564,839,839.0,,,,1089,,708.0,,,381,1928,3492,753,2642,1.0,2641.0,-7,-1064.0,-570,1754,102,1856,5348,
12/31/2011,5277,987,931,56.0,979,979,0.0,784,388.0,451.0,0.0,-55.0,271,,,,271.0,3021,1285,2135.0,-850.0,0,,971,500,100,400,,,,198.0,273,2256,,1382,942,46.0,,394.0,71,0.0,0.0,0.0,,71.0,0,,,0,1453,831,831.0,0.0,0.0,,1155,,762.0,,,393,1986,3439,753,2644,1.0,2643.0,-9,-1001.0,-650,1737,101,1838,5277,
03/31/2012,5422,831,773,58.0,1155,1155,0.0,855,421.0,434.0,0.0,0.0,329,,,,329.0,3170,1295,,,0,,957,488,103,385,,,,205.0,264,2252,,1531,1071,70.0,,390.0,88,0.0,,,,88.0,0,,,0,1619,847,847.0,,,,998,,600.0,,,398,1845,3464,753,2649,1.0,2648.0,-9,-946.0,-594,1853,105,1958,5422,
06/30/2012,5375,941,881,60.0,1106,1106,0.0,871,419.0,452.0,0.0,0.0,318,,,,318.0,3236,1232,,,0,,907,444,97,347,,,,202.0,261,2139,,1516,1009,78.0,,429.0,103,0.0,,,,103.0,0,,,0,1619,851,851.0,,,,955,,569.0,,,386,1806,3425,753,2653,1.0,2652.0,-10,-875.0,-670,1851,99,1950,5375,
09/30/2012,5312,1004,940,64.0,969,969,0.0,870,432.0,438.0,0.0,0.0,326,,,,326.0,3169,1236,,,0,,907,440,99,341,,,,203.0,264,2143,,1406,902,82.0,,422.0,123,0.0,,,,123.0,0,,,0,1529,813,813.0,,,,943,,557.0,,,386,1756,3285,753,2657,1.0,2656.0,-10,-834.0,-643,1923,104,2027,5312,
12/31/2012,5144,1119,1059,60.0,818,818,0.0,742,388.0,405.0,0.0,-51.0,274,,0.0,,274.0,2953,1239,2225.0,-986.0,0,,952,426,101,325,,,,202.0,324,2191,,1209,766,63.0,0.0,380.0,101,0.0,,,,101.0,0,0.0,0.0,0,1310,803,803.0,,,,1083,0.0,715.0,,,368,1886,3196,753,2670,2.0,2668.0,-25,-762.0,-793,1843,105,1948,5144,
03/31/2013,5234,1044,981,63.0,980,980,0.0,776,393.0,383.0,0.0,0.0,357,,,,357.0,3157,1209,,,0,,868,402,99,303,,,,208.0,258,2077,,1322,914,69.0,,339.0,84,0.0,,,,84.0,0,,,0,1406,839,839.0,,,,1041,,681.0,,,360,1880,3286,753,2682,2.0,2680.0,-51,-736.0,-801,1847,101,1948,5234,
06/30/2013,5174,1127,1030,97.0,975,975,0.0,773,394.0,379.0,0.0,0.0,285,,,,285.0,3160,1179,,,0,,835,373,100,273,,,,210.0,252,2014,,1341,938,69.0,,334.0,74,0.0,,,,74.0,0,,,0,1415,824,824.0,,,,1024,,669.0,,,355,1848,3263,739,2705,2.0,2703.0,-115,-658.0,-858,1813,98,1911,5174,
09/30/2013,5244,1226,1121,105.0,916,916,0.0,774,395.0,379.0,0.0,0.0,285,,,,285.0,3201,1200,,,0,,843,357,104,253,,,,215.0,271,2043,,1282,872,59.0,,351.0,64,0.0,,,,64.0,0,,,0,1346,1568,1568.0,,,,995,,638.0,,,357,2563,3909,423,2747,2.0,2745.0,-277,-835.0,-820,1238,97,1335,5244,
12/31/2013,5129,1366,1256,110.0,793,793,0.0,670,337.0,381.0,0.0,-48.0,336,,0.0,,336.0,3165,1225,2322.0,-1097.0,0,,739,333,106,227,,,,210.0,196,1964,,1211,804,35.0,0.0,372.0,57,0.0,,,,57.0,0,0.0,0.0,0,1268,1567,1567.0,,,,881,0.0,530.0,,,351,2448,3716,372,2842,2.0,2840.0,-366,-812.0,-727,1309,104,1413,5129,
03/31/2014,5158,1260,1116,144.0,961,961,0.0,723,361.0,362.0,0.0,0.0,275,,,,275.0,3219,1220,,,0,,719,321,106,215,,,,206.0,192,1939,,1323,939,47.0,,337.0,32,0.0,,,,32.0,0,,,0,1355,1568,1568.0,,,,858,,514.0,,,344,2426,3781,206,3017,2.0,3015.0,-431,-788.0,-732,1272,105,1377,5158,
06/30/2014,5212,1340,1172,168.0,925,925,0.0,727,366.0,361.0,0.0,0.0,266,,,,266.0,3258,1244,,,0,,710,310,105,205,,,,202.0,198,1954,,1323,906,54.0,,363.0,37,0.0,,,,37.0,0,,,0,1360,1568,1568.0,,,,858,,511.0,,,347,2426,3786,197,3030,2.0,3028.0,-481,-713.0,-711,1322,104,1426,5212,
09/30/2014,5014,1272,1103,169.0,902,902,0.0,726,356.0,370.0,0.0,0.0,241,,,,241.0,3141,1200,,,0,,673,279,94,185,,,,204.0,190,1873,,1274,877,54.0,,343.0,29,0.0,,,,29.0,0,,,0,1303,1580,1580.0,,,,798,,461.0,,,337,2378,3681,0,2932,2.0,2930.0,-248,-632.0,-823,1229,104,1333,5014,
12/31/2014,4905,1290,1121,169.0,753,753,0.0,654,304.0,398.0,0.0,-48.0,257,,0.0,27.0,228.0,2954,1176,2327.0,-1151.0,0,,775,259,90,169,,,,204.0,312,1951,,1155,791,32.0,,332.0,65,0.0,,,,65.0,41,0.0,0.0,21,1261,1588,1588.0,,,,876,0.0,580.0,,,296,2464,3725,0,2642,2.0,2640.0,-33,-532.0,-997,1080,100,1180,4905,
03/31/2015,4738,1050,885,165.0,880,880,0.0,686,318.0,368.0,0.0,0.0,244,,,,244.0,2860,1131,,,0,,747,231,79,152,,,,203.0,313,1878,,1215,866,40.0,,309.0,53,0.0,,,,53.0,0,,,0,1268,1572,1572.0,,,,801,,532.0,,,269,2373,3641,0,2646,2.0,2644.0,-98,-477.0,-1080,991,106,1097,4738,
06/30/2015,4790,1063,894,169.0,881,881,0.0,695,335.0,360.0,0.0,0.0,240,,,,240.0,2879,1168,,,0,,743,232,82,150,,,,195.0,316,1911,,1251,860,57.0,,334.0,51,0.0,,,,51.0,0,,,0,1302,1570,1570.0,,,,809,,532.0,,,277,2379,3681,0,2652,2.0,2650.0,-161,-428.0,-1057,1006,103,1109,4790,
09/30/2015,4600,974,817,157.0,775,775,0.0,690,334.0,356.0,0.0,0.0,242,,,,242.0,2681,1141,,,0,,778,187,83,104,,,,191.0,400,1919,,1156,796,44.0,,316.0,40,0.0,,,,40.0,0,,,0,1196,1566,1566.0,,,,787,,501.0,,,286,2353,3549,0,2659,2.0,2657.0,-281,-318.0,-1110,950,101,1051,4600,
12/31/2015,4301,953,791,162.0,666,666,0.0,625,306.0,365.0,0.0,-46.0,187,,0.0,,180.0,2431,1167,2350.0,-1183.0,0,,703,182,80,102,,96.0,,150.0,275,1870,,1052,712,17.0,,323.0,22,0.0,,,,22.0,15,0.0,0.0,0,1089,1553,1553.0,,,,828,0.0,521.0,,,307,2381,3470,0,2313,2.0,2311.0,-1,-410.0,-1174,728,103,831,4301,
03/31/2016,4468,833,669,164.0,804,804,0.0,670,325.0,345.0,0.0,0.0,256,,,,256.0,2563,1210,,,0,,695,203,91,112,,,,150.0,342,1905,,1125,795,19.0,,311.0,27,0.0,,,,27.0,0,,,0,1152,1574,1574.0,,,,858,,523.0,,,335,2432,3584,0,2315,2.0,2313.0,-30,-374.0,-1133,778,106,884,4468,
06/30/2016,4567,909,745,164.0,802,802,0.0,666,326.0,,,340.0,260,,,,254.0,2637,1241,,,0,,689,198,88,110,,,,147.0,344,1930,,1191,843,30.0,,318.0,31,0.0,,,,31.0,15,,12.0,0,1237,1637,1637.0,,,,855,,510.0,,,333,2492,3729,0,2319,2.0,2317.0,-83,-330.0,-1163,743,95,838,4567,
09/30/2016,4613,853,727,126.0,798,798,0.0,696,331.0,,,365.0,294,,,,290.0,2641,1283,,,0,,689,197,89,108,,,,147.0,345,1972,,1185,833,20.0,,332.0,50,0.0,,,,50.0,17,,28.0,0,1252,1615,1615.0,,,,876,,508.0,,,340,2491,3743,0,2324,2.0,2322.0,-83,-281.0,-1187,773,97,870,4613,
12/31/2016,4860,737,707,30.0,718,718,0.0,638,321.0,0.0,0.0,317.0,191,,0.0,,188.0,2284,1413,2715.0,-1302.0,0,,1163,199,90,109,,588.0,,150.0,226,2576,,1176,819,15.0,,342.0,69,0.0,0.0,0.0,,69.0,8,0.0,12.0,0,1253,1595,1595.0,0.0,0.0,,770,0.0,565.0,,,193,2365,3618,0,2329,2.0,2327.0,-83,195.0,-1284,1157,85,1242,4860,
03/31/2017,5290,454,423,31.0,1005,1005,0.0,814,376.0,0.0,0.0,438.0,231,,,,227.0,2504,1676,,,0,,1110,314,134,180,,578.0,,158.0,60,2786,,1397,1028,22.0,,347.0,213,0.0,,,,213.0,6,,2.0,0,1616,1623,1623.0,,,,824,,569.0,,,253,2447,4063,0,2336,2.0,2334.0,-86,82.0,-1254,1078,149,1227,5290,
06/30/2017,5597,604,568,36.0,1054,1054,0.0,852,404.0,0.0,0.0,448.0,265,,,,258.0,2775,1708,,,0,,1114,316,136,180,,577.0,,156.0,65,2822,,1553,1116,35.0,,402.0,31,0.0,,,,31.0,3,,94.0,0,1587,1841,1841.0,,,,897,,579.0,,,224,2738,4325,0,2341,2.0,2339.0,-86,143.0,-1279,1119,153,1272,5597,
09/30/2017,5710,596,558,38.0,1068,1068,0.0,911,430.0,481.0,0.0,0.0,268,,,,262.0,2843,1762,,,0,,1105,315,138,177,,567.0,,155.0,68,2867,,1621,1154,34.0,,433.0,26,0.0,,,,26.0,6,,2.0,0,1653,1765,1765.0,,,,948,,564.0,,,382,2713,4366,0,2350,2.0,2348.0,-87,202.0,-1277,1188,156,1344,5710,
12/31/2017,5644,643,603,40.0,992,992,0.0,969,442.0,0.0,0.0,527.0,278,83.0,0.0,7.0,186.0,2882,1807,3363.0,-1556.0,0,,955,301,127,174,17.0,420.0,3.0,163.0,51,2762,,1640,1165,53.0,,422.0,40,17.0,0.0,0.0,,23.0,22,0.0,177.0,2,1702,1759,1759.0,0.0,0.0,,1022,0.0,607.0,,,238,2781,4483,0,2356,2.0,2354.0,-87,86.0,-1342,1013,148,1161,5644,
03/31/2018,5945,520,479,41.0,1259,1259,0.0,1032,490.0,0.0,0.0,542.0,353,,,9.0,337.0,3164,1827,,,0,,954,302,130,172,,407.0,,171.0,74,2781,,1812,1301,58.0,,453.0,39,10.0,,,,29.0,10,,227.0,7,1861,1755,1755.0,,,,1065,,604.0,,,234,2820,4681,0,2352,2.0,2350.0,-93,181.0,-1336,1104,160,1264,5945,
06/30/2018,5924,376,339,37.0,1229,1229,0.0,1046,469.0,0.0,0.0,577.0,296,,,10.0,284.0,2947,1806,,,0,,1171,388,211,177,,453.0,,260.0,70,2977,,1752,1244,85.0,,423.0,44,24.0,,,,20.0,16,,161.0,6,1812,1765,1765.0,,,,947,,578.0,,,208,2712,4524,0,2358,2.0,2356.0,-118,290.0,-1385,1145,255,1400,5924,
09/30/2018,5947,358,322,36.0,1222,1222,0.0,1100,501.0,,0.0,599.0,282,,,,276.0,2962,1828,,,0,,1157,422,249,173,,443.0,,216.0,76,2985,,1755,1246,67.0,,442.0,36,16.0,,,,20.0,8,,159.0,0,1799,1760,1760.0,,,,921,,553.0,,,209,2681,4480,0,2366,2.0,2364.0,-119,371.0,-1379,1239,228,1467,5947,
12/31/2018,5918,531,510,21.0,1057,1057,0.0,1031,433.0,0.0,0.0,598.0,288,76.0,0.0,,204.0,2907,1850,3576.0,-1726.0,0,,1161,428,264,164,3.0,445.0,3.0,208.0,74,3011,,1707,1217,47.0,,443.0,28,8.0,0.0,0.0,,20.0,12,0.0,118.0,0,1747,1755,1755.0,0.0,0.0,,874,0.0,561.0,,,195,2629,4376,0,2370,2.0,2368.0,-119,456.0,-1362,1345,197,1542,5918,
03/31/2019,7284,403,383,20.0,1406,1406,0.0,1282,515.0,0.0,0.0,767.0,352,,,,342.0,3443,2423,,,0,,1418,641,456,185,,464.0,,226.0,87,3841,,2014,1448,62.0,,504.0,94,0.0,39.0,,39.0,55.0,5,,92.0,0,2113,2572,2425.0,147.0,,147.0,955,,602.0,,,261,3527,5640,0,2374,2.0,2372.0,-150,538.0,-1328,1434,210,1644,7284,
06/30/2019,7346,304,289,15.0,1413,1413,0.0,1286,524.0,0.0,0.0,762.0,367,,,,357.0,3370,2411,,,0,,1565,773,533,240,,534.0,,170.0,88,3976,,1965,1405,64.0,,496.0,97,0.0,46.0,5.0,41.0,51.0,2,,102.0,0,2064,2560,2392.0,168.0,26.0,142.0,803,,438.0,,,263,3363,5427,0,2378,2.0,2376.0,-150,456.0,-968,1716,203,1919,7346,
09/30/2019,7231,422,402,20.0,1276,1276,0.0,1233,495.0,0.0,0.0,738.0,342,,,,333.0,3273,2373,,,0,,1585,762,530,232,,539.0,,172.0,112,3958,,1815,1285,55.0,,475.0,163,0.0,46.0,5.0,41.0,117.0,12,,42.0,0,1990,2482,2321.0,161.0,25.0,136.0,707,,418.0,,,247,3189,5179,0,2383,2.0,2381.0,-150,552.0,-994,1791,261,2052,7231,
12/31/2019,7220,527,508,19.0,1088,1088,0.0,1193,470.0,0.0,0.0,723.0,354,109.0,,,230.0,3162,2443,4418.0,-1975.0,0,,1615,733,493,240,3.0,580.0,4.0,182.0,113,4058,,1757,1255,46.0,,456.0,76,9.0,47.0,5.0,42.0,20.0,12,,71.0,0,1845,2476,2312.0,164.0,24.0,140.0,764,,459.0,,,234,3240,5085,0,2388,2.0,2386.0,-150,622.0,-987,1873,262,2135,7220,
03/31/2020,7235,651,628,23.0,1105,1105,0.0,1213,493.0,0.0,0.0,720.0,338,,,,334.0,3307,2343,,,0,,1585,671,441,230,,603.0,,178.0,133,3928,,1641,1181,44.0,,416.0,382,312.0,42.0,,42.0,28.0,44,,17.0,0,2067,2469,2335.0,134.0,,134.0,664,,440.0,,,207,3133,5200,0,2393,2.0,2391.0,-156,644.0,-1098,1783,252,2035,7235,
06/30/2020,6908,713,694,19.0,886,886,0.0,1116,478.0,0.0,0.0,638.0,327,,,,323.0,3042,2326,,,0,,1540,679,451,228,,573.0,,164.0,124,3866,,1266,796,45.0,,425.0,85,7.0,42.0,,42.0,36.0,28,,5.0,0,1379,2966,2827.0,139.0,,139.0,684,,445.0,,,234,3650,5029,0,2392,2.0,2390.0,-156,490.0,-1082,1644,235,1879,6908,
