Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2009,43789,4678,4607,71.0,1353,1353,0.0,327,,,,,1633,0.0,,1093.0,7991,20433,23357,-2924,0.0,,,15365,14616,9787,4829,749,35798,,3437,1249,525.0,0.0,1663.0,1533,0.0,88.0,88.0,,1445.0,4827,3198.0,21.0,0,9797,15665,15220.0,445.0,445.0,,18082,0.0,11745.0,1917.0,1201,33747,43544,0.0,13827,,,-174,-9845,-3563,245,0.0,245,43789,
03/31/2010,44339,4913,4913,,1533,1533,0.0,319,,,,,1596,88.0,,1121.0,8361,20481,23728,-3247,0.0,,,15497,14599,9794,4805,810,35978,,3825,1505,705.0,,1615.0,1665,0.0,,,,1665.0,5734,3128.0,28.0,0,11224,15251,15251.0,,,,17792,,11614.0,1731.0,1291,33043,44267,0.0,13856,,,-181,-10101,-3502,72,0.0,72,44339,
06/30/2010,43809,4434,4434,,1635,1635,0.0,285,,,,,1514,65.0,,1141.0,7868,20396,23938,-3542,0.0,,,15545,14580,9794,4786,900,35941,,3981,1544,721.0,,1716.0,1555,0.0,,,,1555.0,6356,3014.0,63.0,0,11892,14228,14228.0,,,,17490,,11320.0,1803.0,1290,31718,43610,0.0,13884,,,-198,-9634,-3853,199,0.0,199,43809,
09/30/2010,43153,3875,3436,439.0,1512,1512,0.0,278,,,,,1656,68.0,,1250.0,7321,20184,24020,-3836,0.0,,,15648,14560,9794,4766,1020,35832,,4063,1661,592.0,,1810.0,2302,0.0,,,,2302.0,5455,2916.0,84.0,0,11820,13063,13063.0,,,,17555,,11383.0,1734.0,1438,30618,42438,0.0,13900,,,-198,-9271,-3716,715,0.0,715,43153,
12/31/2010,43188,3610,2892,718.0,1456,1456,0.0,318,,,,,1923,38.0,,1213.0,7307,20307,24471,-4164,0.0,,,15574,14543,9794,4749,993,35881,,4202,1713,579.0,0.0,1910.0,2073,0.0,119.0,119.0,,1954.0,5110,2777.0,83.0,0,11385,13179,12553.0,626.0,626.0,,17727,0.0,11493.0,1924.0,1450,30906,42291,0.0,13926,,,-199,-9252,-3578,897,0.0,897,43188,
03/31/2011,43881,3839,2881,958.0,1848,1848,0.0,349,,,,,1957,23.0,,1322.0,7993,20333,24832,-4499,0.0,,,15555,14525,9794,4731,1007,35888,,4120,1907,759.0,,1454.0,1723,0.0,,,,1723.0,6417,2693.0,43.0,0,12260,13446,13446.0,,,,17417,,11487.0,1851.0,1343,30863,43123,0.0,13945,,,-214,-9570,-3403,758,0.0,758,43881,
06/30/2011,43878,3822,2855,967.0,1885,1885,0.0,403,,,,,1953,3.0,,1409.0,8063,20315,25135,-4820,0.0,,,15500,14508,9794,4714,989,35815,,4421,1900,766.0,,1755.0,1635,0.0,,,,1635.0,6746,2662.0,150.0,0,12802,13026,13026.0,,,,17265,,11307.0,1913.0,1233,30291,43093,0.0,13964,,,-214,-9372,-3593,785,0.0,785,43878,
09/30/2011,43036,3265,2307,958.0,1816,1816,0.0,380,,,,,1868,11.0,,1364.0,7329,20256,25428,-5172,0.0,,,15451,14491,9794,4697,949,35707,,3967,1641,597.0,,1729.0,1937,0.0,,,,1937.0,6108,2604.0,114.0,0,12012,12557,12557.0,,,,17245,,11250.0,1967.0,1310,29802,41814,0.0,13983,,,-214,-8823,-3724,1222,0.0,1222,43036,
12/31/2011,43499,3615,2657,958.0,1563,1563,0.0,535,,,,,2016,5.0,,978.0,7729,20223,25695,-5472,0.0,,,15547,14545,9794,4751,997,35770,,4525,1600,594.0,0.0,2331.0,1944,0.0,117.0,117.0,,1827.0,6232,2700.0,107.0,318,12701,11847,11233.0,614.0,614.0,,20347,0.0,14200.0,2028.0,1312,32194,44895,0.0,13999,,,-231,-8398,-6766,-1396,0.0,-1396,43499,
03/31/2012,44189,3870,2911,959.0,1807,1807,0.0,364,,,,,2258,23.0,,1401.0,8299,20332,26129,-5797,0.0,,,15558,14527,9794,4733,1008,35890,,4560,1998,704.0,,1858.0,1855,0.0,,,,1855.0,7231,2680.0,85.0,489,13646,11521,11521.0,,,,20033,,13905.0,1959.0,1404,31554,45200,0.0,14015,,,-234,-8274,-6518,-1011,0.0,-1011,44189,
06/30/2012,44720,3498,2539,959.0,1828,1828,0.0,393,,,,,2738,137.0,,1701.0,8457,20609,26750,-6141,0.0,,,15654,14510,9794,4716,1007,36263,,4883,2175,722.0,,1986.0,1779,0.0,,,,1779.0,8031,2651.0,139.0,476,14693,11221,11221.0,,,,19941,,13613.0,2071.0,1467,31162,45855,0.0,14031,,,-234,-8442,-6490,-1135,0.0,-1135,44720,
09/30/2012,44352,3233,2274,959.0,1785,1785,0.0,403,,,,,2742,88.0,,1721.0,8163,20599,26936,-6337,0.0,,,15590,14491,9794,4697,1011,36189,,5103,2325,638.0,,2140.0,1546,0.0,,,,1546.0,6575,2617.0,159.0,391,13224,11111,11111.0,,,,20065,,13688.0,2049.0,1552,31176,44400,0.0,14045,,,-234,-7395,-6464,-48,0.0,-48,44352,
12/31/2012,44550,3374,2416,958.0,1693,1693,0.0,1023,,,,,2182,69.0,,1146.0,8272,20713,27369,-6656,0.0,,,15565,14473,9794,4679,1023,36278,,5399,2293,585.0,0.0,2521.0,1627,0.0,,,,1627.0,6244,2628.0,49.0,455,13270,11082,11082.0,,,,22329,0.0,16005.0,2047.0,1600,33411,46681,0.0,14069,,,-234,-7389,-8577,-2131,0.0,-2131,44550,
03/31/2013,45068,3594,2636,958.0,1994,1994,0.0,995,,,,,2058,102.0,,1099.0,8641,20793,27731,-6938,0.0,,,15634,14503,9794,4709,1029,36427,,5091,2405,735.0,,1951.0,1593,0.0,,,,1593.0,7384,2616.0,52.0,604,14068,10721,10721.0,,,,22222,,15865.0,2047.0,1642,32943,47011,0.0,14120,,,-255,-7382,-8426,-1943,0.0,-1943,45068,
06/30/2013,45772,3923,2965,958.0,2084,2084,0.0,962,,,,,1926,128.0,,1071.0,8895,21049,28335,-7286,0.0,,,15828,14486,9794,4692,1214,36877,,5336,2571,789.0,,1976.0,1695,0.0,,,,1695.0,7744,2582.0,57.0,604,14775,10526,10526.0,,,,21655,,15356.0,2037.0,1623,32181,46956,0.0,14150,,,-255,-6748,-8331,-1184,0.0,-1184,45772,
09/30/2013,45997,3977,3018,959.0,1969,1969,0.0,1032,,,,,1973,86.0,,958.0,8951,21297,28775,-7478,0.0,,,15749,14469,9794,4675,1194,37046,,5451,2592,697.0,,2162.0,1823,0.0,,,,1823.0,6860,2568.0,58.0,545,14134,10077,10077.0,,,,21649,,15379.0,1993.0,1651,31726,45860,0.0,14096,,,-256,-5379,-8324,137,0.0,137,45997,
12/31/2013,52252,3803,2844,959.0,1609,1609,0.0,1063,,,,,3176,129.0,4992.0,855.0,9651,21854,29646,-7792,0.0,,,20747,14452,9794,4658,1174,42601,,5874,2300,673.0,0.0,2901.0,1547,0.0,98.0,98.0,,1449.0,6731,2559.0,64.0,602,14152,9795,9396.0,399.0,399.0,,16662,0.0,12392.0,0.0,1647,26457,40609,0.0,13982,,,-258,3049,-5130,11643,0.0,11643,52252,
03/31/2014,52167,3658,2699,959.0,2042,2042,0.0,948,,,,,3098,74.0,4854.0,933.0,9746,21972,30139,-8167,0.0,,,20449,14436,9794,4642,1085,42421,,5426,2341,810.0,,2275.0,1578,0.0,,,,1578.0,8006,2527.0,51.0,604,15010,9466,9466.0,,,,16050,,11811.0,,1661,25516,40526,0.0,13876,,,-307,3211,-5139,11641,0.0,11641,52167,
06/30/2014,52191,4081,3362,719.0,2104,2104,0.0,961,,,,,3371,52.0,4102.0,987.0,10517,22048,30596,-8548,0.0,,,19626,14419,9794,4625,1053,41674,,5896,2536,790.0,,2570.0,1233,0.0,,,,1233.0,8080,2432.0,28.0,592,15209,9089,9089.0,,,,15690,,11523.0,,1707,24779,39988,0.0,13687,,,-309,3962,-5137,12203,0.0,12203,52191,
09/30/2014,51940,4362,2510,1852.0,2135,2135,0.0,942,,,,,3556,46.0,3696.0,1154.0,10995,21722,30681,-8959,0.0,,,19223,14408,9794,4614,1073,40945,,6348,2577,687.0,,3084.0,1169,0.0,,,,1169.0,7296,2386.0,37.0,603,14813,8970,8970.0,,,,15861,,11529.0,,1909,24831,39644,0.0,13464,,,-312,4244,-5100,12296,0.0,12296,51940,
12/31/2014,54121,3305,2088,1217.0,2297,2297,0.0,852,,,,,6011,52.0,4320.0,1658.0,12465,21929,31269,-9340,0.0,,,19727,14397,9794,4603,958,41656,,7015,2622,,0.0,4393.0,1216,0.0,107.0,107.0,,1109.0,8648,2602.0,140.0,0,16879,8561,8270.0,291.0,291.0,,19868,0.0,15138.0,,1988,28429,45308,0.0,12981,,,-313,3456,-7311,8813,0.0,8813,54121,
03/31/2015,53752,3569,2122,1447.0,2057,2057,0.0,801,,,,,5839,48.0,4051.0,1173.0,12266,22023,31788,-9765,0.0,,,19463,14393,9794,4599,971,41486,,6105,2492,,,3613.0,1261,0.0,,,,1261.0,9953,2455.0,455.0,0,17319,8305,8305.0,,,,19082,,14170.0,,2002,27387,44706,0.0,12578,,,-365,4127,-7294,9046,0.0,9046,53752,
06/30/2015,52781,3787,2293,1494.0,1966,1966,0.0,881,,,,,4807,64.0,3374.0,949.0,11441,22480,32620,-10140,0.0,,,18860,14388,9794,4594,1034,41340,,6383,2803,,,3580.0,1659,0.0,,,,1659.0,9040,2347.0,267.0,0,17082,7598,7598.0,,,,18538,,13869.0,,2055,26136,43218,0.0,11681,0.0,11681.0,-370,5540,-7288,9563,0.0,9563,52781,
09/30/2015,53646,3811,2369,1442.0,1974,1974,0.0,695,,,,,5493,384.0,2834.0,1197.0,11973,22608,33171,-10563,0.0,,,19065,14383,9794,4589,1464,41673,,6857,2688,,,4169.0,1705,0.0,,,,1705.0,9046,2265.0,518.0,0,17608,7096,7096.0,,,,18597,,13867.0,,1947,25693,43301,0.0,11285,,,-372,6748,-7316,10345,0.0,10345,53646,
12/31/2015,53134,3437,1972,1465.0,2020,2020,0.0,697,,,,,2902,24.0,4956.0,915.0,9056,23039,33910,-10871,0.0,,,21039,14655,9794,4861,1404,44078,,7244,2743,,0.0,4501.0,1563,0.0,148.0,148.0,,1415.0,8719,2246.0,11.0,0,17526,6766,6531.0,235.0,235.0,,17992,0.0,13855.0,,1880,24758,42284,0.0,12936,,,-373,5562,-7275,10850,0.0,10850,53134,
03/31/2016,53342,2914,1708,1206.0,2179,2179,0.0,693,,,,,3520,24.0,4489.0,1341.0,9306,23422,34736,-11314,0.0,,,20614,14650,9794,4856,1451,44036,,6354,2732,,,3622.0,1531,0.0,,,,1531.0,10223,2276.0,267.0,0,18108,6920,6920.0,,,,17062,,12695.0,,1824,23982,42090,0.0,10339,,,-270,8462,-7279,11252,0.0,11252,53342,
06/30/2016,51634,2951,1662,1289.0,2102,2102,0.0,795,,,,,1790,40.0,3797.0,1017.0,7638,23975,35686,-11711,0.0,,,20021,14646,9794,4852,1538,43996,,6696,2956,,,3740.0,1115,0.0,,,,1115.0,8439,2294.0,225.0,0,16250,6689,6689.0,,,,16885,,12576.0,,1790,23574,39824,0.0,9361,,,-272,10000,-7279,11810,0.0,11810,51634,
09/30/2016,50948,3152,1638,1514.0,1996,1996,0.0,775,,,,,1406,46.0,3150.0,910.0,7329,24105,36211,-12106,0.0,,,19514,14642,9794,4848,1676,43619,,6561,2567,,,3994.0,1092,0.0,,,,1092.0,7494,2275.0,145.0,0,15147,6473,6473.0,,,,16818,,12587.0,,1811,23291,38438,0.0,8887,,,-274,11109,-7212,12510,0.0,12510,50948,
12/31/2016,51261,3249,2762,487.0,2064,2064,0.0,891,,,,,1247,7.0,3064.0,854.0,7451,24375,36831,-12456,0.0,,,19435,14638,9794,4844,1726,43810,,7403,2572,,0.0,4831.0,1131,0.0,122.0,122.0,,1009.0,6705,2278.0,3.0,427,15239,6201,5999.0,202.0,202.0,,17534,,13378.0,,1875,23735,38974,0.0,12294,,,-274,7903,-7636,12287,0.0,12287,51261,
03/31/2017,51459,2650,1907,743.0,2307,2307,0.0,855,,,,,1068,1.0,2750.0,839.0,6880,24817,37749,-12932,0.0,,,19762,14649,9794,4855,2362,44579,,6347,2353,,,3994.0,1040,0.0,,,,1040.0,8566,2261.0,12.0,0,15953,8187,8187.0,,,,14374,,10291.0,,1810,22561,38514,0.0,12443,,,-153,8226,-7571,12945,0.0,12945,51459,
06/30/2017,51815,2988,2241,747.0,2164,2164,0.0,938,,,,,1087,1.0,2077.0,924.0,7177,25367,38703,-13336,0.0,,,19271,14649,9794,4855,2544,44638,,7070,2726,,,4344.0,1098,0.0,,,,1098.0,8463,2281.0,6.0,0,16631,7916,7916.0,,,,13789,,9623.0,,1879,21705,38336,0.0,12279,,,-156,8905,-7549,13479,0.0,13479,51815,
09/30/2017,51928,2438,1478,960.0,2399,2399,0.0,1136,,,,,1110,4.0,1422.0,897.0,7083,25900,39666,-13766,0.0,,,18945,14645,9794,4851,2874,44845,,7633,3059,,,4574.0,1224,0.0,,,,1224.0,7639,2281.0,30.0,0,16496,7584,7584.0,,,,13847,,9565.0,,1971,21431,37927,0.0,12133,,,-158,9502,-7476,14001,0.0,14001,51928,
12/31/2017,53671,2639,1814,825.0,2377,2377,0.0,1329,,,,,1459,9.0,1354.0,820.0,7804,26563,40660,-14097,0.0,,,19304,14641,9794,4847,3300,45867,,7817,3634,,0.0,4183.0,2242,0.0,97.0,97.0,,2145.0,8900,3559.0,24.0,1067,18959,6592,6295.0,297.0,297.0,,15590,0.0,9810.0,,2197,22182,41141,0.0,12053,,,-158,8256,-7621,12530,0.0,12530,53671,
03/31/2018,54078,1970,1447,523.0,2568,2568,0.0,1146,,,,,2040,54.0,1175.0,1031.0,7724,27096,41681,-14585,0.0,,,19258,14637,9794,4843,3392,46354,,7670,3351,,,4319.0,2289,0.0,,,,2289.0,10053,3636.0,78.0,42,20012,6360,5945.0,415.0,415.0,,15149,,9193.0,,2242,21509,41521,0.0,11967,,,-194,8465,-7681,12557,0.0,12557,54078,
06/30/2018,55796,2406,1886,520.0,2427,2427,0.0,1589,,,,,1219,12.0,804.0,1135.0,7641,28124,43221,-15097,0.0,,,20031,14633,9794,4839,4582,48155,,7706,3749,,,3957.0,1342,0.0,,,,1342.0,10221,3692.0,41.0,956,19269,8562,8172.0,390.0,390.0,,15109,,9052.0,,2324,23671,42940,0.0,11807,,,-196,8851,-7606,12856,0.0,12856,55796,
09/30/2018,55003,1858,1380,478.0,2517,2517,0.0,1170,,,,,1181,15.0,432.0,1122.0,6726,28565,44117,-15552,0.0,,,19712,14629,9794,4835,4636,48277,,7446,3265,,,4181.0,1176,0.0,,,,1176.0,9536,3607.0,74.0,990,18158,8115,7705.0,410.0,410.0,,15026,,8902.0,,2443,23141,41299,0.0,11740,,,-197,9696,-7535,13704,0.0,13704,55003,
12/31/2018,60266,1565,1565,0.0,2314,2314,0.0,1055,,,,,1406,8.0,,1362.0,6340,34329,50152,-15823,0.0,,,19597,14611,9781,4830,4978,53926,,7358,2976,,0.0,4382.0,2473,0.0,1064.0,109.0,955.0,1409.0,8747,3652.0,17.0,1075,18578,14054,7959.0,6095.0,294.0,5801.0,13947,0.0,9163.0,163.0,952,28001,46579,0.0,11671,,,-198,10039,-7825,13687,0.0,13687,60266,
03/31/2019,61841,1910,1910,0.0,3154,3154,0.0,1071,,,,,1061,28.0,,998.0,7196,35175,51576,-16401,0.0,,,19470,14608,9781,4827,4834,54645,,6602,3214,,,3388.0,3996,0.0,941.0,,941.0,3055.0,10725,3611.0,6.0,1066,21323,13515,7252.0,6263.0,458.0,5805.0,14092,,9086.0,,1389,27607,48930,0.0,11254,,,-233,9656,-7766,12911,0.0,12911,61841,
06/30/2019,62518,2009,2009,0.0,2844,2844,0.0,1083,,,,,1198,59.0,,1131.0,7134,36071,53076,-17005,0.0,,,19313,14605,9781,4824,4649,55384,,7256,3359,,,3897.0,3122,0.0,1035.0,194.0,841.0,2087.0,10786,3606.0,10.0,1067,21164,13249,7209.0,6040.0,501.0,5539.0,14147,,8516.0,,2015,27396,48560,0.0,11201,,,-235,10686,-7694,13958,0.0,13958,62518,
09/30/2019,63219,1899,1899,0.0,2836,2836,0.0,1072,,,,,1137,87.0,,1074.0,6944,36611,53824,-17213,0.0,,,19664,14602,9781,4821,4975,56275,,7745,3470,,,4275.0,3040,0.0,844.0,,844.0,2196.0,9426,3496.0,0.0,439,20211,13364,6678.0,6686.0,1245.0,5441.0,14576,,8457.0,1245.0,1378,27940,48151,0.0,11177,,,-236,11772,-7645,15068,0.0,15068,63219,
12/31/2019,64532,2882,2882,0.0,2854,2854,0.0,1251,,,,,1262,53.0,,1224.0,8249,36937,53964,-17027,0.0,,,19346,14944,9781,5163,4349,56283,,8026,3266,,0.0,4760.0,3088,0.0,1034.0,233.0,801.0,2054.0,9090,3509.0,4.0,736,20204,14167,8053.0,6114.0,820.0,5294.0,14803,0.0,8452.0,1456.0,1382,28970,49174,0.0,11129,,,-236,12454,-7989,15358,0.0,15358,64532,
03/31/2020,68738,5967,5967,0.0,2280,2280,0.0,974,,,,,1054,25.0,,942.0,10275,37132,54638,-17506,3684.0,3684.0,,17647,15772,9753,6019,1850,58463,,6400,3337,,,3063.0,5105,0.0,1015.0,247.0,768.0,4090.0,7887,5718.0,0.0,1100,19392,17866,11750.0,6116.0,912.0,5204.0,17171,,8285.0,1502.0,1666,35037,54429,0.0,11054,,,-270,11423,-7898,14309,0.0,14309,68738,
06/30/2020,72261,15668,11366,4302.0,1375,1375,0.0,847,,,,,1025,24.0,,1010.0,18915,34123,51390,-17267,1633.0,1633.0,,17590,15770,9753,6017,1796,53346,,7455,2332,,,5123.0,5962,0.0,1008.0,276.0,732.0,4954.0,6733,5786.0,0.0,839,20150,24783,18539.0,6244.0,873.0,5371.0,18638,,8160.0,447.0,4245,43421,63571,0.0,11192,,,-271,5706,-7937,8690,0.0,8690,72261,
