Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/1992,68.872002,,-50.643002,,18.229,,-10.005,,,,,,8.224,0.303,,1.449,,,,,-1.752,8.527,-0.328,,,8.199,0.0,,,8.199,0.0,8.199,0.0,,8.199,8.199,,2.60152,3.25,3.25,,2.60152,3.25,3.25,3.25,
09/30/1992,73.727997,,-53.605,,20.122997,,-11.662,,,,,,8.461,0.968,,1.329,,,1.217,,-3.514,9.429,-0.265,,,9.164,0.0,,,9.164,0.0,9.164,0.0,,9.164,9.164,,2.32856,3.25,3.25,3.25,2.32856,3.25,3.25,3.25,
12/31/1992,69.883003,,-51.743,,18.140003,,-10.238,,,,,,7.902,0.29,,2.065,,,0.0,,-2.355,8.192,-0.481,,,7.711,0.0,,,7.711,0.0,7.711,0.0,,7.711,7.711,,2.63788,3.0,3.0,,2.63788,3.0,3.0,3.0,
03/31/1993,78.896004,,-61.333,,17.563004,,-9.681,,,,,,7.882,1.371,,1.968,,,0.0,,-3.339,9.253,-0.58,,,8.673,0.0,,,8.673,0.0,8.673,0.0,,8.673,8.673,,2.65872,3.25,3.25,,2.65872,3.25,3.25,3.25,
06/30/1993,83.274002,,-64.891998,,18.382004,,-10.545,,,,,,7.837,4.553,,1.97,,,0.0,,-6.523,12.39,-1.552,,,10.838,0.0,,,10.838,0.0,10.838,0.0,,10.838,10.838,,2.75072,4.0,4.0,,2.75072,4.0,4.0,4.0,
09/30/1993,119.984001,,-101.928001,,18.056,,-9.991,,,,,,8.065,-1.463,,2.044,,,0.547,,-1.128,6.602,0.439,,,7.041,0.0,,,7.041,0.0,7.041,0.0,,7.041,7.041,,2.88012,2.5,2.5,2.5,2.88012,2.5,2.5,2.5,
12/31/1993,133.932007,,-110.929001,,23.003006,,-12.085,,,,,,10.918,-0.683,,2.198,,,0.0,,-1.515,10.235,-1.17,,,9.065,0.0,,,9.065,0.0,9.065,0.0,,9.065,9.065,,3.37504,2.75,2.75,,3.37504,2.75,2.75,2.75,
03/31/1994,118.577003,,-96.276001,,22.301003,,-11.778,,,,,,10.523,-1.072,,2.188,,,0.0,,-1.116,9.451,-1.216,,,8.235,0.0,,,8.235,0.0,8.235,0.0,,8.235,8.235,,3.43028,2.5,2.5,,3.43028,2.5,2.5,2.5,
06/30/1994,111.387001,,-90.433998,,20.953003,,-11.528,,,,,,9.425,-31.065,,1.769,,,0.0,,29.296,-21.639999,-1.266,,,-22.906,0.0,,,-22.905999,0.0,-22.906,0.0,,-22.906,-22.906,,3.34536,-6.75,-6.75,,3.34536,-6.75,-6.75,-6.75,
09/30/1994,120.372002,,-98.278999,,22.093003,,-13.974,,,,,,8.119,0.074,,2.082,,,0.0,,-2.156,8.193,-1.237,,,6.956,0.0,,,6.956,0.0,6.956,0.0,,6.956,6.956,,3.34536,2.0,2.0,2.0,3.34536,2.0,2.0,2.0,
12/31/1994,126.001999,,-100.708,,25.293999,,-11.639,,,,,,13.655,-0.104,,1.948,,,0.0,,-1.844,13.551,-2.478,,,11.073,0.0,,,11.073,0.0,11.073,0.0,,11.073,11.073,,3.46908,3.25,3.25,,3.46908,3.25,3.25,3.25,
03/31/1995,143.335007,,-116.197998,,27.137009,,-12.974,,,,,,14.163,0.284,,2.146,,,0.0,,-2.43,14.447,-2.163,,,12.284,0.0,,,12.284,0.0,12.284,0.0,,12.284,12.284,,3.4648,3.5,3.5,,3.4648,3.5,3.5,3.5,
06/30/1995,152.673004,,-124.733002,,27.940002,,-12.808,,,,,,15.132,-0.938,,2.049,,,0.0,,-1.111,14.194,-1.149,,,13.045,0.0,,,13.045,0.0,13.045,0.0,,13.045,13.045,,3.55556,3.75,3.75,,3.55556,3.75,3.75,3.75,
09/30/1995,150.778,,-123.5,,27.278,,-11.673,,,,,,15.605,0.831,,1.468,,,0.0,,-2.299,16.436,-1.734,,,14.702,0.0,,,14.702,0.0,14.702,0.0,,14.702,14.702,,3.59344,4.0,4.0,4.0,3.59344,4.0,4.0,4.0,
12/31/1995,164.337997,,-134.468002,,29.869995,,-12.538,,,,,,17.332001,-0.112,,1.967,,,,,-1.855,17.220001,-1.958,,,15.262,0.0,,,15.262001,0.0,15.262,0.0,,15.262,15.262,,3.61828,4.25,4.25,,3.61828,4.25,4.25,4.25,
03/31/1996,163.319,,-131.013,,32.306,,-14.117,,,,,,18.188999,1.186,,2.147,,,,,-3.333,19.374999,-2.553,,,16.822001,0.0,,,16.821999,0.0,16.822001,0.0,,16.822001,16.822001,,3.6984,4.5,4.5,,3.6984,4.5,4.5,4.5,
06/30/1996,181.335999,,-145.878006,,35.457993,,-14.908,,,,,,20.549999,1.507,,3.476,,,,,-4.983,22.056999,-3.388,,,18.669001,0.0,,,18.668999,0.0,18.669001,0.0,,18.669001,18.669001,,3.78172,5.0,5.0,5.0,3.78172,5.0,5.0,5.0,
09/30/1996,210.75,,-174.423004,,36.326996,,-15.299,,,,,,21.028,1.92,,4.294,,,,,-6.214,22.948,-3.201,,,19.747,0.0,,,19.747,0.0,19.747,0.0,,19.747,19.747,,3.80744,5.25,5.25,5.25,3.80744,5.25,5.25,5.25,
12/31/1996,217.076996,,-176.992004,,40.084991,,-14.718,,,,,,25.367001,10.196,,4.176,,,0.0,,-14.372,35.563,-15.448,,,20.115,0.0,,,20.115,0.0,20.115,0.0,,20.115,20.115,,3.6892,5.5,5.5,5.75,4.34092,5.0,5.0,5.25,
03/31/1997,267.911011,,-204.212997,,63.698013,,-18.504999,,,,,,45.193001,2.703,,4.811,,,0.0,,-7.514,47.896001,-16.764,,,31.132,0.0,,,31.132001,0.0,31.132,0.0,,31.132,31.132,,3.85428,8.0,8.0,8.0,4.4798,7.25,7.25,7.25,
06/30/1997,305.631989,,-229.763,,75.868988,,-18.115,,,,,,57.754002,8.251,,4.377,,,0.0,,-12.628,66.005002,-23.885,,,42.119999,0.0,,,42.120002,0.0,42.119999,0.0,,42.119999,42.119999,,3.98548,10.5,10.5,10.5,4.62308,9.5,9.5,9.5,
09/30/1997,305.631989,,-241.272995,,64.358994,,-18.273001,,,,,,46.085999,19.676999,,4.592,,,,,-24.268999,65.762998,-23.643,,,42.119999,0.0,,,42.119998,0.0,42.119999,0.0,,42.119999,42.119999,,4.2424,10.0,10.0,10.0,4.53592,9.25,9.25,9.25,
03/31/1998,286.880005,,-209.649994,,77.230011,,-20.105,,,,,,57.125,6.894,,3.739,,,0.0,,-10.633,64.019,-24.327,,,39.692001,0.0,,,39.692001,0.0,39.692001,0.0,,39.692001,39.692001,,4.0322,9.75,9.75,9.75,4.55212,9.0,9.0,9.0,
06/30/1998,249.259003,,-180.147003,,69.112,,-20.034,,,,,,49.077999,7.638999,,3.999,,,0.0,,-11.638,56.716999,-20.985001,,,35.731998,0.0,,,35.731998,0.0,35.731998,0.0,,35.731998,35.731998,,4.03356,8.75,8.75,8.75,4.53108,8.25,8.25,8.25,
09/30/1998,224.214996,,-160.621002,,63.593994,,-18.489,,,,,,45.105,-0.822,,4.101,,,0.0,,-3.279,44.283,-15.745,,,28.538,0.0,,,28.538,0.0,28.538,0.0,,28.538,28.538,,4.03152,7.0,7.0,7.0,4.47304,6.75,6.75,6.75,
12/31/1998,208.240005,,-158.375,,49.865005,,-18.398001,,,,,,31.466999,3.495,,3.624,,,0.216,,-7.335,34.961999,-13.936,,,21.025999,0.0,,,21.025999,0.0,21.025999,0.0,,21.025999,21.025999,,4.0318,5.25,5.25,5.25,4.45248,5.0,5.0,5.0,
03/31/1999,149.692,,-114.722,,34.97,,-16.299,,,,,,18.671,0.942,,5.405,,,,,-6.347,19.613,-7.649,,,11.964,0.0,,,11.964,0.0,11.964,0.0,,11.964,11.964,,4.03212,3.0,3.0,3.0,4.06596,3.0,3.0,3.0,
06/30/1999,129.636,,-105.059,,24.577,,-15.08,,,,,,9.497,-4.09,,11.237,,,,,-7.147,5.407,-2.109,,,3.298,0.0,,,3.298,0.0,3.298,0.0,,3.298,3.298,,4.21904,0.75,0.75,0.75,4.4356,0.75,0.75,0.75,
09/30/1999,142.355,,-117.379,,24.976,,-14.989,,,,,,9.987,-2.216,,6.697,,,,,-4.481,7.771,-3.03,,,4.741,0.0,,,4.741,0.0,4.741,0.0,,4.741,4.741,,4.57528,1.0,1.0,1.0,4.92396,1.0,1.0,1.0,
12/31/1999,216.824,,-181.408,,35.416,,-18.92,,,,,,16.496,-3.658,,7.056,,,,,-3.398,12.838,-5.137,,,7.701,0.0,,,7.701,0.0,7.701,0.0,,7.701,7.701,,4.99676,1.5,1.5,1.5,5.35892,1.5,1.5,1.5,
03/31/2000,279.116,,-193.462,,85.654,0.0,-63.069,,,,,,22.585,8.33,8.062,8.651,-0.589,,,-10.568,-5.824,30.915,-12.984,,,17.931,-1.703,,,19.634,0.0,19.634,0.0,0.0,19.634,19.634,,5.57096,3.5,3.25,3.25,5.95404,3.25,3.0,3.0,
06/30/2000,291.293,,-234.014,,57.279,,-26.619,,,,,,30.66,10.897,,7.445,,,,,-18.342,41.557,-17.454,,,24.103,0.0,,,24.103,0.0,24.103,0.0,,24.103,24.103,,5.82572,4.25,4.25,4.25,6.1098,4.0,4.0,4.0,
09/30/2000,344.506,,-268.578,,75.928,,-26.164,,,,,,49.764,14.501,,10.066,,,,,-24.567,64.265,-25.705,,,38.56,-0.147,,,38.707,0.0,38.707,0.0,0.0,38.707,38.707,,5.84248,6.5,6.5,6.5,6.49584,6.25,6.25,6.25,
12/31/2000,412.209,,-307.545,,104.664,,-27.788,,,,,,76.876,13.094,,9.208,,,,,-22.302,89.97,-35.09,,,54.88,-0.032,,,54.912,0.0,54.912,0.0,,54.912,54.912,,5.85596,9.25,9.25,9.25,6.53576,8.75,8.75,8.75,
03/31/2001,513.834,,-366.966,,146.868,,-33.086,,,,,,113.782,20.311,,12.464,-13.26,,-0.482,,-19.033,134.093,-50.955,,,83.138,0.0,,,83.138,0.0,83.138,0.0,0.0,83.138,83.138,,5.86784,14.25,14.25,14.25,6.81044,12.75,12.75,12.75,
06/30/2001,601.484009,,-416.779999,,184.70401,,-33.813999,,,,,,150.889999,14.215001,,14.513,-15.676,,0.185,,-13.237,165.105,-61.09,,,104.014999,0.0,,,104.015,0.0,104.014999,0.0,0.0,104.014999,104.014999,,5.86156,17.749999,17.749999,17.749999,6.93236,15.75,15.75,15.75,
09/30/2001,613.958008,,-422.68399,,191.274017,,-34.248001,,,,,,157.026001,12.1,1.759,15.395,-13.636,,-0.336,,-13.523001,169.126001,-60.884998,,,108.240997,0.0,,,108.241003,0.0,108.240997,0.0,0.0,108.240997,108.240997,,5.7444,18.75,18.75,18.75,6.69536,17.0,17.0,17.0,
12/31/2001,448.479004,,-333.346985,,115.132019,,-34.348,,,,,,80.783997,8.504,,18.35,-11.401,,0.214,,-15.667001,89.287997,-27.232,,,62.056,0.0,,,62.055997,0.0,62.056,0.0,0.0,62.056,62.056,,5.63496,11.0,11.0,11.0,6.56824,10.25,10.25,10.25,
03/31/2002,381.199005,,-293.114014,,88.084991,,-32.666,,,,,,55.418999,0.771,5.364,14.615,-9.251,,0.047,,-6.181999,56.189999,-14.248,,,41.942001,0.0,,,41.941998,0.0,41.942001,0.0,0.0,41.942001,41.942001,,5.6388,7.5,7.5,7.5,6.19072,7.0,7.0,7.0,
06/30/2002,352.147003,,-286.174011,,65.972992,,-32.824001,,,,,,33.148998,0.743999,6.276,14.418,-8.142,,-2.524,,-4.495999,33.892998,-8.473,,,25.42,0.0,,,25.419998,0.0,25.42,0.0,0.0,25.42,25.42,,5.72752,4.5,4.5,4.5,6.01804,4.25,4.25,4.25,
09/30/2002,353.145996,,-285.973999,,67.171997,,-36.967999,,,,,,30.204,-8.688999,,17.771999,-8.145,,0.0,,-0.938,21.515001,5.407,,,26.922001,0.0,,,26.922001,0.0,26.922001,0.0,0.0,26.922001,26.922001,,5.80312,4.75,4.75,4.75,6.04632,4.5,4.5,4.5,
12/31/2002,379.951,,-304.013,,75.938,,-39.437,,,,,,36.501,-7.325,0.0,20.263,-8.548,,2.191,,-6.581,29.176,-1.971,,,27.205,0.0,,,27.205,0.0,27.205,0.0,0.0,27.205,27.205,,5.8154,4.75,4.75,4.75,6.06868,4.5,4.5,4.5,
03/31/2003,449.837006,,-358.485992,,91.351013,,-41.244999,,,,,,50.105999,-6.45,,20.07,-7.693,,0.181,,-6.108,43.655999,4.401,,,48.056999,0.0,,,48.056999,0.0,48.056999,0.0,0.0,48.056999,48.056999,,5.82832,8.25,8.25,8.25,6.41616,7.75,7.75,7.75,
06/30/2003,432.552,,-299.561,,132.991,0.0,-96.365,,,,,,36.626,-9.732,11.646,18.644,-6.998,,-0.532,-1.359,-0.023,26.362,2.657,,,29.019,0.0,,,29.019,0.0,29.019,0.0,0.0,29.019,29.019,,5.85528,5.0,5.0,5.0,6.13436,4.75,4.75,4.75,
09/30/2003,473.494,,-381.826,,91.668,0.0,-41.207,,,,,,50.461,-4.785,9.549,15.991,-6.442,,0.0,-2.485,-2.279,45.676,4.605,,,50.281,0.0,,,50.281,0.0,50.281,0.0,0.0,50.281,50.281,,5.8762,8.5,8.5,8.5,6.13512,8.25,8.25,8.25,
12/31/2003,524.119995,,-416.325012,,107.794983,,-42.467999,,,,,,65.327003,-6.398,,16.035,-6.619,,-0.479,,-2.539,58.929004,5.942,,,64.871002,0.0,,,64.871004,0.0,64.871002,0.0,0.0,64.871002,64.871002,,5.87936,11.0,11.0,11.0,6.47404,10.5,10.5,10.5,
03/31/2004,592.981018,,-466.138,,126.843018,,-45.598999,,,,,,81.244003,-1.113,,15.859,-6.505,,0.119,,-8.36,80.131003,-8.414,,,71.717003,0.0,,,71.717003,0.0,71.717003,0.0,0.0,71.717003,71.717003,,5.91936,12.0,12.0,12.0,6.5244,11.5,11.5,11.5,
06/30/2004,530.715,,-439.761,,90.954,0.0,-45.441,,,,,,45.513,4.552,3.508,11.387,-7.879,,-0.013,-1.153,-6.894,50.065,-3.717,,,46.348,0.0,,,46.348,0.0,46.348,0.0,0.0,46.348,46.348,,5.95464,7.75,7.75,7.75,6.20936,7.5,7.5,7.5,
09/30/2004,585.652,,-451.721,,133.931,0.0,-49.548,,,,,,84.383,-0.09,3.751,10.533,-6.782,,-0.135,0.292,-3.818,84.293,-8.667,,,75.626,0.0,,,75.626,0.0,75.626,0.0,0.0,75.626,75.626,,5.96356,12.75,12.75,12.75,6.55676,12.0,12.0,12.0,
12/31/2004,684.683,,-515.428,,169.255,,-54.8,,,,,,114.455,6.894,,10.728,-9.285,,-0.726,,-7.611,121.349,-12.583,,,108.766,0.0,,,108.766,0.0,108.766,0.0,0.0,108.766,108.766,,5.9524,18.25,18.25,18.25,6.6148,17.0,17.0,17.0,
03/31/2005,783.728,,-555.167,,228.561,,-58.641,,,,,,169.92,-0.817,10.737,10.737,,,0.0,,-9.92,169.103,-41.689,,,127.414,0.0,,,127.414,0.0,127.414,0.0,0.0,127.414,127.414,,6.0866,21.0,21.0,21.0,6.35108,20.0,20.0,20.0,
06/30/2005,765.337,,-536.909,,228.428,,-59.805,,,,,,168.623,5.226,11.333,11.333,,,0.0,,-16.559,173.849,-42.044,,,131.805,0.0,,,131.805,0.0,131.805,0.0,0.0,131.805,131.805,,6.2976,21.0,21.0,21.0,6.44848,20.5,20.5,20.5,
09/30/2005,893.254,,-585.574,,307.68,,-65.879,,,,,,241.801,0.39,11.195,11.195,,,0.0,,-11.585,242.191,-63.334,,,178.857,0.0,,,178.857,0.0,178.857,0.0,0.0,178.857,178.857,,6.28836,28.5,28.5,28.5,6.474,27.75,27.75,27.75,
12/31/2005,1017.589,,-658.149,,359.44,,-65.648,,,,,,293.792,-4.985,,11.582,0.0,,0.0,,-6.597,288.807,-78.188,,,210.619,0.0,,,210.619,0.0,210.619,0.0,0.0,210.619,210.619,,6.298,33.5,33.5,33.5,6.5508,32.25,32.25,32.25,
03/31/2006,1163.926,,-709.023,,454.903,,-88.797,,,,,,366.106,6.185,8.055,8.055,,,,,-14.24,372.291,-115.528,,,256.763,,,,256.763,,256.763,,,256.763,256.763,,6.2598,41.0,61.5,41.0,6.49072,39.5,59.25,39.5,
06/30/2006,1118.0,,-690.085,,427.915,,-87.83,,,,,,340.085,9.714,12.168,12.168,,,0.0,9.37,-31.252,349.799,-116.366,,,233.433,0.0,,,233.433,0.0,233.433,0.0,0.0,233.433,233.433,,5.88838,39.5,39.5,42.0,6.08788,38.5,38.5,41.0,
09/30/2006,1213.252,,-757.933,,455.319,,-92.783,,,,,,362.536,25.041,,13.744,,,0.0,-5.706,-33.079,387.577,-102.794,,,284.783,-7.968,,,292.751,0.0,292.751,0.0,0.0,292.751,292.751,,5.55106,52.5,51.0,51.5,5.73088,51.0,49.5,50.0,
12/31/2006,1212.111,,-757.584,,454.527,,-147.2,,,,,,307.327,10.908,-41.987,12.619,-54.606,,0.0,,31.079,318.235,-100.205,,,218.03,-19.759,,,237.789,0.0,237.789,0.0,0.0,237.789,237.789,,5.52006,43.0,39.5,34.5,5.68838,42.0,38.5,33.5,
03/31/2007,1260.643,,-809.157,,451.486,,-114.974,,,,,,336.512,14.063,13.049,13.049,,,0.0,,-27.112,350.575,-88.413,,,262.162,0.0,,,262.162,0.0,262.162,0.0,0.0,262.162,262.162,,5.53884,47.5,47.5,49.5,5.69628,46.0,46.0,48.0,
06/30/2007,1134.684,,-757.636,,377.048,,-99.952,,,,,,277.096,20.065,,13.733,,,0.0,3.436,-37.234,297.161,-76.299,,,220.862,-7.487,,,228.349,0.0,228.349,0.0,0.0,228.349,228.349,,5.58506,41.0,39.5,34.5,5.75796,39.5,38.5,33.5,
09/30/2007,1250.299,,-859.68,,390.619,,-105.975,,,,,,284.644,-68.751,,13.45,,,0.0,-2.689,57.99,215.893,-20.13,,,195.763,-22.265,,,218.028,0.0,218.028,0.0,0.0,218.028,218.028,,5.60304,39.0,35.0,40.0,5.75938,38.0,34.0,39.0,
12/31/2007,1317.852,,-892.625,,425.227,,-116.458,,,,,,308.769,-28.291,,13.467,,,0.0,0.842,13.982,280.478,-58.326,,,222.152,0.0,,,222.152,0.0,222.152,0.0,0.0,222.152,222.152,,5.59514,39.5,39.5,36.5,5.71488,39.0,39.0,36.0,
03/31/2008,1299.858,,-897.655,,402.203,0.0,-111.321,,,,,,290.882,-33.058,35.273,46.692,-11.419,,,4.451,-6.666,257.824,-45.78,,,212.044,0.0,,,212.044,0.0,212.044,0.0,0.0,212.044,212.044,,5.60332,38.0,38.0,39.0,5.7156,37.0,37.0,38.0,
06/30/2008,1282.4,,-896.334,,386.066,0.0,-116.914,,,,,,269.152,-31.509,,49.375,,,0.0,4.033,-21.899,237.643,-61.23,,,176.413,0.0,,,176.413,0.0,176.413,0.0,0.0,176.413,176.413,,5.61702,31.5,31.5,32.0,5.88974,30.0,30.0,30.5,
09/30/2008,1454.562,,-975.387,,479.175,0.0,-122.648,,,,,,356.527,-75.723,,50.546,,,0.0,-7.933,33.11,280.804,-86.821,,,193.983,0.0,,,193.983,0.0,193.983,0.0,0.0,193.983,193.983,,5.64778,34.5,34.5,34.5,5.78298,33.5,33.5,33.5,
12/31/2008,1475.076,,-980.749,,494.327,,-129.101,,,,,,365.226,-455.686,,50.105,0.0,,0.0,,405.581,-224.564,-12.316,,,-102.776,0.0,,,-236.88,-3.927,-106.703,0.0,0.0,-106.703,-106.703,,5.66164,-19.5,-19.5,36.0,5.67056,-19.5,-19.5,36.0,
03/31/2009,1198.045,1198.045,-665.287,665.287,532.758,0.0,-269.248,107.343,107.343,,161.905,0.0,263.51,-105.067,61.219,67.078,-5.859,-9.141,-1.019,64.427,-10.419,158.443,-33.273,49.457,-16.184,125.17,0.0,0.0,0.0,125.17,0.0,125.17,0.0,0.0,125.17,172.4054,47.2354,5.66196,22.0,22.0,30.44975,5.66238,22.0,22.0,30.34195,
06/30/2009,867.869,867.869,-453.922,453.922,413.947,0.0,-332.372,163.808,163.808,,168.564,0.0,81.575,-289.678,58.091,66.027,-7.936,-18.248,1.709,8.127,239.999,-208.103,14.897,-43.425,28.528,-193.206,0.0,0.0,0.0,-193.206,0.22,-192.986,0.0,0.0,-192.986,28.320674,221.306674,5.66308,-34.0,-34.0,5.00095,5.66308,-34.0,-34.0,5.00095,
09/30/2009,791.915,791.915,-432.876,432.876,359.039,0.0,-259.717,82.05,82.05,,177.667,0.0,99.322,-66.237,65.494,66.671,-1.177,1.805,7.766,-13.457,4.629,33.085,-3.555,37.901,-34.346,29.53,0.0,0.0,0.0,29.53,0.0,29.53,0.0,0.0,29.53,46.22615,16.69615,5.66394,5.0,5.0,8.1615,5.74814,5.0,5.0,7.9046,
12/31/2009,829.475,829.475,-455.328,455.328,374.147,0.0,-349.692,75.949,75.949,,169.85,103.893,24.455,-180.447,,66.263,,-0.051,-0.084,102.301,12.018,-155.992,134.531,25.599,-160.13,-21.461,25.765,25.765,0.0,-47.226,-0.034,-47.26,0.0,0.0,-47.26,84.20085,105.69585,5.67708,-8.5,-4.0,14.8317,5.67708,-8.5,-4.0,14.618,
03/31/2010,891.346,891.346,-505.197,505.197,386.149,0.0,-251.989,75.426,75.426,,176.563,0.0,134.16,-82.051,65.338,66.769,-1.431,2.557,9.332,-7.642,12.466,52.109,-8.59,12.645,-4.055,43.519,4.421,4.421,0.0,39.098,1.102,40.2,0.0,0.0,40.2,53.7275,9.1065,5.69344,7.0,8.0,9.43675,5.81472,7.0,8.0,9.43675,
06/30/2010,896.029,896.029,-517.531,517.531,378.498,0.0,-260.575,80.337,80.337,,180.238,0.0,117.923,-65.158,63.16,65.293,-2.133,-2.314,5.868,-8.845,7.289,52.765,-8.794,17.652,-8.858,43.971,0.909,0.909,0.0,43.062,0.559,43.621,0.0,0.0,43.621,47.4836,2.9536,5.70362,7.5,7.5,8.32515,5.79592,7.5,7.5,8.0096,
09/30/2010,1069.261,1069.261,-625.561,625.561,443.7,0.0,-291.123,87.194,87.194,,203.929,0.0,152.577,-188.37,,66.973,,0.733,1.82,-11.842,130.686,-35.793,4.23,-71.276,67.046,-31.563,7.591,7.591,0.0,-39.154,-0.453,-39.607,,0.0,-39.607,83.620304,115.636304,5.70564,-7.0,-5.5,14.65575,5.70564,-7.0,-5.5,14.65575,
12/31/2010,1305.314,1305.314,-766.302,766.302,539.012,0.0,-319.01,100.561,100.561,,218.449,0.0,220.002,-67.618,,74.012,,-8.619,1.039,-4.928,6.114,152.384,-0.287,-38.559,38.846,152.097,100.323,100.323,0.0,51.774,-1.293,50.481,,0.0,50.481,109.5264,-41.2776,5.70886,9.0,26.5,19.18535,5.80884,8.5,26.0,18.894,
03/31/2011,1373.568,1373.568,-841.108,841.108,532.46,0.0,-341.161,115.951,115.951,,225.21,0.0,191.299,-52.321,72.134,73.966,-1.832,-12.28,-0.552,-16.274,9.293,138.978,-44.426,19.689,24.737,94.552,12.396,12.396,0.0,82.156,0.669,82.825,,0.0,82.825,92.6886,-2.5324,5.72228,14.5,16.5,16.19785,5.85378,14.0,16.5,16.0674,
