Date,Assets,Cash & Near Cash Items,Interbanking Assets,Short-Term Investments,Net Loans,Total Loans,Reserve for Losses on Loans,Long-Term Investments,Net Fixed Assets,Other Assets,Customers' Acceptance Liability,Total Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Customer Deposits,ST Borrowings & Repos,Other Short-Term Liabilities,Long-Term Borrowings,Other Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1992,,117.275002,,188.544006,21411.300781,21478.220703,-66.920998,3454.785889,148.039001,439.837006,0.0,25759.78125,,0.0,16329.03418,3809.0,12520.03418,0.0,16329.03418,835.353027,500.084015,6441.437012,0.0,24105.908234,0.0,0.0,34.831001,1619.041992,1653.872993,25759.781227,
12/31/1992,,228.796005,519.012024,228.645004,21968.675605,22039.599609,-70.924004,2352.499023,148.302994,444.98999,0.0,25890.921875,,0.0,16486.246338,3983.889893,12502.356445,0.0,16486.246094,1090.072021,605.98999,5981.214844,0.0,24163.522949,0.0,0.0,42.577999,1684.819946,1727.397945,25890.920894,
03/31/1993,,130.768005,0.0,386.708008,22600.048828,22674.685547,-74.637001,3803.199951,150.835999,503.65799,0.0,27575.21875,,0.0,16495.594727,3831.0,12664.594727,0.0,16495.595703,501.006989,647.97699,8134.903809,0.0,25779.48349,0.0,0.0,43.490002,1752.245972,1795.735973,27575.219463,
06/30/1993,,142.542007,0.0,683.788025,23272.244141,23350.861328,-78.616997,3900.079102,151.494003,523.289978,0.0,28673.4375,,0.0,17061.223633,3704.0,13357.223633,0.0,17061.224609,533.346985,677.86499,8538.597656,0.0,26811.034241,0.0,0.0,43.735001,1818.668945,1862.403946,28673.438187,
09/30/1993,,109.514999,0.0,659.387024,23660.080078,23744.169922,-84.089996,3299.201904,156.557999,548.020996,0.0,28432.763672,,0.0,17565.431641,3725.0,13840.431641,0.0,17565.431641,282.294006,678.057007,7984.704102,0.0,26510.486755,0.0,0.0,44.0,1878.276001,1922.276001,28432.762756,
12/31/1993,,243.184998,538.099976,2750.655029,23912.571533,24019.269531,-106.697998,734.203979,162.751007,487.821991,0.0,28829.287109,,0.0,17422.484375,3726.459961,13696.024414,0.0,17422.484375,515.422974,720.033997,8105.743164,0.0,26763.68451,0.0,0.0,47.292,2018.312012,2065.604012,28829.288522,
03/31/1994,,130.919006,0.0,2765.645996,24027.203125,24140.699219,-113.497002,1515.689941,168.593994,547.416992,0.0,29155.46875,,0.0,17519.321289,3768.0,13751.321289,0.0,17519.320312,647.53302,773.762024,8123.756836,0.0,27064.372192,0.0,0.0,48.578999,2042.516968,2091.095966,29155.468159,
06/30/1994,,113.57,0.0,2555.283936,24640.664062,24759.251953,-118.586998,1197.474976,178.022003,588.187012,0.0,29273.203125,,0.0,17914.826172,3635.0,14279.826172,0.0,17914.826172,380.395996,761.924011,8107.630859,0.0,27164.777039,0.0,0.0,49.026001,2059.399902,2108.425903,29273.202942,
09/30/1994,,151.580994,0.0,2371.842041,25670.613281,25793.875,-123.262001,1059.160034,196.087006,617.218018,0.0,30066.501953,,0.0,18530.132812,3441.0,15089.132812,0.0,18530.132812,626.687012,731.383972,8114.724121,0.0,28002.927917,0.0,0.0,49.104,2014.468994,2063.572994,30066.500912,
12/31/1994,,242.440994,534.599976,1812.18396,27071.266533,27195.269531,-124.002998,1203.979004,201.875,617.395996,0.0,31683.740234,,0.0,19219.388672,3187.621094,16031.767578,0.0,19219.388672,1444.215942,738.200989,8281.661133,,,0.0,0.0,51.548,1948.725952,2000.273952,,
