Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2013,14933,9328,3100,6228.0,872.0,872.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,,,7.0,342.0,10549.0,2685,3821.0,-1136.0,0.0,1699.0,1609.0,762.0,847.0,90.0,4384,,489.0,36.0,,,453.0,288.0,0.0,288.0,288.0,,207.0,,,171.0,984.0,287.0,0.0,287.0,287.0,,614.0,,,,,614.0,901.0,1885.0,0.0,10399.0,0.014718,10398.985282,0.0,2636.0,13,13048,,13048,14933.0,
12/31/2013,17895,11449,3323,8126.0,1109.0,1109.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,,0.0,,512.0,13070.0,2882,4142.0,-1260.0,0.0,1943.0,1722.0,839.0,883.0,221.0,4825,,642.0,87.0,0.0,0.0,555.0,239.0,0.0,239.0,239.0,,219.0,0.0,0.0,181.0,1100.0,237.0,0.0,237.0,237.0,,1088.0,0.0,0.0,0.0,0.0,1088.0,1325.0,2425.0,0.0,12297.0,0.015282,12296.984718,0.0,3159.0,14,15470,,15470,17895.0,
03/31/2014,19028,12629,2998,9631.0,1006.0,1006.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,,,,425.0,14060.0,3074,4370.0,-1296.0,0.0,1894.0,1682.0,840.0,842.0,212.0,4968,,610.0,85.0,,,525.0,201.0,0.0,201.0,201.0,,226.0,,,188.0,1037.0,191.0,0.0,191.0,191.0,,1063.0,,,,,1063.0,1254.0,2291.0,0.0,12921.0,0.015384,12920.984616,0.0,3801.0,15,16737,,16737,19028.0,
06/30/2014,20769,13956,4384,9572.0,1190.0,1190.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0,,,,411.0,15557.0,3334,4794.0,-1460.0,0.0,1878.0,1672.0,857.0,815.0,206.0,5212,,812.0,146.0,,,666.0,173.0,0.0,173.0,173.0,,229.0,,,176.0,1214.0,153.0,0.0,153.0,153.0,,1056.0,,,,,1056.0,1209.0,2423.0,0.0,13759.0,,,0.0,4592.0,-5,18346,,18346,20769.0,
09/30/2014,24188,14250,8999,5251.0,1363.0,1363.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,,,0.0,502.0,16115.0,3703,5319.0,-1616.0,0.0,4370.0,3929.0,2612.0,1317.0,441.0,8073,,829.0,120.0,,,709.0,149.0,0.0,149.0,149.0,,256.0,,,208.0,1234.0,129.0,0.0,129.0,129.0,,1587.0,,,,,1587.0,1716.0,2950.0,0.0,15949.0,,,0.0,5398.0,-109,21238,,21238,24188.0,
12/31/2014,40184,11199,4315,6884.0,1678.0,1678.0,0.0,0.0,0.0,0.0,0.0,0.0,793.0,,0.0,,793.0,13670.0,3967,5784.0,-1817.0,0.0,22547.0,21910.0,17981.0,3929.0,637.0,26514,,1042.0,176.0,0.0,0.0,866.0,114.0,0.0,114.0,114.0,,268.0,0.0,0.0,202.0,1424.0,119.0,0.0,119.0,119.0,,2545.0,0.0,0.0,0.0,0.0,2545.0,2664.0,4088.0,0.0,30225.0,0.016782,30224.983218,0.0,6099.0,-228,36096,,36096,40184.0,
03/31/2015,42007,12413,3419,8994.0,1508.0,1508.0,0.0,0.0,0.0,0.0,0.0,0.0,1083.0,,,,1083.0,15004.0,4619,6574.0,-1955.0,0.0,22384.0,21779.0,18005.0,3774.0,605.0,27003,,1429.0,129.0,,,1300.0,73.0,0.0,73.0,73.0,,244.0,,,189.0,1746.0,113.0,0.0,113.0,113.0,,2647.0,,,,,2647.0,2760.0,4506.0,0.0,31337.0,0.016836,31336.983164,0.0,6611.0,-447,37501,,37501,42007.0,
06/30/2015,44130,14125,5123,9002.0,1815.0,1815.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,,,,1011.0,16951.0,4955,6916.0,-1961.0,0.0,22224.0,21630.0,18025.0,3605.0,594.0,27179,,1611.0,139.0,,,1472.0,39.0,0.0,39.0,39.0,,231.0,,,182.0,1881.0,110.0,0.0,110.0,110.0,,2687.0,,,,,2687.0,2797.0,4678.0,0.0,32479.0,0.016884,32478.983116,0.0,7330.0,-357,39452,,39452,44130.0,
09/30/2015,46469,15834,4308,11526.0,2010.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,1295.0,,,,1295.0,19139.0,5335,7370.0,-2035.0,0.0,21995.0,21461.0,18024.0,3437.0,534.0,27330,,1487.0,149.0,,,1338.0,17.0,0.0,17.0,17.0,,288.0,,,241.0,1792.0,109.0,0.0,109.0,109.0,,3148.0,,,,,3148.0,3257.0,5049.0,0.0,33574.0,0.016956,33573.983044,0.0,8226.0,-380,41420,,41420,46469.0,
12/31/2015,49407,18434,4907,13527.0,2559.0,2559.0,0.0,0.0,0.0,0.0,0.0,0.0,659.0,,0.0,,659.0,21652.0,5687,7819.0,-2132.0,0.0,22068.0,21272.0,18026.0,3246.0,796.0,27755,,1645.0,196.0,0.0,0.0,1449.0,7.0,0.0,7.0,7.0,,273.0,0.0,0.0,217.0,1925.0,107.0,0.0,107.0,107.0,,3157.0,0.0,0.0,0.0,0.0,3157.0,3264.0,5189.0,0.0,34886.0,0.01707,34885.98293,0.0,9787.0,-455,44218,,44218,49407.0,
03/31/2016,52075,20621,6456,14165.0,2348.0,2348.0,0.0,0.0,0.0,0.0,0.0,0.0,843.0,,,,843.0,23812.0,6467,8813.0,-2346.0,0.0,21796.0,21096.0,18029.0,3067.0,700.0,28263,,1538.0,149.0,,,1389.0,0.0,0.0,0.0,0.0,,271.0,,,216.0,1809.0,0.0,0.0,0.0,0.0,,3116.0,,,,,3116.0,3116.0,4925.0,0.0,36129.0,0.017052,36128.982948,0.0,11297.0,-276,47150,,47150,52075.0,
06/30/2016,55739,23293,5108,18185.0,2801.0,2801.0,0.0,0.0,0.0,0.0,0.0,0.0,916.0,,,,916.0,27010.0,7104,9756.0,-2652.0,0.0,21625.0,20922.0,18043.0,2879.0,703.0,28729,,1900.0,130.0,,,1770.0,0.0,0.0,0.0,0.0,,311.0,,,232.0,2211.0,0.0,0.0,0.0,0.0,,3145.0,,,,,3145.0,3145.0,5356.0,0.0,37405.0,0.01722,37404.98278,0.0,13352.0,-374,50383,,50383,55739.0,
09/30/2016,59674,26140,6038,20102.0,3070.0,3070.0,0.0,0.0,0.0,0.0,0.0,0.0,1118.0,,,,1118.0,30328.0,7899,10778.0,-2879.0,0.0,21447.0,20787.0,18085.0,2702.0,660.0,29346,,2278.0,260.0,,,2018.0,0.0,0.0,0.0,0.0,,317.0,,,239.0,2595.0,0.0,0.0,0.0,0.0,,2964.0,,,,,2964.0,2964.0,5559.0,0.0,38756.0,0.017292,38755.982708,0.0,15731.0,-372,54115,,54115,59674.0,
12/31/2016,64961,29449,8903,20546.0,3993.0,3993.0,0.0,0.0,0.0,0.0,0.0,0.0,959.0,,0.0,,959.0,34401.0,8591,11803.0,-3212.0,0.0,21969.0,20657.0,18122.0,2535.0,1312.0,30560,,2505.0,302.0,0.0,0.0,2203.0,0.0,0.0,0.0,0.0,,370.0,0.0,0.0,280.0,2875.0,0.0,0.0,0.0,0.0,,2892.0,0.0,0.0,0.0,0.0,2892.0,2892.0,5767.0,0.0,38227.0,0.017352,38226.982648,0.0,21670.0,-703,59194,,59194,64961.0,
03/31/2017,68714,32306,7104,25202.0,3415.0,3415.0,0.0,0.0,0.0,0.0,0.0,0.0,1209.0,,,,1209.0,36930.0,9462,13032.0,-3570.0,0.0,22322.0,20486.0,18126.0,2360.0,1836.0,31784,,2570.0,170.0,,,2400.0,0.0,0.0,,,,358.0,,,278.0,2928.0,0.0,0.0,,,,3598.0,,,,,3598.0,3598.0,6526.0,0.0,38639.0,0.017328,38638.982672,0.0,24175.0,-626,62188,,62188,68714.0,
06/30/2017,73843,35452,6252,29200.0,3897.0,3897.0,0.0,0.0,0.0,0.0,0.0,0.0,1455.0,,,,1455.0,40804.0,10628,14668.0,-4040.0,0.0,22411.0,20315.0,18129.0,2186.0,2096.0,33039,,2949.0,323.0,,,2626.0,0.0,0.0,,,,366.0,,,278.0,3315.0,0.0,0.0,,,,4047.0,,,,,4047.0,4047.0,7362.0,0.0,39291.0,0.017418,39290.982582,0.0,27560.0,-370,66481,,66481,73843.0,
09/30/2017,78998,38289,7201,31088.0,4424.0,4424.0,0.0,0.0,0.0,0.0,0.0,0.0,1490.0,,,,1490.0,44203.0,12158,16446.0,-4288.0,0.0,22637.0,20263.0,18213.0,2050.0,2374.0,34795,,2886.0,383.0,,,2503.0,0.0,0.0,,,,419.0,,,314.0,3305.0,0.0,0.0,,,,4485.0,,,,,4485.0,4485.0,7790.0,0.0,40199.0,0.017436,40198.982564,0.0,31209.0,-200,71208,,71208,78998.0,
12/31/2017,84524,41711,8079,33632.0,5832.0,5832.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,,0.0,,1020.0,48563.0,13721,18337.0,-4616.0,0.0,22240.0,20105.0,18221.0,1884.0,2135.0,35961,,3272.0,380.0,0.0,0.0,2892.0,0.0,0.0,0.0,0.0,,488.0,0.0,0.0,390.0,3760.0,0.0,0.0,0.0,0.0,,6417.0,0.0,0.0,0.0,0.0,6417.0,6417.0,10177.0,0.0,40584.0,0.017436,40583.982564,0.0,33990.0,-227,74347,,74347,84524.0,
03/31/2018,88945,43956,12082,31874.0,5115.0,5115.0,0.0,0.0,0.0,0.0,0.0,0.0,1341.0,,,,1341.0,50412.0,16211,21292.0,-5081.0,0.0,22322.0,20003.0,18268.0,1735.0,2319.0,38533,,4596.0,593.0,,,4003.0,0.0,0.0,,,,490.0,,,396.0,5086.0,0.0,0.0,,,,6239.0,,,,,6239.0,6239.0,11325.0,0.0,41134.0,0.017412,41133.982588,0.0,36780.0,-294,77620,,77620,88945.0,
06/30/2018,90291,42309,11552,30757.0,5590.0,5590.0,0.0,0.0,0.0,0.0,0.0,0.0,1934.0,,,,1934.0,49833.0,18357,23918.0,-5561.0,0.0,22101.0,19836.0,18263.0,1573.0,2265.0,40458,,4139.0,419.0,,,3720.0,0.0,0.0,,,,531.0,,,440.0,4670.0,0.0,0.0,,,,6239.0,,,,,6239.0,6239.0,10909.0,0.0,41832.0,0.017346,41831.982654,0.0,38237.0,-687,79382,0.0,79382,90291.0,
09/30/2018,92452,41206,9637,31569.0,6058.0,6058.0,0.0,0.0,0.0,0.0,0.0,0.0,1883.0,,,,1883.0,49147.0,21112,27196.0,-6084.0,0.0,22193.0,19755.0,18304.0,1451.0,2438.0,43305,,4845.0,590.0,,,4255.0,0.0,0.0,,,,617.0,,,502.0,5462.0,0.0,0.0,,,,6648.0,,,,,6648.0,6648.0,12110.0,0.0,42352.0,0.017238,42351.982762,0.0,38767.0,-777,80342,0.0,80342,92452.0,
12/31/2018,97334,41114,10019,31095.0,7587.0,7587.0,0.0,0.0,0.0,0.0,0.0,0.0,1779.0,,0.0,,1779.0,50480.0,24683,31573.0,-6890.0,0.0,22171.0,19595.0,18301.0,1294.0,2576.0,46854,,6329.0,820.0,0.0,0.0,5509.0,0.0,0.0,0.0,0.0,,688.0,0.0,0.0,541.0,7017.0,0.0,0.0,0.0,0.0,,6190.0,0.0,0.0,0.0,0.0,6190.0,6190.0,13207.0,0.0,42906.0,0.017124,42905.982876,0.0,41981.0,-760,84127,0.0,84127,97334.0,
03/31/2019,109477,45243,11076,34167.0,6475.0,6475.0,0.0,0.0,0.0,0.0,0.0,0.0,1582.0,,,,1582.0,53300.0,34092,41749.0,-7657.0,0.0,22085.0,19483.0,18333.0,1150.0,2602.0,56177,,8584.0,604.0,,,7980.0,698.0,0.0,698.0,53.0,645.0,626.0,,,484.0,9908.0,6852.0,0.0,6852.0,287.0,6565.0,6201.0,,,,,6201.0,13053.0,22961.0,0.0,43533.0,0.017136,43532.982864,0.0,43764.0,-781,86516,0.0,86516,109477.0,
06/30/2019,117006,48596,13877,34719.0,7513.0,7513.0,0.0,0.0,0.0,0.0,0.0,0.0,1852.0,,,,1852.0,57961.0,37271,46023.0,-8752.0,0.0,21774.0,19328.0,18334.0,994.0,2446.0,59045,,11533.0,655.0,,,10878.0,718.0,0.0,718.0,30.0,688.0,728.0,,,530.0,12979.0,7486.0,0.0,7486.0,364.0,7122.0,7779.0,,,,,7779.0,15265.0,28244.0,0.0,44277.0,0.017124,44276.982876,0.0,44968.0,-483,88762,0.0,88762,117006.0,
09/30/2019,124418,52269,15979,36290.0,7673.0,7673.0,0.0,0.0,0.0,0.0,0.0,0.0,2137.0,,,,2137.0,62079.0,40687,50333.0,-9646.0,0.0,21652.0,19191.0,18338.0,853.0,2461.0,62339,,11737.0,860.0,,,10877.0,802.0,0.0,802.0,26.0,776.0,789.0,,,564.0,13328.0,8761.0,0.0,8761.0,405.0,8356.0,8330.0,,,,,8330.0,17091.0,30419.0,0.0,45059.0,0.017124,45058.982876,0.0,49789.0,-849,93999,0.0,93999,124418.0,
12/31/2019,133376,54855,19079,35776.0,9518.0,9518.0,0.0,0.0,0.0,0.0,0.0,0.0,1852.0,,0.0,,1852.0,66225.0,44783,55446.0,-10663.0,0.0,22368.0,19609.0,18715.0,894.0,2759.0,67151,,13098.0,1363.0,0.0,0.0,11735.0,855.0,0.0,855.0,55.0,800.0,1100.0,0.0,0.0,831.0,15053.0,9942.0,0.0,9942.0,418.0,9524.0,7327.0,0.0,0.0,0.0,0.0,7327.0,17269.0,32322.0,0.0,45851.0,0.017112,45850.982888,0.0,55692.0,-489,101054,0.0,101054,133376.0,
03/31/2020,138371,60289,23618,36671.0,7289.0,7289.0,0.0,0.0,0.0,0.0,0.0,0.0,1771.0,,,,1771.0,69349.0,46486,58098.0,-11612.0,0.0,22536.0,19649.0,18811.0,838.0,2887.0,69022,,13275.0,829.0,,,12446.0,879.0,0.0,879.0,44.0,835.0,915.0,,,668.0,15069.0,9935.0,0.0,9935.0,426.0,9509.0,8063.0,,,,,8063.0,17998.0,33067.0,0.0,46688.0,0.017106,46687.982894,0.0,59160.0,-544,105304,0.0,105304,138371.0,
06/30/2020,139691,58240,21045,37195.0,7483.0,7483.0,0.0,0.0,0.0,0.0,0.0,0.0,2407.0,,,,2407.0,68130.0,48435,61517.0,-13082.0,0.0,23126.0,19888.0,19029.0,859.0,3238.0,71561,,9416.0,920.0,,,8496.0,947.0,0.0,947.0,48.0,899.0,945.0,,,681.0,11308.0,10057.0,0.0,10057.0,424.0,9633.0,7879.0,,,,,7879.0,17936.0,29244.0,0.0,47805.0,0.0171,47804.9829,0.0,62784.0,-142,110447,0.0,110447,139691.0,
