Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1993,187.113998,,-154.789001,,32.324997,,-19.811001,,,,12.514,-2.866,,4.588,,-1.722,9.648,-3.552,6.096,0.0,,,6.096,,6.096,0.0,,6.096,6.096,,298.667261,0.020741,0.020741,,298.667261,0.020741,0.020741,0.020741,
06/30/1993,186.820007,,-153.789993,,33.030014,,-20.400999,,,,12.629,-2.629,,4.505,,-1.876,10.0,-3.778,6.222,0.0,,,6.222,,6.222,0.0,,6.222,6.222,,297.55626,0.020741,0.020741,,297.55626,0.020741,0.020741,0.020741,
09/30/1993,175.003006,,-145.048996,,29.95401,,-19.079,,,,10.875,-6.762,,4.338,,2.424,4.113,-2.133,1.98,0.0,,,1.98,,1.98,0.0,,1.98,1.98,,294.555422,0.007407,0.007407,,294.555422,0.007407,0.007407,0.007407,
12/31/1993,183.257996,,-128.373001,,54.884995,,-45.744999,,,,9.14,-44.097999,,4.172,0.0,39.925999,-34.957998,13.328,-21.629999,0.0,,,-21.629998,0.0,-21.629999,0.0,,-21.629999,-21.629999,,294.56325,-0.074074,-0.074074,,294.56325,-0.074074,-0.074074,-0.074074,
03/31/1994,191.403,,-150.169998,,41.233002,,-24.497,,,,16.736,-2.936,,5.032,,-2.096,13.8,-5.41,8.39,7.574,,,0.816,,0.816,0.0,,0.816,0.816,,287.847007,0.002963,0.02963,,287.847007,0.002963,0.02963,0.02963,
06/30/1994,202.710007,,-155.919006,,46.791,,-25.944,,,,20.847,-5.025,,5.165,,-0.14,15.822,-6.461,9.361,-0.308,,,9.669,,9.669,0.0,,9.669,9.669,,245.416512,0.04,0.038519,,245.416512,0.04,0.038519,0.038519,
09/30/1994,190.427002,,-146.634995,,43.792007,,-24.372,,,,19.42,-4.031,,6.064,,-2.033,15.389,-5.631,9.758,-0.468,,,10.226,,10.226,0.0,,10.226,10.226,,235.156508,0.042963,0.041481,,235.156508,0.042963,0.041481,0.041481,
12/31/1994,190.197998,,-147.565994,,42.632004,,-24.343,,,,18.289,-5.537,,5.357,,0.18,12.752,-3.642,9.11,-1.179,,,10.289,,10.289,0.0,,10.289,10.289,,233.954999,0.044444,0.038519,,233.954999,0.044444,0.038519,0.038519,
03/31/1995,211.526993,,-162.847,,48.679993,,-27.174,,,,21.506001,-4.492,,5.032,,-0.54,17.014,-6.865,10.149,-0.513,,,10.662001,,10.662,0.0,,10.662,10.662,,231.146996,0.045926,0.044444,,231.146996,0.045926,0.044444,0.044444,
06/30/1995,219.110992,,-174.998993,,44.112,,-19.642,,,,24.469999,-5.274,,5.422,,-0.148,19.195999,-7.267,11.929,-10.686,,,22.614999,,22.615,0.0,,22.615,22.615,,225.139501,0.100741,0.053333,,225.139501,0.100741,0.053333,0.053333,
09/30/1995,204.921997,,-164.994995,,39.927002,,-18.451,,,,21.476,-4.719,,4.871,,-0.152,16.757,-5.927,10.83,2.676,,,8.154,,8.154,0.0,,8.154,8.154,,223.094241,0.037037,0.048889,,223.094241,0.037037,0.048889,0.048889,
12/31/1995,201.929993,,-144.167007,,57.762985,,-35.917,,,,21.846001,-5.556,,4.85,,0.706,16.290001,-5.441,10.849,0.0,,,10.849001,,10.849,0.0,,10.849,10.849,,223.127998,0.048889,0.048889,,223.127998,0.048889,0.048889,0.048889,
03/31/1996,209.132996,,-165.227997,,43.904999,,-24.034,,,,19.871,-4.293,,4.837,,-0.544,15.578,-5.682,9.896,-2.32,,,12.216,,12.216,0.0,,12.216,12.216,,221.285256,0.054815,0.044444,0.044444,222.857992,0.054815,0.044444,0.044444,
06/30/1996,205.962997,,-161.884003,,44.078995,,-23.625,,,,20.454,-4.149,,4.967,,-0.818,16.305,-5.724,10.581,-2.386,,,12.967,,12.967,0.0,,12.967,12.967,,220.184993,0.059259,0.047407,0.047407,224.430754,0.057778,0.047407,0.047407,
09/30/1996,194.886002,,-152.149994,,42.736008,,-22.128,,,,20.608,-4.05,,4.705,,-0.655,16.558,-5.703,10.855,-2.101,,,12.956,,12.956,0.0,,12.956,12.956,,220.205257,0.059259,0.048889,0.048889,224.241755,0.057778,0.048889,0.048889,
12/31/1996,190.029007,,-147.744003,,42.285004,,-20.375,,,,21.91,-3.969,,4.552,,-0.583,17.941,-6.201,11.74,-1.311,,,13.051,,13.051,0.0,,13.051,13.051,,220.434757,0.059259,0.053333,0.053333,226.043993,0.057778,0.051852,0.051852,
03/31/1997,202.455,,-157.654,,44.801,,-22.983,,,,21.818,-3.4,,4.51,,-1.11,18.418,-6.825,11.593,-2.073,,,13.666,,13.666,,,13.666,13.666,,220.98825,0.062222,0.062222,0.062222,225.7065,0.060741,0.060741,0.060741,
09/30/1997,212.149002,,-166.091003,,46.057999,,-22.948,,,,23.110001,-3.156,,4.729,,-1.573,19.954,-7.08,12.874,4.494,,,8.380001,,8.38,0.0,,8.38,8.38,,223.168502,0.037037,0.057778,0.057778,231.417003,0.035556,0.056296,0.056296,
12/31/1997,217.110001,,-168.483994,,48.626007,,-24.257999,,,,24.368,-3.335,,4.313,,-0.978,21.033,-7.425,13.608,0.0,,,13.608,,13.608,0.0,,13.608,13.608,,223.053738,0.060741,0.060741,0.060741,230.856751,0.059259,0.059259,0.059259,
03/31/1998,241.958,,-185.322,,56.636,,-28.043,,,,28.593,-4.945,,5.838,,-0.893,23.648,-8.764,14.884,,,,14.884,,14.884,,,14.884,14.884,,222.7905,0.066667,0.066667,0.066667,230.72175,0.065185,0.065185,0.065185,
06/30/1998,246.097,,-188.644,,57.453,,-28.694,,,,28.759,-4.646,,6.53,,-1.884,24.113,-8.724,15.389,,,,15.389,,15.389,,,15.389,15.389,,222.7095,0.06963,0.06963,0.06963,230.97825,0.066667,0.066667,0.066667,
09/30/1998,232.593,,-178.38,,54.213,,-27.237,,,,26.976,-5.17,,6.152,,-0.982,21.806,-7.756,14.05,8.71,,,5.34,,5.34,,,5.34,5.34,,221.37975,0.023704,0.023704,0.023704,227.745,0.023704,0.023704,0.023704,
12/31/1998,206.826004,,-158.673996,,48.152008,,-28.024,,,,20.128,-12.337,,5.139,,7.198,7.791,-1.665,6.126,0.0,,,6.126,0.0,6.126,0.0,,6.126,6.126,,216.904493,0.028148,0.028148,0.05037,221.555263,0.028148,0.028148,0.048889,
03/31/1999,230.878006,,-175.572006,,55.306,,-26.157,,,,29.149,-6.346,,6.026,,0.32,22.803,-8.207,14.596,0.0,,,14.596,0.0,14.596,0.0,,14.596,14.596,,217.1745,0.066667,0.066667,0.066667,220.799243,0.066667,0.066667,0.066667,
06/30/1999,231.64,,-174.925,,56.715,,-27.131,,,,29.584,-5.178,5.861,5.861,,-0.683,24.406,-8.842,15.564,,,,15.564,,15.564,,,15.564,15.564,,218.22075,0.071111,0.071111,0.071111,223.452,0.06963,0.06963,0.06963,
09/30/1999,226.258,,-167.15,,59.108,,-28.59,,,,30.518,-6.33,6.512,6.512,,-0.182,24.188,-8.594,15.594,,,,15.594,,15.594,,,15.594,15.594,,219.1455,0.071111,0.071111,0.071111,223.85025,0.06963,0.06963,0.06963,
12/31/1999,236.020996,,-178.363998,,57.656998,,-28.111,,,,29.546,-6.482,,6.377,,0.105,23.064,-8.05,15.014,0.0,,,15.014,0.0,15.014,0.0,,15.014,15.014,,217.478264,0.06963,0.06963,0.06963,220.88025,0.068148,0.068148,0.068148,
03/31/2000,255.811996,,-189.966995,,65.845001,,-31.958,,,,33.887001,-7.708,,7.029,,0.679,26.179001,-9.425,16.754,0.0,,,16.754001,0.0,16.754,0.0,0.0,16.754,16.754,,216.033757,0.077037,0.077037,0.077037,218.889007,0.077037,0.077037,0.077037,
06/30/2000,255.504,,-190.576,,64.928,,-31.158,,,,33.77,-6.734,6.665,6.665,,0.069,27.036,-9.813,17.223,,,,17.223,,17.223,,,17.223,17.223,,216.5265,0.08,0.08,0.08,219.051,0.078519,0.078519,0.078519,
09/30/2000,255.098,,-189.458,,65.64,,-31.534,,,,34.106,-7.59,7.839,7.839,,-0.249,26.516,-9.198,17.318,,,,17.318,,17.318,,,17.318,17.318,,216.9315,0.08,0.08,0.08,219.57075,0.078519,0.078519,0.078519,
12/31/2000,258.246002,,-191.546997,,66.699005,,-32.571999,,,,34.126999,-7.72,,7.67,0.0,0.05,26.406999,-9.17,17.237,0.0,,,17.236999,0.0,17.237,0.0,0.0,17.237,17.237,,218.038487,0.078519,0.078519,0.078519,220.900514,0.078519,0.078519,0.078519,
03/31/2001,264.071014,,-195.923996,,68.147018,,-32.444,,,,35.702999,-7.405,,7.66,,-0.255,28.297999,-10.026,18.271999,0.0,,,18.271999,0.0,18.271999,0.0,0.0,18.271999,18.271999,,220.212007,0.082963,0.082963,0.082963,224.39025,0.081481,0.081481,0.081481,
06/30/2001,261.421997,,-194.947998,,66.473999,,-30.9,,,,35.574001,-7.054,,7.158,,-0.104,28.520001,-9.867,18.653,0.0,,,18.653001,0.0,18.653,0.0,0.0,18.653,18.653,,222.304486,0.084444,0.084444,0.084444,226.138493,0.082963,0.082963,0.082963,
09/30/2001,256.53299,,-191.759995,,64.772995,,-31.806999,,,,32.966,-6.034,,6.456,,-0.422,26.932,-9.205,17.726999,0.0,,,17.727,0.0,17.726999,0.0,0.0,17.726999,17.726999,,223.17525,0.08,0.08,0.08,227.48175,0.078519,0.078519,0.078519,
12/31/2001,237.263,,-176.747,,60.516,,-31.923,,,,28.593,-6.392,,6.639,,-0.247,22.201,-6.035,16.166,,,,16.166,,16.166,,,16.166,16.166,,220.94775,0.072593,0.072593,0.072593,225.0045,0.071111,0.071111,0.071111,
03/31/2002,263.558014,,-191.785995,,71.772019,,-35.338001,,,,36.433998,-7.09,,6.894,,0.196,29.343998,-9.679,19.665001,0.0,,,19.664998,0.0,19.665001,0.0,0.0,19.665001,19.665001,,221.39325,0.088889,0.088889,0.088889,226.165507,0.085926,0.085926,0.085926,
06/30/2002,267.425995,,-194.419998,,73.005997,,-35.301998,,,,37.703999,-6.297,,6.383,,-0.086,31.406999,-10.082,21.325001,0.0,,,21.324999,0.0,21.325001,0.0,0.0,21.325001,21.325001,,222.689257,0.094815,0.094815,0.094815,228.129757,0.094815,0.094815,0.094815,
09/30/2002,256.994995,,-184.550003,,72.444992,,-34.384998,,,,38.060001,-6.766,,6.175,,0.591,31.294001,-9.913,21.381001,0.0,,,21.381001,0.0,21.381001,0.0,0.0,21.381001,21.381001,,222.250493,0.094815,0.094815,0.094815,226.570514,0.094815,0.094815,0.094815,
12/31/2002,252.563004,,-183.815002,,68.748001,,-32.258999,,,,36.488998,-5.636,,5.729,,-0.093,30.852998,-9.526,21.327,0.0,,,21.326998,0.0,21.327,0.0,0.0,21.327,21.327,,222.453009,0.094815,0.094815,0.094815,227.056503,0.094815,0.094815,0.094815,
03/31/2003,267.531006,,-195.063995,,72.467011,,-35.790001,,,,36.676998,-7.519,,6.632,,0.887,29.157998,-9.44,19.718,0.0,,,19.717998,0.0,19.718,0.0,0.0,19.718,19.718,,222.628486,0.088889,0.088889,0.088889,227.1105,0.085926,0.085926,0.085926,
06/30/2003,276.869995,,-201.285004,,75.584991,,-36.845001,,,,38.740002,-6.547,,6.335,,0.212,32.193002,-10.377,21.816,0.0,,,21.816002,0.0,21.816,0.0,0.0,21.816,21.816,,222.014243,0.097778,0.097778,0.097778,226.64475,0.094815,0.094815,0.094815,
09/30/2003,267.781006,,-190.048996,,77.73201,,-38.252998,,,,39.479,-6.299,,6.459,,-0.16,33.18,-11.262,21.917999,0.0,,,21.918,0.0,21.917999,0.0,0.0,21.917999,21.917999,,224.34975,0.097778,0.097778,0.106667,228.56175,0.094815,0.094815,0.103704,
12/31/2003,279.44,,-198.783,,80.657,,-38.792,,,,41.865,-6.309,,6.591,,-0.282,35.556,-11.193,24.363,,,,24.363,,24.363,,,24.363,24.363,,225.98325,0.108148,0.108148,0.108148,230.55975,0.105185,0.105185,0.105185,
03/31/2004,291.423004,,-208.362,,83.061004,,-39.563999,,,,43.497002,-6.737,,6.411,,0.326,36.760002,-12.096,24.664,0.0,,,24.664002,0.0,24.664,0.0,0.0,24.664,24.664,,227.06325,0.10963,0.10963,0.10963,231.697128,0.106667,0.106667,0.106667,
06/30/2004,303.916992,,-215.582993,,88.333999,,-40.854,,,,47.48,-6.435,,6.724,,-0.289,41.045,-13.378,27.667,0.0,,,27.667,0.0,27.667,0.0,0.0,27.667,27.667,,228.045375,0.121481,0.121481,0.121481,232.584753,0.118519,0.118519,0.118519,
09/30/2004,310.707001,,-216.533997,,94.173004,,-43.720001,,,,50.452999,-8.2,,7.541,,0.659,42.252999,-13.233,29.02,0.0,,,29.019999,0.0,29.02,0.0,0.0,29.02,29.02,,229.918503,0.127407,0.127407,0.127407,234.738007,0.124444,0.124444,0.124444,
12/31/2004,326.271,,-223.348,,102.923,,-48.119,,,,54.804,-9.083,7.067,7.667,0.0,2.016,45.721,-14.361,31.36,0.0,,,31.36,0.0,31.36,0.0,0.0,31.36,31.36,,230.7015,0.133333,0.133333,0.133333,230.7015,0.133333,0.133333,0.133333,
03/31/2005,334.096,,-234.176,,99.92,,-46.358,,,,53.562,-7.474,7.632,7.632,,-0.158,46.088,-15.117,30.971,,,,30.971,,30.971,,,30.971,30.971,,231.876,0.133333,0.133333,0.133333,236.084625,0.13037,0.13037,0.13037,
06/30/2005,352.051,,-242.907,,109.144,,-49.826,,,,59.318,-8.062,7.702,7.702,,0.36,51.256,-17.138,34.118,,,,34.118,,34.118,,,34.118,34.118,,233.128125,0.145185,0.145185,0.145185,237.1545,0.145185,0.145185,0.145185,
09/30/2005,344.529,,-234.007,,110.522,,-53.28,,,,57.242,-9.074,7.628,7.628,,1.446,48.168,-13.799,34.369,,,,34.369,,34.369,,,34.369,34.369,,233.69175,0.148148,0.148148,0.145185,237.99825,0.145185,0.145185,0.142222,
12/31/2005,403.781,,-280.698,,123.083,,-59.717,,,,63.366,-10.591,9.251,9.951,0.0,1.34,52.775,-15.876,36.899,0.0,,,36.899,0.0,36.899,0.0,0.0,36.899,36.899,,234.842625,0.157037,0.157037,0.157037,243.361125,0.151111,0.151111,0.151111,
03/31/2006,423.867,,-292.768,,131.099,,-60.298,,,,70.801,-10.825,10.088,10.088,,0.737,59.976,-19.718,40.258,,,,40.258,,40.258,,,40.258,40.258,,235.8855,0.171852,0.171852,0.171852,240.040125,0.168889,0.168889,0.168889,
06/30/2006,450.585,,-308.308,,142.277,,-63.178,,,,79.099,-10.89,10.301,10.301,,0.589,68.209,-21.741,46.468,,,,46.468,,46.468,,,46.468,46.468,,236.54025,0.195556,0.195556,0.195556,240.408,0.192593,0.192593,0.192593,
09/30/2006,464.164,,-318.275,,145.889,,-66.059,,,,79.83,-11.145,11.162,11.162,,-0.017,68.685,-21.314,47.371,,,,47.371,,47.371,,,47.371,47.371,,235.50075,0.201481,0.201481,0.201481,239.247,0.198519,0.198519,0.198519,
12/31/2006,480.674,,-332.569,,148.105,,-68.841,,,,79.264,-12.448,10.616,10.616,0.0,1.832,66.816,-18.979,47.837,0.0,,,47.837,0.0,47.837,0.0,0.0,47.837,47.837,,235.64025,0.204444,0.204444,0.204444,239.7735,0.2,0.2,0.2,
03/31/2007,505.283,,-343.344,,161.939,,-72.015,,,,89.924,-11.475,10.909,10.909,,0.566,78.449,-27.549,50.9,0.0,,,50.9,0.0,50.9,0.0,0.0,50.9,50.9,,236.53125,0.213333,0.213333,0.213333,240.48225,0.213333,0.213333,0.213333,
06/30/2007,519.468,,-350.237,,169.231,,-72.621,,,,96.61,-12.535,10.998,10.998,,1.537,84.075,-26.062,58.013,0.0,,,58.013,0.0,58.013,0.0,0.0,58.013,58.013,,237.74625,0.244444,0.244444,0.244444,241.72425,0.24,0.24,0.24,
09/30/2007,528.849,,-356.682,,172.167,,-76.163,,,,96.004,-12.607,12.182,12.182,,0.425,83.397,-26.153,57.244,0.0,,,57.244,0.0,57.244,0.0,0.0,57.244,57.244,,238.806,0.24,0.24,0.24,242.469,0.235556,0.235556,0.235556,
12/31/2007,583.25,,-394.251,,188.999,,-84.963,,,,104.036,-13.513,12.777,12.777,0.0,0.736,90.523,-28.66,61.863,0.0,,,61.863,0.0,61.863,0.0,0.0,61.863,61.863,,239.4,0.257778,0.257778,0.257778,243.5445,0.253333,0.253333,0.253333,
03/31/2008,611.197,,-411.017,,200.18,,-83.947,,,,116.233,-15.831,15.134,15.134,,0.697,100.402,-34.045,66.357,0.0,,,66.357,0.0,66.357,0.0,0.0,66.357,66.357,,238.3695,0.28,0.28,0.28,242.43525,0.275556,0.275556,0.275556,
06/30/2008,648.771,,-437.183,,211.588,,-97.477,,,,114.111,-16.257,15.328,15.328,,0.929,97.854,-32.012,65.842,0.0,,,65.842,0.0,65.842,0.0,0.0,65.842,65.842,,238.3875,0.275556,0.275556,0.306667,241.821,0.271111,0.271111,0.302222,
09/30/2008,647.423,,-437.476,,209.947,,-89.882,,,,120.065,-17.074,15.534,15.534,,1.54,102.991,-32.067,70.924,0.0,,,70.924,0.0,70.924,0.0,0.0,70.924,70.924,,239.26725,0.297778,0.297778,0.297778,242.04825,0.293333,0.293333,0.293333,
12/31/2008,623.744,,-444.41,,179.334,,-97.089,,,,82.245,-17.276,17.656,17.656,0.0,-0.38,64.969,-21.14,43.829,0.0,,,43.829,0.0,43.829,0.0,0.0,43.829,43.829,34.6,239.30775,0.182222,0.182222,0.297778,240.678,0.182222,0.182222,0.293333,
03/31/2009,552.866,552.866,-370.643,370.643,182.223,0.0,-76.021,64.53,11.491,0.0,106.202,-17.578,,17.555,,0.023,88.624,-29.569,59.055,0.0,0.0,0.0,59.055,0.0,59.055,0.0,0.0,59.055,59.055,0.0,239.445,0.244444,0.244444,0.244444,241.47225,0.244444,0.244444,0.244444,
06/30/2009,524.929,524.929,-361.578,361.578,163.351,0.0,-70.171,61.017,9.154,0.0,93.18,-18.142,,17.141,,1.001,75.038,-23.225,51.813,0.0,0.0,0.0,51.813,0.0,51.813,0.0,0.0,51.813,51.813,0.0,240.093,0.217778,0.217778,0.217778,242.89875,0.213333,0.213333,0.213333,
09/30/2009,497.06,497.06,-344.658,344.658,152.402,0.0,-74.927,63.858,11.069,0.0,77.475,-18.082,,17.38,,0.702,59.393,-16.375,43.018,0.0,0.0,0.0,43.018,0.0,43.018,0.0,0.0,43.018,43.018,0.0,240.4395,0.177778,0.177778,0.177778,242.433,0.177778,0.177778,0.177778,
12/31/2009,523.5,523.5,-359.074,359.074,164.426,0.0,-75.233,64.738,10.495,0.0,89.193,-17.615,,16.674,,0.941,71.578,-19.694,51.884,0.0,0.0,0.0,51.884,0.0,51.884,0.0,0.0,51.884,51.884,0.0,241.1145,0.213333,0.213333,0.213333,243.846,0.213333,0.213333,0.213333,
03/31/2010,556.662,556.662,-375.724,375.724,180.938,0.0,-78.492,67.543,10.949,0.0,102.446,-17.269,,16.754,,0.515,85.177,-27.232,57.945,0.0,0.0,0.0,57.945,0.0,57.945,0.0,0.0,57.945,57.945,0.0,239.892,0.24,0.24,0.24,242.0325,0.24,0.24,0.24,
06/30/2010,591.941,591.941,-395.499,395.499,196.442,0.0,-80.847,69.849,10.998,0.0,115.595,-18.351,,16.73,,1.621,97.244,-29.853,67.391,0.0,0.0,0.0,67.391,0.0,67.391,0.0,0.0,67.391,67.391,0.0,237.7515,0.286667,0.286667,0.286667,240.0045,0.28,0.28,0.28,
09/30/2010,644.374,644.374,-429.075,429.075,215.299,0.0,-86.706,75.869,10.837,0.0,128.593,-19.778,,17.057,,2.721,108.815,-31.458,77.357,0.0,0.0,0.0,77.357,0.0,77.357,0.0,0.0,77.357,77.357,0.0,237.9675,0.326667,0.326667,0.326667,241.0845,0.32,0.32,0.32,
12/31/2010,677.975,677.975,-446.594,446.594,231.381,0.0,-95.857,83.221,12.636,0.0,135.524,-20.51,,16.981,,3.529,115.014,-33.775,81.239,0.0,0.0,0.0,81.239,0.0,81.239,0.0,0.0,81.239,81.239,0.0,238.725,0.34,0.34,0.34,242.1825,0.333333,0.333333,0.333333,
03/31/2011,717.783,717.783,-472.804,472.804,244.979,0.0,-92.959,81.492,11.467,0.0,152.02,-18.635,,17.15,,1.485,133.385,-42.95,90.435,0.0,0.0,0.0,90.435,0.0,90.435,0.0,0.0,90.435,90.435,0.0,239.592,0.38,0.38,0.38,243.279,0.373333,0.373333,0.373333,
06/30/2011,758.834,758.834,-499.956,499.956,258.878,0.0,-101.923,89.685,12.238,0.0,156.955,-19.72,,17.339,,2.381,137.235,-43.091,94.144,0.0,0.0,0.0,94.144,0.0,94.144,0.0,0.0,94.144,94.144,0.0,240.609,0.39,0.39,0.39,243.322,0.39,0.39,0.39,
09/30/2011,750.546,750.546,-493.266,493.266,257.28,0.0,-97.694,86.019,11.675,0.0,159.586,-20.543,,17.256,,3.287,139.043,-41.065,97.978,0.0,0.0,0.0,97.978,0.0,97.978,0.0,0.0,97.978,97.978,0.0,241.386,0.41,0.41,0.41,243.771,0.4,0.4,0.4,
12/31/2011,762.751,762.751,-489.753,489.753,272.998,0.0,-105.618,92.125,13.493,0.0,167.38,-20.401,,17.984,,2.417,146.979,-45.072,101.907,0.0,0.0,0.0,101.907,0.0,101.907,0.0,0.0,101.907,101.907,0.0,239.944,0.42,0.42,0.42,242.274,0.42,0.42,0.42,
03/31/2012,827.152,827.152,-536.283,536.283,290.869,0.0,-108.093,95.036,13.057,0.0,182.776,-21.077,,18.837,,2.24,161.699,-51.549,110.15,0.0,0.0,0.0,110.15,0.0,110.15,0.0,0.0,110.15,110.15,0.0,240.186,0.46,0.46,0.46,243.307,0.45,0.45,0.45,
06/30/2012,825.898,825.898,-531.753,531.753,294.145,0.0,-109.167,95.646,13.521,0.0,184.978,-20.691,,18.843,,1.848,164.287,-50.6,113.687,0.0,0.0,0.0,113.687,0.0,113.687,0.0,0.0,113.687,113.687,0.0,241.168,0.47,0.47,0.47,243.121,0.47,0.47,0.47,
09/30/2012,839.373,839.373,-541.454,541.454,297.919,0.0,-109.755,96.021,13.734,0.0,188.164,-22.476,,18.958,,3.518,165.688,-50.291,115.397,0.0,0.0,0.0,115.397,0.0,115.397,0.0,0.0,115.397,115.397,0.0,242.138,0.48,0.48,0.48,244.229,0.47,0.47,0.47,
12/31/2012,841.79,841.79,-544.642,544.642,297.148,0.0,-107.194,93.829,13.365,0.0,189.954,-19.153,,18.834,,0.319,170.801,-50.903,119.898,0.0,0.0,0.0,119.898,0.0,119.898,0.0,0.0,119.898,119.898,0.0,242.559,0.49,0.49,0.49,245.286,0.49,0.49,0.49,
