Date,Revenue From Electric,Revenue from Gas,Revenue from Water,Other Revenue,Revenue,Electric Production Fuel Cost,Purchased Power Cost,Purchased Gas/Water Cost,Fuel Expense & Purchased Power,Maintenance Expenses,Depreciation Expense,Taxes Other Than Income Taxes,Other Operating Expense,"Depreciation, Operating & Maintenance",Operating Income or Losses,AFUDC - Equity,Net Non-Operating Losses (Gains),Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Total Interest Expense,Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Income Available to Shareholders,Abnormal Losses (Gains),Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
12/31/1993,474.059998,0,0,0,474.059998,-301.470001,-3.546,0,-305.015991,-152.475006,-217.798996,-127.929001,-394.821991,-893.025024,-723.981018,6.548,-366.053009,-156.110992,5.207,-0.087,-150.990997,-1234.477024,175.382004,-326.989014,0.0,0,-326.989014,-15.807,-342.796014,,-1074.90202,-1.6,-1.6,-1.6,213.679001,-1.6,-1.6,-1.6,213.679001,
03/31/1994,1524.75,0,0,0,1524.75,-264.214996,-17.149,0,-281.364014,-165.276993,-221.932007,-200.072998,-407.337006,-994.619019,248.766998,7.356,-15.011,-157.151993,6.178,-0.087,-151.061005,90.050994,-38.486,51.564999,0.0,0,51.564999,-15.545,36.019999,,36.019994,0.17,0.17,0.17,213.779999,0.17,0.17,0.17,213.779999,
06/30/1994,1432.166016,0,0,0,1432.166016,-261.769012,-27.684,0,-289.453003,-170.367004,-221.936996,-188.285995,-365.321991,-945.911987,196.800995,5.07,-69.494003,-155.841003,4.317,-0.102,-151.626007,-19.249015,11.393,-7.856,0.0,0,-7.856,-15.483,-23.339,,-23.339015,-0.11,-0.11,-0.11,213.923004,-0.11,-0.11,-0.11,213.923004,
09/30/1994,1855.276001,0,0,0,1855.276001,-288.98999,-11.633,0,-300.622986,-122.481003,-221.966003,-210.891998,-365.463989,-920.802979,633.849976,5.215,-16.211,-154.419998,4.336,-0.226,-150.309998,472.543978,-191.917007,280.627014,0.0,0,280.627014,-16.966,263.661015,,263.660971,1.23,1.23,1.23,214.138,1.23,1.23,1.23,214.138,
12/31/1994,1465.328979,0,0,0,1465.328979,-234.878998,-2.657,0,-237.535995,-103.195,-221.630997,-188.600998,-412.605011,-926.031982,301.760986,4.987,9.447,-153.811996,4.081,-0.142,-149.873001,166.321985,-51.903,95.525002,0.0,0,95.525002,-16.933001,78.592001,,97.485984,0.37,0.37,0.37,214.283005,0.37,0.37,0.37,214.283005,
03/31/1995,1578.135986,0,0,0,1578.135986,-272.856995,-3.543,0,-276.399994,-145.326004,-225.106003,-209.932999,-386.243011,-966.607971,335.127991,2.093,-6.642,-152.270004,1.685,-0.151,-150.735992,179.842998,-74.334,105.509003,0.0,0,105.509003,-16.908001,88.601002,,88.600997,0.41,0.41,0.41,214.429001,0.41,0.41,0.41,214.429001,
06/30/1995,1559.520996,0,0,0,1559.520996,-254.574997,-6.443,0,-261.018005,-139.597,-224.845993,-189.740005,-380.079987,-934.263,364.23999,3.776,-7.054,-150.835999,3.192,-0.221,-147.865005,213.096985,-87.365997,125.731003,0.0,0,125.731003,-16.865,108.866003,,108.865988,0.51,0.51,0.51,214.677002,0.51,0.51,0.51,214.677002,
09/30/1995,2190.899902,0,0,0,2190.899902,-323.0,-22.6,0,-345.600006,-133.300003,-225.0,-240.0,-379.899994,-978.200012,867.099976,2.8,-16.799999,-146.300003,2.7,-2.1,-145.699997,707.399979,-283.100006,424.299988,0.0,0,424.299988,-16.9,407.399988,,407.399974,1.9,1.9,1.9,214.800003,1.9,1.9,1.9,214.800003,
12/31/1995,1581.488037,0,0,0,1581.488037,-236.677002,-31.792,0,-268.468994,-148.526001,-223.082993,-193.682999,-477.739014,-1043.031006,269.988007,4.46,7.729,-138.031998,3.56,-0.808,-135.279999,146.897008,-53.056999,78.382004,-20.022,0,58.360001,-23.716,34.644001,,70.124009,0.25,0.25,0.16,214.889008,0.25,0.25,0.16,214.889008,
03/31/1996,1683.928955,0,0,0,1683.928955,-283.975006,-31.438999,0,-315.414001,-163.546997,-230.925003,-218.238998,-346.781006,-959.492004,409.02301,4.698,-18.667,-130.819,4.898,-4.251,-130.171997,264.882013,-107.195999,157.686005,0.0,0,157.686005,-20.754,136.932005,,136.932014,0.64,0.64,0.64,215.248001,0.64,0.64,0.64,215.248001,
06/30/1996,1547.916016,0,0,0,1547.916016,-254.557007,-33.061001,0,-287.618011,-154.445007,-230.175995,-159.518005,-386.167999,-930.307007,329.990997,6.068,-10.475,-130.352005,6.367,-4.436,-128.421005,197.162992,-76.138,121.025002,0.0,0,121.025002,-20.712,100.313002,,100.312991,0.47,0.47,0.47,215.438004,0.47,0.47,0.47,215.438004,
09/30/1996,2067.900879,0,0,0,2067.900879,-328.985992,-48.25,0,-377.235992,-159.578995,-252.436996,-222.063004,-380.282013,-1014.361023,676.304016,4.955,6.827,-127.849998,4.544,-3.665,-126.971001,561.115016,-206.009995,355.105011,0.0,0,355.105011,-20.125,334.980011,,334.980021,1.55,1.55,1.55,215.567993,1.55,1.55,1.55,215.567993,
12/31/1996,1637.277954,0,0,0,1637.277954,-290.337006,-32.549,0,-322.885986,-174.923996,-240.162994,-183.755005,-411.393005,-1010.234985,304.157013,5.055,-12.845,-116.563004,3.617,-10.742,-123.688004,172.679009,-59.011002,113.667999,0.0,0,113.667999,-19.792999,93.875,,93.875008,0.43,0.43,0.43,215.0,0.43,0.43,0.43,215.0,
03/31/1997,1670.812012,0,0,0,1670.812012,-309.067993,-64.306999,0,-373.375,,-249.860001,-201.197998,-574.064026,-1025.121948,272.315002,5.08,-7.28,-126.968002,4.052,-1.951,-124.866997,145.248005,-57.355999,87.891998,196.699997,0,284.59201,-22.174999,262.417011,,65.717007,0.304171,0.304171,1.21,216.052994,0.304171,0.304171,1.21,216.052994,
06/30/1997,1686.526978,0,0,0,1686.526978,-308.721985,-119.333,0,-428.054993,,-246.770996,-188.981995,-638.281006,-1074.034058,184.438004,5.706,-13.24,-120.952003,4.952,-3.298,-119.297997,57.606007,-29.195,28.410999,0.0,0,28.410999,-22.913,5.497999,,5.498007,0.03,0.03,0.03,216.367996,0.03,0.03,0.03,216.367996,
09/30/1997,2071.073975,0,0,0,2071.073975,-354.584015,-95.762001,0,-450.346008,,-250.891998,-224.949005,-568.913025,-1044.754028,575.973999,5.772,-13.941,-120.136002,4.871,-3.254,-118.518997,449.286002,-186.731003,262.554993,0.0,0,262.554993,-22.259001,240.295992,,240.295998,1.110379,1.110379,1.110379,216.408997,1.110379,1.110379,1.110379,216.408997,
12/31/1997,1654.609009,0,0,0,1654.609009,-267.063995,-120.653,0,-387.71701,0.0,-257.56601,-185.757004,-657.685974,-1101.009033,165.882996,7.212,-583.643005,-119.976997,4.68,-0.631,-115.928001,-526.476011,-2.251,-528.72699,-810.335022,0,-1339.062012,-21.999001,-1361.061012,646.0,95.273988,0.43,-2.543898,-6.286975,216.488998,0.43,-2.543898,-6.286975,216.488998,
03/31/1998,1712.234985,0,0,0,1712.234985,-231.376007,-220.729996,0,-452.105988,,-248.901993,-207.425995,-568.995972,-1025.323975,234.804993,1.584,0.679,-112.753998,1.576,-5.809,-116.987,120.080993,-44.390999,75.690002,0.0,0,75.690002,-21.975,53.715002,,53.714994,0.248,0.248,0.248,216.707001,0.248,0.248,0.248,216.707001,
06/30/1998,1779.145996,0,0,0,1779.145996,-250.923004,-279.359009,0,-530.281982,,-232.580994,-185.061996,-549.684021,-967.327026,281.536987,1.96,-12.419,-110.639999,2.738,-3.207,-111.109001,159.968987,-57.620998,102.348,0.0,0,102.348,-21.889999,80.458,,80.457989,0.371,0.371,0.371,216.897003,0.371,0.371,0.371,216.897003,
09/30/1998,2095.698975,0,0,0,2095.698975,-349.411011,-193.636993,0,-543.047974,,-232.460999,-179.384995,-561.455017,-973.301025,579.349976,1.814,6.307,-111.535004,2.653,-6.17,-115.052002,472.418974,-186.115997,286.303009,0.0,0,286.303009,-21.481001,264.822008,,264.821976,1.22,1.22,1.22,217.0,1.22,1.22,1.22,217.0,
12/31/1998,1564.172974,0,0,0,1564.172974,-261.553986,-101.628998,0,-363.183014,,-229.343994,-127.960999,-605.390015,-962.695007,238.294998,1.601,37.960999,-109.392998,2.538,-4.374,-111.228996,166.628,-34.191002,132.436996,0.0,0,132.436996,-21.247999,111.188997,,111.188999,0.512392,0.512392,0.512392,217.0,0.512392,0.512392,0.512392,217.0,
03/31/1999,1537.803955,0,0,0,1537.803955,-234.834,-71.681999,0,-306.515991,,-231.332001,-132.360001,-555.401978,-919.093994,312.194,1.753,6.222,-142.557999,2.458,-3.952,-144.052002,176.116998,-56.243,119.874001,-27.506001,0,92.366997,-22.725,69.641996,-4.36,92.788998,0.43,0.45,0.32,217.080994,0.43,0.45,0.32,217.779999,
06/30/1999,1685.713989,0,0,0,1685.713989,-259.639008,-98.301003,0,-357.940002,,-266.946991,-130.134995,-650.096008,-1047.177979,280.596008,0.0,38.956001,-139.720993,5.19,0.0,-134.531006,185.021004,-55.159,129.862,0.0,0,129.862,-10.47,119.391999,-13.0,106.392003,0.49,0.55,0.55,217.235001,0.49,0.55,0.55,218.330002,
09/30/1999,2064.010986,0,0,0,2064.010986,-302.181,-249.375,0,-551.55603,-168.992996,-200.283997,-143.912003,-383.437988,-896.627014,615.828003,0.0,-14.016,-130.662994,6.581,-5.282,-129.363998,472.448005,-177.970993,294.47699,0.0,0,294.47699,-9.258,285.218989,17.461,302.680012,1.37,1.29,1.29,217.375,1.36,1.28,1.28,218.264999,
12/31/1999,1539.974976,0,0,0,1539.974976,-200.608002,-132.216995,0,-332.825012,,-142.860001,-101.167,-640.164001,-884.190979,322.959015,,-26.712,-128.061005,7.583,-9.368,-129.845993,166.401022,-45.255001,119.392998,-0.073,0,119.320999,-18.441,100.879999,100.279999,202.98502,0.92,0.46,0.46,218.0,0.92,0.46,0.46,218.0,
03/31/2000,1657.786011,0,0,0,1657.786011,-99.208,-226.733002,0,-325.94101,,-374.696991,-138.388,-548.737,-1061.822021,270.02301,,97.722,-134.365005,5.619,-0.969,-129.714996,238.030014,-34.299,203.731003,-2.744,0,200.987,-8.65,192.337,,195.081015,1.02,1.02,1.01,191.033997,1.01,1.01,1.0,191.841995,
06/30/2000,1807.595947,0,0,0,1807.595947,-97.630997,-402.937012,0,-500.567993,,-226.947998,-129.358994,-591.070007,-947.377014,359.651001,0.0,-0.055,-135.057999,5.392,0.0,-129.666,229.930001,-73.921997,156.007996,-1.423,0,154.585007,-8.444,146.141006,,147.564003,0.84,0.84,0.83,177.181,0.83,0.83,0.82,178.240005,
09/30/2000,2081.188965,0,0,0,2081.188965,-97.207001,-691.992981,0,-789.200012,-162.639999,-225.951004,-138.449005,-396.102997,-923.143005,368.846008,0.0,40.117001,-117.123001,5.599,-7.538,-119.061996,289.901012,-86.226997,203.673996,0.49,0,204.164001,-7.963,196.201002,21.097,216.808015,1.06,0.96,0.94,208.723999,1.05,0.95,0.93,210.968994,
12/31/2000,1465.429077,0,0,0,1465.429077,-1682.953979,,0,-361.290985,,-170.404007,-101.804001,-540.089966,-649.657959,454.47998,,128.332997,-209.453995,,,-217.557007,365.25597,-137.552002,202.587006,-2.323,0,202.263992,-7.943,194.320992,,219.760968,,,,,,,,,
