Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investments & Loans Income (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,(Income) Loss from Affiliates,Other Non-Operating (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,Extraordinary & Accounting Items,Income (Loss) incl. Minority Interest,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2001,354.600012,-7.0,0.0,0.0,0.0,-7.0,361.600012,0.0,,,,345.700012,15.9,0.0,354.600012,-230.199997,0.0,230.199997,124.400002,20.799999,,-20.799999,145.200001,-47.200001,,98.0,0.0,,,98.0,-71.199997,26.799999,0.0,0.0,26.799999,26.799999,,220.462006,0.12,0.12,0.4,224.389999,0.11,0.11,0.39,
12/31/2001,321.100012,-13.0,0.0,0.0,0.0,-13.0,334.100012,0.0,,,,318.200012,15.9,0.0,321.100012,-203.300003,0.0,203.300003,117.800003,5.0,,-5.0,122.800003,-47.0,,75.800003,0.0,,,75.800003,-2.1,73.699997,0.0,0.0,73.699997,73.699997,,221.511002,0.33,0.33,0.38,223.811996,0.32,0.32,0.37,
03/31/2002,314.899988,-13.4,0.0,0.0,0.0,-13.4,328.299988,0.0,,,,328.299988,0.0,0.0,314.899988,-190.300003,0.0,190.300003,124.599998,22.4,,-22.4,146.999998,-49.200001,,97.800003,0.0,,,97.799997,-0.6,97.199997,0.0,0.0,97.199997,97.199997,,222.242996,0.44,0.44,0.44,224.589996,0.42,0.42,0.42,
06/30/2002,296.999994,-13.4,0.0,0.0,0.0,-13.4,310.399994,0.0,,,,310.399994,0.0,0.0,296.999994,-198.399994,0.0,198.399994,98.599998,14.5,,-14.5,113.099998,-38.900002,,74.199997,0.0,,,74.199997,-0.5,73.699997,0.0,0.0,73.699997,73.699997,,222.380005,0.33,0.33,0.35,224.410995,0.33,0.33,0.35,
09/30/2002,238.499997,-14.2,0.0,0.0,0.0,-14.2,252.699997,0.0,,,,252.699997,0.0,0.0,238.499997,-206.899994,0.0,206.899994,31.6,-40.700001,,40.700001,-9.1,-111.5,,-120.599998,10.3,,,-130.900001,-0.3,-131.199997,0.0,0.0,-131.199997,-131.199997,,222.399994,-0.59,-0.54,0.12,223.800003,-0.59,-0.54,0.12,
12/31/2002,226.500006,-16.6,0.0,0.0,0.0,-16.6,243.100006,0.0,,,,243.100006,0.0,0.0,226.500006,-166.0,0.0,166.0,60.5,16.6,,-16.6,77.1,-30.4,,46.700001,0.1,,,46.600001,-1.6,45.0,0.0,0.0,45.0,45.0,,222.5,0.2,0.2,0.2,223.800003,0.2,0.2,0.2,
03/31/2003,215.099997,-16.1,0.0,0.0,0.0,-16.1,231.199997,0.0,,,,231.199997,0.0,0.0,215.099997,-167.699997,0.0,167.699997,47.400002,20.1,,-20.1,67.500002,-27.5,,40.0,0.6,,,39.400002,-0.8,38.599998,0.0,0.0,38.599998,38.599998,,223.800003,0.17,0.17,0.17,224.800003,0.17,0.17,0.17,
06/30/2003,230.9,-14.6,0.0,0.0,0.0,-14.6,245.5,0.0,,,,245.5,0.0,0.0,230.9,-168.6,0.0,168.6,62.3,36.7,-18.7,-18.0,82.2,-30.9,,51.3,3.0,,,48.3,-0.8,47.5,0.0,0.0,47.5,47.5,,228.9,0.21,0.22,0.22,230.7,0.21,0.22,0.22,
09/30/2003,241.800006,-14.8,0.0,0.0,0.0,-14.8,256.600006,0.0,,,,256.600006,0.0,0.0,241.800006,-164.699997,0.0,164.699997,77.099998,11.0,,-11.0,88.099998,-32.099998,,56.0,4.0,,,52.0,-1.1,50.900002,0.0,0.0,50.900002,50.900002,,229.199997,0.22,0.24,0.27,231.699997,0.22,0.24,0.27,
12/31/2003,246.399994,-15.0,0.0,0.0,0.0,-15.0,261.399994,0.0,,,,261.399994,0.0,0.0,246.399994,-165.399994,0.0,165.399994,81.0,575.799988,,-575.799988,656.799988,155.899994,,812.700012,-1.7,,,814.399982,-1.5,812.900024,0.0,0.0,812.900024,812.900024,,229.300003,3.55,3.54,0.24,231.0,3.52,3.51,0.23,
03/31/2004,259.599994,-14.8,0.0,0.0,0.0,-14.8,274.399994,0.0,,,,249.899994,24.5,0.0,259.599994,-199.699997,0.0,199.699997,59.900002,-68.900002,,68.900002,-9.0,-11.3,,-20.299999,0.0,,,-20.3,-1.8,-22.1,0.0,0.0,-22.1,-22.1,,230.399994,-0.1,-0.1,0.17,230.399994,-0.1,-0.1,0.17,
06/30/2004,247.2,-11.6,0.0,0.0,0.0,-11.6,258.8,0.0,,,,235.2,23.6,0.0,247.2,-204.6,0.0,204.6,42.6,177.0,,-177.0,213.6,-81.2,,132.4,0.0,,,132.4,-2.2,130.2,0.0,0.0,130.2,130.2,,232.2,0.56,0.56,0.17,234.0,0.56,0.56,0.17,
09/30/2004,232.999997,-4.8,0.0,0.0,0.0,-4.8,237.799997,0.0,,,,215.199997,22.6,0.0,232.999997,-178.300003,0.0,178.300003,54.700001,-3.7,,3.7,51.000001,3.2,,54.200001,0.0,,,54.200001,-2.9,51.299999,0.0,0.0,51.299999,51.299999,,231.800003,0.22,0.22,0.15,233.0,0.22,0.22,0.15,
12/31/2004,232.599999,-7.2,0.0,0.0,0.0,-7.2,239.799999,0.0,,,,221.5,18.299999,0.0,232.599999,-211.800003,0.0,211.800003,20.799999,8.2,,-8.2,28.999999,-7.7,,21.299999,0.0,,,21.299999,-3.1,18.200001,0.0,0.0,18.200001,18.200001,,228.699997,0.08,0.08,0.13,229.899994,0.08,0.08,0.13,
03/31/2005,231.8,-7.2,0.0,0.0,0.0,-7.2,239.0,0.0,,,,216.0,23.0,0.0,231.8,-195.5,0.0,195.5,36.299999,8.8,,-8.8,45.099999,-21.4,,23.700001,0.0,,,23.7,-4.1,19.6,0.0,0.0,19.6,19.6,,226.0,0.09,0.09,0.11,227.100006,0.09,0.09,0.11,
06/30/2005,222.1,-7.2,0.0,0.0,0.0,-7.2,229.3,0.0,,,,208.7,20.6,0.0,222.1,-195.5,0.0,195.5,26.6,19.1,,-19.1,45.7,-15.7,,30.0,0.0,,,30.0,-4.3,25.7,0.0,0.0,25.7,25.7,,221.0,0.12,0.12,0.11,221.8,0.12,0.12,0.11,
09/30/2005,230.3,-7.2,0.0,0.0,0.0,-7.2,237.5,0.0,,,,218.4,19.1,0.0,230.3,-192.7,0.0,192.7,37.6,9.8,1.9,-11.7,47.4,-10.5,,36.9,,,,36.9,-5.2,31.7,0.0,0.0,31.7,31.7,,216.2,0.15,0.15,0.14,217.2,0.15,0.15,0.14,
12/31/2005,240.299997,-7.0,0.0,0.0,0.0,-7.0,247.299997,0.0,,,,225.199997,22.1,0.0,240.299997,-195.300003,0.0,195.300003,45.0,-7.5,,7.5,37.5,-20.299999,,17.200001,0.0,,,17.200001,-6.4,10.8,0.0,0.0,10.8,10.8,,211.300003,0.05,0.05,0.16,212.300003,0.05,0.05,0.16,
03/31/2006,249.1,-7.0,0.0,0.0,0.0,-7.0,256.1,0.0,,,,232.5,23.6,0.0,249.1,-206.9,0.0,206.9,42.2,20.7,1.7,-22.4,62.9,-22.2,,40.7,0.0,,,40.7,-5.4,35.3,0.0,0.0,35.3,35.3,,210.1,0.17,0.17,0.16,211.7,0.17,0.17,0.16,
06/30/2006,247.4,-7.2,0.0,0.0,0.0,-7.2,254.6,0.0,,,,233.1,21.5,0.0,247.4,-201.4,0.0,201.4,46.0,9.8,2.0,-11.8,55.8,-19.5,,36.3,0.0,,,36.3,-5.2,31.1,0.0,0.0,31.1,31.1,,205.3,0.15,0.15,0.15,206.4,0.15,0.15,0.15,
09/30/2006,220.9,-8.1,0.0,0.0,0.0,-8.1,229.0,0.0,,,,229.0,0.0,0.0,220.9,-161.5,0.0,161.5,59.4,-0.8,1.7,-0.9,58.6,-20.4,,38.2,3.1,,,35.1,-5.6,29.5,0.0,0.0,29.5,29.5,,201.0,0.15,0.16,0.19,202.2,0.15,0.16,0.19,
12/31/2006,255.9,-10.0,0.0,0.0,0.0,-10.0,265.9,,,,,241.2,24.7,,255.9,-210.2,0.0,210.2,45.7,17.6,1.7,-19.3,65.0,-21.8,,43.2,,,,43.2,-5.5,37.7,0.0,,37.7,37.7,,193.6,0.19,0.19,0.19,196.0,0.19,0.19,0.19,
03/31/2007,238.4,-9.5,0.0,0.0,0.0,-9.5,247.9,,,,,247.9,,,238.4,-179.0,,179.0,59.4,8.1,1.7,-9.8,67.5,-23.4,,44.1,2.4,2.4,,41.7,-6.1,35.6,0.0,,35.6,35.6,-0.52,187.3,0.19,0.2,0.200107,188.6,0.19,0.2,0.197243,
06/30/2007,261.5,-11.5,0.0,0.0,0.0,-11.5,273.0,,,,,273.0,,0.0,261.5,-178.6,0.0,178.6,82.9,6.7,1.7,-8.4,89.6,-32.9,,56.7,2.8,2.8,,53.9,-5.1,48.8,0.0,0.0,48.8,48.8,-0.26,180.1,0.27,0.29,0.285064,182.4,0.27,0.28,0.278575,
09/30/2007,265.7,-18.9,0.0,0.0,0.0,-18.9,284.6,,,,,284.6,0.0,0.0,265.7,-188.8,0.0,188.8,76.9,10.8,1.9,-12.7,87.7,-32.0,,55.7,38.6,,,17.1,-4.9,12.2,0.0,0.0,12.2,12.2,,171.2,0.07,0.3,0.3,173.9,0.07,0.29,0.29,
12/31/2007,311.6,-18.9,0.0,0.0,0.0,-18.9,330.5,19.0,,,,311.5,0.0,0.0,311.6,-221.3,0.0,221.3,90.3,30.2,,-30.2,120.5,-34.3,,67.2,31.9,,,54.3,-5.6,29.7,0.0,0.0,29.7,29.7,,170.9,0.17,0.36,0.36,170.9,0.17,0.36,0.36,
03/31/2008,262.3,-18.9,0.0,0.0,0.0,-18.9,281.2,0.0,,,,281.2,,,262.3,-191.7,,191.7,70.6,-3.3,2.0,1.3,67.3,-24.5,,42.8,1.6,1.6,,41.2,-3.8,37.4,0.0,,37.4,37.4,6.175,162.5,0.23,0.24,0.278,164.0,0.23,0.24,0.277652,
06/30/2008,285.4,-18.8,0.0,0.0,0.0,-18.8,304.2,0.0,,,,304.2,,0.0,285.4,-199.1,0.0,199.1,86.3,6.3,2.3,-8.6,92.6,-23.8,,68.8,-0.7,-0.7,,69.5,-3.2,66.3,0.0,,66.3,66.3,-1.95,160.4,0.41,0.41,0.39682,162.4,0.41,0.4,0.387993,
09/30/2008,256.5,-18.9,0.0,0.0,0.0,-18.9,275.4,,,,,275.4,0.0,0.0,256.5,-182.1,0.0,182.1,74.4,-28.4,2.5,25.9,46.0,-17.2,,28.8,0.6,,,28.2,-2.8,25.4,0.0,0.0,25.4,25.4,,157.1,0.17,0.17,0.25,159.6,0.16,0.16,0.24,
12/31/2008,158.2,-18.9,0.0,0.0,0.0,-18.9,177.1,,,,,177.1,,,158.2,-131.9,,131.9,26.3,-16.4,2.2,14.2,9.9,-3.3,,6.6,,,,6.6,1.2,7.8,0.0,,7.8,7.8,14.04,156.4,0.05,0.05,0.139642,156.4,0.05,0.05,0.139642,
03/31/2009,150.4,-19.9,0.0,0.0,,-19.9,170.3,0.0,0.0,0.0,0.0,170.3,0.0,,150.4,-1007.3,0.0,1007.3,-856.9,0.0,,0.0,-856.9,41.3,,-815.6,0.0,0.0,0.0,-815.6,-2.5,-818.1,0.0,0.0,-818.1,-818.1,822.985,156.6,-5.22,-5.22,0.031194,156.6,-5.22,-5.22,0.031194,
06/30/2009,180.5,-19.7,0.0,0.0,,-19.7,200.2,0.0,0.0,0.0,0.0,200.2,0.0,,180.5,-152.9,0.0,152.9,27.6,0.4,,-0.4,28.0,-8.8,,19.2,0.0,0.0,0.0,19.2,-3.4,15.8,0.0,0.0,15.8,15.8,-0.195,157.0,0.1,0.1,0.099395,159.0,0.1,0.1,0.098774,
09/30/2009,214.8,-18.6,0.0,0.0,,-18.6,233.4,0.0,0.0,0.0,0.0,227.6,5.8,,214.8,-197.1,0.0,197.1,17.7,0.1,,-0.1,17.8,-6.0,,11.8,0.0,0.0,0.0,11.8,-3.6,8.2,0.0,0.0,8.2,8.2,16.835,173.6,0.05,0.05,0.144211,176.6,0.05,0.05,0.144211,
12/31/2009,234.8,-15.8,0.0,0.0,,-15.8,250.6,0.0,0.0,0.0,0.0,250.6,0.0,,234.8,-174.5,0.0,174.5,60.3,0.4,,-0.4,60.7,-20.2,,40.5,0.0,0.0,0.0,40.5,-3.5,37.0,0.0,0.0,37.0,37.0,-0.26,181.7,0.2,0.2,0.202201,181.7,0.2,0.2,0.198569,
03/31/2010,231.3,-15.6,0.0,0.0,,-15.6,246.9,0.0,0.0,0.0,0.0,246.9,0.0,,231.3,-178.9,0.0,178.9,52.4,0.2,,-0.2,52.6,-19.2,,33.4,0.0,0.0,0.0,33.4,-2.1,31.3,0.0,0.0,31.3,31.3,-0.455,179.2,0.17,0.17,0.172126,181.9,0.17,0.17,0.167499,
06/30/2010,233.5,-15.8,0.0,0.0,,-15.8,249.3,0.0,0.0,0.0,0.0,249.3,0.0,,233.5,-184.7,0.0,184.7,48.8,0.7,,-0.7,49.5,-18.1,,31.4,0.0,0.0,0.0,31.4,-1.2,30.2,0.0,0.0,30.2,30.2,-2.08,179.8,0.17,0.17,0.156396,182.5,0.17,0.17,0.156396,
09/30/2010,227.9,-15.9,0.0,0.0,,-15.9,243.8,0.0,0.0,0.0,0.0,243.8,0.0,,227.9,-185.8,0.0,185.8,42.1,0.5,,-0.5,42.6,-7.2,,35.4,0.0,0.0,0.0,35.4,-2.9,32.5,0.0,0.0,32.5,32.5,-0.585,180.0,0.18,0.18,0.177306,182.4,0.18,0.18,0.176793,
12/31/2010,259.8,-15.9,0.0,0.0,,-15.9,275.7,0.0,0.0,0.0,0.0,275.7,0.0,,259.8,-160.0,0.0,160.0,99.8,0.5,,-0.5,100.3,-31.9,0.0,68.4,0.0,0.0,0.0,68.4,-2.5,65.9,0.0,0.0,65.9,65.9,-12.935,183.1,0.36,0.36,0.289268,183.1,0.36,0.36,0.289268,
03/31/2011,252.2,-13.2,0.0,0.0,,-13.2,265.4,0.0,0.0,0.0,0.0,265.4,0.0,,252.2,-188.4,0.0,188.4,63.8,-0.1,,0.1,63.7,-22.8,,40.9,0.0,0.0,0.0,40.9,-3.0,37.9,0.0,0.0,37.9,37.9,5.33,181.9,0.21,0.21,0.237658,184.1,0.21,0.21,0.237658,
06/30/2011,250.9,-13.1,0.0,0.0,,-13.1,264.0,0.0,0.0,0.0,0.0,264.0,0.0,,250.9,-183.6,0.0,183.6,67.3,0.5,,-0.5,67.8,-22.3,,45.5,0.0,0.0,0.0,45.5,-3.6,41.9,0.0,0.0,41.9,41.9,0.91,182.5,0.23,0.23,0.234575,184.5,0.23,0.23,0.234575,
09/30/2011,223.9,-13.0,0.0,0.0,,-13.0,236.9,0.0,0.0,0.0,0.0,236.9,0.0,,223.9,-186.1,0.0,186.1,37.8,1.4,,-1.4,39.2,-11.9,,27.3,0.0,0.0,0.0,27.3,0.1,27.4,0.0,0.0,27.4,27.4,15.21,182.6,0.15,0.15,0.233352,184.0,0.15,0.15,0.232663,
12/31/2011,203.9,-11.7,0.0,0.0,,-11.7,215.6,0.0,0.0,0.0,0.0,215.6,0.0,,203.9,-143.8,0.0,143.8,60.1,2.0,,-2.0,62.1,-22.4,,39.7,0.0,0.0,0.0,39.7,-4.0,35.7,0.0,0.0,35.7,35.7,-0.78,184.0,0.19,0.19,0.189783,184.0,0.19,0.19,0.185761,
03/31/2012,206.6,-11.8,0.0,0.0,,-11.8,218.4,0.0,0.0,0.0,0.0,218.4,0.0,,206.6,-162.8,0.0,162.8,43.8,0.1,,-0.1,43.9,-17.2,,26.7,0.0,0.0,0.0,26.7,-4.1,22.6,0.0,0.0,22.6,22.6,0.585,184.0,0.12,0.12,0.126005,185.4,0.12,0.12,0.123155,
06/30/2012,195.0,-11.0,0.0,0.0,,-11.0,206.0,0.0,0.0,0.0,0.0,206.0,0.0,,195.0,-160.9,0.0,160.9,34.1,1.8,,-1.8,35.9,-11.2,,24.7,0.0,0.0,0.0,24.7,-1.3,23.4,0.0,0.0,23.4,23.4,4.55,184.0,0.13,0.13,0.151902,185.4,0.13,0.13,0.151902,
09/30/2012,197.9,-11.1,0.0,0.0,,-11.1,209.0,0.0,0.0,0.0,0.0,209.0,0.0,,197.9,-153.5,0.0,153.5,44.4,0.3,,-0.3,44.7,-17.0,,27.7,0.0,0.0,0.0,27.7,-2.6,25.1,0.0,0.0,25.1,25.1,-3.315,183.4,0.14,0.14,0.118784,185.3,0.14,0.14,0.118784,
12/31/2012,205.5,-11.1,0.0,0.0,,-11.1,216.6,0.0,0.0,0.0,0.0,216.6,0.0,,205.5,-154.4,0.0,154.4,51.1,1.0,,-1.0,52.1,-19.3,,32.8,0.0,0.0,0.0,32.8,-1.6,31.2,0.0,0.0,31.2,31.2,0.52,185.7,0.17,0.17,0.170813,185.7,0.17,0.17,0.170813,
03/31/2013,203.0,-11.2,0.0,0.0,,-11.2,214.2,0.0,0.0,0.0,0.0,214.2,0.0,,203.0,-154.9,0.0,154.9,48.1,1.8,,-1.8,49.9,-20.2,,29.7,0.0,0.0,0.0,29.7,-1.7,28.0,0.0,0.0,28.0,28.0,-2.99,184.8,0.15,0.15,0.135335,186.3,0.15,0.15,0.133951,
06/30/2013,204.8,-11.0,0.0,0.0,,-11.0,215.8,0.0,0.0,0.0,0.0,215.8,0.0,,204.8,-176.1,0.0,176.1,28.7,-0.8,,0.8,27.9,-11.1,,16.8,0.0,0.0,0.0,16.8,-1.0,15.8,0.0,0.0,15.8,15.8,12.155,185.0,0.09,0.09,0.151108,186.2,0.08,0.08,0.145279,
09/30/2013,208.2,-9.5,0.0,0.0,,-9.5,217.7,0.0,0.0,0.0,0.0,217.7,0.0,,208.2,-151.7,0.0,151.7,56.5,0.8,,-0.8,57.3,-21.7,,35.6,0.0,0.0,0.0,35.6,-3.0,32.6,0.0,0.0,32.6,32.6,-4.55,184.7,0.18,0.18,0.151868,186.4,0.17,0.17,0.14559,
12/31/2013,216.8,-9.4,0.0,0.0,,-9.4,226.2,0.0,0.0,0.0,0.0,226.2,0.0,,216.8,-159.1,0.0,159.1,57.7,2.7,,-2.7,60.4,-20.3,,40.1,0.0,0.0,0.0,40.1,-1.8,38.3,0.0,0.0,38.3,38.3,-0.065,183.8,0.21,0.21,0.208025,186.2,0.21,0.21,0.208025,
03/31/2014,220.8,-9.4,0.0,0.0,,-9.4,230.2,0.0,0.0,0.0,0.0,230.2,0.0,,220.8,-164.4,0.0,164.4,56.4,0.6,,-0.6,57.0,-25.9,,31.1,0.0,0.0,0.0,31.1,-0.6,30.5,0.0,0.0,30.5,30.5,0.715,184.3,0.16,0.16,0.169371,185.2,0.16,0.16,0.163861,
06/30/2014,222.3,-8.9,0.0,0.0,,-8.9,231.2,0.0,0.0,0.0,0.0,231.2,0.0,,222.3,-159.6,0.0,159.6,62.7,0.4,,-0.4,63.1,-26.2,,36.9,0.0,0.0,0.0,36.9,-0.6,36.3,0.0,0.0,36.3,36.3,-0.585,183.4,0.19,0.19,0.194738,184.5,0.19,0.19,0.186829,
09/30/2014,229.4,-7.6,0.0,0.0,,-7.6,237.0,0.0,0.0,0.0,0.0,237.0,0.0,,229.4,-164.1,0.0,164.1,65.3,-1.1,,1.1,64.2,-23.6,,40.6,0.0,0.0,0.0,40.6,0.3,40.9,0.0,-1.4,39.5,39.5,-0.845,181.4,0.22,0.22,0.213093,182.8,0.22,0.22,0.213093,
12/31/2014,247.6,-7.2,0.0,0.0,,-7.2,254.8,0.0,0.0,0.0,0.0,254.8,0.0,,247.6,-177.3,0.0,177.3,70.3,3.1,,-3.1,73.4,-26.6,,46.8,0.0,0.0,0.0,46.8,-0.1,46.7,0.0,-1.5,45.2,45.2,1.95,179.7,0.24,0.24,0.262382,186.0,0.24,0.24,0.250484,
03/31/2015,255.4,-7.3,0.0,0.0,,-7.3,262.7,0.0,0.0,0.0,0.0,262.7,0.0,,255.4,-182.3,0.0,182.3,73.1,-0.1,,0.1,73.0,-26.8,,46.2,0.0,0.0,0.0,46.2,-1.6,44.6,0.0,-1.6,43.0,43.0,-2.86,180.2,0.24,0.24,0.222752,188.2,0.23,0.23,0.214803,
06/30/2015,264.7,-7.2,0.0,0.0,,-7.2,271.9,0.0,0.0,0.0,0.0,271.9,0.0,,264.7,-192.9,0.0,192.9,71.8,-2.2,,2.2,69.6,-24.7,,44.9,0.0,0.0,0.0,44.9,-0.2,44.7,0.0,-1.6,43.1,43.1,2.015,180.8,0.24,0.24,0.24953,189.4,0.23,0.23,0.240639,
09/30/2015,265.8,-8.0,0.0,0.0,,-8.0,273.8,0.0,0.0,0.0,0.0,273.8,0.0,,265.8,-233.9,0.0,233.9,31.9,1.2,,-1.2,33.1,-13.2,,19.9,0.0,0.0,0.0,19.9,0.0,19.9,0.0,-0.7,19.2,19.2,27.48,179.9,0.11,0.11,0.259477,186.4,0.1,0.1,0.247425,
12/31/2015,262.6,-5.2,0.0,0.0,,-5.2,267.8,0.0,0.0,0.0,0.0,267.8,0.0,,262.6,-189.3,0.0,189.3,73.3,4.3,,-4.3,77.6,-29.3,,48.3,0.0,0.0,0.0,48.3,-1.7,46.6,0.0,-1.6,45.0,45.0,1.495,178.0,0.25,0.25,0.261208,183.6,0.25,0.25,0.258143,
03/31/2016,243.3,-5.2,0.0,0.0,,-5.2,248.5,0.0,0.0,0.0,0.0,248.5,0.0,,243.3,-184.2,0.0,184.2,59.1,1.8,,-1.8,60.9,-23.9,,37.0,0.0,0.0,0.0,37.0,-1.9,35.1,0.0,-1.3,33.8,33.8,-1.105,178.4,0.19,0.19,0.183268,181.3,0.19,0.19,0.183268,
06/30/2016,246.8,-5.1,0.0,0.0,,-5.1,251.9,0.0,0.0,0.0,0.0,251.9,0.0,,246.8,-183.3,0.0,183.3,63.5,1.2,,-1.2,64.7,-24.5,,40.2,0.0,0.0,0.0,40.2,-1.2,39.0,0.0,-1.5,37.5,37.5,-0.455,177.5,0.21,0.21,0.208704,182.4,0.21,0.21,0.207505,
