Date,Revenue,Sales & Services Revenue,Financing Revenue,Cost of Revenue,Cost of Goods & Services,Cost of Financing Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/1993,4122.0,,,-2574.0,,,1548.0,,-1383.0,,,,,165.0,49.0,,,,,,-49.0,214.0,-75.0,139,-10.0,,,149.0,-37.0,112,0.0,,112.0,112.0,,150.141003,0.64,0.573333,0.573333,150.141003,0.64,0.573333,0.573333,
09/30/1993,4215.0,,,-2591.0,,,1624.0,,-1437.0,,,,,187.0,77.0,,,,,,-77.0,264.0,-54.0,210,23.0,,,187.0,-37.0,150,0.0,,150.0,150.0,,163.200005,0.853333,1.0,1.0,163.200005,0.853333,1.0,1.0,
12/31/1993,4798.0,,,-2868.0,,,1930.0,,-2879.0,,,,,-949.0,41.0,,,,,,-41.0,-908.0,312.0,-596,1.0,,,-597.0,20.0,-577,0.0,,-577.0,-577.0,,159.450005,-3.613333,-3.733333,-3.733333,159.450005,-3.613333,-3.733333,-3.733333,
03/31/1994,3271.0,,,-1757.0,,,1514.0,,-1252.0,,,,,262.0,5.0,,,,,,-5.0,267.0,-104.0,163,2.0,,,161.0,-32.0,129,-20.5,,108.5,108.5,,161.850003,0.673333,0.686667,0.686667,161.850003,0.673333,0.686667,0.686667,
06/30/1994,3584.0,,,-1927.0,,,1657.0,,-1347.0,,,,,310.0,33.0,,,,,,-33.0,343.0,-121.0,222,-1.0,,,223.0,-55.0,168,-18.5,,149.5,149.5,,162.899997,0.92,0.913333,0.913333,162.899997,0.92,0.913333,0.913333,
09/30/1994,3636.0,,,-1973.0,,,1663.0,,-1317.0,,,,,346.0,25.0,,,,,,-25.0,371.0,-136.0,235,-1.0,,,236.0,-50.0,186,-16.5,,169.5,169.5,,163.200005,1.04,1.033333,1.033333,163.200005,1.04,1.033333,1.033333,
12/31/1994,4597.0,,,-2514.0,,,2083.0,,-1373.0,,,,,710.0,-89.0,,,,,,89.0,621.0,-234.0,387,0.0,,,387.0,-76.0,311,-17.5,,293.5,293.5,,162.600003,1.84,1.84,1.84,162.600003,1.84,1.84,1.84,
03/31/1995,3767.0,,,-2064.0,,,1703.0,,-1317.0,,,,,386.0,-6.0,,,,0.0,,6.0,380.0,-142.0,238,40.0,,,198.0,-51.0,147,-16.5,,130.5,130.5,,163.789502,0.8,1.046667,1.293333,163.789502,0.8,1.046667,1.293333,
06/30/1995,4054.0,,,-2169.0,,,1885.0,,-1414.0,,,,,471.0,-8.0,,,,0.0,,8.0,463.0,-160.0,303,16.0,,,287.0,-49.0,238,-17.5,,220.5,220.5,,165.274498,1.333333,1.433333,1.533333,165.274498,1.333333,1.433333,1.533333,
09/30/1995,4012.0,,,-2167.0,,,1845.0,,-1387.0,,,,,458.0,-5.0,,,,0.0,,5.0,453.0,-160.0,293,20.0,,,273.0,-37.0,236,-16.5,,219.5,219.5,,166.185001,1.32,1.44,1.44,166.185001,1.32,1.44,1.44,
12/31/1995,4755.0,,,-2533.0,,,2222.0,,-1550.0,,,,,672.0,12.0,,,,0.0,,-12.0,684.0,-153.0,531,1570.0,,,-1039.0,-54.0,-1093,-11.5,,-1104.5,-1104.5,,167.050496,-6.613333,3.386667,3.386667,167.050496,-6.613333,3.386667,3.386667,
03/31/1996,3928.0,,,-2120.0,,,1808.0,,-1420.0,,,,,388.0,16.0,,148.0,,0.0,,-164.0,404.0,-139.0,265,0.0,,,265.0,-28.0,237,-13.4,,223.6,223.6,,164.145,1.36,1.36,1.36,181.945495,1.226667,1.226667,1.226667,
06/30/1996,4217.0,,,-2198.0,,,2019.0,,-1533.0,,,,,486.0,15.0,,,,0.0,,-15.0,501.0,-164.0,337,0.0,,,337.0,-44.0,293,-13.501,,279.499,279.499,,163.531006,1.7,1.7,1.7,181.483993,1.54,1.54,1.54,
09/30/1996,4158.0,,,-2235.0,,,1923.0,,-1517.0,,,,,406.0,7.0,,,,0.0,,-7.0,413.0,-138.0,275,0.0,,,275.0,-25.0,250,-13.256,,236.744,236.744,,163.729004,1.44,1.44,1.44,181.7715,1.3,1.3,1.3,
12/31/1996,5075.0,,,-2683.0,,,2392.0,,-1648.0,,,,,744.0,5.0,,,,0.0,,-5.0,749.0,-259.0,490,0.0,,,490.0,-64.0,426,-18.843,,407.157,407.157,,163.462998,2.54,2.54,2.54,181.436004,2.36,2.36,2.36,
03/31/1997,4017.0,,,-2154.0,,,1863.0,,-1435.0,,,,,428.0,22.0,135.0,135.0,,,,-157.0,450.0,-150.0,300,,,,300.0,-30.0,270,,,270.0,270.0,,162.8855,1.58,1.58,1.58,180.8665,1.5,1.5,1.5,
06/30/1997,4351.0,,,-2272.0,,,2079.0,,-1582.0,,,,,497.0,46.0,288.0,288.0,,,,-334.0,543.0,-175.0,368,,,,368.0,-31.0,337,,,337.0,337.0,,163.001,2.02,2.02,2.02,179.875,1.88,1.88,1.88,
09/30/1997,4370.0,,,-2338.0,,,2032.0,,-1582.0,,,,,450.0,37.0,450.0,450.0,,,,-487.0,487.0,-153.0,334,,,,334.0,-14.0,320,,,320.0,320.0,,163.5725,1.88,1.88,1.88,180.57,1.78,1.78,1.78,
12/31/1997,5405.0,,,-2996.0,,,2409.0,,-1580.0,,,,,829.0,-41.0,,362.0,,0.0,,-321.0,788.0,-250.0,538,0.0,,,538.0,-13.0,525,-24.0,,501.0,501.0,,163.907501,3.2,3.2,3.2,180.882995,2.9,2.9,2.9,
03/31/1998,4304.0,,,-2368.0,,,1936.0,,-1491.0,,,,,445.0,14.0,156.0,156.0,,,,-170.0,459.0,-147.0,312,190.0,,,122.0,-11.0,111,,,111.0,111.0,,164.282,0.64,1.76,1.76,181.266,0.64,1.68,1.68,
06/30/1998,4742.0,,,-2581.0,,,2161.0,,-1616.0,,,,,545.0,-1632.0,334.0,334.0,,,,1298.0,-1087.0,385.0,-702,,,,-702.0,-10.0,-712,,,-712.0,-712.0,1644.0,164.937,-4.38,-4.38,5.58,164.937,-4.38,-4.38,5.58,
09/30/1998,4607.0,,,-2477.0,,,2130.0,,-1590.0,,,,,540.0,28.0,553.0,553.0,,,,-581.0,568.0,-173.0,395,,,,395.0,-14.0,381,,,381.0,381.0,,164.6525,2.24,2.24,2.24,183.798,2.1,2.1,2.1,
12/31/1998,5794.0,,,,,,,,,,,,,,,,,,,,,,,615,,,,,,615,,0.0,615.0,615.0,,165.0845,3.68,3.68,3.68,183.0355,3.36,3.36,3.36,
03/31/1999,4327.0,,,,,,,,-3928.0,,,,,399.0,10.0,,,,0.0,,-10.0,409.0,-122.0,287,0.0,,,287.0,-8.0,279,-10.0,,269.0,269.0,,165.218506,1.64,1.64,1.64,183.735504,1.56,1.56,1.56,
06/30/1999,4901.0,,,,,,,,-4364.0,,,,,537.0,24.0,,,,0.0,,-24.0,561.0,-161.0,400,0.0,,,400.0,-13.0,387,-10.0,,377.0,377.0,,165.360001,2.28,2.28,2.28,184.173492,2.12,2.12,2.12,
09/30/1999,4734.0,,,,,,,,-4232.0,,,,,502.0,5.0,,,,0.0,,-5.0,507.0,-157.0,350,0.0,,,350.0,-14.0,336,-9.0,,327.0,327.0,,166.12175,1.96,1.96,1.96,184.790497,1.84,1.84,1.84,
12/31/1999,5287.0,,,-3119.0,,,2168.0,,-2001.0,1513.0,,,488.0,167.0,266.0,-237.0,,-237.0,0.0,,-29.0,433.0,-125.0,308,0.0,,,308.0,-14.0,294,-9.0,0.0,285.0,285.0,,166.35,1.72,1.72,1.72,182.025,1.64,1.64,1.64,
03/31/2000,4558.0,,,,,,,,-4933.0,,,,,-375.0,5.0,,,-236.0,0.0,,231.0,-370.0,143.0,-227,0.0,,,-227.0,-11.0,-238,-11.0,0.0,-249.0,-249.0,,166.664001,-1.48,-1.48,-1.48,166.664001,-1.48,-1.48,-1.48,
06/30/2000,4778.0,,,-2848.0,,,1930.0,,-1685.0,,,,,245.0,48.0,,247.0,239.0,0.0,,-534.0,293.0,-79.0,214,0.0,,,214.0,-12.0,202,-7.0,0.0,195.0,195.0,,166.82,1.16,1.16,1.16,182.1995,1.08,1.08,1.08,
09/30/2000,4503.0,,,-2926.0,,,1577.0,,-1812.0,,,,,-235.0,10.0,29.0,265.0,-236.0,0.0,,-39.0,-225.0,44.0,-181,0.0,,,-181.0,-10.0,-191,-8.0,0.0,-199.0,-199.0,,166.93025,-1.2,-1.2,-1.2,166.93025,-1.2,-1.2,-1.2,
03/31/2001,4291.0,,,-2669.0,,,1622.0,,-1530.0,,,,,92.0,576.0,,294.0,-315.0,0.0,,-555.0,668.0,-437.0,231,2.0,,,229.0,-7.0,222,-12.0,0.0,210.0,210.0,,170.083755,1.24,1.24,-0.92,195.423752,1.12,1.12,-1.0,
06/30/2001,4283.0,,,-2484.0,,,1799.0,,-1602.0,,,,,197.0,-418.0,,274.0,-309.0,0.0,,453.0,-221.0,124.0,-97,0.0,,,-97.0,-10.0,-107,0.0,0.0,-107.0,-107.0,,175.331253,-0.6,-0.6,0.48,175.331253,-0.6,-0.6,0.48,
09/30/2001,4052.0,,,-2422.0,,,1630.0,,-1539.0,,,,,91.0,-196.0,,163.0,-297.0,0.0,,330.0,-105.0,45.0,-60,0.0,,,-60.0,-9.0,-69,0.0,0.0,-69.0,-69.0,,179.577255,-0.4,-0.4,-0.16,179.577255,-0.4,-0.4,-0.16,
12/31/2001,4262.0,,,-2617.0,,,1645.0,0.0,-1455.0,1181.0,,,274.0,190.0,-175.0,,,,,,190.0,15.0,-6.0,9,-4.0,,,13.0,-17.0,-4,,0.0,-4.0,-4.0,123.5,180.5,-0.02216,-0.04432,0.639892,180.5,-0.02216,-0.04432,0.639892,
03/31/2002,3858.0,,,-2184.0,,,1674.0,,-1491.0,,,,,183.0,-233.0,,181.0,-285.0,0.0,,337.0,-50.0,23.0,-27,63.0,,,-90.0,-24.0,-114,0.0,0.0,-114.0,-114.0,,181.409744,-0.64,-0.28,0.24,181.409744,-0.64,-0.28,0.24,
06/30/2002,3952.0,,,-2171.0,,,1781.0,,-1451.0,,,,,330.0,-154.0,,170.0,-272.0,0.0,,256.0,176.0,-64.0,112,0.0,,,112.0,-25.0,87,0.0,0.0,87.0,87.0,,181.999252,0.48,0.48,0.68,228.277496,0.44,0.44,0.64,
09/30/2002,3793.0,,,-2092.0,,,1701.0,,-1359.0,,,,,342.0,-149.0,,199.0,-268.0,0.0,,218.0,193.0,-77.0,116,0.0,,,116.0,-17.0,99,-63.0,0.0,36.0,36.0,,183.402496,0.2,0.2,0.4,206.274002,0.16,0.16,0.36,
12/31/2002,4007.0,,,-2280.0,,,1727.0,,-1582.0,,,,,145.0,-158.0,-239.0,,-239.0,,,397.0,-13.0,58.0,45,,,,45.0,-26.0,19,-10.0,,9.0,9.0,408.0,184.25,0.04,0.04,0.04,205.0,0.04,0.04,0.04,
03/31/2003,3757.0,,,-2090.0,,,1667.0,,-1348.0,,,,,319.0,-415.0,,202.0,-261.0,0.0,,474.0,-96.0,53.0,-43,0.0,,,-43.0,-22.0,-65,-10.0,0.0,-75.0,-75.0,,185.393753,-0.4,-0.4,0.76,185.393753,-0.4,-0.4,0.76,
06/30/2003,3920.0,,,-2165.0,,,1755.0,,-1407.0,,,,,348.0,-222.0,,241.0,-266.0,0.0,,247.0,126.0,-40.0,86,0.0,,,86.0,0.0,86,-11.0,0.0,75.0,75.0,,187.5,0.4,0.4,0.76,202.0,0.36,0.36,0.76,
09/30/2003,3732.0,,,-2110.0,,,1622.0,,-1235.0,,,,,387.0,-232.0,,216.0,-261.0,0.0,,277.0,155.0,-38.0,117,0.0,,,117.0,0.0,117,-25.0,0.0,92.0,92.0,,198.097748,0.48,0.48,0.48,212.656494,0.44,0.44,0.44,
12/31/2003,4292.0,,,-2382.0,,,1910.0,,-1400.0,,,,,510.0,-255.0,,283.0,,0.0,,-28.0,255.0,-87.0,168,0.0,,,168.0,54.0,222,-25.0,0.0,197.0,197.0,,198.569504,1.0,1.0,1.04,261.326752,0.88,0.88,0.92,
03/31/2004,3827.0,,,-2214.0,,,1613.0,,-1405.0,,,,,208.0,24.0,,184.0,-253.0,0.0,,45.0,232.0,-67.0,165,-83.0,,,248.0,0.0,248,-24.0,0.0,224.0,224.0,,199.830994,1.12,0.72,0.72,241.958252,1.0,0.68,0.68,
06/30/2004,3853.0,,,-2175.0,,,1678.0,,-1373.0,,,,,305.0,-6.0,,170.0,-170.0,0.0,,6.0,299.0,-91.0,208,0.0,,,208.0,0.0,208,-21.0,0.0,187.0,187.0,,204.236755,0.92,0.92,0.88,261.390015,0.84,0.84,0.8,
09/30/2004,3716.0,,,-2097.0,,,1619.0,,-1433.0,,,,,186.0,39.0,,176.0,-244.0,0.0,,29.0,225.0,-62.0,163,0.0,,,163.0,0.0,163,-14.0,0.0,149.0,149.0,,210.269501,0.72,0.72,0.64,242.355499,0.68,0.68,0.6,
12/31/2004,4326.0,,,-2508.0,,,1818.0,,-1466.0,,,,,352.0,8.0,,178.0,-342.0,0.0,,156.0,360.0,-120.0,240,0.0,,,240.0,0.0,240,-14.0,0.0,226.0,226.0,,219.9825,1.04,1.04,1.12,301.2425,0.96,0.96,1.04,
03/31/2005,3771.0,,,-2237.0,,,1534.0,,-1192.0,,,,,342.0,-16.0,,294.0,-246.0,0.0,,-32.0,326.0,-116.0,210,0.0,,,210.0,0.0,210,-14.0,0.0,196.0,196.0,,239.704254,0.8,0.8,0.8,262.433746,0.8,0.8,0.8,
06/30/2005,3921.0,,,-2390.0,,,1531.0,0.0,-1234.0,1046.0,,,188.0,297.0,-160.0,-18.0,290.0,-308.0,0.0,,198.0,137.0,233.0,370,-53.0,,,423.0,0.0,423,-15.0,0.0,408.0,408.0,,240.1125,1.72,1.478472,1.72,262.10825,1.6,1.397792,1.6,
09/30/2005,3759.0,,,-2206.0,,,1553.0,,-1253.0,,,,,300.0,-200.0,,136.0,-234.0,0.0,,298.0,100.0,-29.0,71,8.0,,,63.0,0.0,63,-14.0,0.0,49.0,49.0,,240.388245,0.2,0.24,0.68,243.138,0.2,0.24,0.68,
12/31/2005,4250.0,,,-2491.0,,,1759.0,,-1278.0,,,,,481.0,-116.0,,53.0,-225.0,0.0,,288.0,365.0,-83.0,282,0.0,,,282.0,0.0,282,-15.0,0.0,267.0,267.0,,239.28725,1.12,1.12,1.32,261.33825,1.08,1.08,1.28,
03/31/2006,3695.0,,,-2211.0,,,1484.0,,-1208.0,983.0,,,225.0,276.0,-29.0,-98.0,130.0,-228.0,,,127.0,247.0,-47.0,200,,,,200.0,,200,-14.0,,186.0,186.0,,231.80925,0.8,0.8,0.72,254.12875,0.8,0.8,0.72,
06/30/2006,3977.0,,,-2344.0,,,1633.0,,-1250.0,,,,,383.0,-101.0,-91.0,136.0,-227.0,0.0,,192.0,282.0,-22.0,260,0.0,,,260.0,0.0,260,-15.0,0.0,245.0,245.0,-12.0,228.37575,1.08,1.08,1.04,250.45125,1.04,1.04,1.0,
09/30/2006,3844.0,,,-2300.0,,,1544.0,,-1343.0,,,,,201.0,-81.0,-88.0,138.0,-226.0,0.0,,169.0,120.0,416.0,536,0.0,,,536.0,0.0,536,0.0,0.0,536.0,536.0,-308.0,243.68425,2.2,2.2,0.92,247.35725,2.16,2.16,0.92,
12/31/2006,4379.0,,,-2581.0,,,1798.0,,-1315.0,,,,,483.0,-210.0,,140.0,-228.0,0.0,,298.0,273.0,-59.0,214,0.0,,,214.0,0.0,214,-14.0,0.0,200.0,200.0,,243.1825,0.88,0.88,1.52,243.1825,0.88,0.88,1.52,
03/31/2007,3836.0,,,-2280.0,,,1556.0,,-1172.0,,,,,384.0,-49.0,,136.0,-222.0,0.0,,135.0,335.0,-102.0,233,0.0,,,233.0,0.0,233,0.0,0.0,233.0,233.0,,236.24025,1.0,1.0,1.0,240.456253,0.96,0.96,0.96,
06/30/2007,4208.0,,,-2513.0,,,1695.0,,-1304.0,,,,,391.0,-49.0,,149.0,-219.0,0.0,,119.0,342.0,-76.0,266,0.0,,,266.0,0.0,266,0.0,0.0,266.0,266.0,,234.729004,1.12,1.12,1.12,239.2155,1.12,1.12,1.12,
09/30/2007,4302.0,,,-2578.0,,,1724.0,,-1324.0,,,,,400.0,-49.0,-62.0,154.0,-216.0,0.0,,111.0,351.0,-97.0,254,0.0,,,254.0,0.0,254,0.0,0.0,254.0,254.0,-3.0,233.05425,1.08,1.08,1.08,237.88625,1.08,1.08,1.08,
12/31/2007,4882.0,,,-2906.0,,,1976.0,,-1424.0,1186.0,,,238.0,552.0,-45.0,,140.0,,0.0,,-58.0,507.0,-125.0,382,0.0,,,382.0,0.0,382,0.0,0.0,382.0,382.0,,230.801,1.64,1.64,1.64,235.618,1.64,1.64,1.64,
03/31/2008,4335.0,,,-2630.0,,,1705.0,0.0,-1345.0,1124.0,,,221.0,360.0,-850.0,-87.0,134.0,-221.0,,,965.0,-490.0,246.0,-244,,,,-244.0,,-244,,0.0,-244.0,-244.0,,227.7155,-1.08,-1.08,-1.08,227.7155,-1.08,-1.08,-1.08,
06/30/2008,4533.0,,,-2754.0,,,1779.0,,-1393.0,,,,,386.0,-112.0,-72.0,144.0,-216.0,0.0,,184.0,274.0,-59.0,215,0.0,,,215.0,0.0,215,0.0,0.0,215.0,215.0,47.82,222.44775,0.96,0.96,1.16,225.6685,0.96,0.96,1.16,
09/30/2008,4370.0,,,-2656.0,,,1714.0,,-1366.0,,,,,348.0,-75.0,-59.0,146.0,-205.0,0.0,,134.0,273.0,-15.0,258,0.0,,,258.0,0.0,258,0.0,0.0,258.0,258.0,-32.0,217.71225,1.2,1.2,1.08,217.71225,1.16,1.16,1.04,
12/31/2008,4370.0,,,-2713.0,,,1657.0,,-1314.0,,1102.0,,212.0,343.0,-401.0,-96.0,143.0,-191.0,0.0,,470.0,-58.0,59.0,1,0.0,,,1.0,0.0,1,0.0,0.0,1.0,1.0,,216.78525,0.0,0.0,1.2,218.84075,0.0,0.0,1.2,
03/31/2009,3554.0,3374.0,180.0,-2173.0,2104.0,69.0,1381.0,0.0,-1220.0,1004.0,,204.0,12.0,161.0,-83.0,-55.0,130.0,-185.0,,-10.0,138.0,78.0,-19.0,49,0.0,0.0,0.0,49.0,-7.0,42,0.0,0.0,42.0,62.7,20.7,216.736,0.2,0.2,0.289292,219.463,0.2,0.2,0.289292,
06/30/2009,3731.0,3553.0,178.0,-2233.0,2165.0,68.0,1498.0,0.0,-1229.0,1013.0,,202.0,14.0,269.0,-72.0,-53.0,131.0,-184.0,,9.0,125.0,197.0,-59.0,147,0.0,0.0,0.0,147.0,-7.0,140,0.0,0.0,140.0,147.05,7.05,217.54025,0.64,0.64,0.675968,219.7315,0.64,0.64,0.672084,
09/30/2009,3675.0,3497.0,178.0,-2211.0,2144.0,67.0,1464.0,0.0,-1229.0,1007.0,,209.0,13.0,235.0,-77.0,-51.0,131.0,-182.0,,15.0,128.0,158.0,-44.0,129,0.0,0.0,0.0,129.0,-6.0,123,0.0,0.0,123.0,135.45,12.45,217.826,0.56,0.56,0.621828,220.69325,0.56,0.56,0.616412,
12/31/2009,4219.0,4042.0,177.0,-2537.0,2470.0,67.0,1682.0,0.0,-1347.0,1125.0,,225.0,-3.0,335.0,-141.0,-48.0,135.0,-183.0,,27.0,189.0,194.0,-30.0,191,0.0,0.0,0.0,191.0,-11.0,180,0.0,0.0,180.0,225.05,45.05,217.854,0.84,0.84,1.033032,221.6815,0.8,0.8,1.00322,
03/31/2010,4721.0,4548.0,173.0,-3017.0,2953.0,64.0,1704.0,0.0,-1556.0,1099.0,,205.0,252.0,148.0,-158.0,-25.0,153.0,-178.0,,-2.0,183.0,-10.0,-22.0,-34,0.0,0.0,0.0,-34.0,-8.0,-42,0.0,0.0,-42.0,149.7,191.7,293.933,-0.16,-0.16,0.5093,293.933,-0.16,-0.16,0.492188,
06/30/2010,5508.0,5344.0,164.0,-3592.0,3531.0,61.0,1916.0,0.0,-1453.0,1163.0,,194.0,96.0,463.0,-143.0,-15.0,153.0,-168.0,,28.0,158.0,320.0,-112.0,236,0.0,0.0,0.0,236.0,-9.0,227,0.0,0.0,227.0,288.05,61.05,345.82075,0.64,0.64,0.832944,354.663,0.64,0.64,0.812136,
09/30/2010,5428.0,5267.0,161.0,-3605.0,3544.0,61.0,1823.0,0.0,-1414.0,1136.0,,189.0,89.0,409.0,-81.0,-17.0,148.0,-165.0,,26.0,98.0,328.0,-98.0,256,0.0,0.0,0.0,256.0,-6.0,250,0.0,0.0,250.0,251.05,1.05,346.7775,0.72,0.72,0.723952,354.17625,0.68,0.68,0.682964,
12/31/2010,5976.0,5814.0,162.0,-3968.0,3908.0,60.0,2008.0,0.0,-1747.0,1196.0,,193.0,358.0,261.0,-84.0,-30.0,138.0,-168.0,,26.0,114.0,177.0,-24.0,179,0.0,0.0,0.0,179.0,-8.0,171,0.0,0.0,171.0,360.85,189.85,348.3605,0.48,0.48,1.035852,357.20125,0.48,0.48,1.011492,
03/31/2011,5465.0,5303.0,162.0,-3664.0,3604.0,60.0,1801.0,0.0,-1373.0,1119.0,,184.0,70.0,428.0,-78.0,-42.0,127.0,-169.0,,34.0,120.0,350.0,-95.0,289,0.0,0.0,0.0,289.0,-8.0,281,0.0,0.0,281.0,281.65,0.65,350.01925,0.8,0.8,0.804672,358.98075,0.76,0.76,0.761812,
06/30/2011,5614.0,5451.0,163.0,-3737.0,3677.0,60.0,1877.0,0.0,-1372.0,1119.0,,175.0,78.0,505.0,-104.0,-44.0,124.0,-168.0,,34.0,148.0,401.0,-108.0,327,0.0,0.0,0.0,327.0,-8.0,319,0.0,0.0,319.0,335.1,16.1,350.5515,0.88,0.88,0.955924,359.474,0.88,0.88,0.924788,
09/30/2011,5583.0,5427.0,156.0,-3755.0,3699.0,56.0,1828.0,0.0,-1375.0,1109.0,,183.0,83.0,453.0,-86.0,-45.0,116.0,-161.0,,43.0,131.0,367.0,-81.0,329,0.0,0.0,0.0,329.0,-9.0,320,0.0,0.0,320.0,320.0,0.0,349.044,0.92,0.92,0.92,356.4245,0.88,0.88,0.88,
12/31/2011,5964.0,5813.0,151.0,-4041.0,3986.0,55.0,1923.0,0.0,-1422.0,1150.0,,179.0,93.0,501.0,-54.0,-44.0,111.0,-155.0,,38.0,98.0,447.0,-102.0,383,0.0,0.0,0.0,383.0,-8.0,375,0.0,0.0,375.0,343.8,-31.2,340.2455,1.08,1.08,1.010448,353.7565,1.04,1.04,0.951804,
