Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
09/26/1992,-24.6,39.200001,42.5,95.099998,,,95.099998,-201.399994,,,-201.399994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,117.105003,25.209999,45.712002,-8.761,,,-8.761,54.944,,,54.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.105003,
04/03/1993,131.100006,78.0,53.400002,18.1,,,18.1,-18.4,,,-18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,-29.0,20.9,53.700001,59.5,,,59.5,-163.100006,,,-163.100006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,210.5,11.4,51.900002,83.300003,,,83.300003,63.900002,,,63.900002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,-0.696,7.05,37.853001,-44.099998,,,-44.099998,-1.499,,,-1.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.696,
03/31/1994,126.599998,22.9,53.200001,7.1,,,7.1,43.400002,,,43.400002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,248.600006,26.6,54.0,-164.0,,,-164.0,332.0,,,332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,140.800003,33.099998,57.200001,-23.299999,,,-23.299999,73.800003,,,73.800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,133.0,48.400002,43.599998,548.200012,,,548.200012,-507.200012,,,-507.200012,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0,
04/01/1995,129.0,58.299999,53.799999,24.299999,,,24.299999,-7.4,,,-7.4,,,-88.0,,,,-88.0,,,,,,,,,,88.0,,,,,,,,,,,,
06/30/1995,-21.4,72.900002,53.599998,-10.0,,,-10.0,-137.899994,,,-137.899994,,,-117.400002,,,,-117.400002,,,,,,,,,,117.400002,,,,,,,,,,,,
09/30/1995,147.100006,84.800003,51.400002,-28.200001,,,-28.200001,39.099998,,,39.099998,,,-105.199997,,,,-105.199997,,,,,,,,,,105.199997,,,,,,,,,,,,
12/31/1995,220.300003,65.0,57.200001,155.899994,,,155.899994,-57.799999,,,-57.799999,,-109.400002,-109.400002,,,,-109.400002,,,,,,,,,,0.0,,,,,,,,,,,110.900001,
03/30/1996,-59.799999,46.400002,63.0,-12.6,,,-12.6,-156.600006,,,-156.600006,,,-59.400002,,,,-59.400002,,,,,,,,,,59.400002,,,,,,,,,,,,
06/30/1996,106.300003,35.400002,74.400002,-18.4,,,-18.4,14.9,,,14.9,,,-113.300003,,,,-113.300003,,,,,,,,,,113.300003,,,,,,,,,,,,
09/30/1996,207.899994,32.700001,69.900002,-3.3,,,-3.3,108.599998,,,108.599998,,,-55.799999,,,,-55.799999,,,,,,,,,,55.799999,,,,,,,,,,,,
12/31/1996,-28.4,18.5,69.699997,-123.699997,,,-123.699997,7.1,,,7.1,,-290.0,-290.0,,,,-290.0,,,,,,,,,,0.0,,,,,,,,,,,-318.4,
03/29/1997,-20.4,13.2,70.400002,-20.4,,,-20.4,-83.599998,,,-83.599998,,-315.5,-56.200001,0.0,,,-56.200001,,,0.0,0.0,0.0,,,,,-259.299999,243.000004,-17.799999,300.400002,,,0.0,0.0,0.0,-39.599998,,-92.900002,
06/27/1997,193.399994,15.6,72.5,-20.700001,,,-20.700001,126.0,,,126.0,,-271.0,-66.199997,0.0,,,-66.199997,,,0.0,0.0,0.0,,,,,-204.800003,129.800014,-17.700001,-107.599991,,,124.5,150.0,-25.5,130.600006,,52.299999,
09/30/1997,21.0,12.6,78.199997,-15.6,,,-15.6,-54.200001,,,-54.200001,,74.800003,-59.400002,0.0,,,-59.400002,,,0.0,0.0,0.0,,,,,134.200005,-64.2,-18.1,-76.1,,,-19.0,0.0,-19.0,49.0,,31.6,
12/31/1997,158.0,9.4,46.900002,75.699997,,,75.699997,25.799999,,,25.799999,,453.700012,-16.199997,53.0,,,-69.199997,,,0.0,0.0,0.0,,,,,469.900009,-642.599975,-17.4,-607.699975,,,-14.5,0.0,-14.5,-3.0,,-31.0,
04/04/1998,-119.0,24.0,70.0,-202.0,,7.0,-209.0,-11.0,-48.0,-6.0,43.0,,-316.0,-36.0,7.0,,,-43.0,,,0.0,0.0,0.0,,,,,-280.0,443.0,-18.0,489.0,,,-19.0,0.0,-19.0,-9.0,,8.0,
07/04/1998,144.0,35.0,67.0,164.0,,19.0,145.0,-122.0,-38.0,1.0,-85.0,,77.0,-43.0,6.0,,,-49.0,,,0.0,0.0,0.0,,,,,120.0,-145.0,-18.0,-222.0,,,46.0,75.0,-29.0,49.0,,76.0,
10/03/1998,163.0,24.0,19.0,25.0,,28.0,-3.0,95.0,-28.0,10.0,113.0,,-357.0,-40.0,7.0,,,-47.0,,,0.0,0.0,0.0,,,,,-317.0,114.0,-18.0,182.0,,,0.0,0.0,0.0,-50.0,,-80.0,
12/31/1998,158.699997,-17.700001,19.4,-18.9,,,-18.9,175.899994,,,175.899994,,-1054.0,-37.900002,28.0,,,-65.900002,,,0.0,0.0,0.0,,,,,-1016.099998,947.400003,-17.4,1002.300003,,,0.0,0.0,0.0,-37.5,,52.100021,
04/03/1999,36.0,,,,,,,,,,,,-348.0,-45.0,6.0,,,-51.0,,,0.0,0.0,0.0,,,,,-303.0,231.0,-18.0,-28.0,,,0.0,0.0,0.0,277.0,,-81.0,
07/03/1999,285.0,,,,,,,,,,,,-711.0,-91.0,13.0,,,-104.0,,,0.0,0.0,0.0,,,,,-620.0,415.0,-36.0,-16.0,,,0.0,0.0,0.0,467.0,,-11.0,
10/02/1999,254.0,-20.0,,,,,,,,,,,-43.0,-48.0,5.0,,,-53.0,,,0.0,0.0,0.0,,,,,5.0,-128.0,-18.0,-392.0,,,0.0,0.0,0.0,282.0,,83.0,
12/31/1999,91.0,59.0,60.0,29.0,,,29.0,-57.0,,,-57.0,,625.0,-10.0,37.0,,,-47.0,,,0.0,0.0,0.0,,,,,635.0,-748.0,-17.0,-701.0,,,-99.0,1.0,-100.0,69.0,,-32.0,
04/01/2000,197.0,55.0,67.0,54.0,,14.0,40.0,21.0,,,21.0,,-1234.0,-61.0,0.0,,,-61.0,,,0.0,0.0,0.0,,,,,-1173.0,981.0,-17.0,772.0,,,-102.0,0.0,-102.0,328.0,,-56.0,
07/01/2000,420.0,117.0,129.0,107.0,,,107.0,67.0,,,67.0,,-1129.0,-108.0,12.0,,,-120.0,,,,,,,,,,-1021.0,973.0,-34.0,586.0,,,-172.0,0.0,-172.0,593.0,,264.0,
09/30/2000,127.0,43.0,195.0,178.0,,,178.0,-59.0,,,-59.0,,-220.0,-128.0,4.0,,,-132.0,,,0.0,0.0,0.0,,,,,-92.0,102.0,-15.0,178.0,,,-78.0,0.0,-78.0,17.0,,9.0,
12/30/2000,22.0,35.0,,,,,,,,,,,-608.0,1.0,6.0,,,-5.0,,,0.0,0.0,0.0,,,,,-609.0,580.0,-16.0,574.0,,,80.0,80.0,0.0,-58.0,,-6.0,
03/31/2001,-158.0,10.0,51.0,-167.0,,3.0,-170.0,-52.0,,,-52.0,,-50.0,-67.0,0.0,,,-67.0,,,0.0,0.0,0.0,,,,,17.0,263.0,-16.0,278.0,,,0.0,0.0,0.0,1.0,,55.0,
06/30/2001,267.0,29.0,55.0,166.0,,,166.0,17.0,,,17.0,,148.0,-55.0,0.0,,,-55.0,,,0.0,0.0,0.0,,,,,203.0,-542.0,-16.0,-509.0,,,0.0,0.0,0.0,-17.0,,-127.0,
09/29/2001,-240.0,44.0,55.0,-390.0,,,-390.0,51.0,,,51.0,,482.0,40.0,90.0,,,-50.0,,,0.0,0.0,0.0,,,,,442.0,-261.0,-15.0,-195.0,,,0.0,0.0,0.0,-51.0,,-19.0,
12/30/2001,-44.0,26.0,44.0,-190.0,,,-190.0,76.0,,,76.0,,-330.0,-26.0,12.0,,,-38.0,,,0.0,0.0,0.0,,,,,-304.0,733.0,-16.0,724.0,,,0.0,0.0,0.0,25.0,,359.0,
03/30/2002,177.0,4.0,60.0,154.0,,6.0,148.0,-41.0,,,-41.0,,-649.0,-28.0,0.0,,,-28.0,,,0.0,0.0,0.0,,,,,-621.0,350.0,-16.0,642.0,,,0.0,0.0,0.0,-276.0,,-122.0,
06/29/2002,215.0,15.0,79.0,54.0,,5.0,49.0,67.0,,,67.0,,-463.0,-29.0,0.0,,,-29.0,,,0.0,0.0,0.0,,,,,-434.0,247.0,-17.0,-455.0,,,1056.0,1056.0,0.0,-337.0,,-1.0,
09/28/2002,-144.0,15.0,85.0,-84.0,,16.0,-100.0,-160.0,,,-160.0,,-1010.0,-35.0,0.0,,,-35.0,,,0.0,0.0,0.0,,,,,-975.0,1075.0,-17.0,667.0,,,0.0,0.0,0.0,425.0,,-79.0,
12/28/2002,12.0,19.0,68.0,-130.0,,,-130.0,55.0,,,55.0,,-145.0,6.0,39.0,,,-33.0,,,0.0,0.0,0.0,,,,,-151.0,200.0,-17.0,217.0,,,0.0,0.0,0.0,0.0,,67.0,
03/29/2003,245.0,-18.0,66.0,244.0,,-13.0,257.0,-47.0,,,-47.0,,-273.0,6.0,40.0,,,-34.0,,,0.0,0.0,0.0,,,,,-279.0,-91.0,-19.0,-221.0,,,0.0,0.0,0.0,149.0,,-119.0,
06/28/2003,3.0,156.0,68.0,-226.0,,-9.0,-217.0,5.0,,,5.0,,367.0,-35.0,0.0,,,-35.0,,,0.0,0.0,0.0,,,,,402.0,-348.0,-18.0,-190.0,,,0.0,0.0,0.0,-140.0,,22.0,
09/27/2003,507.0,-3.0,66.0,429.0,,-2.0,431.0,15.0,,,15.0,,155.0,-52.0,0.0,,,-52.0,,,0.0,0.0,0.0,,,,,207.0,-590.0,-18.0,-574.0,,,0.0,0.0,0.0,2.0,,72.0,
01/03/2004,144.0,-39.0,70.0,-363.0,,,-363.0,476.0,,,476.0,,-453.0,-9.0,29.0,,,-38.0,,,0.0,0.0,0.0,,,,,-444.0,238.0,-18.0,260.0,,,0.0,0.0,0.0,-4.0,,-71.0,
04/03/2004,69.0,13.0,64.0,121.0,,5.0,116.0,-129.0,-48.0,4.0,-85.0,,-390.0,-29.0,8.0,,,-37.0,,,0.0,0.0,0.0,,,,,-361.0,254.0,-20.0,391.0,,,35.0,35.0,0.0,-152.0,,-67.0,
07/03/2004,114.0,56.0,63.0,-15.0,,29.0,-44.0,10.0,-30.0,-6.0,46.0,,376.0,8.0,53.0,,,-45.0,,,0.0,0.0,0.0,,,,,368.0,-402.0,-20.0,-496.0,,,14.0,14.0,0.0,100.0,,88.0,
10/02/2004,178.0,40.0,64.0,69.0,,14.0,55.0,5.0,-8.0,-44.0,57.0,,81.0,-63.0,2.0,,,-65.0,,,0.0,0.0,0.0,,,,,144.0,-243.0,-20.0,-75.0,,,11.0,11.0,0.0,-159.0,,16.0,
01/01/2005,123.0,53.0,121.0,-60.0,,-9.0,-51.0,9.0,41.0,-8.0,-24.0,,417.0,-114.0,3.0,,,-117.0,,,0.0,0.0,0.0,,,,,531.0,-604.0,-76.0,-670.0,,,2.0,2.0,0.0,140.0,,-64.0,
04/02/2005,133.0,45.0,62.0,36.0,,10.0,26.0,-10.0,-65.0,-6.0,61.0,,135.0,-63.0,0.0,,,-63.0,,,0.0,0.0,0.0,,,,,198.0,-380.0,-25.0,-80.0,,,-74.0,30.0,-104.0,-201.0,,-112.0,
07/02/2005,163.0,69.0,63.0,13.0,,3.0,10.0,18.0,-7.0,,25.0,,122.0,-27.0,36.0,,,-63.0,,,0.0,0.0,0.0,,,,,149.0,-122.0,-27.0,-352.0,,,-326.0,5.0,-331.0,583.0,,163.0,
10/01/2005,329.0,38.0,61.0,52.0,,21.0,31.0,178.0,53.0,3.0,122.0,,-1226.0,-58.0,0.0,,,-58.0,,,0.0,0.0,0.0,,,,,-1168.0,954.0,-26.0,1088.0,,,-30.0,7.0,-37.0,-78.0,,57.0,
12/31/2005,37.0,24.0,81.0,130.0,,17.0,113.0,-198.0,3.0,,-201.0,,-994.0,-65.0,14.0,,,-79.0,,,0.0,0.0,0.0,,,,,-929.0,918.0,-24.0,738.0,,,-49.0,6.0,-55.0,253.0,,-39.0,
04/01/2006,329.0,79.0,61.0,25.0,,6.0,19.0,164.0,-43.0,9.0,198.0,,-46.0,-44.0,0.0,,,-44.0,,,0.0,0.0,0.0,,,,,-2.0,-375.0,-27.0,-95.0,,,-18.0,33.0,-51.0,-235.0,,-92.0,
07/01/2006,242.0,191.0,66.0,-35.0,,1.0,-36.0,20.0,-38.0,2.0,56.0,,167.0,-52.0,4.0,,,-56.0,,,0.0,0.0,0.0,,,,,219.0,-472.0,-28.0,-702.0,,,-94.0,8.0,-102.0,352.0,,-63.0,
09/30/2006,259.0,95.0,65.0,42.0,,24.0,18.0,57.0,30.0,-16.0,43.0,,557.0,-35.0,41.0,,,-76.0,,,0.0,0.0,0.0,,,,,592.0,-760.0,-27.0,-554.0,,,-61.0,12.0,-73.0,-118.0,,56.0,
12/30/2006,205.0,103.0,33.0,294.0,,3.0,291.0,-225.0,23.0,-5.0,-243.0,,91.0,-9.0,19.0,,,-28.0,,,0.0,0.0,0.0,,,,,100.0,-167.0,-26.0,1393.0,,,-88.0,4.0,-92.0,-1446.0,,129.0,
03/31/2007,169.0,38.0,55.0,157.0,,1.0,156.0,-81.0,-27.0,4.0,-58.0,,305.0,-40.0,0.0,,,-40.0,,,0.0,0.0,0.0,,,,,345.0,-485.0,-29.0,66.0,,,-5.0,19.0,-24.0,-517.0,,-11.0,
06/30/2007,65.0,66.0,54.0,-106.0,,3.0,-109.0,51.0,8.0,12.0,31.0,,77.0,-33.0,14.0,,,-47.0,,,0.0,0.0,0.0,,,,,110.0,-142.0,-30.0,-90.0,,,6.0,6.0,0.0,-28.0,,0.0,
09/29/2007,254.0,36.0,53.0,152.0,,1.0,151.0,13.0,25.0,2.0,-14.0,,-526.0,-53.0,1.0,,,-54.0,,,0.0,0.0,0.0,,,,,-473.0,288.0,-29.0,12.0,,,5.0,5.0,0.0,300.0,,16.0,
12/29/2007,-45.0,1165.0,25.0,-1516.0,,438.0,-1954.0,281.0,13.0,-48.0,316.0,,-710.0,-47.0,9.0,,,-56.0,,,0.0,0.0,0.0,,,,,-663.0,1119.0,-1124.0,-777.0,,,310.0,310.0,0.0,2710.0,,364.0,
03/29/2008,-339.0,-13.0,50.0,-18.0,,-11.0,-7.0,-358.0,-24.0,2.0,-336.0,,-35.0,-34.0,0.0,,,-34.0,,,0.0,0.0,0.0,,,,,-1.0,185.0,-11.0,193.0,,,1.0,1.0,0.0,2.0,,-189.0,
06/28/2008,50.0,8.0,50.0,-1.0,,11.0,-12.0,-7.0,-21.0,12.0,2.0,,-45.0,-38.0,4.0,,,-42.0,,,0.0,0.0,0.0,,,,,-7.0,1.0,-10.0,-216.0,,,-1.0,,-1.0,228.0,,6.0,
09/27/2008,46.0,3.0,51.0,12.0,,4.0,8.0,-20.0,18.0,-12.0,-26.0,,-99.0,-40.0,0.0,,,-40.0,,,0.0,0.0,0.0,,,,,-59.0,59.0,-11.0,136.0,,,,,,-66.0,,6.0,
01/03/2009,61.0,-6.0,55.0,31.0,,51.0,-20.0,-19.0,54.0,9.0,-82.0,,-48.0,-48.0,0.0,,,-48.0,,,0.0,0.0,0.0,,,,,0.0,-5.0,-11.0,173.0,,,0.0,0.0,0.0,-167.0,,8.0,
04/04/2009,80.0,35.0,51.0,28.0,9.0,24.0,-5.0,-34.0,-28.0,18.0,-24.0,0.0,-20.0,-19.0,0.0,,0.0,-19.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-76.0,-10.0,-51.0,,,0.0,0.0,0.0,-15.0,-1.0,-17.0,
07/04/2009,172.0,66.0,50.0,34.0,17.0,15.0,2.0,22.0,-12.0,30.0,4.0,0.0,-40.0,-29.0,4.0,4.0,0.0,-33.0,-33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,-127.0,-11.0,-112.0,,,0.0,0.0,0.0,-4.0,2.0,7.0,
10/03/2009,188.0,67.0,50.0,43.0,13.0,23.0,7.0,28.0,29.0,-12.0,11.0,0.0,-25.0,-29.0,0.0,0.0,0.0,-29.0,-29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-151.0,-11.0,-143.0,,,3.0,3.0,0.0,0.0,-1.0,11.0,
12/31/2009,200.0,38.0,49.0,38.0,19.0,9.0,10.0,75.0,8.0,8.0,59.0,0.0,-41.0,-48.0,1.0,1.0,0.0,-49.0,-49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-166.0,-11.0,-159.0,,,5.0,5.0,0.0,-1.0,1.0,-6.0,
04/03/2010,1.0,-4.0,48.0,8.0,6.0,,2.0,-51.0,-53.0,-17.0,19.0,0.0,-41.0,-33.0,0.0,0.0,0.0,-33.0,-33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,32.0,-11.0,0.0,,0.0,2.0,2.0,0.0,-3.0,1.0,-7.0,
07/03/2010,93.0,20.0,48.0,7.0,8.0,3.0,-4.0,18.0,-4.0,4.0,18.0,0.0,-44.0,-50.0,2.0,2.0,0.0,-52.0,-52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-30.0,-12.0,0.0,,0.0,2.0,2.0,0.0,-7.0,,19.0,
10/02/2010,109.0,125.0,49.0,-60.0,6.0,-40.0,-26.0,-5.0,1.0,-21.0,15.0,0.0,-57.0,-59.0,0.0,0.0,0.0,-59.0,-59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-48.0,-12.0,0.0,,0.0,1.0,1.0,0.0,0.0,,4.0,
01/01/2011,57.0,27.0,48.0,18.0,-5.0,-4.0,27.0,-36.0,-1.0,-37.0,2.0,0.0,-80.0,-88.0,1.0,1.0,0.0,-89.0,-89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1.0,-12.0,0.0,,0.0,3.0,3.0,0.0,0.0,,-24.0,
04/02/2011,35.0,16.0,48.0,30.0,19.0,6.0,5.0,-58.0,-19.0,6.0,-45.0,0.0,-75.0,-62.0,0.0,0.0,0.0,-62.0,-62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,35.0,-14.0,44.0,,,5.0,5.0,0.0,0.0,1.0,-4.0,
07/02/2011,121.0,19.0,49.0,49.0,20.0,9.0,20.0,3.0,-23.0,8.0,18.0,0.0,-56.0,-67.0,0.0,0.0,0.0,-67.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,-46.0,-14.0,-37.0,,,4.0,4.0,0.0,1.0,,19.0,
10/01/2011,120.0,6.0,49.0,33.0,12.0,1.0,20.0,32.0,19.0,-13.0,26.0,0.0,-49.0,-33.0,8.0,8.0,0.0,-41.0,-41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,-63.0,-15.0,0.0,0.0,,18.0,18.0,0.0,6.0,-4.0,4.0,
