Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Real Estate Investments,Other Investments,Net Receivables,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,Credit Card Loans,Home Equity Loans,1-4 Family Residential Loans,Student Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Total Deposits,ST Borrowings & Repos,Secs Sold Under Repo,Trading Account Liabilities,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,ST Borrowings,Payables Broker Dealers,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Discontinued Operations,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2009,1848533,26915,362080.0,179503.0,182577.0,518636.0,251879.0,191238.0,59622.0,,15897.0,,,,,,,,,,,,676288,-35940.0,640348,,,35676.0,25578.0,10098.0,,81830.0,0.0,183048,,804736,382370,,55764.0,,,,,273910.0,52696.0,348046,,,,348046.0,,,,,73866.0,12374.0,72973,1694365,74301,16720,57.0,16663.0,-5950,88874.0,-21643,152302,1866.0,154168,1848533,
09/30/2009,1888599,26482,415087.0,197357.0,217730.0,533917.0,272027.0,190252.0,55816.0,,15822.0,,197153.0,37981.0,159172.0,425058.0,77482.0,,239316.0,26500.0,81760.0,34667.0,656878,-36416.0,620462,,,34380.0,25423.0,8957.0,,78255.0,,180016,,832603,368550,,67988.0,,,,,242890.0,57672.0,379557,,,,379557.0,,,,,73618.0,16004.0,75318,1745650,312,79032,230.0,78802.0,-6059,85208.0,-17651,140842,2107.0,142949,1888599,
12/31/2009,1856646,25472,389436.0,222022.0,167414.0,590013.0,283894.0,239599.0,51527.0,,14993.0,,190141.0,34931.0,155210.0,401363.0,70444.0,,231139.0,,99780.0,33634.0,625138,-36033.0,589105,,,34106.0,25392.0,8714.0,52591.0,67170.0,,108753,,877165,363312,125561.0,73406.0,0.0,0.0,,47162.0,97599.0,19584.0,316857,0.0,0.0,,316857.0,2216.0,1244.0,972.0,6539.0,74554.0,,61030,1701673,312,98428,286.0,98142.0,-4543,77440.0,-18937,152700,2273.0,154973,1856646,
03/31/2010,2002213,25678,397873.0,234348.0,163525.0,608806.0,292073.0,253367.0,46348.0,,17018.0,,211985.0,32956.0,179029.0,509819.0,166009.0,,229755.0,39900.0,74155.0,34001.0,755805,-48746.0,707059,,,33939.0,25662.0,8277.0,,63129.0,0.0,165729,,827914,442780,,83134.0,,,,,304605.0,55041.0,439274,,,,439274.0,,,,,69840.0,,68626,1848434,312,96714,287.0,96427.0,-1178,73432.0,-17859,151421,2358.0,153779,2002213,
06/30/2010,1937656,24709,391564.0,230784.0,160780.0,569957.0,252891.0,270913.0,31283.0,,14870.0,,209939.0,31580.0,178359.0,482227.0,162847.0,,219023.0,39200.0,61157.0,36872.0,729038,-46197.0,682841,,,33069.0,25201.0,7868.0,,69117.0,,166399,,813951,415366,,71728.0,,,,,288864.0,54774.0,413297,,,,413297.0,,,,,73496.0,,64216,1780326,312,99306,292.0,99014.0,-1772,76130.0,-19170,154806,2524.0,157330,1937656,
09/30/2010,1983280,26342,390128.0,240057.0,150071.0,621788.0,281538.0,295682.0,30107.0,,14461.0,,214944.0,29574.0,185370.0,439367.0,160247.0,,209678.0,,69442.0,37138.0,691449,-43674.0,647775,,,33502.0,25797.0,7705.0,,69524.0,0.0,194221,,850095,410134,,79539.0,,,,,279078.0,51517.0,387330,,,,387330.0,,,,,73753.0,29874.0,66911,1818097,312,101190,292.0,100898.0,-1540,78260.0,-15309,162913,2270.0,165183,1983280,
12/31/2010,1913902,27972,409154.0,246717.0,162437.0,585223.0,267059.0,274572.0,29107.0,,14485.0,,215739.0,27536.0,188203.0,433055.0,163332.0,,203644.0,,66079.0,31213.0,680007,-40655.0,639352,,,33656.0,26152.0,7504.0,56444.0,60052.0,,102049,,844968,460894,160598.0,69324.0,0.0,0.0,,71473.0,107750.0,51749.0,309710,0.0,0.0,,309710.0,1253.0,169.0,1084.0,4349.0,69439.0,,57500,1748113,312,101316,292.0,101024.0,-1442,79559.0,-16277,163468,2321.0,165789,1913902,
03/31/2011,1947815,27842,424723.0,261120.0,163603.0,603222.0,275965.0,294917.0,15484.0,,16856.0,,221184.0,27389.0,193795.0,415952.0,150611.0,,200331.0,,65010.0,40901.0,678037,-36568.0,641469,,,33619.0,26339.0,7280.0,,54710.0,,162230,,865863,403106,,86265.0,,,,,266447.0,50394.0,376541,,,,376541.0,,,,,67799.0,39.0,61074,1774422,312,103033,293.0,102740.0,-878,82554.0,-13984,171037,2356.0,173393,1947815,
06/30/2011,1956626,27766,440157.0,283976.0,156181.0,584053.0,274479.0,278297.0,14910.0,,16367.0,,233200.0,29114.0,204086.0,414300.0,154503.0,,197285.0,,62512.0,40695.0,688195,-34362.0,653833,,,33757.0,26621.0,7136.0,,55829.0,,161231,,866310,427460,,93483.0,,,,,276732.0,57245.0,352458,,,,352458.0,,,,,66833.0,,64920,1777981,312,103504,293.0,103211.0,-1087,85857.0,-12222,176364,2281.0,178645,1956626,
09/30/2011,1935992,28950,449983.0,290645.0,159338.0,547029.0,260372.0,258835.0,12866.0,,14956.0,,238238.0,28306.0,209932.0,399001.0,151840.0,,192123.0,,55038.0,37992.0,675231,-32052.0,643179,,,32296.0,25496.0,6800.0,,80195.0,,154360,,851281,433120,,87597.0,,,,,289430.0,56093.0,333824,,,,333824.0,,,,,75615.0,,62810,1756650,312,105591,294.0,105297.0,-1089,89602.0,-17044,177372,1970.0,179342,1935992,
12/31/2011,1873878,28701,431633.0,275849.0,155784.0,522820.0,229407.0,265204.0,13759.0,,14450.0,,249353.0,30239.0,219114.0,397889.0,156834.0,,191229.0,,49826.0,27777.0,675019,-30115.0,644904,,,32013.0,25413.0,6600.0,55032.0,65308.0,0.0,93467,,865936,463226,164849.0,69809.0,0.0,0.0,,83907.0,87965.0,56696.0,239598,0.0,0.0,,239598.0,1439.0,386.0,1053.0,3502.0,60015.0,,60589,1694305,312,105833,29.0,105804.0,-1071,90520.0,-17788,177806,1767.0,179573,1873878,
03/31/2012,1944423,26505,473006.0,289057.0,183949.0,547630.0,250307.0,270582.0,10126.0,,16615.0,,258333.0,31088.0,227245.0,389689.0,149368.0,,189977.0,,50344.0,39443.0,687465,-29020.0,658445,,,32223.0,25810.0,6413.0,,58778.0,,147836,,906012,420787,,82202.0,,,,,281619.0,56966.0,311079,,,,311079.0,,,,,56893.0,,65929,1760700,312,105816,29.0,105787.0,-883,93310.0,-16735,181820,1903.0,183723,1944423,
06/30/2012,1916451,33927,427718.0,272664.0,155054.0,555396.0,249470.0,279586.0,11349.0,,14991.0,,271063.0,31589.0,239474.0,383905.0,148476.0,,185989.0,,49440.0,35340.0,690308,-27611.0,662697,,,31639.0,25483.0,6156.0,,63450.0,,141624,,914308,403241,,70559.0,,,,,273549.0,59133.0,288334,,,,288334.0,,,,,62049.0,,62680,1730612,312,105991,29.0,105962.0,-859,96216.0,-17749,183911,1928.0,185839,1916451,
09/30/2012,1931346,33802,447570.0,277542.0,170028.0,553522.0,258048.0,271261.0,11257.0,,12956.0,,276544.0,32403.0,244141.0,381879.0,148490.0,,183266.0,,50123.0,31077.0,689500,-25916.0,663584,,,31878.0,25915.0,5963.0,,59361.0,,141629,,944644,403181,,74271.0,,,,,273534.0,55376.0,271862,,,,271862.0,,,,,59126.0,,63795,1742608,312,106232,29.0,106203.0,-851,96650.0,-15566,186777,1961.0,188738,1931346,
12/31/2012,1864660,36453,363445.0,261311.0,102134.0,578635.0,266309.0,288695.0,10130.0,,13501.0,,275159.0,33205.0,241954.0,380305.0,152056.0,,180655.0,,47594.0,22490.0,677954,-25455.0,652499,,,31370.0,25673.0,5697.0,58500.0,56477.0,0.0,87281,,930560,426725,182330.0,63798.0,0.0,0.0,,42651.0,80933.0,57013.0,196812,0.0,0.0,,196812.0,1634.0,612.0,1022.0,3178.0,54661.0,,60093,1673663,2562,106421,30.0,106391.0,-847,97809.0,-16896,189049,1948.0,190997,1864660,
03/31/2013,1881734,31150,413653.0,270426.0,143227.0,557880.0,253021.0,281749.0,10056.0,,13054.0,,280328.0,33769.0,246559.0,366036.0,144057.0,,175485.0,,46494.0,25235.0,671599,-23727.0,647872,,,30931.0,25474.0,5457.0,,57130.0,,143118,,933762,396986,192293.0,67441.0,,,,,77953.0,59299.0,234326,,,,234326.0,,,,,55504.0,,65817,1686395,3137,106692,31.0,106661.0,-991,101580.0,-17059,193359,1980.0,195339,1881734,
06/30/2013,1883988,31145,421233.0,263205.0,158028.0,550113.0,249773.0,277378.0,9602.0,,13360.0,,291530.0,34582.0,256948.0,352211.0,140673.0,,166397.0,,45141.0,33484.0,677225,-21580.0,655645,,,29877.0,24896.0,4981.0,,58460.0,0.0,137515,,938427,409864,186255.0,71100.0,,,,,90804.0,61705.0,220959,,,,220959.0,,,,,54587.0,2062.0,60263,1686162,4293,106907,31.0,106876.0,-1075,105725.0,-19924,195926,1900.0,197826,1883988,
09/30/2013,1899511,32810,446338.0,273679.0,172659.0,543498.0,239973.0,279877.0,10808.0,,12840.0,,300367.0,37591.0,262776.0,357184.0,146700.0,,165241.0,,45243.0,24976.0,682527,-20605.0,661922,,,29986.0,25098.0,4888.0,,53465.0,0.0,131492,,955460,404188,188963.0,71905.0,,,,,86328.0,56992.0,221593,,,,221593.0,,,,,52568.0,2039.0,60924,1696772,5243,107061,31.0,107030.0,-1472,108812.0,-18798,200846,1893.0,202739,1899511,
12/31/2013,1880382,29885,426042.0,257037.0,169005.0,542087.0,233107.0,286511.0,10599.0,,11870.0,,302902.0,37873.0,265029.0,362570.0,152391.0,,163964.0,,46215.0,25674.0,691146,-19648.0,671498,,,30065.0,25009.0,5056.0,55781.0,54242.0,0.0,70782,,968273,421095,175691.0,61508.0,0.0,0.0,,43424.0,86765.0,53707.0,177692,0.0,0.0,,177692.0,748.0,,748.0,2982.0,49265.0,,54194,1674249,6738,107224,31.0,107193.0,-1658,111168.0,-19133,204339,1794.0,206133,1880382,
03/31/2014,1894736,33380,434418.0,263398.0,171020.0,543423.0,230523.0,290925.0,10600.0,,11375.0,,311579.0,38305.0,273274.0,352642.0,143630.0,,163022.0,,45990.0,32484.0,696705,-18923.0,677782,,,29899.0,25008.0,4891.0,,48751.0,0.0,127083,,966263,425814,164749.0,79928.0,,,,36900.0,84830.0,59407.0,185847,,,,185847.0,,,,,46407.0,,60163,1684494,7218,107536,31.0,107505.0,-2237,115091.0,-19146,208462,1780.0,210242,1894736,
06/30/2014,1909715,35268,404170.0,250353.0,153817.0,565897.0,240274.0,292576.0,22330.0,,10717.0,,315047.0,39824.0,275223.0,352457.0,143390.0,,161196.0,,47871.0,41864.0,709368,-17890.0,691478,,,29789.0,25087.0,4702.0,,52438.0,0.0,130675,,965725,381596,159598.0,75827.0,,,,,83848.0,62323.0,226984,,,,226984.0,,,,,50283.0,,72028,1696616,8968,107700,31.0,107669.0,-2520,115361.0,-18147,211362,1737.0,213099,1909715,
09/30/2014,1882849,35976,388530.0,245462.0,143068.0,566175.0,233128.0,298678.0,24038.0,,10331.0,,308307.0,40661.0,267646.0,345519.0,140724.0,,157682.0,,47113.0,39298.0,693124,-16915.0,676209,,,29025.0,24500.0,4525.0,,60261.0,0.0,126673,,942655,378559,148870.0,78561.0,,,,,91700.0,59428.0,223842,,,,223842.0,,,,,61436.0,,62466,1668958,8968,107870,31.0,107839.0,-2631,118041.0,-19976,212272,1619.0,213891,1882849,
12/31/2014,1842181,32108,370659.0,242570.0,128089.0,562272.0,228829.0,300143.0,23921.0,,9379.0,,303675.0,40682.0,262993.0,340960.0,145014.0,,150995.0,,44951.0,28419.0,673054,-15994.0,657060,,,28158.0,23592.0,4566.0,52812.0,70615.0,0.0,68497,,899332,354897,147204.0,70944.0,0.0,0.0,,,84569.0,52180.0,223080,0.0,0.0,,223080.0,2675.0,1768.0,907.0,3476.0,69868.0,,77157,1630485,10468,108010,31.0,107979.0,-2929,117852.0,-23216,210185,1511.0,211696,1842181,
