Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1994,10503,472,472,0.0,1543,,1800,,,,,604,,,,,4419,2633,4534.0,-1901.0,191.0,3260,,,,,3260,6084,,1994.0,1994.0,,,,913,,,,,,0,,,,0,2907,2704,,,,,1630,,,1630,4334,7241,0.0,2166,,,-332,,1428,3262,0.0,3262,10503,
06/30/1994,10281,296,296,0.0,1508,,1788,,,,,700,,,,,4292,2645,4629.0,-1984.0,188.0,3156,,,,,3156,5989,,2148.0,2148.0,,,,643,,,,,,0,,,,0,2791,2565,,,,,1422,,,1422,3987,6778,0.0,2118,,,-149,,1534,3503,0.0,3503,10281,
09/30/1994,10296,349,349,0.0,1676,,1764,,,,,518,,,,,4307,2680,4764.0,-2084.0,0.0,3309,,,,,3309,5989,,2028.0,2028.0,,,,597,,,,,,0,,,,0,2625,2416,,,,,1594,,,1594,4010,6635,0.0,2115,,,-129,,1675,3661,0.0,3661,10296,
12/31/1994,10002,471,471,0.0,1543,,1537,,,,,789,,,,,4340,2562,4431.0,-1869.0,446.0,2654,,,,,2654,5662,,1834.0,1834.0,,,,531,,,,,,401,,,,401,2766,2341,,,,,1175,,,1175,3516,6282,0.0,2098,,,-135,,1757,3720,0.0,3720,10002,
03/31/1995,9926,263,263,0.0,1701,,1598,,,,,467,,,,,4029,2569,4480.0,-1911.0,0.0,3328,,,,,3328,5897,,1884.0,1884.0,,,,410,,,,,,434,,,,434,2728,2123,,,,,1388,,,1388,3511,6239,0.0,2101,,,-251,,1837,3687,0.0,3687,9926,
06/30/1995,10222,385,385,0.0,1597,,1675,,,,,630,,,,,4287,2595,4560.0,-1965.0,714.0,2626,,,,,2626,5935,,1966.0,1966.0,,,,307,,,,,,385,,,,385,2658,2508,,,,,1361,,,1361,3869,6527,0.0,2105,,,-338,,1928,3695,0.0,3695,10222,
09/30/1995,10276,468,468,0.0,1464,,1653,,,,,719,,,,,4304,2524,4589.0,-2065.0,870.0,2578,,,,,2578,5972,,2018.0,2018.0,,,,259,,,,,,520,,,,520,2797,2358,,,,,1569,,,1569,3927,6724,0.0,2118,,,-563,,1997,3552,0.0,3552,10276,
12/31/1995,9437,476,476,0.0,973,,906,,,,,556,,,,,2911,1749,3427.0,-1678.0,805.0,3972,,,,,3972,6526,,1548.0,1548.0,,,,219,,,,,,387,,,,387,2154,2372,,,,,1207,,,1207,3579,5733,0.0,2125,,,-550,,2129,3704,0.0,3704,9437,
03/31/1996,9600,592,592,0.0,968,,940,,,,,525,,,,,3025,1746,3481.0,-1735.0,825.0,4004,,,,,4004,6575,,1308.0,1308.0,,,,339,,,,,,377,,,,377,2024,2672,,,,,1172,,,1172,3844,5868,0.0,2135,,,-591,,2188,3732,0.0,3732,9600,
06/30/1996,9703,670,670,0.0,956,,942,,,,,548,,,,,3116,1740,3532.0,-1792.0,765.0,4082,,,,,4082,6587,,1366.0,1366.0,,,,546,,,,,,420,,,,420,2332,2449,,,,,1132,,,1132,3581,5913,0.0,2140,,,-577,,2227,3790,0.0,3790,9703,
09/30/1996,7546,833,833,0.0,1013,,954,,,,,660,,,,,3460,1771,3615.0,-1844.0,735.0,1580,,,,,1580,4086,,1436.0,1436.0,,,,331,,,,,,414,,,,414,2181,1692,,,,,1096,,,1096,2788,4969,0.0,2152,,,-519,,944,2577,0.0,2577,7546,
12/31/1996,7596,761,761,0.0,1219,,883,,,,,617,,,,,3480,1843,3795.0,-1952.0,641.0,1632,,,,,1632,4116,,1704.0,1704.0,,,,346,,,,,,395,,,,395,2445,1695,,,,,952,,,952,2647,5092,0.0,2113,,,-611,,1002,2504,0.0,2504,7596,
03/31/1997,8338,588,588,0.0,1320,,1202,,,,,698,,,,,3808,2150,,,582.0,1798,,,,,1798,4530,,1965.0,1965.0,,,,446,,,,,,429,,,,429,2840,2174,,,,,998,,,998,3172,6012,0.0,2165,,,-411,,572,2326,0.0,2326,8338,
06/30/1997,8655,831,831,0.0,1374,,1240,,,,,724,,,,,4169,2145,4127.0,-1982.0,544.0,1797,,,,,1797,4486,,1951.0,1951.0,,,,249,,,,,,387,,,,387,2587,2659,,,,,959,,,959,3618,6205,0.0,2166,,,-364,,648,2450,0.0,2450,8655,
09/30/1997,8155,409,409,0.0,1344,,1219,,,,,729,,,,,3701,2199,4220.0,-2021.0,403.0,1852,,,,,1852,4454,,1729.0,1729.0,,,,193,,,,,,295,,,,295,2217,2560,,,,,909,,,909,3469,5686,0.0,2166,,,-334,,637,2469,0.0,2469,8155,
12/31/1997,8707,465,465,0.0,1372,,1208,,,,,825,,,,,3870,2360,4407.0,-2047.0,409.0,2068,,,,,2068,4837,,1963.0,1963.0,,,,144,,,,,,450,,,,450,2557,2635,,,,,896,,,896,3531,6088,0.0,2164,,,-329,,784,2619,0.0,2619,8707,
03/31/1998,8906,431,431,0.0,1382,,1251,,,,,930,,,,,3994,2386,4465.0,-2079.0,368.0,2158,,,,,2158,4912,,1714.0,1714.0,,,,215,,,,,,493,,,,493,2422,2898,,,,,892,,,892,3790,6212,0.0,2161,,,-293,,826,2694,0.0,2694,8906,
06/30/1998,9275,428,428,0.0,1556,,1366,,,,,887,,,,,4237,2463,4609.0,-2146.0,286.0,2289,,,,,2289,5038,,1804.0,1804.0,,,,315,,,,,,415,,,,415,2534,2964,,,,,902,,,902,3866,6400,0.0,2347,,,-263,,791,2875,0.0,2875,9275,
09/30/1998,9571,478,478,0.0,1485,,1366,,,,,897,,,,,4226,2443,4701.0,-2258.0,461.0,2441,,,,,2441,5345,,2005.0,2005.0,,,,234,,,,,,502,,,,502,2741,2921,,,,,1210,,,1210,4131,6872,0.0,2350,,,-232,,581,2699,0.0,2699,9571,
12/31/1998,9873,709,709,,1746,1429.0,1167,282.0,226.0,659.0,0.0,673,,,,,4295,2445,4508.0,-2063.0,,3133,1817.0,1817.0,0.0,,1316,5578,,2024.0,2024.0,,,,271,,,,,,536,,,,536,2831,3096,,,,,1107,,,1107,4203,7034,,2355,,,-210,990.0,-296,2839,,2839,9873,
03/31/1999,9898,608,608,0.0,1571,,1331,336.0,260.0,735.0,,1022,,,,,4532,2633,4979.0,-2346.0,350.0,2383,1735.0,1735.0,0.0,,648,5366,,1919.0,1919.0,,,,417,,,,,,595,,,,595,2931,2938,,,,,1178,,,1178,4116,7047,0.0,2338,,,-154,,667,2851,0.0,2851,9898,
06/30/1999,9899,723,723,0.0,1581,,1397,329.0,272.0,796.0,,786,,,,,4487,2648,4945.0,-2297.0,393.0,2371,1734.0,1734.0,0.0,,637,5412,,1786.0,1786.0,,,,233,,,,,,578,,,,578,2597,2907,,,,,1176,,,1176,4083,6680,0.0,2543,,,-132,,808,3219,0.0,3219,9899,
09/30/1999,9902,825,825,0.0,1456,,1211,299.0,223.0,689.0,0.0,763,,,,,4255,2514,4601.0,-2087.0,347.0,2786,862.0,862.0,0.0,,1924,5647,,1644.0,1644.0,,,,371,,,,,,535,,,,535,2550,2916,,,,,1159,,,1159,4075,6625,0.0,2560,,,-167,,884,3277,0.0,3277,9902,
12/31/1999,9644,606,606,0.0,1504,,1116,251.0,193.0,672.0,0.0,593,,,,,3819,2650,4709.0,-2059.0,301.0,2874,921.0,624.0,297.0,,1953,5825,,1805.0,1805.0,,,,255,,,,,,640,,,,640,2700,2601,,,,,995,,,995,3596,6296,0.0,2576,,,-269,,1041,3348,0.0,3348,9644,
03/31/2000,8714,694,694,0.0,1473,,1263,302.0,191.0,770.0,0.0,537,,,,,3967,2673,4767.0,-2094.0,283.0,1791,1004.0,1004.0,0.0,,787,4747,,1489.0,1489.0,,,,435,,,,,,595,,,,595,2519,2303,,,,,1187,,,1187,3490,6009,0.0,2561,,,-197,,341,2705,0.0,2705,8714,
06/30/2000,8787,496,496,0.0,1454,,1271,305.0,194.0,772.0,0.0,598,,,,,3819,2668,4755.0,-2087.0,186.0,2114,1194.0,1194.0,0.0,,920,4968,,1498.0,1498.0,,,,198,,,,,,663,,,,663,2359,2355,,,,,1202,,,1202,3557,5916,0.0,2760,,,-164,,275,2871,0.0,2871,8787,
09/30/2000,8808,568,568,0.0,1591,,1257,295.0,193.0,769.0,0.0,409,,,,,3825,2710,4854.0,-2144.0,162.0,2111,1258.0,1258.0,0.0,,853,4983,,1358.0,1358.0,,,,448,,,,,,640,,,,640,2446,2246,,,,,1178,,,1178,3424,5870,0.0,2757,,,-316,,497,2938,0.0,2938,8808,
12/31/2000,8733,579,579,,1542,1387.0,1159,261.0,174.0,724.0,0.0,371,,,,,3651,2807,4978.0,-2171.0,,2275,956.0,956.0,0.0,,1319,5082,,1990.0,1990.0,,,,634,,,,,,748,,,,748,3372,1726,,,,,976,,,976,2702,6074,,2804,,,-349,853.0,-649,2659,,2659,8733,
03/31/2001,9282,723,723,0.0,1424,,1257,332.0,180.0,745.0,0.0,605,,,,,4009,2888,5157.0,-2269.0,0.0,2385,1370.0,1370.0,0.0,,1015,5273,,1445.0,1445.0,,,,670,,,,,,655,,,,655,2770,2179,,,,,1076,,,1076,3255,6025,0.0,2902,,,-255,,610,3257,0.0,3257,9282,
06/30/2001,9282,431,431,0.0,1689,,1358,367.0,196.0,795.0,0.0,513,,,,,3991,2922,5241.0,-2319.0,0.0,2369,1397.0,1397.0,0.0,,972,5291,,1344.0,1344.0,,,,374,,,,,,631,,,,631,2349,2378,,,,,1141,,,1141,3519,5868,0.0,2880,,,-341,,875,3414,0.0,3414,9282,
09/30/2001,9663,470,470,0.0,1519,,1415,384.0,225.0,806.0,0.0,660,,,,,4064,3128,5539.0,-2411.0,0.0,2471,1592.0,1592.0,0.0,,879,5599,,1297.0,1297.0,,,,565,,,,,,683,,,,683,2545,2576,,,,,964,,,964,3540,6085,0.0,2931,,,-292,,939,3578,0.0,3578,9663,
12/31/2001,10343,582,582,0.0,1622,1493.0,1341,353.0,244.0,744.0,0.0,432,,,,,3977,3306,5732.0,-2426.0,0.0,3060,1413.0,1413.0,0.0,,1647,6366,,2432.0,2432.0,,,,201,,,,,,661,,,,661,3294,2486,,,,,806,,,806,3292,6586,0.0,3424,,,-328,1093.0,-432,3757,0.0,3757,10343,
03/31/2002,10617,522,522,,1741,1619.0,1462,387.0,287.0,788.0,,436,,,,,4161,3326,5788.0,-2462.0,,3130,1695.0,1695.0,0.0,,1435,6456,,2004.0,2004.0,,,,542,,,,,,626,,,,626,3172,2677,,,,,828,,,828,3505,6677,,3422,,,-271,1346.0,-557,3940,,3940,10617,
06/30/2002,11188,472,472,,1833,1712.0,1664,426.0,316.0,922.0,,414,,,,,4383,3515,6086.0,-2571.0,,3290,1862.0,1862.0,0.0,,1428,6805,,2341.0,2341.0,,,,217,,,,,,574,,,,574,3132,3290,,,,,689,,,689,3979,7111,,3592,,,-346,1546.0,-715,4077,,4077,11188,
09/30/2002,11167,278,278,,1861,1677.0,1713,447.0,453.0,813.0,,359,,,,,4211,3650,6279.0,-2629.0,,3306,1894.0,1894.0,0.0,,1412,6956,,2355.0,2355.0,,,,202,,,,,,609,,,,609,3166,2935,,,,,708,,,708,3643,6809,,3596,,,-317,1862.0,-783,4358,,4358,11167,
12/31/2002,12478,1169,1169,0.0,1838,,1745,439.0,511.0,795.0,0.0,408,,,,,5160,3907,6679.0,-2772.0,0.0,3411,2020.0,1494.0,526.0,,1391,7318,,3043.0,3043.0,,,,220,,,,,,588,,,,588,3851,4398,,,,,1290,,,1290,5688,9539,0.0,3850,,,-1326,1689.0,-1274,2939,0.0,2939,12478,
03/31/2003,13326,1408,1408,0.0,1918,,1917,477.0,613.0,827.0,0.0,440,,,,,5683,4025,6907.0,-2882.0,0.0,3618,2081.0,1551.0,530.0,,1537,7643,,2732.0,2732.0,,,,116,,,,,,686,,,,686,3534,5570,,,,,1249,,,1249,6819,10353,0.0,3840,,,-1453,,586,2973,0.0,2973,13326,
06/30/2003,13215,608,608,,1955,1955.0,2076,529.0,740.0,807.0,,632,,,,,5271,4157,7282.0,-3125.0,,3787,2129.0,1584.0,545.0,,1658,7944,,2391.0,2391.0,,,,151,,,,,,700,,,,700,3242,4806,,,,,2076,,,2076,6882,10124,,3818,,,-1416,1930.0,-1241,3091,,3091,13215,
09/30/2003,13353,830,830,,1900,1900.0,2101,532.0,706.0,863.0,,521,,,,,5352,4380,7535.0,-3155.0,,3621,2114.0,1581.0,533.0,,1507,8001,,2546.0,2546.0,,,,151,,,,,,540,,,,540,3237,4778,,,,,1877,,,1877,6655,9892,,4432,,,-1918,2184.0,-1237,3461,,3461,13353,
12/31/2003,13707,925,925,0.0,1914,,2104,568.0,731.0,805.0,0.0,417,,,,,5360,4592,7791.0,-3199.0,0.0,3755,2259.0,1648.0,611.0,,1496,8347,,929.0,929.0,,,,153,,,,,,2616,,,,2616,3698,4421,,,,,2206,,,2206,6627,10325,0.0,4435,,,-1863,2230.0,-1420,3382,0.0,3382,13707,
03/31/2004,13656,648,648,0.0,2029,,2168,540.0,743.0,885.0,0.0,477,,,,,5320,4560,7825.0,-3265.0,0.0,3776,2253.0,1648.0,605.0,,1523,8336,,2533.0,2533.0,,,,177,,,,,,543,,,,543,3253,4630,,,,,2289,,,2289,6919,10172,0.0,4377,,,-1799,2321.0,-1415,3484,0.0,3484,13656,
06/30/2004,13660,760,760,0.0,2069,,2117,476.0,776.0,865.0,0.0,758,,,,,5704,4330,7799.0,-3469.0,0.0,3626,2221.0,1633.0,588.0,,1405,7956,,2839.0,2839.0,,,,205,,,,,,586,,,,586,3630,4429,,,,,2299,,,2299,6728,10358,0.0,4329,,,-1696,2151.0,-1482,3302,0.0,3302,13660,
09/30/2004,13769,822,822,0.0,2108,,2106,460.0,813.0,833.0,0.0,687,,,,,5723,4346,7840.0,-3494.0,0.0,3700,2212.0,1640.0,572.0,,1488,8046,,2800.0,2800.0,,,,178,,,,,,648,,,,648,3626,4411,,,,,2046,,,2046,6457,10083,0.0,4278,,,-1613,2427.0,-1406,3686,0.0,3686,13769,
12/31/2004,14147,1109,1109,0.0,2091,2091.0,2135,456.0,754.0,925.0,0.0,684,,,,,6019,4369,7991.0,-3622.0,0.0,3759,2195.0,1648.0,547.0,,1564,8128,,834.0,834.0,,,,361,,,,,,3091,,,,3091,4286,3933,,,,,2223,,,2223,6156,10442,0.0,4245,,,-1511,2259.0,-1288,3705,0.0,3705,14147,
03/31/2005,13808,1106,1106,0.0,1982,,2105,447.0,690.0,968.0,0.0,588,,,,,5781,4310,7994.0,-3684.0,0.0,3717,2146.0,1617.0,529.0,,1571,8027,,2701.0,2701.0,,,,1577,,,,,,417,,,,417,4695,3022,,,,,2081,,,2081,5103,9798,0.0,4197,,,-1405,2485.0,-1267,4010,0.0,4010,13808,
06/30/2005,13626,1428,1428,,1959,,1944,419.0,624.0,901.0,0.0,508,,,,,5839,4157,7831.0,-3674.0,,3630,2055.0,1560.0,495.0,,1575,7787,,2501.0,2501.0,,,,1450,,,,,,410,,,,410,4361,3039,,,,,2016,,,2016,5055,9416,,4162,,,-1323,2807.0,-1436,4210,,4210,13626,
09/30/2005,13783,1712,1712,0.0,1863,,1948,432.0,624.0,892.0,0.0,556,,,,,6079,4114,7854.0,-3740.0,0.0,3590,2052.0,1560.0,492.0,,1538,7704,,2415.0,2415.0,,,,1354,,,,,,502,,,,502,4271,3008,,,,,2128,,,2128,5136,9407,0.0,4120,,,-1224,2923.0,-1443,4376,0.0,4376,13783,
12/31/2005,12727,841,841,0.0,1766,1766.0,1925,435.0,614.0,876.0,0.0,584,,,,,5116,4144,7878.0,-3734.0,0.0,3467,2039.0,1552.0,487.0,,1428,7611,,732.0,732.0,,,,924,,,,,,2509,,,,2509,4165,2414,,,,,1849,,,1849,4263,8428,0.0,4094,,,-1150,2851.0,-1496,4299,0.0,4299,12727,
03/31/2006,12780,881,881,0.0,1750,,2006,480.0,574.0,952.0,0.0,594,,,,,5231,4122,7886.0,-3764.0,0.0,3427,2043.0,1562.0,481.0,,1384,7549,,2796.0,2796.0,,,,129,,,,,,0,,,,0,2925,2276,,,,,1832,,,1832,4108,7033,0.0,5319,,,-1234,3133.0,-1471,5747,0.0,5747,12780,
06/30/2006,13007,1061,1061,0.0,1754,,2020,493.0,644.0,883.0,0.0,592,,,,,5427,4159,8041.0,-3882.0,0.0,3421,2061.0,1581.0,480.0,,1360,7580,,2846.0,2846.0,,,,115,,,,,,0,,,,0,2961,2244,,,,,1937,,,1937,4181,7142,0.0,5310,,,-1393,3442.0,-1494,5865,0.0,5865,13007,
09/30/2006,13931,2067,2067,0.0,1751,,2089,526.0,599.0,964.0,0.0,512,,,,,6419,4095,8070.0,-3975.0,0.0,3417,2065.0,1587.0,478.0,,1352,7512,,2841.0,2841.0,,,,128,,,,,,0,,,,0,2969,2680,,,,,1944,,,1944,4624,7593,0.0,5241,,,-1261,3816.0,-1458,6338,0.0,6338,13931,
12/31/2006,14686,2485,2485,0.0,1838,1838.0,2066,526.0,676.0,864.0,0.0,581,,,,,6970,4229,8311.0,-4082.0,0.0,3487,2091.0,1618.0,473.0,,1396,7716,,878.0,878.0,,,,234,,,,,,2498,,,,2498,3610,2567,,,,,2237,,,2237,4804,8414,0.0,5860,,,-1433,3271.0,-1426,6272,0.0,6272,14686,
03/31/2007,14483,2384,2384,0.0,1899,0.0,2119,581.0,637.0,901.0,0.0,572,,,,,6974,4047,7981.0,-3934.0,0.0,3462,2080.0,1610.0,470.0,,1382,7509,,3028.0,3028.0,,,,596,,,,,,0,,,,0,3624,2124,,,,,2131,,,2131,4255,7879,0.0,5895,,,-1417,3491.0,-1365,6604,0.0,6604,14483,
06/30/2007,14659,2486,2486,0.0,1993,0.0,2186,601.0,607.0,978.0,0.0,520,,,,,7185,4110,8192.0,-4082.0,0.0,3364,2071.0,1620.0,451.0,,1293,7474,,3126.0,3126.0,,,,666,,,,,,0,,,,0,3792,2051,,,,,2127,,,2127,4178,7970,0.0,5900,,,-1683,3767.0,-1295,6689,0.0,6689,14659,
09/30/2007,14147,1818,1818,0.0,1976,0.0,2320,650.0,667.0,1003.0,0.0,526,,,,,6640,4216,8430.0,-4214.0,0.0,3291,2099.0,1649.0,450.0,,1192,7507,,3143.0,3143.0,,,,546,,,,,,0,,,,0,3689,2024,,,,,2142,,,2142,4166,7855,0.0,5934,,,-2420,4039.0,-1261,6292,0.0,6292,14147,
12/31/2007,15294,2539,2539,0.0,2026,2026.0,2334,624.0,695.0,1015.0,0.0,656,,,,,7555,4487,8824.0,-4337.0,0.0,3252,2138.0,1690.0,448.0,,1114,7739,,920.0,920.0,,,,425,,,,,,2467,,,,2467,3812,2664,,,,,1902,,,1902,4566,8378,0.0,5980,,,-2503,4379.0,-940,6916,0.0,6916,15294,
03/31/2008,14972,1736,1736,0.0,2096,0.0,2536,672.0,779.0,1085.0,0.0,645,,,,,7013,4633,9182.0,-4549.0,0.0,3326,2222.0,1768.0,454.0,,1104,7959,,3095.0,3095.0,,,,141,,,,,,0,,,,0,3236,2731,,,,,2008,,,2008,4739,7975,0.0,6005,,,-2930,4671.0,-749,6997,0.0,6997,14972,
06/30/2008,15470,2147,2147,0.0,2217,0.0,2571,601.0,828.0,1142.0,0.0,624,,,,,7559,4680,9334.0,-4654.0,0.0,3231,2205.0,1761.0,444.0,,1026,7911,,3331.0,3331.0,,,,62,,,,,,0,,,,0,3393,3172,,,,,1686,,,1686,4858,8251,0.0,6045,,,-3193,5078.0,-711,7219,0.0,7219,15470,
09/30/2008,15209,2191,2191,0.0,2101,0.0,2520,634.0,776.0,1110.0,0.0,625,,,,,7437,4598,9189.0,-4591.0,0.0,3174,2113.0,1703.0,410.0,,1061,7772,,3089.0,3089.0,,,,235,235.0,0.0,0.0,,,0,,,,0,3324,3185,,,,,1641,,,1641,4826,8150,0.0,6101,,,-3491,5415.0,-966,7059,0.0,7059,15209,
12/31/2008,15405,2131,2131,0.0,1980,1980.0,2361,600.0,737.0,1024.0,0.0,676,,,,,7148,4609,9021.0,-4412.0,0.0,3648,2037.0,1654.0,383.0,,1611,8257,,829.0,829.0,,,,394,,,,,,2412,,,,2412,3635,3362,,,,,2179,,,2179,5541,9176,0.0,6216,,,-3897,5795.0,-1885,6229,0.0,6229,15405,
03/31/2009,14953,1703,1703,0.0,1940,,2421,647.0,722.0,1052.0,0.0,626,140.0,,,524.0,6690,4598,9068.0,-4470.0,0.0,3665,2043.0,1642.0,401.0,,1482,8263,,2887.0,,,,2887.0,235,230.0,,,,5.0,0,,97.0,,0,3122,3675,3675.0,,,,1998,,,1901,5673,8795,0.0,6303,683.0,5620.0,-4379,6152.0,-1977,6099,59.0,6158,14953,
