Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2013,168.58,153.437,15.143,-62.239,62.239,106.341,0.0,-169.673,82.366,61.214,21.152,87.307,0.0,-63.332,-0.909,1.727,1.727,0.0,-0.818,-64.241,-0.36,-64.601,0.0,0.0,0.0,-64.601,0.0,-64.601,,0.0,-64.601,-64.601,0.0,133.699,-0.48,-0.48,-0.48,133.699,-0.48,-0.48,-0.48,
12/31/2013,242.675,242.675,,-112.651,112.651,130.024,0.0,-639.7,244.852,177.305,67.547,394.848,0.0,-509.676,-5.112,2.387,2.387,0.0,2.725,-514.788,3.317,-511.471,0.0,0.0,0.0,-511.471,0.0,-511.471,,0.0,-511.471,-516.992,-5.521,362.624,-1.41,-1.41,-1.425697,362.624,-1.41,-1.41,-1.425697,
03/31/2014,250.492,250.492,,-85.503,85.503,164.989,0.0,-294.36,144.969,106.235,38.734,149.391,0.0,-129.371,-1.769,2.567,2.567,0.0,-0.798,-131.14,-1.222,-132.362,0.0,0.0,0.0,-132.362,0.0,-132.362,0.0,0.0,-132.362,-132.362,0.0,570.205,-0.23,-0.23,-0.23,570.205,-0.23,-0.23,-0.23,
06/30/2014,312.166,312.166,,-100.027,100.027,212.139,0.0,-362.05,184.955,140.261,44.694,177.095,0.0,-149.911,-0.33,2.11,2.11,0.0,-1.78,-150.241,5.599,-144.642,0.0,0.0,0.0,-144.642,0.0,-144.642,0.0,0.0,-144.642,-151.914,-7.272,595.607,-0.24,-0.24,-0.255057,595.607,-0.24,-0.24,-0.255057,
09/30/2014,361.266,320.196,41.07,-124.166,124.166,237.1,0.0,-398.531,215.189,164.015,51.174,183.342,0.0,-161.431,-13.874,5.795,5.795,0.0,8.079,-175.305,-0.159,-175.464,0.0,0.0,0.0,-175.464,0.0,-175.464,0.0,0.0,-175.464,-176.91,-1.446,614.395,-0.29,-0.29,-0.287942,614.395,-0.29,-0.29,-0.292354,
12/31/2014,479.078,432.001,47.077,-136.613,136.613,342.465,0.0,-440.618,258.903,203.599,55.304,181.715,0.0,-98.153,-23.512,23.513,23.513,0.0,-0.001,-121.665,-3.687,-125.352,0.0,0.0,0.0,-125.352,0.0,-125.352,0.0,0.0,-125.352,-124.726,0.626,629.31,-0.2,-0.2,-0.198195,629.31,-0.2,-0.2,-0.199005,
03/31/2015,435.939,435.939,,-143.475,143.475,292.464,0.0,-439.08,249.334,183.557,65.777,189.746,0.0,-146.616,-15.194,,24.319,,-9.125,-161.81,-0.632,-162.442,0.0,0.0,0.0,-162.442,0.0,-162.442,0.0,0.0,-162.442,-163.73,-1.288,640.464,-0.25,-0.25,-0.255643,640.464,-0.25,-0.25,-0.255643,
06/30/2015,502.383,502.383,,-167.623,167.623,334.76,0.0,-465.764,266.857,201.948,64.909,198.907,0.0,-131.004,-25.132,,24.437,,0.695,-156.136,19.473,-136.663,0.0,0.0,0.0,-136.663,0.0,-136.663,0.0,0.0,-136.663,-157.596,-20.933,655.721,-0.21,-0.21,-0.24034,655.721,-0.21,-0.21,-0.241924,
09/30/2015,569.237,512.867,56.37,-200.195,200.195,369.042,0.0,-474.279,266.342,208.797,57.545,207.937,0.0,-105.237,-23.291,,25.239,,-1.948,-128.528,-3.162,-131.69,0.0,0.0,0.0,-131.69,0.0,-131.69,0.0,0.0,-131.69,-130.913,0.777,670.604,-0.2,-0.2,-0.195217,670.604,-0.2,-0.2,-0.198841,
12/31/2015,710.473,710.473,,-217.963,217.963,492.51,0.0,-559.689,349.631,277.189,72.442,210.058,0.0,-67.179,-19.652,,24.183,,-4.531,-86.831,-3.405,-90.236,0.0,0.0,0.0,-90.236,0.0,-90.236,0.0,0.0,-90.236,-77.094,13.142,681.424,-0.13,-0.13,-0.113137,681.424,-0.13,-0.13,-0.113137,
03/31/2016,594.521,530.741,63.78,-198.405,198.405,396.116,0.0,-455.232,299.438,236.171,63.267,155.794,0.0,-59.116,-18.587,,24.893,,-6.306,-77.703,-2.028,-79.731,0.0,0.0,0.0,-79.731,0.0,-79.731,0.0,0.0,-79.731,-79.293,0.438,691.564,-0.12,-0.12,-0.114658,691.564,-0.12,-0.12,-0.119367,
06/30/2016,601.958,534.524,67.434,-202.966,202.966,398.992,0.0,-485.368,306.857,236.619,70.238,178.511,0.0,-86.376,-18.2,,24.934,,-6.734,-104.576,-2.641,-107.217,0.0,0.0,0.0,-107.217,0.0,-107.217,0.0,0.0,-107.217,-106.153,1.064,698.326,-0.15,-0.15,-0.152011,698.326,-0.15,-0.15,-0.152011,
09/30/2016,615.934,544.966,70.968,-225.159,225.159,390.775,0.0,-468.864,291.815,224.436,67.379,177.049,0.0,-78.089,-18.22,,24.86,,-6.64,-96.309,-6.562,-102.871,0.0,0.0,0.0,-102.871,0.0,-102.871,0.0,0.0,-102.871,-102.008,0.863,704.359,-0.15,-0.15,-0.144824,704.359,-0.15,-0.15,-0.148775,
12/31/2016,717.206,637.821,79.385,-305.71,305.71,411.496,0.0,-555.123,352.995,260.603,92.392,202.128,0.0,-143.627,-18.619,,25.281,,-6.662,-162.246,-4.808,-167.054,0.0,0.0,0.0,-167.054,0.0,-167.054,0.0,0.0,-167.054,-65.781,101.273,714.291,-0.233874,-0.233874,-0.092093,714.291,-0.233874,-0.233874,-0.092093,
03/31/2017,548.251,473.78,74.471,-220.339,220.339,327.912,0.0,-368.19,239.462,169.594,69.868,128.728,0.0,-40.278,-18.087,,25.409,,-7.322,-58.365,-3.194,-61.559,0.0,0.0,0.0,-61.559,0.0,-61.559,0.0,0.0,-61.559,-70.032,-8.473,722.048,-0.09,-0.09,-0.096991,722.048,-0.09,-0.09,-0.101735,
06/30/2017,573.855,489.148,84.707,-212.908,212.908,360.947,0.0,-399.306,256.135,185.296,70.839,143.171,0.0,-38.359,-74.716,,26.396,,48.32,-113.075,-3.413,-116.488,0.0,0.0,0.0,-116.488,0.0,-116.488,0.0,0.0,-116.488,-69.743604,46.744396,730.069,-0.16,-0.16,-0.09553,730.069,-0.16,-0.16,-0.095973,
09/30/2017,589.633,502.802,86.831,-210.016,210.016,379.617,0.0,-372.338,236.223,172.957,63.266,136.115,0.0,7.279,-24.81,14.704,26.732,-12.028,10.106,-17.531,-3.564,-21.095,0.0,0.0,0.0,-21.095,0.0,-21.095,0.0,0.0,-21.095,-14.98868,6.10632,736.515,-0.03,-0.03,-0.020351,736.515,-0.03,-0.03,-0.021709,
12/31/2017,731.56,644.257,87.303,-217.979,217.979,513.581,0.0,-403.483,269.487,189.572,79.915,133.996,0.0,110.098,-16.545,,26.7,,-10.155,93.553,-2.474,91.079,0.0,0.0,0.0,91.079,0.0,91.079,0.0,0.0,91.079,87.046525,-4.032475,742.176,0.122719,0.122719,0.117286,742.176,0.122719,0.122719,0.117286,
03/31/2018,664.871,575.156,89.715,-222.823,222.823,442.048,0.0,-367.123,243.777,178.059,65.718,123.346,0.0,74.925,-11.043,10.834,27.015,-16.181,0.209,63.882,-2.885,60.997,0.0,0.0,0.0,60.997,0.0,60.997,0.0,0.0,60.997,60.374836,-0.622164,747.697,0.08,0.08,0.080748,765.861,0.08,0.08,0.079188,
06/30/2018,710.541,601.06,109.481,-230.185,230.185,480.356,0.0,-400.732,262.158,188.032,74.126,138.574,0.0,79.624,-13.757,8.022,29.982,-21.96,5.735,65.867,34.25,100.117,0.0,0.0,0.0,100.117,0.0,100.117,0.0,0.0,100.117,100.955371,0.838371,752.351,0.13,0.13,0.134187,772.556,0.13,0.13,0.131085,
09/30/2018,758.111,649.816,108.295,-243.644,243.644,514.467,0.0,-422.599,271.835,193.496,78.339,150.764,0.0,91.868,-4.61,2.269,38.336,-36.067,2.341,87.258,701.921,789.179,0.0,0.0,0.0,789.179,0.0,789.179,0.0,0.0,789.179,105.865607,-683.313393,756.537,1.04,1.04,0.139934,776.002,1.02,1.02,0.139444,
12/31/2018,908.836,791.365,117.471,-268.345,268.345,640.491,0.0,-433.583,292.409,211.774,80.635,141.174,0.0,206.908,-0.371,0.26,37.273,-37.013,0.111,206.537,48.766,255.303,0.0,0.0,0.0,255.303,0.0,255.303,0.0,0.0,255.303,253.052279,-2.250721,760.525,0.34,0.34,0.332734,776.129,0.34,0.34,0.332734,
03/31/2019,786.89,679.466,107.424,-264.011,264.011,522.879,0.0,-429.221,282.975,205.799,77.176,146.246,0.0,93.658,2.845,-3.281,37.26,-40.541,0.436,96.503,94.301,190.804,0.0,0.0,0.0,190.804,0.0,190.804,0.0,0.0,190.804,190.804,0.0,764.55,0.25,0.25,0.25,777.689,0.25,0.25,0.25,
06/30/2019,841.381,727.123,114.258,-277.965,277.965,563.416,0.0,-487.73,328.488,240.249,88.239,159.242,0.0,75.686,12.093,-4.57,38.317,-42.887,-7.523,87.779,1031.781,1119.56,0.0,0.0,0.0,1119.56,0.0,1119.56,0.0,0.0,1119.56,28.448974,-1091.111026,768.755,1.46,1.46,0.037007,785.056,1.43,1.43,0.037007,
09/30/2019,823.717,702.257,121.46,-281.057,281.057,542.66,0.0,-498.515,319.962,226.204,93.758,178.553,0.0,44.145,3.618,-4.122,36.226,-40.348,0.504,47.763,-11.241,36.522,0.0,0.0,0.0,36.522,0.0,36.522,0.0,0.0,36.522,36.522,0.0,772.789,0.05,0.05,0.05,790.523,0.05,0.05,0.05,
12/31/2019,1007.341,884.546,122.795,-314.008,314.008,693.333,0.0,-540.449,342.209,241.561,100.648,198.24,0.0,152.884,5.21,-7.55,26.377,-33.927,2.34,158.094,-39.321,118.773,0.0,0.0,0.0,118.773,0.0,118.773,0.0,0.0,118.773,118.773,0.0,776.647,0.15,0.15,0.15,788.684,0.15,0.15,0.15,
03/31/2020,807.637,682.192,125.445,-284.037,284.037,523.6,0.0,-531.043,330.655,221.287,109.368,200.388,0.0,-7.443,-8.092,0.373,33.27,-32.897,7.719,-15.535,7.139,-8.396,0.0,0.0,0.0,-8.396,0.0,-8.396,0.0,0.0,-8.396,-2.607298,5.788702,780.688,-0.01,-0.01,-0.00334,780.688,-0.01,-0.01,-0.00334,
06/30/2020,683.438,561.994,121.444,-288.039,288.039,395.399,0.0,-669.329,453.523,207.286,246.237,215.806,0.0,-273.93,-15.176,14.815,39.828,-25.013,0.361,-289.106,-1088.899,-1378.005,0.0,0.0,0.0,-1378.005,0.0,-1378.005,0.0,0.0,-1378.005,-257.598753,1120.406247,785.909,-1.75,-1.75,-0.327772,785.909,-1.75,-1.75,-0.327772,
09/30/2020,769.094,,,,,478.9917432,,,,,,,,28.179,,,,,,52.58,,-83.975,,,,,,-83.975,,,-83.975,38.586,,,-0.105,-0.105,0.048,,-0.105,-0.105,0.048,
12/31/2020,1030.813,,,,,690.67563439,,,,,,,,213.667,,,,,,217.5,,53.69,,,,,,53.69,,,53.69,176.227,,,0.065,0.065,0.22,,0.065,0.065,0.22,
