Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/1997,28.481001,24.631001,4.585,1.411,,,1.411,-2.146,,,-2.146,,-7.934,-7.934,0.0,,,-7.934,,,0.0,0.0,0.0,,,,,0.0,3.817,0.0,0.0,3.768,3.928,-0.16,0.049,,24.364,,,
12/31/1997,11.739,26.936001,4.964,1.314,,,1.314,-21.475,,,-21.475,,-7.408,-7.408,0.0,,,-7.408,,,0.0,0.0,0.0,,,,,0.0,-3.777,0.0,0.098,-3.826,6.193,-10.019,-0.049,,0.554,,,
03/31/1998,36.653999,29.049999,5.213,5.197,,,5.197,-2.806,,,-2.806,,-16.141001,-16.141001,0.0,,,-16.141001,,,0.0,0.0,0.0,,,,,0.0,6.570001,0.0,-2.281,8.851001,18.544001,-9.693,0.0,,27.083,,,
06/30/1998,44.938,32.279999,5.758,0.843,,,0.843,6.057,,,6.057,,-15.315,-15.315,0.0,,,-15.315,,,0.0,0.0,0.0,,,,,0.0,3.269999,0.0,0.0,3.230999,9.544,-6.313,0.039,,32.893002,,,
09/30/1998,33.120998,34.973999,6.427,4.651,,,4.651,-12.931,,,-12.931,,-20.250999,-16.063999,0.0,,,-16.063999,,,0.0,0.0,0.0,,,,,-4.187,-37.376002,0.0,0.0,-37.397002,6.107,-43.504002,0.021,,-24.506001,,,
12/31/1998,40.613998,35.276001,7.238,12.312,,,12.312,-14.212,,,-14.212,,-19.709,-19.709,0.0,,,-19.709,,,0.0,0.0,0.0,,,,,0.0,-21.664,0.0,0.0,-21.699,8.013,-29.712,0.035,,-0.759,,,
03/31/1999,35.388,35.31,7.965,-9.879,,0.48,-10.359,1.992,-14.834,,16.826,,-15.951,-15.951,0.0,,,-15.951,,,0.0,0.0,0.0,,,,,0.0,-9.175,0.0,0.02,-9.195,8.641,-17.836,0.0,,10.262,11.318,0.092,
06/30/1999,43.237,33.939,9.467,16.959,,-3.113,20.072,-17.128,-11.984,,-5.144,,-9.519,-9.519,0.0,,,-9.519,,,0.0,0.0,0.0,,,,,0.0,-22.065,0.0,0.014,-22.079,1.233,-23.312,0.0,,11.653,11.892,0.09,
09/30/1999,53.233,34.549,10.523,12.94,,-3.627,16.567,-4.779,-23.859,,19.08,,-9.275,-9.275,0.0,,,-9.275,,,0.0,0.0,0.0,,,,,0.0,-49.086,0.0,0.007,-50.735,0.0,-50.735,1.642,,-5.128,42.661,0.091,
12/31/1999,24.417,37.64299,11.159,4.737,,,4.737,-29.122,,,-29.122,,-17.813,-17.813,0.0,,,-17.813,,,0.0,0.0,0.0,,,,,0.0,-38.377,0.0,0.0,-38.377,1.394,-39.771,0.0,,-31.773,29.131,0.114,
03/31/2000,72.639,43.38,13.43,2.273,,-6.086,8.359,13.556,-29.847,,43.403,,-13.452,-13.452,0.0,,,-13.452,,,0.0,0.0,0.0,,,,,0.0,-5.654,0.0,-0.542,-7.943,0.0,-7.943,2.831,,53.533,10.367,0.089,
06/30/2000,56.919,46.843,13.658,12.161,,-8.128,20.289,-15.743,-25.049,,9.306,,-15.237,-14.544,0.0,,,-14.544,,,0.0,0.0,0.0,,,,,-0.693,-17.661,0.0,-0.014,-29.608,0.0,-29.608,11.961,,24.021,39.374,0.076,
09/30/2000,87.251,48.037,14.239,24.429,,-19.349,43.778,0.546,-66.741,,67.287,,-21.931,-19.471,0.0,,,-19.471,,,0.0,0.0,0.0,,,,,-2.46,-33.514,0.0,0.0,-26.278,0.0,-26.278,-7.236,,31.806,22.247,0.073,
12/31/2000,64.373,47.843,15.312,17.0,,,17.0,-15.782,,,-15.782,,-26.525,-26.525,0.0,,,-26.525,,,0.0,0.0,0.0,,,,,0.0,-59.09,0.0,0.0,-62.794,0.0,-62.794,3.704,,-21.242,29.268,0.098,
03/31/2001,66.4,47.557,16.556,8.652,,-3.62,12.272,-6.365,-1.252,,-5.113,,-26.139,-26.139,0.0,,,-26.139,,,0.0,0.0,0.0,,,,,0.0,-57.706,0.0,-0.074,-66.552,0.0,-66.552,8.92,,-17.445,11.679,0.075,
06/30/2001,11.022,37.716,0.891,-45.21,,-2.358,-42.852,17.625,38.071,,-20.446,,-0.545,-0.545,0.0,,,-0.545,,,0.0,0.0,0.0,,,,,0.0,57.638,0.0,0.03,57.608,63.512,-5.904,0.0,,74.041,15.027,0.0,
09/30/2001,80.417,23.147,21.865,5.638,,-10.211,15.849,29.767,57.817,,-28.05,,-20.883,-20.883,0.0,,,-20.883,,,0.0,0.0,0.0,,,,,0.0,-36.749,0.0,-0.911,-35.838,7.611,-43.449,0.0,,22.785,5.537,0.076,
12/31/2001,51.59099,12.687,19.03,-2.310001,,,-2.310001,22.184,,,22.184,,-10.989,-10.989,0.0,,,-10.989,,,0.0,0.0,0.0,,,,,0.0,5.038005,0.0,-0.075,5.113005,8.018999,-2.905994,0.0,,45.64,27.352,0.096,
03/31/2002,36.249,9.112,17.222,-14.893,,-4.261,-10.632,24.808,20.135,,4.673,,-11.482,-11.482,,,,-11.482,,,0.0,0.0,,,,,,0.0,7.255,0.0,-0.017,7.272,22.274,-15.002,0.0,,32.022,4.42,0.08,
06/30/2002,70.417,3.195,18.42,30.07,,-6.866,36.936,18.732,28.098,,-9.366,,-50.905,-12.867,0.0,,,-12.867,,,0.0,0.0,0.0,,,,,-38.038,-24.876,0.0,-0.006,-24.87,8.929,-33.799,0.0,,-5.364,4.274,0.074,
09/30/2002,26.341,-3.072,18.836,-3.13,,-9.265,6.135,13.707,35.19,,-21.483,,-18.626,-16.474,0.0,,,-16.474,,,0.0,0.0,0.0,,,,,-2.152,-78.673,0.0,-0.163,-78.51,2.06,-80.57,0.0,,-70.958,2.734,0.088,
12/31/2002,32.58,-7.067,17.83,-0.363,,,-0.363,22.18,,,22.18,,-7.851,-7.477,0.0,,,-7.477,,,0.0,0.0,0.0,,,,,-0.374,-10.27,0.0,-0.016,-10.254,6.04,-16.294,0.0,,14.459,-2.625,0.066,
03/31/2003,25.096,-3.439,16.537,0.726,,2.68,-1.954,11.272,0.93,,10.342,,-15.233,-11.013,0.0,,,-11.013,,,0.0,0.0,0.0,,,,,-4.22,-20.332,0.0,-0.016,-20.316,1.943,-22.259,0.0,,-10.469,0.815,0.105,
06/30/2003,27.221,0.134,16.5,-0.453,,1.777,-2.23,11.04,-1.435,,12.475,,-22.805,-8.583,0.0,,,-8.583,,,0.0,0.0,0.0,,,,,-14.222,6.8,0.0,-0.017,6.817,6.865,-0.048,0.0,,11.216,1.33,0.104,
09/30/2003,28.984,4.847,34.708,9.727,,-7.921,17.648,-20.298,-12.882,,-7.416,,-10.173,-9.965,0.0,,,-9.965,,,0.0,0.0,0.0,,,,,-0.208,7.705,0.0,-0.016,-11.997,0.0,-11.997,19.718,,26.516,-5.084,0.105,
12/31/2003,35.963,4.848,15.876,30.595,,,30.595,-15.356,,,-15.356,,-7.929,-6.925,0.0,,,-6.925,,,0.0,0.0,0.0,,,,,-1.004,4.299,0.0,-0.017,4.316,12.15,-7.834,0.0,,32.333,18.476,0.121,
03/31/2004,25.117,15.416,18.392,5.082,,4.157,0.925,-13.773,-42.859,,29.086,,-8.036,-8.601,0.0,,,-8.601,,,0.0,0.0,0.0,,,,,0.565,-25.135,0.0,-0.018,-24.653,6.748,-31.401,-0.464,,-8.054,8.103,0.12,
06/30/2004,50.401,32.441,17.577,4.868,,-5.064,9.932,-4.485,-40.075,,35.59,,-6.067,-4.599,0.0,,,-4.599,,,0.0,0.0,0.0,,,,,-1.468,6.704,-10.324,-0.017,18.621,20.652,-2.031,-1.576,,51.038,5.105,0.119,
09/30/2004,38.834,43.08,17.948,-3.122,,-7.063,3.941,-19.072,-48.348,,29.276,,-10.185,-9.902,0.0,,,-9.902,,,0.0,0.0,0.0,,,,,-0.283,-35.584,-10.386,-0.018,-29.45,6.384,-35.834,4.27,,-6.935,26.483,0.124,
12/31/2004,47.481,49.667,18.391,13.191,,-4.955,18.146,-33.768,-22.104,,-11.664,,-10.718,-9.765,0.0,,,-9.765,,,0.0,0.0,0.0,,,,,-0.953,-12.526,-10.385,-0.018,-9.788,10.547,-20.335,7.665,,24.237,31.672,0.131,
03/31/2005,72.692,51.593,17.643,-1.874,,-0.894,-0.98,5.33,-28.671,0.0,34.001,,56.187,-12.651,0.0,,,-12.651,,,0.0,0.0,0.0,,,,,68.838,-44.157,-12.075,-0.019,-30.374,10.488,-40.862,-1.689,,84.722,22.134,0.13,
06/30/2005,110.568,57.229,17.558,6.856,,6.915,-0.059,28.925,-6.423,0.0,35.348,,10.197,-8.822,0.0,,,-8.822,,,0.0,0.0,0.0,,,,,19.019,-109.713,-11.829,0.777,-94.498,2.438,-96.936,-4.163,,11.052,28.927,0.127,
09/30/2005,54.324,64.439,21.951,7.393,,-13.787,21.18,-39.459,-42.937,0.0,3.478,,-22.299,-19.533,0.0,,,-19.533,,,0.0,0.0,0.0,,,,,-2.766,-52.356,-11.897,-0.034,-45.617,31.24,-76.857,5.192,,-20.331,50.08,0.13,
12/31/2005,89.944,64.609,22.662,25.042,,-5.605,30.647,-22.369,1.134,0.0,-23.503,,-21.749,-20.745,0.0,,,-20.745,,,0.0,0.0,0.0,,,,,-1.004,-30.68,-11.98,-0.13,-14.893,32.834,-47.727,-3.677,,37.632,30.826,0.12,
03/31/2006,101.251,65.503,15.107,1.894,,7.861,-5.967,18.747,-28.206,,46.953,,-31.127,-24.312,0.0,,,-24.312,,,0.0,0.0,0.0,,,,,-6.815,-55.83,-13.74,-0.011,-43.223,47.39,-90.613,1.144,,14.294,15.799,0.118,
06/30/2006,106.184,68.655,15.068,-4.425,,-7.395,2.97,26.886,-26.396,,53.282,,-19.238,-19.202,0.0,,,-19.202,,,0.0,0.0,0.0,,,,,-0.036,-31.141,-13.804,-0.305,-24.518,49.736,-74.254,7.486,,55.805,16.767,0.13,
09/30/2006,296.794,207.805,45.575,2.039,,-6.04,8.079,41.375,-83.575,,124.95,,-72.212,-64.137,,,,-64.137,,,,,,,,,,-8.075,-251.283,-40.922,-0.331,-218.095,103.205,-321.3,8.065,,-26.701,74.363,0.382,
12/31/2006,79.424,75.373,15.51,-10.35,,-13.278,2.928,-1.109,8.133,,-9.242,,-23.81,-16.309,0.0,,,-16.309,,,0.0,0.0,0.0,,,,,-7.501,-39.792,-13.481,-0.017,-26.42,52.097,-78.517,0.126,,15.822,57.406,0.155,
03/31/2007,113.689,70.707,16.193,22.452,,15.178,7.274,4.337,-30.795,,35.132,,-26.838,-24.099,0.0,,,-24.099,,,0.0,0.0,0.0,,,,,-2.739,-84.428,-16.883,-0.017,-69.394,22.153,-91.547,1.866,,2.423,15.349,0.133,
06/30/2007,120.425,72.726,18.149,0.569,,-6.875,7.444,28.981,-24.858,,53.839,,-45.985,-22.284,0.0,,,-22.284,,,0.0,0.0,0.0,,,,,-23.701,-134.742,-16.371,-0.295,-126.146,34.364,-160.51,8.07,,-60.302,40.764,0.125,
09/30/2007,76.392,73.963,18.583,8.249,,-10.533,18.782,-24.403,-31.998,,7.595,,-20.729,-17.209,0.0,,,-17.209,,,0.0,0.0,0.0,,,,,-3.52,-116.606,-16.209,-0.019,-108.701,7.195,-115.896,8.323,,-60.943,43.675,0.124,
12/31/2007,100.718,78.816,18.516,11.241,,-5.012,16.253,-7.855,32.928,,-40.783,,-22.698,-20.185,0.0,,,-20.185,,,0.0,0.0,0.0,,,,,-2.513,-96.677,-16.057,-0.021,-81.627,3.364,-84.991,1.028,,-18.657,66.078,0.123,
03/31/2008,118.5,70.784,18.251,23.277,,4.433,18.844,6.188,-27.282,,33.47,,-18.676,-16.427,0.0,,,-16.427,,,0.0,0.0,0.0,,,,,-2.249,-53.76,-17.542,-0.021,-36.517,21.836,-58.353,0.32,,46.064,29.321,0.122,
06/30/2008,119.282,74.568,18.912,13.358,,-5.874,19.232,12.444,-11.66,,24.104,,-26.3,-22.41,0.0,,,-22.41,,,0.0,0.0,0.0,,,,,-3.89,-91.999,-17.341,-0.3,-76.566,0.366,-76.932,2.208,,0.983,64.897,0.121,
09/30/2008,95.585,65.821,18.599,16.554,,-8.222,24.776,-5.389,19.757,,-25.146,,-17.846,-16.65,0.0,,,-16.65,,,0.0,0.0,0.0,,,,,-1.196,-61.094,-17.123,-0.024,-28.6,4.94,-33.54,-15.347,,16.645,62.223,0.121,
12/31/2008,113.758,39.008,17.448,21.441,,3.62,17.821,35.861,86.468,,-50.607,,-31.979,-17.926,0.0,,,-17.926,,,0.0,0.0,0.0,,,,,-14.053,-100.715,-16.602,-1.635,-72.646,4.026,-76.672,-9.832,,-18.936,35.764,0.121,
03/31/2009,48.068,8.788,16.881,7.17,14.56,2.161,-9.551,15.229,66.364,0.0,-51.135,0.0,-13.255,-13.903,0.0,0.0,0.0,-13.903,-13.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648,-25.703,-18.099,-0.025,-7.579,0.462,-8.041,0.0,-4.557,4.553,8.586,0.107,
06/30/2009,77.437,5.416,16.805,28.418,14.349,-0.348,14.417,26.798,50.46,0.0,-23.662,0.0,-12.147,-10.245,0.0,0.0,0.0,-10.245,-10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.902,-48.622,-18.188,-0.026,-30.408,19.222,-49.63,0.0,9.841,26.509,-1.901,0.105,
09/30/2009,66.843,9.531,15.739,16.72,14.632,0.787,1.301,24.853,15.438,0.0,9.415,0.0,-8.962,-6.852,0.0,0.0,0.0,-6.852,-6.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.11,-42.244,-18.107,-0.027,-24.11,4.824,-28.934,0.0,6.186,21.823,3.729,0.108,
12/31/2009,47.805,13.528,15.841,7.815,12.856,3.152,-8.193,10.621,1.279,0.0,9.342,0.0,-11.603,-10.248,0.0,0.0,0.0,-10.248,-10.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.355,-75.801,-17.755,-0.027,-58.019,5.194,-63.213,0.0,-2.248,-41.847,11.345,0.121,
03/31/2010,14.519,8.475,15.192,17.534,13.74,-6.842,10.636,-26.682,-16.183,0.0,-10.499,0.0,-7.637,-8.276,0.0,0.0,0.0,-8.276,-8.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.639,-19.906,-19.592,-0.027,-0.287,3.617,-3.904,0.0,-3.406,-16.43,1.974,0.152,
06/30/2010,36.465,12.181,14.033,12.5,14.675,-0.34,-1.835,-2.249,-19.092,0.0,16.843,0.0,-6.166,-6.136,0.0,0.0,0.0,-6.136,-6.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-84.45,-19.042,-0.028,-65.38,2.477,-67.857,0.0,-5.169,-59.32,10.866,0.149,
09/30/2010,50.489,20.623,13.507,14.313,13.881,-7.766,8.198,2.046,-35.914,0.0,37.96,0.0,-8.858,-7.637,0.0,0.0,0.0,-7.637,-7.637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.221,-29.534,-18.978,-0.029,-10.527,0.9,-11.427,0.0,8.915,21.012,10.697,0.153,
12/31/2010,74.41,24.79,13.226,34.401,9.009,22.318,3.074,1.993,3.181,0.0,-1.188,0.0,-16.436,-13.039,0.0,0.0,0.0,-13.039,-13.039,0.0,0.0,0.0,0.0,-0.585,0.0,-0.585,0.0,-2.812,-54.105,-18.979,-0.029,-35.097,37.175,-72.272,0.0,0.212,4.081,14.712,0.145,
03/31/2011,18.952,26.705,12.795,4.028,11.492,-7.827,0.363,-24.576,-38.716,0.0,14.14,0.0,-15.578,-14.563,0.0,0.0,0.0,-14.563,-14.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.015,-41.009,-20.294,-0.03,-20.685,10.282,-30.967,0.0,4.328,-33.307,4.212,0.138,
06/30/2011,68.93,36.425,12.987,14.21,13.011,1.046,0.153,5.308,-26.801,0.0,32.109,0.0,-15.582,-13.812,0.0,0.0,0.0,-13.812,-13.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.77,-76.266,-20.013,-0.03,-56.223,4.355,-60.578,0.0,2.159,-20.759,15.039,0.135,
09/30/2011,71.786,44.168,12.845,8.014,12.603,-0.405,-4.184,6.759,-33.973,0.0,40.732,0.0,-15.36,-13.333,0.0,0.0,0.0,-13.333,-13.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.027,-66.866,-19.717,-0.032,-47.117,1.729,-48.846,0.0,-7.905,-18.345,25.606,0.136,
12/31/2011,96.648,42.624,12.788,38.741,9.589,24.342,4.81,2.495,18.176,0.0,-15.681,0.0,-16.882,-14.827,0.0,0.0,0.0,-14.827,-14.827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.055,-41.836,-20.279,0.001,-21.558,6.154,-27.712,0.0,-1.32,36.61,31.565,0.127,
03/31/2012,23.214,48.334,12.281,2.208,6.448,-1.554,-2.686,-39.609,-28.518,0.0,-11.091,0.0,-11.85,-10.372,0.0,0.0,0.0,-10.372,-10.372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.478,-48.923,-21.016,-0.032,-27.875,28.519,-56.394,0.0,2.676,-34.883,7.028,0.107,
06/30/2012,92.072,45.329,12.086,3.829,-9.343,-12.419,25.591,30.828,-15.799,0.0,46.627,0.0,-17.441,-13.839,0.0,0.0,0.0,-13.839,-13.839,0.0,0.0,0.0,0.0,-1.484,0.0,-1.484,0.0,-2.118,-56.1,-20.858,-0.023,-35.219,9.767,-44.986,0.0,-4.406,14.125,,,
09/30/2012,75.968,57.66,12.143,9.742,30.682,-5.571,-15.369,-3.577,-24.261,0.0,20.684,0.0,-13.802,-11.605,0.0,0.0,0.0,-11.605,-11.605,0.0,0.0,0.0,0.0,-0.041,0.0,-0.041,0.0,-2.156,-34.265,-20.817,-0.021,-13.427,2.661,-16.088,0.0,2.949,30.85,,,
12/31/2012,97.923,58.619,12.214,4.254,5.202,4.551,-5.499,22.836,47.224,0.0,-24.388,0.0,-29.933,-14.24,0.0,0.0,0.0,-14.24,-14.24,0.0,0.0,0.0,0.0,-12.868,0.0,-12.868,0.0,-2.825,-70.328,-21.438,-0.031,-48.859,10.467,-59.326,0.0,0.545,-1.793,55.865,0.097,
03/31/2013,27.885,55.863,12.18,-3.641,7.216,-4.117,-6.74,-36.517,-42.598,0.0,6.081,0.0,-37.751,-8.082,0.0,0.0,0.0,-8.082,-8.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.669,-49.407,-22.021,-2.643,-24.743,20.93,-45.673,0.0,-3.011,-62.284,7.356,0.098,
06/30/2013,102.05,63.089,12.013,6.183,9.48,-9.169,5.872,20.765,-12.153,,32.918,0.0,-14.429,-11.022,0.0,0.0,0.0,-11.022,-11.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.407,-61.572,-21.865,-1.745,-37.962,2.746,-40.708,0.0,-4.429,21.62,,,
09/30/2013,81.122,66.358,12.102,9.092,10.299,-10.254,9.047,-6.43,-6.288,,-0.142,0.0,-18.416,-13.013,0.0,0.0,0.0,-13.013,-13.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.403,-34.386,-21.726,-0.042,-12.618,7.783,-20.401,0.0,4.456,32.776,,,
12/31/2013,98.16,66.885,12.477,17.886,3.769,10.281,3.836,0.912,13.34,0.0,-12.428,0.0,-27.181,-21.608,0.0,0.0,0.0,-21.608,-21.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.573,-74.905,-23.575,-0.066,-51.264,9.929,-61.193,0.0,-0.057,-3.983,,,
03/31/2014,59.225,61.551,12.533,6.96,8.067,2.71,-3.817,-21.819,-38.909,0.0,17.09,0.0,-17.726,-12.443,0.0,0.0,0.0,-12.443,-12.443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.283,-50.067,-24.394,-0.031,-25.642,9.383,-35.025,0.0,0.541,-8.027,,0.0,
06/30/2014,104.914,75.14,12.087,2.09,9.824,-5.853,-1.881,15.597,-29.753,,45.35,0.0,-15.165,-10.642,0.0,0.0,0.0,-10.642,-10.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.523,-51.922,-24.26,-0.032,-27.63,2.503,-30.133,0.0,2.214,40.041,,,
09/30/2014,93.681,85.184,12.107,4.299,10.425,-8.024,1.898,-7.909,-54.597,,46.688,0.0,-21.536,-13.122,0.0,0.0,0.0,-13.122,-13.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.414,-81.207,-24.098,-0.032,-57.077,2.444,-59.521,0.0,-7.84,-16.902,,,
12/31/2014,82.878,84.053,12.954,18.558,5.331,7.524,5.703,-32.687,-11.658,0.0,-21.029,0.0,-34.214,-26.623,0.0,0.0,0.0,-26.623,-26.623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.591,-46.859,-24.852,-0.033,-21.974,7.168,-29.142,0.0,-5.562,-3.757,,,
03/31/2015,84.48,77.922,13.006,1.713,4.587,8.039,-10.913,-8.161,-22.431,,14.27,0.0,-20.801,-13.346,0.0,0.0,0.0,-13.346,-13.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.455,-81.236,-27.375,-0.034,-53.827,5.369,-59.196,0.0,-8.677,-26.234,,0.0,
