Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/1995,748,416,552,,322.0,,,322.0,-542,,,,-74.0,,-74.0,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,
12/31/1995,-833,385,753,,-1128.0,,,-1128.0,-843,,,-123.0,-123.0,,-123.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-956.0,,,
03/31/1996,854,396,654,,-402.0,,,-402.0,206,,,,-88.0,,-88.0,,,,,,,,,,,,,,,88.0,,,,,,,,,,,,,,,,,
06/30/1996,3796,453,496,,1588.0,,,1588.0,1259,,,,-78.0,,-78.0,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,
09/30/1996,-755,458,542,,-1132.0,,,-1132.0,-623,,,,-133.0,,-133.0,,,,,,,,,,,,,,,133.0,,,,,,,,,,,,,,,,,
12/31/1996,1044,595,583,,574.0,,,574.0,-708,,,-139.0,-139.0,,-139.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,905.0,,,
03/31/1997,1329,454,654,,72.0,,,72.0,149,,,,-55.0,,-55.0,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,
06/30/1997,1123,520,632,,-595.0,,,-595.0,566,,,,-126.0,,-126.0,,,,,,,,,,,,,,,126.0,,,,,,,,,,,,,,,,,
09/30/1997,1725,524,620,,405.0,,,405.0,176,,,,-68.0,,-68.0,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,
12/31/1997,993,493,588,,513.0,,,513.0,-601,,,-94.0,-94.0,,-94.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,899.0,,,
03/31/1998,1454,460,772,,95.0,,,95.0,127,,,,-67.0,,-67.0,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,63.0,636.0,
06/30/1998,2469,578,664,,799.0,,,799.0,428,,,,-66.0,,-66.0,,,,,,,,,,,,,,,66.0,,,,,,,,,,,,,,,352.0,464.0,
09/30/1998,887,574,343,,-202.0,,,-202.0,172,,,,-104.0,,-104.0,,,,,,,,,,,,,,,104.0,,,,,,,,,,,,,,,191.0,800.0,
12/31/1998,-397,529,500,,-418.0,,,-418.0,-1008,,,,-154.0,,-154.0,,,,,,,,,,,,,,,154.0,,,,,,,,,,,,,,,371.0,700.0,
03/31/1999,1565,575,642,,-58.0,,,-58.0,406,,,,-198.0,,-198.0,,,,,,,,,,,,,,,198.0,,,,,,,,,,,,,,,97.0,588.0,
06/30/1999,2893,646,639,,230.0,,,230.0,1378,,,,-134.0,,-134.0,,,,,,,,,,,,,,,134.0,,,,,,,,,,,,,,,128.0,612.0,
09/30/1999,1701,648,584,,-235.0,,,-235.0,704,,,,-193.0,,-193.0,,,,,,,,,,,,,,,193.0,,,,,,,,,,,,,,,47.0,700.0,
12/31/1999,1226,606,540,,-58.0,,,-58.0,138,,,-212.0,-212.0,,-212.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1014.0,120.0,700.0,
03/31/2000,2710,656,678,,-173.0,,,-173.0,1549,,,,-175.0,,-175.0,,,,,,,,,,,,,,,175.0,,,,,,,,,,,,,,,68.0,855.0,
06/30/2000,3369,740,913,,593.0,,,593.0,1123,,,,-192.0,,-192.0,,,,,,,,,,,,,,,192.0,,,,,,,,,,,,,,,278.0,845.0,
09/30/2000,193,737,712,,-712.0,,,-712.0,-544,,,,-333.0,,-333.0,,,,,,,,,,,,,,,333.0,,,,,,,,,,,,,,,221.0,1000.0,
12/31/2000,81,677,787,,73.0,,,73.0,-1456,,,-219.0,-219.0,,-219.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-138.0,291.0,900.0,
03/31/2001,1745,538,1003,,-31.0,,,-31.0,235,,,,-175.0,,-175.0,,,,,,,,,,,,,,,175.0,,,,,,,,,,,,,,,63.0,757.0,
06/30/2001,2934,178,1583,,-162.0,,,-162.0,1335,,,,-185.0,,-185.0,,,,,,,,,,,,,,,185.0,,,,,,,,,,,,,,,314.0,643.0,
09/30/2001,473,298,1031,,1679.0,,,1679.0,-2535,,,,-208.0,,-208.0,,,,,,,,,,,,,,,208.0,,,,,,,,,,,,,,,93.0,500.0,
12/31/2001,172,297,862,,-862.0,,,-862.0,-125,,,-291.0,-291.0,,-291.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-119.0,75.0,900.0,
03/31/2002,1437,618,906,,8.0,,,8.0,-95,,,3263.0,-134.0,62.0,-196.0,573.0,5441.0,,,,-4868.0,2834.0,,,,,,,,-10.0,-4419.0,-109.0,-3635.0,,,,,55.0,55.0,,-848.0,118.0,,281.0,188.0,397.0,
06/30/2002,3417,683,1069,,106.0,,,106.0,1559,,,,-176.0,,-176.0,,,,,,,,,,,,,,,176.0,,,,,,,,,,,,,,,244.0,403.0,
09/30/2002,-214,687,750,,-443.0,,,-443.0,-1208,,,,-210.0,,-210.0,,,,,,,,,,,,,,,210.0,,,,,,,,,,,,,,,326.0,500.0,
12/31/2002,4034,683,1214,,113.0,,,113.0,2024,,,-88.0,-88.0,,-88.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3946.0,114.0,400.0,
03/31/2003,-1282,692,124,667.0,,,,,-2765,,,2027.0,-162.0,4.0,-166.0,241.0,10752.0,,,,-10511.0,1976.0,,,,,,,,-28.0,-2628.0,-108.0,-2475.0,,,,,-407.0,21.0,-428.0,-586.0,948.0,,-1883.0,76.0,485.0,
06/30/2003,1072,762,674,,-255.0,,,-255.0,-109,,,,-151.0,,-151.0,,,,,,,,,,,,,,,151.0,,,,,,,,,,,,,,,680.0,315.0,
09/30/2003,1690,770,1112,,-908.0,,,-908.0,716,,,,-397.0,,-397.0,,,,,,,,,,,,,,,397.0,,,,,,,,,,,,,,,55.0,400.0,
12/31/2003,-255,763,550,,1376.0,,,1376.0,-1631,,,-307.0,-307.0,,-307.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-562.0,389.0,500.0,
03/31/2004,397,794,781,,226.0,,,226.0,171,,,-2555.0,-139.0,10.0,-149.0,-3591.0,2472.0,,,,-6063.0,1318.0,,,,,,,,-143.0,-326.0,-129.0,-88.0,,,,,-575.0,458.0,-1033.0,470.0,-4.0,,-2484.0,55.0,311.0,
06/30/2004,-51,876,779,,-74.0,,,-74.0,23,,,-1453.0,-169.0,12.0,-181.0,2046.0,5899.0,,,,-3853.0,-3311.0,,,,,,,,-19.0,1103.0,-128.0,751.0,,,,,-767.0,178.0,-945.0,1254.0,-7.0,,-401.0,417.0,399.0,
09/30/2004,6496,879,676,,1152.0,,,1152.0,559,,,34.0,-60.0,40.0,-100.0,63.0,63.0,,,,0.0,47.0,,,,,,,,-16.0,-2728.0,-126.0,507.0,,,,,-550.0,117.0,-667.0,-3007.0,448.0,,3802.0,364.0,490.0,
12/31/2004,2301,896,921,,633.0,,,633.0,-149,,,-7636.0,-117.0,193.0,-310.0,-2686.0,5763.0,,,,-8449.0,-6358.0,,,,,,,,1525.0,8169.0,-152.0,5924.0,,,,,-631.0,302.0,-933.0,815.0,2213.0,,2834.0,264.0,400.0,
03/31/2005,1842,946,767,,420.0,,,420.0,-291,,,815.0,4.0,123.0,-119.0,263.0,1699.0,,,,-1436.0,1029.0,,,,,,,,-481.0,-3285.0,-150.0,-2605.0,,,,,-378.0,284.0,-662.0,-713.0,561.0,,-628.0,,,
06/30/2005,3843,1013,774,,658.0,,,658.0,1398,,,-5707.0,-134.0,13.0,-147.0,-1151.0,1464.0,,,,-2615.0,-4609.0,,,,,,,,187.0,1865.0,-149.0,-1203.0,,,,,-352.0,200.0,-552.0,3529.0,40.0,,1.0,,,
09/30/2005,1914,1030,888,,64.0,,,64.0,-68,,,-6010.0,-69.0,71.0,-140.0,363.0,3131.0,,,,-2768.0,-2997.0,,,,,,,,-3307.0,2439.0,-150.0,1303.0,,,,,-57.0,383.0,-440.0,-143.0,1486.0,,-1657.0,,,
12/31/2005,446,745,989,,-758.0,,,-758.0,-530,,,-6357.0,-161.0,41.0,-202.0,41.0,5046.0,,,,-5005.0,-5911.0,,,,,,,,-326.0,5414.0,-148.0,2129.0,,,,,63.0,262.0,-199.0,2658.0,712.0,,-497.0,,,
03/31/2006,2005,873,817,,183.0,,,183.0,132,,,1332.0,-123.0,15.0,-138.0,277.0,4528.0,,,,-4251.0,996.0,,,,,,,,182.0,-5070.0,-149.0,39.0,,,,,-624.0,338.0,-962.0,-4613.0,277.0,,-1733.0,,,
06/30/2006,2452,945,884,,-199.0,,,-199.0,822,,,-6542.0,-141.0,5.0,-146.0,-369.0,3766.0,,,,-4135.0,-6303.0,,,,,,,,271.0,5495.0,-150.0,5177.0,,,,,-1005.0,198.0,-1203.0,1943.0,-470.0,,1405.0,,,
09/30/2006,2292,967,856,,-58.0,,,-58.0,527,,,-2944.0,-181.0,9.0,-190.0,311.0,3025.0,,,,-2714.0,-2852.0,,,,,,,,-222.0,2010.0,-181.0,3379.0,,,,,-604.0,221.0,-825.0,-1646.0,1062.0,,1358.0,,,
12/31/2006,2256,922,1072,,-515.0,,,-515.0,777,,,-7051.0,-309.0,49.0,-358.0,414.0,5164.0,,,,-4750.0,-7774.0,,,,,,,,618.0,4407.0,-181.0,2949.0,,,,,-657.0,446.0,-1103.0,2440.0,-144.0,,-388.0,,,
03/31/2007,2347,1057,1055,,-191.0,,,-191.0,426,,,362.0,-204.0,4.0,-208.0,-77.0,2563.0,,,,-2640.0,1078.0,,,,,,,,-435.0,-2611.0,-180.0,778.0,,,,,-687.0,264.0,-951.0,-3035.0,513.0,,98.0,,,
06/30/2007,2954,1057,1191,,289.0,,,289.0,417,,,-9501.0,-98.0,41.0,-139.0,-283.0,1735.0,,,,-2018.0,-8319.0,,,,,,,,-801.0,6048.0,-179.0,6741.0,,,,,-643.0,277.0,-920.0,117.0,12.0,,-499.0,,,
09/30/2007,2661,1067,1191,,-1235.0,,,-1235.0,1638,,,-1839.0,-336.0,0.0,-336.0,417.0,1731.0,,,,-1314.0,-2864.0,,,,,,,,944.0,2957.0,-177.0,3337.0,,,,,-735.0,181.0,-916.0,-34.0,566.0,,3779.0,,,
12/31/2007,529,831,1738,,377.0,,,377.0,-2417,,,-6123.0,-245.0,10.0,-255.0,-461.0,3159.0,,,,-3620.0,-6371.0,,,,,,,,954.0,9238.0,-176.0,3445.0,,,,,-655.0,130.0,-785.0,6313.0,311.0,,3644.0,,,
03/31/2008,4535,991,173,1332.0,-104.0,-188.0,66.0,18.0,2143,,,1934.0,-191.0,5.0,-196.0,-167.0,4404.0,,,,-4571.0,4620.0,,,,,,,,-2328.0,-2285.0,-210.0,1102.0,,,,,-127.0,92.0,-219.0,-1346.0,-1704.0,,4184.0,,,
06/30/2008,3383,653,-1146,3315.0,-343.0,-636.0,128.0,165.0,904,,,-2952.0,-192.0,17.0,-209.0,-1973.0,124.0,,,,-2097.0,-2697.0,,,,,,,,1910.0,-831.0,-208.0,122.0,,,,,68.0,68.0,0.0,898.0,-1711.0,,-400.0,,,
09/30/2008,825,815,1511,181.0,12.0,461.0,-17.0,-432.0,-1694,,,3406.0,-235.0,0.0,-235.0,1530.0,4453.0,,,,-2923.0,3705.0,,,,,,,,-1594.0,-7385.0,-209.0,-1814.0,,,,,20.0,20.0,0.0,-2782.0,-2600.0,,-3154.0,,,
12/31/2008,-602,240,174,970.0,-954.0,805.0,52.0,-1811.0,-1032,,,5173.0,-332.0,5.0,-337.0,163.0,5296.0,,,,-5133.0,5261.0,,,,,,,,81.0,81.0,-209.0,-2677.0,,,,,-3.0,1.0,-4.0,3588.0,-618.0,,4652.0,,,
03/31/2009,994,437,192,1803.0,-315.0,-375.0,53.0,7.0,-1123,-1123.0,-3.0,1798.0,-79.0,9.0,-88.0,-5144.0,895.0,,,,-6039.0,6989.0,6989.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,-2505.0,-226.0,-8312.0,-6041.0,0.0,0.0,-2271.0,3389.0,3389.0,0.0,2647.0,0.0,-27.0,260.0,,,
06/30/2009,1607,337,376,1584.0,-1105.0,-1012.0,68.0,-161.0,415,415.0,-16.0,-988.0,-219.0,27.0,-246.0,-1611.0,2373.0,,,,-3984.0,747.0,747.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.0,-6132.0,-268.0,-5109.0,-678.0,0.0,2980.0,-7411.0,-2858.0,531.0,-3389.0,2119.0,0.0,47.0,-5466.0,,,
09/30/2009,2311,640,209,1178.0,-71.0,-36.0,37.0,-72.0,355,355.0,59.0,-1094.0,-154.0,3.0,-157.0,-350.0,2120.0,,,,-2470.0,-608.0,-608.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2041.0,-215.0,-1242.0,-5.0,0.0,1520.0,-2757.0,-340.0,0.0,-340.0,3779.0,0.0,-16.0,3242.0,,,
12/31/2009,1425,716,293,748.0,66.0,-6.0,72.0,0.0,-398,-398.0,,-6468.0,-270.0,11.0,-281.0,-784.0,442.0,,,,-1226.0,-3530.0,-3530.0,0.0,0.0,0.0,0.0,0.0,0.0,-1884.0,1949.0,-215.0,-411.0,150.0,0.0,2197.0,-2758.0,83.0,83.0,0.0,2492.0,0.0,3.0,-3091.0,,,
03/31/2010,2262,885,221,943.0,213.0,149.0,64.0,0.0,0,0.0,,7680.0,-147.0,0.0,-147.0,2344.0,4637.0,,,,-2293.0,2636.0,2636.0,0.0,0.0,-254.0,0.0,-254.0,0.0,3101.0,-3661.0,-216.0,-5389.0,-379.0,0.0,117.0,-5127.0,121.0,121.0,0.0,1823.0,0.0,28.0,6309.0,,,
06/30/2010,2188,1017,220,652.0,617.0,550.0,67.0,0.0,-318,-318.0,0.0,-2195.0,-175.0,0.0,-175.0,1023.0,3641.0,,,,-2618.0,-2269.0,-2269.0,0.0,0.0,0.0,0.0,0.0,0.0,-774.0,-2176.0,-217.0,-2378.0,677.0,0.0,1327.0,-4382.0,174.0,174.0,0.0,245.0,0.0,-38.0,-2221.0,,,
09/30/2010,2777,1093,248,373.0,90.0,36.0,54.0,0.0,973,973.0,0.0,-187.0,-264.0,0.0,-264.0,336.0,2479.0,,,,-2143.0,-301.0,-301.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,-2048.0,-217.0,-1898.0,-572.0,0.0,1979.0,-3305.0,80.0,80.0,0.0,-13.0,0.0,112.0,654.0,,,
12/31/2010,1708,1062,228,239.0,502.0,400.0,102.0,0.0,-323,-323.0,0.0,-6527.0,-292.0,0.0,-292.0,2755.0,3505.0,,,,-750.0,-6455.0,-6455.0,0.0,0.0,-146.0,0.0,-146.0,0.0,-2389.0,-199.0,-217.0,-1031.0,1330.0,0.0,2495.0,-4856.0,-302.0,288.0,-590.0,1351.0,0.0,33.0,-4985.0,,,
03/31/2011,537,1177,227,97.0,-53.0,-129.0,76.0,0.0,-911,,0.0,8663.0,-255.0,0.0,-255.0,3521.0,3793.0,,,,-272.0,2522.0,,0.0,0.0,,0.0,,0.0,2875.0,-3529.0,-217.0,0.0,,0.0,0.0,,229.0,229.0,0.0,2011.0,0.0,,5671.0,,,
06/30/2011,3439,1331,278,357.0,553.0,509.0,80.0,-36.0,920,920.0,,-3156.0,-303.0,0.0,-303.0,1219.0,1597.0,,,,-378.0,-4091.0,-4091.0,0.0,0.0,-5.0,0.0,-5.0,0.0,24.0,756.0,-216.0,987.0,525.0,0.0,3328.0,-2866.0,-549.0,201.0,-750.0,534.0,0.0,16.0,1055.0,,,
09/30/2011,2398,1235,228,249.0,736.0,665.0,71.0,0.0,-50,-50.0,,-561.0,-327.0,0.0,-327.0,14.0,268.0,,,,-254.0,-402.0,-402.0,0.0,0.0,-28.0,0.0,-28.0,0.0,182.0,162.0,-213.0,588.0,121.0,0.0,5983.0,-5516.0,-1123.0,77.0,-1200.0,910.0,0.0,-136.0,1863.0,,,
12/31/2011,3394,1192,185,409.0,-153.0,-227.0,74.0,0.0,1761,1761.0,0.0,-5437.0,-304.0,0.0,-304.0,1338.0,1592.0,,,,-254.0,-6387.0,-6387.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.0,2021.0,-215.0,-2278.0,-33.0,0.0,4671.0,-6916.0,-263.0,87.0,-350.0,4777.0,0.0,-30.0,-52.0,,,
03/31/2012,3432,1256,254,412.0,140.0,48.0,92.0,0.0,1370,1370.0,0.0,1948.0,-266.0,0.0,-266.0,568.0,626.0,,,,-58.0,1724.0,1724.0,0.0,0.0,-2.0,0.0,-2.0,0.0,-76.0,-3316.0,-211.0,-3432.0,-540.0,0.0,1609.0,-4501.0,60.0,231.0,-171.0,267.0,0.0,125.0,2189.0,,,
06/30/2012,3310,1339,253,461.0,243.0,171.0,72.0,0.0,1014,1014.0,0.0,-3719.0,-230.0,,-230.0,314.0,420.0,,,,-106.0,-2358.0,-2358.0,,,-455.0,0.0,-455.0,0.0,-990.0,-4470.0,-235.0,-825.0,-208.0,0.0,2585.0,-3202.0,-1640.0,138.0,-1778.0,-1770.0,0.0,-131.0,-5010.0,,,
09/30/2012,3872,1250,244,479.0,-72.0,-140.0,68.0,0.0,1971,1971.0,0.0,-1215.0,-269.0,,-269.0,319.0,466.0,,,,-147.0,-1243.0,-1243.0,,,1.0,0.0,1.0,0.0,-23.0,303.0,-229.0,325.0,402.0,0.0,3637.0,-3714.0,-980.0,24.0,-1004.0,1187.0,0.0,111.0,3071.0,,,
12/31/2012,-3532,637,240,638.0,-337.0,139.0,65.0,-541.0,-4710,-4710.0,0.0,-3559.0,-288.0,0.0,-288.0,413.0,575.0,,,,-162.0,-4794.0,-4794.0,0.0,0.0,-10.0,0.0,-10.0,0.0,1120.0,4215.0,-227.0,2775.0,-669.0,0.0,6103.0,-2659.0,-949.0,50.0,-999.0,2616.0,0.0,-17.0,-2893.0,,,
03/31/2013,7547,1280,245,497.0,98.0,2.0,96.0,0.0,5427,5427.0,0.0,32.0,-204.0,0.0,-204.0,-205.0,267.0,,,,-472.0,1510.0,1510.0,,,-11.0,0.0,-11.0,0.0,-1058.0,-1830.0,-222.0,-2237.0,166.0,0.0,598.0,-3001.0,-512.0,275.0,-787.0,1141.0,0.0,-35.0,5714.0,,,
06/30/2013,2682,1405,252,593.0,-102.0,-203.0,101.0,0.0,534,534.0,0.0,-1962.0,-271.0,0.0,-271.0,331.0,465.0,,,,-134.0,-2884.0,-2884.0,,,-180.0,0.0,-180.0,0.0,1042.0,-5444.0,-221.0,-3300.0,-385.0,0.0,2511.0,-5426.0,-1129.0,226.0,-1355.0,-794.0,0.0,-111.0,-4835.0,,,
09/30/2013,-2026,1366,266,492.0,-61.0,-139.0,78.0,0.0,-4089,-4089.0,0.0,463.0,-160.0,0.0,-160.0,32.0,299.0,,,,-267.0,583.0,583.0,0.0,0.0,21.0,0.0,21.0,0.0,-13.0,682.0,-250.0,-17.0,270.0,0.0,4778.0,-5065.0,-1007.0,51.0,-1058.0,1956.0,0.0,38.0,-843.0,,,
12/31/2013,344,1308,257,250.0,410.0,335.0,75.0,0.0,-1881,-1881.0,0.0,-5802.0,-371.0,0.0,-371.0,3.0,478.0,,,,-475.0,-5510.0,-5510.0,0.0,0.0,-25.0,0.0,-25.0,0.0,101.0,2701.0,-246.0,4629.0,1792.0,0.0,4108.0,-1271.0,-574.0,169.0,-743.0,-1108.0,0.0,-43.0,-2800.0,,,
03/31/2014,3285,1432,249,485.0,132.0,44.0,88.0,0.0,987,987.0,0.0,1557.0,-226.0,0.0,-226.0,327.0,398.0,,,,-71.0,2072.0,2072.0,0.0,0.0,-6.0,0.0,-6.0,0.0,-610.0,-3561.0,-246.0,-3505.0,-2245.0,0.0,2240.0,-3500.0,-728.0,233.0,-961.0,918.0,0.0,-27.0,1254.0,,,
06/30/2014,1600,1529,266,489.0,-365.0,-441.0,76.0,0.0,-319,-319.0,0.0,-3133.0,-320.0,0.0,-320.0,-165.0,207.0,,,,-372.0,-3225.0,-3225.0,0.0,0.0,-103.0,0.0,-103.0,0.0,680.0,-815.0,-243.0,1145.0,591.0,0.0,3715.0,-3161.0,-1898.0,193.0,-2091.0,-547.0,0.0,38.0,-2310.0,,,
09/30/2014,3701,1477,249,488.0,-54.0,-100.0,46.0,0.0,1541,1541.0,0.0,-1404.0,-308.0,0.0,-308.0,101.0,483.0,,,,-382.0,-1196.0,-1196.0,0.0,0.0,-21.0,0.0,-21.0,0.0,20.0,644.0,-281.0,1435.0,59.0,0.0,5374.0,-3998.0,-1056.0,18.0,-1074.0,546.0,0.0,-96.0,2845.0,,,
12/31/2014,2404,1447,248,582.0,-364.0,-444.0,80.0,0.0,491,491.0,0.0,-4987.0,-341.0,0.0,-341.0,1199.0,1260.0,0.0,1260.0,0.0,-61.0,-5728.0,-5728.0,0.0,0.0,-99.0,0.0,-99.0,0.0,-18.0,3743.0,-271.0,2803.0,221.0,0.0,4691.0,-2109.0,-331.0,853.0,-1184.0,1542.0,0.0,-136.0,1024.0,,,
03/31/2015,2126,1525,251,420.0,290.0,219.0,71.0,0.0,-360,-360.0,0.0,2821.0,-256.0,0.0,-256.0,-8.0,439.0,,,,-447.0,3129.0,3129.0,0.0,0.0,-59.0,0.0,-59.0,0.0,15.0,-3542.0,-268.0,-4162.0,-1062.0,0.0,0.0,-3100.0,104.0,895.0,-791.0,784.0,0.0,-121.0,1284.0,,,
06/30/2015,2109,1473,263,467.0,-4.0,-73.0,69.0,0.0,-90,-90.0,0.0,-5751.0,-281.0,0.0,-281.0,-213.0,552.0,,,,-765.0,-3698.0,-3698.0,0.0,0.0,-15.0,0.0,-15.0,0.0,-1544.0,1119.0,-265.0,242.0,2095.0,0.0,3457.0,-5310.0,-1091.0,89.0,-1180.0,2233.0,0.0,22.0,-2501.0,,,
09/30/2015,3589,1266,266,529.0,49.0,-11.0,60.0,0.0,1479,1479.0,0.0,223.0,-342.0,0.0,-342.0,490.0,842.0,,,,-352.0,-723.0,-723.0,0.0,0.0,-48.0,0.0,-48.0,0.0,846.0,-4802.0,-335.0,-5288.0,-1306.0,0.0,4466.0,-8448.0,-1333.0,26.0,-1359.0,2154.0,0.0,-143.0,-1133.0,,,
12/31/2015,3148,899,263,572.0,405.0,371.0,34.0,0.0,1009,1009.0,0.0,-5486.0,-462.0,0.0,-462.0,121.0,270.0,,,,-149.0,-5675.0,-5675.0,0.0,0.0,-33.0,0.0,-33.0,0.0,563.0,5196.0,-304.0,919.0,1668.0,0.0,2003.0,-2752.0,-1126.0,24.0,-1150.0,5707.0,0.0,-34.0,2824.0,,,
