Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/2015,137.0,88,33.0,5.0,3.0,2.0,11.0,-4.0,12.0,3.0,0.0,0.0,-21.0,-20.0,1.0,1.0,0.0,-21.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-98,-26.0,-1.0,-1.0,0.0,0.0,-70,5.0,-75.0,-1.0,-7.0,11.0,15.0,11.0,
12/31/2015,204.0,114,31.0,-20.0,4.0,-24.0,79.0,8.0,38.0,14.0,19.0,0.0,-58.0,-40.0,,,,,,,0.0,0.0,0.0,-18.0,0.0,-18.0,0.0,0,-68,-25.0,0.0,0.0,0.0,0.0,-42,9.0,-51.0,-1.0,-9.0,69.0,18.0,15.0,
03/31/2016,41.0,66,32.0,-47.0,5.0,-52.0,-10.0,22.0,-31.0,-1.0,0.0,0.0,-105.0,-37.0,0.0,0.0,0.0,-37.0,-37.0,0.0,0.0,0.0,0.0,-70.0,0.0,-70.0,0.0,2,559,-28.0,580.0,40.0,540.0,0.0,5,8.0,-3.0,2.0,18.0,513.0,15.0,25.0,
06/30/2016,84.0,71,33.0,19.0,5.0,14.0,-39.0,-41.0,-8.0,10.0,0.0,0.0,-22.0,-25.0,0.0,0.0,0.0,-25.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,-657,-28.0,-636.0,-28.0,0.0,-608.0,8,8.0,0.0,-1.0,-12.0,-607.0,34.0,9.0,
09/30/2016,149.0,73,32.0,50.0,5.0,45.0,-6.0,-8.0,-3.0,5.0,0.0,,-28.0,-28.0,0.0,,,-28.0,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-52,-28.0,-30.0,-30.0,0.0,0.0,6,6.0,0.0,0.0,4.0,73.0,11.0,0.0,
12/31/2016,223.0,50,54.0,10.0,3.0,7.0,109.0,21.0,27.0,47.0,14.0,0.0,-1731.0,-33.0,1.0,,,-34.0,-34.0,0.0,0.0,0.0,0.0,-1712.0,0.0,-1712.0,0.0,14,1184,-28.0,1212.0,212.0,1000.0,0.0,1,2.0,-1.0,-1.0,-27.0,-351.0,18.0,15.0,
03/31/2017,52.0,56,59.0,-9.0,6.0,-15.0,-54.0,-12.0,-10.0,-32.0,0.0,0.0,-38.0,-43.0,0.0,0.0,0.0,-43.0,-43.0,0.0,0.0,0.0,0.0,5.0,11.0,-6.0,0.0,0,-41,-33.0,-5.0,-5.0,0.0,0.0,-4,1.0,-5.0,1.0,6.0,-21.0,17.0,12.0,
06/30/2017,99.0,99,57.0,-9.0,5.0,-14.0,-48.0,-58.0,-3.0,13.0,0.0,0.0,-31.0,-34.0,0.0,0.0,0.0,-34.0,-34.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,-8,-74,-32.0,-27.0,-27.0,0.0,0.0,-14,6.0,-20.0,-1.0,7.0,1.0,30.0,34.0,
09/30/2017,228.0,105,58.0,88.0,5.0,83.0,-23.0,-44.0,-1.0,22.0,0.0,0.0,-53.0,-42.0,0.0,0.0,0.0,-42.0,-42.0,0.0,0.0,0.0,0.0,-10.0,0.0,-10.0,0.0,-1,-184,-32.0,-152.0,-152.0,0.0,0.0,1,1.0,0.0,-1.0,4.0,-5.0,11.0,0.0,
12/31/2017,307.0,71,60.0,-81.0,5.0,-86.0,257.0,35.0,41.0,47.0,134.0,0.0,-59.0,-50.0,1.0,1.0,0.0,-51.0,-51.0,0.0,0.0,0.0,0.0,-12.0,5.0,-17.0,0.0,3,-122,-33.0,-98.0,-98.0,0.0,0.0,8,8.0,0.0,1.0,5.0,131.0,-1.0,32.0,
03/31/2018,63.0,79,67.0,-40.0,9.0,-49.0,-43.0,-9.0,-40.0,6.0,0.0,0.0,-491.0,-61.0,0.0,0.0,0.0,-61.0,-61.0,0.0,0.0,0.0,0.0,-430.0,0.0,-430.0,0.0,0,302,-38.0,371.0,371.0,0.0,0.0,-30,3.0,-33.0,-1.0,9.0,-117.0,17.0,14.0,
06/30/2018,138.0,115,65.0,16.0,7.0,9.0,-58.0,-59.0,-47.0,48.0,0.0,0.0,-46.0,-50.0,0.0,0.0,0.0,-50.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,-50,-38.0,12.0,12.0,0.0,0.0,-24,1.0,-25.0,0.0,-18.0,24.0,34.0,32.0,
09/30/2018,187.0,130,63.0,33.0,7.0,26.0,-39.0,-8.0,-28.0,-3.0,0.0,0.0,-42.0,-60.0,0.0,0.0,0.0,-60.0,-60.0,0.0,0.0,0.0,0.0,19.0,22.0,-3.0,0.0,-1,-57,-38.0,-23.0,-23.0,0.0,0.0,3,3.0,0.0,1.0,-5.0,83.0,9.0,1.0,
12/31/2018,198.0,225,66.0,-72.0,7.0,-79.0,-21.0,-27.0,18.0,0.0,-12.0,0.0,-64.0,-66.0,0.0,0.0,0.0,-66.0,-66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-235,-38.0,-196.0,-77.0,1.0,-120.0,-1,0.0,-1.0,0.0,-7.0,-108.0,15.0,31.0,
03/31/2019,83.0,79,64.0,-25.0,9.0,-34.0,-35.0,7.0,-25.0,-17.0,0.0,0.0,-77.0,-69.0,0.0,0.0,0.0,-69.0,-69.0,0.0,0.0,0.0,0.0,-5.0,0.0,-5.0,0.0,-3,-29,-44.0,50.0,50.0,0.0,0.0,-35,4.0,-39.0,0.0,2.0,-21.0,18.0,13.0,
06/30/2019,123.0,139,63.0,-13.0,7.0,-20.0,-66.0,-75.0,15.0,-6.0,0.0,0.0,-69.0,-60.0,0.0,0.0,0.0,-60.0,-60.0,0.0,0.0,0.0,0.0,-15.0,-2.0,-13.0,0.0,6,54,-43.0,94.0,94.0,0.0,0.0,4,4.0,0.0,-1.0,0.0,108.0,56.0,32.0,
09/30/2019,245.0,65,65.0,119.0,7.0,112.0,-4.0,-5.0,8.0,-7.0,0.0,0.0,-39.0,-46.0,0.0,0.0,0.0,-46.0,-46.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5,-124,-44.0,-81.0,-81.0,0.0,0.0,2,2.0,0.0,-1.0,-12.0,70.0,20.0,1.0,
12/31/2019,392.0,118,65.0,45.0,6.0,39.0,164.0,50.0,49.0,59.0,6.0,0.0,-46.0,-51.0,0.0,0.0,0.0,-51.0,-51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-78,-43.0,-36.0,-36.0,0.0,0.0,2,3.0,-1.0,-1.0,7.0,275.0,13.0,31.0,
03/31/2020,-2.0,38,64.0,-5.0,8.0,-13.0,-99.0,23.0,-54.0,-68.0,0.0,0.0,-48.0,-51.0,0.0,0.0,0.0,-51.0,-51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,87,-48.0,190.0,190.0,0.0,0.0,-55,5.0,-60.0,0.0,-22.0,15.0,8.0,12.0,
06/30/2020,181.0,31,62.0,90.0,8.0,82.0,-2.0,25.0,-9.0,-18.0,0.0,0.0,-40.0,-44.0,0.0,0.0,0.0,-44.0,-44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,687,-47.0,734.0,-253.0,987.0,0.0,0,0.0,0.0,0.0,10.0,838.0,3.0,33.0,
