Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2018,5665.0,5665.0,-4692.0,4692.0,973.0,0.0,-691.0,608.0,,83.0,282.0,-134.0,55.0,,85.0,-6.0,148.0,-110.0,38.0,0.0,0.0,0.0,38.0,-25.0,13.0,0.0,0.0,13.0,176.333333,163.333333,412.0,0.03,0.03,0.427994,414.0,0.03,0.03,0.424525,
12/31/2018,6264.0,6264.0,-5028.0,5028.0,1236.0,0.0,-854.0,754.0,,100.0,382.0,93.0,59.0,,0.0,-152.0,475.0,-173.0,302.0,0.0,0.0,0.0,302.0,-171.0,131.0,0.0,0.0,131.0,74.666684,-56.333316,463.0,0.28,0.28,0.161267,463.0,0.28,0.28,0.15833,
03/31/2019,5615.0,5615.0,-4639.0,4639.0,976.0,0.0,-800.0,704.0,,96.0,176.0,-38.0,59.0,,,-21.0,138.0,-67.0,71.0,0.0,0.0,0.0,71.0,-39.0,32.0,0.0,0.0,32.0,119.0,87.0,515.0,0.06,0.06,0.231068,516.0,0.06,0.06,0.228605,
06/30/2019,5994.0,5994.0,-4932.0,4932.0,1062.0,0.0,-791.0,701.0,,90.0,271.0,-187.0,56.0,,0.0,131.0,84.0,-95.0,-11.0,0.0,0.0,0.0,-11.0,2.0,-9.0,0.0,0.0,-9.0,78.319149,87.319149,515.0,-0.02,-0.02,0.152076,515.0,-0.02,-0.02,0.149552,
09/30/2019,5882.0,5882.0,-4781.0,4781.0,1101.0,0.0,-804.0,679.0,,125.0,297.0,-73.0,59.0,,0.0,14.0,224.0,-107.0,117.0,0.0,0.0,0.0,117.0,-60.0,57.0,0.0,0.0,57.0,167.0,110.0,538.0,0.11,0.11,0.310409,541.0,0.11,0.11,0.310409,
12/31/2019,6347.0,6347.0,-5052.0,5052.0,1295.0,0.0,-964.0,748.0,,216.0,331.0,-24.0,63.0,,,-39.0,307.0,-212.0,95.0,0.0,0.0,0.0,95.0,-47.0,48.0,0.0,0.0,48.0,364.019928,316.019928,650.0,0.07,0.07,0.560031,653.0,0.07,0.07,0.553951,
03/31/2020,5425.0,5425.0,-4670.0,4670.0,755.0,0.0,-16814.0,675.0,,16139.0,-16059.0,-34.0,59.0,,0.0,-25.0,-16093.0,-5.0,-16098.0,0.0,0.0,0.0,-16098.0,5888.0,-10210.0,0.0,0.0,-10210.0,-81.192661,10128.807339,653.0,-15.64,-15.64,-0.124338,653.0,-15.64,-15.64,-0.12881,
06/30/2020,4736.0,4736.0,-4058.0,4058.0,678.0,0.0,-730.0,590.0,,140.0,-52.0,-324.0,69.0,,,255.0,-376.0,21.0,-355.0,0.0,0.0,0.0,-355.0,154.0,-201.0,0.0,0.0,-201.0,-65.767802,135.232198,655.0,-0.31,-0.31,-0.100409,655.0,-0.31,-0.31,-0.103539,
09/30/2020,4767.381,,,,871.14353013,,,,,,112.75,,,,,,44.521,,25.963,,,,,,25.963,,,25.963,25.963,,,0.033,0.033,0.03,,0.033,0.033,0.03,
12/31/2020,5133.143,,,,999.57693639,,,,,,222.5,,,,,,156.564,,71.1,,,,,,71.1,,,71.1,71.1,,,0.11,0.11,0.11,,0.11,0.11,0.11,
