Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2016,1331.632,72.075,72.075,0,2.58,2.58,0,0.736,1130.412,4.793,,3.003,0.0,1125.619,1205.803,66.99,94.389,-27.399,0.0,58.839,54.97,51.889,3.081,0.866,125.829,,31.28,5.694,6.582,,19.004,0.9,0,,,,0.9,1129.613,26.825,,1125.619,1161.793,24.65,24.65,,,,26.825,,,,,0.0,0.0,51.475,1213.268,0.0,73.168,0.571,72.597,0.0,45.196,,118.364,0.0,118.364,1331.632,
06/30/2016,1258.983,80.893,80.893,0,2.775,2.775,0,0.441,1038.45,4.136,,4.295,0.0,1034.314,1122.559,76.627,106.612,-29.985,0.0,59.797,54.566,51.889,2.677,0.936,136.424,,32.883,5.53,5.371,,21.982,0.911,0,,,,0.911,1038.703,29.322,,1034.314,1072.497,28.349,28.349,,,,29.322,,,,,0.0,0.0,57.671,1130.168,0.0,76.688,0.576,76.112,-3.49,55.617,,128.815,0.0,128.815,1258.983,
09/30/2016,820.995,74.496,74.496,0,1.479,1.479,0,0.355,601.348,3.991,,0.859,4.316,593.041,677.678,87.285,120.373,-33.088,0.0,56.032,54.163,51.889,2.274,1.01,143.317,,29.942,4.85,,,25.092,1.09,0,,,,1.09,597.862,32.064,,593.041,628.894,29.0,29.0,,,,32.064,,,,,0.0,0.0,61.064,689.958,0.0,91.997,0.584,91.413,-22.775,61.815,,131.037,0.0,131.037,820.995,
12/31/2016,1078.613,60.158,60.158,0,1.339,1.339,0,0.675,863.411,4.475,0.0,1.207,0.692,858.244,925.583,96.848,132.681,-35.833,0.0,56.182,53.76,51.889,1.871,1.215,153.03,,34.307,3.737,,0.0,30.57,1.113,0,0.0,0.0,,1.113,863.474,34.481,0.0,858.244,898.894,28.711,28.711,0.0,0.0,,34.481,0.0,0.0,0.0,0.0,0.0,0.0,63.192,962.086,0.0,96.037,0.585,95.452,-49.958,70.448,,116.527,0.0,116.527,1078.613,
03/31/2017,1218.552,92.915,92.915,0,1.847,1.847,0,0.499,956.393,5.413,,5.687,0.0,950.98,1051.654,106.485,145.887,-39.402,0.0,60.413,53.357,51.889,1.468,1.369,166.898,,47.712,3.134,16.577,,28.001,1.126,0,,,,1.126,956.591,36.555,,950.98,1005.429,30.389,30.389,,,,36.555,,,,,,0.0,66.944,1072.373,0.0,100.075,0.585,99.49,-49.958,96.062,,146.179,0.0,146.179,1218.552,
06/30/2017,1045.943,68.117,68.117,0,1.803,1.803,0,0.52,796.299,5.737,,7.967,3.547,787.015,866.739,116.957,160.663,-43.706,0.0,62.247,52.954,51.889,1.065,1.326,179.204,,34.258,3.439,,,30.819,1.139,0,,,,1.139,793.055,38.964,,787.015,828.452,33.479,33.479,,,,38.964,,,,,,0.0,72.443,900.895,0.0,114.882,0.595,114.287,-80.117,110.283,,145.048,0.0,145.048,1045.943,
09/30/2017,1069.936,66.61,66.61,0,1.444,1.444,0,0.75,807.686,5.705,,5.44,9.247,792.734,876.49,133.765,182.141,-48.376,0.0,59.681,52.9,51.889,1.011,1.341,193.446,,37.2,2.505,,,34.695,1.152,0,,,,1.152,799.26,41.841,,792.734,837.612,33.218,33.218,,,,41.841,,,,,0.0,0.0,75.059,912.671,0.0,130.369,0.599,129.77,-97.454,124.35,,157.265,0.0,157.265,1069.936,
12/31/2017,1550.138,46.077,46.077,0,1.576,1.576,0,0.979,1127.633,4.982,0.0,3.294,7.047,1115.604,1176.265,147.705,201.23,-53.525,0.0,54.303,52.847,51.889,0.958,170.027,202.008,,43.081,6.49,,0.0,36.591,0.888,0,0.0,0.0,,0.888,1096.183,44.642,0.554,1089.201,1140.152,34.414,34.414,0.0,0.0,,94.325,0.0,0.0,0.0,0.0,49.129,0.0,128.739,1268.891,0.0,162.41,0.601,161.809,-139.688,258.525,0.0,281.247,0.0,281.247,1550.138,
03/31/2018,1608.13,68.121,68.121,0,2.35,2.35,0,0.42,1134.128,7.001,0.155,,3.034,1124.08,1205.019,159.561,219.101,-59.54,0.0,54.97,52.794,51.889,0.905,190.601,214.531,,37.493,3.421,,,34.072,1.331,0,,,,1.331,1102.518,46.419,0.0,1095.16,1141.342,33.935,33.935,,,,99.82,,,,,53.401,0.0,133.755,1275.097,0.0,189.906,0.604,189.302,-156.558,299.685,,333.033,0.0,333.033,1608.13,
06/30/2018,1418.965,54.63,54.63,0,2.414,2.414,0,0.477,944.511,8.025,0.435,,5.602,930.827,1002.032,165.37,231.57,-66.2,0.0,54.785,52.741,51.889,0.852,198.387,220.155,,37.127,4.995,,,32.132,1.775,0,,,,1.775,908.154,49.322,0.0,900.287,947.056,33.486,33.486,,,,108.685,,,,,59.363,0.0,142.171,1089.227,0.0,193.894,0.606,193.288,-199.563,335.407,,329.738,0.0,329.738,1418.965,
09/30/2018,1468.186,85.048,85.048,0,2.213,2.213,0,0.574,949.699,7.934,0.679,0.0,6.456,935.212,1037.534,168.397,242.672,-74.275,0.0,54.933,52.687,51.889,0.798,208.889,223.33,,45.218,6.173,,,39.045,1.775,0,,,,1.775,911.156,52.405,0.0,902.747,958.149,33.049,33.049,,,,116.611,,,,,64.206,0.0,149.66,1107.809,0.0,198.861,0.606,198.255,-202.66,364.176,0.0,360.377,0.0,360.377,1468.186,
12/31/2018,1521.926,45.718,45.718,0,3.414,3.414,0,0.797,1014.693,7.658,0.0,70.206,3.962,1003.073,1064.622,176.962,259.931,-82.969,0.0,54.883,52.634,51.889,0.745,157.502,231.845,,50.14,6.288,,,43.852,1.775,0,0.0,0.0,,1.775,976.767,55.671,0.0,967.787,1028.682,32.614,32.614,0.0,0.0,,125.877,,,,,70.206,0.0,158.491,1187.173,0.0,204.287,0.607,203.68,-265.124,395.59,,334.753,0.0,334.753,1521.926,
03/31/2019,2062.828,91.307,91.307,0,3.835,3.835,0,0.91,1453.432,9.156,0.0,,0.0,1444.276,1549.484,212.411,304.658,-92.247,0.0,53.798,52.581,51.889,0.692,248.352,266.209,,58.098,4.081,3.526,,50.491,10.475,0,8.7,,8.7,1.775,1415.137,57.839,0.0,1405.465,1483.71,48.379,32.179,16.2,,16.2,132.186,,,,,73.928,0.419,180.565,1664.275,0.0,240.474,0.609,239.865,-284.793,442.872,,398.553,0.0,398.553,2062.828,
06/30/2019,1826.192,94.814,94.814,0,2.85,2.85,0,0.767,1230.423,11.264,,,10.615,1167.676,1287.986,221.871,324.392,-102.521,0.0,57.094,52.528,51.889,0.639,263.807,278.965,,53.313,3.622,,,49.691,11.075,0,9.3,,9.3,1.775,1136.89,59.922,,1126.808,1201.278,49.427,31.727,17.7,,17.7,140.725,,,,,79.642,1.161,190.152,1391.43,0.0,246.681,0.612,246.069,-303.553,491.634,0.0,434.762,0.0,434.762,1826.192,
09/30/2019,1592.027,108.127,108.127,0,2.609,2.609,0,0.7,901.539,12.724,,0.0,9.512,879.303,1012.975,249.335,362.772,-113.437,0.0,56.934,52.475,51.889,0.586,277.242,306.269,,60.551,4.693,,,55.858,11.375,0,9.6,,9.6,1.775,846.552,62.731,,835.918,918.478,48.493,31.293,17.2,,17.2,150.158,,,,,85.921,1.506,198.651,1117.129,0.0,251.465,0.612,250.853,-307.353,530.786,0.0,474.898,0.0,474.898,1592.027,
12/31/2019,2486.917,133.667,133.667,0,9.298,9.298,0,1.158,1726.977,13.561,,91.217,4.02,1709.396,1871.1,265.558,390.508,-124.95,0.0,58.125,52.421,51.889,0.532,206.621,323.683,,67.564,5.051,,,62.513,12.075,0,10.3,0.0,10.3,1.775,1673.883,65.139,,1662.778,1753.522,49.258,30.858,18.4,0.0,18.4,157.509,,,,,91.217,1.153,206.767,1960.289,0.0,258.114,0.613,257.501,-307.652,576.166,,526.628,0.0,526.628,2486.917,
03/31/2020,2309.725,181.827,181.827,0,8.059,8.059,0,0.93,1460.745,17.853,,,0.0,1442.892,1651.561,254.423,391.537,-137.114,0.0,86.973,52.368,51.889,0.479,351.373,341.396,,92.101,5.694,15.953,,70.454,1.775,0,,,,1.775,1404.039,66.795,,1392.379,1497.915,30.423,30.423,,,,181.599,,,,,92.609,22.195,212.022,1709.937,0.0,276.427,0.614,275.813,-315.82,639.181,,599.788,0.0,599.788,2309.725,
06/30/2020,1921.5,113.518,113.518,0,9.295,9.295,0,1.376,1115.869,24.987,,,4.324,1086.558,1240.058,266.831,416.966,-150.135,0.0,86.231,52.315,51.889,0.426,362.296,353.062,,69.668,3.667,,,66.001,1.775,0,,,,1.775,1045.808,68.614,,1033.535,1117.251,29.989,29.989,,,,188.407,,,,,98.536,21.257,218.396,1335.647,0.0,301.024,0.616,300.408,-382.941,667.77,0.0,585.853,0.0,585.853,1921.5,
