Date,Returns,Return on Common Equity,Return on Assets,Return on Invested Capital,Margins,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
03/31/2013,,25.592185,8.760553,13.43369,,55.412056,48.671579,62.709009,46.74027,33.390997,33.390997,33.390997,,28.560538,0.0,25.592185,
06/30/2013,,25.852262,9.332742,14.075297,,55.831285,49.384024,56.323269,47.686185,33.096089,33.096089,33.096089,,30.596065,0.0,25.852262,
09/30/2013,,25.029946,8.752323,13.518756,,56.699534,49.413724,66.515778,47.81479,34.918943,34.918943,34.918943,,26.970415,0.0,25.029946,
12/31/2013,,26.370582,8.551142,11.58771,,50.313306,41.506687,24.353302,39.168927,26.661344,26.661344,26.661344,,31.932412,0.0,26.370582,
03/31/2014,,25.110581,8.51577,12.914781,,54.038864,44.951715,32.996996,42.586685,29.581187,29.581187,29.581187,,30.538883,0.0,25.110581,
06/30/2014,,24.580782,8.543314,12.841307,,57.610548,49.171121,48.277697,46.783936,32.375997,32.375997,32.375997,,30.796764,0.0,24.580782,
09/30/2014,,23.953301,8.501463,13.118142,,57.087269,48.836879,46.985014,46.245128,32.344903,32.344903,32.344903,,30.057706,0.0,23.953301,
12/31/2014,,19.091847,5.919706,8.138582,,55.575436,45.825159,54.929206,37.245585,29.079074,29.079074,29.079074,,21.926117,0.0,19.091847,
03/31/2015,,18.703227,6.183516,9.701988,,50.711255,39.353047,30.59202,33.555841,22.623905,22.623905,22.623905,,32.57834,0.0,18.703227,
06/30/2015,,18.157573,6.203288,9.957993,,53.673089,41.806453,26.442568,35.909344,24.388725,24.388725,24.388725,,32.08251,0.0,18.157573,
09/30/2015,,18.54041,6.701124,10.946617,,52.30956,41.741511,28.329172,36.624488,25.863081,25.863081,25.863081,,29.383092,0.0,18.54041,
12/31/2015,,13.303616,4.415984,6.639448,,44.903519,33.940701,,19.904273,12.268899,12.268899,12.268899,,38.36048,0.0,13.303616,
03/31/2016,,13.15436,4.593791,7.669015,,51.004678,42.474328,,37.877479,26.816363,26.816363,26.816363,,29.202355,0.0,13.15436,
06/30/2016,,13.254166,4.713342,7.692356,,52.225984,40.958591,15.165414,38.848064,27.818045,27.818045,27.818045,,28.392712,0.0,13.254166,
09/30/2016,,13.345867,4.502904,7.303965,,50.945036,39.43946,7.879634,35.135191,26.757028,26.757028,26.757028,,23.845503,0.0,13.345867,
12/31/2016,,13.635414,4.603707,6.548766,,44.02829,32.390335,24.476005,20.249421,8.980237,8.980237,8.980237,,55.651882,0.0,13.635414,
03/31/2017,,13.138563,4.614504,7.458229,,49.64885,37.481866,18.002091,32.159375,23.767325,23.767325,23.767325,,26.095191,0.0,13.138563,
06/30/2017,,13.271529,4.68734,7.74322,,51.587197,39.916525,36.385528,35.176642,24.201413,24.201413,24.201413,,31.200332,0.0,13.271529,
09/30/2017,,15.244414,4.741963,6.739647,,51.938907,40.257183,44.496046,56.673306,35.097953,35.097953,35.097953,,38.069691,0.0,15.244414,
12/31/2017,,21.897565,7.067995,9.003323,,49.913359,39.34681,77.03971,34.152963,46.34429,46.34429,46.34429,,,0.0,21.897565,
03/31/2018,,21.893718,7.293592,10.206368,,56.416738,44.421349,99.92623,39.166354,29.878224,29.878224,29.878224,,23.714564,0.0,21.893718,
06/30/2018,,24.46629,7.757577,11.00017,,56.774618,45.263212,111.410807,39.518107,30.231886,30.231886,30.231886,,23.498648,0.0,24.46629,
09/30/2018,,22.657424,6.954678,11.133198,,55.95559,45.36739,116.169172,38.343023,25.451511,25.451511,25.451511,,33.621532,0.0,22.657424,
12/31/2018,,23.13004,7.206509,9.129805,,54.525335,44.253694,133.786007,61.711132,46.936536,46.936536,46.936536,,23.941541,0.0,23.13004,
03/31/2019,,21.799459,6.96893,9.857479,,57.254211,45.700318,66.31521,36.865838,27.677723,27.677723,27.677723,,24.923116,0.0,21.799459,
06/30/2019,,24.537103,7.616576,10.806041,,57.692545,45.946493,52.382102,39.756202,40.434775,40.434775,40.434775,,,0.0,24.537103,
09/30/2019,,25.770332,8.230769,11.759216,,59.024915,48.328605,78.180014,42.986251,33.155519,33.155519,33.155519,,22.869479,0.0,25.770332,
12/31/2019,,25.385675,7.633553,11.0809,,56.491162,45.901377,65.0174,42.719862,33.698155,33.698155,33.698155,,21.118297,0.0,25.385675,
03/31/2020,,27.501155,7.623426,11.9129,,40.986518,30.401623,,26.062748,22.244979,22.244979,22.244979,,14.648373,0.0,27.501155,
06/30/2020,,22.522316,6.785705,10.400822,,52.361248,40.524159,-69.296749,40.298888,30.179798,30.179798,30.179798,,25.110099,0.0,22.522316,
