Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2012,1624.0,1624.0,-1495.0,1495.0,129.0,0.0,-78.0,89.0,-11.0,51.0,21.0,13.0,17.0,-4.0,-38.0,4.0,72.0,-33.0,39.0,5.0,5.0,0.0,34.0,-19.0,15.0,0.0,0.0,15.0,15.45,-4.55,53.3,0.28,0.37,0.289869,53.8,0.28,0.37,0.285428,
12/31/2012,1823.0,1823.0,-1625.0,1625.0,198.0,0.0,-137.0,102.0,35.0,61.0,18.0,7.0,,,-43.0,18.0,79.0,-19.0,60.0,0.0,0.0,0.0,60.0,-21.0,39.0,0.0,0.0,39.0,48.95,-11.05,52.7,0.74,0.74,0.530361,53.0,0.74,0.74,0.530361,
03/31/2013,1856.0,1856.0,-1702.0,1702.0,154.0,0.0,-122.0,86.0,36.0,32.0,34.0,10.0,13.0,-3.0,-44.0,0.0,66.0,18.0,84.0,0.0,0.0,0.0,84.0,-15.0,69.0,0.0,0.0,69.0,92.4,23.4,51.6,1.34,1.34,1.790698,51.9,1.33,1.33,1.780867,
06/30/2013,1610.0,1610.0,-1447.0,1447.0,163.0,0.0,-79.0,77.0,2.0,84.0,37.0,8.0,10.0,-2.0,-42.0,-3.0,121.0,-39.0,82.0,-4.0,-4.0,0.0,86.0,-21.0,65.0,0.0,0.0,65.0,62.3,1.3,50.0,1.3,1.24,1.246,50.5,1.29,1.23,1.246,
09/30/2013,1484.0,1484.0,-1349.0,1349.0,135.0,0.0,-83.0,73.0,10.0,52.0,33.0,9.0,12.0,-3.0,-48.0,6.0,85.0,-23.0,62.0,2.0,2.0,0.0,60.0,-17.0,43.0,0.0,0.0,43.0,55.4,10.4,49.4,0.87,0.91,1.121457,50.4,0.85,0.89,1.096349,
12/31/2013,1691.0,1691.0,-1501.0,1501.0,190.0,0.0,-94.0,89.0,5.0,96.0,519.0,11.0,11.0,0.0,-79.0,-451.0,615.0,-58.0,557.0,12.0,12.0,0.0,545.0,-32.0,513.0,0.0,0.0,513.0,238.35,-286.65,48.6,10.56,10.802469,4.904321,49.7,10.32,10.561449,4.793843,
03/31/2014,1718.0,1718.0,-1539.0,1539.0,179.0,0.0,-87.0,81.0,6.0,92.0,-7.0,8.0,10.0,-2.0,-2.0,1.0,85.0,-31.0,54.0,6.0,6.0,0.0,48.0,-29.0,19.0,0.0,0.0,19.0,30.2,5.2,48.4,0.39,0.516529,0.623967,49.6,0.38,0.500968,0.605806,
06/30/2014,503.0,503.0,-446.0,446.0,57.0,0.0,-61.0,48.0,13.0,-4.0,-35.0,5.0,7.0,-2.0,-7.0,37.0,-39.0,2.0,-37.0,104.0,104.0,0.0,-141.0,-14.0,-155.0,0.0,0.0,-155.0,-22.4,28.6,46.2,-3.35,-1.103896,-0.484848,46.2,-3.35,-1.103896,-0.484848,
09/30/2014,793.0,793.0,-700.0,700.0,93.0,0.0,-78.0,70.0,8.0,15.0,-26.0,4.0,6.0,-2.0,2.0,20.0,-11.0,-10.0,-21.0,-5.0,-5.0,0.0,-16.0,-5.0,-21.0,0.0,0.0,-21.0,-11.05,14.95,44.0,-0.48,-0.59,-0.6375,44.0,-0.48,-0.59,-0.6375,
12/31/2014,2039.0,2039.0,-1806.0,1806.0,233.0,0.0,-138.0,105.0,33.0,95.0,-36.0,8.0,,,0.0,28.0,59.0,-30.0,29.0,143.0,143.0,0.0,-114.0,-24.0,-138.0,0.0,0.0,-138.0,26.45,21.45,44.3,-3.12,0.112867,0.597065,44.3,-3.12,0.107991,0.59219,
03/31/2015,816.0,816.0,-704.0,704.0,112.0,0.0,-61.0,58.0,3.0,51.0,-18.0,5.0,5.0,0.0,1.0,12.0,33.0,-9.0,24.0,-46.0,-46.0,0.0,70.0,-20.0,50.0,0.0,0.0,50.0,19.0,15.0,44.4,1.13,0.09009,0.427928,45.5,1.1,0.089011,0.418681,
06/30/2015,812.0,812.0,-713.0,713.0,99.0,0.0,-77.0,65.0,12.0,22.0,67.0,6.0,7.0,-1.0,-12.0,-61.0,89.0,-24.0,65.0,-2159.0,-2159.0,0.0,2224.0,-16.0,2208.0,0.0,0.0,2208.0,57.45,8.45,43.4,50.88,1.129032,1.323733,44.4,49.73,1.103874,1.294189,
09/30/2015,808.0,808.0,-703.0,703.0,105.0,0.0,-62.0,59.0,3.0,43.0,-12.0,2.0,3.0,-1.0,3.0,7.0,31.0,-10.0,21.0,11.0,11.0,0.0,10.0,-5.0,5.0,0.0,0.0,5.0,22.5,6.5,40.5,0.12,0.39,0.555556,41.4,0.12,0.38,0.537005,
12/31/2015,809.0,809.0,-695.0,695.0,114.0,0.0,-81.0,63.0,18.0,33.0,-117.0,1.0,4.0,-3.0,1.0,115.0,-84.0,16.0,-68.0,-92.0,-92.0,0.0,24.0,-3.0,21.0,0.0,0.0,21.0,8.95,79.95,40.6,0.52,-1.75,0.220443,40.6,0.52,-1.75,0.219212,
03/31/2016,802.0,802.0,-681.0,681.0,121.0,0.0,-66.0,56.0,10.0,55.0,-6.0,2.0,4.0,-2.0,,4.0,49.0,-13.0,36.0,13.0,13.0,0.0,23.0,-4.0,19.0,0.0,0.0,19.0,46.0,14.0,38.1,0.5,0.84,1.207349,38.5,0.49,0.83,1.193636,
06/30/2016,773.0,773.0,-664.0,664.0,109.0,0.0,-61.0,54.0,7.0,48.0,0.0,3.0,4.0,-1.0,-3.0,0.0,48.0,-9.0,39.0,9.0,9.0,0.0,30.0,-4.0,26.0,0.0,0.0,26.0,42.0,7.0,34.0,0.77,1.03,1.235294,34.4,0.76,1.02,1.223488,
09/30/2016,770.0,770.0,-665.0,665.0,105.0,0.0,-58.0,53.0,5.0,47.0,-17.0,5.0,6.0,-1.0,,12.0,30.0,-5.0,25.0,-7.0,-7.0,0.0,32.0,-4.0,28.0,0.0,0.0,28.0,27.0,6.0,34.0,0.83,0.62,0.794118,34.4,0.81,0.61,0.784419,
12/31/2016,816.0,816.0,-687.0,687.0,129.0,0.0,-84.0,57.0,27.0,45.0,-11.0,2.0,4.0,-2.0,1.0,8.0,34.0,-3.0,31.0,25.0,25.0,0.0,6.0,-4.0,2.0,0.0,0.0,2.0,61.65,34.65,33.1,0.06,0.82,1.862538,33.5,0.06,0.81,1.844328,
03/31/2017,810.0,810.0,-681.0,681.0,129.0,0.0,-53.0,52.0,1.0,76.0,-1.0,5.0,6.0,-1.0,-2.0,-2.0,75.0,-16.0,59.0,-8.0,-8.0,0.0,67.0,-4.0,63.0,0.0,0.0,63.0,57.0,2.0,32.5,1.94,1.69,1.753846,33.0,1.91,1.67,1.730606,
06/30/2017,774.0,774.0,-663.0,663.0,111.0,0.0,-57.0,54.0,3.0,54.0,4.0,4.0,5.0,-1.0,-3.0,-5.0,58.0,-10.0,48.0,0.0,0.0,0.0,48.0,-3.0,45.0,0.0,0.0,45.0,48.9,3.9,31.5,1.43,1.43,1.552381,32.0,1.41,1.41,1.531875,
09/30/2017,765.0,765.0,-651.0,651.0,114.0,0.0,-61.0,55.0,6.0,53.0,2.0,3.0,4.0,-1.0,-1.0,-4.0,55.0,-8.0,47.0,0.0,0.0,0.0,47.0,-4.0,43.0,0.0,0.0,43.0,46.9,3.9,31.2,1.38,1.38,1.503205,31.8,1.35,1.35,1.472642,
12/31/2017,797.0,797.0,-660.0,660.0,137.0,0.0,-69.0,65.0,4.0,68.0,-33.0,4.0,6.0,-2.0,-1.0,30.0,35.0,-14.0,21.0,-9.0,-9.0,0.0,30.0,-5.0,25.0,0.0,0.0,25.0,52.0,36.0,31.0,0.81,0.52,1.677419,31.7,0.79,0.51,1.645647,
03/31/2018,814.0,814.0,-685.0,685.0,129.0,0.0,-49.0,44.0,5.0,80.0,8.0,2.0,4.0,-2.0,-3.0,-7.0,88.0,-21.0,67.0,-2.0,-2.0,0.0,69.0,-4.0,65.0,0.0,0.0,65.0,64.0,1.0,30.373832,2.14,2.07,2.107077,30.8,2.11,2.05,2.082468,
06/30/2018,758.0,758.0,-654.0,654.0,104.0,0.0,-60.0,55.0,5.0,44.0,5.0,2.0,3.0,-1.0,-4.0,-3.0,49.0,-12.0,37.0,1.0,1.0,0.0,36.0,-1.0,35.0,0.0,0.0,35.0,39.95,3.95,29.6,1.19,1.22,1.349662,29.9,1.17,1.2,1.332107,
09/30/2018,681.0,681.0,-599.0,599.0,82.0,0.0,-58.0,40.0,18.0,24.0,8.0,2.0,4.0,-2.0,-3.0,-7.0,32.0,-9.0,23.0,-1.0,-1.0,0.0,24.0,-3.0,21.0,0.0,0.0,21.0,38.0,18.0,29.3,0.71,0.68,1.296928,29.5,0.71,0.68,1.290169,
12/31/2018,731.0,731.0,-635.0,635.0,96.0,0.0,-55.0,54.0,1.0,41.0,6.0,1.0,3.0,-2.0,-3.0,-4.0,47.0,-1.0,46.0,1.0,1.0,0.0,45.0,-2.0,43.0,0.0,0.0,43.0,44.0,0.0,28.7,1.5,1.53,1.53,28.9,1.49,1.52,1.52,
03/31/2019,737.0,737.0,-671.0,671.0,66.0,0.0,-58.0,57.0,1.0,8.0,3.0,2.0,3.0,-1.0,-3.0,-2.0,11.0,5.0,16.0,0.0,0.0,0.0,16.0,-2.0,14.0,0.0,0.0,14.0,15.0,1.0,28.0,0.5,0.5,0.535714,28.4,0.49,0.49,0.525211,
06/30/2019,733.0,733.0,-663.0,663.0,70.0,0.0,-58.0,58.0,0.0,12.0,4.0,2.0,3.0,-1.0,-3.0,-3.0,16.0,-8.0,8.0,0.0,0.0,0.0,8.0,-1.0,7.0,0.0,0.0,7.0,8.0,1.0,28.1,0.25,0.25,0.284698,28.2,0.25,0.25,0.284698,
09/30/2019,731.0,731.0,-647.0,647.0,84.0,0.0,-53.0,52.0,1.0,31.0,0.0,3.0,4.0,-1.0,-1.0,-2.0,31.0,-13.0,18.0,0.0,0.0,0.0,18.0,-4.0,14.0,0.0,0.0,14.0,15.0,1.0,28.0,0.5,0.5,0.535714,28.1,0.5,0.5,0.535587,
12/31/2019,744.0,744.0,-640.0,640.0,104.0,0.0,-56.0,54.0,2.0,48.0,0.0,2.0,3.0,-1.0,1.0,-3.0,48.0,-8.0,40.0,1.0,1.0,0.0,39.0,-4.0,35.0,0.0,0.0,35.0,40.0,4.0,28.0,1.24,1.28,1.428571,28.2,1.24,1.28,1.421844,
03/31/2020,643.0,643.0,-590.0,590.0,53.0,0.0,-87.0,54.0,33.0,-34.0,3.0,2.0,3.0,-1.0,-1.0,-4.0,-31.0,-5.0,-36.0,0.0,0.0,0.0,-36.0,1.0,-35.0,0.0,0.0,-35.0,-2.0,33.0,27.9,-1.25,-1.25,-0.071685,27.9,-1.25,-1.25,-0.071685,
06/30/2020,371.0,371.0,-367.0,367.0,4.0,0.0,-45.0,41.0,4.0,-41.0,1.0,3.0,5.0,-2.0,-1.0,-3.0,-40.0,-2.0,-42.0,0.0,0.0,0.0,-42.0,-3.0,-45.0,0.0,0.0,-45.0,-40.0,5.0,27.8,-1.62,-1.62,-1.438849,27.8,-1.62,-1.62,-1.440144,
09/30/2020,685.222,,,,69.4815108,,,,,36.6,,,,,,,22.467,,13.775,,,,,,13.775,,,13.775,14.35,,,0.393,0.393,0.41,,0.393,0.393,0.41,
12/31/2020,724.222,,,,92.9901048,,,,,50.3,,,,,,,44.45,,35.675,,,,,,35.675,,,35.675,32.117,,,1.268,1.268,1.079,,1.268,1.268,1.079,
