Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2011,561.381,188.196,188.196,0.0,73.284,73.284,0.0,109.273,38.963,36.929,33.381,0,29.047,,,4.267,4.419,17.179,399.8,141.902,,,0,19.679,7.736,,7.736,7.676,161.581,,73.171,14.884,7.555,,50.732,8.791,7.205,,,,1.586,8.866,,,4.661,0.0,90.828,16.758,16.758,,,,4.661,,,,,0.0,21.419,112.247,0,325.788,0.005,325.783,0.0,59.371,17.0,402.159,46.975,449.134,561.381,
09/30/2011,596.324,196.586,196.586,0.0,80.361,80.361,0.0,117.276,42.428,39.3,35.548,0,37.389,14.494,,4.763,,13.532,431.612,143.339,,,0,21.373,6.954,,6.954,9.656,164.712,,95.518,15.241,29.029,,51.248,9.277,7.731,,,,1.546,5.863,,,,0.0,110.658,61.947,61.947,,,,4.756,,,,,4.756,66.703,177.361,0,329.421,0.005,329.416,0.0,91.753,-2.447,418.727,0.236,418.963,596.324,
12/31/2011,608.132,205.685,180.234,25.451,75.755,75.755,0.0,116.978,41.107,40.38,35.491,0,36.039,,0.0,4.83,,25.14,434.457,155.202,262.276,-107.074,0,18.473,6.157,0.0,6.157,7.486,173.675,,79.637,11.122,21.23,0.0,47.285,8.67,7.057,0.0,0.0,,1.613,5.405,0.0,0.0,,0.0,93.712,61.849,61.849,0.0,0.0,,8.961,0.0,0.0,0.0,0.0,8.961,70.81,164.522,0,332.59,0.005,332.585,0.0,122.833,-12.1,443.323,0.287,443.61,608.132,
03/31/2012,834.905,395.522,377.071,18.451,88.426,88.426,0.0,123.43,42.38,45.614,35.436,0,40.3,,,5.321,,28.685,647.678,169.876,,,0,17.351,5.727,,5.727,6.303,187.227,,82.222,13.488,24.72,,44.014,11.227,9.652,,,,1.575,9.69,,,,0.0,103.139,15.132,15.132,,,,9.881,,,,,9.881,25.013,128.152,0,504.248,0.005,504.243,0.0,153.241,0.877,658.366,48.387,706.753,834.905,
06/30/2012,798.014,355.343,345.578,9.765,86.132,86.132,0.0,121.979,44.053,40.586,37.34,0,39.503,,,6.66,,28.462,602.957,177.441,,,0,17.616,4.946,,4.946,6.01,195.057,,90.616,13.2,31.191,,46.225,5.617,4.037,,,,1.58,7.545,,,,0.0,103.778,14.671,14.671,,,,9.834,,,,,9.834,24.505,128.283,0,499.956,0.005,499.951,0.0,190.983,-21.208,669.731,,669.731,798.014,
09/30/2012,878.385,372.569,372.569,0.0,110.649,110.649,0.0,135.121,48.744,43.002,43.375,0,42.767,,,4.419,,32.264,661.106,195.153,,,0,22.126,10.988,3.113,7.875,6.719,217.279,,107.628,14.291,37.604,,55.733,6.472,4.9,,,,1.572,7.181,,,,0.0,121.281,14.341,14.341,,,,13.191,,,,,13.191,27.532,148.813,0,506.859,0.005,506.854,0.0,233.418,-10.705,729.572,0.0,729.572,878.385,
12/31/2012,895.498,384.053,384.053,0.0,96.63,96.63,0.0,139.618,53.436,46.24,39.942,0,44.658,,0.0,2.107,0.0,31.71,664.959,210.563,337.25,-126.687,0,19.976,10.408,2.898,7.51,7.461,230.539,,111.677,17.783,42.443,0.0,51.451,3.947,2.442,0.0,0.0,,1.505,9.831,0.0,0.0,0.0,0.0,125.455,14.014,14.014,0.0,0.0,,13.102,0.0,0.0,0.0,0.0,13.102,27.116,152.571,0,511.044,0.005,511.039,0.0,234.977,-3.094,742.927,0.0,742.927,895.498,
03/31/2013,892.258,355.715,355.715,0.0,102.793,102.793,0.0,142.096,53.603,50.394,38.099,0,48.767,,,2.344,,37.662,649.371,218.995,,,0,23.892,14.67,3.258,11.412,6.878,242.887,,73.904,14.575,9.191,,50.138,11.331,9.802,,,,1.529,2.875,,,18.398,0.0,88.11,12.525,12.525,,,,18.398,,,,,0.0,30.923,119.033,0,515.76,0.005,515.755,0.0,270.104,-12.639,773.225,0.0,773.225,892.258,
06/30/2013,939.255,369.484,369.484,0.0,114.498,114.498,0.0,154.093,58.578,50.412,45.103,0,53.51,,,3.402,,42.088,691.585,225.195,,,0,22.475,11.411,0.455,10.956,7.662,247.67,,89.836,18.525,17.861,,53.45,3.155,1.822,,,,1.333,2.211,,,16.086,0.0,95.202,12.0,12.0,,,,16.086,,,,,0.0,28.086,123.288,0,521.049,0.005,521.044,0.0,311.824,-16.906,815.967,0.0,815.967,939.255,
09/30/2013,1009.796,398.355,398.355,0.0,120.64,120.64,0.0,171.268,56.738,60.391,54.139,0,58.945,,,6.1,,47.398,749.208,236.507,,,0,24.081,10.586,0.455,10.131,7.395,260.588,,100.877,14.293,27.031,,59.553,2.88,1.547,,,,1.333,2.05,,,16.635,0.0,105.807,11.667,11.667,,,,16.635,,,,,0.0,28.302,134.109,0,526.486,0.005,526.481,0.0,354.162,-4.961,875.687,0.0,875.687,1009.796,
12/31/2013,1061.216,448.776,448.776,0.0,103.803,103.803,0.0,172.7,54.539,64.927,53.234,0,61.064,,0.0,4.799,,46.832,786.343,252.245,403.728,-151.483,0,22.628,10.019,0.455,9.564,7.81,274.873,,93.341,18.787,15.218,0.0,59.336,4.629,3.296,0.0,0.0,,1.333,2.109,0.0,0.0,21.835,0.0,100.079,11.333,11.333,0.0,0.0,,21.835,0.0,0.0,0.0,0.0,0.0,33.168,133.247,0,538.913,0.005,538.908,0.0,390.757,-1.701,927.969,0.0,927.969,1061.216,
03/31/2014,1097.013,480.609,480.609,0.0,107.598,107.598,0.0,170.556,48.513,64.385,57.658,0,66.37,,,6.014,,51.095,825.133,249.361,,,0,22.519,9.473,0.455,9.018,7.032,271.88,,96.541,18.62,14.054,,63.867,3.633,2.3,,,,1.333,3.104,,,21.419,0.0,103.278,11.0,11.0,,,,21.419,,,,,0.0,32.419,135.697,0,544.356,0.005,544.351,0.0,431.288,-14.328,961.316,0.0,961.316,1097.013,
06/30/2014,1158.386,483.432,483.432,0.0,124.144,124.144,0.0,178.925,54.376,67.886,56.663,0,67.591,,,8.139,,52.34,854.092,268.122,,,0,36.172,8.927,0.455,8.472,19.106,304.294,,95.261,15.059,16.823,,63.379,14.724,2.724,,,,12.0,3.187,,,21.354,0.0,113.172,0.0,0.0,,,,21.354,,,,,0.0,21.354,134.526,0,551.89,0.005,551.885,0.0,479.571,-7.601,1023.86,0.0,1023.86,1158.386,
09/30/2014,1185.388,487.518,487.518,0.0,136.629,136.629,0.0,179.476,58.172,63.823,57.481,0,59.631,,,9.674,,44.404,863.254,271.286,,,0,50.848,10.302,0.455,9.847,30.872,322.134,,110.919,18.969,25.088,,66.862,13.943,2.276,,,,11.667,3.151,,,20.672,0.0,128.013,0.0,0.0,,,,20.672,,,,,0.0,20.672,148.685,0,556.406,0.005,556.401,0.0,534.771,-54.474,1036.703,0.0,1036.703,1185.388,
12/31/2014,1210.887,522.15,522.15,0.0,143.109,143.109,0.0,171.009,54.925,58.603,57.481,0,57.57,,0.0,5.438,,42.262,893.838,275.082,439.053,-163.971,0,41.967,9.682,0.455,9.227,26.847,317.049,,102.87,17.141,21.672,0.0,64.057,15.964,2.631,0.0,0.0,,13.333,3.241,0.0,0.0,22.584,0.0,122.075,19.667,19.667,0.0,0.0,,22.584,0.0,0.0,0.0,0.0,0.0,42.251,164.326,0,567.622,0.005,567.617,0.0,591.202,-112.263,1046.561,0.0,1046.561,1210.887,
03/31/2015,1249.26,541.474,541.474,0.0,149.781,149.781,0.0,174.14,54.004,52.016,68.12,0,65.633,,,5.868,,49.497,931.028,274.145,,,0,44.087,15.432,0.519,14.913,22.787,318.232,,103.731,15.916,25.606,,62.209,13.523,0.523,,,,13.0,5.876,,,26.444,0.0,123.13,19.167,19.167,,,,26.444,,,,,0.0,45.611,168.741,0,580.931,0.005,580.926,0.0,648.561,-150.539,1078.953,1.566,1080.519,1249.26,
06/30/2015,1334.541,571.508,571.508,0.0,169.828,169.828,0.0,190.848,66.618,46.387,77.843,0,70.186,,,7.495,,52.063,1002.37,288.553,,,0,43.618,14.529,0.516,14.013,21.594,332.171,,118.501,21.537,28.69,,68.274,3.6,1.6,,,,2.0,3.67,,,26.348,0.0,125.771,18.667,18.667,,,,26.348,,,,,0.0,45.015,170.786,0,591.723,0.005,591.718,0.0,709.86,-139.262,1162.321,1.434,1163.755,1334.541,
09/30/2015,1408.206,651.22,651.22,0.0,154.814,154.814,0.0,197.635,71.297,35.272,91.066,0,74.403,,,9.237,,55.792,1078.072,286.514,,,0,43.62,13.252,0.508,12.744,21.131,330.134,,142.859,20.862,45.084,,76.913,2.248,0.248,,,,2.0,3.743,,,25.303,0.0,148.85,18.167,18.167,,,,25.303,,,,,0.0,43.47,192.32,0,597.808,0.005,597.803,0.0,772.652,-155.802,1214.658,1.228,1215.886,1408.206,
12/31/2015,1453.429,689.116,582.532,106.584,150.479,150.479,0.0,203.738,70.394,43.259,90.085,0,59.256,,0.0,29.732,,59.256,1102.589,288.604,475.397,-186.793,0,62.236,12.409,0.505,11.904,20.095,350.84,,139.79,26.314,37.809,,75.667,2.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,33.307,0.0,141.79,17.667,17.667,0.0,0.0,,33.307,0.0,0.0,0.0,0.0,0.0,50.974,192.764,0,607.654,0.005,607.649,0.0,833.356,-181.482,1259.528,1.137,1260.665,1453.429,
03/31/2016,1550.1,739.965,613.692,126.273,146.505,146.505,0.0,226.907,81.922,39.648,105.337,0,84.262,,,11.889,,61.736,1197.639,309.206,,,0,43.255,11.568,0.502,11.066,19.798,352.461,,144.92,20.277,53.656,,70.987,2.0,0.0,,,,2.0,3.751,,,35.264,0.0,150.671,17.167,17.167,,,,35.264,,,,,0.0,52.431,203.102,0,616.161,0.005,616.156,0.0,882.682,-152.987,1345.856,1.142,1346.998,1550.1,
06/30/2016,1629.307,714.08,587.286,126.794,151.476,151.476,0.0,241.282,89.686,35.353,116.243,0,90.409,,,13.438,,65.932,1197.247,350.432,,,0,81.628,49.857,20.461,29.396,18.333,432.06,,127.636,20.414,26.688,,80.534,3.188,0.0,,,,3.188,4.152,,,31.939,0.0,134.976,39.229,39.229,,,,31.939,,,,,0.0,71.168,206.144,0,629.699,0.005,629.694,0.0,949.741,-156.451,1422.989,0.174,1423.163,1629.307,
09/30/2016,1727.298,772.528,645.558,126.97,162.725,162.725,0.0,242.37,99.251,29.316,113.803,0,98.875,,,15.371,,74.091,1276.498,367.474,,,0,83.326,48.514,20.142,28.372,19.441,450.8,,148.392,17.899,34.117,,96.376,3.188,0.0,,,,3.188,4.047,,,30.223,0.0,155.627,38.432,38.432,,,,30.223,,,,,0.0,68.655,224.282,0,635.783,0.005,635.778,-3.483,1018.976,-148.43,1502.846,0.17,1503.016,1727.298,
12/31/2016,1789.999,830.634,623.855,206.779,155.901,155.901,0.0,239.01,93.284,44.723,101.003,0,75.417,34.128,0.0,42.442,,41.212,1300.962,379.375,606.614,-227.239,0,109.662,48.617,19.828,28.789,18.603,489.037,,155.087,28.048,24.554,,102.485,3.188,0.0,0.0,0.0,,3.188,0.0,0.0,0.0,36.365,0.0,158.275,37.635,37.635,0.0,0.0,,36.365,0.0,0.0,0.0,0.0,0.0,74.0,232.275,0,650.979,0.005,650.974,-8.946,1094.108,-178.583,1557.558,0.166,1557.724,1789.999,
03/31/2017,1902.573,862.803,697.778,165.025,180.226,180.226,0.0,261.893,106.829,24.666,130.398,0,86.092,44.133,,47.048,,41.909,1391.014,395.858,,,0,115.701,47.723,19.831,27.892,20.93,511.559,,154.548,25.388,23.423,,105.737,3.188,0.0,,,,3.188,0.0,,,41.726,0.0,157.736,36.839,36.839,,,,41.726,,,,,0.0,78.565,236.301,0,668.008,0.005,668.003,-21.485,1171.198,-151.626,1666.095,0.177,1666.272,1902.573,
06/30/2017,2030.542,930.415,808.111,122.304,237.332,237.332,0.0,260.661,116.399,26.755,117.507,0,82.366,44.454,,47.843,,37.875,1510.774,389.853,,,0,129.915,61.022,28.728,32.294,21.05,519.768,,155.597,28.996,10.102,,116.499,1.188,0.0,,,,1.188,0.0,,,48.025,0.0,156.785,21.375,21.375,,,,48.025,,,,,0.0,69.4,226.185,0,681.268,0.005,681.263,-33.058,1275.314,-119.167,1804.357,0.0,1804.357,2030.542,
09/30/2017,2246.065,1045.922,880.267,165.655,226.756,226.756,0.0,282.495,131.92,35.097,115.478,0,87.366,40.639,,40.547,,46.72697,1642.539,441.494,,,0,162.032,100.812,51.143,49.669,20.673,603.526,,178.615,34.271,10.06,,134.284,3.576,0.0,,,,3.576,0.0,,,58.479,0.0,182.191,46.296,46.296,,,,58.479,,,,,0.0,104.775,286.966,0,693.342,0.005,693.337,-35.857,1390.911,-89.297,1959.099,0.0,1959.099,2246.065,
12/31/2017,2367.255,1116.157,909.9,206.257,237.278,237.278,0.0,307.712,145.261,43.646,118.805,0,92.863,44.944,0.0,26.976,,47.903,1754.01,460.206,743.925,-283.719,0,153.039,107.054,55.831,51.223,19.009,613.245,,195.299,35.109,15.773,,144.417,3.604,0.0,0.0,0.0,,3.604,0.0,0.0,0.0,100.652,0.0,198.903,45.378,45.378,0.0,0.0,,100.652,0.0,0.0,0.0,0.0,0.0,146.03,344.933,0,704.732,0.005,704.727,-48.933,1443.867,-77.344,2022.322,0.0,2022.322,2367.255,
03/31/2018,2498.007,1175.909,969.123,206.786,235.477,235.477,0.0,356.375,181.928,35.942,138.505,0,97.125,42.43,,24.94,,54.677,1864.886,483.907,,,0,149.214,104.989,55.705,49.284,19.285,633.121,,191.939,33.369,22.82,,135.75,3.621,0.0,,,,3.621,0.0,,,112.612,0.0,195.56,44.466,44.466,,,,112.612,,,,,0.0,157.078,352.638,0,714.26,0.005,714.255,-69.004,1550.807,-50.694,2145.369,0.0,2145.369,2498.007,
06/30/2018,2530.478,1125.762,816.792,308.97,242.128,242.128,0.0,376.019,227.876,35.411,112.732,0,92.126,40.215,,27.818,,51.893,1836.035,514.767,,,0,179.676,106.865,59.616,47.249,44.993,694.443,,206.642,42.989,29.339,,134.314,3.637,0.0,,,,3.637,0.0,,,104.491,0.0,210.279,43.551,43.551,,,,104.491,,,,,0.0,148.042,358.321,0,729.087,0.005,729.082,-99.997,1672.424,-129.357,2172.157,0.0,2172.157,2530.478,
09/30/2018,2562.099,1122.028,647.606,474.422,251.613,251.613,0.0,397.409,240.635,40.763,116.011,0,111.235,61.222,,19.995,,50.0,1882.285,529.163,,,0,150.651,102.613,56.769,45.844,28.043,679.814,,214.331,29.494,47.777,,137.06,3.654,0.0,,,,3.654,0.0,,,94.675,0.0,217.985,42.631,42.631,,,,94.675,,,,,0.0,137.306,355.291,0,738.29,0.005,738.285,-160.859,1772.941,-144.409,2205.963,0.845,2206.808,2562.099,
12/31/2018,2574.45,1044.79,544.358,500.432,255.509,255.509,0.0,403.579,233.594,66.498,103.487,0,101.546,43.782,0.0,19.165,,57.733,1805.424,543.068,878.575,-335.507,0,225.958,187.861,100.722,87.139,18.932,769.026,,242.103,36.302,51.161,,154.64,3.671,0.0,0.0,0.0,,3.671,0.0,0.0,0.0,80.734,0.0,245.774,41.707,41.707,0.0,0.0,,80.734,0.0,0.0,0.0,0.0,0.0,122.441,368.215,0,744.942,0.005,744.937,-224.998,1848.5,-162.896,2205.548,0.687,2206.235,2574.45,
03/31/2019,2628.736,1030.077,548.938,481.139,231.85,231.85,0.0,417.817,247.603,55.698,114.516,0,112.35,50.961,,17.438,,61.372,1792.094,595.046,,,0,241.596,203.629,110.349,93.28,20.529,836.642,,201.127,39.97,13.007,,148.15,8.689,0.0,5.001,0.0,5.001,3.688,0.0,,,,0.0,209.816,59.949,40.779,19.17,0.0,19.17,90.683,,,,,90.683,150.632,360.448,0,746.931,0.005,746.926,-224.998,1903.659,-157.751,2267.841,0.447,2268.288,2628.736,
06/30/2019,2737.416,1042.829,530.013,512.816,273.697,273.697,0.0,425.996,243.768,40.661,141.567,0,120.56,49.885,,20.833,,70.647,1863.082,628.06,,,0,246.274,200.774,110.868,89.906,24.667,874.334,,212.876,38.016,19.298,,155.562,9.352,0.0,5.647,0.0,5.647,3.705,0.0,,,,0.0,222.228,61.221,39.846,21.375,0.0,21.375,86.606,,,,,86.606,147.827,370.055,0,761.941,0.005,761.936,-227.282,1975.931,-143.943,2366.647,0.714,2367.361,2737.416,
09/30/2019,2730.904,1078.837,580.329,498.508,252.926,252.926,0.0,417.163,235.276,49.744,132.143,0,116.589,50.693,,23.415,,65.864,1865.515,622.442,,,0,242.947,195.515,109.954,85.561,24.017,865.389,,196.526,30.466,19.944,,146.116,9.037,0.0,5.315,0.0,5.315,3.722,0.0,,,,0.0,205.563,60.062,38.909,21.153,0.0,21.153,84.619,,,,,84.619,144.681,350.244,0,772.157,0.005,772.152,-250.919,2033.184,-174.311,2380.111,0.549,2380.66,2730.904,
12/31/2019,2730.436,1182.616,680.07,502.546,238.479,238.479,0.0,380.79,200.39,49.62,130.78,0,94.749,38.873,,31.395,,55.863,1896.634,623.88,1033.306,-409.426,0,209.922,156.363,82.092,74.271,22.164,833.802,,182.864,27.329,11.053,,144.482,9.04,0.0,5.3,0.0,5.3,3.74,0.0,,,,0.0,191.904,58.378,37.968,20.41,0.0,20.41,77.711,,,,,77.711,136.089,327.993,0,785.641,0.005,785.636,-265.73,2028.734,-146.919,2401.726,0.717,2402.443,2730.436,
