Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investment & Loan Inc (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1992,140.420003,113.938004,194.015007,165.139008,28.875999,-80.077003,26.481999,6.851,,,,14.016,5.615,-21.719999,118.700004,-84.155998,0.0,84.155998,34.543999,0.0,,0.0,34.543999,-13.532,21.011999,0.0,,,21.011999,0.0,21.011999,-0.9,,20.111999,20.111999,,70.440001,0.285,0.285,,70.440001,0.285,0.285,0.285,
12/31/1992,145.976002,113.342003,188.347,161.681,26.666,-75.004997,32.633999,-1.781,,,,13.837,20.577999,-21.424,124.552002,-89.114998,0.0,89.114998,35.437,0.0,,0.0,35.437,-13.812,21.625,0.0,,,21.625,0.0,21.625,-0.9,,20.725,20.725,,70.54,0.293,0.293,0.293,70.54,0.293,0.293,0.293,
03/31/1993,144.056,115.405001,183.441004,160.104004,23.337,-68.036003,28.650999,1.577,,,,15.228,11.846,-18.315001,125.741,-84.968002,0.0,84.968002,40.772999,0.0,,0.0,40.772999,-16.451,24.322001,0.0,,,24.321999,0.0,24.322001,-0.9,,23.422001,23.422001,,70.689998,0.331,0.331,,70.689998,0.331,0.331,0.331,
06/30/1993,150.032007,119.065008,188.127005,161.117004,27.01,-69.061996,30.966999,0.259,,,,16.254999,14.453,-20.215,129.817007,-87.758003,0.0,87.758003,42.058998,0.0,,0.0,42.058998,-16.874001,25.184999,0.0,,,25.184998,0.0,25.184999,-0.9,,24.284999,24.284999,,71.019993,0.342,0.342,,71.019993,0.342,0.342,0.342,
09/30/1993,148.370003,117.626003,183.640003,157.218002,26.422001,-66.014,30.743999,0.908,,,,16.618999,13.217,-19.715,128.655003,-83.445,0.0,83.445,45.209999,0.0,,0.0,45.209999,-19.358,25.851999,0.0,,,25.851999,0.0,25.851999,-0.9,,24.951999,24.951999,,70.970001,0.352,0.352,,70.970001,0.352,0.352,0.352,
12/31/1993,138.841999,118.659999,185.421001,157.177002,28.243999,-66.761002,20.182,0.828,,,,15.986,3.368,-21.712999,117.129,-71.648003,0.0,71.648003,45.480999,0.0,,0.0,45.480999,-18.848,26.632999,0.0,,,26.632999,0.0,26.632999,-0.9,,25.732999,25.732999,,70.97,0.362,0.362,0.362,70.97,0.362,0.362,0.362,
03/31/1994,146.370002,117.921001,177.170002,150.080002,27.09,-59.249001,28.449001,-0.208,,,,16.224001,12.433,-19.862,126.508002,-79.214996,0.0,79.214996,47.292999,0.0,,0.0,47.292999,-19.665001,27.628,0.0,,,27.627998,0.0,27.628,-0.9,,26.728,26.728,,70.830002,0.377,0.377,,70.830002,0.377,0.377,0.377,
06/30/1994,145.271004,115.893003,180.170004,154.033005,26.136999,-64.277,29.378001,0.093,,,,16.752001,12.533,-14.022,131.249004,-82.014999,0.0,82.014999,49.234001,0.0,,0.0,49.234001,-20.552999,28.681,0.0,,,28.681002,0.0,28.681,0.0,,28.681,28.681,,70.139999,0.396,0.396,,70.139999,0.396,0.396,0.396,
09/30/1994,144.418005,117.157005,189.550003,153.214005,36.335999,-72.392998,27.261,0.719,,,,16.063,10.479,-13.802,130.616005,-80.584,0.0,80.584,50.032001,0.0,,0.0,50.032001,-20.934,29.098,0.0,,,29.098001,0.0,29.098,0.0,,29.098,29.098,,68.990002,0.409,0.409,,68.990002,0.409,0.409,0.409,
12/31/1994,155.819994,117.168994,200.455997,182.712997,17.743,-83.287003,38.651,1.026,,,,17.256001,20.368999,-12.85,142.969994,-95.047997,0.0,95.047997,47.922001,0.0,,0.0,47.922001,-16.034,31.888,0.0,,,31.888001,0.0,31.888,-2.7,,29.188,29.188,,68.17,0.428,0.428,0.428,68.17,0.428,0.428,0.428,
03/31/1995,144.908992,118.506992,215.085995,186.509995,28.576,-96.579002,26.402,0.693,,,,17.229,8.48,-8.5,136.408992,-89.494003,0.0,89.494003,46.915001,0.0,,0.0,46.915001,-19.747,27.167999,0.0,,,27.168001,0.0,27.167999,-0.9,,26.267999,26.267999,,68.200002,0.385,0.385,,68.200002,0.385,0.385,0.385,
06/30/1995,152.985001,119.097,231.193001,200.763,30.43,-112.096001,33.888001,0.313,,,,17.836,15.739,-8.515,144.470001,-90.268997,0.0,90.268997,54.201,0.0,,0.0,54.201,-22.747,31.454,0.0,,,31.454,0.0,31.454,-0.9,,30.554,30.554,,67.680001,0.451,0.451,,67.680001,0.451,0.451,0.451,
09/30/1995,168.263002,123.865002,240.194004,206.203003,33.991001,-116.329002,44.398001,4.354,,,,18.997,21.047001,-11.31,156.953002,-97.632004,0.0,97.632004,59.320999,0.0,,0.0,59.320999,-23.694,35.626999,0.0,,,35.626999,0.0,35.626999,-0.9,,34.726999,34.726999,,67.63,0.514,0.514,,67.63,0.514,0.514,0.514,
12/31/1995,169.805002,124.955002,241.681,213.126999,28.554001,-116.725998,44.85,0.27,,,,20.379999,24.200001,-12.025,157.780002,-97.043999,0.0,97.043999,60.736,0.0,,0.0,60.736,-23.948999,36.786999,0.0,,,36.787001,0.0,36.786999,-0.9,,35.886999,35.886999,,67.7,0.529,0.529,0.529,67.7,0.529,0.529,0.529,
03/31/1996,165.843,129.592001,243.776999,215.639999,28.136999,-114.184998,36.250999,-0.386,,,,19.132999,17.504,-9.675,156.168,-96.317001,0.0,96.317001,59.851002,0.0,,0.0,59.851002,-23.698,36.153,0.0,,,36.153002,0.0,36.153,-0.9,,35.253,35.253,,63.990002,0.551,0.551,0.551,72.690001,0.497,0.497,0.497,
06/30/1996,174.070004,132.607004,247.603006,218.087006,29.516001,-114.996002,41.463,0.967,,,,21.421,19.075001,-11.7,162.370005,-97.920998,0.0,97.920998,64.448997,0.0,,0.0,64.448997,-25.790001,38.659,0.0,,,38.658997,0.0,38.659,0.0,,38.659,38.659,,68.319998,0.566,0.566,0.566,72.119999,0.536,0.536,0.536,
09/30/1996,177.093995,132.200994,250.084997,222.449997,27.635,-117.884003,44.893,0.994,,,,21.985001,21.914,-10.475,166.618994,-100.657997,0.0,100.657997,65.960999,-7.0,,7.0,58.960999,-23.09,35.870998,0.0,,,35.870998,0.0,35.870998,0.0,,35.870998,35.870998,,67.220001,0.534,0.534,0.5946,71.040001,0.505,0.505,0.5627,
12/31/1996,184.265002,136.624001,255.967003,231.203003,24.764,-119.343002,47.641001,0.809,,,,24.058001,22.774,-11.475,172.790002,-107.082001,0.0,107.082001,65.708,0.0,,0.0,65.708,-25.288,40.419998,0.0,,,40.42,0.0,40.419998,0.0,,40.419998,40.419998,,67.0,0.603,0.603,0.603,70.98,0.57,0.57,0.57,
03/31/1997,182.367995,136.444996,255.765995,230.688995,25.077,-119.320999,45.923,1.304,,,,22.518999,22.1,-11.0,171.367995,-104.283997,0.0,104.283997,67.084,0.0,,0.0,67.084,-25.825001,41.258999,0.0,,,41.258999,0.0,41.258999,0.0,,41.258999,41.258999,,66.849999,0.617,0.617,0.617,70.999999,0.581,0.581,0.581,
06/30/1997,182.189992,138.206991,263.940992,236.901993,27.039,-125.734001,43.983001,0.408,,,,22.193001,21.382,-11.0,171.189992,-102.07,0.0,102.07,69.120003,0.0,,0.0,69.120003,-26.329,42.791,0.0,,,42.791002,0.0,42.791,0.0,,42.791,42.791,,66.269999,0.646,0.646,0.646,69.28,0.617,0.617,0.617,
09/30/1997,190.114989,139.932989,269.700994,242.149994,27.551001,-129.768005,50.182,1.38,,,,23.021999,25.780001,-12.0,178.114989,-104.706001,0.0,104.706001,73.408997,0.0,,0.0,73.408997,-27.518,45.890999,0.0,,,45.890997,0.0,45.890999,0.0,,45.890999,45.890999,,65.92,0.696,0.696,0.696,69.27,0.662,0.662,0.662,
12/31/1997,195.261991,142.282992,275.552996,248.158997,27.393999,-133.270004,52.978999,0.318,,,,25.726,26.934999,-12.0,183.261991,-110.716003,0.0,110.716003,72.545998,0.0,,0.0,72.545998,-26.246,46.299999,0.0,,,46.299998,0.0,46.299999,0.0,,46.299999,46.299999,,65.99,0.701,0.701,0.701,69.55,0.666,0.666,0.666,
03/31/1998,212.072991,141.676991,276.261997,250.921997,25.34,-134.585007,70.396001,1.779,,,,38.827,29.790001,-12.0,200.072991,-132.173004,0.0,132.173004,67.900002,-1.7,,1.7,66.200001,-17.245001,48.955002,0.0,,,48.955001,0.0,48.955002,0.0,,48.955002,48.955002,,66.659999,0.734,0.734,0.748,69.809999,0.701,0.701,0.715,
06/30/1998,243.490002,177.080002,361.723999,316.917999,44.806,-184.643997,66.41,0.828,,,,46.914001,18.667999,-13.2,230.290002,-138.304001,0.0,138.304001,91.986,-16.700001,,16.700001,75.285999,-30.587,44.699001,0.0,,,44.698999,0.0,44.699001,0.0,,44.699001,44.699001,,80.51,0.555,0.555,0.695,84.09,0.532,0.532,0.666,
09/30/1998,239.15998,172.59198,357.441986,316.635986,40.806,-184.850006,66.568,0.228,,,,44.021,22.319,-10.5,228.65998,-135.490005,0.0,135.490005,93.169998,-3.0,,3.0,90.169998,-33.693001,56.477001,0.0,,,56.476997,0.0,56.477001,0.0,,56.477001,56.477001,,79.660001,0.709,0.709,0.731,82.880001,0.681,0.681,0.702,
12/31/1998,240.163002,172.942001,356.365997,319.602997,36.763,-183.423996,67.221001,2.889,,,,43.888,20.444,-7.5,232.663002,-138.755997,0.0,138.755997,93.906998,0.0,,0.0,93.906998,-36.063999,57.842999,0.0,,,57.842999,0.0,57.842999,0.0,,57.842999,57.842999,,77.779999,0.744,0.744,0.744,81.049995,0.714,0.714,0.714,
03/31/1999,254.023,181.307,356.545,318.803,37.742,-175.238,72.716,1.389,,,,49.368,21.959,-8.5,245.523,-139.466,0.0,139.466,106.057,0.0,,0.0,106.057,-39.151,66.906,0.0,,,66.906,0.0,66.906,0.0,,66.906,66.906,,77.31,0.865,0.865,0.865,80.23,0.834,0.834,0.834,
06/30/1999,254.857,188.051,359.32,327.272,32.048,-171.269,66.806,-3.242,,,,47.406,22.642,-8.5,246.357,-143.047,0.0,143.047,103.31,-2.5,,2.5,100.81,-35.772,65.038,0.0,,,65.038,0.0,65.038,0.0,,65.038,65.038,,77.93,0.835,0.835,0.856,81.32,0.8,0.8,0.821,
09/30/1999,265.595,193.096,373.057,341.943,31.114,-179.961,72.499,2.097,,,,49.294,21.108,-13.5,252.095,-142.698,0.0,142.698,109.397,-2.2,,2.2,107.197,-39.633,67.564,0.0,,,67.564,0.0,67.564,0.0,,67.564,67.564,,78.8,0.857,0.857,0.874,81.47,0.829,0.829,0.845,
12/31/1999,267.297,196.943,389.709,359.822,29.887,-192.766,70.354,1.646,,,,47.629,21.079,-14.0,253.297,-149.047,0.0,149.047,104.25,0.0,,0.0,104.25,-38.132,66.118,0.0,,,66.118,0.0,66.118,0.0,,66.118,66.118,,77.95,0.848,0.848,0.848,80.58,0.82,0.82,0.82,
03/31/2000,267.125,195.127,398.858,368.4,30.458,-203.731,71.998,0.294,,,,54.407,17.297,-9.0,258.125,-150.597,0.0,150.597,107.528,0.0,,0.0,107.528,-39.293,68.235,0.0,,,68.235,0.0,68.235,0.0,0.0,68.235,68.235,,77.11,0.885,0.885,0.885,79.22,0.861,0.861,0.861,
06/30/2000,272.139,198.757,407.46,365.282,42.178,-208.703,73.382,0.245,,,,53.741,19.396,-6.0,266.139,-155.713,0.0,155.713,110.426,0.0,,0.0,110.426,-38.888,71.538,0.0,,,71.538,0.0,71.538,0.0,0.0,71.538,71.538,,76.63,0.933,0.933,0.933,78.88,0.907,0.907,0.907,
09/30/2000,278.772007,202.258007,421.880001,374.013,47.867001,-219.621994,76.514,1.062,,,,54.791,20.660999,-9.0,269.772007,-150.358994,0.0,150.358994,119.413002,-3.6,,3.6,115.813002,-41.396999,74.416,0.0,,,74.416003,0.0,74.416,0.0,0.0,74.416,74.416,,76.750002,0.97,0.97,1.0,79.419999,0.94,0.94,0.97,
12/31/2000,360.823,258.045,544.586,486.214,58.372,-286.541,102.778,-2.328,,,,70.733,34.373,-14.0,346.823,-211.784,0.0,211.784,135.039,-22.4,,22.4,112.639,-40.672,71.967,0.0,,,71.967,0.0,71.967,0.0,0.0,71.967,71.967,14.3,91.987,0.78,0.78,0.93,95.088,0.76,0.76,0.91,
03/31/2001,383.708017,271.981018,548.578003,491.436005,57.141998,-276.596985,111.726999,0.881,,,,84.030998,26.815001,-18.5,365.208017,-226.800995,0.0,226.800995,138.406998,-8.0,,8.0,130.406998,-46.741001,83.666,0.0,,,83.665997,0.0,83.666,0.0,0.0,83.666,83.666,,95.427002,0.88,0.88,0.93,98.605003,0.85,0.85,0.9,
06/30/2001,404.984,287.148,539.625,484.23,55.395,-252.477,117.836,3.116,,,,87.129,27.591,-24.0,380.984,-233.012,0.0,233.012,147.972,0.0,,0.0,147.972,-53.164,94.808,0.0,,,94.808,0.0,94.808,0.0,0.0,94.808,94.808,,97.125,0.98,0.98,0.98,100.722,0.94,0.94,0.94,
09/30/2001,414.461995,294.294998,521.968994,472.606995,49.362,-227.673996,120.166997,0.467,,,,86.866997,32.833,-28.0,386.461995,-236.194,0.0,236.194,150.268005,0.0,,0.0,150.268005,-52.401001,97.866997,0.0,,,97.867004,0.0,97.866997,0.0,0.0,97.866997,97.866997,,96.114998,1.02,1.02,1.02,99.597,0.98,0.98,0.98,
12/31/2001,432.56,304.864,491.713,446.46,45.253,-186.849,127.696,1.871,,,,92.718,33.107,-33.0,399.56,-244.311,0.0,244.311,155.249,0.0,,0.0,155.249,-53.515,101.734,0.0,,,101.734,0.0,101.734,0.0,0.0,101.734,101.734,,94.269,1.08,1.08,1.08,97.179,1.05,1.05,1.05,
03/31/2002,425.288,301.06,461.187,421.031,40.156,-160.127,124.057,1.043,1.043,,,94.161,28.853,-24.0,401.288,-233.284,,233.284,168.004,0.0,,0.0,168.004,-54.427,113.577,,,,113.577,,113.577,0.0,0.0,113.577,113.577,,93.265,1.22,1.22,1.22,96.3,1.18,1.18,1.18,
06/30/2002,430.655,309.476,461.425,421.344,40.081,-151.949,121.349,0.386,0.386,,,91.488,29.475,-28.0,402.655,-233.267,,233.267,169.388,,,,169.388,-54.881,114.507,,,,114.507,,114.507,,,114.507,114.507,,92.608,1.23,1.23,1.23,95.917,1.19,1.19,1.19,
09/30/2002,443.537,315.191,461.271,421.906,39.365,-146.08,129.006,0.287,0.287,,,98.895,29.824,-37.0,406.537,-243.971,,243.971,162.566,,,,162.566,-52.449,110.117,,,,110.117,,110.117,,,110.117,110.117,,92.017,1.2,1.2,1.2,94.942,1.16,1.16,1.16,
12/31/2002,460.036,321.858,458.216,410.864,47.352,-136.358,138.178,1.195,,,,102.686,34.297,-33.0,427.036,-251.089,0.0,251.089,175.947,0.0,,0.0,175.947,-57.396,118.551,0.0,,,118.551,0.0,118.551,0.0,0.0,118.551,118.551,,92.042,1.29,1.29,1.29,94.929,1.25,1.25,1.25,
03/31/2003,448.814,315.967,435.559,389.171,46.388,-119.592,132.614,0.641,0.641,,,102.06,29.913,-33.0,415.814,-236.833,0.0,236.833,178.981,-5.445,,5.445,173.536,-56.998,116.538,0.0,,,116.538,0.0,116.538,0.0,0.0,116.538,116.538,,92.399,1.26,1.26,1.3,95.062,1.23,1.23,1.27,
06/30/2003,663.787,430.89,576.396,516.683,59.713,-145.506,232.897,5.939,,,,177.798,49.16,-36.0,627.787,-397.989,0.0,397.989,229.798,-33.158,,33.158,196.64,-62.6,134.04,0.0,,,134.04,0.0,134.04,0.0,0.0,134.04,134.04,,119.393,1.12,1.12,1.29,122.366,1.1,1.1,1.27,
09/30/2003,662.192,430.598,564.137,504.186,59.951,-133.539,231.594,4.724,,,,175.343,51.527,-34.0,628.192,-377.149,0.0,377.149,251.043,-19.251,,19.251,231.792,-75.329,156.463,0.0,,,156.463,0.0,156.463,0.0,0.0,156.463,156.463,,119.727,1.31,1.31,1.41,122.593,1.28,1.28,1.38,
12/31/2003,655.057,421.3,550.473,489.683,60.79,-129.173,233.757,6.939,,,,169.457,57.361,-28.0,627.057,-375.822,0.0,375.822,251.235,-2.533,,2.533,248.702,-81.801,166.901,0.0,,,166.901,0.0,166.901,0.0,0.0,166.901,166.901,,120.141,1.39,1.39,1.4,123.328,1.35,1.35,1.36,
03/31/2004,647.454004,419.303001,546.132004,471.682007,74.449997,-126.829002,228.151003,7.635,,,,164.022003,56.493999,-20.0,627.454004,-389.96701,0.0,389.96701,237.487,0.0,,0.0,237.487,-77.997002,159.490005,0.0,,,159.489998,0.0,159.490005,0.0,0.0,159.490005,159.490005,,119.737999,1.33,1.33,1.33,122.316002,1.3,1.3,1.3,
06/30/2004,666.130011,433.796005,560.601006,480.574005,80.027,-126.805,232.334006,3.844,,,,169.059006,59.431,-30.0,636.130011,-357.207001,0.0,357.207001,278.923004,0.0,,0.0,278.923004,-94.538002,184.384995,0.0,,,184.385002,0.0,184.384995,0.0,0.0,184.384995,184.384995,,118.223999,1.56,1.56,1.56,120.654999,1.53,1.53,1.53,
09/30/2004,681.205981,439.280991,583.051987,499.575989,83.475998,-143.770996,241.924991,3.325,,,,172.985992,65.613998,-17.0,664.205981,-381.921997,0.0,381.921997,282.283997,-22.0,,22.0,260.283997,-73.843002,186.440994,0.0,,,186.440994,0.0,186.440994,0.0,0.0,186.440994,186.440994,,116.897003,1.59,1.59,1.59,119.665001,1.56,1.56,1.56,
12/31/2004,682.751,442.192,608.947,522.836,86.111,-166.755,240.559,7.505,,,,174.623,58.431,-28.0,654.751,-364.922,0.0,364.922,289.829,0.0,,0.0,289.829,-97.624,192.205,0.0,,,192.205,0.0,192.205,0.0,0.0,192.205,192.205,0.0,115.925,1.658012,1.658012,1.658012,118.988,1.615331,1.615331,1.615331,
03/31/2005,676.313,442.055,638.321,548.886,89.435,-196.266,234.258,5.085,,,,169.483,59.69,-24.0,652.313,-367.337,0.0,367.337,284.976,0.0,,0.0,284.976,-95.686,189.29,0.0,,,189.29,0.0,189.29,0.0,0.0,189.29,189.29,,114.773,1.65,1.65,1.65,117.184,1.62,1.62,1.62,
06/30/2005,692.864,447.502,676.518,583.656,92.862,-229.016,245.362,5.987,,,,171.167,68.208,-19.0,673.864,-380.441,0.0,380.441,293.423,0.0,,0.0,293.423,-96.589,196.834,0.0,,,196.834,0.0,196.834,0.0,0.0,196.834,196.834,,113.949,1.73,1.73,1.73,116.422,1.69,1.69,1.69,
09/30/2005,705.672,455.178,720.754,628.396,92.358,-265.576,250.494,7.331,,,,177.656,65.507,-22.0,683.672,-368.25,0.0,368.25,315.422,-29.0,,29.0,286.422,-95.348,191.074,0.0,,,191.074,0.0,191.074,0.0,0.0,191.074,191.074,,113.53,1.68,1.68,1.84,116.2,1.64,1.64,1.8,
12/31/2005,698.212,449.608,753.101,660.699,92.402,-303.493,248.988,5.705,5.705,,,177.977,65.306,-23.0,675.212,-369.114,0.0,369.114,306.098,0.0,,0.0,306.098,-101.113,204.985,0.0,,,204.985,0.0,204.985,0.0,0.0,204.985,204.985,,115.147,1.82,1.82,1.82,115.147,1.78,1.78,1.78,
03/31/2006,699.957,447.026,777.272,681.167,96.105,-330.246,252.873,6.506,6.506,,,171.907,74.46,-18.0,681.957,-382.003,,382.003,299.954,0.0,,0.0,299.954,-97.037,202.917,,,,202.917,,202.917,,0.0,202.917,202.917,,111.693,1.82,1.82,1.82,114.347,1.77,1.77,1.77,
06/30/2006,709.215,446.613,812.911,714.332,98.579,-366.298,262.602,6.404,,,,186.352,69.846,-17.0,692.215,-373.155,,373.155,319.06,-3.842,,3.842,315.218,-102.645,212.573,,,,212.573,,212.573,,,212.573,212.573,2.344,111.259,1.91,1.91,1.93,113.968,1.87,1.87,1.89,
09/30/2006,731.086,457.184,852.836,758.151,94.685,-395.652,273.902,6.215,,,,187.138,80.549,-17.0,714.086,-407.786,,407.786,306.3,-1.155,,1.155,305.145,-94.775,210.37,,,,210.37,,210.37,,,210.37,210.37,0.704,111.047,1.89,1.89,1.9,113.897,1.85,1.85,1.86,
12/31/2006,723.135,466.718,871.074,779.73,91.344,-404.356,266.528,18.255,18.255,,,179.81,68.463,-28.0,695.135,-383.807,,383.807,311.328,620.36,,-620.36,931.688,-97.996,213.329,0.0,,,833.692,0.0,213.329,0.0,0.0,213.329,213.329,-3.048,110.693,1.927213,1.927213,1.899677,113.46,1.880213,1.880213,1.853349,
03/31/2007,686.91,450.427,861.049,772.988,88.061,-410.622,235.42,6.223,6.223,,,160.645,68.552,-27.0,659.91,-399.037,,399.037,260.873,0.0,,0.0,260.873,-84.9,175.973,,,,175.973,,175.973,0.0,0.0,175.973,175.973,,109.694,1.6,1.6,1.6,112.187,1.57,1.57,1.57,
06/30/2007,736.901,461.912,878.176,793.222,84.954,-416.264,274.729,6.963,6.963,,,194.376,73.39,-30.0,706.901,-392.651,0.0,392.651,314.25,16.256,-8.128,-8.128,322.378,-108.209,214.169,0.0,,,214.169,0.0,214.169,0.0,0.0,214.169,214.169,,107.939,1.98,1.98,1.98,109.919,1.95,1.95,1.95,
09/30/2007,731.881,467.688,893.014,802.065,90.949,-425.326,264.331,7.279,7.279,,,189.191,67.861,-34.0,697.881,-390.528,0.0,390.528,307.353,-22.588,11.294,11.294,296.059,-96.872,199.187,0.0,,,199.187,0.0,199.187,0.0,0.0,199.187,199.187,,107.056,1.86,1.86,1.86,108.957,1.83,1.83,1.83,
12/31/2007,616.171,470.21,912.574,811.827,100.747,-442.364,273.242,9.806,9.806,,,189.312,74.124,-101.0,515.171,-436.403,0.0,436.403,78.768,29.058,-14.529,-14.529,84.227,-19.297,64.93,0.0,,,64.93,0.0,64.93,0.0,0.0,64.93,64.93,,109.034,0.6,0.6,0.68,109.034,0.6,0.6,0.68,
03/31/2008,792.773,478.85,884.162,769.391,114.771,-405.312,280.476,4.713,4.713,,,199.301,76.462,-60.0,732.773,-470.157,0.0,470.157,262.616,0.0,-1.26,1.26,305.809,-103.613,202.196,0.0,,,202.196,0.0,202.196,0.0,0.0,202.196,202.196,,110.017,1.84,1.84,1.6,110.967,1.82,1.82,1.58,
06/30/2008,770.84,486.632,817.574,708.597,108.977,-330.942,289.629,6.636,6.636,,,206.196,76.797,-100.0,670.84,-419.71,0.0,419.71,251.13,-26.052,13.026,13.026,238.104,-77.839,160.265,0.0,,,160.265,0.0,160.265,0.0,0.0,160.265,160.265,,110.191,1.45,1.45,1.45,111.227,1.44,1.44,1.44,
