Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Real Estate Investments,Other Investments,Net Receivables,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,1-4 Family Residential Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,Secs Sold Under Repo,Trading Account Liabilities,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,ST Borrowings,Payables Broker Dealers,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
05/31/1999,342345,10611,,,,270345,,,,0.0,,3302.0,,,,,,,,48434,-768.0,47666,2121.0,,,,,,,,55966,,,,,,47920,233149,,,,,,,,28782,,,,,,,,,,16098,325949,612.0,3727,,,-2927,13973.0,-36,15349,1047.0,16396,342345,
08/31/1999,340870,13382,,,,267792,,,,0.0,,4152.0,,,,,,,,45023,-766.0,44257,2145.0,,,,,,,,53399,,,,,,48437,231703,,,,,,,,29038,,,,,,,,,,15264,324442,611.0,3722,,,-3656,14796.0,-28,15445,983.0,16428,340870,
11/30/1999,366967,12325,,,,286192,,,,0.0,,5371.0,,,,,,,,52549,-769.0,51780,4088.0,,1300.0,,,,,,57691,,,,,,56172,250804,,,,,,,,28604,,,,,,,,,,13390,348970,615.0,3848,,,-4355,16285.0,621,17014,983.0,17997,366967,
02/29/2000,408072,15329,,,,320424,,,,0.0,,3845.0,,,,,,,,57601,-771.0,56830,4133.0,,1300.0,,,,,,63041,,,,,,68471,260116,,,,,,,,24850,,,,,,,,,,35944,389381,490.0,3265,,,-3456,17592.0,-39,17852,839.0,18691,408072,
05/31/2000,417586,15956,,,,327110,,,,0.0,,7535.0,,,,,,,,54008,-773.0,53235,6153.0,,1400.0,,,,,,59432,,,,,,85598,243835,,,,,,,,28005,,,,,,,,,,41199,398637,490.0,3257,,,-4360,18813.0,-90,18110,839.0,18949,417586,
08/31/2000,404123,17255,,,,313915,,,,0.0,,5739.0,,,,,,,,53562,-776.0,52786,6245.0,,1400.0,,,,,,59569,,,,,,85055,223971,,,,,,,,30818,,,,,,,,,,44786,384630,490.0,3308,,,-4863,19826.0,-107,18654,839.0,19493,404123,
11/30/2000,421279,18819,,,,333726,,,,0.0,,5445.0,,,,,,,,49798,-783.0,49015,6612.0,,1300.0,1300.0,,,,,55377,,,,,,106476,209967,,,,,,,,42051,,,,,,,,,,43044,401538,545.0,3389,,,-6024,20802.0,559,19271,470.0,19741,421279,
02/28/2001,450097,21678,,,,356412,,,,0.0,,5541.0,,,,,,,,52189,-786.0,51403,6970.0,,1300.0,,,,,,58196,,,,,,103409,253189,,,,,,,,31028,,,,,,,,,,42250,429876,545.0,3661,,,-5781,21552.0,-226,19751,470.0,20221,450097,
05/31/2001,497381,27096,,,,399839,,,,0.0,,6826.0,,,,,,,,48422,-787.0,47635,7091.0,,1500.0,,,,,,55029,,,,,,103557,289135,,,,,,,,40785,,,,,,,,,,43415,476892,545.0,3580,,,-6078,22217.0,-245,20019,470.0,20489,497381,
08/31/2001,505782,24166,,,,415076,,,,0.0,,6344.0,,,,,,,,44513,-792.0,43721,7457.0,,1500.0,,,,,,51239,,,,,,112949,284321,,,,,,,,39387,,,,,,,,,,47860,484517,345.0,3565,,,-6307,22657.0,-271,19989,1276.0,21265,505782,
11/30/2001,482628,26596,175376.0,,,0,,,,0.0,,5283.0,,,,,,,,49605,-847.0,48758,7332.0,,1438.0,1438.0,,,,0.0,441979,,,,,,105995,262131,122695.0,,,,,,,49668,,,,,,,,,,42842,460636,345.0,3757,,,-6935,23270.0,279,20716,1276.0,21992,482628,
02/28/2002,491651,25475,,,,401891,,,,0.0,,4787.0,,,,,,,,43971,-873.0,43098,7498.0,,1433.0,1433.0,,,,,50567,,,,,,110277,280047,,,,,,,,38874,,,,,,,,,,40285,469483,0.0,3687,,,-6368,23865.0,-292,20892,1276.0,22168,491651,
05/31/2002,553924,22212,,,,464030,,,,0.0,,6062.0,,,,,,,,46112,-899.0,45213,7581.0,,1441.0,1441.0,,,,,52598,,,,,,114411,331509,,,,,,,,45138,,,,,,,,,,40314,531372,0.0,3682,,,-6573,24408.0,-241,21276,1276.0,22552,553924,
08/31/2002,516772,27965,,,,421708,,,,0.0,,5071.0,,,,,,,,47497,-927.0,46570,7083.0,,1447.0,1447.0,,,,,53498,,,,,,105435,293528,,,,,,,,43939,,,,,,,,,,51178,494080,0.0,3684,,,-6782,24768.0,-254,21416,1276.0,22692,516772,
11/30/2002,529499,29212,207314.0,,,0,,,,0.0,,4892.0,,,,,,,,48844,-928.0,47916,7119.0,,1449.0,1449.0,,,,0.0,486827,,,,,,101986,304598,136463.0,,,,,,,55161,,,,,,,,,,44593,506338,0.0,3690,,,-7176,25250.0,121,21885,1276.0,23161,529499,
02/28/2003,559436,29309,,,,451125,,,,0.0,,4187.0,,,,,,,,58595,-950.0,57645,7132.0,,1460.0,1460.0,,,,,66223,,,,,,107196,319462,,,,,,,,47891,,,,,,,,,,60346,534895,0.0,3452,,,-6609,25901.0,-279,22465,2076.0,24541,559436,
05/31/2003,586881,28058,,,,480202,,,,0.0,,5234.0,,,,,,,,57225,-975.0,56250,6874.0,,1476.0,1476.0,,,,,65037,,,,,,106130,338473,,,,,,,,53258,,,,,,,,,,63613,561474,0.0,3358,,,-6699,26251.0,-279,22631,2776.0,25407,586881,
08/31/2003,580632,24272,,,,476395,,,,0.0,,4638.0,,,,,,,,59453,-988.0,58465,6826.0,,1466.0,1466.0,,,,,67035,,,,,,109208,341022,,,,,,,,51658,,,,,,,,,,52161,554049,0.0,3300,,,-6616,27270.0,-247,23707,2876.0,26583,580632,
11/30/2003,602843,29692,,,,489448,,,,0.0,,4349.0,,,,,,,,63268,-1002.0,62266,6840.0,,1514.0,1514.0,,,,0.0,71000,,,,,,109633,359143,,,,,,,,55026,,,,,,,,,,51298,575100,0.0,4040,,,-6766,28038.0,-445,24867,2876.0,27743,602843,
02/29/2004,656898,33560,,,,530011,,,,0.0,,6161.0,,,,,,,,70767,-1004.0,69763,6752.0,,1539.0,1539.0,,,,,78875,,,,,,113186,389624,,,,,,,,70229,,,,,,,,,,57729,630768,0.0,4102,,,-6124,28990.0,-904,26064,66.0,26130,656898,
05/31/2004,729501,32070,,,,600278,,,,0.0,,6469.0,,,,,,,,74500,-956.0,73544,6610.0,,1531.0,1531.0,,,,,82543,,,,,,130157,439777,,,,,,,,73059,,,,,,,,,,59440,702433,0.0,3984,,,-6104,29938.0,-816,27002,66.0,27068,729501,
08/31/2004,745033,46243,,,,610845,,,,0.0,,4799.0,,,,,,,,66422,-954.0,65468,6558.0,,2191.0,1841.0,,,,,74397,,,,,,131830,455679,,,,,,,,73751,,,,,,,,,,56287,717547,0.0,3877,,,-6155,30500.0,-802,27420,66.0,27486,745033,
11/30/2004,747334,32811,331390.0,,,0,,,,0.0,,5801.0,,,,,,,,79437,-943.0,78494,6531.0,,2199.0,1868.0,,,,,699992,,,,,,129430,432267,181598.0,,,,,,,95286,,,,,,,,,,62079,719062,0.0,2100,,,-6614,31426.0,1294,28206,66.0,28272,747334,
02/28/2005,802210,34068,,,,657888,,,,0.0,,4649.0,,,,,,,,88297,-854.0,87443,6418.0,,2563.0,2224.0,,,,,96624,,,,,,129818,496134,,,,,,,,93669,,,,,,,,,,54028,773649,0.0,1812,,,-5790,32527.0,-54,28495,66.0,28561,802210,
05/31/2005,818711,25086,,,,699855,,,,0.0,,8303.0,,,,,,,,67753,-840.0,66913,6395.0,,2528.0,2198.0,,,,,76544,,,,,,140372,506722,,,,,,,,84928,,,,,,,,,,58293,790315,0.0,2006,,,-6685,33160.0,-151,28330,66.0,28396,818711,
08/31/2005,837391,27681,143642.0,,,560713,,,,,,8635.0,,,,,,,,78372,-828.0,77544,4727.0,,2531.0,2210.0,,,,,233104,,,,,,132000,517914,192374.0,,,,,,,90123,,,,,,,,,,69062,809099,,2227,,,-6887,33011.0,-125,28226,66.0,28292,837391,
11/30/2005,898523,29414,418571.0,,,0,,,,0.0,,6137.0,,,,,,,,79763,-838.0,78925,5878.0,,2500.0,2206.0,,,,,854594,,,,,,130909,562776,237274.0,,,,,,,110465,,,,,,,,,,65125,869275,0.0,2401,,,-8214,35185.0,-190,29182,66.0,29248,898523,
02/28/2006,959613,25409,176260.0,,,626915,,,,,,7233.0,,,,,,,,99966,-785.0,99181,2744.0,,2873.0,2477.0,,,,,294439,,,,,,140466,622603,245724.0,,,,,,,104066,,,,,,,,,,62289,929424,,1421,,,-7624,36456.0,-130,30123,66.0,30189,959613,
05/31/2006,1027043,14793,190289.0,,,692612,,,,,,9328.0,,,,,,,,97404,-776.0,96628,2809.0,,3376.0,2932.0,,,,,304125,,,,,,153973,654962,257250.0,,,,,,,113354,,,,,,,,,,72433,994722,,1682,,,-7572,38125.0,20,32255,66.0,32321,1027043,
08/31/2006,1028872,18546,171547.0,,,720852,,,,,,8490.0,,,,,,,,88459,-811.0,87648,3409.0,,2943.0,2505.0,,,,,274632,,,,,,163669,642492,246952.0,,,,,,,115718,,,,,,,,,,72755,994634,1100.0,1983,,,-8462,39519.0,32,34172,66.0,34238,1028872,
11/30/2006,1121192,20606,475418.0,,,416720,,,,0.0,,20845.0,,,,,,,,114302,-831.0,113471,4086.0,,3443.0,2792.0,,,,,655492,,,,,,163250,708596,267566.0,,,,,,,126704,,,,,,,,,,87212,1085762,1100.0,2225,,,-9348,41422.0,-35,35364,66.0,35430,1121192,
02/28/2007,1182061,16636,469131.0,,,475225,,,,,,11087.0,,,,,,,,127965,-790.0,127175,4313.0,,4262.0,3131.0,,,,,670538,,,,,132980.0,170293,754172,288672.0,,,,,,,139318,,,,,,,,,,80324,1144107,1100.0,2096,,,-9090,43975.0,-127,37954,,37954,1182061,
05/31/2007,1199993,31786,396264.0,,,517308,,,,0.0,,26325.0,,,,,,,,153576,-784.0,152792,4501.0,,4132.0,2977.0,,,,,615941,,,,,142080.0,185657,734844,252710.0,,,,,,,147739,,,,,,,,,,92242,1160482,1100.0,2177,,,-9903,46256.0,-119,39511,0.0,39511,1199993,
08/31/2007,1185131,36588,433942.0,,,501760,,,,,,25434.0,,,,,,,,109991,,109991,4193.0,,3451.0,2554.0,,,,,613705,,,,,171316.0,194584,707336,253989.0,,,,,,,152230,,,,,,,,,,95731,1149881,1100.0,1483,,,-9281,42043.0,-95,35250,,35250,1185131,
11/30/2007,1045409,25598,366881.0,,,446321,,,,,,19949.0,,,,,,,,92363,0.0,92363,4372.0,,4071.0,3024.0,,,,,545098,,,,,203453.0,234632,521758,162840.0,,,,,,,159816,,,,,,,,,,97934,1014140,1100.0,1914,,,-9591,38045.0,-199,31269,0.0,31269,1045409,
02/29/2008,1090896,20965,386792.0,,,461703,,,,,,18798.0,,,,,,,,84012,,84012,4548.0,,4061.0,3053.0,,,,,580821,,,,,249711.0,285398,494056,160492.0,,,,,,,164930,,,,,,,,,,113232,1057616,1100.0,12,,,-6546,38852.0,-138,33280,,33280,1090896,
05/31/2008,1031228,23782,423724.0,,,382895,,,,,,12397.0,,,,,,,,73207,,73207,4856.0,,3890.0,2988.0,,,,,603408,,,,,293344.0,328571,352656,136998.0,,,,,,,210724,,,,,,,,,,104784,996735,1100.0,352,,,-6322,39581.0,-218,34493,,34493,1031228,
08/31/2008,987403,23702,420591.0,,,365872,,,,,,10529.0,,,,,,,,55360,,55360,5004.0,,3996.0,2961.0,,,,,578300,,,,,315289.0,352063,301395,122801.0,,,,,,,202327,,,,,,,,,,95853,951638,1100.0,627,,,-6280,40698.0,-380,35765,,35765,987403,
11/30/2008,658812,78654,158562.0,,,246173,,,,,,13562.0,,,,,,,,38553,0.0,38553,5057.0,,3138.0,2243.0,,,,,312228,,,,,115225.0,157980,194014,102401.0,,,,,,,163437,,,,,,,,,,92550,607981,19155.0,1631,,,-7926,38096.0,-125,50831,0.0,50831,658812,
03/31/2009,626023,48541,213129.0,120540.0,92589.0,213807,179809.0,,,,33998.0,6635.0,,,,,,,,39137,,39137,6018.0,6018.0,3075.0,2226.0,849.0,,79149.0,,16532,,59922.0,49127.0,10795.0,108213.0,168135,157477,69641.0,45997.0,,,,40120.0,1719.0,182108,,,,182108.0,,,,,54088.0,15008,576816,19208.0,441,12.0,429.0,-6233,35577.0,-471,48522,685.0,49207,626023,
06/30/2009,676957,35006,229652.0,121799.0,107853.0,268348,233037.0,,,,35311.0,11348.0,,,,,,,,39322,,39322,6548.0,6548.0,12389.0,6836.0,5553.0,,58372.0,0.0,15972,,62382.0,53092.0,9290.0,105731.0,168113,205520,91935.0,67126.0,,,,41052.0,5407.0,186792,,,,186792.0,,,,,43435.0,21634,625494,9597.0,9229,15.0,9214.0,-6143,34245.0,-342,46586,4877.0,51463,676957,
09/30/2009,769503,28610,275907.0,146985.0,128922.0,325297,283231.0,,,,42066.0,11330.0,,,,,,,,37348,,37348,6765.0,6765.0,12656.0,6977.0,5679.0,,55265.0,,16325,,62415.0,54533.0,7882.0,110765.0,173180,286579,147344.0,79067.0,,,,55787.0,4381.0,196437,,,,196437.0,,,,,39526.0,21557,717279,9597.0,8456,15.0,8441.0,-6131,34726.0,-299,46349,5875.0,52224,769503,
12/31/2009,771462,31991,310709.0,143208.0,167501.0,291817,250697.0,,,,41120.0,18423.0,,,,,,,,33313,,33313,7067.0,7067.0,12216.0,7162.0,5054.0,8538.0,49081.0,,8307,,62215.0,57114.0,5101.0,117058.0,179273,284380,159401.0,69174.0,0.0,0.0,,50382.0,5423.0,193374,0.0,0.0,,193374.0,534.0,,,923.0,38209.0,21989,718682,9597.0,8634,15.0,8619.0,-6039,35056.0,-560,46688,6092.0,52780,771462,
03/31/2010,819719,35478,319688.0,138633.0,181055.0,334574,272778.0,18637.0,,,43159.0,9768.0,,,,,,,,40008,,40008,6047.0,6047.0,12167.0,7169.0,4998.0,,47906.0,,14083,,63926.0,59056.0,4870.0,121025.0,184951,335923,174591.0,88065.0,,,,61146.0,12121.0,189203,,,,189203.0,,,,,37777.0,16686,764540,9597.0,6765,15.0,6750.0,-4078,36539.0,-559,48264,6915.0,55179,819719,
06/30/2010,809456,36347,323721.0,144862.0,178859.0,310456,248777.0,19367.0,,,42312.0,10454.0,,,,,,,,43793,,43793,6100.0,6100.0,11673.0,6749.0,4924.0,,53853.0,,13059,,61368.0,56800.0,4568.0,117883.0,179251,322467,185134.0,77541.0,,,,52875.0,6917.0,182810,,,,182810.0,,,,,47648.0,18121,750297,9597.0,7664,15.0,7649.0,-4104,38210.0,-354,51013,8146.0,59159,809456,
09/30/2010,841372,33115,316386.0,153952.0,162434.0,341966,274665.0,24254.0,,,43047.0,9959.0,,,,,,,,52574,,52574,6032.0,6032.0,11574.0,6766.0,4808.0,,57054.0,,12712,,61202.0,56018.0,5184.0,124185.0,185387,320814,167111.0,87596.0,,,,62660.0,3447.0,196491,,,,196491.0,,,,,54988.0,18110,775790,9597.0,13405,16.0,13389.0,-4066,38056.0,-116,56876,8706.0,65582,841372,
12/31/2010,807698,47615,286983.0,148253.0,138730.0,326232,255454.0,29649.0,,,41129.0,9790.0,4522.0,468.0,4054.0,5889.0,1915.0,3974.0,44607.0,55018,-82.0,54936,6154.0,6154.0,11406.0,6739.0,4667.0,9357.0,51292.0,,3933,,63812.0,59856.0,3956.0,123249.0,187061,295881,147598.0,80954.0,0.0,0.0,,63966.0,3363.0,192457,0.0,0.0,,192457.0,520.0,,,1545.0,47802.0,17025,742291,9597.0,13537,16.0,13521.0,-4059,38603.0,-467,57211,8196.0,65407,807698,
03/31/2011,836185,52608,305860.0,162923.0,142937.0,298011,258199.0,27733.0,,,12079.0,8840.0,6764.0,2631.0,4133.0,4739.0,646.0,4093.0,50514.0,62017,-45.0,61972,6366.0,6366.0,11324.0,6743.0,4581.0,,49913.0,,41291,,63495.0,59961.0,3534.0,121574.0,185069,327267,156891.0,91685.0,,,,70413.0,8278.0,196136,,,,196136.0,,,,,44585.0,16620,769677,9597.0,12201,16.0,12185.0,-2455,39269.0,-426,58186,8322.0,66508,836185,
06/30/2011,830747,50747,313082.0,180990.0,132092.0,319134,248631.0,24306.0,,,46197.0,9911.0,4651.0,468.0,4183.0,7715.0,3320.0,4395.0,48727.0,61093,-36.0,61057,6399.0,6399.0,11218.0,6744.0,4474.0,,46167.0,,13032,,65525.0,62000.0,3525.0,133372.0,198897,307826,133707.0,86783.0,,,,82158.0,5178.0,196106,,,,196106.0,,,,,41113.0,18662,762604,1508.0,22366,20.0,22346.0,-2484,38637.0,-320,59707,8436.0,68143,830747,
09/30/2011,794939,53907,293728.0,169824.0,123904.0,294110,219839.0,27697.0,,,46574.0,9392.0,4622.0,402.0,4220.0,8770.0,3932.0,4838.0,45317.0,58709,-18.0,58691,6511.0,6511.0,11079.0,6709.0,4370.0,,54412.0,,13109,,66184.0,62926.0,3258.0,143717.0,209901,257685,110053.0,73884.0,,,,67857.0,5891.0,189093,,,,189093.0,,,,,48080.0,20086,724845,1508.0,22521,20.0,22501.0,-2498,40710.0,-413,61828,8266.0,70094,794939,
12/31/2011,749898,47312,257229.0,130155.0,127074.0,303721,227289.0,30495.0,,,45937.0,9444.0,5411.0,328.0,5083.0,9844.0,4674.0,5170.0,39356.0,54611,-17.0,54594,6457.0,6457.0,10971.0,6686.0,4285.0,9624.0,48064.0,,2482,,65662.0,63029.0,2633.0,117241.0,182903,247978,104800.0,69678.0,0.0,0.0,,69418.0,4082.0,184234,0.0,0.0,,184234.0,562.0,,,2713.0,46469.0,14961,679820,1508.0,22856,20.0,22836.0,-2499,40341.0,-157,62049,8029.0,70078,749898,
03/31/2012,781030,38725,278061.0,136451.0,141610.0,323504,238408.0,32528.0,,,52568.0,10263.0,5764.0,406.0,5358.0,10554.0,5092.0,5462.0,45117.0,61435,-26.0,61409,6410.0,6410.0,10870.0,6700.0,4170.0,,40016.0,,11772,,66441.0,63950.0,2491.0,119045.0,185486,288937,107330.0,88215.0,,,,81249.0,12143.0,176723,,,,176723.0,,,,,42765.0,16527,710438,1508.0,22950,20.0,22930.0,-2192,40118.0,-60,62324,8268.0,70592,781030,
06/30/2012,748517,42006,282251.0,147988.0,134263.0,283979,206239.0,31442.0,,,46298.0,10208.0,7858.0,401.0,7457.0,11689.0,5489.0,6200.0,48697.0,68244,-77.0,68167,6343.0,6343.0,10597.0,6610.0,3987.0,,34343.0,,10623,,68252.0,65112.0,3140.0,119455.0,187707,268527,108678.0,88540.0,,,,67151.0,4158.0,167828,,,,167828.0,,,,,34935.0,17883,676880,1508.0,23171,20.0,23151.0,-2204,40586.0,-220,62841,8796.0,71637,748517,
09/30/2012,764985,36586,274827.0,136282.0,138545.0,303645,216740.0,40498.0,,,46407.0,10399.0,14299.0,6097.0,8202.0,7274.0,448.0,6826.0,56051.0,77624,-101.0,77523,6083.0,6083.0,10527.0,6622.0,3905.0,,34568.0,,10827,,70757.0,66946.0,3811.0,117193.0,187950,286178,116220.0,89854.0,,,,72657.0,7447.0,168444,,,,168444.0,,,,,35033.0,17908,695513,1508.0,23222,20.0,23202.0,-2226,39441.0,-146,61799,7673.0,69472,764985,
12/31/2012,780960,46904,256113.0,134412.0,121701.0,321522,231406.0,39869.0,,,50247.0,10756.0,9775.0,326.0,9449.0,14248.0,6630.0,7618.0,58661.0,82684,-106.0,82578,5946.0,5946.0,10433.0,6650.0,3783.0,9005.0,36197.0,,1506,,83266.0,80058.0,3208.0,122540.0,205806,281275,122674.0,83164.0,0.0,0.0,,72940.0,2497.0,169571,0.0,0.0,,169571.0,635.0,,,1719.0,36958.0,15259,711223,1508.0,23446,20.0,23426.0,-2241,39912.0,-516,62109,7628.0,69737,780960,
03/31/2013,801383,42902,276142.0,140415.0,135727.0,327085,231407.0,41454.0,,,54224.0,,11337.0,328.0,11009.0,15129.0,6929.0,8200.0,66549.0,93015,-129.0,92886,5928.0,5928.0,10327.0,6633.0,3694.0,,35829.0,,10284,,80623.0,76895.0,3728.0,137127.0,217750,293720,119270.0,91820.0,,,,82630.0,,165142,,,,165142.0,,,,,40652.0,13622,730886,1508.0,23681,20.0,23661.0,-2541,40750.0,-694,62704,7793.0,70497,801383,
06/30/2013,802691,47199,271608.0,142494.0,129114.0,326558,228719.0,42858.0,,,54981.0,,12033.0,863.0,11170.0,17054.0,7602.0,9452.0,70082.0,99169,-125.0,99044,5966.0,5966.0,10202.0,6600.0,3602.0,,31319.0,,10795,,81514.0,77952.0,3562.0,145555.0,227069,299956,133582.0,95048.0,,,,71326.0,,161098,,,,161098.0,,,,,33037.0,15417,736577,1508.0,23953,20.0,23933.0,-2566,41455.0,-1169,63181,2933.0,66114,802691,
09/30/2013,832223,57781,273157.0,133988.0,139169.0,343603,238220.0,46866.0,,,58517.0,,14055.0,2102.0,11953.0,19083.0,8784.0,10299.0,62472.0,95610,-166.0,95444,6008.0,6008.0,10105.0,6591.0,3514.0,,35438.0,,10687,,104807.0,101166.0,3641.0,152091.0,256898,294442,139398.0,84477.0,,,,70567.0,,157805,,,,157805.0,,,,,38168.0,16669,763982,2370.0,24255,20.0,24235.0,-2720,42237.0,-1014,65128,3113.0,68241,832223,
12/31/2013,832702,59883,247837.0,118130.0,129707.0,366504,248277.0,53430.0,,,64797.0,,15118.0,1855.0,13263.0,21583.0,10006.0,11577.0,63433.0,100134,-156.0,99978,6019.0,6019.0,9881.0,6595.0,3286.0,9049.0,32467.0,,1084,,112379.0,109908.0,2471.0,157125.0,269504,290160,145676.0,70760.0,0.0,0.0,,73724.0,,153575,0.0,0.0,,153575.0,651.0,523.0,128.0,1821.0,33761.0,14200,763672,3220.0,24590,20.0,24570.0,-2968,42172.0,-1093,65921,3109.0,69030,832702,
03/31/2014,831381,55424,255171.0,107576.0,147595.0,358251,228958.0,58886.0,,,70407.0,,18052.0,2442.0,15610.0,23647.0,11009.0,12638.0,65236.0,106935,-124.0,106811,5778.0,5778.0,9811.0,6601.0,3210.0,,30587.0,0.0,9548,,116648.0,114461.0,2187.0,175998.0,292646,268107,114183.0,78722.0,,,,75202.0,,153374,,,,153374.0,,,,,32868.0,14118,761113,3220.0,23384,20.0,23364.0,-2087,43522.0,-968,67071,3197.0,70268,831381,
06/30/2014,826568,40885,256422.0,108956.0,147466.0,369121,234537.0,65474.0,,,69110.0,,21838.0,3061.0,18777.0,26930.0,12624.0,14306.0,61187.0,109955,-138.0,109817,5911.0,5911.0,9737.0,6600.0,3137.0,,25024.0,0.0,9651,,117695.0,115550.0,2145.0,178883.0,296578,265317,111420.0,81850.0,,,,72047.0,,149483,,,,149483.0,,,,,28027.0,14962,754367,5020.0,23628,20.0,23608.0,-2305,45145.0,-733,70755,1446.0,72201,826568,
