Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non-Cash Adjustments,Net Ch in Operating Capital,Accrued Interest Receivable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
12/31/2003,54.109,52.4,8.865,,0.704,,,,0.704,-7.86,,,,-1.279,-1.279,,-1.279,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,52.83,32.939,91.011,
03/31/2004,51.194,56.229,7.74,,-13.902,,,,-13.902,1.127,,,,-843.901978,-2.008,0.0,-2.008,-191.940063,1293.849976,,,,-1485.790039,,,,-649.958984,,,,,,,,0.00507,768.625984,-9.604,500.0,,,,,-28.005001,3.292,-31.297001,306.234985,0.0,,-24.082001,0.0,96.459999,
06/30/2004,89.944,58.417999,6.557,,39.938999,,,,39.938999,-14.97,,,,-923.557983,-2.231,0.0,-2.231,-319.187988,833.531982,,,,-1152.719971,,,,-602.140015,,,,,,,,0.001019,765.846014,-9.889,550.0,,,,,-90.711001,0.829,-91.540001,316.446014,0.0,,-67.767998,53.699001,99.735001,
09/30/2004,88.559998,62.02,6.129,,22.016001,,,,22.016001,-1.605,,,,-617.836121,-1.579,0.0,-1.579,99.486877,858.819885,,,,-759.333008,,,,-715.744019,,,,,,,,2.1e-05,515.001002,-10.268,450.0,,,,,-43.989002,1.202,-45.191002,119.258003,0.0,,-14.275,24.6,108.218002,
12/31/2004,63.758,62.599,4.493,,-1.512,,,,-1.512,-1.822,,,,-815.098,-3.205,0.0,-3.205,-209.127,700.665,,,,-909.792,,,,-602.76,,,,,,,,-0.006,771.064,-10.721,500.0,,,,,0.204,1.137,-0.933,281.581,0.0,,19.724,55.501,118.449,
03/31/2005,96.147,61.929,6.371,0.065,2.39,,,3.872,-1.482,25.392,,,,-1042.218,-4.739,,-4.739,-412.782,693.719,,,,-1106.501,,,,-624.697,,,,,,,,0.0,908.09,-11.343,700.0,,,,,0.576,1.866,-1.29,218.857,,,-37.981,4.865,126.137,
06/30/2005,35.35,64.291,1.964,,11.537,,,,11.537,-42.442,,,,-4863.72,-6.775,0.0,-6.775,-3748.167,380.572,,,,-4128.739,,,,-1108.778,,,,,,,,0.0,4807.567,-11.919,1300.0,,,,,3951.578,3954.237,-2.659,-432.092,0.0,,-20.803,74.099,139.641,
09/30/2005,69.375,75.031,,,-2.454,,,,-2.454,-3.202,,,,-556.996,-4.112,0.0,-4.112,178.565,1363.253,,,,-1184.688,,,,-732.985,,,,,,,,1.536,487.545,-39.801,600.0,,,,,-189.983,0.0,-189.983,117.329,0.0,,-0.076,36.026,160.378,
12/31/2005,80.345,74.804,3.306,,1.211,,,,1.211,1.024,,,,-1545.795,-2.94,0.0,-2.94,-292.458,980.357,,,,-1272.815,,,,-1250.449,,,,,,,,0.052,1458.386,-39.04,1600.0,,,,,-250.854,0.0,-250.854,1.906,146.374,,-7.064,52.21,172.881,
03/31/2006,116.875,75.228,4.522,,-0.515,,,,-0.515,37.64,,,,-1600.409,-4.011,0.0,-4.011,-620.761,298.993,,,,-919.754,,,,-976.38,,,,,,,,0.743,1486.377,-41.373,1500.0,,,,,-110.658,8.335,-118.993,138.408,0.0,,2.843,2.034,197.326,
06/30/2006,-52.27,73.168,4.403,,-101.216,,,,-101.216,-28.625,,,,-1568.25,-5.034,0.0,-5.034,-620.891,482.991,,,,-1103.882,,,,-942.325,,,,,,,,0.0,1617.842,-40.616,1700.0,,,,,-133.663,3.274,-136.937,92.121,0.0,,-2.678,88.16,245.396,
09/30/2006,166.648,70.971,5.849,,106.377,,,,106.377,-16.549,,,,-1081.414,-10.853,0.0,-10.853,-328.283,866.049,,,,-1194.332,,,,-545.711,,,,,,,,-196.567,1088.472,-39.881,1075.0,,,,,-77.774,1.457,-79.231,131.127,0.0,,173.706,45.273,234.312,
12/31/2006,89.171,69.212,7.178,,7.256,,,,7.256,5.525,,,,-1966.371,-2.659,0.0,-2.659,-1163.013,1033.105,,,,-2196.118,,,,-801.062,,,,,,,,0.363,1783.316,-39.504,1325.0,,,,,-110.69,2.386,-113.076,608.51,0.0,,-93.884,36.915,292.572,
03/31/2007,94.661,71.243,5.787,,25.42,,,,25.42,-7.789,,,,-2004.61,-3.33,0.0,-3.33,-816.323,1032.324,,,,-1848.647,,,,-1186.656,,,,,,,,1.699,1849.781,-41.704,1543.0,,,,,-150.243,2.84,-153.083,498.728,0.0,,-60.168,-0.768,318.855,
06/30/2007,54.523,72.664,5.74,0.8,-8.277,,,,-8.277,-16.404,,,,-2155.579,-3.997,0.0,-3.997,-516.867,1042.133,,,,-1559.0,,,,-1635.111,,,,,,,,0.396,2182.585,-40.71,2150.0,,,,,-202.9,1.594,-204.494,276.195,0.0,,81.529,84.488,339.645,
09/30/2007,79.927,74.443,8.373,,-0.981,,,,-0.981,-1.908,,,,-2460.062,-2.628,0.0,-2.628,-1312.364,1050.432,,,,-2362.796,,,,-1146.295,,,,,,,,1.225,2486.879,-41.845,2225.0,,,,,-131.492,2.206,-133.698,435.216,0.0,,106.744,40.121,374.414,
12/31/2007,118.692,77.508,6.884,,2.881,,,,2.881,31.419,,,,-1889.848,-1.739,0.0,-1.739,-1000.488,2747.393,,,,-3747.881,,,,-1166.704,,,,,,,,279.083,1678.349,-41.117,1250.0,,,,,-58.19,0.75,-58.94,527.656,0.0,,-92.807,38.142,380.226,
03/31/2008,138.308,88.669,6.444,2.5,2.548,,-5.367,7.915,0.0,38.147,,,,-1998.485,-1.167,,-1.167,-1291.054,2799.445,,,,-4090.499,,,,-707.915,,,,,,,,1.651,1965.268,-43.483,1084.0,,,,,1.02,4.163,-3.143,923.731,0.0,,105.091,5.181,415.872,
06/30/2008,61.755,110.703,7.042,3.0,2.766,,-5.698,8.464,0.0,-61.756,,,,-3042.846,-2.937,,-2.937,-693.816,1166.696,,,,-1860.512,,,,-2346.755,,,,,,,,0.662,2844.042,-53.228,2250.0,,,,,5.038,5.495,-0.457,642.232,0.0,,-137.049,135.791,405.643,
09/30/2008,147.791,121.908,6.575,5.0,3.809,,-4.692,8.501,0.0,10.499,,,,-2270.98,-2.442,,-2.442,-981.225,569.998,,,,-1551.223,,,,-1289.57,,,,,,,,2.257,2322.575,-58.098,1800.0,,,,,12.555,12.555,0.0,568.118,0.0,,199.386,67.769,421.361,
12/31/2008,106.59,124.278,6.268,9.0,10.89,,2.889,,8.001,-43.846,,,,-2310.541,-2.019,0.0,-2.019,-1372.111,600.324,,,,-1972.435,,,,-937.459,,,,,,,,1.048,2080.79,-63.186,950.0,,,,,17.397,30.842,-13.445,1176.579,0.0,,-123.161,73.268,447.058,
03/31/2009,233.507,127.663,11.747,20.0,0.417,-0.148,-7.184,7.749,0.0,73.68,-0.907,74.587,0.0,-2062.47,-2.525,0.0,-2.525,-1369.754,1501.398,383.28,1091.118,27.0,-2871.152,-750.097,-2091.805,-29.25,-693.224,0.0,0.0,-693.224,0.0,0.0,0.0,0.0,3.033,1915.294,-68.328,50.0,0.0,0.0,650.0,-600.0,-38.252,2.443,-40.695,1971.874,0.0,0.0,86.331,2.163,441.684,
06/30/2009,82.3,127.919,19.537,32.5,-32.273,-24.037,-15.616,7.38,0.0,-65.383,-2.419,-62.964,0.0,-762.967,-1.289,0.0,-1.289,-112.157,3552.251,611.767,2916.409,24.075,-3664.408,-2990.791,-640.345,-33.272,-655.329,0.0,0.0,-655.329,0.0,0.0,0.0,0.0,5.808,944.636,-73.081,-250.0,0.0,0.0,100.0,-350.0,11.368,14.133,-2.765,1256.349,0.0,0.0,263.969,184.683,423.224,
09/30/2009,136.288,135.086,17.406,40.0,0.602,0.0,-6.78,7.382,0.0,-56.806,-8.149,-48.657,0.0,-1437.425,-1.067,0.0,-1.067,-1021.805,1903.056,882.148,1005.158,15.75,-2924.861,-2317.172,-591.939,-15.75,-417.93,0.0,0.0,-417.93,0.0,0.0,0.0,0.0,3.377,1359.504,-73.517,0.0,0.0,0.0,0.0,0.0,11.337,11.354,-0.017,1421.684,0.0,0.0,58.367,92.501,417.745,
12/31/2009,70.521,136.576,17.294,45.0,-9.844,0.0,-17.12,7.276,0.0,-118.505,6.429,-124.934,0.0,-1530.819,-1.435,0.0,-1.435,-842.405,2653.173,,,,-3495.578,-1399.999,-2095.578,-0.001,-690.318,0.0,0.0,-690.318,0.0,0.0,0.0,0.0,3.339,1351.021,-73.482,-50.0,0.0,0.0,0.0,-50.0,10.404,10.404,0.0,1464.099,0.0,0.0,-109.277,71.365,413.626,
03/31/2010,286.57,148.885,21.832,50.0,-32.372,-30.768,-8.63,7.026,0.0,98.225,2.917,95.308,0.0,-1110.483,-2.738,0.0,-2.738,-758.501,3108.843,1192.402,1916.441,0.0,-3867.344,-1147.404,-2719.94,0.0,-357.649,0.0,0.0,-357.649,0.0,0.0,0.0,0.0,8.405,737.81,-74.023,0.0,0.0,0.0,0.0,0.0,1.081,1.081,0.0,810.752,0.0,0.0,-86.103,20.277,404.82,
06/30/2010,78.06,142.591,22.715,50.0,-40.852,-30.626,-16.869,6.643,0.0,-96.394,17.624,-114.018,0.0,60.408,-2.19,0.0,-2.19,169.372,5323.05,3260.298,2062.752,0.0,-5153.678,-2027.041,-3118.215,-8.422,-111.748,0.0,0.0,-111.748,0.0,0.0,0.0,0.0,4.974,-294.562,-73.853,0.0,0.0,0.0,0.0,0.0,-0.374,0.09,-0.464,-220.335,0.0,0.0,-156.094,243.71,394.501,
09/30/2010,197.08,124.569,28.74,50.0,-41.53,-31.017,-16.887,6.374,0.0,35.301,9.944,25.357,0.0,594.137,-1.932,0.0,-1.932,234.004,6001.636,3936.799,2060.337,4.5,-5767.632,-2900.165,-2867.467,0.0,355.691,0.0,0.0,355.691,0.0,0.0,0.0,0.0,6.374,-477.128,-73.941,-150.0,0.0,0.0,0.0,-150.0,0.657,,,-253.844,0.0,0.0,314.089,96.071,395.554,
12/31/2010,193.372,121.161,43.409,45.0,-66.491,-60.214,-13.417,7.14,0.0,50.293,28.06,22.233,0.0,-191.85,-1.171,0.0,-1.171,-982.477,5088.272,2883.355,2198.167,6.75,-6070.749,,,,785.274,,,785.274,0.0,0.0,0.0,0.0,6.524,34.782,-73.94,-150.0,0.0,0.0,0.0,-150.0,0.217,0.681,-0.464,258.505,0.0,0.0,36.304,88.925,391.61,
03/31/2011,222.928,-555.664,36.85,40.0,1072.192,-102.468,-3.163,5.731,1172.092,-370.45,43.816,-414.266,0.0,8153.815,-2.3,0.0,-2.3,7609.478,10860.735,606.678,10173.057,81.0,-3251.257,0.0,-3237.757,-13.5,535.134,0.0,0.0,535.134,0.0,0.0,0.0,0.0,11.503,-8608.145,-74.095,-8822.092,0.0,0.0,6500.0,-15322.092,0.089,0.089,0.0,287.953,0.0,0.0,-231.402,8.9,410.252,
06/30/2011,227.717,96.008,25.246,30.0,-178.947,0.0,-184.266,5.319,0.0,255.41,-9.811,265.221,0.0,893.894,-3.378,0.0,-3.378,946.972,1220.546,705.838,474.208,40.5,-273.574,0.0,-270.45,-3.124,-60.084,0.0,0.0,-60.084,0.0,0.0,0.0,0.0,10.384,-845.955,-39.436,-900.0,0.0,0.0,0.0,-900.0,-0.041,0.122,-0.163,93.522,0.0,0.0,275.656,8.002,284.52,
09/30/2011,298.505,84.203,35.11,25.0,57.266,0.0,52.869,4.397,0.0,96.926,46.642,50.284,0.0,3316.235,-1.127,0.0,-1.127,3018.043,3101.183,2360.839,699.844,40.5,-83.14,0.0,-83.14,0.0,281.623,0.0,0.0,281.623,0.0,0.0,0.0,0.0,17.696,-1068.162,-39.583,-900.0,0.0,0.0,0.0,-900.0,4.603,4.603,0.0,-133.182,0.0,0.0,2546.578,0.244,269.033,
12/31/2011,187.635,-360.536,18.942,25.0,695.223,0.0,-37.442,4.166,728.499,-190.994,35.811,-226.805,0.0,3037.578,-2.803,0.0,-2.803,2342.798,,,,,,,,,680.79,0.0,0.0,680.79,0.0,0.0,0.0,0.0,16.793,-5731.362,-39.584,-5778.499,0.0,0.0,0.0,-5778.499,0.38,0.38,0.0,86.341,0.0,0.0,-2506.149,3.616,308.973,
03/31/2012,197.939,72.987,29.701,25.0,31.761,0.0,27.541,4.22,0.0,38.49,15.579,22.911,0.0,1200.474,-2.754,0.0,-2.754,625.405,1377.877,760.413,576.964,40.5,-752.472,0.0,-752.472,0.0,560.782,0.0,0.0,560.782,0.0,0.0,0.0,0.0,17.041,-1321.805,-39.66,-900.0,0.0,0.0,0.0,-900.0,4.074,4.501,-0.427,-386.219,0.0,0.0,76.608,,214.551,
06/30/2012,123.967,72.276,30.732,25.0,19.546,0.0,16.773,2.773,0.0,-23.587,4.716,-28.303,0.0,1118.057,-5.005,0.0,-5.005,609.545,956.266,295.414,603.505,57.347,-346.721,0.0,-346.721,0.0,496.903,0.0,0.0,496.903,0.0,0.0,0.0,0.0,16.614,-1267.282,-39.709,-750.0,0.0,0.0,0.0,-750.0,-0.58,,,-476.993,0.0,,-25.258,,205.407,
09/30/2012,123.784,55.932,33.123,20.0,10.83,0.0,6.867,3.963,0.0,3.899,6.137,-2.238,0.0,658.424,-3.167,0.0,-3.167,242.431,1049.063,299.489,702.324,47.25,-806.632,0.0,-781.882,-24.75,407.841,0.0,0.0,407.841,0.0,0.0,0.0,0.0,11.319,-1161.777,-39.711,-500.0,0.0,0.0,550.0,-1050.0,0.301,0.301,0.0,-622.367,0.0,,-379.569,36.605,202.22,
12/31/2012,127.562,47.948,31.464,25.0,8.23,0.0,4.401,3.829,0.0,14.92,15.581,-0.661,0.0,1602.403,-1.603,0.0,-1.603,989.581,989.582,278.168,677.664,33.75,-0.001,0.0,-0.001,0.0,602.348,0.0,0.0,602.348,0.0,0.0,0.0,0.0,12.077,-1327.858,-39.713,-750.0,0.0,0.0,0.0,-750.0,0.119,0.119,0.0,-538.264,0.0,,402.107,27.689,200.315,
03/31/2013,486.451,47.931,29.921,20.0,7.929,0.0,4.198,3.731,0.0,380.67,6.852,373.818,0.0,1800.186,-0.562,0.0,-0.562,880.369,880.413,266.873,613.54,0.0,-0.044,0.0,-0.044,0.0,910.062,0.0,0.0,910.062,0.0,0.0,0.0,0.0,10.317,-358.995,-39.795,0.0,0.0,0.0,0.0,0.0,1.625,1.625,0.0,-320.825,0.0,0.0,1927.642,1.439,190.556,
06/30/2013,94.659,48.722,32.993,12.5,-4.038,-7.183,-1.193,4.338,0.0,4.482,6.91,-2.428,0.0,710.667,0.473,,,-217.797,1330.353,254.47,1066.518,9.365,-1548.15,0.0,-1548.15,0.0,909.921,0.0,0.0,909.921,0.0,0.0,0.0,0.0,18.07,-563.727,-19.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.821,0.0,,241.599,50.001,181.654,
09/30/2013,74.137,42.734,30.913,4.0,-5.287,-10.641,-0.346,5.7,0.0,1.777,9.485,-7.708,0.0,1210.041,-0.176,0.0,-0.176,609.852,1031.018,380.991,650.027,0.0,-421.166,0.0,-421.166,0.0,576.477,0.0,0.0,576.477,0.0,0.0,0.0,0.0,23.888,-559.444,-19.904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-539.54,0.0,,724.734,36.75,188.468,
12/31/2013,85.633,45.829,20.508,0.0,-11.882,-11.109,-6.076,5.303,0.0,31.178,10.941,20.237,0.0,1144.206,-0.708,0.0,-0.708,733.232,733.248,307.831,425.417,0.0,-0.016,0.0,-0.016,0.0,392.186,0.0,0.0,392.186,0.0,0.0,0.0,0.0,19.496,-627.308,-19.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-607.402,0.0,,602.531,18.25,188.985,
03/31/2014,68.856,42.521,17.435,,-20.86,-15.943,-10.081,5.164,0.0,29.76,-0.681,30.441,0.0,1136.3,-0.361,0.0,-0.361,784.99,826.418,189.847,636.571,0.0,-41.428,0.0,-41.428,0.0,336.776,0.0,0.0,336.776,0.0,0.0,0.0,0.0,14.895,-426.846,-19.944,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.0,-406.747,-0.157,0.0,778.31,4.11,179.443,
06/30/2014,16.645,39.182,2.853,,4.999,-19.539,19.008,5.53,0.0,-30.389,7.887,-38.276,0.0,904.224,-1.111,0.0,-1.111,318.979,972.77,84.066,878.897,9.807,-653.791,0.0,-653.791,0.0,565.108,,,565.108,0.0,0.0,0.0,0.0,21.248,-572.972,-20.132,0.0,0.0,0.0,0.0,0.0,0.418,0.418,0.0,-551.747,-1.511,,347.897,46.128,180.852,
09/30/2014,44.042,37.126,9.178,-3.5,-11.872,-22.307,5.483,4.952,0.0,13.11,1.481,11.629,0.0,745.734,-1.022,0.0,-1.022,-134.072,1065.818,82.329,966.947,16.542,-1199.89,0.0,-1199.89,0.0,857.57,0.0,0.0,857.57,0.0,0.0,0.0,0.0,23.258,-561.06,-20.07,0.0,0.0,0.0,0.0,0.0,-0.244,,,-540.688,-0.058,0.0,228.716,9.656,186.174,
12/31/2014,21.274,39.136,5.966,0.0,-34.845,-45.927,6.297,4.785,0.0,11.017,12.535,-1.518,0.0,1202.654,-0.188,0.0,-0.188,496.9,2008.157,171.44,1836.717,0.0,-1511.257,0.0,-1511.257,0.0,685.808,0.0,0.0,685.808,0.0,0.0,0.0,0.0,20.134,-617.759,-20.059,0.0,0.0,0.0,0.0,0.0,0.137,0.137,0.0,-596.603,-1.234,0.0,606.169,19.302,180.084,
03/31/2015,16.295,5.89,3.472,,-2.561,-7.347,-0.497,5.283,0.0,9.494,2.749,6.745,0.0,358.426,-0.099,0.0,-0.099,-393.543,407.322,69.12,338.202,0.0,-800.865,0.0,-800.865,0.0,738.449,0.0,0.0,738.449,0.0,0.0,0.0,0.0,13.619,-487.671,-20.011,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,-467.523,-0.177,0.0,-112.95,0.917,177.416,
06/30/2015,-28.186,35.657,2.805,,-51.14,-67.064,10.737,5.187,0.0,-15.508,8.561,-24.069,0.0,1294.88,-0.104,0.0,-0.104,276.66,1250.591,0.0,1239.73,10.861,-973.931,0.0,-973.931,0.0,999.921,,,999.921,0.0,0.0,0.0,0.0,18.403,-736.56,0.0,0.0,0.0,0.0,0.0,0.0,0.993,0.993,0.0,-734.882,-2.671,,530.134,19.572,170.012,
