Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2015,488.594,476.261,12.333,-110.808,110.808,377.786,0.0,-338.978,153.876,68.807,116.295,38.808,0.364,42.367,42.529,-0.162,-36.987,-5.744,39.172,-11.314,27.858,0.0,0.0,0.0,27.858,,27.858,0.0,-0.168,27.69,27.9682,0.2782,94.437,0.29,0.29,0.296157,94.512,0.29,0.29,0.292944,
12/31/2015,478.009,465.525,12.484,-94.757,94.757,383.252,0.0,-780.178,147.82,59.052,573.306,-396.926,-5.481,38.227,38.473,-0.246,-27.125,-5.621,-402.407,13.829,-388.578,-7.65,-7.65,0.0,-380.928,,-380.928,0.0,-0.076,-381.004,1.0081,389.6621,93.59,-4.07,-4.15,0.010771,93.59,-4.07,-4.15,0.010771,
03/31/2016,520.515,507.95,12.565,-114.076,114.076,406.439,0.0,-379.223,188.34,66.716,124.167,27.216,-3.517,41.831,41.976,-0.145,-38.252,-0.062,23.699,-12.606,11.093,0.0,0.0,0.0,11.093,0.0,11.093,0.0,0.0,11.093,12.704,1.611,92.491,0.12,0.12,0.137354,92.623,0.12,0.12,0.137354,
06/30/2016,479.796,468.134,11.662,-96.523,96.523,383.273,0.0,-327.067,148.127,56.137,122.803,56.206,6.022,37.843,38.071,-0.228,-44.306,0.441,62.228,-214.856,-152.628,8.935,8.935,0.0,-161.563,,-161.563,0.0,0.0,-161.563,-145.973,6.655,91.676,-1.76,-1.66,-1.592271,91.676,-1.76,-1.66,-1.592271,
09/30/2016,470.038,460.164,9.874,-99.15,99.15,370.888,0.0,-136.718,143.974,56.432,-63.688,234.17,-6.46,37.82,38.296,-0.476,-31.737,0.377,227.71,-73.871,153.839,8.074,8.074,0.0,145.765,,145.765,0.0,0.0,145.765,50.699,-103.14,89.95,1.62,1.71,0.563635,90.453,1.61,1.7,0.559739,
12/31/2016,529.624,525.723,3.901,-97.35,97.35,432.274,0.0,-319.068,139.934,56.813,122.321,113.206,0.801,37.821,38.211,-0.39,-33.861,-4.761,114.007,-43.28,70.727,51.776,51.776,0.0,18.951,,18.951,0.0,-0.034,18.917,77.111,6.418,86.140909,0.22,0.81,0.895173,86.140909,0.22,0.81,0.884506,
03/31/2017,439.91,436.033,3.877,-98.807,98.807,341.103,0.0,-362.07,165.594,55.23,141.246,-20.967,-131.859,38.253,38.758,-0.505,-37.037,130.643,-152.826,51.614,-101.212,-15.618,-15.618,0.0,-85.594,0.0,-85.594,0.0,0.0,-85.594,-6.069,95.143,86.632,-0.99,-1.17,-0.070055,86.632,-0.99,-1.17,-0.071757,
06/30/2017,469.517,466.061,3.456,-96.94,96.94,372.577,0.0,-354.251,141.576,55.591,157.084,18.326,-58.054,39.637,40.185,-0.548,-40.761,59.178,-39.728,9.905,-29.823,0.579,0.579,0.0,-30.402,,-30.402,0.0,0.0,-30.402,31.802,61.625,87.058,-0.35,-0.34,0.365297,87.058,-0.35,-0.34,0.365297,
09/30/2017,450.533,447.307,3.226,-98.419,98.419,352.114,0.0,-375.863,120.869,55.941,199.053,-23.749,-15.025,39.562,40.389,-0.827,-21.058,-3.479,-38.774,20.087,-18.687,0.0,0.0,0.0,-18.687,,-18.687,0.0,0.0,-18.687,26.891,45.578,87.257,-0.21,-0.21,0.308182,87.257,-0.21,-0.21,0.308182,
12/31/2017,488.999,486.022,2.977,-97.604,97.604,391.395,0.0,-267.976,133.293,56.231,78.452,123.419,-10.387,38.786,40.055,-1.269,-38.506,10.107,113.032,219.767,332.799,0.619,0.619,0.0,332.18,-3.378,328.802,0.0,0.0,328.802,71.26,-258.161,87.44734,3.76,3.77,0.81489,88.387634,3.72,3.73,0.809218,
03/31/2018,443.635,440.702,2.933,-101.388,101.388,342.247,0.0,-154.962,131.956,55.462,-32.456,187.285,10.6,38.733,40.631,-1.898,-39.137,-10.196,197.885,-56.702,141.183,0.0,0.0,0.0,141.183,0.006,141.189,0.0,0.0,141.189,44.904,-96.285,87.482,1.61,1.61,0.513294,88.392,1.6,1.6,0.510705,
06/30/2018,489.358,486.417,2.941,-98.817,98.817,390.541,0.0,-292.475,125.878,54.962,111.635,98.066,19.188,39.654,41.99,-2.336,-52.568,-6.274,117.254,-32.816,84.438,0.0,0.0,0.0,84.438,0.004,84.442,0.0,0.0,84.442,89.239,4.797,87.628,0.96,0.96,1.018385,88.173,0.96,0.96,1.014404,
09/30/2018,498.008,494.619,3.389,-101.847,101.847,396.161,0.0,-359.037,142.747,55.176,161.114,37.124,-5.47,39.603,42.842,-3.239,-32.381,-1.752,31.654,22.422,54.076,0.0,0.0,0.0,54.076,0.023,54.099,0.0,0.0,54.099,56.307,2.208,87.64,0.62,0.62,0.642481,88.208,0.61,0.61,0.635032,
12/31/2018,578.733,576.94,1.793,-99.314,99.314,479.419,0.0,-313.454,167.217,55.321,90.916,165.965,12.902,38.819,43.57,-4.751,-45.249,-6.472,178.867,-46.034,132.833,0.0,0.0,0.0,132.833,0.008,132.841,0.0,0.0,132.841,137.5,4.659,87.974172,1.51,1.51,1.562959,88.560667,1.5,1.5,1.552608,
03/31/2019,454.988,453.427,1.561,-99.163,99.163,355.825,0.0,-301.122,133.262,47.973,119.887,54.703,96.278,37.368,43.615,-6.247,-45.685,-87.961,150.981,-37.777,113.204,0.0,0.0,0.0,113.204,0.004,113.208,0.0,0.0,113.208,51.945,-61.263,87.923,1.29,1.29,0.590801,88.966,1.27,1.27,0.581389,
06/30/2019,484.036,482.557,1.479,-98.087,98.087,385.949,0.0,-312.668,129.7,48.885,134.083,73.281,14.204,36.051,43.777,-7.726,-46.527,-3.728,87.485,-23.835,63.65,0.0,0.0,0.0,63.65,0.007,63.657,0.0,0.0,63.657,70.321,6.664,88.342,0.72,0.72,0.796009,89.114,0.71,0.71,0.784781,
09/30/2019,469.0,,,,,,,,,,,63.1,,,,,,,65.5,,,,,,,,,,,,48.5,,,,,0.45,,,,0.45,
