Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2017,6478.08,574.873,574.873,0.0,459.761,459.761,0,461.005,108.026,220.935,132.044,0.0,112.569,33.381,,,79.188,1608.208,1443.392,2504.752,-1061.36,66.085,66.085,3360.395,3303.925,2173.889,1130.036,,56.47,4869.872,,396.935,212.75,,184.185,0.0,0.0,,,,,26.067,,,74.168,26.067,423.002,989.692,989.692,,,,160.81,,,86.642,1150.502,1573.504,0,5321.741,0.012714,5321.728286,0,-413.186,-3.979,4904.576,0,4904.576,6478.08,
12/30/2017,6526.647,841.326,841.326,0.0,448.848,448.848,0,422.907,94.975,204.634,123.298,0.0,101.085,28.008,,,73.077,1814.166,1417.141,2293.083,-875.942,62.756,62.756,3232.584,3167.518,2173.889,993.629,,65.066,4712.481,,332.441,192.046,,140.395,0.0,0.0,,,,,52.077,,,58.879,52.077,384.518,1088.73,1088.73,,,,232.321,,,173.442,1321.051,1705.569,0,5270.428,0.012647,5270.415353,0,-446.268,-3.082,4821.078,0,4821.078,6526.647,
03/31/2018,6381.519,926.037,926.037,0.0,345.957,345.957,0,472.292,110.389,221.137,140.766,0.0,99.519,23.909,0.0,22.394,75.61,1843.805,1374.112,2286.022,-911.91,63.765,63.765,3099.837,3034.225,2173.889,860.336,4.0,39.218,4537.714,,380.375,213.193,,167.182,0.0,0.0,,,,,60.904,0.0,0.0,63.084,60.904,441.279,983.29,983.29,,,,181.386,0.0,12.7,105.602,1164.676,1605.955,0,5237.085,0.012632,5237.072368,0,-458.769,-2.752,4775.564,0,4775.564,6381.519,
06/30/2018,5782.332,392.049,334.039,58.01,360.857,360.857,0,501.578,122.226,258.168,121.184,0.0,113.222,24.873,,,88.349,1367.706,1368.588,2318.606,-950.018,79.515,79.515,2966.523,2903.127,2173.889,729.238,,63.396,4414.626,,352.748,219.143,,133.605,0.0,,,,,,50.616,,,37.155,50.616,403.364,558.28,558.28,,,,142.583,,,105.428,700.863,1104.227,0,5167.311,0.01256,5167.29844,0,-484.27,-4.936,4678.105,0,4678.105,5782.332,
09/29/2018,5947.061,557.924,557.924,0.0,491.183,491.183,0,474.532,112.227,252.891,109.414,0.0,96.131,26.313,,,69.818,1619.77,1401.865,2532.756,-1130.891,90.903,90.903,2834.523,2769.741,2173.889,595.852,,64.782,4327.291,,410.514,229.009,,181.505,0.0,0.0,,,,,51.869,,,21.932,51.869,462.383,735.098,735.098,,,,117.443,,,95.511,852.541,1314.924,0,5089.331,0.012505,5089.318495,0,-452.186,-5.008,4632.137,0,4632.137,5947.061,
12/29/2018,5806.291,649.711,649.711,0.0,420.903,420.903,0,464.949,113.66,222.499,128.79,0.0,79.973,23.961,,,56.012,1615.536,1397.589,2557.084,-1159.495,90.696,90.696,2702.47,2637.248,2173.889,463.359,,65.222,4190.755,,366.839,229.266,,137.573,0.0,0.0,,,,,47.093,,,6.978,47.093,413.932,714.402,714.402,,,,100.637,,,93.659,815.039,1228.971,0,4966.059,0.0123,4966.0467,0,-382.669,-6.07,4577.32,0,4577.32,5806.291,
03/30/2019,5808.024,711.035,711.035,0.0,378.172,378.172,0,511.793,118.608,272.469,120.716,0.0,83.841,25.766,0.0,30.017,58.075,1684.841,1366.513,2585.02,-1218.507,97.786,97.786,2658.884,2582.099,2173.889,408.21,3.6,43.168,4123.183,,393.823,233.307,,160.516,0.08,0.0,,,,0.08,41.711,0.0,0.0,0.333,41.711,435.614,920.935,920.935,,,,91.796,0.0,12.9,78.563,1012.731,1448.345,0,4687.455,0.011906,4687.443094,0,-321.152,-6.624,4359.679,0,4359.679,5808.024,
06/29/2019,5926.381,629.599,629.599,0.0,326.714,326.714,0,517.755,109.603,265.794,142.358,0.0,82.765,31.894,,,50.871,1556.833,1375.703,2647.488,-1271.785,97.99,97.99,2895.855,2809.071,2300.912,508.159,,86.784,4369.548,,393.378,224.735,,168.643,14.787,0.0,13.055,,13.055,1.732,43.981,,,,43.981,452.146,1078.675,1016.28,62.395,2.334,60.061,58.217,,,58.217,1136.892,1589.038,0,4625.566,0.011794,4625.554206,0,-281.542,-6.681,4337.343,0,4337.343,5926.381,
09/28/2019,5848.571,586.794,586.794,0.0,405.108,405.108,0,485.284,106.5,259.031,119.753,0.0,74.628,27.286,,,47.342,1551.814,1357.796,2679.899,-1322.103,97.549,97.549,2841.412,2756.924,2305.136,451.788,,84.488,4296.757,,386.281,213.936,,172.345,17.198,0.0,12.965,,12.965,4.233,46.15,,,,46.15,449.629,1072.986,1013.94,59.046,2.123,56.923,60.462,,,60.462,1133.448,1583.077,0,4471.656,0.011629,4471.644371,0,-198.504,-7.658,4265.494,0,4265.494,5848.571,
12/28/2019,6519.503,1097.724,1097.724,0.0,409.835,409.835,0,479.885,105.854,271.798,102.233,0.0,80.228,27.12,,,53.108,2067.672,1337.953,2712.408,-1374.455,40.896,40.896,3072.982,3011.109,2415.802,595.307,,61.873,4451.831,,426.197,239.18,,187.017,18.57,0.0,13.268,,13.268,5.302,46.438,,,,46.438,491.205,1623.558,1566.603,56.955,1.951,55.004,65.363,,,65.363,1688.921,2180.126,0,4383.368,0.011574,4383.356426,0,-37.148,-6.843,4339.377,0,4339.377,6519.503,
03/28/2020,6560.682,714.939,714.939,0.0,367.172,367.172,0,517.198,112.671,291.028,113.499,0.0,91.193,37.872,0.0,45.754,53.321,1690.502,1324.31,2739.707,-1415.397,22.515,22.515,3523.355,3423.166,2614.274,808.892,3.6,50.835,4870.18,,464.755,246.954,,217.801,22.81,0.0,15.917,,15.917,6.893,51.438,0.0,0.0,39.345,51.438,539.003,1625.308,1564.979,60.329,2.252,58.077,103.706,0.0,12.3,52.061,1729.014,2268.017,0,4290.377,0.011463,4290.365537,0,,2.288,4292.665,0,4292.665,6560.682,
06/27/2020,6882.686,1136.302,1136.302,0.0,325.993,325.993,0,523.69,117.868,257.656,148.166,0.0,93.344,43.795,,,49.549,2079.329,1235.676,2695.404,-1459.728,36.921,36.921,3530.76,3353.524,2615.178,738.346,,177.236,4803.357,,418.258,225.905,,192.353,6.587,0.0,,,,6.587,84.487,,,,84.487,509.332,1869.502,1867.686,1.816,1.816,,152.607,,,152.607,2022.109,2531.441,0,4293.621,0.011435,4293.609565,0,49.23,8.394,4351.245,0,4351.245,6882.686,
