Date,Revenue,Sales & Services Revenue,Other Revenue,Other Operating Income,Operating Expenses,Selling & Marketing,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2005,224.672,,,,-107.154,,,,,117.518,8.224,-0.522,0.0,-19.188,,0.0,,10.964,125.742,-49.462,76.28,0.0,,,76.28,0.0,76.28,0.0,0.0,76.28,76.28,,172.38,0.442,0.442,0.442,174.87,0.436,0.436,0.436,
03/31/2006,279.064,,,,-112.875,3.096,,,109.779,166.189,-15.688,,27.097,,,0.0,,-11.409,150.501,-59.088,91.413,0.0,,,91.413,0.0,91.413,0.0,0.0,91.413,91.413,,172.905,0.528,0.528,0.528,175.22,0.522,0.522,0.522,
06/30/2006,282.209,,,,-115.413,,,,,166.796,13.098,-0.591,22.769,-23.36,,0.0,,-12.507,179.894,-70.361,109.533,0.0,,,109.533,0.0,109.533,0.0,0.0,109.533,109.533,,173.195,0.632,0.632,0.632,175.48,0.624,0.624,0.624,
09/30/2006,294.048,,,,-117.743,4.51,,,113.233,176.305,-5.791,,18.943,,,0.0,-1.502,-11.65,170.514,-66.714,103.8,0.0,,,103.8,0.0,103.8,0.0,0.0,103.8,103.8,,173.745,0.598,0.598,0.598,175.765,0.59,0.59,0.59,
12/31/2006,280.666,,,,-122.838,,,,,157.828,12.92,,69.557,,,0.0,,-82.477,170.748,-68.146,102.602,0.0,,,102.602,0.0,102.602,0.0,0.0,102.602,102.602,,174.075,0.59,0.59,0.59,176.015,0.582,0.582,0.582,
03/31/2007,332.331,,,,-131.724,,,,,200.607,14.75,-0.465,32.425,-32.89,,0.0,,-14.285,215.357,-85.329,130.028,0.0,,,130.028,0.0,130.028,0.0,0.0,130.028,130.028,,174.255,0.746,0.746,0.746,176.145,0.738,0.738,0.738,
06/30/2007,329.009,,,,-136.765,,,,,192.244,17.189,-1.165,34.355,-35.52,,0.0,,-16.024,209.433,-83.558,125.875,0.0,,,125.875,0.0,125.875,0.0,0.0,125.875,125.875,,174.41,0.722,0.722,0.746,176.21,0.714,0.714,0.738,
09/30/2007,565.222,,,,-215.335,,,,,349.887,-15.567,-0.02,23.13,-23.15,,0.0,-3.663,19.25,334.32,-132.748,201.572,0.0,,,201.572,0.0,201.572,0.0,0.0,201.572,201.572,,258.74,0.78,0.78,0.912,260.515,0.774,0.774,0.906,
12/31/2007,529.539,,,,-211.812,,,,,317.727,18.965,-0.682,29.252,-29.934,,0.0,3.941,-22.224,336.692,-135.634,201.058,0.0,,,201.058,0.0,201.058,0.0,0.0,201.058,201.058,,266.225,0.756,0.756,0.888,267.82,0.75,0.75,0.882,
03/31/2008,630.535,,,,-224.669,,,,,405.866,1.371,2.104,2.104,,,0.0,,-3.475,407.237,-123.689,283.548,0.0,,,283.548,0.0,283.548,0.0,0.0,283.548,283.548,,268.755,1.056,1.056,0.94,270.14,1.05,1.05,0.934,
06/30/2008,563.188,,,,-219.492,,,,,343.696,-10.132,1.24,1.24,,,0.0,,8.892,333.564,-132.382,201.182,0.0,,,201.182,0.0,201.182,0.0,0.0,201.182,201.182,,272.5,0.738,0.738,0.79,273.76,0.734,0.734,0.786,
09/30/2008,680.952,,,,-260.132,,,,,420.82,-24.82,38.287,46.79,-8.503,,0.0,-20.057,6.59,396.0,-227.309,168.691,0.0,,,168.691,0.0,168.691,0.0,0.0,168.691,168.691,,299.35,0.564,0.564,0.588,300.43,0.562,0.562,0.586,
12/31/2008,691.769,,,,-271.14,,,,,420.629,-309.466,32.246,38.422,-6.176,,0.0,3.629,273.591,111.163,-49.098,62.065,0.0,,,62.065,0.0,62.065,0.0,0.0,62.065,62.065,,333.655,0.186,0.186,0.718,334.52,0.186,0.186,0.716,
03/31/2009,647.1,624.9,22.2,0.0,-260.7,,,64.3,196.4,386.4,-35.9,36.1,38.5,-2.4,-1.8,,1.2,0.4,350.5,-151.4,199.1,0.0,0.0,0.0,199.1,0.0,199.1,0.0,0.0,199.1,201.18,2.08,331.51,0.6,0.6,0.60686,332.195,0.6,0.6,0.606261,
06/30/2009,647.8,630.4,17.4,0.0,-249.0,,,60.6,188.4,398.8,-23.9,32.2,32.6,-0.4,-10.1,,1.7,0.1,374.9,-153.1,221.8,0.0,0.0,0.0,221.8,0.0,221.8,0.0,0.0,221.8,222.71,0.91,331.645,0.668,0.668,0.671531,332.63,0.666,0.666,0.668736,
09/30/2009,650.4,633.4,17.0,0.0,-249.0,,,63.0,186.0,401.4,-45.6,,32.1,,-10.5,,1.6,22.4,355.8,-153.5,202.3,0.0,0.0,0.0,202.3,0.0,202.3,0.0,0.0,202.3,217.25,14.95,331.92,0.61,0.61,0.654525,332.865,0.608,0.608,0.652913,
12/31/2009,667.5,649.9,17.6,0.0,-265.0,,,63.5,201.5,402.5,-46.2,,30.7,,-6.1,,2.3,19.3,356.3,-153.7,202.6,0.0,0.0,0.0,202.6,0.0,202.6,0.0,0.0,202.6,218.005,15.405,332.23,0.61,0.61,0.656187,333.225,0.608,0.608,0.65423,
03/31/2010,693.2,676.5,16.7,0.0,-278.5,,,63.0,215.5,414.7,-15.8,,31.4,,-11.1,,1.5,-6.0,398.9,-158.7,240.2,0.0,0.0,0.0,240.2,0.0,240.2,0.0,0.0,240.2,236.3,-3.9,331.17,0.726,0.726,0.713531,332.14,0.724,0.724,0.712258,
06/30/2010,813.9,797.4,16.5,0.0,-298.8,,,65.1,233.7,515.1,-35.0,,37.9,,-4.4,,1.5,0.0,480.1,-208.9,271.2,0.0,0.0,0.0,271.2,-0.5,270.7,0.0,0.0,270.7,270.7,0.0,327.91,0.826,0.826,0.826,328.92,0.822,0.822,0.822,
09/30/2010,733.4,711.4,22.0,0.0,-290.5,,,65.5,225.0,442.9,-27.2,,35.9,,-12.6,,3.9,0.0,415.7,-171.4,244.3,0.0,0.0,0.0,244.3,0.0,244.3,0.0,0.0,244.3,244.3,0.0,332.78,0.734,0.734,0.734,333.72,0.732,0.732,0.732,
12/31/2010,763.2,741.5,21.7,0.0,-304.8,,,64.4,240.4,458.4,-31.2,,35.1,,-14.2,,-0.5,10.8,427.2,-230.8,196.4,0.0,0.0,0.0,196.4,-0.2,196.2,0.0,0.0,196.2,196.2,0.0,334.065,0.588,0.588,0.588,335.055,0.586,0.586,0.586,
03/31/2011,831.6,809.8,21.8,0.0,-307.5,,,64.2,243.3,524.1,-12.5,,30.1,,-18.8,,1.1,0.1,511.6,-54.5,457.1,0.0,0.0,0.0,457.1,-0.5,456.6,0.0,0.0,456.6,456.6,0.0,334.285,1.366,1.366,1.366,335.31,1.362,1.362,1.362,
06/30/2011,838.3,807.0,31.3,0.0,-303.8,,,64.7,239.1,534.5,-25.2,,28.7,,-4.6,,1.1,0.0,509.3,-213.7,295.6,0.0,0.0,0.0,295.6,-1.9,293.7,0.0,0.0,293.7,293.7,0.0,333.795,0.88,0.88,0.88,334.87,0.876,0.876,0.876,
09/30/2011,874.2,851.7,22.5,0.0,-302.1,,,65.4,236.7,572.1,-26.2,,29.0,,-3.7,,0.9,0.0,545.9,-230.9,315.0,0.0,0.0,0.0,315.0,1.1,316.1,0.0,0.0,316.1,316.1,0.0,332.29,0.952,0.952,0.952,333.335,0.948,0.948,0.948,
12/31/2011,736.5,719.3,17.2,0.0,-346.1,,,66.2,279.9,390.4,-20.7,,29.1,,-9.6,,1.2,0.0,369.7,377.0,746.7,0.0,0.0,0.0,746.7,-0.8,745.9,0.0,0.0,745.9,217.9,-528.0,330.625,2.256,2.256,0.659055,331.53,2.25,2.25,0.657384,
03/31/2012,774.6,755.0,19.6,0.0,-323.4,,,67.7,255.7,451.2,-17.8,,29.1,,-12.1,,0.8,0.0,433.4,-167.1,266.3,0.0,0.0,0.0,266.3,0.3,266.6,0.0,0.0,266.6,266.6,0.0,330.815,0.806,0.806,0.806,331.85,0.804,0.804,0.804,
06/30/2012,795.9,777.0,18.9,0.0,-326.7,,,64.9,261.8,469.2,41.5,,28.9,,-6.1,,0.9,-65.2,510.7,-257.3,253.4,0.0,0.0,0.0,253.4,-8.5,244.9,0.0,0.0,244.9,244.9,0.0,331.078,0.74,0.74,0.74,332.162,0.74,0.74,0.74,
09/30/2012,683.2,668.2,15.0,0.0,-287.2,,,60.7,226.5,396.0,-0.2,,30.2,,-13.1,,-16.5,-0.4,395.8,-176.9,218.9,0.0,0.0,0.0,218.9,-0.9,218.0,0.0,0.0,218.0,218.0,0.0,331.377,0.66,0.66,0.66,332.458,0.66,0.66,0.66,
12/31/2012,660.9,647.2,13.7,0.0,-285.3,,,33.9,251.4,375.6,-22.1,,44.0,,-7.4,,-15.9,1.4,353.5,-185.4,168.1,0.0,0.0,0.0,168.1,-1.3,166.8,0.0,0.0,166.8,166.8,0.0,331.734,0.5,0.5,0.5,332.804,0.5,0.5,0.5,
03/31/2013,718.6,697.1,21.5,0.0,-313.1,,,32.6,280.5,405.5,-17.9,,39.0,,-3.6,,-17.5,0.0,387.6,-150.2,237.4,0.0,0.0,0.0,237.4,-1.6,235.8,0.0,0.0,235.8,235.8,0.0,331.953,0.71,0.71,0.71,333.372,0.71,0.71,0.71,
06/30/2013,816.1,792.5,23.6,0.0,-308.3,,,59.1,249.2,507.8,-0.3,,39.2,,-18.7,,-20.2,0.0,507.5,-196.2,311.3,0.0,0.0,0.0,311.3,-0.1,311.2,0.0,0.0,311.2,311.2,0.0,332.341,0.94,0.94,0.94,334.073,0.93,0.93,0.93,
09/30/2013,714.6,696.8,17.8,0.0,-314.1,,,60.6,253.5,400.5,-1.6,,34.6,,-12.6,,-20.4,0.0,398.9,-162.6,236.3,0.0,0.0,0.0,236.3,0.4,236.7,0.0,0.0,236.7,236.7,0.0,332.763,0.71,0.71,0.71,334.674,0.71,0.71,0.71,
12/31/2013,687.0,674.1,12.9,0.0,-363.8,,,34.3,329.5,323.2,-16.2,,38.6,,-10.0,,-12.4,0.0,307.0,-113.9,193.1,0.0,0.0,0.0,193.1,0.0,193.1,0.0,0.0,193.1,215.2,22.1,333.636,0.58,0.58,0.645014,335.311,0.58,0.58,0.645014,
03/31/2014,777.4,757.0,20.4,0.0,-322.9,,,34.1,288.8,454.5,-8.1,,33.7,,-3.2,-3.1,-22.4,3.1,446.4,-179.8,266.6,0.0,0.0,0.0,266.6,0.2,266.8,0.0,0.0,266.8,266.8,0.0,333.905,0.8,0.8,0.8,335.644,0.79,0.79,0.79,
06/30/2014,731.6,719.3,12.3,0.0,-319.6,,,34.3,285.3,412.0,10.1,,28.3,,-15.1,-5.5,-21.5,3.7,422.1,-158.3,263.8,0.0,0.0,0.0,263.8,0.0,263.8,0.0,0.0,263.8,257.43,-6.37,334.097,0.79,0.79,0.770525,335.8,0.79,0.79,0.770525,
09/30/2014,762.4,750.3,12.1,0.0,-332.0,,,32.7,299.3,430.4,-1.3,,28.7,,-7.4,12.8,-20.0,-12.8,429.1,-139.1,290.0,0.0,0.0,0.0,290.0,0.0,290.0,0.0,0.0,290.0,291.755,1.755,334.424,0.87,0.87,0.87241,336.172,0.86,0.86,0.865221,
12/31/2014,841.1,823.7,17.4,0.0,-369.6,,,56.4,313.2,471.5,2.3,,28.7,,-10.1,11.2,-20.9,-11.2,473.8,-167.3,306.5,0.0,0.0,0.0,306.5,0.0,306.5,0.0,0.0,306.5,310.16642,3.666419,335.197,0.91,0.91,0.925326,336.63,0.91,0.91,0.920892,
03/31/2015,842.7,827.5,15.2,0.0,-335.4,,,56.7,278.7,507.3,16.5,,31.6,,-5.7,10.0,-22.5,-29.9,523.8,-193.4,330.4,0.0,0.0,0.0,330.4,0.0,330.4,0.0,0.0,330.4,325.525,-4.875,335.68,0.98,0.98,0.969748,337.416,0.98,0.98,0.965552,
06/30/2015,820.0,806.1,13.9,0.0,-324.9,,,58.3,266.6,495.1,-47.0,,28.6,,-18.5,-11.1,-26.0,74.0,448.1,-183.1,265.0,0.0,0.0,0.0,265.0,0.0,265.0,0.0,0.0,265.0,319.97,54.97,336.036,0.79,0.79,0.95219,337.796,0.78,0.78,0.942731,
09/30/2015,850.3,836.1,14.2,0.0,-333.9,,,57.3,276.6,516.4,0.0,,28.3,,-2.5,7.2,-26.6,-6.4,516.4,-156.5,359.9,0.0,0.0,0.0,359.9,0.0,359.9,0.0,0.0,359.9,338.954979,-20.945021,336.323,1.07,1.07,1.007826,338.139,1.06,1.06,0.998058,
12/31/2015,813.8,799.7,14.1,0.0,-343.9,,,56.3,287.6,469.9,-1.4,,28.9,,-3.4,5.2,-24.9,-4.4,468.5,-176.8,291.7,0.0,0.0,0.0,291.7,,291.7,0.0,0.0,291.7,305.77554,14.07554,336.844,0.87,0.87,0.907766,338.253,0.86,0.86,0.901612,
03/31/2016,934.2,920.1,14.1,0.0,-360.3,,,57.9,302.4,573.9,4.6,,29.8,,-17.6,3.9,-26.8,6.1,578.5,-210.7,367.8,0.0,0.0,0.0,367.8,0.0,367.8,0.0,0.0,367.8,387.35,19.55,337.014,1.09,1.09,1.149359,338.549,1.09,1.09,1.147746,
06/30/2016,906.4,892.8,13.6,0.0,-343.1,,,54.4,288.7,563.3,2.8,,31.0,,-17.2,15.5,-27.0,-5.1,566.1,-246.0,320.1,0.0,0.0,0.0,320.1,0.0,320.1,0.0,0.0,320.1,362.937788,42.837788,337.289,0.95,0.95,1.076044,338.706,0.95,0.95,1.076044,
09/30/2016,841.7,829.1,12.6,0.0,-316.4,,,55.2,261.2,525.3,23.5,,31.1,,-36.5,1.0,-28.6,9.5,548.8,-76.0,472.8,0.0,0.0,0.0,472.8,0.0,472.8,0.0,0.0,472.8,337.570149,-135.229851,337.592,1.4,1.4,0.999935,339.143,1.39,1.39,0.99126,
12/31/2016,912.9,892.3,20.6,0.0,-372.7,,,57.8,314.9,540.2,54.0,,31.6,,-70.5,8.0,-27.8,4.7,594.2,-220.8,373.4,0.0,0.0,0.0,373.4,0.0,373.4,0.0,0.0,373.4,356.785,-16.615,338.083,1.1,1.1,1.055318,339.338,1.1,1.1,1.051037,
03/31/2017,929.3,913.1,16.2,0.0,-328.4,,,53.4,275.0,600.9,106.1,,29.8,,-138.9,-2.5,-30.8,36.3,707.0,-307.2,399.8,0.0,0.0,0.0,399.8,0.0,399.8,0.0,0.0,399.8,390.97231,-8.82769,338.339,1.18,1.18,1.155564,339.946,1.18,1.18,1.154032,
06/30/2017,924.6,913.0,11.6,0.0,-319.4,,,28.8,290.6,605.2,32.1,,29.0,,-112.4,-4.6,-31.8,87.7,637.3,-221.5,415.8,0.0,0.0,0.0,415.8,0.0,415.8,0.0,0.0,415.8,407.488235,-8.311765,338.556,1.23,1.23,1.203607,340.02,1.22,1.22,1.195555,
09/30/2017,890.8,878.8,12.0,0.0,-323.2,,,26.9,296.3,567.6,39.7,,29.1,,-139.9,-2.9,-33.9,107.9,607.3,-298.7,308.6,0.0,0.0,0.0,308.6,0.0,308.6,0.0,0.0,308.6,393.483069,84.883069,338.771,0.91,0.91,1.161502,340.329,0.91,0.91,1.159415,
12/31/2017,900.0,785.5,114.5,0.0,-363.1,,,3.9,359.2,536.9,37.8,,29.1,,-140.5,0.6,-32.7,105.7,574.7,2364.5,2939.2,0.0,0.0,0.0,2939.2,0.0,2939.2,0.0,0.0,2939.2,638.637127,-2300.562873,339.162,8.666065,8.666065,1.882985,340.609,8.629249,8.629249,1.874986,
03/31/2018,1109.0,1094.5,14.5,0.0,-368.1,,,51.8,316.3,740.9,47.8,,30.1,,-156.4,1.6,-40.1,117.0,788.7,-189.9,598.8,0.0,0.0,0.0,598.8,0.0,598.8,0.0,0.0,598.8,613.547493,14.747493,339.305,1.76,1.76,1.808248,340.747,1.76,1.76,1.80328,
06/30/2018,1059.6,1019.9,39.7,0.0,-392.7,,,27.5,365.2,666.9,89.9,,33.1,,-241.9,47.3,-36.4,108.0,756.8,-190.7,566.1,0.0,0.0,0.0,566.1,0.0,566.1,0.0,0.0,566.1,531.666997,-34.433003,339.465,1.67,1.67,1.566191,340.872,1.66,1.66,1.558986,
09/30/2018,904.2,863.2,41.0,0.0,-354.3,,,30.2,324.1,549.9,11.9,,45.0,,-161.5,15.6,-37.1,126.1,561.8,-150.0,411.8,0.0,0.0,0.0,411.8,0.0,411.8,0.0,0.0,411.8,462.072558,50.272558,339.586,1.21,1.21,1.360694,341.035,1.21,1.21,1.357412,
12/31/2018,1236.6,1165.0,71.6,0.0,-586.7,,0.0,59.0,527.7,649.9,20.6,,49.5,,-185.3,9.1,-39.2,145.3,670.5,-283.5,387.0,0.0,0.0,0.0,387.0,-1.5,385.5,0.0,0.0,385.5,569.154579,183.654579,350.921,1.1,1.1,1.621888,352.132,1.09,1.09,1.61155,
03/31/2019,1179.6,1082.7,96.9,0.0,-548.6,,,32.9,515.7,631.0,9.2,,48.1,,-178.7,7.6,-40.5,154.3,640.2,-144.3,495.9,0.0,0.0,0.0,495.9,1.0,496.9,0.0,0.0,496.9,519.355905,22.455905,356.886,1.39,1.39,1.455243,358.047,1.39,1.39,1.452718,
06/30/2019,1272.7,1180.1,92.6,0.0,-574.1,,,46.3,527.8,698.6,3.5,,45.1,,-139.3,-5.2,-43.8,139.7,702.1,-187.5,514.6,0.0,0.0,0.0,514.6,-0.8,513.8,0.0,0.0,513.8,574.899253,61.099253,357.06,1.44,1.44,1.610091,358.155,1.43,1.43,1.600594,
09/30/2019,1277.3,1170.5,106.8,0.0,-592.1,,,41.4,550.7,685.2,38.0,,42.8,,-172.3,-0.7,-48.0,140.2,723.2,-86.9,636.3,0.0,0.0,0.0,636.3,0.0,636.3,0.0,0.0,636.3,622.731302,-13.568698,357.211,1.78,1.78,1.743315,358.369,1.78,1.78,1.742138,
12/31/2019,1138.4,1031.3,107.1,0.0,-565.4,,,38.0,527.4,573.0,51.1,,42.0,,-147.6,5.5,-44.5,93.5,624.1,-155.1,469.0,0.0,0.0,0.0,469.0,0.5,469.5,0.0,0.0,469.5,467.207665,-2.292335,357.456,1.31,1.31,1.307035,358.354,1.31,1.31,1.303603,
03/31/2020,1522.1,1410.3,111.8,0.0,-562.2,,,35.3,526.9,959.9,29.4,,40.9,,-95.9,-3.6,-51.2,80.4,989.3,-222.5,766.8,0.0,0.0,0.0,766.8,-0.6,766.2,0.0,0.0,766.2,787.362606,21.162606,357.524,2.14,2.14,2.202265,358.455,2.14,2.14,2.199038,
06/30/2020,1182.3,1074.9,107.4,0.0,-544.8,,,36.7,508.1,637.5,23.8,,41.9,,-32.1,-0.1,-48.8,15.3,661.3,-158.0,503.3,0.0,0.0,0.0,503.3,0.0,503.3,0.0,0.0,503.3,523.029655,19.729655,357.691,1.41,1.41,1.462239,358.457,1.4,1.4,1.455041,
09/30/2020,1126.722,,,,,,,,,663.8,,,,,,,,,663.889,,476.2,,,,,,476.2,,,476.2,531.133,,,1.339,1.339,1.471,,1.339,1.339,1.471,
12/31/2020,1175.444,,,,,,,,,686.3,,,,,,,,,697.222,,504.9,,,,,,504.9,,,504.9,550.467,,,1.409,1.409,1.53,,1.409,1.409,1.53,
