Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/30/2009,5082,898,898,0.0,2016,2016,0.0,346.0,,,,,0.0,,,,,,0.0,3260,357,697.0,-340.0,0.0,,,1465,1331,1252.0,79,84.0,,50,1822,,1765,,18.0,,1747.0,2,0.0,,,,2.0,0,,,0,1767,1102,1102.0,,,,187,,,,,187,1289,3056,0.0,1984,,,0,85.0,-43,2026,0,2026,5082,
07/31/2009,5104,951,951,0.0,1964,1964,0.0,327.0,,,,,0.0,,,,,,0.0,3242,385,744.0,-359.0,,,,1477,1335,1260.0,75,83.0,,59,1862,,1650,,,,1650.0,3,0.0,,,,3.0,0,,,0,1653,1103,1103.0,,,,192,,,,,192,1295,2948,0.0,2025,,,0,173.0,-42,2156,0,2156,5104,
10/31/2009,5408,991,991,0.0,2156,2156,0.0,281.0,,,,,0.0,,,,,0.0,0.0,3428,392,762.0,-370.0,0.0,,,1588,1445,1353.0,92,73.0,,70,1980,,1843,,,,1843.0,3,0.0,,,,3.0,0,,,0,1846,1103,1103.0,,,,180,,,,,180,1283,3129,0.0,2061,,,0,260.0,-42,2279,0,2279,5408,
01/31/2010,5295,861,861,0.0,1546,1546,0.0,288.0,,,,,498.0,,,,,,498.0,3193,389,772.0,-383.0,0.0,,,1713,1540,1434.0,106,103.0,,70,2102,,1703,511.0,,,1192.0,3,0.0,,,,3.0,0,0.0,,0,1706,1103,1103.0,,,,195,0.0,42.0,,,153,1298,3004,0.0,2096,,,0,239.0,-44,2291,0,2291,5295,
04/30/2010,5190,568,568,0.0,2073,2073,0.0,306.0,,,,,0.0,,,,,,0.0,2947,398,783.0,-385.0,0.0,,,1845,1687,1548.0,139,86.0,,72,2243,,1689,,26.0,,1663.0,3,0.0,,,,3.0,0,,,0,1692,1103,1103.0,,,,187,,,,,187,1290,2982,0.0,2090,,,0,156.0,-38,2208,0,2208,5190,
07/31/2010,5174,604,604,0.0,2032,2032,0.0,320.0,,,,,0.0,,,,,,0.0,2956,382,776.0,-394.0,0.0,,,1836,1678,1548.0,130,87.0,,71,2218,,1616,,14.0,,1602.0,3,0.0,,,,3.0,0,,,0,1619,1102,1102.0,,,,173,,,,,173,1275,2894,0.0,2077,,,0,241.0,-38,2280,0,2280,5174,
10/31/2010,5538,644,644,0.0,2203,2203,0.0,324.0,,,,,0.0,,,,,,0.0,3171,361,758.0,-397.0,0.0,,,2006,1904,1688.0,216,36.0,,66,2367,,1804,,4.0,,1800.0,3,0.0,,,,3.0,0,,,0,1807,1101,1101.0,,,,145,,,,,145,1246,3053,0.0,2112,,,0,410.0,-37,2485,0,2485,5538,
01/31/2011,6223,1367,1367,0.0,2095,2095,0.0,387.0,,,,,0.0,,,,,,0.0,3849,362,768.0,-406.0,0.0,,,2012,1889,1678.0,211,52.0,,71,2374,,1745,464.0,0.0,0.0,1281.0,3,0.0,,,,3.0,0,0.0,,0,1748,1849,1849.0,,,,135,0.0,20.0,,,115,1984,3732,0.0,2090,,,0,434.0,-33,2491,0,2491,6223,
04/30/2011,6183,1282,1282,0.0,2150,2150,0.0,360.0,,,,,53.0,,,,,26.0,0.0,3845,351,764.0,-413.0,0.0,,,1987,1859,1659.0,200,44.0,,84,2338,,1776,,33.0,,1743.0,3,0.0,,,,3.0,26,,,0,1805,1848,1848.0,,,,135,,,,,135,1983,3788,0.0,2033,,,0,369.0,-7,2395,0,2395,6183,
07/31/2011,6113,1336,1336,0.0,2124,2124,0.0,307.0,,,,,0.0,,,,,,0.0,3767,354,775.0,-421.0,0.0,,,1992,1870,1674.0,196,31.0,,91,2346,,1695,,20.0,,1675.0,553,0.0,,,,553.0,0,,,0,2248,1299,1299.0,,,,143,,,,,143,1442,3690,0.0,1989,,,0,437.0,-3,2423,0,2423,6113,
10/31/2011,6463,1463,1463,0.0,2219,2219,0.0,309.0,,,,,0.0,,,,,,0.0,3991,349,758.0,-409.0,0.0,,,2123,2013,1827.0,186,34.0,,76,2472,,2145,,0.0,,2145.0,553,0.0,,,,553.0,0,,,0,2698,1299,1299.0,,,,140,,,,,140,1439,4137,0.0,2003,,,0,326.0,-3,2326,0,2326,6463,
01/31/2012,6667,1592,1592,0.0,2164,2164,0.0,439.0,,,,,36.0,,0.0,,,7.0,0.0,4231,348,772.0,-424.0,0.0,,,2088,1976,1800.0,176,37.0,,75,2436,,2465,485.0,0.0,0.0,1980.0,553,0.0,,,,553.0,7,0.0,0.0,0,3025,1299,1299.0,,,,162,0.0,29.0,,,133,1461,4486,0.0,2028,,,0,164.0,-11,2181,0,2181,6667,
04/30/2012,6220,1167,1167,0.0,2171,2171,0.0,453.0,,,,,0.0,,,,,,0.0,3791,339,778.0,-439.0,0.0,,,2090,1992,1826.0,166,23.0,,75,2429,,1957,,32.0,,1925.0,553,0.0,,,,553.0,0,,,0,2510,1298,1298.0,,,,146,,,,,146,1444,3954,0.0,2038,,,0,229.0,-1,2266,0,2266,6220,
07/31/2012,5580,756,756,0.0,1992,1992,0.0,430.0,,,,,0.0,,,,,,0.0,3178,324,762.0,-438.0,0.0,,,2078,1982,1826.0,156,22.0,,74,2402,,1778,,9.0,,1769.0,3,0.0,,,,3.0,0,,,0,1781,1297,1297.0,,,,143,,,,,143,1440,3221,0.0,2064,,,0,296.0,-1,2359,0,2359,5580,
10/31/2012,5866,531,531,0.0,1943,1943,0.0,554.0,,,,,34.0,,,,,8.0,0.0,3062,319,766.0,-447.0,0.0,,,2485,2409,2195.0,214,,,76,2804,,1956,,41.0,,1915.0,2,0.0,,,,2.0,8,,,0,1966,1297,1297.0,,,,148,,,,,148,1445,3411,0.0,2089,,,0,367.0,-1,2455,0,2455,5866,
01/31/2013,5875,735,735,0.0,1166,1166,0.0,333.0,,,,,1383.0,,0.0,,,657.0,0.0,3617,286,672.0,-386.0,0.0,,,1972,1882,1704.0,178,12.0,,78,2258,,1135,259.0,,,876.0,0,0.0,,,,0.0,657,0.0,0.0,0,1792,1295,1295.0,,,,170,0.0,8.0,,,162,1465,3257,0.0,2110,,,0,510.0,-2,2618,0,2618,5875,
05/03/2013,5790,563,563,0.0,2063,2063,0.0,393.0,,,,,0.0,,,,,,0.0,3019,315,770.0,-455.0,0.0,,,2456,2368,2195.0,173,14.0,,74,2771,,2016,,,357.0,1659.0,1,0.0,,,,1.0,0,,,0,2017,1297,1297.0,,,,172,,,,,172,1469,3486,0.0,2124,,,0,182.0,-2,2304,0,2304,5790,
08/02/2013,5521,462,462,0.0,1999,1999,0.0,350.0,,,,,15.0,,,,,,0.0,2826,280,725.0,-445.0,0.0,,,2415,2323,2195.0,128,13.0,,79,2695,,1666,,,,1666.0,3,0.0,,,,3.0,0,,,0,1669,1332,1332.0,,,,175,,,,,175,1507,3176,0.0,2165,,,0,182.0,-2,2345,0,2345,5521,
11/01/2013,4635,814,814,0.0,1161,1161,0.0,298.0,,,,,13.0,,,,,0.0,0.0,2286,473,813.0,-340.0,0.0,,,1876,1804,1704.0,100,10.0,,62,2349,,1089,,,,1089.0,151,0.0,,,,151.0,0,,,0,1240,1330,1330.0,,,,182,,,,,182,1512,2752,0.0,1735,,,0,150.0,-2,1883,0,1883,4635,
01/31/2014,4162,430,430,0.0,1088,1088,0.0,256.0,,,,,20.0,,0.0,,,5.0,0.0,1794,483,827.0,-344.0,0.0,,,1885,1798,1704.0,94,15.0,,72,2368,,1002,218.0,,,784.0,2,0.0,,,,2.0,5,0.0,0.0,0,1009,1331,1331.0,,,,227,0.0,9.0,,,218,1558,2567,0.0,1576,,,0,25.0,-6,1595,0,1595,4162,
04/03/2015,3309,377,377,0.0,977,977,0.0,297.0,,,,,0.0,,,,,3.0,0.0,1651,308,632.0,-324.0,0.0,,,1350,1242,1207.0,35,13.0,,95,1658,,982,745.0,,,237.0,2,0.0,,,,2.0,3,,,0,987,1156,1156.0,,,,166,,,,,166,1322,2309,0.0,1431,,,0,-419.0,-12,1000,0,1000,3309,
07/03/2015,3211,365,365,0.0,929,929,,299.0,,,,,99.0,,,99.0,,3.0,0.0,1692,178,493.0,-315.0,,,,1341,1239,1207.0,32,14.0,,88,1519,,989,716.0,,,273.0,2,0.0,,,,2.0,5,,,2,996,1127,1127.0,,,,169,,,,,169,1296,2292,0.0,1336,,,0,-406.0,-11,919,0,919,3211,
10/02/2015,3302,635,635,0.0,844,844,0.0,,,,,,250.0,,,,,1.0,250.0,1729,178,480.0,-302.0,0.0,,,1395,1233,1207.0,26,7.0,,155,1573,,1038,771.0,,,267.0,3,0.0,,,,3.0,1,,,0,1042,1142,1142.0,,,,164,,,,,164,1306,2348,0.0,1345,0.0,1345.0,0,-380.0,-11,954,0,954,3302,
01/01/2016,3370,656,656,0.0,925,921,4.0,70.0,,,,,142.0,26.0,8.0,,56.0,1.0,60.0,1793,142,414.0,-272.0,135.0,44.0,91.0,1300,1232,1207.0,25,8.0,1.0,51,1577,,1037,306.0,6.0,2.0,723.0,2,0.0,,,,2.0,1,18.0,0.0,0,1040,1079,1079.0,,,,183,0.0,,41.0,34.0,90,1262,2302,0.0,1353,,,0,-277.0,-8,1068,0,1068,3370,
04/01/2016,3391,609,609,0.0,874,874,0.0,,,,,,320.0,,,95.0,,0.0,225.0,1803,136,403.0,-267.0,0.0,,,1452,1231,,1231,7.0,,214,1588,,923,707.0,,,216.0,2,0.0,,,,2.0,80,,,80,1005,1089,1089.0,,,,195,,,,,195,1284,2289,0.0,1359,0.0072,1358.9928,0,-251.0,-6,1102,0,1102,3391,
07/01/2016,3401,670,670,0.0,924,924,0.0,223.0,,,,,0.0,,,,,0.0,0.0,1817,131,397.0,-266.0,0.0,,,1453,1228,,1228,7.0,,218,1584,,989,720.0,,,269.0,1,0.0,,,,1.0,0,,,0,990,1092,1092.0,,,,195,,,,,195,1287,2277,0.0,1358,0.0073,1357.9927,0,-230.0,-4,1124,0,1124,3401,
09/30/2016,9579,449,449,0.0,1677,1677,0.0,0.0,0.0,0.0,0.0,0.0,430.0,,17.0,,,0.0,430.0,2556,231,594.0,-363.0,0.0,,,6792,6517,4874.0,1643,15.0,,243,7023,,1938,1458.0,3.0,23.0,454.0,42,0.0,,,,42.0,0,,6.0,0,1980,3428,3428.0,,,,1041,,,,867.0,168,4469,6449,0.0,3310,0.015,3309.985,0,-188.0,-6,3116,14,3130,9579,
12/30/2016,9132,376,376,0.0,1660,1657,3.0,67.0,,,,,278.0,90.0,29.0,,13.0,,175.0,2381,259,541.0,-282.0,137.0,48.0,89.0,6355,6211,4622.0,1589,16.0,20.0,79,6751,,1954,591.0,21.0,23.0,1319.0,62,0.0,,,,62.0,0,5.0,0.0,0,2016,3225,3225.0,,,,744,6.0,,48.0,540.0,145,3969,5985,0.0,3316,0.015,3315.985,0,-177.0,-4,3135,12,3147,9132,
03/31/2017,9140,206,206,0.0,1841,1841,0.0,348.0,,,,,0.0,,,,,0.0,0.0,2395,238,527.0,-289.0,0.0,,,6507,6139,4619.0,1520,15.0,,353,6745,,1899,592.0,53.0,21.0,1233.0,84,0.0,,,,84.0,0,,,0,1983,3188,3188.0,,,,781,,,,564.0,217,3969,5952,0.0,3323,0.0151,3322.9849,0,-154.0,8,3177,11,3188,9140,
06/30/2017,8882,262,262,0.0,1832,1832,0.0,0.0,0.0,0.0,0.0,0.0,340.0,,,,,0.0,340.0,2434,215,504.0,-289.0,0.0,,,6233,5928,4922.0,1006,13.0,,292,6448,,1826,1330.0,4.0,17.0,475.0,84,0.0,,,,84.0,0,,,0,1910,3147,3147.0,,,,584,,,,362.0,222,3731,5641,0.0,3321,0.0151,3320.9849,0,-105.0,8,3224,17,3241,8882,
09/29/2017,8923,287,287,0.0,1797,1797,0.0,0.0,0.0,0.0,0.0,0.0,487.0,,,,,0.0,487.0,2571,212,520.0,-308.0,0.0,,,6140,5901,4976.0,925,0.0,,239,6352,,1957,1500.0,4.0,18.0,435.0,64,0.0,,,,64.0,0,,,0,2021,3043,3043.0,,,,552,,,,337.0,215,3595,5616,0.0,3335,0.0302,3334.9698,0,-72.0,31,3294,13,3307,8923,
12/29/2017,8990,390,390,0.0,1871,1831,40.0,76.0,,,,,337.0,90.0,37.0,,54.0,,193.0,2674,232,546.0,-314.0,81.0,58.0,23.0,6003,5830,4974.0,856,0.0,37.0,99,6316,,2147,557.0,27.0,17.0,1546.0,55,0.0,3.0,3.0,,52.0,0,7.0,0.0,0,2202,3056,3053.0,3.0,3.0,,349,0.0,,56.0,220.0,66,3405,5607,0.0,3344,0.0151,3343.9849,0,-7.0,33,3370,13,3383,8990,
03/30/2018,8913,215,215,0.0,1914,1914,0.0,0.0,0.0,0.0,0.0,0.0,506.0,,51.0,,,,506.0,2635,227,553.0,-326.0,0.0,,,6051,5782,4976.0,806,,,218,6278,,2022,,7.0,14.0,2001.0,81,0.0,,,,81.0,0,,7.0,0,2103,3007,3007.0,,,,369,,,,221.0,141,3376,5479,0.0,3338,0.0152,3337.9848,0,37.0,56,3431,3,3434,8913,
06/29/2018,8770,303,303,0.0,1779,1779,0.0,0.0,0.0,0.0,0.0,0.0,557.0,,,99.0,,0.0,458.0,2639,221,550.0,-329.0,0.0,,,5910,5636,4887.0,749,0.0,,274,6131,,1922,1461.0,3.0,12.0,446.0,71,0.0,,,,71.0,22,,7.0,22,2015,2990,2990.0,,,,347,,,,211.0,129,3337,5352,0.0,3260,0.015,3259.985,0,133.0,23,3416,2,3418,8770,
09/28/2018,8908,515,515,0.0,1812,1812,0.0,0.0,0.0,0.0,0.0,0.0,554.0,,0.0,98.0,,0.0,456.0,2881,230,571.0,-341.0,0.0,,,5797,5583,4881.0,702,0.0,,214,6027,,2013,1590.0,2.0,11.0,410.0,56,0.0,,,,56.0,24,,14.0,24,2093,2985,2985.0,,,,373,,,,232.0,127,3358,5451,0.0,3210,0.015,3209.985,0,231.0,13,3454,3,3457,8908,
12/28/2018,8770,327,327,0.0,1877,1877,0.0,0.0,0.0,0.0,0.0,0.0,635.0,398.0,0.0,92.0,43.0,,102.0,2839,237,586.0,-349.0,0.0,,,5694,5512,4860.0,652,0.0,26.0,156,5931,,1688,547.0,,,1141.0,72,0.0,3.0,3.0,,69.0,299,40.0,35.0,23,2059,3052,3052.0,0.0,0.0,,348,,,25.0,170.0,78,3400,5459,0.0,2966,0.0146,2965.9854,0,372.0,-30,3308,3,3311,8770,
03/29/2019,9360,536,536,0.0,1894,1894,0.0,0.0,0.0,0.0,0.0,0.0,430.0,,,0.0,,,430.0,2860,626,942.0,-316.0,0.0,,,5874,5484,4871.0,613,,,390,6500,,2105,,,,2105.0,217,0.0,159.0,8.0,151.0,58.0,0,,48.0,0,2322,3271,2961.0,310.0,5.0,305.0,470,,,,194.0,228,3741,6063,0.0,2767,0.0144,2766.9856,0,562.0,-35,3294,3,3297,9360,
06/28/2019,9327,660,660,0.0,1842,1842,0.0,0.0,0.0,0.0,0.0,0.0,412.0,,4.0,0.0,,,412.0,2914,599,921.0,-322.0,0.0,,,5814,5432,4861.0,571,,,378,6413,,2043,1710.0,,,333.0,203,0.0,146.0,8.0,138.0,57.0,0,,77.0,0,2246,3239,2951.0,288.0,3.0,285.0,480,,,,185.0,218,3719,5965,0.0,2780,0.0144,2779.9856,0,652.0,-73,3359,3,3362,9327,
09/27/2019,9410,635,635,0.0,1775,1775,0.0,0.0,0.0,0.0,0.0,0.0,514.0,,3.0,0.0,,,514.0,2924,622,948.0,-326.0,0.0,,,5864,5460,4889.0,571,,,401,6486,,2309,2004.0,,,305.0,218,0.0,148.0,7.0,141.0,70.0,0,,88.0,0,2527,3234,2937.0,297.0,2.0,295.0,399,,,,196.0,115,3633,6160,0.0,2590,0.0141,2589.9859,0,764.0,-108,3246,4,3250,9410,
01/03/2020,9367,668,668,0.0,1734,1734,0.0,0.0,0.0,0.0,0.0,0.0,410.0,312.0,2.0,0.0,24.0,,74.0,2812,687,1030.0,-343.0,0.0,,,5868,5442,4912.0,530,,19.0,405,6555,,1740,592.0,,,1148.0,193,0.0,137.0,5.0,132.0,56.0,400,17.0,75.0,0,2333,3251,2923.0,328.0,2.0,326.0,366,0.0,,26.0,184.0,64,3617,5950,0.0,2587,0.0141,2586.9859,0,896.0,-70,3413,4,3417,9367,
04/03/2020,10988,445,445,0.0,1793,1793,0.0,0.0,0.0,0.0,0.0,0.0,630.0,,5.0,0.0,,,630.0,2868,1029,,,0.0,,,7091,6669,5719.0,950,,,417,8120,,2497,1966.0,,,531.0,1793,0.0,,,,1793.0,0,,125.0,0,4290,2944,2444.0,500.0,,500.0,395,,,,176.0,94,3339,7629,0.0,2579,0.0142,2578.9858,0,961.0,-185,3355,4,3359,10988,
07/03/2020,12143,588,588,0.0,1789,1789,0.0,294.0,,,,,381.0,,2.0,0.0,,,381.0,3052,1128,,,0.0,,,7963,7526,6266.0,1260,,,435,9091,,2575,2034.0,,,541.0,854,0.0,,,,854.0,0,,124.0,0,3429,4677,4148.0,529.0,,529.0,490,,,,194.0,172,5167,8596,0.0,2600,0.0142,2599.9858,0,1065.0,-127,3538,9,3547,12143,
