Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
06/30/2012,613.0,215,188,91.0,73.0,18.0,119.0,,,,119.0,,-390.0,-446.0,0.0,0.0,0.0,-446.0,-446.0,0.0,24.0,653.0,-629.0,0.0,0.0,0.0,0.0,32.0,-200.0,-187.0,13.0,41.0,0.0,-28.0,0.0,0.0,0.0,-26.0,-1.0,22.0,
09/30/2012,295.0,179,191,19.0,27.0,-8.0,-94.0,,,,-94.0,0.0,-658.0,-629.0,0.0,0.0,0.0,-629.0,-629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.0,379.0,-183.0,591.0,241.0,350.0,0.0,0.0,0.0,0.0,-29.0,3.0,19.0,
12/31/2012,484.0,213,194,-126.0,36.0,-162.0,203.0,,,,203.0,0.0,-1224.0,-607.0,0.0,0.0,0.0,-607.0,-607.0,0.0,10.0,405.0,-395.0,0.0,0.0,0.0,0.0,-627.0,689.0,-198.0,397.0,-57.0,951.0,-497.0,0.0,0.0,0.0,490.0,-1.0,-52.0,
03/31/2013,582.0,340,189,120.0,121.0,-1.0,-67.0,,,,-67.0,0.0,-1774.0,-426.0,0.0,0.0,0.0,-426.0,-426.0,0.0,-27.0,266.0,-293.0,-1254.0,0.0,-1254.0,0.0,-67.0,1287.0,-208.0,1519.0,166.0,1848.0,-495.0,0.0,0.0,0.0,-24.0,-1.0,94.0,
06/30/2013,618.0,199,199,84.0,61.0,23.0,136.0,,,,136.0,0.0,-761.0,-533.0,0.0,0.0,0.0,-533.0,-533.0,0.0,34.0,197.0,-163.0,0.0,0.0,0.0,0.0,-262.0,174.0,-204.0,223.0,274.0,0.0,-51.0,190.0,190.0,0.0,-35.0,-2.0,29.0,
09/30/2013,200.0,263,199,30.0,96.0,-66.0,-292.0,,,,-292.0,0.0,-2265.0,-517.0,0.0,0.0,0.0,-517.0,-517.0,0.0,-16.0,160.0,-176.0,0.0,0.0,0.0,0.0,-1732.0,2006.0,-204.0,2237.0,363.0,2124.0,-250.0,0.0,0.0,0.0,-27.0,2.0,-57.0,
12/31/2013,630.0,236,200,45.0,143.0,-98.0,149.0,,,,149.0,0.0,1564.0,-471.0,0.0,0.0,0.0,-471.0,-471.0,0.0,47.0,400.0,-353.0,0.0,0.0,0.0,0.0,1988.0,-2151.0,-205.0,-1952.0,-1009.0,400.0,-1343.0,24.0,24.0,0.0,-18.0,-2.0,41.0,
03/31/2014,686.0,419,203,129.0,153.0,-24.0,-65.0,,,,-65.0,0.0,-402.0,-374.0,0.0,,0.0,-374.0,-374.0,0.0,-31.0,167.0,-198.0,0.0,0.0,0.0,0.0,3.0,-290.0,-228.0,-86.0,-102.0,300.0,-284.0,52.0,52.0,0.0,-28.0,-2.0,-8.0,
06/30/2014,523.0,146,202,138.0,71.0,67.0,37.0,,,,37.0,0.0,-210.0,-459.0,0.0,,0.0,-459.0,-459.0,0.0,47.0,286.0,-239.0,0.0,0.0,0.0,0.0,202.0,-209.0,-225.0,-194.0,-154.0,412.0,-452.0,139.0,139.0,0.0,71.0,3.0,107.0,
09/30/2014,337.0,201,205,102.0,59.0,43.0,-171.0,,,,-171.0,0.0,-809.0,-596.0,0.0,,0.0,-596.0,-596.0,0.0,-24.0,123.0,-147.0,0.0,0.0,0.0,0.0,-189.0,397.0,-224.0,556.0,649.0,316.0,-409.0,86.0,86.0,0.0,-21.0,-4.0,-79.0,
12/31/2014,675.0,316,199,163.0,105.0,58.0,-3.0,,,,87.0,0.0,-582.0,-599.0,0.0,,0.0,-599.0,-599.0,0.0,33.0,239.0,-206.0,0.0,0.0,0.0,0.0,-16.0,-97.0,-248.0,142.0,181.0,0.0,-39.0,50.0,50.0,0.0,-41.0,-2.0,-6.0,
03/31/2015,766.0,267,196,133.0,61.0,72.0,170.0,,,,170.0,0.0,-404.0,-388.0,0.0,,0.0,-388.0,-388.0,0.0,-22.0,123.0,-145.0,0.0,0.0,0.0,0.0,6.0,-164.0,-250.0,42.0,-952.0,994.0,0.0,39.0,39.0,0.0,5.0,-4.0,194.0,
06/30/2015,690.0,18,197,270.0,-36.0,306.0,205.0,,,,205.0,0.0,-572.0,-601.0,0.0,,0.0,-601.0,-601.0,0.0,37.0,221.0,-184.0,0.0,0.0,0.0,0.0,-8.0,-242.0,-249.0,-117.0,-78.0,0.0,-39.0,141.0,141.0,0.0,-17.0,2.0,-122.0,
09/30/2015,367.0,174,191,126.0,53.0,73.0,-124.0,,,,-124.0,0.0,-527.0,-828.0,0.0,0.0,0.0,-828.0,-828.0,0.0,-21.0,113.0,-134.0,0.0,0.0,0.0,0.0,322.0,215.0,-248.0,270.0,46.0,338.0,-114.0,171.0,171.0,0.0,22.0,-4.0,51.0,
12/31/2015,424.0,-263,194,566.0,10.0,556.0,-73.0,,,,-200.0,0.0,-1279.0,-1031.0,0.0,0.0,0.0,-1031.0,-1031.0,0.0,33.0,238.0,-205.0,0.0,0.0,0.0,0.0,-281.0,731.0,-249.0,666.0,545.0,253.0,-132.0,279.0,279.0,0.0,35.0,-1.0,-125.0,
03/31/2016,557.0,234,196,155.0,86.0,69.0,-28.0,,,,-28.0,0.0,-716.0,-712.0,0.0,0.0,0.0,-712.0,-664.0,-48.0,-20.0,142.0,-162.0,0.0,0.0,0.0,0.0,16.0,222.0,-276.0,9.0,185.0,0.0,-176.0,448.0,448.0,0.0,41.0,3.0,66.0,
06/30/2016,682.0,149,201,127.0,45.0,82.0,205.0,,,,205.0,0.0,-1028.0,-848.0,8.0,0.0,8.0,-856.0,-856.0,0.0,38.0,222.0,-184.0,0.0,0.0,0.0,0.0,-218.0,306.0,-281.0,-269.0,-208.0,382.0,-443.0,741.0,741.0,0.0,115.0,1.0,-39.0,
09/30/2016,360.0,195,202,83.0,12.0,71.0,-120.0,,,,-120.0,0.0,-851.0,-847.0,0.0,0.0,0.0,-847.0,-847.0,0.0,-22.0,111.0,-133.0,0.0,0.0,0.0,0.0,18.0,716.0,-285.0,525.0,525.0,0.0,0.0,391.0,391.0,0.0,85.0,-1.0,224.0,
12/31/2016,427.0,115,200,66.0,55.0,11.0,46.0,,,,46.0,0.0,-1235.0,-1216.0,0.0,0.0,0.0,-1216.0,-1216.0,0.0,41.0,195.0,-154.0,0.0,0.0,0.0,0.0,-60.0,646.0,-285.0,585.0,-183.0,801.0,-33.0,107.0,107.0,0.0,239.0,3.0,-159.0,
06/30/2017,,328,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
