Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investments & Loans Income (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,(Income) Loss from Affiliates,Other Non-Operating (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,Extraordinary & Accounting Items,Income (Loss) incl. Minority Interest,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2012,1046.7,0.0,0.0,0.0,,,1046.7,0.0,0.0,0.0,0.0,1020.1,26.6,,1046.7,-869.0,0.0,869.0,177.7,-4.9,,4.9,172.8,-55.6,,,,117.2,-10.8,-10.8,0.0,128.0,30.7,158.7,0.0,0.0,158.7,158.7,1.6,449.9,0.35,0.32874,0.332296,451.2,0.35,0.326064,0.32961,
03/31/2013,1112.2,0.0,0.0,0.0,,,1112.2,0.0,0.0,0.0,0.0,1087.0,25.2,,1112.2,-845.2,0.0,845.2,267.0,14.8,-8.1,-6.7,281.8,-86.3,,,,195.5,-4.1,-4.1,0.0,199.6,22.6,222.2,0.0,0.0,222.2,222.2,0.9,447.8,0.5,0.487048,0.489058,449.0,0.49,0.480869,0.482873,
06/30/2013,1135.5,0.0,0.0,0.0,,,1135.5,0.0,,0.0,0.0,1107.2,28.3,,1135.5,-861.6,0.0,861.6,273.9,17.9,-6.9,-11.0,291.8,-83.5,,,,208.3,4.6,4.6,0.0,203.7,-1.1,202.6,0.0,0.0,202.6,202.6,1.0,449.1,0.45,0.46,0.463594,450.1,0.45,0.46,0.462222,
09/30/2013,1171.8,0.0,0.0,0.0,,,1171.8,0.0,0.0,0.0,0.0,1140.2,31.6,,1171.8,-885.8,0.0,885.8,286.0,57.0,-10.3,-46.7,343.0,-92.9,,,,250.1,1.4,1.4,0.0,248.7,-20.6,228.1,0.0,0.0,228.1,228.1,0.0,447.9,0.51,0.51,0.51,448.8,0.51,0.51,0.51,
12/31/2013,1225.1,0.0,0.0,0.0,,,1225.1,0.0,0.0,0.0,0.0,1193.9,31.2,,1225.1,-881.9,0.0,881.9,343.2,-4.6,-10.2,14.8,338.6,-74.2,,,,264.4,-66.4,-66.4,0.0,330.8,-43.4,287.4,0.0,0.0,287.4,287.4,-32.435,445.0,0.65,0.5,0.423742,445.9,0.64,0.5,0.423742,
03/31/2014,1269.5,0.0,0.0,0.0,,,1269.5,0.0,0.0,0.0,0.0,1235.1,34.4,,1269.5,-1025.2,0.0,1025.2,244.3,53.5,-10.0,-43.5,297.8,-89.0,,,,208.8,2.0,2.0,0.0,206.8,-19.0,187.8,0.0,0.0,187.8,187.8,25.22,436.8,0.43,0.43,0.492262,437.4,0.43,0.43,0.487659,
06/30/2014,1289.9,0.0,0.0,0.0,,,1289.9,0.0,0.0,0.0,0.0,1251.6,38.3,,1289.9,-890.6,0.0,890.6,399.3,24.3,-5.5,-18.8,423.6,-107.0,,,,316.6,-0.2,-0.2,0.0,316.8,-42.3,274.5,0.0,0.0,274.5,274.5,2.21,435.7,0.63,0.63,0.634634,436.4,0.63,0.63,0.634634,
09/30/2014,1311.0,0.0,0.0,0.0,,,1311.0,0.0,0.0,0.0,0.0,1277.6,33.4,,1311.0,-981.4,0.0,981.4,329.6,17.5,-10.9,-6.6,347.1,-94.9,,,,252.2,0.6,0.6,0.0,251.6,4.4,256.0,0.0,0.0,256.0,256.0,0.0,434.3,0.59,0.59,0.59,434.8,0.59,0.59,0.59,
12/31/2014,1276.7,0.0,0.0,0.0,,,1276.7,0.0,0.0,0.0,0.0,1244.0,32.7,,1276.7,-970.5,0.0,970.5,306.2,20.4,-6.4,-14.0,326.6,-99.7,,,,226.9,1.0,1.0,0.0,225.9,43.9,269.8,0.0,0.0,269.8,269.8,27.3,433.2,0.62,0.63,0.688135,433.6,0.62,0.62,0.682961,
03/31/2015,1291.6,0.0,0.0,0.0,,,1291.6,0.0,0.0,0.0,0.0,1261.6,30.0,,1291.6,-904.6,,904.6,387.0,-1.7,-11.8,13.5,385.3,-101.3,,,,284.0,0.0,0.0,0.0,284.0,-24.4,259.6,0.0,0.0,259.6,259.6,-8.185,432.2,0.6,0.6,0.58171,432.5,0.6,0.6,0.581075,
06/30/2015,1318.1,0.0,0.0,0.0,,,1318.1,0.0,0.0,0.0,0.0,1282.0,36.1,,1318.1,-950.9,0.0,950.9,367.2,-13.8,-12.0,25.8,353.4,-109.4,,,,244.0,0.0,0.0,0.0,244.0,13.3,257.3,0.0,0.0,257.3,257.3,3.64,431.9,0.6,0.6,0.604168,432.2,0.6,0.6,0.604168,
09/30/2015,1273.5,0.0,0.0,0.0,,,1273.5,0.0,0.0,0.0,0.0,1247.3,26.2,,1273.5,-922.9,0.0,922.9,350.6,-8.9,-8.2,17.1,341.7,-100.4,,,,241.3,0.0,0.0,0.0,241.3,8.0,249.3,0.0,0.0,249.3,249.3,-3.112778,428.8,0.58,0.58,0.574131,429.1,0.58,0.58,0.572746,
12/31/2015,1239.7,0.0,0.0,0.0,,,1239.7,0.0,0.0,0.0,0.0,1211.5,28.2,,1239.7,-959.7,0.0,959.7,280.0,1.7,-3.1,1.4,281.7,-86.9,,,,194.8,0.0,0.0,0.0,194.8,7.1,201.9,0.0,0.0,201.9,201.9,23.6,422.9,0.48,0.48,0.533223,423.2,0.48,0.48,0.533223,
03/31/2016,1148.7,0.0,0.0,0.0,,,1148.7,0.0,0.0,0.0,0.0,1125.8,22.9,,1148.7,-881.8,0.0,881.8,266.9,-37.2,12.2,25.0,229.7,-71.9,,,,157.8,0.0,0.0,0.0,157.8,3.2,161.0,0.0,0.0,161.0,161.0,34.3,418.7,0.38,0.38,0.466444,418.9,0.38,0.38,0.461881,
06/30/2016,1189.4,0.0,0.0,0.0,0.0,,1189.4,0.0,0.0,0.0,0.0,1159.0,30.4,,1189.4,-850.0,0.0,850.0,339.4,-19.2,-4.6,23.8,320.2,-83.7,,,,236.5,0.0,0.0,0.0,236.5,-11.0,225.5,0.0,0.0,225.5,225.5,-4.835,418.8,0.54,0.54,0.526898,419.1,0.54,0.54,0.526898,
09/30/2016,1201.6,0.0,0.0,0.0,,,1201.6,0.0,0.0,0.0,0.0,1182.7,18.9,,1201.6,-856.3,0.0,856.3,345.3,0.4,-5.5,5.1,345.7,-89.8,,,,255.9,0.0,0.0,0.0,255.9,-14.7,241.2,0.0,0.0,241.2,241.2,-13.35,412.6,0.58,0.58,0.55223,412.9,0.58,0.58,0.547668,
12/31/2016,1194.7,0.0,0.0,0.0,,,1194.7,0.0,0.0,0.0,0.0,1173.5,21.2,,1194.7,-890.7,0.0,890.7,304.0,7.0,-11.4,4.4,311.0,-92.9,,,,218.1,0.0,0.0,0.0,218.1,8.4,226.5,0.0,0.0,226.5,226.5,7.90037,408.6,0.55,0.55,0.573667,409.0,0.55,0.55,0.569316,
03/31/2017,1192.6,0.0,0.0,0.0,,,1192.6,0.0,0.0,0.0,0.0,1172.9,19.7,,1192.6,-905.5,0.0,905.5,287.1,2.8,-17.7,14.9,289.9,-75.7,,,,214.2,0.0,0.0,0.0,214.2,-2.2,212.0,0.0,0.0,212.0,212.0,10.0,407.7,0.52,0.52,0.544518,408.0,0.52,0.52,0.54451,
06/30/2017,1254.4,0.0,0.0,0.0,0.0,,1254.4,0.0,0.0,0.0,0.0,1238.4,16.0,,1254.4,-903.8,0.0,903.8,350.6,-8.4,-10.5,18.9,342.2,-92.6,,,,249.6,0.0,0.0,0.0,249.6,-10.0,239.6,0.0,0.0,239.6,239.6,-13.6,409.9,0.58,0.58,0.551354,410.3,0.58,0.58,0.546854,
09/30/2017,1337.7,0.0,0.0,0.0,,,1337.7,0.0,0.0,0.0,0.0,1322.2,15.5,,1337.7,-945.7,0.0,945.7,392.0,5.7,-12.9,7.2,397.7,-123.1,,,,274.6,0.0,0.0,0.0,274.6,-7.1,267.5,0.0,0.0,267.5,267.5,-8.4,410.0,0.65,0.65,0.631951,410.5,0.65,0.65,0.629537,
12/31/2017,1375.6,0.0,0.0,0.0,,,1375.6,0.0,0.0,0.0,0.0,1359.2,16.4,,1375.6,-986.5,0.0,986.5,389.1,10.3,-3.6,-6.7,399.4,23.2,,,,422.6,0.0,0.0,0.0,422.6,-14.4,408.2,0.0,0.0,408.2,408.2,-156.36129,410.0,1.0,1.0,0.614241,410.6,0.99,0.99,0.609188,
03/31/2018,1355.8,0.0,0.0,0.0,,,1355.8,0.0,0.0,0.0,0.0,1298.9,56.9,,1355.8,-1007.5,0.0,1007.5,348.3,-14.7,-9.7,24.4,333.6,-68.4,,,,265.2,0.0,0.0,0.0,265.2,-11.3,253.9,0.0,0.0,253.9,253.9,-9.6,411.3,0.62,0.62,0.59397,411.8,0.62,0.62,0.59397,
06/30/2018,1360.6,0.0,0.0,0.0,,,1360.6,0.0,0.0,0.0,0.0,1305.0,55.6,,1360.6,-1028.4,0.0,1028.4,332.2,-18.0,-7.3,25.3,314.2,-72.3,,,,241.9,0.0,0.0,0.0,241.9,3.2,245.1,0.0,0.0,245.1,245.1,20.254,413.9,0.59,0.59,0.641107,414.1,0.59,0.59,0.638911,
09/30/2018,1341.8,0.0,0.0,0.0,,,1341.8,0.0,0.0,0.0,0.0,1294.8,47.0,,1341.8,-991.6,0.0,991.6,350.2,-7.9,-11.8,19.7,342.3,-61.1,,,,281.2,0.0,0.0,0.0,281.2,-11.6,269.6,0.0,0.0,269.6,269.6,-11.0,413.2,0.65,0.65,0.625847,413.4,0.65,0.65,0.623391,
12/31/2018,1255.9,0.0,0.0,0.0,,,1255.9,0.0,0.0,0.0,0.0,1209.0,46.9,,1255.9,-1052.1,0.0,1052.1,203.8,-55.8,-5.0,60.8,148.0,-53.2,,,,94.8,0.0,0.0,0.0,94.8,19.4,114.2,0.0,0.0,114.2,114.2,126.592198,410.0,0.28,0.28,0.587298,410.1,0.28,0.28,0.587298,
03/31/2019,1214.6,0.0,0.0,0.0,,,1214.6,0.0,0.0,0.0,0.0,1164.8,49.8,,1214.6,-975.5,0.0,975.5,239.1,17.7,-15.0,-2.7,256.8,-66.2,,,,190.6,0.0,0.0,0.0,190.6,-12.9,177.7,0.0,0.0,177.7,177.7,40.115,401.6,0.44,0.44,0.542368,401.9,0.44,0.44,0.539813,
06/30/2019,1439.4,0.0,0.0,0.0,,,1439.4,0.0,0.0,0.0,0.0,1381.1,58.3,,1439.4,-1370.0,0.0,1370.0,69.4,7.1,-12.1,5.0,76.5,-14.5,,,,62.0,0.0,0.0,0.0,62.0,-21.9,40.1,0.0,0.0,40.1,40.1,201.131,431.6,0.09,0.09,0.558923,433.8,0.09,0.09,0.553649,
09/30/2019,1720.6,0.0,0.0,0.0,,,1720.6,0.0,0.0,0.0,0.0,1657.1,63.5,,1720.6,-1408.5,0.0,1408.5,312.1,4.5,-19.8,15.3,316.6,-74.0,,,,242.6,0.0,0.0,0.0,242.6,-11.1,231.5,-64.4,0.0,167.1,167.1,158.4,462.8,0.36,0.36,0.703328,466.9,0.36,0.36,0.699259,
12/31/2019,1742.8,0.0,0.0,0.0,,,1742.8,0.0,0.0,0.0,0.0,1682.0,60.8,,1742.8,-1405.4,0.0,1405.4,337.4,-14.4,-9.5,23.9,323.0,-80.4,213.0,22.1,-154.7,242.6,0.0,0.0,0.0,242.6,-3.6,239.0,-59.2,0.0,179.8,179.8,115.5,454.1,0.4,0.4,0.650297,457.9,0.39,0.39,0.642238,
03/31/2020,1598.9,0.0,0.0,0.0,,,1598.9,0.0,0.0,0.0,0.0,1538.9,60.0,,1598.9,-1302.0,0.0,1302.0,296.9,-119.5,-16.9,136.4,177.4,-57.4,,,,120.0,0.0,0.0,0.0,120.0,20.7,140.7,-59.2,0.0,81.5,81.5,52.0,455.7,0.18,0.18,0.292956,458.9,0.18,0.18,0.292956,
06/30/2020,1419.0,0.0,0.0,0.0,,,1419.0,0.0,0.0,0.0,0.0,1373.3,45.7,,1419.0,-1352.4,0.0,1352.4,66.6,38.8,-11.2,-27.6,105.4,-43.4,,,,62.0,0.0,0.0,0.0,62.0,37.7,99.7,-59.2,0.0,40.5,40.5,151.28,460.1,0.09,0.09,0.416822,463.1,0.09,0.09,0.416668,
09/30/2020,1504.0,,,,,,,,,,,,,,,,,,368.5,,,,347.3,,,,,161.229,,,,,,161.229,,,161.229,161.229,,,0.367,0.367,0.443,,0.367,0.367,0.443,
12/31/2020,1509.111,,,,,,,,,,,,,,,,,,361.444,,,,336.1,,,,,170.8,,,,,,170.8,,,170.8,170.8,,,0.353,0.353,0.431,,0.353,0.353,0.431,
