Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1995,15.788,,,-9.443,,,6.345,,-1.348,,,,,4.997,-1.45,,1.518,,0.0,,-0.068,3.547,-1.242,,,2.305,0.0,,,2.305,0.0,2.305,0.0,,2.305,2.305,,0.27963,8.444444,8.444444,,0.27963,8.444444,8.444444,8.444444,
06/30/1995,22.804001,,,-12.752,,,10.052001,,-2.349,,,,,7.703,-1.625,,2.173,,0.0,,-0.548,6.078,-2.306,,,3.772,0.0,,,3.772,0.0,3.772,0.0,,3.772,3.772,,0.285232,13.333333,13.333333,13.333333,0.285232,13.333333,13.333333,13.333333,
09/30/1995,21.988001,,,-14.679,,,7.309001,,-0.941,,,,,6.368,-1.849,,3.363,,0.0,,-1.514,4.519,-1.604,,,2.915,0.0,,,2.915,0.0,2.915,0.0,,2.915,2.915,,0.285255,10.222222,10.222222,,0.285255,10.222222,10.222222,10.222222,
12/31/1995,31.766001,,,-18.738001,,,13.028,,-1.66,,,,,11.368,-2.904,,3.181,,0.0,,-0.277,8.464,-3.005,,,5.459,0.0,,,5.459,0.0,5.459,0.0,,5.459,5.459,,0.287265,19.333333,19.333333,,0.287265,19.333333,19.333333,19.333333,
03/31/1996,44.145,,,-27.202999,,,16.942001,,-2.201,,,,,14.741,-2.923,,3.173,,0.0,,-0.25,11.818,-4.195,,,7.623,0.0,,,7.623,0.0,7.623,0.0,,7.623,7.623,,0.29235,25.999999,25.999999,,0.29235,25.999999,25.999999,25.999999,
06/30/1996,47.692001,,,-30.929001,,,16.763,,-3.183,,,,,13.58,-2.172,,3.962,,0.0,,-1.79,11.408,-4.05,,,7.358,0.0,,,7.358,0.0,7.358,0.0,,7.358,7.358,,0.317055,23.333333,23.333333,23.333333,0.317055,23.333333,23.333333,23.333333,
03/31/1997,79.808998,,,-50.717999,,,29.091,,-3.354,,,,,25.737,-0.377,,3.654,,0.0,,-3.277,25.359999,-9.255,,,16.105,0.177,,,15.927999,0.0,15.928,0.0,,15.928,15.928,,0.34767,46.000001,46.000001,46.000001,0.367465,44.0,44.0,44.0,
06/30/1997,69.097,,,-71.127998,,,-2.030998,,-3.655,,,,,-5.686,-239.250008,,8.68,,0.0,,230.570007,-244.936007,27.153,,,-217.783005,0.0,,,-217.783008,0.0,-217.783005,0.0,,-217.783005,-217.783005,,0.349095,-623.999977,-623.999977,-18.000001,0.349095,-623.999977,-623.999977,-18.000001,
09/30/1997,72.531998,,,-60.419998,,,12.112,,-3.902,,,,,8.21,-2.697,,8.575,,0.0,,-5.878,5.513,0.0,,,5.513,0.0,,,5.513,0.0,5.513,0.0,,5.513,5.513,,0.35188,16.0,16.0,16.0,0.363495,16.0,16.0,16.0,
12/31/1997,81.365997,,,-70.723,,,10.642997,,-1.945,,,,,8.698,-45.784999,,8.873,,0.0,,36.911999,-37.086999,0.0,,,-37.087002,0.0,,,-37.086999,0.0,-37.087002,0.0,,-37.087002,-37.087002,,0.355825,-104.0,-104.0,-4.0,0.355825,-104.0,-104.0,-4.0,
03/31/1998,76.765,,,-42.16,,,34.605,,-30.641,,,,,3.964,-260.464,10.464,10.688,-0.224,0.0,,250.0,-256.5,0.0,,,-256.5,0.0,,,-256.5,,-256.5,0.0,,-256.5,-256.5,,0.40165,-638.0,-638.0,-234.0,0.40165,-638.0,-638.0,-234.0,
06/30/1998,109.31,,,-63.116,,,46.194,0.0,-38.839,38.839,33.705,,0.0,7.355,-255.428,16.094,18.665,-2.571,,,239.334,-248.073,,,,-248.073,,,,,,-248.073,-4.025,,-252.098,-252.098,,0.52231,-482.0,-482.0,-200.0,0.52231,-482.0,-482.0,-200.0,
09/30/1998,106.338,,,-52.771,,,53.567,,-39.917,,,,,13.65,-17.799,17.799,18.577,-0.778,0.0,,0.0,-4.149,0.0,,,-4.149,0.0,,,-4.149,0.0,-4.149,-4.026,0.0,-8.175,-8.175,,0.49023,-16.0,-16.0,-16.0,0.49023,-16.0,-16.0,-16.0,
12/31/1998,85.532997,,,-78.337997,,,7.195,,-7.361,,,,,-0.166,-424.966003,,20.319,,0.0,,404.647003,-425.132003,0.0,,,-425.131989,0.0,,,-425.132003,0.0,-425.131989,-4.026,,-429.157989,-429.157989,,0.48355,-888.000011,-888.000011,-50.0,0.48355,-888.000011,-888.000011,-50.0,
03/31/1999,65.677,,,-52.596,,,13.081,,-6.014,,,,,7.067,-19.017,19.017,19.89,-0.873,0.0,,0.0,-11.95,0.0,,,-11.95,0.0,,,-11.95,0.0,-11.95,-4.026,,-15.976,-15.976,,0.48355,-34.0,-34.0,-34.0,0.48355,-34.0,-34.0,-34.0,
06/30/1999,80.892,,,-49.061,,,31.831,,-6.066,,,,,25.765,-17.292,17.292,20.259,-2.967,0.0,,0.0,8.473,-0.326,,,8.147,0.0,,,8.147,0.0,8.147,-4.026,,4.121,4.121,,0.485245,8.0,8.0,8.0,0.50725,8.0,8.0,8.0,
09/30/1999,102.14,,,-40.055,,,62.085,0.0,-25.587,25.587,22.851,,0.0,36.498,-17.734,17.734,20.42,-2.686,0.0,,0.0,18.764,-0.649,,,18.115,0.0,,,18.115,0.0,18.115,-4.381,0.0,13.734,13.734,,0.48563,28.0,28.0,28.0,0.51788,26.0,26.0,26.0,
12/31/1999,106.237,,,-65.228,,,41.009,,-2.819,,,,,38.19,-18.447,20.483,20.483,,0.0,,-2.036,19.743,-0.789,,,18.954,0.0,,,18.954,0.0,18.954,-4.268,,14.686,14.686,,0.48125,30.0,30.0,30.0,0.5111,28.0,28.0,28.0,
03/31/2000,114.661,,,-68.788,,,45.873,,-4.898,,,,,40.975,-19.672,19.672,20.864,-1.192,0.0,,0.0,21.303,-0.101,,,21.202,,,,21.202,0.0,21.202,-4.042,-10.414,6.746,6.746,,0.508405,54.0,34.0,34.0,0.70065,30.0,14.0,14.0,
06/30/2000,134.463,,,-45.011,,,89.452,,-36.31,,,,,53.142,-20.146,20.146,21.813,-1.667,,,0.0,32.996,-1.362,,,31.634,,,,31.634,,31.634,-2.907,1.481,30.208,30.208,,0.58233,52.0,52.0,52.0,0.730565,44.0,44.0,44.0,
09/30/2000,168.182,,,-86.038,,,82.144,,-5.226,,,,,76.918,-20.813,20.813,21.68,-0.867,0.0,,0.0,56.105,-1.416,,,54.689,,,,54.689,0.0,54.689,-0.965,-5.321,48.403,48.403,,0.732965,66.0,66.0,66.0,0.794235,62.0,62.0,62.0,
12/31/2000,210.646,,,-97.402,,,113.244,,-5.51,,,,,107.734,-21.976,21.899,21.899,,0.0,,0.077,85.758,262.287,,,348.045,0.0,,,348.045,0.0,348.045,,,348.045,348.045,-265.0,0.762665,456.0,456.0,140.0,0.8226,424.0,424.0,108.0,
03/31/2001,277.384,,,-125.654,,,151.73,,-5.034,,,,,146.696,-28.712,25.32,25.889,-0.569,0.0,,3.392,117.984,-47.696,,,70.288,0.0,,,70.288,0.0,70.288,-0.546,,69.742,69.742,,0.788535,88.0,88.0,90.0,0.85163,82.0,82.0,84.0,
06/30/2001,213.226,,,-70.58,,,142.646,0.0,-39.786,39.786,36.913,,0.0,102.86,40.154,22.301,22.984,-0.683,0.0,,-62.455,143.014,-57.529,,,85.485,46.0,,,39.485,0.0,39.485,-0.182,0.0,39.303,39.303,,0.81294,48.0,104.0,104.0,0.856605,46.0,100.0,100.0,
09/30/2001,206.651,,,-75.351,,,131.3,0.0,-31.186,31.186,27.946,,0.0,100.114,8.288,23.972,24.104,-0.132,0.0,,-32.26,108.402,-43.394,,,65.008,0.0,,,65.008,0.0,65.008,0.0,0.0,65.008,65.008,,0.8222,80.0,80.0,80.0,0.85192,76.0,76.0,76.0,
12/31/2001,177.075,,,-93.216,,,83.859,,-7.964,,,,,75.895,-6.93,25.344,25.344,,0.0,,-18.414,68.965,-26.34,,,42.625,0.0,,,42.625,0.0,42.625,-1.322,0.0,41.303,41.303,-5.4,0.82308,50.0,50.0,44.0,0.913625,46.0,46.0,40.0,
03/31/2002,169.304,,,-102.402,,,66.902,,-7.404,,,,,59.498,-105.474,26.006,26.96,-0.954,0.0,,79.468,-45.976,18.39,,,-27.586,0.0,,,-27.586,0.0,-27.586,-2.532,0.0,-30.118,-30.118,,0.82686,-36.0,-36.0,22.0,0.82686,-36.0,-36.0,22.0,
06/30/2002,194.794,,,-124.112,,,70.682,,-7.511,,,,,63.171,-21.452,20.971,24.69,-3.719,0.0,,0.481,41.719,-16.686,,,25.033,0.0,,,25.033,0.0,25.033,-2.53,0.0,22.503,22.503,,0.829815,28.0,28.0,28.0,0.959735,26.0,26.0,26.0,
09/30/2002,196.465,,,-93.818,,,102.647,,-44.925,,,,,57.722,-30.052,24.799,26.599,-1.8,,,5.253,27.67,-11.07,,,16.6,,,,16.6,,16.6,-2.526,,14.074,14.074,,0.83072,16.0,16.0,20.0,0.85591,16.0,16.0,20.0,
12/31/2002,256.443,,,-157.464,,,98.979,,-9.208,,,,,89.771,-46.044,31.314,31.314,,0.0,,14.73,43.727,-17.488,,,26.239,0.0,,,26.239,0.0,26.239,-2.529,0.0,23.71,23.71,,0.951,28.0,28.0,38.0,0.978665,26.0,26.0,36.0,
03/31/2003,376.327,,,-216.026,,,160.301,,-9.063,,,,,151.238,-36.527,36.504,37.004,-0.5,0.0,,0.023,114.711,-43.591,,,71.12,-2.389,,,73.509,0.0,73.509,-3.526,0.0,69.983,69.983,-17.2,0.98804,70.0,68.0,52.0,1.15336,64.0,62.0,48.0,
06/30/2003,429.815,,,-147.056,,,282.759,,-112.857,,,,,169.902,-37.255,37.236,38.036,-0.8,,,0.019,132.647,-50.407,,,82.24,,,,82.24,,82.24,-5.979,,76.261,76.261,,1.071705,72.0,72.0,72.0,1.319595,62.0,62.0,62.0,
09/30/2003,454.549,,,-266.219,,,188.33,,-5.589,,,,,182.741,-41.039,40.651,40.851,-0.2,0.0,,0.388,141.702,-53.843,,,87.859,0.0,,,87.859,0.0,87.859,-5.979,0.0,81.88,81.88,1.5,1.0804,76.0,76.0,78.0,1.327725,66.0,66.0,68.0,
12/31/2003,456.741,,,-272.18,,,184.561,,-7.501,,,,,177.06,-65.168,38.465,38.465,,0.0,,26.703,111.892,-42.519,,,69.373,0.0,,,69.373,0.0,69.373,-6.985,0.0,62.388,62.388,32.56,1.349855,46.2182,46.2182,70.0,1.349855,46.2182,46.2182,70.0,
03/31/2004,563.129,,,-325.05,,,238.079,,-10.035,,,,,228.044,-52.127,46.145,46.545,-0.4,0.0,,5.982,175.917,-63.327,,,112.59,0.0,,,112.59,0.0,112.59,-8.168,0.0,104.422,104.422,4.432,1.18442,88.0,88.0,92.0,1.496205,76.0,76.0,78.2,
06/30/2004,574.292,,,-386.92,,,187.372,,-8.092,,,,,179.28,-27.471,27.506,28.806,-1.3,0.0,,-0.035,151.809,-54.654,,,97.155,0.0,,,97.155,0.0,97.155,-11.344,0.0,85.811,85.811,,1.205735,72.0,72.0,72.0,1.517415,62.0,62.0,62.0,
09/30/2004,629.796,,,-421.686,,,208.11,,-8.945,,,,,199.165,-47.804,48.089,48.689,-0.6,0.0,,-0.285,151.361,-54.489,,,96.872,0.0,,,96.872,0.0,96.872,-11.287,0.0,85.585,85.585,,1.28548,66.0,66.0,66.0,1.597365,58.0,58.0,58.0,
12/31/2004,942.051,,,-272.623,,,669.428,,-283.582,,,,,385.846,-60.007,,43.288,,0.0,,16.719,325.839,-117.301,,,208.538,0.0,,,208.538,0.0,208.538,-8.707,-36.678,163.153,163.153,,1.38705,118.0,118.0,130.0,1.640145,104.0,104.0,112.0,
03/31/2005,900.577,,,-296.57,,,604.007,,-249.343,246.926,237.276,,2.417,354.664,-157.798,39.771,43.128,-3.357,0.0,,118.027,196.866,-71.856,,,125.01,0.0,,,125.01,0.0,125.01,-5.463,,119.547,119.547,,1.549285,78.0,78.0,126.0,1.756785,72.0,72.0,112.0,
06/30/2005,963.964,,,-340.764,,,623.2,,-281.791,279.285,270.003,,2.506,341.409,-36.243,51.897,53.902,-2.005,0.0,,-15.654,305.166,-111.387,,,193.779,0.0,,,193.779,0.0,193.779,-9.859,-4.743,179.177,179.177,,1.555905,116.0,116.0,110.0,1.820315,104.0,104.0,100.0,
09/30/2005,1186.892,,,-377.914,,,808.978,,-369.295,364.046,353.51,,5.249,439.683,-160.961,56.165,58.593,-2.428,0.0,,104.796,278.722,-101.734,,,176.988,0.0,,,176.988,0.0,176.988,-10.204,-17.725,149.059,149.059,,1.610505,92.0,92.0,136.0,1.838195,86.0,86.0,122.0,
12/31/2005,1572.72,,,-454.607,,,1118.113,,-521.846,,,,,596.267,116.372,61.515,64.177,-2.662,0.0,,-177.887,712.639,-260.114,,,452.525,0.0,,,452.525,0.0,452.525,-16.287,-4.406,431.832,431.832,-112.729,1.72307,250.0,250.0,184.0,2.01865,222.0,222.0,168.0,
03/31/2006,1746.952,,,-518.031,,,1228.921,,-420.151,420.151,391.36,,0.0,808.77,197.236,63.022,72.658,-9.636,0.0,,-260.258,1006.006,-382.283,,,623.723,0.0,,,623.723,0.0,623.723,-18.812,-1.009,603.902,603.902,,1.843125,328.0,328.0,280.0,2.157275,288.0,288.0,248.0,
06/30/2006,1567.556,,,-521.609,,,1045.947,0.0,-389.243,389.243,355.688,,0.0,656.704,-52.022,68.482,73.456,-4.974,,,-16.46,604.682,-244.779,,,359.903,,,,359.903,,359.903,-18.228,-9.547,332.128,332.128,,1.903375,174.0,174.0,174.0,2.140795,164.0,164.0,164.0,
09/30/2006,1690.893,,,-554.167,,,1136.726,,-421.855,421.855,384.473,,0.0,714.871,169.538,68.98,74.112,-5.132,0.0,,-238.518,884.409,-336.074,,,548.335,0.0,,,548.335,0.0,548.335,-25.753,0.0,522.582,522.582,,2.087845,250.0,250.0,178.0,2.416365,226.0,226.0,166.0,
12/31/2006,1824.696,,,-602.813,,,1221.883,,-429.751,429.751,390.327,,0.0,792.132,-31.87,74.775,80.496,-5.721,0.0,,-42.905,760.262,-288.9,,,471.362,0.0,,,471.362,0.0,471.362,-25.852,0.0,445.51,445.51,,2.131165,210.0,210.0,198.0,2.455,192.0,192.0,180.0,
03/31/2007,1889.0,,,-635.0,,,1254.0,,-459.0,,,,,795.0,-379.0,70.0,79.0,-9.0,0.0,,309.0,416.0,-158.0,,,258.0,0.0,,,258.0,0.0,258.0,-26.0,0.0,232.0,232.0,192.64,2.255,102.0,102.0,188.0,2.58,100.0,100.0,174.0,
06/30/2007,1953.0,,,-711.0,,,1242.0,,-558.0,558.0,504.0,,0.0,684.0,152.0,83.0,84.0,-1.0,0.0,,-235.0,836.0,-318.0,,,518.0,0.0,,,518.0,0.0,518.0,-26.0,0.0,492.0,492.0,,2.26,218.0,218.0,218.0,2.575,202.0,202.0,202.0,
09/30/2007,1696.0,,,-767.0,,,929.0,0.0,-589.0,545.0,483.0,,44.0,340.0,-70.0,115.0,116.0,-1.0,0.0,,-45.0,270.0,-228.0,,,42.0,0.0,,,42.0,0.0,42.0,-26.0,0.0,16.0,16.0,,2.27,152.0,152.0,144.0,2.585,144.0,144.0,138.0,
12/31/2007,2350.0,,,-825.0,,,1525.0,,-650.0,650.0,575.0,,0.0,875.0,-386.0,125.0,128.0,-3.0,0.0,,261.0,489.0,-186.0,,,303.0,0.0,,,303.0,0.0,303.0,-17.0,-128.0,158.0,158.0,,2.34,68.0,68.0,144.0,2.38,66.0,66.0,142.0,
03/31/2008,2743.0,,,-862.0,,,1881.0,0.0,-853.0,853.0,774.0,79.0,0.0,1028.0,-108.0,97.0,99.0,-2.0,,,1141.0,-212.0,82.0,,,-130.0,,,,-130.0,,-130.0,-12.0,0.0,-142.0,-142.0,,2.465,-58.0,-58.0,-58.0,2.465,-58.0,-58.0,-58.0,
06/30/2008,2949.0,,,-902.0,,,2047.0,0.0,-1176.0,1176.0,1075.0,,0.0,871.0,-3459.0,52.0,54.0,-2.0,,,3407.0,-2588.0,996.0,,,-1592.0,,,,-1592.0,,-1592.0,-9.0,-42.0,-1643.0,-1643.0,,2.605,-632.0,-632.0,-632.0,2.605,-632.0,-632.0,-632.0,
09/30/2008,2873.0,,,-891.0,,,1982.0,0.0,-1122.0,1122.0,1014.0,,0.0,860.0,4541.0,29.0,34.0,-5.0,0.0,,-4570.0,5401.0,-2079.0,,,3322.0,0.0,,,3322.0,0.0,3322.0,-6.0,-25.0,3291.0,3291.0,,2.77,1188.0,1188.0,170.0,2.94,1124.0,1124.0,164.0,
12/31/2008,2267.0,,,-805.0,,,1462.0,,-731.0,730.0,641.0,,1.0,731.0,-2340.0,83.0,84.0,,0.0,,2257.0,-1887.0,614.0,,,-996.0,0.0,,,-1273.0,0.0,-995.0,-6.0,0.0,-1001.0,-1001.0,,2.875,-348.0,-348.0,150.0,2.875,-348.0,-348.0,150.0,
03/31/2009,1895.0,1376.0,519.0,-805.0,301.0,504.0,1090.0,0.0,-10243.0,613.0,523.0,90.0,9630.0,-9153.0,-31.0,,,-14.0,,,45.0,-9184.0,3444.0,0.0,-3444.0,-5740.0,0.0,0.0,0.0,-5740.0,0.0,-5740.0,-6.0,0.0,-5746.0,277.0,6023.0,2.985,-1926.0,-1926.0,92.7974,2.985,-1926.0,-1926.0,91.7554,
06/30/2009,1890.0,1293.0,597.0,-636.0,283.0,353.0,1254.0,0.0,-613.0,574.0,500.0,74.0,39.0,641.0,-253.0,20.0,22.0,-2.0,,,233.0,388.0,-145.0,1.0,144.0,243.0,0.0,0.0,0.0,243.0,0.0,243.0,-6.0,0.0,237.0,377.0,140.0,3.015,78.0,78.0,125.0414,3.05,78.0,78.0,123.9016,
09/30/2009,2096.0,1409.0,687.0,-649.0,292.0,357.0,1447.0,0.0,-765.0,641.0,546.0,95.0,124.0,682.0,-375.0,42.0,43.0,-1.0,,,333.0,307.0,-115.0,0.0,115.0,192.0,0.0,0.0,0.0,192.0,0.0,192.0,-6.0,0.0,186.0,440.0,254.0,3.095,60.0,60.0,142.1648,3.13,60.0,60.0,141.1502,
12/31/2009,2408.0,1864.0,544.0,-691.0,289.0,402.0,1717.0,0.0,-2244.0,836.0,747.0,89.0,1408.0,-527.0,-271.0,60.0,62.0,-2.0,,,211.0,-798.0,299.0,3.0,-302.0,-499.0,0.0,0.0,0.0,-499.0,-25.0,-524.0,-6.0,0.0,-530.0,490.0,1020.0,3.14,-168.0,-168.0,156.051,3.14,-168.0,-168.0,156.051,
03/31/2010,2483.0,2084.0,399.0,-662.0,304.0,358.0,1821.0,0.0,-924.0,924.0,815.0,109.0,0.0,897.0,303.0,24.0,25.0,-1.0,,-13.0,-314.0,1200.0,-462.0,,462.0,738.0,0.0,0.0,0.0,738.0,0.0,738.0,-6.0,0.0,732.0,528.25,-203.75,3.15,234.0,234.0,167.6984,3.235,228.0,228.0,165.017,
06/30/2010,2408.0,1835.0,573.0,-696.0,303.0,393.0,1712.0,0.0,-869.0,869.0,763.0,106.0,0.0,843.0,-429.0,,,-16.0,,-27.0,472.0,414.0,-159.0,5.0,154.0,255.0,0.0,0.0,0.0,255.0,0.0,255.0,-20.0,0.0,235.0,534.4,299.4,3.155,74.0,74.0,169.382,3.175,74.0,74.0,168.2992,
09/30/2010,2528.0,2016.0,512.0,-751.0,317.0,434.0,1777.0,0.0,-1013.0,976.0,851.0,125.0,37.0,764.0,143.0,-1.0,3.0,-4.0,,,-142.0,907.0,-349.0,-1.0,350.0,558.0,0.0,0.0,0.0,558.0,0.0,558.0,-43.0,0.0,515.0,478.0,-37.0,3.16,162.0,162.0,151.2658,3.72,150.0,150.0,140.0538,
12/31/2010,2603.0,2032.0,571.0,-763.0,334.0,429.0,1840.0,0.0,-884.0,1037.0,923.0,114.0,-153.0,956.0,-593.0,5.0,7.0,-2.0,,,588.0,363.0,-140.0,-4.0,144.0,223.0,0.0,0.0,0.0,223.0,0.0,223.0,-43.0,0.0,180.0,478.0,298.0,3.16,58.0,58.0,151.2658,3.195,56.0,56.0,149.2708,
03/31/2011,2794.0,2306.0,488.0,-786.0,360.0,426.0,2008.0,0.0,-1110.0,1115.0,985.0,130.0,-5.0,898.0,-1164.0,6.0,7.0,-1.0,,-25.0,1183.0,-266.0,104.0,6.0,-110.0,-162.0,0.0,0.0,0.0,-162.0,0.0,-162.0,-43.0,0.0,-205.0,518.0,723.0,3.17,-64.0,-64.0,163.407,3.17,-64.0,-64.0,163.407,
06/30/2011,3211.0,2804.0,407.0,-829.0,400.0,429.0,2382.0,0.0,-1504.0,1496.0,1366.0,130.0,8.0,878.0,-43.0,24.0,25.0,-1.0,,-47.0,66.0,835.0,-325.0,6.0,319.0,510.0,0.0,0.0,0.0,510.0,0.0,510.0,-43.0,0.0,467.0,528.0,61.0,3.175,148.0,148.0,166.2992,3.755,136.0,136.0,152.245,
09/30/2011,3346.0,3002.0,344.0,-948.0,450.0,498.0,2398.0,0.0,-1546.0,1543.0,1392.0,151.0,3.0,852.0,659.0,,4.0,,,,-663.0,1511.0,-589.0,-1.0,590.0,922.0,0.0,0.0,0.0,922.0,0.0,922.0,-43.0,0.0,879.0,496.0,-383.0,3.19,276.0,276.0,155.4858,3.765,246.0,246.0,144.2736,
03/31/2012,2689.0,2572.0,117.0,-1082.0,492.0,590.0,1607.0,0.0,-1331.0,1333.0,1197.0,136.0,-2.0,276.0,-281.0,11.0,12.0,-1.0,,5.0,265.0,-5.0,2.0,0.0,-2.0,-3.0,0.0,0.0,0.0,-3.0,-25.0,-28.0,-43.0,0.0,-71.0,94.0,165.0,3.21,-22.0,-22.0,29.2834,3.21,-22.0,-22.0,29.2834,
