Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/1992,90.199997,,,-65.900002,,24.299995,,-8.8,,,,15.5,1.0,,1.1,,0.0,,-2.1,16.5,-4.8,11.7,0.0,,,11.7,0.0,11.7,0.0,,11.7,11.7,,95.888,0.1225,0.1225,,95.888,0.1225,0.1225,0.1225,
09/30/1992,101.599998,,,-80.699997,,20.900002,,-4.3,,,,16.6,3.6,,1.7,,0.0,,-5.3,20.200001,-5.7,14.5,0.0,,,14.500001,0.0,14.5,0.0,,14.5,14.5,,95.896004,0.15125,0.15125,,95.896004,0.15125,0.15125,0.15125,
12/31/1992,68.900002,,,-54.0,,14.900002,,-16.6,,,,-1.7,-0.6,,1.7,,0.0,,-1.1,-2.3,1.8,-0.5,0.0,,,-0.5,0.0,-0.5,0.0,,-0.5,-0.5,,95.999992,-0.00625,-0.005,-0.005,95.999992,-0.00625,-0.005,-0.005,
03/31/1993,40.700001,,,-37.299999,,3.400002,,-3.7,,,,-0.3,0.1,,1.6,,0.0,,-1.7,-0.2,0.1,-0.1,0.0,,,-0.1,0.0,-0.1,0.0,,-0.1,-0.1,,96.0,-0.00125,-0.00125,,96.0,-0.00125,-0.00125,-0.00125,
06/30/1993,84.5,,,-65.300003,,19.199997,,-4.4,,,,14.8,34.500001,,1.7,,0.0,,-36.200001,49.300001,-15.8,33.5,0.0,,,33.500001,0.0,33.5,0.0,,33.5,33.5,,96.008003,0.34875,0.34875,,96.008003,0.34875,0.34875,0.34875,
09/30/1993,83.5,,,-71.199997,,12.300003,,-4.0,,,,8.3,1.0,,1.6,,0.0,,-2.6,9.3,-2.1,7.2,0.0,,,7.2,0.0,7.2,0.0,,7.2,7.2,,96.295998,0.075,0.075,,96.295998,0.075,0.075,0.075,
12/31/1993,99.099998,,,-79.0,,20.099998,,-3.1,,,,17.0,0.3,,1.7,,0.0,,-2.0,17.3,-3.3,14.0,0.0,,,14.0,0.0,14.0,0.0,,14.0,14.0,,96.0,0.14625,0.14625,0.14625,96.0,0.14625,0.14625,0.14625,
03/31/1994,48.099998,,,-39.5,,8.599998,,-4.0,,,,4.6,-1.6,,1.6,,0.0,,0.0,3.0,-0.8,2.2,0.0,,,2.2,0.0,2.2,0.0,,2.2,2.2,,96.800003,0.0225,0.0225,,96.800003,0.0225,0.0225,0.0225,
06/30/1994,83.400002,,,-63.799999,,19.600002,,-3.9,,,,15.7,-1.7,,1.7,,0.0,,0.0,14.0,-3.6,10.4,0.0,,,10.4,0.0,10.4,0.0,,10.4,10.4,,96.800003,0.1075,0.1075,,96.800003,0.1075,0.1075,0.1075,
09/30/1994,107.400002,,,-83.800003,,23.599998,,-4.4,,,,19.200001,0.2,,1.6,,0.0,,-1.8,19.400001,-4.6,14.8,0.0,,,14.800001,0.0,14.8,0.0,,14.8,14.8,,96.800003,0.15375,0.15375,,96.800003,0.15375,0.15375,0.15375,
12/31/1994,140.600006,,,-112.800003,,27.800003,,-3.6,,,,24.200001,-3.1,,1.7,,0.0,,1.4,21.100001,-5.7,15.4,0.0,,,15.400001,0.0,15.4,0.0,,15.4,15.4,,96.8,0.15875,0.15875,0.15875,96.8,0.15875,0.15875,0.15875,
03/31/1995,60.200001,,,-49.799999,,10.400002,,-3.1,,,,7.3,-0.2,,1.7,,0.0,,-1.5,7.1,-2.1,5.0,0.0,,,5.0,0.0,5.0,0.0,,5.0,5.0,,96.800003,0.05125,0.05125,,96.800003,0.05125,0.05125,0.05125,
06/30/1995,116.199997,,,-89.800003,,26.399994,,-3.7,,,,22.700001,-11.0,,1.5,,0.0,,9.5,11.700001,9.2,20.9,0.0,,,20.900001,0.0,20.9,0.0,,20.9,20.9,,96.0,0.21875,0.21875,,96.0,0.21875,0.21875,0.21875,
09/30/1995,141.5,,,-108.099998,,33.400002,,-3.9,,,,29.5,-2.8,,1.6,,0.0,,1.2,26.7,-9.4,17.299999,0.0,,,17.3,0.0,17.299999,0.0,,17.299999,17.299999,,96.0,0.18125,0.18125,,96.0,0.18125,0.18125,0.18125,
12/31/1995,142.800003,,,-108.699997,,34.100006,,-4.4,,,,29.700001,-3.6,,1.7,,0.0,,1.9,26.100001,-8.4,17.700001,3.1,,,14.600001,0.0,14.6,0.0,,14.6,14.6,,95.2,0.15375,0.18625,0.18625,95.2,0.15375,0.18625,0.18625,
03/31/1996,57.099998,,,-46.700001,,10.399997,,-3.8,,,,6.6,-1.3,,1.2,,0.0,,0.1,5.3,-1.7,3.6,0.0,,,3.6,0.0,3.6,0.0,,3.6,3.6,,94.4,0.0375,0.0375,0.0375,94.4,0.0375,0.0375,0.0375,
06/30/1996,136.300003,,,-106.199997,,30.100006,,-3.7,,,,26.4,1.4,,1.2,,0.0,,-2.6,27.799999,-10.0,17.799999,0.0,,,17.799999,0.0,17.799999,0.0,,17.799999,17.799999,,93.599998,0.19,0.19,,93.599998,0.19,0.19,0.19,
09/30/1996,163.699997,,,-126.599998,,37.099998,,-4.0,,,,33.099998,0.3,,1.1,,0.0,,-1.4,33.399998,-12.1,21.299999,0.0,,,21.299998,0.0,21.299999,0.0,,21.299999,21.299999,,93.599998,0.23,0.23,0.23,93.599998,0.23,0.23,0.23,
12/31/1996,146.100006,,,-113.400002,,32.700004,,-5.2,,,,27.5,1.5,,1.1,,0.0,,-2.6,29.0,-10.7,18.299999,0.0,,,18.3,0.0,18.299999,0.0,,18.299999,18.299999,,92.8,0.2,0.2,0.2,92.8,0.2,0.2,0.2,
03/31/1997,28.799999,,,-21.0,,7.799999,,-3.7,,,,4.1,0.3,,0.9,,0.0,,-1.2,4.4,-1.4,3.0,0.0,,,3.0,0.0,3.0,0.0,,3.0,3.0,,91.0,0.0325,0.0325,0.0325,91.384003,0.0325,0.0325,0.0325,
06/30/1997,115.099998,,,-96.099998,,19.0,,-3.5,,,,15.5,4.0,,0.8,,0.0,,-4.8,19.5,-6.6,12.9,0.0,,,12.9,0.0,12.9,0.0,,12.9,12.9,,90.968002,0.1425,0.1425,0.11125,91.367996,0.14125,0.14125,0.11125,
09/30/1997,146.800003,,,-118.300003,,28.5,,-5.4,,,,23.1,0.0,,0.5,,0.0,,-0.5,23.1,-2.0,21.1,0.0,,,21.1,0.0,21.1,0.0,,21.1,21.1,,91.031998,0.2325,0.2325,0.1725,91.872002,0.23125,0.23125,0.17125,
12/31/1997,148.199997,,,-119.099998,,29.099998,,-4.4,,,,24.700001,0.9,,0.4,,0.0,,-1.3,25.600001,-7.7,17.9,0.0,,,17.900001,0.0,17.9,0.0,,17.9,17.9,,90.856003,0.19625,0.19625,0.19125,91.648003,0.195,0.195,0.19,
03/31/1998,35.599998,,,-30.1,,5.499998,,-4.7,,,,0.8,-0.1,,0.2,,0.0,,-0.1,0.7,-0.2,0.5,0.0,,,0.5,0.0,0.5,0.0,,0.5,0.5,,90.584,0.005,0.005,0.005,91.223999,0.005,0.005,0.005,
06/30/1998,156.100006,,,-127.199997,,28.900009,,-4.9,,,,24.0,-1.199976,,0.1,,0.0,,1.099976,22.800024,-5.9,16.9,0.0,,,16.900024,0.0,16.9,0.0,,16.9,16.9,,90.608002,0.18625,0.18625,0.18625,91.384003,0.185,0.185,0.185,
09/30/1998,173.600006,,,-140.600006,,33.0,,-3.4,,,,29.6,-2.4,,0.1,,0.0,,2.3,27.2,-7.1,20.1,0.0,,,20.100001,0.0,20.1,0.0,,20.1,20.1,,89.655998,0.225,0.225,0.225,90.112,0.2225,0.2225,0.2225,
12/31/1998,128.5,,,-100.099998,,28.400002,,-5.7,,,,22.700001,-1.6,,0.0,,0.0,,1.6,21.100001,-1.2,19.9,0.0,,,19.900001,0.0,19.9,0.0,,19.9,19.9,,88.800003,0.22125,0.22125,0.22125,90.400002,0.22,0.22,0.22,
03/31/1999,22.799999,,,-13.0,,9.799999,,-3.7,,,,6.1,-2.4,-1.4,0.0,-1.4,0.0,,3.8,3.7,-1.0,2.7,0.0,,,2.7,0.0,2.7,0.0,,2.7,2.7,,89.328003,0.03,0.03,0.03,89.727997,0.03,0.03,0.03,
06/30/1999,96.400002,,,-77.699997,,18.700005,,-4.2,,,,14.5,-3.9,0.7,1.2,-0.5,0.0,,3.2,10.6,-2.8,7.8,0.0,,,7.8,0.0,7.8,0.0,,7.8,7.8,,89.615997,0.0875,0.0875,0.0875,90.008003,0.0875,0.0875,0.0875,
09/30/1999,90.5,,,-100.300003,,-9.800003,,-3.3,,,,-13.1,-3.4,1.2,1.2,,0.0,,2.2,-16.5,5.799927,-10.7,0.0,,,-10.700073,0.0,-10.7,0.0,,-10.7,-10.7,,88.896004,-0.12,-0.12,-0.12,88.896004,-0.119999,-0.12,-0.12,
12/31/1999,161.300003,,,-138.300003,,23.0,,-4.9,,,,18.1,-11.2,3.2,1.3,,0.0,,8.0,6.900001,-1.899927,5.0,0.0,,,5.000074,0.0,5.0,0.0,,5.0,5.0,,88.800003,0.05625,0.05625,0.05625,88.800003,0.056249,0.05625,0.05625,
03/31/2000,36.299999,,,-31.1,,5.199999,,-3.4,,,,1.8,-6.5,1.2,1.2,,,,5.3,-4.7,1.2,-3.5,,,,-3.5,,-3.5,,,-3.5,-3.5,,85.304001,-0.04,-0.04,-0.04,85.304001,-0.04,-0.04,-0.04,
06/30/2000,135.899994,,,-116.300003,,19.599991,,-4.9,,,,14.7,1.3,1.3,1.3,,0.0,,-2.6,16.0,-5.0,11.0,0.0,,,11.0,0.0,11.0,0.0,0.0,11.0,11.0,,84.360001,0.13,0.13,0.09,84.744003,0.13,0.13,0.09,
09/30/2000,149.600006,,,-132.800003,,16.800003,,-5.9,,,,10.9,-4.1,,1.2,,0.0,,2.9,6.799999,-0.5,6.3,0.0,,,6.299999,0.0,6.3,0.0,0.0,6.3,6.3,,82.816002,0.075,0.075,0.07625,83.127998,0.075,0.075,0.07625,
12/31/2000,110.300003,,,-100.0,,10.300003,,-4.5,,,,5.8,-7.3,1.2,1.2,,0.0,,6.1,-1.5,5.8,4.3,0.0,,,4.3,0.0,4.3,0.0,,4.3,4.3,,80.800003,0.05375,0.05375,-0.0025,80.800003,0.0525,0.0525,-0.0025,
03/31/2001,28.799999,,,-35.099998,,-6.299999,,-2.8,,,,-9.1,-6.9,1.0,2.1,-1.1,0.0,,5.9,-16.0,5.2,-10.8,-9.3,,,-1.5,1.2,-0.3,0.0,0.0,-0.3,-0.3,,80.832001,-0.00375,-0.11875,-0.10375,80.832001,-0.00375,-0.11875,-0.10375,
06/30/2001,93.699997,,,-111.300003,,-17.600006,,-5.2,,,,-22.799999,-0.8,,2.5,-0.9,0.0,,-0.8,-23.599999,7.1,-16.5,0.0,,,-16.499999,1.4,-15.1,0.0,0.0,-15.1,-15.1,,80.944,-0.1875,-0.1875,-0.185,80.944,-0.1875,-0.1875,-0.185,
09/30/2001,121.699997,,,-122.699997,,-1.0,,-3.9,,,,-4.9,0.9,2.0,2.8,-0.8,0.0,,-2.9,-4.0,1.1,-2.9,0.0,,,-2.9,1.2,-1.7,0.0,0.0,-1.7,-1.7,,81.112,-0.02,-0.02,-0.015,81.112,-0.02,-0.02,-0.015,
12/31/2001,120.800003,,,-124.099998,,-3.299995,,-3.3,,,,-6.6,-2.9,1.4,1.4,,0.0,,1.5,-9.5,2.9,-7.1,0.0,,,-6.6,1.3,-5.8,0.0,0.0,-5.8,-5.8,,80.800003,-0.0725,-0.0725,-0.05625,80.800003,-0.0725,-0.0725,-0.05625,
03/31/2002,56.3,,,-69.1,,-12.8,,-4.0,,,,-16.8,1.2,0.8,1.9,-1.1,0.0,,-2.0,-15.6,6.7,-8.9,16.0,,,-24.9,0.0,-24.9,0.0,0.0,-24.9,-24.9,,81.32,-0.305,-0.11,-0.11,81.32,-0.305,-0.11,-0.11,
06/30/2002,155.9,,,-153.0,,2.9,,-6.8,,,,-3.9,-0.3,1.1,2.0,-0.9,0.0,,-0.8,-4.2,6.2,2.0,1.9,,,0.1,0.0,0.1,0.0,0.0,0.1,0.1,,81.456,0.00125,0.02375,0.02375,81.456,0.00125,0.02375,0.02375,
09/30/2002,200.5,,,-191.100006,,9.399994,,-5.2,,,,4.2,-121.0,0.6,2.0,-1.4,0.0,,120.4,-116.8,-1.9,-118.699997,0.0,,,-118.7,26.5,-92.199997,0.0,0.0,-92.199997,-92.199997,,80.968002,-1.14,-1.14,0.0425,80.968002,-1.14,-1.14,0.0425,
12/31/2002,185.899994,,,-169.0,,16.899994,,-7.8,,,,9.1,-54.600002,-0.2,1.2,-1.4,0.0,,54.800002,-45.500001,-20.1,-65.599998,5.2,,,-70.800001,0.0,-70.800003,0.0,0.0,-70.800003,-70.800003,,80.800003,-0.87625,-0.81125,-0.3875,80.800003,-0.87625,-0.81125,-0.3875,
03/31/2003,153.4,,,-151.0,,2.4,,-4.9,,,,-2.5,5.8,-1.5,1.2,-2.7,0.0,,-4.3,3.3,-1.1,2.2,0.0,,,2.2,0.0,2.2,0.0,0.0,2.2,2.2,,81.616,0.02625,0.02625,0.02625,82.68,0.02625,0.02625,0.02625,
06/30/2003,209.2,,,-224.8,,-15.6,,-4.5,,,,-20.1,-2.0,-1.2,1.3,-2.5,0.0,,3.2,-22.1,0.9,-21.2,0.0,,,-21.2,0.0,-21.2,0.0,0.0,-21.2,-21.2,,81.984,-0.25875,-0.25875,-0.2275,81.984,-0.25875,-0.25875,-0.2275,
09/30/2003,229.3,,,-218.9,,10.4,,-6.1,,,,4.3,-8.8,-1.5,1.2,-2.7,0.0,,10.3,-4.5,-0.3,-4.8,0.0,,,-4.8,0.0,-4.8,0.0,0.0,-4.8,-4.8,,81.984,-0.05875,-0.05875,0.0775,81.984,-0.05875,-0.05875,0.0775,
12/31/2003,243.800003,,,-240.300003,,3.5,,-9.6,,,,-6.1,-5.8,-1.8,0.9,-2.7,0.0,,7.6,-11.9,0.8,-11.1,-2.2,,,-8.9,0.0,-8.9,0.0,0.0,-8.9,-8.9,,82.400002,-0.1075,-0.13375,0.074,82.400002,-0.1075,-0.13375,0.074,
03/31/2004,236.600006,,,-229.5,,7.100006,,-9.0,,,,-1.9,1.2,-2.3,0.3,-2.6,0.0,,1.1,-0.7,0.1,-0.6,0.0,,,-0.6,0.0,-0.6,-1.1,0.0,-1.7,-1.7,,84.440002,-0.02,-0.02,-0.001125,84.440002,-0.02,-0.02,-0.001125,
06/30/2004,301.399994,,,-262.0,,39.399994,,-4.0,,,,35.400002,3.3,-2.4,0.2,-2.6,0.0,,-0.9,38.700002,-5.9,32.799999,0.0,,,32.800001,0.0,32.799999,-1.4,0.0,31.399999,31.399999,,85.056,0.37125,0.37125,0.37125,86.711998,0.3625,0.3625,0.3625,
09/30/2004,348.9,,,-287.6,,61.3,,-13.0,,,,48.3,59.5,-2.5,0.2,-2.7,0.0,,-57.0,107.8,-25.2,82.6,-4.9,,,87.5,,87.5,-1.4,0.0,86.1,86.1,,171.128,0.50375,0.475,0.21325,220.384,0.3975,0.375,0.17175,
12/31/2004,331.100006,,,-280.200012,,50.899994,,-9.9,,,,41.0,98.099997,,0.1,-3.6,0.0,,-94.599997,139.099997,66.0,205.100006,1.8,,,203.299997,0.0,203.300003,-1.4,0.0,201.900003,201.900003,,86.0,2.3525,2.3725,0.41375,111.199997,1.8275,1.8425,0.3275,
03/31/2005,273.9,,,-227.5,,46.4,,-12.3,11.3,,1.0,34.1,-6.0,-3.7,0.2,-3.9,0.0,,9.7,28.1,-7.2,20.9,-5.3,,,26.2,0.0,26.2,-1.4,0.0,24.8,24.8,,86.396,0.2875,0.2275,0.2275,110.62,0.2375,0.19,0.19,
06/30/2005,488.8,,,-349.1,,139.7,,-10.3,,,,129.4,10.6,-1.4,1.7,-3.1,0.0,,-9.2,140.0,-36.5,103.5,-0.1,,,103.6,-3.9,99.7,-1.4,0.0,98.3,98.3,,86.868,1.1325,1.1325,1.03979,111.208,0.8975,0.895,0.824533,
09/30/2005,517.4,,,-384.8,,132.6,,-11.3,,,,121.3,2.2,-1.4,1.6,-3.0,0.0,,-0.8,123.5,-34.2,89.3,-0.1,,,89.4,-3.8,85.6,-1.4,0.0,84.2,84.2,,87.14,0.965,0.9625,0.9625,111.516,0.7675,0.765,0.765,
12/31/2005,468.9,,,-388.0,,80.9,,-19.3,,,,61.6,11.6,,1.0,-3.9,0.0,,-8.7,73.2,-7.1,66.1,0.0,,,66.1,0.0,66.1,-1.4,0.0,64.7,64.7,,87.2,0.7425,0.7425,0.64,112.0,0.59,0.59,0.51,
03/31/2006,309.0,,,-251.0,,58.0,,-11.8,9.8,,2.0,46.2,3.8,-3.3,1.0,-4.3,0.0,,-0.5,50.0,-9.9,40.1,-0.2,,,40.3,-2.4,37.9,-1.4,0.0,36.5,36.5,,87.396,0.4175,0.415,0.415,110.724,0.3425,0.34,0.34,
06/30/2006,489.2,,,-357.5,,131.7,,-15.3,,,,116.4,1.4,-2.7,0.8,-3.5,0.0,,1.3,117.8,-29.6,88.2,-0.1,,,88.3,-5.2,83.1,-1.4,0.0,81.7,81.7,,85.44,0.955,0.955,0.955,108.89,0.765,0.765,0.765,
09/30/2006,583.1,,,-447.6,,135.5,,-16.0,,,,119.5,5.2,-3.5,1.0,-4.5,0.0,,-1.7,124.7,-31.3,93.4,0.0,,,93.4,-4.3,89.1,-1.4,0.0,87.7,87.7,,82.264,1.065,1.065,1.065,105.784,0.84,0.84,0.84,
12/31/2006,555.1,,,-451.6,,103.5,,-15.1,,,,88.4,6.9,,0.8,-4.9,0.0,,-2.8,95.3,-20.1,75.2,0.0,,,75.2,-5.2,70.0,-1.4,0.0,68.6,68.6,,82.84,0.845,0.845,0.865,105.26,0.665,0.665,0.68,
03/31/2007,327.7,,,-263.7,,64.0,,-19.1,,,,44.9,5.6,-4.3,1.0,-5.3,0.0,,-1.3,50.5,-13.5,37.0,0.0,,,37.0,-4.5,32.5,-1.4,0.0,31.1,31.1,,81.216,0.385,0.385,0.38,104.354,0.31,0.31,0.305,
06/30/2007,551.6,,,-418.0,,133.6,,-17.7,18.7,,-1.0,115.9,1.3,-2.5,2.1,-4.6,,,1.2,117.2,-25.8,91.4,,,,91.4,-4.5,86.9,-1.4,,85.5,85.5,,81.544,1.05,1.05,1.045,104.664,0.83,0.83,0.825,
09/30/2007,623.7,,,-512.3,,111.4,,-29.5,21.6,,7.9,81.9,-3.8,2.3,7.9,-5.6,0.0,,1.5,78.1,-17.5,60.6,0.0,,,60.6,-3.7,56.9,-1.4,0.0,55.5,55.5,,82.586,0.67,0.67,0.67,105.0,0.54,0.54,0.54,
12/31/2007,786.7,,,-619.2,,167.5,0.0,-47.0,40.6,,6.4,120.5,3.2,7.1,11.6,-4.5,0.0,,-18.4,123.7,-27.3,96.4,-0.2,,,96.6,-2.9,93.7,-1.0,0.0,92.7,92.7,,86.6,1.07,1.07,0.795,106.0,0.885,0.885,0.66,
03/31/2008,498.2,,,-412.0,,86.2,,-43.6,,,,42.6,-8.5,1.6,7.2,-5.6,0.0,,6.9,34.1,-14.3,19.8,0.0,,,19.8,-3.1,16.7,-0.9,0.0,15.8,15.8,,89.936,0.175,0.175,0.175,104.916,0.16,0.16,0.16,
06/30/2008,1015.7,,,-582.3,,433.4,,-43.5,52.1,,-8.6,389.9,10.1,3.5,9.8,-6.3,0.0,,-13.6,400.0,-107.4,292.6,0.0,,,292.6,-22.4,270.2,-0.4,0.0,269.8,269.8,,98.127,2.75,2.75,2.6,105.227,2.57,2.57,2.43,
09/30/2008,1194.8,,,-824.7,,370.1,,-30.8,41.8,,-11.0,339.3,-108.8,4.8,10.7,-5.9,,,104.0,230.5,-52.0,178.5,,,,178.5,-3.6,174.9,,,174.9,174.9,,104.753,1.67,1.67,1.67,108.719,1.61,1.61,1.61,
12/31/2008,922.0,,,-630.4,,291.6,0.0,-53.7,48.0,,5.7,237.9,-221.3,3.7,12.1,-8.4,0.0,,208.7,16.6,29.4,46.0,0.0,,,46.0,7.9,53.9,0.0,0.0,53.9,53.9,,113.1,0.48,0.48,1.14,113.8,0.47,0.47,1.13,
03/31/2009,464.8,421.1,43.7,-422.4,422.4,42.4,2.4,-33.4,31.8,,1.6,11.4,-8.7,5.9,9.3,-3.4,,-9.2,2.8,2.7,-1.1,-7.6,0.0,0.0,0.0,-7.6,0.2,-7.4,0.0,0.0,-7.4,-8.05,-0.65,113.24,-0.07,-0.07,-0.071088,113.24,-0.07,-0.07,-0.07574,
06/30/2009,390.3,353.1,37.2,-402.0,402.0,-11.7,1.3,-6.9,23.4,,-16.5,-17.3,70.4,7.6,10.0,-2.4,,-25.5,-78.0,53.1,17.6,45.2,0.0,0.0,0.0,45.2,0.3,45.5,0.0,0.0,45.5,45.825,0.325,125.055,0.36,0.36,0.366439,125.779,0.36,0.36,0.362584,
09/30/2009,666.4,669.9,-3.5,-563.2,563.2,103.2,0.0,-22.7,28.4,,-5.7,80.5,0.9,8.1,10.0,-1.9,,-20.9,-9.0,81.4,-1.9,58.6,0.0,0.0,0.0,58.6,0.2,58.8,,0.0,58.8,58.15,-0.65,130.84,0.45,0.45,0.444436,131.736,0.45,0.45,0.444436,
12/31/2009,820.5,772.1,48.4,-645.5,645.5,175.0,1.3,-20.7,37.1,,-16.4,155.6,-2.2,6.6,9.7,-3.1,,-9.9,-4.4,153.4,-35.4,108.1,0.0,0.0,0.0,108.1,0.1,108.2,0.0,0.0,108.2,100.595,-7.605,130.856,0.83,0.83,0.768746,131.697,0.82,0.82,0.762254,
03/31/2010,727.7,671.5,56.2,-577.7,577.7,150.0,0.0,-36.6,44.4,,-7.8,113.4,33.8,7.8,10.2,-2.4,,-3.4,-41.6,147.2,-66.4,77.4,0.0,0.0,0.0,77.4,0.0,77.4,0.0,0.0,77.4,52.31,-25.09,135.174,0.57,0.57,0.386983,135.954,0.57,0.57,0.385452,
06/30/2010,1184.3,1116.2,68.1,-769.6,769.6,414.7,0.0,-48.9,42.5,,6.4,365.8,-14.1,10.6,13.3,-2.7,,8.2,3.5,351.7,-99.3,260.6,0.0,0.0,0.0,260.6,0.1,260.7,0.0,0.0,260.7,260.7,0.0,135.319,1.93,1.93,1.93,136.134,1.92,1.92,1.92,
09/30/2010,1346.0,1287.2,58.8,-868.8,868.8,477.2,0.0,-86.8,57.3,,29.5,390.4,20.2,14.1,17.4,-3.3,,3.6,-34.3,410.6,-116.1,298.1,0.7,0.7,0.0,297.4,0.0,297.4,0.0,0.0,297.4,298.1,0.0,135.345,2.2,2.2,2.2,136.213,2.18,2.19,2.19,
12/31/2010,1424.1,1341.9,82.2,-940.6,940.6,483.5,0.0,-84.9,58.5,,26.4,398.6,-7.1,27.6,29.1,-1.5,,5.1,-20.5,391.5,-11.4,385.2,1.1,1.1,0.0,384.1,0.0,384.1,0.0,0.0,384.1,385.2,0.0,135.36,2.84,2.85,2.85,136.254,2.82,2.83,2.83,
03/31/2011,1183.2,1133.0,50.2,-583.7,583.7,599.5,0.0,-57.4,50.6,,6.8,542.1,23.9,35.9,38.4,-2.5,,,-56.8,566.0,-142.2,423.8,0.4,0.4,0.0,423.4,0.0,423.4,0.0,0.0,423.4,423.8,0.0,135.486,3.12,3.12,3.12,136.191,3.11,3.11,3.11,
