Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1993,19.086,,-10.567,,8.519,,-7.884,,,,,,0.635,-0.034,,0.306,,0.0,-0.272,0.601,0.0,0.601,0.0,,,0.601,0.0,0.601,0.0,,0.601,0.601,,80.272,0.0075,0.0075,0.0075,80.272,0.0075,0.0075,0.0075,
04/03/1994,21.408001,,-12.165,,9.243001,,-8.371,,,,,,0.872,-0.149,,0.379,,0.0,-0.23,0.723,-0.05,0.673,0.0,,,0.673,0.0,0.673,0.0,,0.673,0.673,,80.536003,0.0075,0.0075,,80.536003,0.0075,0.0075,0.0075,
07/03/1994,22.223,,-12.274,,9.948999,,-8.693,,,,,,1.256,-0.133,,0.348,,0.0,-0.215,1.123,-0.1,1.023,0.0,,,1.023,0.0,1.023,0.0,,1.023,1.023,,81.264,0.0125,0.0125,,81.264,0.0125,0.0125,0.0125,
10/02/1994,26.681,,-14.939,,11.742,,-19.399,,,,,,-7.657,-5.505,,,,0.0,5.505,-13.162,,-13.162,-0.027,,,,0.0,-13.135,0.0,,-13.135,-13.135,,88.431999,-0.1475,-0.1475,,88.431999,-0.1475,-0.1475,-0.1475,
12/31/1994,34.452,,-18.426001,,16.025999,,-11.486,,,,,,4.54,-0.99,,,,0.0,0.99,3.55,,3.55,0.693,,,,0.0,2.857,0.0,,2.857,2.857,,107.336,0.025,0.03125,0.03125,107.336,0.025,0.03125,0.03125,
04/02/1995,36.938999,,-18.849001,,18.089998,,-12.365,,,,,,5.725,-1.321,,,,0.0,1.321,4.404,,4.404,0.304,,,,0.0,4.1,0.0,,4.1,4.1,,109.496002,0.0375,0.04,,109.496002,0.0375,0.04,0.04,
07/02/1995,42.201,,-21.365,,20.836,,-12.468,,,,,,8.368,-1.896,,,,0.0,1.896,6.472,,6.472,0.533,,,,0.0,5.939,0.0,,5.939,5.939,,111.447998,0.0525,0.0575,,111.447998,0.0525,0.0575,0.0575,
10/01/1995,50.700001,,-25.792999,,24.907001,,-13.139,,,,,,11.768,-12.989,,,,0.0,12.989,-1.221001,,-1.221,2.249,,,,0.0,-3.47,0.0,,-3.47,-3.47,,108.919998,-0.0325,-0.0125,,108.919998,-0.0325,-0.0125,-0.0125,
12/31/1995,58.883999,,-31.103001,,27.780998,,-15.507,,,,,,12.274,13.671,,,,0.0,-13.671,25.945,,14.321,19.410999,,,,0.0,-5.09,0.0,,-5.09,-5.09,,120.632004,-0.0425,0.1175,0.1175,120.632004,-0.0425,0.1175,0.1175,
03/31/1996,64.396004,,-34.106998,,30.289005,,-17.070999,,,,,,13.218,0.36,,,,0.0,-0.36,13.578,-4.752,8.826,0.0,,,8.826001,0.0,8.826,0.0,,8.826,8.826,,116.924004,0.075,0.075,0.075,123.160004,0.0725,0.0725,0.0725,
06/30/1996,53.021999,,-25.357,,27.664999,,-16.726999,,,,,,10.938,0.137,,,,0.0,-0.137,11.075,-3.877,7.198,0.0,,,7.198,0.0,7.198,0.0,,7.198,7.198,,117.419998,0.0625,0.0625,0.0625,122.311996,0.06,0.06,0.06,
09/30/1996,34.726002,,-20.936001,,13.790001,,-14.486,,,,,,-0.696,-72.419998,,,,0.0,72.419998,-73.115998,-0.178,-73.293999,0.0,,,-73.293998,0.0,-73.293999,0.0,,-73.293999,-73.293999,,119.127998,-0.615,-0.615,-0.0075,119.127998,-0.615,-0.615,-0.0075,
12/31/1996,36.227,,-14.548,,21.679,,-11.757,,,,,,9.922,0.15,-0.15,0.0,,0.0,0.0,10.072,-0.952,9.12,0.0,,,9.12,0.0,9.12,0.0,0.0,9.12,9.12,,122.036,0.075,0.075,0.075,127.092,0.0725,0.0725,0.0725,
03/31/1997,33.574001,,-9.851,,23.723001,,-12.341,,,,,,11.382,-0.075,,,,0.0,0.075,11.307,-2.827,8.48,0.0,,,8.48,0.0,8.48,0.0,,8.48,8.48,,123.096001,0.07,0.07,0.07,127.580002,0.0675,0.0675,0.0675,
06/30/1997,34.063999,,-9.613,,24.450999,,-11.922,,,,,,12.529,0.232,,,,0.0,-0.232,12.761,-3.829,8.932,0.0,,,8.932,0.0,8.932,0.0,,8.932,8.932,,123.671997,0.0725,0.0725,0.0725,129.496002,0.07,0.07,0.07,
09/30/1997,27.815001,,-6.058,,21.757,,-10.871,,,,,,10.886,0.331,,,,0.0,-0.331,11.217,-3.926,7.291,0.0,,,7.291,0.0,7.291,0.0,,7.291,7.291,,124.584,0.0575,0.0575,0.0575,132.751999,0.055,0.055,0.055,
12/28/1997,31.712999,,-7.543,,24.169999,,-11.409,,,,,,12.761,1.939,,,,0.0,-1.939,14.7,-5.145,9.555,0.0,,,9.555,0.0,9.555,0.0,,9.555,9.555,,125.335999,0.075,0.075,0.0675,132.444,0.0725,0.0725,0.065,
03/29/1998,34.294998,,-8.135,,26.159998,,-12.138,,,,,,14.022,0.824,,,,0.0,-0.824,14.846,-5.197,9.649,0.0,,,9.649,0.0,9.649,0.0,,9.649,9.649,,126.096001,0.0775,0.0775,0.0775,134.804001,0.0725,0.0725,0.0725,
06/28/1998,39.974998,,-9.968,,30.006998,,-15.255,,,,,,14.752,-38.425999,,,,0.0,38.425999,-23.673999,-5.639,-29.313,0.0,,,-29.312999,0.0,-29.313,0.0,,-29.313,-29.313,,127.316002,-0.23,-0.23,0.08,137.059998,-0.23,-0.23,0.08,
09/27/1998,42.105,,-10.035,,32.07,,-18.229,,,,,,13.841,-3.68,,,,0.0,3.68,10.161,-5.632,4.529,0.0,,,4.529,0.0,4.529,0.0,,4.529,4.529,,131.688004,0.03,0.03,0.065,140.488007,0.03,0.03,0.065,
12/27/1998,45.437,,-10.082,,35.355,,-20.073999,,,,,,15.281,0.82,,,,0.0,-0.82,16.101,-6.404,9.697,0.0,,,9.697,0.0,9.697,0.0,,9.697,9.697,,132.800003,0.07,0.07,0.07,142.464005,0.07,0.07,0.07,
03/28/1999,54.230999,,-13.083,,41.147999,,-29.153,,,,,,11.995,0.935,,,,0.0,-0.935,12.93,-6.729,6.201,0.0,,,6.201,0.0,6.201,0.0,,6.201,6.201,,142.520004,0.04,0.04,0.05,153.679993,0.04,0.04,0.05,
06/27/1999,66.862,,-16.743999,,50.118,,-32.918999,,,,,,17.198999,25.558001,,,,0.0,-25.558001,42.757,-9.778,32.979,0.0,,,32.979,0.0,32.979,0.0,,32.979,32.979,,144.216003,0.23,0.23,0.095,156.761993,0.21,0.21,0.07,
09/26/1999,82.734001,,-21.319,,61.415001,,-37.228001,,,,,,24.187,1.355,,,,0.0,-1.355,25.542,-10.215,15.327,0.0,,,15.327,0.0,15.327,0.0,,15.327,15.327,,149.063995,0.1,0.1,0.12,163.884003,0.09,0.09,0.11,
12/26/1999,91.941002,,-22.292999,,69.648003,,-43.709999,,,,,,25.938,3.524,,,,0.0,-3.524,29.462,-12.14,17.322001,0.0,,,17.321999,0.0,17.322001,0.0,,17.322001,17.322001,,151.472,0.11,0.11,0.12,167.766006,0.1,0.1,0.11,
03/26/2000,114.365997,,-26.172001,,88.193996,,-54.891998,,,,,,33.301998,0.13,,,,0.0,-0.13,33.431998,-15.917,17.514999,0.0,,,17.514998,0.0,22.993,0.0,0.0,22.993,22.993,,157.798004,0.11,0.11,0.15,177.658005,0.11,0.11,0.15,
06/25/2000,150.514008,,-35.688999,,114.825008,,-66.928001,,,,,,47.896999,21.384001,,,,0.0,-21.384001,69.281,-20.707001,48.574001,0.0,,,48.573999,0.0,49.938,0.0,,49.938,49.938,,161.610992,0.3,0.3,0.24,180.694,0.27,0.27,0.21,
09/24/2000,198.151993,,-46.582001,,151.569992,,-112.960999,,,,,,38.609001,-42.361,,,,0.0,42.361,-3.751999,-30.893,-34.645,0.0,,,-34.644999,0.0,-29.688999,0.0,,-29.688999,-29.688999,,164.488007,-0.21,-0.21,0.31,164.488007,-0.21,-0.21,0.28,
12/31/2000,231.651993,,-57.717999,,173.933994,,-117.275002,,,,,,56.659,22.09,,,,0.0,-22.09,78.749001,-34.895,43.854,0.0,,,43.854,0.0,43.854,0.0,0.0,43.854,43.854,,165.608994,0.26,0.26,0.37,184.244995,0.24,0.24,0.34,
04/01/2001,119.894997,,-37.926998,,81.967999,,-128.791,,,,,,-46.823002,-14.632,,,,0.0,14.632,-61.455002,-2.071,-63.526001,0.0,,,-63.526002,0.0,-63.526001,0.0,0.0,-63.526001,-63.526001,,166.785995,-0.38,-0.38,0.02,180.292999,-0.38,-0.38,0.02,
07/01/2001,94.13,,-48.834,,45.296,0.0,-98.162,24.067,,,,74.095,-52.866,-184.358,,,,0.0,184.358,-237.224,4.179,-233.045,0.0,,,-233.045,0.0,-233.045,0.0,0.0,-233.045,-233.045,,167.817,-1.39,-1.39,-0.2635,167.817,-1.39,-1.39,-0.2635,
09/30/2001,61.556,,-24.359,,37.197,0.0,-79.038,22.697,,,,56.341,-41.841,2.653,,,,0.0,-2.653,-39.188,4.733,-34.455,0.0,,,-34.455,0.0,-34.455,0.0,0.0,-34.455,-34.455,,168.389,-0.2,-0.2,-0.2,168.389,-0.2,-0.2,-0.2,
12/30/2001,47.157,,-26.142,,21.015,0.0,-70.592,,25.925,,,44.667,-49.577,-269.373,,,,0.0,269.373,-318.95,10.922,-308.028,0.0,,,-308.028,0.0,-308.028,0.0,0.0,-308.028,-308.028,,168.874,-1.82,-1.82,-0.3037,168.874,-1.82,-1.82,-0.3037,
03/31/2002,51.442001,,-20.542999,,30.899002,,-54.332001,,,,,,-23.433001,3.866,,,,0.0,-3.866,-19.567001,5.887,-13.68,0.0,,,-13.680001,0.0,-13.68,0.0,0.0,-13.68,-13.68,,169.513,-0.08,-0.08,-0.09,169.513,-0.08,-0.08,-0.09,
06/30/2002,54.511002,,-20.774,,33.737001,,-51.714001,,,,,,-17.976999,1.958,,,,0.0,-1.958,-16.018999,4.428,-11.591,0.0,,,-11.590999,0.0,-11.591,0.0,0.0,-11.591,-11.591,,169.798004,-0.07,-0.07,-0.07,169.798004,-0.07,-0.07,-0.07,
09/30/2002,59.584,,-23.229,,36.355,,-50.483002,,,,,,-14.128,1.445,,,,0.0,-1.445,-12.683,3.438,-9.245,0.0,,,-9.245,0.0,-9.245,0.0,0.0,-9.245,-9.245,,170.524994,-0.05,-0.05,-0.05,170.524994,-0.05,-0.05,-0.05,
12/29/2002,52.556,,-24.996,,27.559999,,-47.437,,,,,,-19.877001,-15.719,,,,0.0,15.719,-35.596001,5.105,-30.490999,0.0,,,-30.491001,0.0,-30.490999,0.0,0.0,-30.490999,-30.490999,,170.593994,-0.18,-0.18,-0.06,170.593994,-0.18,-0.18,-0.06,
03/30/2003,55.386002,,-21.885,,33.501001,,-43.963001,,,,,,-10.462,-5.578,,,,0.0,5.578,-16.04,4.525,-11.515,0.0,,,-11.515,0.0,-11.515,0.0,0.0,-11.515,-11.515,,171.401993,-0.07,-0.07,-0.04,171.401993,-0.07,-0.07,-0.04,
06/29/2003,60.377998,,-21.301001,,39.076998,,-44.337002,,,,,,-5.26,-5.404,,,,0.0,5.404,-10.664,1.499,-9.165,0.0,,,-9.165,0.0,-9.165,0.0,0.0,-9.165,-9.165,,172.289001,-0.05,-0.05,-0.02,172.289001,-0.05,-0.05,-0.02,
09/28/2003,63.099998,,-21.868,,41.231998,,-40.103001,,,,,,1.129,2.364,,,,0.0,-2.364,3.493,-0.329,3.164,0.0,,,3.164,0.0,3.164,0.0,0.0,3.164,3.164,,174.117996,0.02,0.02,0.0,186.136993,0.02,0.02,0.0,
12/28/2003,70.619003,,-22.820999,,47.798004,,-38.051998,,,,,,9.746,-2.378,,9.134,,0.0,-6.756,7.368001,2.157,9.525,0.0,,,9.525001,0.0,9.525,0.0,0.0,9.525,9.525,,176.464005,0.05,0.05,0.03,190.694,0.05,0.05,0.03,
03/28/2004,78.660004,,-23.757,,54.903004,,-41.424,,,,,,13.479,7.568,,,,0.0,-7.568,21.047,-4.2,16.847,0.0,,,16.847,0.0,16.847,0.0,0.0,16.847,16.847,,178.408997,0.09,0.09,0.06,192.300003,0.09,0.09,0.06,
06/27/2004,85.703003,,-23.843,,61.860003,,-42.891998,,,,,,18.968,0.978,,,,0.0,-0.978,19.946,-4.537,15.409,0.0,,,15.409,0.0,15.409,0.0,0.0,15.409,15.409,,179.570007,0.09,0.09,0.09,190.136002,0.08,0.08,0.08,
09/26/2004,71.172997,,-21.024,,50.148996,,-42.316002,,,,,,7.833,0.763,,,,0.0,-0.763,8.596,-2.288,6.308,0.0,,,6.308,0.0,6.308,0.0,0.0,6.308,6.308,,180.279999,0.03,0.03,0.04,187.968002,0.03,0.03,0.04,
12/26/2004,61.847,,-18.918,,42.929,,-40.692,,,,,,2.237,2.664,,,,1.295,-3.959,4.901,14.348,13.117,0.0,,,19.249,0.0,13.117,0.0,0.0,13.117,13.117,,181.21,0.07,0.07,0.01,188.61,0.07,0.07,0.0,
04/03/2005,66.111,,-19.621,,46.49,,-44.42,,,,,,2.07,1.032,-2.685,,,0.59,1.063,3.102,0.175,3.277,0.0,,,3.277,0.0,3.277,0.0,0.0,3.277,3.277,0.625,182.192,0.02,0.02,0.02,188.678,0.02,0.02,0.02,
07/03/2005,71.541,,-21.372,,50.169,,-42.922,,,,,,7.247,-4.592,-2.502,,,-0.512,7.606,2.655,-2.126,0.529,0.0,,,0.529,0.0,0.529,0.0,0.0,0.529,0.529,-0.892,183.386,0.0,0.0,0.0,188.305,0.0,0.0,0.0,
10/02/2005,76.203,,-20.131,,56.072,,-42.044,,,,,,14.028,-5.863,-2.874,,,3.378,5.359,8.165,-2.23,5.935,0.0,,,5.935,0.0,5.935,0.0,0.0,5.935,5.935,7.595,185.11,0.03,0.03,0.07,190.739,0.03,0.03,0.07,
12/31/2005,77.556,,-19.839,,57.717,,-45.612,,,,,,12.105,5.463,-4.045,,-13.502,-0.197,8.236,17.568,2.073,18.245,0.0,,,19.641,0.0,18.245,0.0,0.0,18.245,18.245,,184.0,0.1,0.1,0.11,184.0,0.1,0.1,0.11,
04/02/2006,87.781,,-26.625,,61.156,,-55.452,,,,,,5.704,-8.876,-3.566,,,-0.013,12.455,-3.172,-11.161,-14.333,0.0,,,-14.333,0.0,-14.333,0.0,0.0,-14.333,-14.333,30.68,187.218,-0.08,-0.08,0.08,187.218,-0.08,-0.08,0.08,
07/02/2006,118.78,,-43.56,,75.22,,-99.195,,,,,,-23.975,-5.471,-1.267,,,3.378,3.36,-29.446,-2.388,-31.834,0.0,,,-31.834,0.0,-31.834,0.0,0.0,-31.834,-31.834,42.52,203.067,-0.16,-0.16,0.05,203.067,-0.16,-0.16,0.05,
10/01/2006,116.514,,-39.146,,77.368,,-82.048,,,,,,-4.68,-5.049,-1.849,,,0.252,6.646,-9.729,-1.796,-11.525,0.0,,,-11.525,0.0,-11.525,0.0,0.0,-11.525,-11.525,18.861,211.298,-0.05,-0.05,0.04,211.298,-0.05,-0.05,0.04,
12/31/2006,101.917,,-37.125,,64.792,,-78.211,,,,,,-13.419,5.11,-2.297,,,-3.508,0.695,-8.309,-33.891,-42.2,0.0,,,-42.2,0.0,-42.2,0.0,0.0,-42.2,-42.2,36.956,212.295,-0.2,-0.2,-0.03,212.295,-0.2,-0.2,-0.03,
04/01/2007,103.665,,-37.571,,66.094,,-81.057,,,,,,-14.963,-6.295,-1.837,,,0.996,7.136,-21.258,5.435,-15.823,0.0,,,-15.823,0.0,-15.823,0.0,0.0,-15.823,-15.823,10.874,213.881,-0.07,-0.07,-0.02,213.881,-0.07,-0.07,-0.02,
07/01/2007,104.692,,-37.65,,67.042,,-76.642,,,,,,-9.6,-9.482,-2.472,,,7.926,4.028,-19.082,-3.177,-22.259,0.0,,,-22.259,0.0,-22.259,0.0,0.0,-22.259,-22.259,7.422,215.688,-0.1,-0.1,-0.07,215.688,-0.1,-0.1,-0.07,
09/30/2007,117.455,,-39.871,,77.584,,-69.517,,,,,,8.067,-6.13,-2.728,,,7.052,1.806,1.937,-7.877,-5.94,0.0,,,-5.94,0.0,-5.94,0.0,0.0,-5.94,-5.94,12.154,216.837,-0.03,-0.03,0.03,216.837,-0.03,-0.03,0.03,
12/30/2007,123.569,,-43.205,,80.364,,-71.747,24.493,,,,47.254,8.617,-2.469,-2.877,,,2.511,2.835,6.148,-11.229,-5.081,0.0,,,-5.081,0.0,-5.081,0.0,0.0,-5.081,-5.081,8.254,218.912,-0.02,-0.02,0.02,218.912,-0.02,-0.02,0.02,
03/30/2008,125.04,,-43.306,,81.734,,-71.355,24.209,,,,47.146,10.379,7.384,-0.327,,,-3.158,-3.899,17.763,-38.686,-20.923,,,,-20.923,,-20.923,,0.0,-20.923,-20.923,,219.931,-0.1,-0.1,-0.1,219.931,-0.1,-0.1,-0.1,
06/29/2008,139.839,,-49.073,,90.766,,-74.011,24.18,,,,49.831,16.755,-1.203,-0.113,,,1.066,0.25,15.552,120.397,135.949,,,,135.949,,135.949,,0.0,135.949,135.949,,221.008,0.62,0.62,0.12,224.984,0.6,0.6,0.11,
09/28/2008,139.356,,-47.373,,91.983,,-73.089,23.565,,,,49.524,18.894,-10.171,-0.181,,,-0.873,11.225,8.723,-4.266,4.457,,,,4.457,,4.457,0.0,0.0,4.457,4.457,,222.335,0.02,0.02,0.08,225.803,0.02,0.02,0.08,
12/28/2008,120.84,,-41.89,,78.95,,-72.063,21.578,,,,50.485,6.887,9.354,1.379,1.379,,-5.103,-5.63,16.241,-7.428,8.813,,,,8.813,,8.813,,0.0,8.813,8.813,,223.363,0.04,0.04,0.04,223.363,0.04,0.04,0.04,
03/29/2009,102.572,102.572,-36.803,36.803,65.769,0.0,-70.688,21.889,,38.628,9.836,0.335,-4.919,2.671,0.811,,,-4.07,0.588,-2.248,-1.669,-3.917,0.0,0.0,0.0,-3.917,0.0,-3.917,,0.0,-3.917,-1.0592,2.8578,223.844,-0.02,-0.02,-0.004732,223.844,-0.02,-0.02,-0.007233,
06/28/2009,123.194,123.194,-39.413,39.413,83.781,0.0,-68.744,22.222,,36.383,9.836,0.303,15.037,-3.758,0.841,,,2.867,0.05,11.279,-3.43,7.849,0.0,0.0,0.0,7.849,0.0,7.849,,0.0,7.849,10.49595,2.64695,224.861,0.03,0.03,0.046678,227.883,0.03,0.03,0.041615,
09/27/2009,130.876,130.876,-44.432,44.432,86.444,0.0,-65.577,19.743,,35.823,9.836,0.175,20.867,-1.631,0.487,,,1.094,0.05,19.236,8.583,27.819,0.0,0.0,0.0,27.819,0.0,27.819,,0.0,27.819,17.86935,-9.94965,227.123,0.12,0.12,0.078677,231.863,0.12,0.12,0.077088,
12/27/2009,139.497,139.497,-44.583,44.583,94.914,0.0,-69.349,21.088,,38.35,9.836,0.075,25.565,-2.731,0.372,,,2.48,-0.121,22.834,-7.708,15.126,0.0,0.0,0.0,15.126,0.0,15.126,,0.0,15.126,20.9006,5.7746,229.07,0.07,0.07,0.091241,233.751,0.06,0.06,0.084704,
03/28/2010,152.826,152.826,-49.005,49.005,103.821,0.0,-74.544,22.385,,42.067,9.836,0.256,29.277,-1.03,0.121,,,0.989,-0.08,28.247,-1.26,26.987,0.0,0.0,0.0,26.987,0.0,26.987,,0.0,26.987,26.3759,-0.6111,229.804,0.12,0.12,0.114776,233.653,0.12,0.12,0.114776,
06/27/2010,160.669,160.669,-50.064,50.064,110.605,0.0,-75.658,25.196,,43.646,6.816,0.0,34.947,-0.43,0.025,,,-0.074,0.479,34.517,-4.411,30.106,0.0,0.0,0.0,30.106,0.0,30.106,,0.0,30.106,34.07875,3.97275,230.997,0.13,0.13,0.147529,234.925,0.13,0.13,0.146911,
09/26/2010,162.335,162.335,-53.813,53.813,108.522,0.0,-81.697,25.567,,50.18,5.884,0.066,26.825,-0.469,-0.068,,,0.707,-0.17,26.356,-11.201,15.155,0.0,0.0,0.0,15.155,0.0,15.155,,0.0,15.155,25.24015,10.08515,231.966,0.07,0.07,0.10881,234.292,0.06,0.06,0.103045,
12/26/2010,159.252,159.252,-51.636,51.636,107.616,0.0,-90.02,30.969,,51.574,7.396,0.081,17.596,6.608,1.17,,,0.738,-8.516,24.204,-13.29,10.914,0.0,0.0,0.0,10.914,0.0,10.914,0.0,0.0,10.914,22.9845,12.0705,232.942,0.05,0.05,0.09867,236.277,0.05,0.05,0.09867,
03/27/2011,157.434,157.434,-59.161,59.161,98.273,0.0,-97.729,32.209,,54.499,11.021,0.0,0.544,-2.278,0.924,0.924,0.0,1.474,-0.12,-1.734,-5.923,-7.657,0.0,0.0,0.0,-7.657,0.0,-7.657,0.0,0.0,-7.657,5.7474,13.4044,234.058,-0.03,-0.03,0.024555,234.058,-0.03,-0.03,0.024555,
06/26/2011,171.018,171.018,-52.663,52.663,118.355,0.0,-96.818,29.366,,56.421,11.031,0.0,21.537,-1.077,0.571,0.571,0.0,0.623,-0.117,20.46,-3.725,16.735,0.0,0.0,0.0,16.735,0.0,16.735,0.0,0.0,16.735,20.1053,3.3703,234.993,0.07,0.07,0.085557,237.506,0.07,0.07,0.08419,
10/02/2011,173.299,173.299,-52.64,52.64,120.659,0.0,-100.681,29.981,,59.669,11.031,0.0,19.978,32.706,0.477,0.477,0.0,-3.635,-29.548,52.684,-5.428,47.256,0.0,0.0,0.0,47.256,0.0,47.256,0.0,0.0,47.256,54.04525,6.78925,232.59,0.2,0.2,0.232363,233.647,0.2,0.2,0.229058,
12/31/2011,152.553,152.553,-47.166,47.166,105.387,0.0,-94.661,27.045,,56.517,11.099,0.0,10.726,-1.253,0.295,,,1.194,-0.236,9.473,18.892,28.365,0.0,0.0,0.0,28.365,0.0,28.365,0.0,0.0,28.365,9.1835,-19.1815,231.199,0.12,0.12,0.039721,232.028,0.12,0.12,0.037331,
