Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Net Cash From Disc Ops,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
02/28/1998,4.328,6.941,5.31,-6.364,,,-6.364,-1.559,,,,-1.559,-3.19,-4.02,0.0,,,-4.02,,,0.0,0.0,0.0,,,,,0.83,0.346,-4.654,5.0,,,,0.0,0.0,0.0,0.0,,,1.484,,,
05/31/1998,18.834999,8.147,5.38,2.217,,,2.217,3.091,,,,3.091,-6.599,-6.599,0.0,,,-6.599,,,0.0,0.0,0.0,,,,,0.0,-13.654,-4.654,-9.0,,,,0.0,0.0,0.0,0.0,,,-1.418,,,
08/31/1998,16.278,-16.214001,5.319,27.042999,,,27.042999,0.13,,,,0.13,-6.176,-7.584,0.0,,,-7.584,,,0.0,0.0,0.0,,,,,1.408,-8.654,-4.654,-4.0,,,,0.0,0.0,0.0,0.0,,,1.448,,,
11/30/1998,6.139,5.672,4.8,0.597,,,0.597,-4.93,,,,-4.93,-5.63,-5.217,0.0,,,-5.217,,,0.0,0.0,0.0,,,,,-0.413,-1.263,-4.654,11.0,,,,-7.609,0.0,-7.609,0.0,,,-0.754,,,
02/28/1999,10.946,7.219,4.955,0.635,,,0.635,-1.863,,,,-1.863,-3.86,-1.081,4.456,,,-5.537,,,0.0,0.0,0.0,,,,,-2.779,-3.316,-4.536,7.0,,,,-5.78,0.0,-5.78,0.0,,,3.77,,,
05/31/1999,22.093,8.776,5.131,4.079,,,4.079,4.107,,,,4.107,-6.689,-5.318,0.564,,,-5.882,,,0.0,0.0,0.0,,,,,-1.371,-21.484,-4.484,-17.0,,,,0.0,0.0,0.0,0.0,,,-6.08,,,
08/31/1999,16.096001,6.946,5.139,-2.634,,,-2.634,6.645,,,,6.645,-16.492001,-19.979,,,,-19.979,,,0.0,0.0,0.0,,,,,3.487,-0.014,-4.484,4.0,,,,0.47,0.47,,0.0,,,-0.41,,,
11/30/1999,11.67,6.171,5.387,,,,,,,,,,-14.381,-13.097,1.01,,,-14.107,,,0.0,0.0,0.0,,,,,-1.283999,3.516,-4.484,8.0,,,,0.0,0.0,0.0,0.0,,,0.805,,,
02/29/2000,5.152,5.617,5.627,,,,,,,,,,-16.087999,-13.948,1.01,,,-14.958,,,0.0,0.0,0.0,,,,,-2.139999,10.515,-4.485,15.0,,,,0.0,0.0,0.0,0.0,,,-0.421,,,
05/31/2000,9.673,5.835,5.833,-1.94,,,-1.94,-0.055,,,,-0.055,-12.253,-11.762,0.0,,,-11.762,,,0.0,0.0,0.0,,,,,-0.491,3.517,-4.483,8.0,,,,0.0,0.0,0.0,0.0,,,0.937,,,
08/31/2000,8.771,-8.498,5.937,12.516,,,12.516,-1.184,,,,-1.184,-12.215,-11.742,0.925,,,-12.667,,,0.0,0.0,0.0,,,,,-0.473,2.516,-4.484,7.0,,,,0.0,0.0,0.0,0.0,,,-0.928,,,
11/30/2000,5.29,-2.008,5.722,2.202,,,2.202,-0.626,,,,-0.626,-5.676,-5.676,1.832,,,-7.508,,,0.0,0.0,0.0,,,,,0.0,1.381,-2.242,0.0,,,,0.0,0.0,0.0,3.623,,,0.995,,,
02/28/2001,-1.57,-9.424,5.859,,,,,,,,,,-3.768,-3.768,1.663,,,-5.431,,,0.0,0.0,0.0,,,,,0.0,7.0,0.0,7.0,,,,0.0,0.0,0.0,0.0,,,1.662,,,
05/31/2001,7.489,-1.066,5.739,,,,,,,,,,-3.234,2.701,3.44,,,-0.739,,,0.0,0.0,0.0,,,,,-5.935,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,4.255,,,
08/31/2001,5.711,-19.382999,5.745,,,,,,,,,,-17.111,-3.062,0.89,,,-3.952,,,0.0,0.0,0.0,,,,,-14.049,7.908,0.0,9.0,,,,0.0,0.0,0.0,-1.092,,,-3.492,,,
11/21/2001,4.969,-5.345,4.942,-0.598,,,-0.598,5.97,,,,5.97,-5.256,-2.272,0.79,,,-3.062,,,0.0,0.0,0.0,,,,,-2.984,-0.766,0.0,-0.766,,,,0.0,0.0,0.0,0.0,,,-1.053,,,
02/13/2002,-3.767,-2.162,4.992,2.146,,,2.146,-8.743,,,,-8.743,2.583,-2.732,0.303,,,-3.035,,,0.0,0.0,0.0,,,,,5.315,-0.29,0.0,-0.29,,,,0.0,0.0,0.0,0.0,,,-1.474,,,
05/08/2002,9.153,-0.174,4.953,0.919,,,0.919,3.455,,,,3.455,-5.294,-2.38,0.0,,,-2.38,,,0.0,0.0,0.0,,,,,-2.914,0.054,0.0,0.0,,,,0.054,0.054,0.0,0.0,,,3.913,,,
08/28/2002,4.253,-1.972,6.755,1.341,,,1.341,-1.871,,,,-1.871,-5.659,-2.104,2.516,,,-4.62,,,0.0,0.0,0.0,,,,,-3.555,-2.495,0.0,-2.496,,,,0.001,0.001,0.0,0.0,,,-3.901,,,
11/20/2002,-0.242,-3.101,5.011,-2.312,,,-2.312,0.16,,,,0.16,3.798,1.263,4.991,,,-3.728,,,0.0,0.0,0.0,,,,,2.535,-4.941,0.0,-4.941,,,,0.0,0.0,0.0,0.0,,,-1.385,,,
02/12/2003,-4.368,-3.405,5.055,-0.843,,,-0.843,-5.175,,,,-5.175,9.239,2.593,4.908,,,-2.315,,,0.0,0.0,0.0,,,,,6.646,-4.879,0.0,-4.879,,,,0.0,0.0,0.0,0.0,,,-0.008,,,
05/07/2003,0.52,-24.99,4.432,26.551001,,,26.551001,-5.473,,,,-5.473,5.303,4.092,5.426,,,-1.334,,,0.0,0.0,0.0,,,,,1.211,-2.484,0.0,-2.484,,,,0.0,0.0,0.0,0.0,,,3.339,,,
08/27/2003,8.708,-1.598,5.585,-6.719,,,-6.719,11.44,,,,11.44,3.218,9.986,11.666,,,-1.68,,,0.0,0.0,0.0,,,,,-6.768,-14.585,0.0,-14.585,,,,0.0,0.0,0.0,0.0,,,-2.659,,,
11/19/2003,0.741,-4.333,4.032,1.088,,,1.088,-0.046,0.135,-0.703,,0.522,1.646,1.443,2.829,,,-1.386,,,0.0,0.0,0.0,,,,,0.203,-2.776,0.0,-2.776,,,,0.0,0.0,0.0,0.0,,,-0.389,,,
02/11/2004,0.071,-5.042,7.913,8.46,,,8.46,-3.347,0.039,0.734,,-4.12,9.675,-1.15,0.032,,,-1.182,,,0.0,0.0,0.0,,,,,10.825,-8.757,0.0,-8.757,,,,0.0,0.0,0.0,0.0,,,0.989,,,
05/05/2004,4.148,0.381,3.851,-0.227,0.679,,-0.906,0.143,-0.015,-0.129,1.159,-0.872,-2.44,-1.663,0.06,,,-1.723,,,0.0,0.0,0.0,,,,,-0.777,-1.536,,-1.536,,,,0.0,0.0,0.0,,,,0.172,,,
08/25/2004,11.504,2.688,3.612,0.291,,,0.291,4.913,,,,4.913,18.964001,4.847,9.477,,,-4.63,,,0.0,0.0,0.0,,,,,14.117001,-30.900004,0.0,-27.021004,,,,0.041,0.041,0.0,-3.92,,,-0.432,,,
11/17/2004,0.8,-1.023,3.703,-0.487,,,-0.487,-1.393,-0.398,-0.338,,-0.657,0.435,1.063,2.852,,,-1.789,,,0.0,0.0,0.0,,,,,-0.628,-2.105,0.0,-2.831,,,,0.726,0.726,0.0,0.0,,,-0.87,,,
02/09/2005,2.231,2.627,3.71,-0.73,,,-0.73,-3.376,0.013,0.405,,-3.794,3.374,4.95,7.1,,,-2.15,,,0.0,0.0,0.0,,,,,-1.576,-2.133,0.0,-2.079,,,,-0.054,0.0,-0.054,0.0,,,3.472,,,
05/04/2005,10.371,3.704,3.425,1.461,,,1.461,1.781,0.234,-0.012,,1.559,6.444,4.24,5.837,,,-1.597,,,0.0,0.0,0.0,,,,,2.204,-16.733,0.0,-16.76,,,,0.027,0.027,0.0,0.0,,,0.082,,,
08/31/2005,14.725,-1.86,4.168,10.622,,,10.622,1.795,0.101,-0.178,,1.872,-2.01,-20.311,0.0,,,-20.311,,,0.0,0.0,0.0,,,,,18.301,-15.921001,0.0,-16.3,,,,0.502999,0.502999,0.0,-0.124,,,-3.206,,,
11/23/2005,3.751,2.223,3.553,0.68,,0.046,0.634,-2.705,0.035,-1.423,,-1.317,-0.612,-0.62,1.716,,,-2.336,,,0.0,0.0,0.0,,,,,0.008,-2.732,0.0,-3.5,,,,0.768,0.768,0.0,0.0,,,0.407,,266.0,
02/15/2006,5.218,3.297,3.569,0.26,,0.047,0.213,-1.908,-0.318,1.099,,-2.689,-0.155,-1.814,1.981,,,-3.795,,,0.0,0.0,0.0,,,,,1.659,-2.631,0.0,-2.8,,,,0.169,0.169,0.0,0.0,,,2.432,,,
05/10/2006,8.52,6.901,3.633,-2.322,,-2.634,0.312,0.308,-0.219,0.168,,0.359,-0.301,-0.301,2.239,,,-2.54,,,0.0,0.0,0.0,,,,,0.0,-7.146,0.0,-7.2,,,,0.054,0.054,0.0,0.0,,,1.073,,,
08/30/2006,8.106,7.14,5.0,-0.417,,-2.218,1.801,-3.617,-0.808,-0.021,,-2.788,-5.187,-5.187,2.053,,,-7.24,,,0.0,0.0,0.0,,,,,0.0,0.095,0.0,0.0,,,,0.095,0.095,0.0,0.0,,,3.014,,,
11/22/2006,11.861,1.915,3.585,1.587,,1.011,0.576,4.774,0.845,-1.332,,5.261,-12.308,-2.98,0.032,,,-3.012,,,0.0,0.0,0.0,,,,,-9.328,0.054,0.0,0.0,,,,0.054,0.054,0.0,0.0,,,-0.393,,38.0,
02/14/2007,2.95,1.882,3.57,2.038,,0.953,1.085,-4.54,0.2,1.279,,-6.019,-8.261,-3.593,0.038,,,-3.631,,,0.0,0.0,0.0,,,,,-4.668,0.259,0.0,0.0,,,,0.259,0.259,0.0,0.0,,,-5.052,0.167,-37.924,
05/09/2007,10.133,3.918,3.698,1.414,,1.276,0.138,1.103,0.056,-0.047,,1.094,-11.453,-3.072,1.673,,,-4.745,,,0.0,0.0,0.0,,,,,-8.381,0.217,0.0,0.0,,,,0.217,0.217,0.0,0.0,,,-1.103,0.062,0.037,
08/29/2007,8.521,3.149,5.201,2.471,,1.897,0.574,-2.298,-1.297,-0.082,,-0.919,5.694,-8.083,0.024,,,-8.107,,,0.0,0.0,0.0,,,,,13.777,0.132,0.0,0.0,,,,0.173,0.173,0.0,-0.041,,,14.347,,0.087,
11/21/2007,6.844,4.771,3.956,1.832,0.316,2.359,-0.843,-3.715,-1.524,-1.568,,-0.623,-29.673,-7.888,0.0,,,-7.888,,,0.0,0.0,0.0,,,,,-21.785,11.2,0.0,0.0,,,,11.2,11.2,0.0,0.0,,,-11.629,0.172,0.025,
02/13/2008,3.982,0.286,4.004,-2.578,0.672,-3.29,0.04,2.27,0.546,1.266,,0.458,8.124,-4.626,2.285,,,-6.911,,,0.0,0.0,0.0,,,,,12.75,0.005,0.0,0.0,,,,0.005,0.005,0.0,0.0,,,12.111,0.302,0.056,
05/07/2008,5.967,0.949,4.098,2.846,,2.331,0.515,-1.926,1.14,-0.011,,-3.055,-7.498,-8.198,2.353,,,-10.551,,,0.0,0.0,0.0,,,,,0.7,-4.737,0.0,0.0,,,,-4.737,0.038,-4.775,0.0,,,-6.268,1.3,0.031,
08/27/2008,0.808,-3.74,5.707,0.75,,-1.417,2.167,-1.909,-1.681,-0.161,,-0.067,-7.954,-13.254,1.624,,,-14.878,,,0.15,0.15,0.0,,,,,5.15,-0.016,0.0,0.0,,,,0.016,0.016,0.0,-0.032,,,-7.162,,0.013,
11/19/2008,1.653,-2.192,4.365,-1.103,0.351,-1.264,-0.19,0.583,-0.572,-0.945,0.0,2.1,-3.866,-4.366,1.111,1.111,0.0,-5.477,-5.477,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,-2.213,,0.067,
02/11/2009,-2.7,0.146,4.339,0.821,0.376,-0.003,0.448,-8.006,-0.199,0.917,0.0,-8.724,-3.292,-3.292,0.006,0.006,0.0,-3.298,-3.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,,,,0.0,0.0,0.0,0.0,,,0.008,,0.035,
05/06/2009,4.442,-1.053,4.347,-0.438,0.374,-0.549,-0.263,1.586,0.947,-0.177,0.0,0.816,-0.408,-0.433,1.127,1.127,0.0,-1.56,-1.56,0.0,0.025,0.025,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,-4.0,,,,0.0,0.0,0.0,0.0,,,0.034,,0.033,
08/26/2009,1.365,-23.319,5.867,16.128,0.5,-4.53,20.158,2.689,1.713,0.222,0.0,0.754,-0.85,-0.95,1.063,1.063,0.0,-2.013,-2.013,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-2.028,0.0,-2.0,,,,0.0,0.0,0.0,-0.028,,,-1.513,,0.065,
11/18/2009,-3.949,-3.717,3.799,-1.93,0.305,-1.899,-0.336,-2.101,-0.064,-0.461,0.0,-1.576,3.447,2.083,3.016,3.016,0.0,-0.933,-0.933,0.0,1.364,1.364,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,,,,0.0,0.0,0.0,0.0,,,0.098,,0.034,
02/10/2010,-1.714,-0.422,3.489,-0.848,0.287,0.273,-1.408,-3.933,-0.414,0.763,0.0,-4.282,2.193,2.143,2.752,2.752,0.0,-0.609,-0.609,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,-0.705,0.0,-0.6,,,,0.0,0.0,0.0,-0.105,,,-0.226,,0.034,
05/05/2010,5.907,0.73,3.444,0.474,0.297,0.309,-0.132,1.259,0.461,-0.041,0.0,0.839,1.31,1.31,2.034,2.034,0.0,-0.724,-0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.273,0.0,0.0,,,,0.0,0.0,0.0,-0.273,,,6.944,,0.026,
08/25/2010,9.053,0.516,4.756,-4.238,0.413,-3.355,-1.296,8.019,-0.118,0.15,0.0,7.987,-55.662,0.277,1.591,1.591,0.0,-1.314,-1.314,0.0,7.125,7.125,0.0,-63.064,0.0,-63.064,0.0,0.0,41.211,0.0,41.5,,,,0.0,0.0,0.0,-0.289,,,-5.398,,0.006,
11/17/2010,2.064,-2.288,4.197,-0.767,0.244,-1.177,0.166,0.922,-0.486,-1.201,0.0,2.609,-0.361,-0.096,1.308,1.308,0.0,-1.404,-1.404,0.0,0.0,0.0,0.0,-0.265,0.0,-0.265,0.0,0.0,-2.214,0.0,-2.0,,,,0.006,0.006,0.0,-0.22,,,-0.511,,0.503,
02/09/2011,-1.982,0.717,3.985,-1.387,0.085,-0.018,-1.454,-5.297,0.193,0.65,0.0,-6.14,4.652,4.652,6.233,6.233,0.0,-1.581,-1.581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.482,0.0,-3.5,,,,0.023,0.023,0.0,-0.005,,,-0.812,,0.373,
05/04/2011,18.35,1.69,3.89,13.631,12.056,1.169,0.406,-0.861,-1.228,-0.362,0.0,0.729,-1.202,-1.202,0.953,0.953,0.0,-2.155,-2.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.059,0.0,-5.0,,,,-0.063,0.0,-0.063,0.004,,,12.089,,0.309,
08/31/2011,-1.979,2.846,5.206,-11.88,-11.532,1.033,-1.381,1.849,-1.001,-0.181,0.0,3.031,-0.055,0.28,6.178,6.178,0.0,-5.898,-5.898,0.0,0.0,0.0,0.0,-0.335,0.0,-0.335,0.0,0.0,-9.78,0.0,-9.5,,,,0.061,0.063,-0.002,-0.341,,,-11.814,,0.515,
11/23/2011,8.803,0.204,4.114,0.769,0.209,-0.017,0.577,3.716,0.209,-1.707,0.0,5.214,-4.19,-4.054,0.465,0.465,0.0,-4.519,-4.519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.136,-4.001,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.001,,,0.612,,0.228,
02/15/2012,1.322,1.087,4.133,0.881,0.196,0.432,0.253,-4.779,0.362,1.017,0.0,-6.158,-3.938,-3.877,0.851,0.851,0.0,-4.728,-4.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.061,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.616,,0.195,
05/09/2012,10.589,2.423,4.323,1.547,0.204,1.189,0.154,2.296,0.51,-0.166,0.0,1.952,-5.529,-5.539,1.27,1.27,0.0,-6.809,-6.809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.06,,0.177,
08/29/2012,8.548,3.14,5.404,-1.138,0.213,-1.945,0.594,1.142,-1.026,1.485,0.0,0.683,-7.133,-7.143,2.646,2.646,0.0,-9.789,-9.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.085,,0.2,
11/21/2012,6.586,0.129,4.136,-0.088,0.151,-0.113,-0.126,2.409,0.638,-1.398,0.0,3.169,-4.354,-4.364,0.51,0.51,0.0,-4.874,-4.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-1.5,0.0,-1.5,,,,0.0,0.0,0.0,0.0,,0.0,0.732,,0.146,
02/13/2013,0.981,0.18,4.331,-0.446,0.414,-0.033,-0.827,-3.084,-0.253,0.986,0.0,-3.817,-14.196,-3.5,3.061,3.061,0.0,-6.561,-6.561,0.0,0.0,0.0,0.0,-10.706,0.0,-10.706,0.0,0.01,14.157,0.0,0.0,0.0,,,0.157,0.157,0.0,0.0,,,0.942,,0.188,
05/08/2013,9.06,2.461,4.208,1.877,0.418,1.153,0.306,0.514,0.435,-0.374,0.0,0.453,-4.428,-4.975,0.661,0.661,0.0,-5.636,-5.636,0.0,0.0,0.0,0.0,0.537,0.0,0.537,0.0,0.01,-5.908,0.0,0.0,0.0,,,0.092,0.092,0.0,0.0,,,-1.276,,0.179,
08/28/2013,12.815,0.391,5.896,0.286,0.463,-0.485,0.308,6.242,-0.81,-0.117,0.0,7.169,-12.489,-12.539,1.729,1.729,0.0,-14.268,-14.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.419,0.0,0.0,0.0,,,0.219,0.219,0.0,-0.338,,,-0.093,,,
11/20/2013,3.94,-1.546,4.413,-0.382,0.325,-1.271,0.564,1.455,0.262,-1.996,0.0,3.189,-8.74,-8.74,0.467,0.467,0.0,-9.207,-9.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,5.1,0.0,22.3,-17.2,0.0,0.0,0.0,0.0,,,0.3,,0.2,
02/12/2014,-3.1,-2.184,4.503,0.21,0.163,-1.804,1.851,-5.629,0.196,1.697,0.0,-7.522,-9.752,-9.775,0.1,0.1,0.0,-9.875,-9.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,12.709,0.0,-5.1,0.0,-22.3,17.2,0.009,0.009,0.0,0.0,,,-0.143,0.0,0.27,
05/07/2014,10.948,1.729,4.688,0.487,0.286,1.186,-0.985,4.043,,-0.167,,4.209,-9.896,-9.896,2.146,2.146,0.0,-12.042,-12.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.924,0.0,-1.0,77.8,0.0,-78.8,0.076,0.076,0.0,0.0,,0.0,0.128,,0.364,
08/27/2014,8.651,-1.446,6.617,-0.955,0.464,-1.459,0.04,4.436,-0.141,-0.064,,4.641,-13.643,-13.643,1.417,1.417,0.0,-15.06,-15.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.967,0.0,6.0,0.0,48.6,-42.6,0.09,0.09,0.0,-0.123,,0.0,0.975,,0.566,
11/19/2014,-4.327,-3.019,5.073,-1.38,0.322,-2.028,0.326,-5.001,,-1.998,0.0,-3.003,-2.897,-2.897,0.692,0.692,0.0,-3.589,-3.589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,6.3,0.0,25.8,-19.5,0.0,0.0,0.0,-0.05,,0.0,-0.974,0.0,0.451,
02/11/2015,-1.347,-1.359,4.787,-0.954,0.265,-0.1,-1.119,-3.821,,2.403,0.0,-6.224,-5.031,-5.031,2.368,2.368,0.0,-7.399,-7.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.185,0.0,6.2,0.0,33.0,-26.8,0.003,0.003,0.0,-0.018,,0.0,-0.193,0.0,0.518,
