Date,Revenue,Net Premiums Earned,Net Premiums Earned (L),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Claims & Losses (L),LT Charges (L),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (NL),Underwriting & Acq Cost (L),Underwriting Cost (L),Amort Def Acq Cost (L),Other Cost (L),Other Cost (NL & L),Other Operating Expense,Operating Income (Loss),Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2006,2391.7,1041.8,,,901.1,448.8,,,-1413.7,0.0,1341.8,71.9,-583.9,,,,,,,,394.1,-20.5,0.0,373.6,-79.7,293.9,0.0,,,293.9,0.0,293.9,-8.2,0.0,285.7,285.7,,279.4,1.02,1.02,0.86,281.9,1.01,1.01,0.85,
06/30/2006,2459.8,1104.6,1104.6,0.0,892.6,462.6,,,-1532.1,,1459.6,72.5,-608.8,,,,,,,,318.9,-22.3,0.0,296.6,-77.7,218.9,0.1,,,218.8,0.0,218.8,-8.3,0.0,210.5,210.5,14.7,273.5,0.77,0.77,0.82,276.2,0.76,0.76,0.82,
09/30/2006,2449.6,1060.0,1060.0,0.0,924.3,465.3,,,-1499.2,,1426.2,73.0,-613.5,,,,,,,,336.9,-6.0,0.0,330.9,-72.1,258.8,-0.4,,,259.2,0.0,259.2,-8.2,0.0,251.0,251.0,3.7,269.5,0.93,0.93,0.94,272.1,0.92,0.92,0.94,
12/31/2006,2559.6,1098.9,1098.9,0.0,945.7,515.0,,,-1538.1,,1464.8,73.3,-655.5,,,,,,,,366.0,-37.2,0.0,328.8,-66.4,262.4,-30.0,,,292.4,0.0,292.4,-8.3,0.0,284.1,284.1,-32.1,272.1,1.04,0.97,0.93,272.1,1.04,0.97,0.93,
03/31/2007,2660.9,1107.7,1107.7,0.0,960.7,592.5,,,-1572.0,,1498.0,74.0,-726.2,,,,,,,,362.7,-28.5,0.0,334.2,-68.9,265.3,0.0,,,265.3,0.0,265.3,-8.2,0.0,257.1,257.1,-20.3,268.1,0.96,0.96,0.88,270.9,0.95,0.95,0.87,
06/30/2007,2831.6,1176.9,1176.9,0.0,1031.8,622.9,,,-1658.7,,1584.7,74.0,-731.0,,,,,,,,441.9,-29.4,0.0,412.5,-100.4,312.1,0.0,,,312.1,0.0,312.1,-8.3,0.0,303.8,303.8,-20.9,267.7,1.14,1.14,1.06,270.3,1.12,1.12,1.05,
09/30/2007,2849.6,1171.4,1171.4,0.0,939.7,738.5,,,-1717.1,,1643.2,73.9,-770.9,,,,,,,,361.6,-30.0,0.0,331.6,-90.9,240.7,0.2,,,240.5,0.0,240.5,-8.2,0.0,232.3,232.3,83.7,264.7,0.88,0.88,1.2,267.3,0.87,0.87,1.18,
12/31/2007,2564.4,1178.1,1178.1,0.0,705.5,680.8,,,-1781.3,,1709.4,71.9,-785.8,,,,,,,,-2.7,-27.4,0.0,-30.1,52.1,22.0,-20.4,,,42.4,0.0,42.4,-8.3,0.0,34.1,34.1,191.7,263.9,0.13,0.05,0.86,263.9,0.13,0.05,0.86,
03/31/2008,2500.7,1053.0,1053.0,0.0,834.3,613.4,,,-1542.8,,1472.0,70.8,-718.8,,,,,,,,239.1,-27.1,0.0,212.0,-29.6,182.4,0.0,,,182.4,0.0,182.4,-8.2,0.0,174.2,174.2,67.1,258.9,0.67,0.67,0.93,261.3,0.67,0.67,0.92,
06/30/2008,2658.2,1156.2,1156.2,0.0,879.5,622.5,,,-1703.0,,1634.0,69.0,-694.2,,,,,,,,261.0,-55.0,0.0,206.0,-29.4,176.6,0.0,,,176.6,0.0,176.6,-8.3,0.0,168.3,168.3,85.4,259.1,0.65,0.65,0.98,261.2,0.64,0.64,0.97,
09/30/2008,2497.8,1049.7,1049.7,0.0,849.1,599.0,,,-1667.6,,1597.2,70.4,-705.9,,,,,,,,124.3,-28.2,0.0,96.1,2.2,98.3,0.0,,,98.3,0.0,98.3,-8.2,0.0,90.1,90.1,161.1,259.5,0.35,0.35,0.97,261.0,0.35,0.35,0.96,
12/31/2008,2279.2,950.3,950.3,0.0,737.3,591.6,,,-1573.8,,1516.7,57.1,-765.9,,,,,,,,-60.5,0.0,0.0,-60.5,61.3,0.8,0.0,,,0.8,0.0,0.8,-8.3,0.0,-7.5,-7.5,,260.4,-0.03,-0.03,0.69,260.4,-0.03,-0.03,0.69,
03/31/2009,2188.6,949.9,949.9,0.0,765.2,473.5,473.5,0.0,-1370.1,,1306.6,63.5,-666.1,0.0,666.1,666.1,,,,,152.4,-22.3,0.0,130.1,-7.5,122.6,0.0,0.0,0.0,122.6,-1.6,121.0,-8.2,0.0,112.8,153.945,41.145,260.0,0.43,0.43,0.592096,260.5,0.43,0.43,0.587946,
06/30/2009,2157.8,937.7,937.7,0.0,704.9,515.2,515.2,,-1397.2,,1334.3,62.9,-531.2,,531.2,531.2,,,,,229.4,-31.5,0.0,197.9,-33.9,164.0,0.0,0.0,0.0,164.0,-5.4,158.6,-8.3,0.0,150.3,251.18,100.88,289.9,0.52,0.52,0.866437,291.4,0.52,0.52,0.866191,
09/30/2009,2270.3,932.9,932.9,0.0,786.7,550.7,550.7,0.0,-1379.0,,1317.1,61.9,-609.1,0.0,609.1,609.1,,,,,282.2,-33.9,0.0,248.3,-44.1,204.2,0.0,0.0,0.0,204.2,-11.3,192.9,-8.2,0.0,184.7,227.99,43.29,319.1,0.58,0.58,0.714478,321.5,0.57,0.57,0.70465,
12/31/2009,2232.4,930.1,930.1,0.0,745.7,556.6,556.6,0.0,-1430.4,,1376.5,53.9,-602.2,0.0,602.2,602.2,,,,,199.8,-30.3,0.0,169.5,-14.6,154.9,0.0,0.0,0.0,154.9,-4.7,150.2,-8.3,0.0,141.9,215.48,73.58,321.9,0.44,0.44,0.6694,321.9,0.44,0.44,0.66858,
03/31/2010,2264.0,878.9,878.9,0.0,817.5,567.6,567.6,0.0,-1331.8,,1275.3,56.5,-645.8,0.0,645.8,645.8,,,,,286.4,-30.1,0.0,256.3,-52.7,203.6,0.0,0.0,0.0,203.6,-4.6,199.0,-8.2,0.0,190.8,220.375,29.575,319.8,0.6,0.6,0.689103,322.1,0.59,0.59,0.681819,
06/30/2010,2233.6,868.2,868.2,0.0,810.6,554.8,554.8,0.0,-1392.0,,1337.0,55.0,-652.9,0.0,652.9,652.9,,,,,188.7,-30.9,0.0,157.8,-13.6,144.2,0.0,0.0,0.0,144.2,-1.9,142.3,-8.3,0.0,134.0,177.16,43.16,320.1,0.42,0.42,0.553452,322.9,0.42,0.42,0.553452,
09/30/2010,2288.5,865.4,865.4,0.0,859.6,563.5,563.5,0.0,-1373.5,,1320.3,53.2,-720.7,0.0,720.7,720.7,,,,,194.3,-30.8,0.0,163.5,-12.2,151.3,0.0,0.0,0.0,151.3,-0.9,150.4,-8.2,0.0,142.2,155.655,13.455,320.7,0.44,0.44,0.48536,323.3,0.44,0.44,0.481618,
12/31/2010,2372.5,943.0,943.0,0.0,817.3,612.2,612.2,,-1461.0,,1405.8,55.2,-616.7,,616.7,616.7,,,,,294.8,-31.1,0.0,263.7,-45.6,218.1,0.0,0.0,0.0,218.1,-10.5,207.6,-8.3,0.0,199.3,199.3,38.285,320.6,0.621647,0.621647,0.741064,323.9,0.615313,0.615313,0.733513,
03/31/2011,2221.9,797.1,797.1,0.0,801.8,623.0,623.0,0.0,-1242.5,,1188.9,53.6,-686.7,0.0,686.7,686.7,,,,,292.7,-31.2,0.0,261.5,-52.7,208.8,0.0,0.0,0.0,208.8,-18.6,190.2,-8.2,0.0,182.0,219.7,37.7,321.3,0.57,0.57,0.683785,324.7,0.56,0.56,0.676107,
06/30/2011,2296.4,751.9,751.9,0.0,911.3,633.2,633.2,0.0,-1246.8,,1193.9,52.9,-706.7,0.0,706.7,706.7,,,,,342.9,-32.7,0.0,310.2,-61.0,249.2,0.0,0.0,0.0,249.2,-23.6,225.6,-8.3,0.0,217.3,192.795,-24.505,320.0,0.68,0.68,0.602484,323.2,0.67,0.67,0.59418,
09/30/2011,2093.6,672.7,672.7,0.0,784.5,636.4,636.4,0.0,-1167.1,,1114.9,52.2,-744.4,0.0,744.4,744.4,,,,,182.1,-31.0,0.0,151.1,-76.6,74.5,0.0,0.0,0.0,74.5,5.6,80.1,-8.2,0.0,71.9,91.855,19.955,311.9,0.23,0.23,0.294501,314.8,0.23,0.23,0.293389,
12/31/2011,2058.8,669.3,669.3,0.0,755.4,634.1,634.1,0.0,-1170.4,,1118.9,51.5,-672.5,,672.5,672.5,,,,,215.9,-45.6,0.0,170.3,-13.9,156.4,0.0,0.0,0.0,156.4,0.4,156.8,-8.3,0.0,148.5,148.5,46.345,304.8,0.48,0.48,0.639255,307.9,0.48,0.48,0.63052,
03/31/2012,2095.9,679.8,679.8,0.0,818.1,598.0,598.0,0.0,-1262.8,,1212.5,50.3,-523.1,0.0,523.1,523.1,,,,,310.0,-32.0,0.0,278.0,-56.7,221.3,0.0,0.0,0.0,221.3,-9.2,212.1,-8.2,0.0,203.9,208.255,4.355,301.8,0.68,0.68,0.690043,304.7,0.68,0.68,0.690043,
06/30/2012,2118.6,681.3,681.3,0.0,801.2,636.1,636.1,0.0,-1159.5,,1110.0,49.5,-698.7,0.0,698.7,698.7,,,,,260.4,-30.9,0.0,229.5,-50.9,178.6,0.0,0.0,0.0,178.6,-2.7,175.9,-8.3,0.0,167.6,167.47,-0.13,299.4,0.56,0.56,0.559352,301.9,0.56,0.56,0.559352,
09/30/2012,2704.7,1158.2,1158.2,0.0,871.5,675.0,675.0,0.0,-1696.7,,1647.0,49.7,-784.8,0.0,784.8,784.8,,,,,223.2,-31.6,0.0,191.6,7.2,198.8,0.0,0.0,0.0,198.8,-3.4,195.4,-8.2,0.0,187.2,130.195,-57.005,294.7,0.64,0.64,0.441788,297.5,0.63,0.63,0.438387,
12/31/2012,2295.9,700.1,700.1,0.0,878.2,717.6,717.6,0.0,-1202.6,,1154.4,48.2,-799.8,,799.8,799.8,,,,,293.5,-32.6,0.0,260.9,-34.2,226.7,0.0,0.0,0.0,226.7,-3.5,223.2,-8.3,0.0,214.9,214.9,-21.385,294.1,0.72,0.72,0.65799,297.3,0.72,0.72,0.648069,
03/31/2013,2166.7,694.7,694.7,0.0,738.4,733.6,733.6,0.0,-1142.8,,1094.5,48.3,-759.5,0.0,759.5,759.5,,,,,264.4,-36.2,0.0,228.2,-38.2,190.0,0.0,0.0,0.0,190.0,-3.5,186.5,-8.2,0.0,178.3,178.3,33.085,294.1,0.61,0.61,0.718752,297.1,0.61,0.61,0.718752,
06/30/2013,2210.6,737.2,737.2,0.0,669.6,803.8,803.8,0.0,-1143.2,,1095.7,47.5,-765.4,0.0,765.4,765.4,,,,,302.0,-36.4,0.0,265.6,-29.0,236.6,0.0,0.0,0.0,236.6,-6.0,230.6,-8.3,0.0,222.3,274.365,52.065,294.1,0.76,0.76,0.932897,297.2,0.75,0.75,0.925185,
09/30/2013,2239.6,703.0,703.0,0.0,733.6,803.0,803.0,0.0,-1144.7,,1096.2,48.5,-739.5,0.0,739.5,739.5,,,,,355.4,-35.1,0.0,320.3,-61.2,259.1,0.0,0.0,0.0,259.1,-5.2,253.9,-8.2,0.0,245.7,278.785,33.085,294.9,0.83,0.83,0.945354,298.6,0.82,0.82,0.9308,
12/31/2013,2672.6,1019.2,1019.2,0.0,771.6,881.8,881.8,0.0,-1441.9,,1397.2,44.7,-885.1,0.0,885.1,885.1,,,,,345.6,-35.7,0.0,309.9,-59.5,250.4,0.0,0.0,0.0,250.4,-8.7,241.7,-8.3,0.0,233.4,261.545,28.145,295.2,0.79065,0.79065,0.885693,299.7,0.778779,0.778779,0.872689,
03/31/2014,2478.6,803.6,803.6,0.0,845.3,829.7,829.7,0.0,-1273.2,,1227.5,45.7,-793.8,0.0,793.8,793.8,,,,,411.6,-35.2,0.0,376.4,-52.3,324.1,0.0,0.0,0.0,324.1,-22.2,301.9,-8.2,0.0,293.7,293.31,-0.39,295.8,0.992901,0.96,0.991582,299.5,0.980634,0.95,0.948698,
06/30/2014,2606.7,835.4,835.4,0.0,915.8,855.5,855.5,0.0,-1313.0,,1268.4,44.6,-852.9,0.0,852.9,852.9,,,,,440.8,-33.3,0.0,407.5,-88.3,319.2,0.0,0.0,0.0,319.2,-4.6,314.6,-8.3,0.0,306.3,249.88,-56.42,294.7,1.04,1.04,0.847913,298.3,1.03,1.03,0.840862,
09/30/2014,2484.3,875.8,875.8,0.0,724.0,884.5,884.5,0.0,-1158.0,,1113.8,44.2,-866.0,0.0,866.0,866.0,,,,,460.3,-66.5,0.0,393.8,-141.0,252.8,0.0,0.0,0.0,252.8,-3.9,248.9,-8.2,-10.3,230.4,260.56,30.16,294.2,0.78,0.78,0.885656,298.2,0.77,0.77,0.87114,
12/31/2014,2908.0,1208.1,1208.1,0.0,787.5,912.4,912.4,0.0,-1664.2,,1621.3,42.9,-892.6,0.0,892.6,892.6,,,,,351.2,-34.0,0.0,317.2,-36.9,280.3,0.0,0.0,0.0,280.3,-1.6,278.7,-8.3,0.0,270.4,287.495,17.095,294.1,0.92,0.92,0.977542,298.8,0.9,0.9,0.957212,
03/31/2015,2657.3,916.4,916.4,0.0,790.1,950.8,950.8,0.0,-1278.0,,1236.3,41.7,-888.1,0.0,888.1,888.1,,,,,491.2,-33.1,0.0,458.1,-29.0,429.1,0.0,0.0,0.0,429.1,-6.7,422.4,-8.2,0.0,414.2,352.6,-61.6,294.8,1.41,1.41,1.196065,298.5,1.39,1.39,1.183635,
06/30/2015,3259.2,1682.4,1682.4,0.0,675.3,901.5,901.5,0.0,-2095.7,,2054.6,41.1,-831.5,0.0,831.5,831.5,,,,,332.0,-37.5,0.0,294.5,-29.6,264.9,0.0,0.0,0.0,264.9,-7.3,257.6,-8.3,-8.2,241.1,158.56,-82.54,295.0,0.82,0.82,0.537492,298.4,0.81,0.81,0.533391,
09/30/2015,3240.9,1557.1,1557.1,0.0,791.9,891.9,891.9,0.0,-1910.3,,1869.6,40.7,-920.1,0.0,920.1,920.1,,,,,410.5,-41.3,0.0,369.2,-68.3,300.9,0.0,0.0,0.0,300.9,-0.5,300.4,0.0,0.0,300.4,275.44,-24.96,295.0,1.02,1.02,0.933695,298.5,1.01,1.01,0.926382,
12/31/2015,2807.0,1154.4,1154.4,0.0,743.7,908.9,908.9,0.0,-1577.2,,1537.2,40.0,-878.8,0.0,878.8,878.8,,,,,351.0,-42.0,0.0,309.0,-50.7,258.3,0.0,0.0,0.0,258.3,-4.7,253.6,0.0,0.0,253.6,208.0,-45.6,292.6,0.87,0.87,0.710868,296.2,0.86,0.86,0.70605,
03/31/2016,3036.6,1282.4,1282.4,0.0,898.3,855.9,855.9,,-1697.3,,1658.5,38.8,-857.4,0.0,857.4,857.4,,,,,481.9,-42.1,0.0,439.8,-70.6,369.2,0.0,0.0,0.0,369.2,-1.2,368.0,0.0,0.0,368.0,449.7,81.7,291.5,1.26,1.26,1.54271,294.3,1.25,1.25,1.527608,
06/30/2016,3025.7,1276.0,1276.0,0.0,832.9,916.8,916.8,0.0,-1697.9,,1659.9,38.0,-886.3,0.0,886.3,886.3,,,,,441.5,-41.6,0.0,399.9,-72.9,327.0,0.0,0.0,0.0,327.0,-4.7,322.3,0.0,0.0,322.3,307.5,-14.8,289.9,1.11,1.11,1.060711,292.6,1.1,1.1,1.049419,
09/30/2016,2818.0,1002.7,1002.7,0.0,900.3,915.0,915.0,,-1527.7,,1482.2,45.5,-220.4,0.0,220.4,,22.8,197.6,,-657.9,412.0,-41.3,0.0,370.7,-43.3,327.4,0.0,0.0,0.0,327.4,-19.2,308.2,0.0,0.0,308.2,280.7,-27.5,288.1,1.07,1.07,0.974314,291.4,1.06,1.06,0.965628,
12/31/2016,3513.8,1738.0,1738.0,0.0,836.1,939.7,939.7,0.0,-2146.9,,2112.6,34.3,-283.1,0.0,283.1,,69.5,213.6,,-662.4,421.4,-40.1,0.0,381.3,-43.1,338.2,0.0,0.0,0.0,338.2,-20.2,318.0,0.0,0.0,318.0,415.7,97.7,288.3,1.1,1.1,1.441901,292.0,1.09,1.09,1.424589,
03/31/2017,3049.4,1248.0,1248.0,0.0,860.8,940.6,940.6,0.0,-1692.2,,1657.3,34.9,-873.0,0.0,873.0,698.4,59.3,115.3,,-33.2,451.0,-37.0,0.0,414.0,-60.4,353.6,0.0,0.0,0.0,353.6,-4.7,348.9,0.0,0.0,348.9,359.69,10.79,288.3,1.21,1.21,1.247624,292.4,1.19,1.19,1.226902,
06/30/2017,3178.3,1452.7,1452.7,0.0,770.5,955.1,955.1,0.0,-1884.0,,1858.8,25.2,-277.8,0.0,277.8,,63.0,214.8,,-613.8,402.7,-37.1,0.0,365.6,-50.8,314.8,0.0,0.0,0.0,314.8,-5.3,309.5,0.0,0.0,309.5,371.835,62.335,289.3,1.07,1.07,1.285292,293.1,1.06,1.06,1.272675,
09/30/2017,4627.8,2126.1,2126.1,0.0,1514.6,987.1,987.1,0.0,-2537.2,,2504.6,32.6,-296.7,0.0,296.7,,87.1,209.6,,-599.0,1194.9,-37.1,0.0,1157.8,-344.6,813.2,0.0,0.0,0.0,813.2,-3.0,810.2,0.0,0.0,810.2,1246.7,436.5,289.3,2.8,2.8,4.309367,293.1,2.76,2.76,4.249253,
12/31/2017,3237.7,1390.6,1390.6,0.0,837.6,1009.5,1009.5,0.0,-1833.8,,1801.9,31.9,-296.6,0.0,296.6,,72.6,224.0,,-755.4,351.9,-37.1,0.0,314.8,528.1,842.9,0.0,0.0,0.0,842.9,-1.1,841.8,0.0,0.0,841.8,341.0,-500.8,289.3,2.91,2.91,1.178707,293.5,2.87,2.87,1.163697,
03/31/2018,2883.6,995.2,995.2,0.0,877.1,1011.3,1011.3,0.0,-1441.6,,1411.1,30.5,-948.1,0.0,948.1,948.1,,,,,493.9,-36.9,0.0,457.0,-54.5,402.5,0.0,0.0,0.0,402.5,-5.4,397.1,0.0,0.0,397.1,408.8,11.7,289.4,1.37,1.37,1.412578,292.9,1.36,1.36,1.399945,
06/30/2018,3234.9,1265.8,1265.8,0.0,956.5,1012.6,1012.6,0.0,-1729.4,,1699.2,30.2,-306.7,0.0,306.7,,64.9,241.8,,-646.7,552.1,-36.7,0.0,515.4,-55.9,459.5,0.0,0.0,0.0,459.5,-2.9,456.6,0.0,0.0,456.6,391.4,-65.2,286.4,1.59,1.59,1.36662,289.2,1.58,1.58,1.35455,
09/30/2018,4348.1,2172.4,2172.4,0.0,913.9,1261.8,1261.8,0.0,-2674.0,,2642.1,31.9,-258.9,0.0,258.9,,23.8,235.1,,-809.3,605.9,-36.8,0.0,569.1,-109.1,460.0,0.0,0.0,0.0,460.0,-3.7,456.3,0.0,0.0,456.3,481.2,24.9,284.9,1.6,1.6,1.689014,287.8,1.59,1.59,1.676518,
12/31/2018,3770.6,1976.2,1976.2,0.0,806.3,988.1,988.1,0.0,-2471.1,,2440.1,31.0,-323.3,0.0,323.3,,91.5,231.8,,-696.5,279.7,-36.8,0.0,242.9,-11.2,231.7,0.0,0.0,0.0,231.7,4.8,236.5,0.0,0.0,236.5,282.6,46.1,282.5,0.84,0.84,1.000354,285.2,0.83,0.83,0.991641,
03/31/2019,3743.9,1724.9,1724.9,0.0,1045.5,973.5,973.5,,-2225.2,,2195.1,30.1,-284.2,0.0,284.2,,51.7,232.5,,-671.6,562.9,-36.9,0.0,526.0,-73.9,452.1,0.0,0.0,0.0,452.1,-22.2,429.9,0.0,0.0,429.9,400.3,-29.6,278.7,1.54,1.54,1.436311,280.9,1.53,1.53,1.424624,
