Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2000,14468,5037.0,1158.0,3879.0,375,375.0,,,,,,,209,,,,,,5621.0,8175,8939.0,-764.0,225.0,,447,76.0,76.0,0.0,,371,8847,,1094,1094,,,,14,,,,,,450.0,,,450.0,1558.0,7140.0,,,,,785.0,,,785.0,7925.0,9483.0,,5083.0,,,,3.0,-101.0,4985,,4985,14468.0,
12/31/2000,14919,3997.0,1255.0,2742.0,526,526.0,,,,,,,522,,,,,,5045.0,9014,9944.0,-930.0,,,860,,,,,860,9874,,1370,1370,,,,7,,,,,,545.0,,,545.0,1922.0,7318.0,,,,,1130.0,,,1130.0,8448.0,10370.0,,5171.0,,,0.0,-549.0,-73.0,4549,,4549,14919.0,
03/31/2001,15456,3806.0,1505.0,2301.0,721,721.0,,0.0,0.0,0.0,0.0,0.0,297,,,,,,4824.0,10179,11320.0,-1141.0,117.0,,336,,,,,336,10632,,1558,1558,,,,8,,,,,,455.0,,,455.0,2021.0,7961.0,,,,,1418.0,,,1418.0,9379.0,11400.0,0.0,5250.0,,,0.0,-1084.0,-110.0,4056,0.0,4056,15456.0,
06/30/2001,14888,3161.0,1418.0,1743.0,484,484.0,,,0.0,0.0,0.0,0.0,251,,,,,,3896.0,10480,,,111.0,,401,,,,,401,10992,,1341,1341,,,,9,,,,,,538.0,,,538.0,1888.0,7959.0,,,,,1656.0,,,1656.0,9615.0,11503.0,,5340.0,,,0.0,-1815.0,-140.0,3385,,3385,14888.0,
09/30/2001,14251,2568.0,1491.0,1077.0,326,326.0,,0.0,0.0,0.0,0.0,0.0,254,,,,,,3148.0,10604,12271.0,-1667.0,,,499,,,,,499,11103,,972,972,,,,7,,,,,,592.0,,,592.0,1571.0,7910.0,,,,,1647.0,,,1647.0,9557.0,11128.0,0.0,5483.0,,,0.0,-2252.0,-108.0,3123,0.0,3123,14251.0,
12/31/2001,9316,1503.0,1297.0,206.0,239,239.0,,0.0,0.0,0.0,0.0,0.0,292,,,,,,2034.0,6890,7728.0,-838.0,127.0,,265,28.0,28.0,0.0,,237,7282,,714,714,,,,7,,,,,,671.0,,,671.0,1392.0,6209.0,,,,,1780.0,,,1780.0,7989.0,9381.0,0.0,5606.0,,,0.0,-5527.0,-144.0,-65,0.0,-65,9316.0,
03/31/2002,9051,1110.0,1110.0,0.0,351,,,0.0,0.0,0.0,0.0,0.0,222,,,,,,1683.0,6746,7778.0,-1032.0,0.0,,622,252.0,252.0,0.0,,370,7368,,690,690,,,,30,,,,,,612.0,,,612.0,1332.0,5981.0,,,,,1803.0,,,1803.0,7784.0,9116.0,0.0,5715.0,,,0.0,,-5780.0,-65,0.0,-65,9051.0,
06/30/2002,9344,1051.0,1051.0,,696,696.0,,0.0,0.0,0.0,0.0,0.0,336,,,,,,2083.0,6592,7824.0,-1232.0,0.0,,669,377.0,,,,292,7261,,975,975,,,,10,,,,,,706.0,,,706.0,1691.0,5939.0,,,,,1792.0,,,1792.0,7731.0,9422.0,0.0,5812.0,,,0.0,-5773.0,-117.0,-78,0.0,-78,9344.0,
09/30/2002,9094,963.0,963.0,0.0,443,,,0.0,0.0,0.0,0.0,0.0,662,,,,,,2068.0,6360,7782.0,-1422.0,0.0,,666,375.0,375.0,0.0,,291,7026,,560,560,,,,12,,,,,,639.0,,,639.0,1211.0,6385.0,,,,,1752.0,,,1752.0,8137.0,9348.0,0.0,5943.0,,,0.0,,-6197.0,-254,0.0,-254,9094.0,
12/31/2002,8963,1142.0,1142.0,0.0,539,539.0,,0.0,0.0,0.0,0.0,0.0,253,,,,,,1934.0,6010,7533.0,-1523.0,0.0,,1019,380.0,380.0,0.0,,639,7029,,691,691,,,,4,,,,,,658.0,,,658.0,1353.0,6102.0,,,,,1748.0,,,1748.0,7850.0,9203.0,0.0,6277.0,,,0.0,-6385.0,-132.0,-240,0.0,-240,8963.0,
03/31/2003,8763,944.0,944.0,0.0,420,,,0.0,0.0,0.0,0.0,0.0,196,,,,,,1560.0,6043,7791.0,-1748.0,0.0,,1160,505.0,285.0,220.0,,655,7203,,492,492,,,,124,3.0,121.0,121.0,,,567.0,,,567.0,1183.0,6167.0,5986.0,181.0,181.0,,1471.0,,,1471.0,7638.0,8821.0,0.0,6337.0,,,0.0,,-6395.0,-58,0.0,-58,8763.0,
06/30/2003,8668,915.0,915.0,0.0,507,,,0.0,0.0,0.0,0.0,0.0,208,,,,,,1630.0,5941,7887.0,-1946.0,0.0,,1097,481.0,278.0,203.0,,616,7038,,567,567,,,,125,,,,,,574.0,,,574.0,1266.0,5634.0,,,,,1486.0,,,1486.0,7120.0,8386.0,0.0,7130.0,,,0.0,-6.728,-6841.272,282,0.0,282,8668.0,
09/30/2003,8748,1317.0,1317.0,0.0,355,,,0.0,0.0,0.0,0.0,0.0,614,,,,,,2286.0,5785,7914.0,-2129.0,0.0,,677,495.0,310.0,185.0,,182,6462,,497,497,,,,750,,,,,,563.0,,,563.0,1810.0,5340.0,,,,,1448.0,,,1448.0,6788.0,8598.0,0.0,7245.0,,,0.0,-6975.0,-120.0,150,0.0,150,8748.0,
12/31/2003,8293,1171.0,1129.0,42.0,561,,,0.0,0.0,0.0,0.0,0.0,214,,,,,,1946.0,5727,8027.0,-2300.0,0.0,,620,459.0,278.0,181.0,,161,6347,,651,651,,,,125,,,,,,655.0,,,655.0,1431.0,5250.0,,,,,1431.0,,,1431.0,6681.0,8112.0,0.0,7367.0,,,0.0,-7.096,-7178.904,181,0.0,181,8293.0,
03/31/2004,7952,1160.999878,1160.999878,0.0,429,,,0.0,0.0,0.0,0.0,0.0,157,,,,,,1747.000122,5598,,,0.0,,607,445.0,278.0,167.0,,162,6205,,510,510,,,,103,,,,,,586.000122,,,586.000122,1199.000122,5276.000488,,,,,1446.0,,,1446.0,6722.000488,7921.00061,0.0,7393.0,,,0.0,-7.243,-7354.757,31,0.0,31,7952.00061,
06/30/2004,7688,768.0,547.0,221.0,476,,,0.0,0.0,0.0,0.0,0.0,174,,,,,,1418.0,5466,,,189.0,,615,463.0,278.0,185.0,,152,6270,,549,549,,,,141,,,,,,572.0,,,572.0,1262.0,5008.0,,,,,1432.0,,,1432.0,6440.0,7702.0,0.0,7408.0,,,,-7.306,-7414.694,-14,0.0,-14,7688.0,
09/30/2004,7395,692.0,467.0,225.0,375,,,0.0,0.0,0.0,0.0,0.0,165,,,,,,1232.0,5402,,,164.0,,597,448.0,278.0,170.0,,149,6163,,431,431,,,,144,,,,,,500.000122,,,500.000122,1075.000122,5032.0,,,,,1447.000122,,,1447.000122,6479.000122,7554.000244,0.0,7424.0,,,0.0,-7477.0,-106.0,-159,0.0,-159,7395.000244,
12/31/2004,7544,668.0,443.0,225.0,545,545.0,,0.0,0.0,0.0,0.0,0.0,189,,,,,,1402.0,5408,8332.0,-2924.0,114.0,114.0,620,457.0,273.0,184.0,,163,6142,,614,614,,,,144,117.0,27.0,27.0,,,515.0,,,515.0,1273.0,5067.0,,,,,1361.0,,,1361.0,6428.0,7701.0,0.0,7378.0,,,0.0,-7554.0,19.0,-157,0.0,-157,7544.0,
03/31/2005,7099,626.0,336.0,290.0,437,437.0,,0.0,0.0,0.0,0.0,0.0,159,,,,,,1222.0,5277,,,,,600,438.0,267.0,171.0,,162,5877,,481,481,,,,119,,,,,,458.0,,,458.0,1058.0,5073.0,,,,,1205.0,,,1205.0,6278.0,7336.0,0.0,7400.0,,,0.0,-7631.0,-6.0,-237,0.0,-237,7099.0,
06/30/2005,7733,777.0,448.0,329.0,544,544.0,,0.0,0.0,0.0,0.0,0.0,159,,,,,,1480.0,5158,,,506.0,506.0,589,421.0,267.0,154.0,,168,6253,,578,578,,,,1,1.0,0.0,0.0,,,461.0,,,461.0,1040.0,5945.0,5945.0,0.0,0.0,,1192.0,,,1192.0,7137.0,8177.0,0.0,7419.0,,,0.0,-7819.0,-44.0,-444,0.0,-444,7733.0,
09/30/2005,7580,893.0,490.0,403.0,407,407.0,,0.0,0.0,0.0,0.0,0.0,200,,,,,,1500.0,5101,,,408.0,408.0,571,401.0,265.0,136.0,,170,6080,,492,492,,,,0,0.0,0.0,0.0,,,506.0,,,506.0,998.0,6020.0,6020.0,0.0,0.0,,1194.0,,,1194.0,7214.0,8212.0,0.0,7436.0,,,0.0,-8023.0,-45.0,-632,0.0,-632,7580.0,
12/31/2005,8277,628.0,452.0,176.0,830,830.0,,0.0,0.0,0.0,0.0,0.0,219,,,,,,1677.0,5638,9016.0,-3378.0,234.0,,728,533.0,264.0,269.0,,195,6600,,794,794,,,,0,0.0,0.0,0.0,,,641.0,,,641.0,1435.0,6023.0,6023.0,0.0,0.0,,1295.0,,,1295.0,7318.0,8753.0,0.0,7767.0,,,0.0,-8192.0,-51.0,-476,0.0,-476,8277.0,
03/31/2006,8284,992.0,580.0,412.0,717,717.0,,0.0,0.0,0.0,0.0,0.0,192,,,,,,1901.0,5588,,,,,795,567.0,294.0,273.0,,228,6383,,622,622,,,,1,,,,,,565.0,,,565.0,1188.0,6357.0,6348.0,9.0,9.0,,1285.0,,,1285.0,7642.0,8830.0,0.0,7859.0,,,0.0,-8363.0,-42.0,-546,0.0,-546,8284.0,
06/30/2006,9751,2165.0,1658.0,507.0,868,868.0,,0.0,0.0,0.0,0.0,0.0,219,,,,,,3252.0,5537,,,,,962,728.0,412.0,316.0,,234,6499,,834,834,,,,462,462.0,0.0,0.0,,,623.0,,,623.0,1919.0,6558.0,6547.0,11.0,11.0,,1307.0,,,1307.0,7865.0,9784.0,0.0,8555.0,,,0.0,-8564.0,-24.0,-33,0.0,-33,9751.0,
09/30/2006,9343,1240.0,731.0,509.0,351,351.0,,0.0,0.0,0.0,0.0,0.0,150,,,,,,1741.0,6418,,,0.0,,1184,976.0,410.0,566.0,,208,7602,,406,406,,,,5,5.0,0.0,0.0,,,487.0,,,487.0,898.0,6577.0,6553.0,24.0,24.0,,1306.0,,,1306.0,7883.0,8781.0,0.0,9279.0,,,0.0,-8702.0,-15.0,562,0.0,562,9343.0,
12/31/2006,9994,1916.0,1681.0,235.0,326,326.0,,0.0,0.0,0.0,0.0,0.0,147,,,,,,2389.0,6468,10528.0,-4060.0,0.0,,1137,919.0,408.0,511.0,,218,7605,,391,391,,,,5,5.0,0.0,0.0,,,533.0,,,533.0,929.0,7357.0,7334.0,23.0,23.0,,1334.0,,,1334.0,8691.0,9620.0,0.0,9317.0,,,0.0,-8939.0,-4.0,374,0.0,374,9994.0,
03/31/2007,10635,892.0,884.0,8.0,450,450.0,,0.0,0.0,0.0,0.0,0.0,162,,,,,,1504.0,6675,,,0.0,,2456,2217.0,1454.0,763.0,,239,9131,,462,462,,,,34,34.0,0.0,0.0,,,547.0,,,547.0,1043.0,6823.0,6778.0,45.0,45.0,,1355.0,,,1355.0,8178.0,9221.0,0.0,10934.0,,,0.0,-9586.0,66.0,1414,0.0,1414,10635.0,
06/30/2007,10509,807.0,739.0,68.0,455,455.0,,0.0,0.0,0.0,0.0,0.0,161,,,,,,1423.0,6729,,,0.0,,2357,2105.0,1295.0,810.0,,252,9086,,401,401,,,,31,31.0,0.0,0.0,,,551.0,,,551.0,983.0,6828.0,6786.0,42.0,42.0,,1364.0,,,1364.0,8192.0,9175.0,0.0,10959.0,,,0.0,-9788.0,163.0,1334,0.0,1334,10509.0,
09/30/2007,10314,697.0,642.0,55.0,438,438.0,,0.0,0.0,0.0,0.0,0.0,133,,,,,,1268.0,6709,,,0.0,,2337,2116.0,1322.0,794.0,,221,9046,,395,395,,,,31,31.0,0.0,0.0,,,509.0,,,509.0,935.0,6833.0,6792.0,41.0,41.0,,1368.0,,,1368.0,8201.0,9136.0,0.0,10987.0,,,0.0,-9962.0,153.0,1178,0.0,1178,10314.0,
12/31/2007,10254,723.0,714.0,9.0,404,404.0,,0.0,0.0,0.0,0.0,0.0,98,,,,,,1225.0,6669,11618.0,-4949.0,0.0,,2360,2101.0,1421.0,680.0,,259,9029,,396,396,,,,32,,,,,,544.0,,,544.0,972.0,6832.0,6791.0,41.0,41.0,,1380.0,,,1380.0,8212.0,9184.0,0.0,11019.0,,,0.0,-10053.0,104.0,1070,0.0,1070,10254.0,
03/31/2008,10019,540.0,533.0,7.0,416,416.0,,0.0,0.0,0.0,0.0,0.0,118,,,,,,1074.0,6616,,,0.0,,2329,2079.0,1423.0,656.0,,250,8945,,346,346,,,,7,,,,,,478.0,,,478.0,831.0,6831.0,6791.0,40.0,40.0,,1419.0,,,1419.0,8250.0,9081.0,0.0,11060.0,,,0.0,-10234.0,112.0,938,0.0,938,10019.0,
06/30/2008,9999,666.0,661.0,5.0,427,427.0,,,0.0,0.0,0.0,0.0,124,,,,,,1217.0,6507,,,0.0,,2275,2031.0,1423.0,608.0,,244,8782,,323,323,,,,6,,,,,,507.0,,,507.0,836.0,6829.0,6792.0,37.0,37.0,,1366.0,,,1366.0,8195.0,9031.0,0.0,11082.0,,,0.0,-10267.0,153.0,968,0.0,968,9999.0,
09/30/2008,9733,587.0,582.0,5.0,430,430.0,,0.0,0.0,0.0,0.0,0.0,117,,,,,,1134.0,6354,,,0.0,,2245,2002.0,1419.0,583.0,,243,8599,,316,316,,,,328,,,,,,498.0,,,498.0,1142.0,6435.0,6399.0,36.0,36.0,,1353.0,,,1353.0,7788.0,8930.0,0.0,11103.0,,,0.0,-10387.0,87.0,803,0.0,803,9733.0,
12/31/2008,9634,768.0,768.0,,390,390.0,,,,,,,84,,,,,,1242.0,6159,11816.0,-5657.0,,,2233,1991.0,1432.0,559.0,,242,8392,,365,365,,,,186,,,,,,501.0,,,501.0,1052.0,6245.0,6210.0,35.0,35.0,,1316.0,,,1316.0,7561.0,8613.0,0.0,11511.0,,,0.0,-10439.0,-51.0,1021,0.0,1021,9634.0,
03/31/2009,9388,672.0,672.0,0.0,401,401.0,0.0,0.0,0.0,0.0,0.0,0.0,99,,,,,99.0,1172.0,6012,,,0.0,,2204,1966.0,1431.0,535.0,,238,8216,,532,357,,123.0,52.0,500,0.0,,,,500.0,265.0,699.0,,96.0,1297.0,5933.0,5899.0,34.0,34.0,,1303.0,,,604.0,7236.0,8533.0,0.0,11527.0,16.0,11511.0,0.0,-10571.0,-101.0,855,0.0,855,9388.0,
06/30/2009,9235,630.0,630.0,0.0,374,374.0,0.0,0.0,0.0,0.0,0.0,0.0,113,,,,,113.0,1117.0,5939,,,0.0,,2179,1944.0,1432.0,512.0,,235,8118,,507,336,,132.0,39.0,178,0.0,,,,178.0,255.0,742.0,,92.0,940.0,6168.0,6134.0,34.0,34.0,,1305.0,,,563.0,7473.0,8413.0,0.0,11550.0,16.0,11534.0,0.0,-10705.0,-23.0,822,0.0,822,9235.0,
09/30/2009,8968,532.0,532.0,0.0,356,356.0,0.0,0.0,0.0,0.0,0.0,0.0,100,,,,,100.0,988.0,5828,,,0.0,,2152,1920.0,1430.0,490.0,,232,7980,,507,351,,124.0,32.0,160,0.0,,,,160.0,235.0,727.0,,82.0,902.0,6100.0,6068.0,32.0,32.0,,1295.0,,,568.0,7395.0,8297.0,0.0,11556.0,16.0,11540.0,0.0,-10875.0,-10.0,671,0.0,671,8968.0,
12/31/2009,9062,836.0,836.0,0.0,323,323.0,0.0,0.0,0.0,0.0,0.0,0.0,100,,0.0,,,100.0,1259.0,5687,12216.0,-6529.0,0.0,,2116,1896.0,1429.0,467.0,,220,7803,,555,364,,140.0,51.0,705,0.0,,,,705.0,259.0,740.0,112.0,97.0,1519.0,5755.0,5755.0,,,,1297.0,0.0,,445.0,7052.0,8571.0,0.0,11553.0,16.0,11537.0,0.0,-11057.0,-5.0,491,0.0,491,9062.0,
03/31/2010,8662,639.0,639.0,0.0,304,304.0,0.0,0.0,0.0,0.0,0.0,0.0,98,,,,,98.0,1041.0,5518,,,0.0,,2103,1870.0,1427.0,443.0,,233,7621,,513,345,,134.0,34.0,213,0.0,,,,213.0,215.0,729.0,124.0,64.0,941.0,6211.0,6180.0,31.0,31.0,,1289.0,,,436.0,7500.0,8441.0,0.0,11576.0,17.0,11559.0,0.0,-11295.0,-60.0,221,0.0,221,8662.0,
06/30/2010,8296,442.0,442.0,0.0,312,312.0,0.0,0.0,0.0,0.0,0.0,0.0,102,,,,,102.0,856.0,5376,,,0.0,,2064,1844.0,1425.0,419.0,,220,7440,,544,355,,144.0,45.0,41,0.0,,,,41.0,211.0,717.0,113.0,63.0,796.0,6223.0,6192.0,31.0,31.0,,1262.0,,,432.0,7485.0,8281.0,0.0,11601.0,17.0,11584.0,0.0,-11464.0,-122.0,15,0.0,15,8296.0,
09/30/2010,8360,518.0,518.0,0.0,317,317.0,0.0,0.0,0.0,0.0,0.0,0.0,104,,,,,104.0,939.0,5376,,,0.0,,2045,1824.0,1428.0,396.0,,221,7421,,517,338,,124.0,55.0,3,0.0,,,,3.0,214.0,746.0,,70.0,734.0,6408.0,6378.0,30.0,30.0,,1304.0,,,558.0,7712.0,8446.0,0.0,11613.0,17.0,11596.0,0.0,-11627.0,-72.0,-86,0.0,-86,8360.0,
12/31/2010,8355,616.0,616.0,0.0,259,259.0,0.0,0.0,0.0,0.0,0.0,0.0,97,,0.0,,112.0,85.0,972.0,5285,12294.0,-7009.0,0.0,,2098,1798.0,1427.0,371.0,,210,7383,,556,326,0.0,146.0,84.0,180,0.0,0.0,0.0,,180.0,220.0,736.0,108.0,53.0,956.0,6268.0,6239.0,29.0,29.0,,1288.0,0.0,,332.0,7556.0,8512.0,0.0,11620.0,17.0,11603.0,0.0,-11679.0,-98.0,-157,0.0,-157,8355.0,
03/31/2011,8802,1079.0,1079.0,0.0,295,295.0,0.0,0.0,0.0,0.0,0.0,0.0,112,0.0,,,,112.0,1486.0,5276,,,0.0,,2040,1776.0,1429.0,347.0,,264,7316,,501,328,,134.0,39.0,449,0.0,,,,449.0,230.0,737.0,98.0,79.0,1180.0,6618.0,6589.0,29.0,29.0,,1269.0,,,434.0,7887.0,9067.0,0.0,11666.0,17.0,11649.0,0.0,-11884.0,-47.0,-265,0.0,-265,8802.0,
06/30/2011,8862,584.0,584.0,0.0,294,294.0,0.0,0.0,0.0,0.0,0.0,0.0,744,,,,,744.0,1622.0,5228,12886.0,-7658.0,0.0,,2012,1752.0,1429.0,323.0,,260,7240,,570,336,,169.0,65.0,875,0.0,,,,875.0,227.0,745.0,100.0,83.0,1672.0,6349.0,6349.0,,,,1273.0,,,428.0,7622.0,9294.0,0.0,11674.0,17.0,11657.0,0.0,-12065.0,-41.0,-432,0.0,-432,8862.0,
09/30/2011,9254,461.0,461.0,0.0,337,337.0,0.0,0.0,0.0,0.0,0.0,0.0,1363,,,,,1363.0,2161.0,5117,12906.0,-7789.0,0.0,,1976,1728.0,1428.0,300.0,,248,7093,,608,342,,189.0,77.0,265,0.0,,,,265.0,230.0,742.0,188.0,90.0,1103.0,7420.0,7420.0,,,,1254.0,,,324.0,8674.0,9777.0,0.0,11814.0,18.0,11796.0,0.0,-12272.0,-65.0,-523,0.0,-523,9254.0,
12/31/2011,13188,918.0,918.0,0.0,648,648.0,0.0,0.0,0.0,0.0,0.0,0.0,141,,0.0,,,141.0,1707.0,8136,15814.0,-7678.0,0.0,,3345,2899.0,2541.0,358.0,,446,11481,,1172,747,,216.0,209.0,65,0.0,,,,65.0,421.0,885.0,90.0,157.0,1658.0,8385.0,8385.0,,,,1952.0,0.0,,977.0,10337.0,11995.0,0.0,13708.0,2.0,13706.0,0.0,-12435.0,-80.0,1193,0.0,1193,13188.0,
03/31/2012,13074,748.0,748.0,0.0,683,683.0,0.0,0.0,0.0,0.0,0.0,0.0,172,,,,,172.0,1603.0,8164,16035.0,-7871.0,0.0,,3307,2830.0,2497.0,333.0,,477,11471,,1004,724,,165.0,115.0,227,0.0,,,,227.0,404.0,884.0,83.0,145.0,1635.0,8199.0,8199.0,,,,1931.0,,,964.0,10130.0,11765.0,0.0,13920.0,2.0,13918.0,0.0,-12573.0,-38.0,1309,0.0,1309,13074.0,
06/30/2012,12947,733.0,733.0,0.0,689,689.0,0.0,0.0,0.0,0.0,0.0,0.0,175,,,,,175.0,1597.0,8076,,,0.0,,3274,2805.0,2497.0,308.0,,469,11350,,1063,698,,225.0,140.0,222,0.0,,,,222.0,369.0,868.0,74.0,119.0,1654.0,8190.0,8190.0,,,,1889.0,,,947.0,10079.0,11733.0,0.0,13943.0,2.0,13941.0,0.0,-12635.0,-94.0,1214,0.0,1214,12947.0,
09/30/2012,13216,793.0,793.0,0.0,748,748.0,0.0,0.0,0.0,0.0,0.0,0.0,194,,,,,194.0,1735.0,8191,,,0.0,,3290,2852.0,2565.0,287.0,,438,11481,,1048,719,,166.0,163.0,213,0.0,,,,213.0,382.0,841.0,0.0,122.0,1643.0,8496.0,8496.0,,,,1873.0,,,1032.0,10369.0,12012.0,0.0,13977.0,2.0,13975.0,0.0,-12801.0,28.0,1204,,1204,13216.0,
12/31/2012,13307,979.0,979.0,0.0,714,714.0,0.0,0.0,0.0,0.0,0.0,0.0,149,,0.0,,,149.0,1842.0,8199,16558.0,-8359.0,0.0,,3266,2833.0,2565.0,268.0,,433,11465,,1199,779,,209.0,211.0,216,0.0,,,,216.0,387.0,887.0,56.0,136.0,1802.0,8516.0,8516.0,,,,1818.0,0.0,,875.0,10334.0,12136.0,0.0,14002.0,2.0,14000.0,0.0,-12857.0,26.0,1171,0.0,1171,13307.0,
