Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1992,2116.0,,-1309.0,,807.0,,-533.0,,,,,274.0,-71.0,,51.0,,,,20.0,203.0,-55.0,148.0,-22.0,,,170.0,,170.0,0.0,,170.0,170.0,,558.0,0.305,0.265,,558.0,0.305,0.265,0.265,
12/31/1992,1979.0,,-1159.0,,820.0,,-555.0,,,,,265.0,-79.0,,52.0,,0.0,,27.0,186.0,-39.0,147.0,137.0,,,10.0,0.0,10.0,0.0,,10.0,10.0,,558.164978,0.02,0.265,0.265,558.164978,0.02,0.265,0.265,
03/31/1993,2041.0,,-1293.0,,748.0,,-530.0,,,,,218.0,-163.0,,52.0,,0.0,,111.0,55.0,2.0,57.0,-70.0,,,127.0,0.0,127.0,0.0,,127.0,127.0,,556.0,0.225,0.1,,556.0,0.225,0.1,0.1,
06/30/1993,2215.0,,-1409.0,,806.0,,-602.0,,,,,204.0,-34.0,,55.0,,0.0,,-21.0,170.0,-38.0,132.0,0.0,,,132.0,0.0,132.0,0.0,,132.0,132.0,,554.0,0.24,0.24,,554.0,0.24,0.24,0.24,
09/30/1993,2228.0,,-1419.0,,809.0,,-556.0,,,,,253.0,-79.0,,56.0,,0.0,,23.0,174.0,-39.0,135.0,0.0,,,135.0,0.0,135.0,0.0,,135.0,135.0,,554.0,0.245,0.245,,554.0,0.245,0.245,0.245,
12/31/1993,2395.0,,-1536.0,,859.0,,-595.0,,,,,264.0,-993.0,,59.0,,0.0,,934.0,-729.0,137.0,-592.0,0.0,,,-592.0,0.0,-592.0,0.0,,-592.0,-592.0,,554.0,-1.07,-1.07,-1.07,554.0,-1.07,-1.07,-1.07,
03/31/1994,2193.0,,-1433.0,,760.0,,-533.0,,,,,227.0,-53.0,,56.0,,0.0,,-3.0,174.0,-43.0,131.0,0.0,,,131.0,0.0,131.0,0.0,,131.0,131.0,,554.0,0.235,0.235,,554.0,0.235,0.235,0.235,
06/30/1994,2316.0,,-1504.0,,812.0,,-560.0,,,,,252.0,-63.0,,64.0,,0.0,,-1.0,189.0,-45.0,144.0,0.0,,,144.0,0.0,144.0,0.0,,144.0,144.0,,556.0,0.26,0.26,,556.0,0.26,0.26,0.26,
09/30/1994,2315.0,,-1494.0,,821.0,,-572.0,,,,,249.0,-47.0,,47.0,,0.0,,0.0,202.0,-53.0,149.0,0.0,,,149.0,0.0,149.0,0.0,,149.0,149.0,,566.0,0.265,0.265,,566.0,0.265,0.265,0.265,
12/31/1994,2500.0,,-1601.0,,899.0,,-604.0,,,,,295.0,-59.0,,26.0,,0.0,,33.0,236.0,-64.0,172.0,0.0,,,172.0,0.0,172.0,0.0,,172.0,172.0,,566.0,0.305,0.305,0.305,566.0,0.305,0.305,0.305,
03/31/1995,1158.0,,-652.0,,506.0,,-326.0,,,,,180.0,-29.0,,23.0,,0.0,,6.0,151.0,-53.0,98.0,-47.0,,,145.0,0.0,145.0,0.0,,145.0,145.0,,562.0,0.26,0.175,,562.0,0.26,0.175,0.175,
06/30/1995,1276.0,,-702.0,,574.0,,-367.0,,,,,207.0,-29.0,,24.0,,0.0,,5.0,178.0,-64.0,114.0,-51.0,,,165.0,0.0,165.0,0.0,,165.0,165.0,,556.0,0.295,0.205,0.205,556.0,0.295,0.205,0.205,
09/30/1995,1261.0,,-695.0,,566.0,,-385.0,,,,,181.0,-189.0,,23.0,,0.0,,166.0,-8.0,19.0,11.0,-152.0,,,163.0,0.0,163.0,0.0,,163.0,163.0,,550.0,0.295,0.02,,550.0,0.295,0.02,0.02,
12/31/1995,1353.0,,-728.0,,625.0,,-379.0,,,,,246.0,-43.0,,26.0,,0.0,,17.0,203.0,-55.0,148.0,-28.0,,,176.0,0.0,176.0,0.0,,176.0,176.0,,544.0,0.325,0.27,0.27,544.0,0.325,0.27,0.27,
03/31/1996,1299.0,,-721.0,,578.0,,-366.0,,,,,212.0,-24.0,,24.0,,0.0,,0.0,188.0,-50.0,138.0,-20.0,,,158.0,0.0,158.0,0.0,,158.0,158.0,,544.0,0.29,0.255,0.255,544.0,0.285,0.25,0.25,
06/30/1996,1335.0,,-741.0,,594.0,,-375.0,,,,,219.0,-22.0,,26.0,,0.0,,-4.0,197.0,-55.0,142.0,-34.0,,,176.0,0.0,176.0,0.0,,176.0,176.0,,541.599976,0.325,0.26,0.26,544.0,0.32,0.255,0.255,
09/30/1996,1310.0,,-720.0,,590.0,,-364.0,,,,,226.0,-36.0,,26.0,,0.0,,10.0,190.0,-53.0,137.0,-40.0,,,177.0,0.0,177.0,0.0,,177.0,177.0,,544.599976,0.325,0.25,0.25,546.0,0.32,0.245,0.245,
12/31/1996,1494.0,,-827.0,,667.0,,-413.0,,,,,254.0,-36.0,,27.0,,0.0,,9.0,218.0,-60.0,158.0,0.0,,,158.0,0.0,158.0,0.0,,158.0,158.0,,544.799988,0.29,0.29,0.29,544.799988,0.29,0.29,0.29,
03/31/1997,1443.0,,-782.0,,661.0,,-423.0,,,,,238.0,-388.0,,38.0,,0.0,,350.0,-150.0,-53.0,-203.0,0.0,,,-203.0,0.0,-203.0,0.0,,-203.0,-203.0,,548.0,-0.37,-0.37,0.275,548.0,-0.37,-0.37,0.275,
06/30/1997,1569.0,,-855.0,,714.0,,-453.0,,,,,261.0,-43.0,,44.0,,0.0,,-1.0,218.0,-56.0,162.0,0.0,,,162.0,0.0,162.0,0.0,,162.0,162.0,,556.0,0.29,0.29,0.29,564.0,0.285,0.285,0.285,
09/30/1997,1494.0,,-825.0,,669.0,,-433.0,,,,,236.0,-24.0,,42.0,,0.0,,-18.0,212.0,-53.0,159.0,0.0,,,159.0,0.0,159.0,0.0,,159.0,159.0,,560.0,0.285,0.285,0.285,570.0,0.28,0.28,0.28,
12/31/1997,1632.0,,-878.0,,754.0,,-484.0,,,,,270.0,-27.0,,39.0,,0.0,,-12.0,243.0,-61.0,182.0,0.0,,,182.0,0.0,182.0,0.0,,182.0,182.0,,560.0,0.325,0.325,0.325,568.0,0.32,0.32,0.32,
03/31/1998,1468.0,,-806.0,,662.0,,-405.0,,,,,257.0,-38.0,,42.0,,0.0,,-4.0,219.0,-55.0,164.0,0.0,,,164.0,0.0,164.0,0.0,,164.0,164.0,,560.0,0.295,0.295,0.295,570.0,0.29,0.29,0.29,
06/30/1998,1419.0,,-765.0,,654.0,,-395.0,,,,,259.0,-155.0,,39.0,,0.0,,116.0,104.0,-52.0,52.0,-11.0,,,63.0,0.0,63.0,0.0,,63.0,63.0,,566.0,0.11,0.09,0.315,576.0,0.11,0.09,0.31,
09/30/1998,1427.0,,-794.0,,633.0,,-399.0,,,,,234.0,-317.0,,30.0,,0.0,,287.0,-83.0,-44.0,-127.0,-3.0,,,-124.0,0.0,-124.0,0.0,,-124.0,-124.0,,570.0,-0.215,-0.22,0.305,570.0,-0.215,-0.22,0.305,
12/31/1998,1836.0,,-1018.0,,818.0,0.0,-502.0,,397.0,,105.0,316.0,-29.0,39.0,,,,,-10.0,287.0,-75.0,212.0,,,,212.0,,212.0,0.0,0.0,212.0,212.0,,572.0,0.37,0.37,0.37,582.0,0.365,0.365,0.365,
03/31/1999,1462.0,,-837.0,,625.0,,-384.0,,,,,241.0,-25.0,,30.0,-6.0,0.0,,1.0,216.0,-54.0,162.0,11.0,,,151.0,0.0,151.0,0.0,,151.0,151.0,,574.0,0.265,0.28,0.28,586.0,0.26,0.275,0.275,
06/30/1999,1560.0,,-870.0,,690.0,,-407.0,,,,,283.0,-28.0,,30.0,-8.0,0.0,,6.0,255.0,-66.0,189.0,-18.0,,,207.0,0.0,207.0,0.0,,207.0,207.0,,580.0,0.355,0.325,0.325,590.0,0.35,0.32,0.32,
09/30/1999,1589.0,,-876.0,,713.0,,-415.0,,,,,298.0,-31.0,,22.0,-9.0,0.0,,18.0,267.0,-70.0,197.0,-13.0,,,210.0,0.0,210.0,0.0,,210.0,210.0,,584.0,0.36,0.335,0.335,594.0,0.355,0.335,0.335,
12/31/1999,1769.0,,-985.0,,784.0,0.0,-452.0,,360.0,,92.0,332.0,-24.0,19.0,5.0,-12.0,0.0,,31.0,313.0,-82.0,231.0,-14.0,,,245.0,0.0,231.0,0.0,0.0,231.0,231.0,,582.0,0.4,0.4,0.4,592.0,0.39,0.39,0.39,
03/31/2000,1583.0,,-896.0,,687.0,,-403.0,,,,,284.0,-27.0,,32.0,-10.0,0.0,,5.0,257.0,-66.0,191.0,0.0,,,191.0,0.0,191.0,0.0,0.0,191.0,191.0,,580.0,0.35,0.33,0.33,592.0,0.345,0.325,0.325,
06/30/2000,1694.0,,-947.0,,747.0,,-435.0,,,,,312.0,-299.0,,29.0,-10.0,0.0,,280.0,13.0,33.0,46.0,-2.0,,,48.0,0.0,48.0,0.0,,48.0,48.0,,582.0,0.08,0.075,0.38,594.0,0.08,0.075,0.375,
09/30/2000,1687.0,,-925.0,,762.0,,-434.0,,,,,328.0,-16.0,,25.0,-10.0,0.0,,1.0,312.0,-81.0,231.0,0.0,,,231.0,0.0,231.0,0.0,0.0,231.0,231.0,,590.0,0.39,0.39,0.39,604.0,0.385,0.385,0.385,
12/31/2000,1932.0,,-1065.0,,867.0,0.0,-464.0,,364.0,,100.0,403.0,-39.0,26.0,,,,,13.0,364.0,-94.0,270.0,,,,270.0,,270.0,0.0,0.0,270.0,270.0,,588.0,0.46,0.46,0.47,602.0,0.45,0.45,0.46,
03/31/2001,1689.0,,-921.0,,768.0,,-455.0,,,,,313.0,-22.0,,28.0,-9.0,0.0,,3.0,291.0,-73.0,218.0,56.0,,,162.0,0.0,162.0,0.0,0.0,162.0,162.0,,590.0,0.27,0.37,0.37,606.0,0.27,0.36,0.36,
06/30/2001,1796.0,,-975.0,,821.0,,-471.0,,,,,350.0,-6.0,,28.0,-11.0,0.0,,-11.0,344.0,-89.0,255.0,2.0,,,253.0,0.0,253.0,0.0,0.0,253.0,253.0,,590.0,0.43,0.44,0.44,608.0,0.42,0.43,0.43,
09/30/2001,1809.0,,-962.0,,847.0,,-461.0,,,,,386.0,-16.0,,27.0,-8.0,0.0,,-3.0,370.0,-96.0,274.0,2.0,,,272.0,0.0,272.0,0.0,0.0,272.0,272.0,,589.0,0.46,0.46,0.46,609.0,0.45,0.45,0.45,
12/31/2001,2136.0,,-1152.0,,984.0,,-528.0,,,,,456.0,-489.0,14.0,14.0,,0.0,,475.0,-33.0,-42.0,-75.0,0.0,,,-75.0,0.0,-75.0,0.0,0.0,-75.0,-75.0,,592.0,-0.13,-0.13,0.39,592.0,-0.13,-0.13,0.39,
03/31/2002,1875.0,,-995.0,,880.0,,-509.0,,,,,371.0,-29.0,,18.0,-2.0,0.0,,13.0,342.0,-89.0,253.0,0.0,,,253.0,0.0,253.0,0.0,0.0,253.0,253.0,,600.0,0.42,0.42,0.42,622.0,0.41,0.41,0.41,
06/30/2002,1945.0,,-1031.0,,914.0,,-506.0,,,,,408.0,-127.0,,22.0,-8.0,0.0,,113.0,281.0,-77.0,204.0,4.0,,,200.0,0.0,200.0,0.0,0.0,200.0,200.0,,602.0,0.33,0.34,0.4,622.0,0.32,0.33,0.49,
09/30/2002,2029.0,,-1089.0,,940.0,,-498.0,,,,,442.0,-17.0,,14.0,-3.0,0.0,,6.0,425.0,-108.0,317.0,1.0,,,316.0,0.0,316.0,0.0,0.0,316.0,316.0,,603.0,0.52,0.52,0.52,624.0,0.51,0.51,0.51,
12/31/2002,2261.0,,-1203.0,,1058.0,,-554.0,,,,,504.0,-158.0,,16.0,-6.0,0.0,,148.0,346.0,-87.0,259.0,250.0,,,9.0,0.0,9.0,0.0,0.0,9.0,9.0,,598.0,0.01,0.43,0.61,619.0,0.02,0.42,0.59,
03/31/2003,1997.0,,-1117.0,,880.0,,-549.0,,,,,331.0,-45.0,,29.0,-10.0,0.0,,26.0,286.0,-69.0,217.0,1.0,,,216.0,0.0,216.0,0.0,0.0,216.0,216.0,,598.0,0.36,0.36,0.36,611.0,0.35,0.36,0.36,
06/30/2003,2162.0,,-1191.0,,971.0,,-605.0,,,,,366.0,-378.0,,31.0,-4.0,0.0,,351.0,-12.0,58.0,46.0,11.0,,,35.0,0.0,35.0,0.0,0.0,35.0,35.0,,598.0,0.06,0.08,0.42,613.0,0.06,0.08,0.41,
09/30/2003,2216.0,,-1247.0,,969.0,,-577.0,,,,,392.0,-31.0,,32.0,-7.0,0.0,,6.0,361.0,-86.0,275.0,22.0,,,253.0,0.0,253.0,0.0,0.0,253.0,253.0,,589.0,0.43,0.47,0.47,592.0,0.42,0.46,0.46,
12/31/2003,2531.0,,-1396.0,,1135.0,,-626.0,,,,,509.0,-12.0,,16.0,-7.0,0.0,,3.0,497.0,-126.0,371.0,7.0,,,364.0,0.0,364.0,0.0,0.0,364.0,364.0,,611.0,0.6,0.61,0.58,614.0,0.59,0.6,0.57,
03/31/2004,2209.0,,-1316.0,,893.0,,-602.0,,,,,291.0,-42.0,,28.0,-7.0,0.0,,21.0,249.0,-62.0,189.0,11.0,,,176.0,0.0,178.0,0.0,0.0,178.0,178.0,,612.0,0.29,0.31,0.31,616.0,0.28,0.3,0.3,
06/30/2004,2379.0,,-1395.0,,984.0,,-606.0,,,,,378.0,-710.0,,30.0,-5.0,0.0,,685.0,-332.0,163.0,-169.0,1.0,,,-170.0,0.0,-170.0,0.0,0.0,-170.0,-170.0,,613.0,-0.28,-0.28,0.4,613.0,-0.28,-0.28,0.4,
09/30/2004,2320.0,,-1357.0,,963.0,,-586.0,,,,,377.0,-31.0,,29.0,-9.0,0.0,,11.0,346.0,-87.0,259.0,-17.0,,,276.0,0.0,276.0,0.0,0.0,276.0,276.0,,615.0,0.45,0.42,0.42,619.0,0.45,0.42,0.42,
12/31/2004,2601.0,,-1481.0,,1120.0,,-628.0,,,,,492.0,-325.0,,33.0,-6.0,0.0,,298.0,167.0,-61.0,106.0,0.0,,,106.0,0.0,106.0,0.0,0.0,106.0,106.0,,617.0,0.17,0.17,0.57,620.0,0.17,0.17,0.57,
03/31/2005,2383.0,,-1414.0,,969.0,,-616.0,,483.0,,133.0,353.0,-55.0,41.0,51.0,-10.0,0.0,,14.0,298.0,-74.0,224.0,-2.0,,,226.0,0.0,226.0,0.0,0.0,226.0,226.0,,619.0,0.37,0.36,0.36,623.0,0.36,0.36,0.36,
06/30/2005,2577.0,,-1464.0,,1113.0,,-670.0,,537.0,,133.0,443.0,-31.0,33.0,43.0,-10.0,0.0,,-2.0,412.0,-88.0,324.0,2.0,,,322.0,0.0,322.0,0.0,0.0,322.0,322.0,,621.0,0.52,0.52,0.5,626.0,0.51,0.51,0.49,
09/30/2005,2398.0,,-1361.0,,1037.0,,-623.0,,491.0,,132.0,414.0,-64.0,31.0,43.0,-12.0,0.0,,33.0,350.0,-234.0,116.0,0.0,,,116.0,0.0,116.0,0.0,0.0,116.0,116.0,,622.0,0.19,0.19,0.48,632.0,0.18,0.18,0.47,
12/31/2005,2491.0,,-1341.0,,1150.0,,-654.0,,,,,496.0,-112.0,,29.0,-16.0,19.0,,80.0,384.0,-90.0,294.0,2.0,,,292.0,0.0,292.0,0.0,0.0,292.0,292.0,,624.0,0.47,0.47,0.6,634.0,0.46,0.46,0.6,
03/31/2006,2409.0,,-1357.0,,1052.0,,-664.0,,526.0,,138.0,388.0,-34.0,18.0,27.0,-9.0,0.0,,16.0,354.0,-72.0,282.0,0.0,,,282.0,0.0,282.0,0.0,0.0,282.0,282.0,,641.0,0.44,0.44,0.44,648.0,0.43,0.43,0.43,
06/30/2006,2649.0,,-1418.0,,1231.0,,-728.0,,582.0,,146.0,503.0,-105.0,10.0,18.0,-8.0,0.0,,95.0,398.0,-89.0,309.0,0.0,,,309.0,0.0,309.0,0.0,0.0,309.0,309.0,,654.0,0.47,0.47,0.57,659.0,0.47,0.47,0.57,
09/30/2006,2557.0,,-1342.0,,1215.0,,-711.0,562.0,,,149.0,504.0,-25.0,5.0,25.0,-20.0,0.0,,20.0,479.0,-105.0,374.0,0.0,,,374.0,0.0,374.0,0.0,0.0,374.0,374.0,,653.0,0.58,0.58,0.58,661.0,0.57,0.57,0.57,
12/31/2006,2763.0,,-1448.0,,1315.0,,-793.0,,612.0,,181.0,522.0,-7.0,1.0,31.0,-30.0,0.0,,6.0,515.0,-82.0,433.0,1.0,,,432.0,0.0,432.0,0.0,0.0,432.0,432.0,,653.0,0.66,0.663093,0.66,659.0,0.66,0.661517,0.66,
03/31/2007,2675.0,,-1409.0,,1266.0,,-742.0,,583.0,,159.0,524.0,5.0,5.0,29.0,-24.0,0.0,,-10.0,529.0,-126.0,403.0,0.0,,,403.0,0.0,403.0,0.0,0.0,403.0,403.0,,650.0,0.62,0.62,0.61,659.0,0.61,0.61,0.6,
06/30/2007,2829.0,,-1437.0,,1392.0,,-798.0,,621.0,,177.0,594.0,-86.0,-1.0,31.0,-32.0,0.0,,87.0,508.0,-77.0,431.0,0.0,,,431.0,0.0,431.0,0.0,0.0,431.0,431.0,,650.0,0.66,0.66,0.73,661.0,0.65,0.65,0.72,
09/30/2007,2750.0,,-1374.0,,1376.0,,-866.0,,663.0,,203.0,510.0,-27.0,6.0,30.0,-24.0,0.0,,21.0,483.0,-88.0,395.0,0.0,,,395.0,0.0,395.0,0.0,0.0,395.0,395.0,,641.0,0.62,0.62,0.71,651.0,0.61,0.61,0.7,
12/31/2007,3009.0,,-1524.0,,1485.0,,-758.0,,,,,727.0,-133.0,,34.0,-22.0,0.0,,121.0,594.0,-116.0,478.0,0.0,,,478.0,0.0,478.0,0.0,0.0,478.0,478.0,,634.0,0.75,0.75,0.77,645.0,0.74,0.74,0.76,
03/31/2008,2877.0,,-1497.0,,1380.0,,-830.0,,640.0,,190.0,550.0,-16.0,17.0,37.0,-20.0,0.0,,-1.0,534.0,-105.0,429.0,0.0,,,429.0,0.0,429.0,0.0,0.0,429.0,429.0,,632.0,0.68,0.68,0.75,644.0,0.67,0.67,0.74,
06/30/2008,3189.0,,-1562.0,,1627.0,,-925.0,,703.0,,222.0,702.0,-30.0,25.0,39.0,-14.0,0.0,,5.0,672.0,-128.0,544.0,0.0,,,544.0,0.0,544.0,0.0,0.0,544.0,544.0,,626.0,0.87,0.87,0.87,638.0,0.85,0.85,0.85,
09/30/2008,3151.0,,-1630.0,,1521.0,,-911.0,,681.0,,230.0,610.0,-52.0,20.0,37.0,-17.0,0.0,,32.0,558.0,-86.0,472.0,0.0,,,472.0,0.0,472.0,0.0,0.0,472.0,472.0,,625.0,0.76,0.76,0.91,638.0,0.74,0.74,0.88,
12/31/2008,3131.0,,-1529.0,,1602.0,,-900.0,,674.0,,226.0,702.0,-15.0,,35.0,-21.0,0.0,,1.0,687.0,-118.0,569.0,0.0,,,569.0,0.0,569.0,0.0,0.0,569.0,569.0,,619.0,0.92,0.92,0.93,628.0,0.91,0.91,0.92,
03/31/2009,2824.0,2824.0,-1336.0,1336.0,1488.0,0.0,-823.0,611.0,,212.0,0.0,665.0,-28.0,26.0,31.0,-5.0,,,2.0,637.0,-119.0,518.0,0.0,0.0,0.0,518.0,-2.0,516.0,0.0,0.0,516.0,516.0,0.0,613.0,0.84,0.84,0.84,621.0,0.83,0.83,0.83,
06/30/2009,3123.0,3123.0,-1485.0,1485.0,1638.0,0.0,-891.0,660.0,,231.0,0.0,747.0,-23.0,24.0,29.0,-5.0,,,-1.0,724.0,-135.0,589.0,0.0,0.0,0.0,589.0,-2.0,587.0,0.0,0.0,587.0,587.0,0.0,607.0,0.97,0.97,0.97,612.0,0.96,0.96,0.96,
09/30/2009,3145.0,3145.0,-1513.0,1513.0,1632.0,0.0,-900.0,672.0,,228.0,0.0,732.0,-74.0,23.0,27.0,-4.0,,,51.0,658.0,-126.0,532.0,0.0,0.0,0.0,532.0,-2.0,530.0,0.0,0.0,530.0,607.45,77.45,605.0,0.88,0.88,1.00405,612.0,0.87,0.87,0.996552,
12/31/2009,3470.0,3470.0,-1703.0,1703.0,1767.0,0.0,-1034.0,788.0,,246.0,0.0,733.0,-18.0,25.0,30.0,-5.0,,,-7.0,715.0,-139.0,576.0,0.0,0.0,0.0,576.0,-4.0,572.0,0.0,0.0,572.0,623.35,51.35,604.0,0.95,0.95,1.032036,611.0,0.94,0.94,1.024043,
03/31/2010,2927.0,2927.0,-1884.0,1884.0,1043.0,0.0,-910.0,683.0,,227.0,0.0,133.0,-21.0,19.0,28.0,-9.0,,,2.0,112.0,-172.0,-60.0,0.0,0.0,0.0,-60.0,-3.0,-63.0,0.0,0.0,-63.0,564.0,627.0,602.0,-0.11,-0.11,0.936877,602.0,-0.11,-0.11,0.931528,
06/30/2010,3194.0,3194.0,-1556.0,1556.0,1638.0,0.0,-940.0,721.0,,219.0,0.0,698.0,-28.0,25.0,30.0,-5.0,,,3.0,670.0,-133.0,537.0,0.0,0.0,0.0,537.0,-2.0,535.0,0.0,0.0,535.0,535.0,0.0,593.0,0.9,0.9,0.9,596.0,0.9,0.9,0.9,
09/30/2010,3224.0,3224.0,-1565.0,1565.0,1659.0,0.0,-877.0,670.0,,207.0,0.0,782.0,-141.0,24.0,30.0,-6.0,,,117.0,641.0,-117.0,524.0,0.0,0.0,0.0,524.0,1.0,525.0,0.0,0.0,525.0,597.8,72.8,584.0,0.9,0.9,1.02363,587.0,0.89,0.89,1.01402,
12/31/2010,3498.0,3498.0,-1880.0,1880.0,1618.0,0.0,-1095.0,833.0,,262.0,0.0,523.0,-56.0,19.0,27.0,-8.0,,,37.0,467.0,-41.0,426.0,0.0,0.0,0.0,426.0,-3.0,423.0,0.0,0.0,423.0,650.0,227.0,582.0,0.73,0.73,1.116838,586.0,0.72,0.72,1.107372,
03/31/2011,3284.0,3284.0,-1609.0,1609.0,1675.0,0.0,-930.0,716.0,,214.0,0.0,745.0,-14.0,10.0,22.0,-12.0,,,4.0,731.0,-154.0,577.0,0.0,0.0,0.0,577.0,-7.0,570.0,0.0,0.0,570.0,570.0,0.0,577.0,0.99,0.99,0.99,581.0,0.98,0.98,0.98,
06/30/2011,3536.0,3536.0,-1701.0,1701.0,1835.0,0.0,-1004.0,765.0,,239.0,0.0,831.0,-28.0,15.0,22.0,-7.0,,,13.0,803.0,-174.0,629.0,0.0,0.0,0.0,629.0,-14.0,615.0,0.0,0.0,615.0,615.0,0.0,570.0,1.08,1.08,1.08,575.0,1.07,1.07,1.07,
09/30/2011,3479.0,3479.0,-1708.0,1708.0,1771.0,0.0,-1026.0,787.0,,239.0,0.0,745.0,-18.0,14.0,23.0,-9.0,,,4.0,727.0,-149.0,578.0,0.0,0.0,0.0,578.0,-2.0,576.0,0.0,0.0,576.0,624.0,48.0,566.0,1.02,1.02,1.102473,571.0,1.01,1.01,1.094063,
12/31/2011,3594.0,3594.0,-1829.0,1829.0,1765.0,0.0,-1140.0,886.0,,254.0,0.0,625.0,-77.0,15.0,25.0,-10.0,,,62.0,548.0,-76.0,472.0,0.0,0.0,0.0,472.0,-9.0,463.0,0.0,0.0,463.0,658.8,195.8,562.0,0.82,0.82,1.172242,566.0,0.82,0.82,1.165936,
