Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1996,38.728001,34.294001,7.951,26.343,0.0,,,0.0,,,,,1.157,,,35.451,3.112,,,0.0,,,0.165,,,,,0.165,3.277,,1.61,1.61,,,,0.0,,,,,1.443,,,1.443,3.053,0.256,,,,,0.0,,,,,0.0,0.256,3.309,0.0,57.743999,,,0.0,,-22.325001,35.418999,0.0,35.418999,38.727999,
09/30/1996,36.833,31.04,8.631,22.409,0.0,,,0.0,,,,,2.103,,,33.143002,3.488,,,0.0,,,0.202,,,,,0.202,3.69,,1.524,1.524,,,,0.0,,,,,1.822,,,1.822,3.346,0.231,,,,,0.0,,,,,0.0,0.231,3.577,0.0,57.793999,,,0.0,,-24.538,33.255999,0.0,33.255999,36.832999,
12/31/1996,41.492001,36.309,18.568001,17.740999,0.0,,,0.0,,,,,1.239,,,37.548,3.77,6.614,-2.844,0.0,,,0.174,,,,,0.174,3.944,,1.13,1.13,,,,0.166,,,,,4.948,,,4.948,6.244,0.187,,,,,0.0,,,,,0.0,0.187,6.431,0.0,62.84,,,0.0,,-27.778999,35.061001,0.0,35.061001,41.492001,
03/31/1997,73.016998,67.784998,36.661999,31.122999,0.0,,,0.0,,,,,0.887,,,68.671997,4.21,,,0.0,,,0.135,,,,,0.135,4.345,,2.987,2.987,,,,0.0,,,,,6.228,,,6.228,9.215,0.175,,,,,0.0,,,,,0.0,0.175,9.39,0.0,93.415001,,,0.0,,-29.788,63.627001,0.0,63.627001,73.017001,
06/30/1997,74.802002,61.168999,33.148998,28.02,5.0,,,0.0,,,,,1.797,,,67.966003,6.701,,,0.0,,,0.135,,,,,0.135,6.836,,5.16,5.16,,,,0.0,,,,,7.465,,,7.465,12.625,0.162,,,,,0.0,,,,,0.0,0.162,12.787,0.0,94.055,,,0.0,,-32.040001,62.014999,0.0,62.014999,74.801999,
09/30/1997,74.848,57.659001,9.627,48.032001,5.0,,,0.0,,,,,1.699,,,64.358002,10.355,14.81,-4.455,0.0,,,0.135,,,,,0.135,10.49,,5.038,5.038,,,,0.0,,,,,9.577,,,9.577,14.615,0.148,,,,,0.24,,,,,0.24,0.388,15.003,0.0,94.528999,,,0.0,,-34.683998,59.845001,0.0,59.845001,74.848001,
12/31/1997,119.762001,100.172998,14.948,85.224998,0.0,,,0.0,,,,,0.752,,,100.925003,18.694,23.874001,-5.18,0.0,,,0.143,,,,,0.143,18.837,,5.975,5.975,,,,0.083,,,,,11.056,,,11.056,17.114,5.102,,,,,0.453,,,,,0.453,5.555,22.669001,0.0,135.272995,,,0.0,,-38.18,97.092995,0.0,97.092995,119.761995,
03/31/1998,113.873,83.84,11.397,72.443,,,,,,,,,3.14,,,86.98,26.75,32.649,-5.899,,,,0.143,,,,,0.143,26.893,,7.899,7.899,,,,,,,,,6.743,,,6.743,14.642,5.088,0.0,5.088,5.088,,0.614,,,,,0.614,5.702,20.344,,135.924,,,0.0,-41.817,-0.578,93.529,,93.529,113.873,
06/30/1998,110.067001,74.305002,28.481001,45.824001,0.0,,,0.0,,,,,2.252,,,76.556999,33.408001,40.033001,-6.625,0.0,,,0.102,0.0,,,,0.102,33.510001,,9.161,9.161,,,,0.0,,,,,3.92,,,3.92,13.081,4.974,,,,,0.779,,,,,0.779,5.753,18.834,0.0,136.578003,,,0.0,,-45.345001,91.233002,0.0,91.233002,110.067002,
09/30/1998,102.598999,62.863998,18.312,44.551998,0.0,,,0.0,0.0,0.0,0.0,,1.673,,,64.537003,37.917999,45.421001,-7.503,0.0,,,0.144,0.0,,,,0.144,38.061999,,5.308,5.308,,,,0.0,,,,,5.06,,,5.06,10.368,4.957,,,,,0.849,,,,,0.849,5.806,16.174,0.0,137.020996,,,0.0,,-50.596001,86.424995,0.0,86.424995,102.598995,
12/31/1998,134.496002,82.862,24.916,57.945999,0.0,,,0.0,,,,,1.678,,,84.540001,49.862999,58.458,-8.595,0.0,,,0.093,,,,,0.093,49.955999,,3.678,3.678,,,,0.064,,,,,9.014,,,9.014,12.756,4.94,,,,,0.919,,,,,0.919,5.859,18.615,0.0,172.848999,,,0.0,,-56.967999,115.881001,0.0,115.881001,134.496,
03/31/1999,131.348999,73.576002,18.023001,55.553001,0.0,,,0.0,0.0,0.0,0.0,,3.231,,,76.806999,54.449001,64.200996,-9.752,0.0,,,0.093,0.0,,,,0.093,54.542001,,10.902,10.902,,,,0.0,,,,,3.754999,,,3.754999,14.657,4.925,4.924,0.001,0.001,,0.989,,,,,0.989,5.914,20.571,0.0,172.919998,,,0.0,-61.241001,-0.900997,110.778,0.0,110.778,131.349,
06/30/1999,126.688004,58.289,14.671,43.618,13.632,13.632,,0.0,0.0,0.0,0.0,0.0,0.538,,,72.459,54.136002,64.890999,-10.755,0.0,,,0.093,0.0,,,,0.093,54.229002,,12.468,12.468,,,,0.0,,,,,3.162999,,,3.162999,15.631,4.917,4.916,0.001,0.001,,1.058,,,,,1.058,5.975,21.605999,0.0,173.503006,,,0.0,-67.246002,-1.174995,105.082008,0.0,105.082008,126.688008,
09/30/1999,121.369003,58.361,19.284,39.077,1.167,,,0.0,0.0,0.0,0.0,0.0,4.938,,,64.466003,56.810001,68.856003,-12.046,0.0,,,0.093,0.0,,,,0.093,56.903001,,11.812,11.812,,,,0.0,,,,,4.216,,,4.216,16.028,4.904,,,,,1.292,,,,,1.292,6.196,22.224,0.0,174.516998,,,0.0,,-75.372002,99.144997,0.0,99.144997,121.368996,
12/31/1999,226.806,138.184998,33.43,104.754997,1.756,,,0.0,0.0,0.0,0.0,0.0,7.377,,,147.317993,63.852001,78.861,-15.009,0.0,,,15.636,0.0,,,,15.636,79.488001,,13.374,13.374,,,,0.045,,,,,11.660001,,,11.660001,25.079,113.345001,,,,,1.753,,,,,1.753,115.098001,140.177002,0.0,181.156006,,,0.0,,-94.525391,86.630615,0.0,86.630615,226.807617,
03/31/2000,448.292,335.718,129.778,205.94,0.682,0.682,,0.0,0.0,0.0,0.0,,7.883,,,344.283,76.066,,,0.0,,,27.943,0.0,,,14.674,13.269,104.009,,23.737,23.737,,,,0.0,,,,,8.211,,,8.211,31.948,244.645,244.645,0.0,0.0,,1.824,,,,,1.824,246.469,278.417,0.0,284.905,,,0.0,-123.298,8.268,169.875,,169.875,448.292,
06/30/2000,434.360992,309.446999,88.775002,220.671997,2.321,2.321,,0.0,0.0,0.0,0.0,0.0,5.377,,,317.144989,91.065002,109.278,-18.212999,0.0,,,26.150999,0.0,,,,26.150999,117.216002,,21.889,21.889,,,,0.0,,,,,8.608999,,,8.608999,30.497999,242.636002,,,,,1.931,,,,,1.931,244.567002,275.065001,0.0,291.436005,,,0.0,-139.044998,6.904999,159.296005,0.0,159.296005,434.361006,
09/30/2000,420.325012,280.914001,93.095001,187.819,1.942,,,0.0,0.0,0.0,0.0,0.0,5.788,,,288.644012,101.472,121.373001,-19.900999,0.0,,,30.209,0.0,,,,30.209,131.681,,17.158001,17.158001,,,,0.0,,,,,4.360998,,,4.360998,21.518999,242.626999,,,,,2.01,,,,,2.01,244.636999,266.155998,0.0,296.738007,,,0.0,,-142.569,154.169006,0.0,154.169006,420.325004,
12/31/2000,629.54,484.841,136.012,348.829,7.234,,,0.0,0.0,0.0,0.0,0.0,0.968,,,493.043,110.457,132.183,-21.726,0.0,,,26.04,0.0,1.92,-1.92,,26.04,136.497,,6.501,6.501,,,,1.018,0.041,0.977,0.977,,22.684,,,22.684,30.203,319.267,303.998,15.269,15.269,,2.187,,,,,2.187,321.454,351.657,0.0,465.598,,,0.0,,-187.715,277.883,0.0,277.883,629.54,
03/31/2001,687.143005,453.880989,80.042,373.838989,3.333,3.333,,0.0,0.0,0.0,0.0,0.0,7.683,,,464.897003,119.866997,,,3.444,,,98.934998,87.888,75.968002,11.919998,,11.046997,222.245994,,28.351,28.351,,,,0.977,0.0,0.977,0.977,,10.144,,,10.144,39.472,317.940002,299.149002,18.791,18.791,,9.199,,,,,9.199,327.139003,366.611003,0.0,594.224976,,,0.0,-272.910004,-0.78299,320.531982,0.0,320.531982,687.142985,
06/30/2001,722.695007,385.666992,223.141998,162.524994,10.39,,,0.0,0.0,0.0,0.0,0.0,5.627,,,401.68399,133.341003,,,2.384,,,185.285995,171.005997,145.300003,25.705994,,14.279999,321.010999,,38.723999,38.723999,,,,0.977,0.0,0.977,0.977,,19.044999,,,19.044999,58.745998,325.484009,299.14901,26.334999,26.334999,,9.633,,,,,9.633,335.117009,393.863008,0.0,710.484985,,,0.0,,-381.653015,328.83197,0.0,328.83197,722.694978,
09/30/2001,685.682983,353.381989,30.0,323.381989,5.321,5.321,,0.0,0.0,0.0,0.0,0.0,10.749,,,369.451996,138.837006,,,0.964,,,176.429993,162.630997,1.878,160.752997,,13.798996,316.230998,,36.160999,36.160999,,,,0.977,0.0,0.977,0.977,,7.773999,,,7.773999,44.911999,328.76001,299.14901,29.611,29.611,,9.428,,,,,9.428,338.18801,383.100009,0.0,710.945984,,,0.0,-405.625,-2.738007,302.582977,0.0,302.582977,685.682986,
12/31/2001,667.241,344.356,30.814,313.542,4.487,,,0.0,0.0,0.0,0.0,0.0,11.998,,,360.841,142.352,180.318,-37.966,0.721,,,163.327,153.833,131.588,22.245,,9.494,306.4,,7.685,7.685,,,,0.807,0.0,0.807,0.807,,50.707,,,50.707,59.199,331.058,299.149,31.909,31.909,,6.671,,,,,6.671,337.729,396.928,0.0,712.044,,,0.0,,-441.731,270.313,0.0,270.313,667.241,
03/31/2002,680.788025,358.452999,50.729,307.723999,4.478,4.478,,0.0,0.0,0.0,0.0,0.0,11.237,,,374.167999,143.960999,,,0.591,,,162.067993,152.705994,133.856003,18.849991,,9.362,306.619992,,6.203,6.203,,,,0.855,0.0,0.855,0.855,,52.321002,,,52.321002,59.379002,330.821991,299.148991,31.673,31.673,,6.338,,,,,6.338,337.159991,396.538992,0.0,712.577026,,,0.0,-466.933014,38.605011,284.249023,0.0,284.249023,680.788016,
06/30/2002,657.005005,335.900003,25.628,310.272003,4.848,,,0.0,0.0,0.0,0.0,0.0,13.542,,,354.290009,144.031006,,,0.329,,,158.354996,149.744003,132.020996,17.723007,,8.610992,302.715002,,6.929,6.929,,,,0.904,0.0,0.904,0.904,,50.001999,,,50.001999,57.834999,330.953003,299.149002,31.804001,31.804001,,6.045,,,,,6.045,336.998003,394.833002,40.0,713.244995,,,0.0,,-491.072998,262.171997,0.0,262.171997,657.004999,
09/30/2002,626.533997,313.553013,44.675999,268.877014,3.71,3.71,,0.0,0.0,0.0,0.0,0.0,12.134,,,329.397003,142.190994,,,0.053,,,154.893005,146.716003,130.119995,16.596008,,8.177002,297.137,,5.198,5.198,,,,0.956,0.0,0.956,0.956,,44.756,,,44.756,50.91,331.48999,299.148991,32.341,32.341,,7.485,,,,,7.485,338.97499,389.88499,40.0,713.742981,,,0.0,-518.270996,1.177002,236.648987,0.0,236.648987,626.533977,
12/31/2002,606.638,293.968998,34.879002,259.089996,4.37,,,6.309,2.825,0.228,3.256,0.0,6.341,,,310.989014,143.451996,193.781006,-50.328999,0.0,,,152.197006,145.589996,130.119995,15.470001,,6.60701,295.649002,,8.655,8.655,,,,1.474,0.466,1.008,1.008,,53.536001,,,53.536001,63.665001,331.010986,299.148987,31.862,31.862,,5.192,,,,,5.192,336.202986,399.867987,40.0,714.685974,,,0.0,0.0,-547.916016,206.769958,0.0,206.769958,606.637946,
03/31/2003,563.94397,251.511992,21.525999,229.985992,6.775,6.775,,5.824,3.267,0.4,2.157,0.0,6.326,,,270.437012,142.705994,,,0.0,,,150.800995,144.462997,130.119995,14.343002,,6.337997,293.506989,,6.593,6.593,,,,1.062,0.0,1.062,1.062,,33.469001,,,33.469001,41.124001,330.636993,299.148993,31.488001,31.488001,,4.848,,,,,4.848,335.484993,376.608994,40.0,715.278992,,,0.0,-569.294006,1.350037,187.335022,0.0,187.335022,563.944016,
06/30/2003,634.495972,308.270996,100.195999,208.074997,8.847,8.847,,0.0,3.538,0.21,1.817,0.0,12.535,,,329.653015,143.438995,,,0.0,,,161.404007,143.335999,130.119995,13.216003,,18.068008,304.843002,,4.903,4.903,,,,1.118,0.0,1.118,1.118,,38.873001,,,38.873001,44.894001,409.691986,378.648987,31.042999,31.042999,,5.238,,,,,5.238,414.929986,459.823987,40.0,715.796021,,,0.0,0.0,-581.124023,174.671997,0.0,174.671997,634.495984,
09/30/2003,632.924988,304.189999,51.396999,252.792999,8.724,8.724,,7.62,4.825,0.807,1.988,0.0,6.307,,,326.841003,145.037003,,,0.0,,,161.046997,142.209,130.119995,12.089005,,18.837997,306.084,,6.522,6.522,,,,5.792,4.617,1.175,1.175,,36.487998,,,36.487998,48.801998,419.191986,388.648987,30.542999,30.542999,,6.337,,,,,6.337,425.528986,474.330984,40.0,717.182007,,,0.0,0.0,-598.588013,158.593994,0.0,158.593994,632.924978,
12/31/2003,616.788025,285.96701,64.050003,221.917007,6.153,,,8.559,4.552,0.433,3.574,0.0,5.819,,,306.497986,149.388,208.744995,-59.356998,0.0,,,160.901993,141.082993,130.119995,10.962997,,19.819,310.289993,,8.074,8.074,,,,1.629,0.288,1.341,1.341,,37.153998,,,37.153998,46.856998,391.674011,359.98801,31.686001,31.686001,,14.066,,,,,14.066,405.740011,452.59701,40.0,719.297974,,,0.0,-596.026978,0.919983,164.190979,0.0,164.190979,616.787989,
03/31/2004,787.13501,467.410004,180.669006,286.740997,3.563,3.563,,12.543,5.329,0.388,6.826,0.0,6.257,,,489.77301,154.022995,,,0.0,,,143.339005,139.955994,130.119995,9.835999,,3.383011,297.362,,9.362,9.362,,,,1.743,0.338,1.405,1.405,,38.432998,,,38.432998,49.537998,212.779007,181.709007,31.07,31.07,,13.879,,,,,13.879,226.658007,276.196005,0.0,1168.540039,,,0.0,0.0,-657.598999,510.94104,0.0,510.94104,787.137045,
06/30/2004,760.919006,425.270992,36.268002,389.002991,18.944,18.944,,10.318,5.198,3.84,1.28,0.0,6.758,,,461.290985,157.615005,,,0.0,,,142.013,138.828995,130.119995,8.709,,3.184006,299.628006,,5.069,5.069,,,,1.469,0.0,1.469,1.469,,38.704001,,,38.704001,45.242001,204.421005,173.949005,30.472,30.472,,13.895,,,,,13.895,218.316006,263.558006,0.0,1179.140015,,,0.0,0.0,-681.778015,497.362,0.0,497.362,760.920006,
09/30/2004,741.103027,426.91301,92.369003,334.544006,5.643,,,10.474,5.028,3.934,1.512,0.0,7.71,,,450.73999,150.009003,,,0.0,,,140.354004,137.701996,130.119995,7.582001,,2.652008,290.363007,,4.708,4.708,,,,1.651,0.0,1.651,1.651,,32.093999,,,32.093999,38.452999,197.697006,173.949007,23.747999,23.747999,,24.813,,,,,24.813,222.510006,260.963005,19.945,1161.459961,,,0.0,-697.851013,-3.408997,480.144951,0.0,480.144951,741.107956,
12/31/2004,744.921,418.74,104.414,314.326,12.842,12.842,,10.691,4.848,4.552,1.291,0.0,12.266,,,454.539,151.247,214.915,-63.668,0.0,,,139.135,136.576,130.12,6.456,,2.559,290.382,,7.141,7.141,,,,1.547,0.015,1.532,1.532,,46.965,,,46.965,55.653,197.517,173.949,23.568,23.568,,24.409,,,,,24.409,221.926,277.579,0.0,1187.583,,,0.0,-717.121,-3.12,467.342,0.0,467.342,744.921,
03/31/2005,714.192017,401.302986,47.515999,353.786987,6.333,6.333,,10.683,5.696,3.41,1.577,0.0,10.528,,,428.846985,147.725998,,,0.0,,,137.619003,135.313995,129.985992,5.328003,,2.305008,285.345001,,5.117,5.117,,,,1.701,1.327,0.374,0.374,,44.673001,,,44.673001,51.491001,194.598999,173.948999,20.65,20.65,,24.091999,,,,,24.091999,218.690998,270.181999,0.0,1192.954956,,,0.0,-743.286011,-5.658997,444.009949,0.0,444.009949,714.191948,
06/30/2005,694.054993,378.506989,70.375,308.131989,10.448,10.448,,12.781,6.832,3.304,2.645,0.0,9.546,,,411.282013,146.371002,,,0.0,,,136.401993,134.188004,129.985992,4.202011,,2.213989,282.772995,,8.461,8.461,,,,0.408,0.0,0.408,0.408,,45.674998,,,45.674998,54.543999,194.485001,173.949001,20.535999,20.535999,,23.702,,,,,23.702,218.187,272.730999,0.0,1196.286011,,,0.0,-770.197998,-4.763977,421.324036,0.0,421.324036,694.055035,
09/30/2005,946.909973,620.328003,357.21701,263.110992,14.551,14.551,,13.152,7.383,3.411,2.358,0.0,10.178,,,658.208984,144.716003,,,0.0,,,143.985001,133.061005,129.985992,3.075012,,10.923996,288.701004,,8.708,8.708,,,,0.444,0.0,0.444,0.444,,38.673001,,,38.673001,47.825001,438.071991,417.65299,20.419001,20.419001,,26.909,,,,,26.909,464.980991,512.805992,0.0,1232.727051,,,0.0,-793.992981,-4.630005,434.104065,0.0,434.104065,946.910057,
12/31/2005,858.554016,476.201004,261.27301,214.927994,8.205,8.205,,18.627001,8.05,2.74,7.837,0.0,16.809999,,,519.843018,142.126999,228.871002,-86.744003,90.222,,,106.362,91.883003,78.431,13.452003,,14.478996,338.710999,,18.895,18.895,,,,0.482,0.0,0.482,0.482,,50.218001,,,50.218001,69.595001,437.928986,417.652987,20.275999,20.275999,,24.219,,,,,24.219,462.147985,531.742987,0.0,1233.698975,,,0.0,-902.231995,-4.656006,326.810974,0.0,326.810974,858.553961,
03/31/2006,841.538025,479.516022,262.028015,217.488007,17.431999,17.431999,,33.18,8.436,19.659,5.085,,19.238001,,,549.366028,140.300995,,,48.601002,,,103.269997,90.375,78.431,11.944,,12.894997,292.171993,,14.633,14.633,,,,36.547001,36.026001,0.521,0.521,,59.121001,,,59.121001,110.301003,401.756012,381.627012,20.129,20.129,,22.674999,,,,,22.674999,424.431011,534.732014,,1244.243042,,,,-935.703003,-1.734009,306.80603,,306.80603,841.538044,
06/30/2006,827.14502,475.919998,151.988998,323.931,44.639999,44.639999,,16.247,9.482,5.106,1.659,0.0,35.918999,,,572.726013,139.151993,,,15.219,,,100.047997,88.970001,78.431,10.539001,,11.077995,254.418989,,9.772,9.772,,,,36.588001,36.026001,0.562,0.562,,68.476996,,,68.476996,114.836998,401.60199,381.626989,19.975,19.975,,45.445,,,,,45.445,447.046989,561.883987,0.0,1265.203979,,,0.0,-998.533997,-1.408997,265.260986,0.0,265.260986,827.144974,
09/30/2006,790.02,481.608,157.668,323.94,31.849,31.849,,15.795,10.282,5.115,0.398,0.0,17.18,,,546.432,136.58,,,9.342,,9.342,97.666,88.262,78.431,9.831,,9.404,243.588,,6.761,6.761,,,,36.63,36.026,0.604,0.604,,51.938,,,51.938,95.329,401.441,381.627,19.814,19.814,,41.567,,,,,41.567,443.008,538.337,0.0,1269.35,,,0.0,-1018.138,0.471,251.683,0.0,251.683,790.02,
12/31/2006,768.177002,458.640003,63.759998,394.880005,47.147999,47.147999,,14.656,8.609,4.736,1.311,0.0,14.595,,,535.039001,133.811996,240.410004,-106.598,8.337,,,90.988998,82.056999,78.431,3.625999,,8.931999,233.137995,,8.16,8.16,,,,103.363998,102.652998,0.711,0.711,,53.789997,,,53.789997,165.313995,334.759003,315.000002,19.759001,19.759001,,41.043999,,,,,41.043999,375.803001,541.116997,0.0,1283.990967,,,0.0,-1056.993042,0.062012,227.059937,0.0,227.059937,768.176933,
03/31/2007,713.73999,398.327011,83.139999,315.187012,64.747002,64.747002,,16.77,8.426,7.998,0.346,0.0,11.733,,,491.576996,132.345001,,,0.0,,,89.818001,81.820999,78.431,3.389999,,7.997002,222.163002,,3.658,3.658,,,,67.387001,66.627001,0.76,0.76,,40.430997,,,40.430997,111.475998,334.548004,315.000004,19.548,19.548,,57.092999,,,,,57.092999,391.641003,503.117001,0.0,1292.985962,,,0.0,-1082.666016,0.302979,210.622925,0.0,210.622925,713.739925,
06/30/2007,703.465,406.789,82.856,323.933,49.829,49.829,,17.228,9.668,6.373,1.187,0.0,9.52,,,483.366,131.024,,,0.0,,,89.075,81.584,78.431,3.153,,7.491,220.099,,2.941,2.941,,,,67.438,66.627,0.811,0.811,,50.948,,,50.948,121.327,334.328,315.0,19.328,19.328,,59.13,,,,,59.13,393.458,514.785,0.0,1298.389,,,0.0,-1110.176,0.467,188.68,0.0,188.68,703.465,
09/30/2007,738.285,452.644,174.713,277.931,36.805,36.805,,17.175,11.989,4.138,1.048,0.0,8.147,,,514.771,135.317,,,0.0,,,88.197,81.348,78.431,2.917,,6.849,223.514,,4.421,4.421,,,,67.761,66.627,1.134,1.134,,84.497,,,84.497,156.679,336.987,315.0,21.987,21.987,,73.716,,,,,73.716,410.703,567.382,0.0,1299.182,,,0.0,-1128.797,0.518,170.903,0.0,170.903,738.285,
12/31/2007,725.103,482.353,76.293,406.06,21.637,21.637,,12.187,9.522,1.749,0.916,0.0,7.106,,,523.283,114.42,220.671,-106.251,0.0,,,87.4,81.111,78.431,2.68,,6.289,201.82,,3.589,3.589,,,,2.335,0.0,2.335,2.335,,92.168,,,92.168,98.092,336.632,315.0,21.632,21.632,,75.94,,,,,75.94,412.572,510.664,0.0,1302.55,,,0.0,-1089.754,1.643,214.439,0.0,214.439,725.103,
03/31/2008,643.835999,412.630009,36.675999,375.95401,14.04,14.04,,11.027,8.37,2.069,0.588,0.0,5.826,,,443.52301,114.380997,,,0.0,,,85.931999,80.875,78.431,2.444,,5.056999,200.312996,,1.556,1.556,,,,2.259,0.0,2.259,2.259,,53.83,,,53.83,57.645,336.329987,314.999987,21.33,21.33,,74.101997,,,,,74.101997,410.431984,468.076984,0.0,1304.005005,,,0.0,-1130.458984,2.213013,175.759033,0.0,175.759033,643.836018,
