Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2009,23938,450.0,450.0,0.0,569.0,569.0,0.0,350.0,0.0,0.0,258.0,92.0,158,35.0,,,158.0,1527,15109,19608.0,-4499.0,0.0,,7302,3901.0,3901.0,0.0,1997.0,1369,22411,,547.0,192.0,172.0,183.0,,857.0,44.0,,,813.0,853,,18.0,3039.0,853,2257,9347,9347.0,,,4629,,,,,1572,13976,16233,225.0,4680.0,1.0,4679.0,0,1041.0,1217,7163,542.0,7705,23938,
12/31/2009,24091,166.0,166.0,0.0,778.0,778.0,0.0,321.0,0.0,0.0,240.0,81.0,164,33.0,,59.0,105.0,1429,15347,19960.0,-4613.0,0.0,,7315,3948.0,3948.0,0.0,2001.0,1333,22662,,639.0,333.0,167.0,139.0,0.0,971.0,162.0,0.0,0.0,809.0,885,0.0,17.0,3209.0,821,2495,8947,8947.0,0.0,0.0,4843,0.0,603.0,356.0,247.0,1014,13790,16285,225.0,4646.0,1.0,4645.0,0,1088.0,1307,7266,540.0,7806,24091,
03/31/2010,24447,158.0,158.0,0.0,772.0,772.0,0.0,202.0,0.0,0.0,131.0,71.0,137,23.0,,,137.0,1269,15706,20539.0,-4833.0,0.0,,7472,4062.0,4062.0,0.0,2006.0,1381,23178,,699.0,416.0,118.0,165.0,,864.0,185.0,,,679.0,640,,17.0,3187.0,640,2203,9088,9088.0,,,4844,,,,,1640,13932,16135,258.0,4685.0,1.0,4684.0,0,1293.0,1519,7755,557.0,8312,24447,
06/30/2010,24069,106.0,106.0,0.0,661.0,661.0,0.0,296.0,0.0,0.0,227.0,69.0,177,43.0,,,177.0,1240,15557,20418.0,-4861.0,0.0,,7272,3917.0,3917.0,0.0,1957.0,1355,22829,,638.0,420.0,58.0,160.0,,1215.0,489.0,,,726.0,753,,26.0,3173.0,753,2606,8670,8670.0,,,4774,,,,,1575,13444,16050,258.0,4694.0,1.0,4693.0,0,1303.0,1212,7467,552.0,8019,24069,
09/30/2010,25516,156.0,156.0,0.0,699.0,699.0,0.0,371.0,0.0,0.0,300.0,71.0,196,61.0,,,196.0,1422,16375,21428.0,-5053.0,0.0,,7719,4236.0,4236.0,0.0,2003.0,1419,24094,,564.0,353.0,50.0,161.0,,1722.0,982.0,,,740.0,779,,43.0,3232.0,779,3065,9277,9277.0,,,4887,,,,,1612,14164,17229,258.0,4702.0,1.0,4701.0,0,1338.0,1430,7728,559.0,8287,25516,
12/31/2010,26686,130.0,130.0,0.0,1018.0,1018.0,0.0,287.0,0.0,0.0,216.0,71.0,203,48.0,,26.0,177.0,1638,16980,22162.0,-5182.0,0.0,,8068,4305.0,4305.0,0.0,2033.0,1682,25048,,595.0,369.0,167.0,59.0,0.0,1151.0,836.0,0.0,0.0,315.0,777,0.0,26.0,3555.0,745,2523,10169,10169.0,0.0,0.0,5249,0.0,594.0,332.0,262.0,1074,15418,17941,258.0,4727.0,1.0,4726.0,0,1487.0,1595,8067,678.0,8745,26686,
03/31/2011,27151,140.0,140.0,0.0,1016.0,1016.0,0.0,143.0,0.0,0.0,69.0,74.0,218,33.0,,,218.0,1517,17430,22841.0,-5411.0,0.0,,8204,4396.0,4396.0,0.0,2061.0,1714,25634,,699.0,460.0,80.0,159.0,,978.0,655.0,,,323.0,640,,17.0,3717.0,640,2317,10257,10257.0,,,5418,,,,,1684,15675,17992,258.0,4741.0,1.0,4740.0,0,1674.0,1803,8476,683.0,9159,27151,
06/30/2011,27939,538.0,538.0,0.0,914.0,914.0,0.0,264.0,0.0,0.0,189.0,75.0,226,52.0,,,226.0,1942,17801,23383.0,-5582.0,0.0,,8196,4421.0,4421.0,0.0,2111.0,1612,25997,,831.0,592.0,58.0,181.0,,643.0,577.0,,,66.0,715,,19.0,3885.0,715,2189,10640,10640.0,,,5569,,,,,1665,16209,18398,258.0,4792.0,1.0,4791.0,0,1787.0,1867,8704,837.0,9541,27939,
09/30/2011,27215,74.0,74.0,0.0,886.0,886.0,0.0,423.0,0.0,0.0,353.0,70.0,225,,,,158.0,1608,17591,23075.0,-5484.0,0.0,,8016,4337.0,4337.0,0.0,2091.0,1588,25607,,736.0,496.0,83.0,157.0,,1013.0,949.0,,,64.0,764,,,3863.0,748,2513,10234,10234.0,,,5444,,,,,1581,15678,18191,258.0,4794.0,1.0,4793.0,0,1871.0,1274,8197,827.0,9024,27215,
12/31/2011,28138,174.0,174.0,0.0,962.0,962.0,0.0,393.0,0.0,0.0,321.0,72.0,235,0.0,,11.0,158.0,1764,18258,23932.0,-5674.0,0.0,,8116,4420.0,4420.0,0.0,2064.0,1632,26374,,758.0,498.0,82.0,178.0,0.0,1577.0,1052.0,0.0,0.0,525.0,766,0.0,0.0,3940.0,718,3101,10146,10146.0,0.0,0.0,5737,0.0,715.0,430.0,285.0,1082,15883,18984,258.0,4815.0,1.0,4814.0,0,1977.0,1273,8323,831.0,9154,28138,
03/31/2012,28359,105.0,105.0,0.0,816.0,816.0,0.0,258.0,0.0,0.0,183.0,75.0,258,,,,203.0,1437,18678,24575.0,-5897.0,0.0,,8244,4492.0,4492.0,0.0,2090.0,1662,26922,,660.0,408.0,87.0,165.0,,2052.0,1031.0,,,1021.0,557,,30.0,4062.0,557,3269,9749,9749.0,,,5859,,,,,1767,15608,18877,258.0,4823.0,1.0,4822.0,0,2125.0,1440,8646,836.0,9482,28359,
06/30/2012,28375,127.0,127.0,0.0,715.0,715.0,0.0,307.0,0.0,0.0,232.0,75.0,246,56.0,,,236.0,1395,18798,24803.0,-6005.0,0.0,,8182,4435.0,4435.0,0.0,2082.0,1609,26980,,716.0,458.0,72.0,186.0,,2103.0,1073.0,,,1030.0,625,,24.0,4163.0,625,3444,9632,9632.0,,,5893,,,,,1706,15525,18969,258.0,4831.0,1.0,4830.0,0,2156.0,1332,8577,829.0,9406,28375,
09/30/2012,29582,146.0,146.0,0.0,775.0,775.0,0.0,404.0,0.0,0.0,326.0,78.0,296,53.0,,,285.0,1621,19607,25875.0,-6268.0,0.0,,8354,4541.0,4541.0,0.0,2118.0,1642,27961,,671.0,451.0,52.0,168.0,,2598.0,1317.0,,,1281.0,754,,20.0,4252.0,754,4023,9892,9892.0,,,5991,,,,,1719,15883,19906,258.0,4845.0,1.0,4844.0,0,2152.0,1593,8848,828.0,9676,29582,
12/31/2012,30587,94.0,94.0,0.0,970.0,970.0,0.0,309.0,0.0,0.0,231.0,78.0,290,48.0,,24.0,253.0,1663,19905,26257.0,-6352.0,0.0,,9019,4513.0,4513.0,0.0,2692.0,1766,28924,,716.0,464.0,67.0,185.0,0.0,2180.0,1259.0,0.0,0.0,921.0,895,0.0,21.0,4358.0,863,3791,10653,10653.0,0.0,0.0,6042,0.0,700.0,428.0,272.0,963,16695,20486,258.0,5298.0,1.0,5297.0,0,2165.0,1509,9230,871.0,10101,30587,
03/31/2013,32538,188.0,188.0,0.0,1119.0,1119.0,0.0,128.0,0.0,0.0,50.0,78.0,301,40.0,,,295.0,1736,21304,27670.0,-6366.0,0.0,,9498,4887.0,4887.0,0.0,2801.0,1770,30802,,770.0,515.0,89.0,166.0,,2162.0,1415.0,,,747.0,831,,15.0,4774.0,831,3763,12280,12280.0,,,6427,,,,,1638,18707,22470,258.0,5299.0,1.0,5298.0,0,2301.0,1340,9198,870.0,10068,32538,
06/30/2013,32660,217.0,217.0,0.0,957.0,957.0,0.0,224.0,0.0,0.0,146.0,78.0,329,25.0,,,324.0,1727,21297,27656.0,-6359.0,0.0,,9636,4806.0,4806.0,0.0,2883.0,1922,30933,,852.0,577.0,86.0,189.0,,2824.0,1684.0,,,1140.0,835,,15.0,4883.0,835,4511,11656,11656.0,,,6506,,,,,1608,18162,22673,258.0,5348.0,1.0,5347.0,0,2294.0,1102,9002,985.0,9987,32660,
09/30/2013,35353,160.0,160.0,0.0,966.0,966.0,0.0,429.0,0.0,0.0,349.0,80.0,366,18.0,,,357.0,1921,21822,28399.0,-6577.0,0.0,,11610,4869.0,4869.0,0.0,3026.0,3697,33432,,655.0,428.0,58.0,169.0,,4553.0,2049.0,,,2504.0,951,,11.0,5062.0,951,6159,12268,12268.0,,,6671,,,,,1598,18939,25098,258.0,5315.0,1.0,5314.0,0,2352.0,1266,9191,1064.0,10255,35353,
12/31/2013,33533,201.0,201.0,0.0,1336.0,1336.0,0.0,263.0,0.0,0.0,185.0,78.0,281,15.0,,9.0,264.0,2081,21829,28456.0,-6627.0,0.0,,9623,4810.0,4810.0,0.0,3043.0,1755,31452,,713.0,440.0,72.0,201.0,0.0,2229.0,1032.0,0.0,0.0,1197.0,1097,0.0,9.0,4968.0,1081,4039,12488,12488.0,0.0,0.0,6425,0.0,365.0,135.0,230.0,1083,18913,22952,258.0,4870.0,1.0,4869.0,0,2383.0,1241,8752,1829.0,10581,33533,
03/31/2014,33384,193.0,193.0,0.0,1378.0,1378.0,0.0,148.0,0.0,0.0,72.0,76.0,453,15.0,,,449.0,2172,21610,28283.0,-6673.0,0.0,,9602,4788.0,4788.0,0.0,3033.0,1766,31212,,858.0,611.0,87.0,160.0,,1822.0,917.0,,,905.0,1007,,2.0,5094.0,1001,3687,12600,12600.0,,,6494,,,,,1398,19094,22781,258.0,4881.0,1.0,4880.0,0,2577.0,1008,8724,1879.0,10603,33384,
06/30/2014,33946,300.0,300.0,0.0,1222.0,1222.0,0.0,277.0,0.0,0.0,199.0,78.0,406,19.0,,,402.0,2205,22260,29223.0,-6963.0,0.0,,9481,4841.0,4841.0,0.0,2803.0,1818,31741,,814.0,518.0,103.0,193.0,,1265.0,769.0,,,496.0,1077,,3.0,5223.0,1068,3156,13141,13141.0,,,6646,,,,,1420,19787,22943,258.0,4919.0,1.0,4918.0,0,2497.0,1236,8910,2093.0,11003,33946,
09/30/2014,34001,221.0,221.0,0.0,1202.0,1202.0,0.0,446.0,0.0,0.0,368.0,78.0,383,14.0,,,382.0,2252,22201,29137.0,-6936.0,0.0,,9548,4768.0,4768.0,0.0,3008.0,1758,31749,,732.0,478.0,104.0,150.0,,1632.0,1412.0,,,220.0,1127,,3.0,5262.0,1127,3491,13072,13072.0,,,6642,,,,,1377,19714,23205,258.0,4940.0,1.0,4939.0,0,2473.0,943,8614,2182.0,10796,34001,
12/31/2014,33998,215.0,215.0,0.0,1336.0,1336.0,0.0,313.0,0.0,0.0,239.0,74.0,468,188.0,,,468.0,2332,22307,29211.0,-6904.0,0.0,,9359,4714.0,4714.0,0.0,2966.0,1491,31666,,730.0,458.0,91.0,181.0,0.0,1910.0,1583.0,,,327.0,1169,0.0,139.0,5405.0,1140,3809,12727,12727.0,,,6806,0.0,400.0,187.0,213.0,862,19533,23342,258.0,4957.0,1.0,4956.0,0,2541.0,662,8418,2238.0,10656,33998,
03/31/2015,32920,409.0,409.0,0.0,1152.0,1152.0,0.0,174.0,0.0,0.0,103.0,71.0,328,41.0,,,283.0,2063,21644,28434.0,-6790.0,0.0,,9213,4595.0,4595.0,0.0,2943.0,1634,30857,,688.0,420.0,125.0,143.0,,1115.0,615.0,,,500.0,914,,,5427.0,914,2717,13178,13178.0,,,6736,,,,,1309,19914,22631,258.0,4964.0,1.0,4963.0,0,2558.0,185,7965,2324.0,10289,32920,
06/30/2015,33044,287.0,287.0,0.0,880.0,880.0,0.0,248.0,0.0,0.0,176.0,72.0,322,,,,322.0,1737,22281,29250.0,-6969.0,0.0,,9026,4615.0,4615.0,0.0,2701.0,1710,31307,,853.0,557.0,108.0,188.0,,1452.0,535.0,,,917.0,832,,,5459.0,832,3137,12783,12783.0,,,6787,,,,,1328,19570,22707,258.0,4991.0,1.0,4990.0,0,2329.0,276,7854,2483.0,10337,33044,
09/30/2015,33259,338.0,338.0,0.0,842.0,842.0,0.0,344.0,0.0,0.0,275.0,69.0,315,14.0,,,4.0,1839,22438,29303.0,-6865.0,0.0,,8982,4534.0,4534.0,0.0,2741.0,1693,31420,,871.0,648.0,82.0,141.0,,1343.0,577.0,,,766.0,1193,,,5479.0,1193,3407,12898,12898.0,,,6765,,,,,1286,19663,23070,258.0,5025.0,1.0,5024.0,0,2253.0,-62,7474,2715.0,10189,33259,
12/31/2015,32923,213.0,213.0,0.0,806.0,806.0,0.0,307.0,0.0,0.0,240.0,67.0,322,175.0,,,322.0,1648,22918,29843.0,-6925.0,0.0,,8357,4154.0,4154.0,0.0,2592.0,1436,31275,,768.0,511.0,78.0,179.0,0.0,1764.0,1112.0,,,652.0,860,0.0,81.0,5445.0,859,3392,12892,12892.0,,,6768,0.0,350.0,165.0,185.0,892,19660,23052,339.0,5054.0,1.0,5053.0,0,1741.0,-269,6865,3006.0,9871,32923,
03/31/2016,34091,279.0,279.0,0.0,723.0,723.0,0.0,199.0,0.0,0.0,128.0,71.0,274,73.0,,,67.0,1475,24019,31290.0,-7271.0,0.0,,8597,4211.0,4211.0,0.0,2588.0,1725,32616,,722.0,493.0,88.0,141.0,,1803.0,1320.0,,,483.0,638,,,5644.0,638,3163,13190,13190.0,,,7039,,,,,1395,20229,23392,339.0,5432.0,1.0,5431.0,0,1699.0,32,7502,3197.0,10699,34091,
06/30/2016,35047,240.0,240.0,0.0,708.0,708.0,0.0,185.0,0.0,0.0,115.0,70.0,504,100.0,225.0,,112.0,1637,24707,32003.0,-7296.0,0.0,,8703,4217.0,4217.0,0.0,2657.0,1729,33410,,970.0,709.0,80.0,181.0,,1181.0,1113.0,,,68.0,635,,,5694.0,633,2786,13584,13584.0,,,7115,,,,,1421,20699,23485,339.0,5945.0,1.0,5944.0,0,1567.0,86,7937,3625.0,11562,35047,
09/30/2016,35937,464.0,464.0,0.0,712.0,712.0,0.0,287.0,0.0,0.0,214.0,73.0,287,86.0,,,280.0,1750,25337,32736.0,-7399.0,0.0,,8850,4203.0,4203.0,0.0,2742.0,1819,34187,,949.0,736.0,73.0,140.0,,2104.0,1637.0,,,467.0,634,,,5758.0,634,3687,13094,13094.0,,,7175,,,,,1417,20269,23956,562.0,5978.0,1.0,5977.0,0,1477.0,13,8030,3951.0,11981,35937,
12/31/2016,36842,305.0,305.0,0.0,1003.0,1003.0,0.0,253.0,0.0,0.0,183.0,70.0,211,23.0,,,210.0,1772,26208,33555.0,-7347.0,0.0,,8862,4181.0,4181.0,0.0,2780.0,1878,35070,,1099.0,828.0,86.0,185.0,0.0,2004.0,1453.0,,,551.0,802,0.0,0.0,5769.0,802,3905,13624,13624.0,,,7212,0.0,406.0,202.0,204.0,1037,20836,24741,562.0,5996.0,1.0,5995.0,0,1307.0,-146,7719,4382.0,12101,36842,
06/30/2017,22882,,,,,,,,,,,,559,,,,559.0,559,17257,,,4623.0,4623.0,443,,,,,443,22323,,,,,,,,,,,,2392,,,,2392,2392,6214,6214.0,,,198,,,,,198,6412,8804,,,,,0,,14078,14078,,14078,22882,
