Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1999,98.384003,11.336,30.569,23.344999,,,23.344999,33.133999,,33.133999,,-102.472,-105.459,0.0,,,-105.459,,,0.0,0.0,0.0,,,,,2.987,77.535997,0.0,148.128,,,,0.0,0.0,0.0,-70.592003,,73.447998,5.4,4.6,
06/30/1999,52.122002,27.358,33.169998,-7.93,,,-7.93,-0.476,,-0.476,,-147.429001,-144.442003,0.524,,,-144.966003,,,0.0,0.0,0.0,,,,,-2.986997,-67.753999,0.0,-57.694999,,,,0.0,0.0,0.0,-10.059,,-163.061005,13.9,6.2,
09/30/1999,40.668999,31.804001,33.168999,-24.884001,,,-24.884001,0.58,,0.58,,-154.483994,-158.272005,3.399,,,-161.671005,,,0.0,0.0,0.0,,,,,3.788012,54.507001,0.0,-13.504001,,,,0.0,0.0,0.0,68.011002,,-59.307999,7.5,6.1,
12/31/1999,-153.397,-12.395,34.756,,,,,-43.941,,-43.941,,245.979,-171.448,0.0,,,-171.448,,,0.0,0.0,0.0,,,,,417.427,-58.3,0.0,0.0,,,,0.0,0.0,0.0,-58.3,,34.282,,,
03/31/2000,24.593,32.477001,64.574997,-1.17,,,-1.17,-71.289001,,-71.289001,,-114.814003,-140.757996,0.0,,,-140.757996,,,0.0,0.0,0.0,,,,,25.943993,47.404998,-6.304,46.712997,,,,7.492,7.492,0.0,-0.496,,-42.816002,12.5,17.0,
06/30/2000,59.409,35.943001,64.850998,-5.131,,,-5.131,-36.254002,,-36.254002,,-162.884003,-163.674006,3.37,,,-167.044006,,,0.0,0.0,0.0,,,,,0.790004,149.91502,-6.319,152.951019,,,,3.237,3.237,0.0,0.046,,46.439999,21.6,28.4,
09/30/2000,99.393997,49.278,64.352997,-22.962,,,-22.962,8.725,,8.725,,-112.774002,-112.485996,45.352001,,,-157.837997,,,0.0,0.0,0.0,,,,,-0.288006,-118.945,-6.32,-115.986,,,,3.341,3.341,0.0,0.02,,-132.324997,4.2,13.2,
12/31/2000,13.986,-9.15,65.697998,-60.169998,,,-60.169998,17.608,,17.608,,-102.442001,-76.645004,32.417999,,,-109.063004,,,0.0,0.0,0.0,,,,,-25.796997,86.023,-6.322,94.21,,,,0.332,0.332,0.0,-2.197,,-2.433,25.0,22.700001,
03/31/2001,45.700001,30.5,129.5,-52.200001,,,-52.200001,-62.099998,,-62.099998,,-9.4,-251.100003,4.7,,,-255.800003,,,0.0,0.0,0.0,,,,,241.700004,194.799994,-9.5,182.999994,,,,19.799999,19.799999,0.0,1.5,,231.100006,4.9,69.400002,
06/30/2001,5.5,68.5,165.199997,-48.599998,,,-48.599998,-179.600006,,-179.600006,,-73.5,-91.5,24.5,,,-116.0,,,0.0,0.0,0.0,,,,,18.0,-88.9,-9.6,-87.5,,,,19.6,19.6,0.0,-11.4,,-156.899994,41.599998,89.300003,
09/30/2001,315.100006,97.599998,167.0,-75.199997,,,-75.199997,125.699997,,125.699997,,18.700001,7.899994,79.199997,,,-71.300003,,,0.0,0.0,0.0,,,,,10.800007,-91.499997,-9.5,-82.199997,,,,0.7,0.7,0.0,-0.5,,242.300003,3.4,10.0,
12/31/2001,200.5,56.0,163.300003,-26.6,,,-26.6,7.8,,7.8,,37.799999,-55.399999,7.7,,,-63.099998,,,0.0,0.0,0.0,,,,,93.199998,264.1,-9.6,275.5,,,,0.1,0.1,0.0,-1.9,,502.399994,72.599998,21.9,
03/31/2002,162.0,-1286.400024,125.599998,1348.099976,,,1348.099976,-25.299999,,-25.299999,,-7.9,-4.299999,43.400002,,,-47.700001,,,0.0,0.0,0.0,,,,,-3.600001,-419.399994,-9.6,-411.399994,,,,9.1,9.1,0.0,-7.5,,-265.299988,21.299999,8.8,
06/30/2002,218.5,80.0,124.300003,-10.1,,,-10.1,24.299999,,24.299999,,-8.3,-11.9,21.6,,,-33.5,,,0.0,0.0,0.0,,,,,3.599999,-42.399998,-9.5,-34.599998,,,,1.2,1.2,0.0,0.5,,167.800003,22.9,61.400002,
09/30/2002,319.700012,255.199997,124.199997,-126.199997,,,-126.199997,66.5,,66.5,,-20.200001,-24.800001,8.6,,,-33.400002,,,0.0,0.0,0.0,,,,,4.6,-33.600001,0.0,-34.700001,,,,-0.1,0.0,-0.1,1.2,,265.899994,29.799999,6.5,
12/31/2002,236.399994,-2780.699951,126.199997,2835.399902,,,2835.399902,55.5,,55.5,,-8.9,-11.7,14.7,,,-26.4,,,0.0,0.0,0.0,,,,,2.8,-35.1,0.0,-35.0,,,,0.0,0.0,0.0,-0.1,,192.399994,17.1,94.199997,
03/31/2003,190.5,47.200001,126.800003,31.700001,,,31.700001,-15.2,,-15.2,,-20.799999,-22.2,2.2,,,-24.4,,,0.0,0.0,0.0,,,,,1.4,136.499994,0.0,-47.799999,,,,10.9,10.9,0.0,173.399994,,306.200012,24.299999,14.8,
06/30/2003,114.400002,-44.5,127.5,-25.700001,,,-25.700001,57.099998,,57.099998,,-51.200001,-24.799999,1.0,,,-25.799999,,,0.0,0.0,0.0,,,,,-26.400002,-869.600024,0.0,-871.400024,,,,0.8,0.8,0.0,1.0,,-806.400024,16.6,91.300003,
09/30/2003,159.399994,11.0,126.800003,31.0,,,31.0,-9.4,,-9.4,,-20.799999,-22.5,0.9,,,-23.4,,,0.0,0.0,0.0,,,,,1.7,-46.3,0.0,-47.0,,,,0.6,0.6,0.0,0.1,,92.300003,15.6,2.4,
12/31/2003,61.200001,5.5,127.099998,-100.5,,,-100.5,29.1,,29.1,,-354.700012,-417.999988,4.3,,,-422.299988,,,0.0,0.0,0.0,,,,,63.299975,-38.8,0.0,-34.4,,,,0.5,0.5,0.0,-4.9,,-332.299988,16.9,110.5,
03/31/2004,191.2,22.7,131.5,10.5,,31.3,-20.8,26.5,29.8,-3.3,,150.3,-6.9,10.5,,,-17.4,,,0.0,0.0,0.0,,,,,157.2,-417.6,0.0,-431.6,,,,14.0,14.0,0.0,0.0,,-76.1,,,
06/30/2004,89.400002,48.0,133.0,-19.799999,,,-19.799999,-71.800003,,-71.800003,,-2.6,-5.799999,31.5,,,-37.299999,,,0.0,0.0,0.0,,,,,3.199999,-162.6,0.0,-163.6,,,,1.0,1.0,0.0,0.0,,-75.800003,16.700001,93.0,
09/30/2004,226.0,154.899994,133.899994,-140.800003,,4.2,-145.000003,78.0,8.6,69.4,,233.399994,-40.799998,4.3,,,-45.099998,,,0.0,0.0,0.0,,,,,274.199992,-5.7,0.0,-11.8,,,,5.0,5.0,0.0,1.1,,453.700012,,,
12/31/2004,96.5,-73.4,126.2,103.5,,,103.5,-59.8,,-59.8,,168.8,-22.0,4.1,,,-26.1,,,0.0,0.0,0.0,,,,,190.8,-589.8,0.0,-601.1,,,,10.4,10.4,0.0,0.9,,-324.5,,,
03/31/2005,176.9,91.8,100.7,2.5,,4.6,-2.1,-18.1,-40.0,21.9,,7.4,4.3,35.5,,,-31.2,,,0.0,0.0,0.0,,,,,3.1,-214.9,0.0,-287.4,,,,72.4,72.4,0.0,0.1,,-30.6,,,
06/30/2005,206.2,301.8,101.2,-160.9,,-2.4,-158.5,-35.9,-79.6,43.7,,219.9,-53.4,25.0,,,-78.4,,,0.0,0.0,0.0,,,,,273.3,95.7,0.0,-7.9,,,,91.6,91.6,0.0,12.0,,521.8,,,
09/30/2005,237.6,170.4,102.1,-4.2,,-8.8,4.6,-30.7,-27.1,-3.6,,-33.0,-33.0,2.3,,,-35.3,,,0.0,0.0,0.0,,,,,0.0,-550.3,0.0,-592.4,,,,42.7,42.7,0.0,-0.6,,-345.7,,,
12/31/2005,243.5,151.6,101.8,47.9,,33.7,14.2,-57.8,-3.1,-54.7,,-25.7,-25.7,11.3,,,-37.0,,,0.0,0.0,0.0,,,,,0.0,-369.2,0.0,7.5,,,,-376.6,23.4,-400.0,-0.1,,-151.4,,,
03/31/2006,267.9,205.7,101.6,-26.4,2.8,34.0,-63.2,-13.0,-71.2,58.2,,-95.9,-95.9,81.7,,,-177.6,,,0.0,0.0,0.0,,,,,0.0,-155.5,0.0,0.0,,,,-155.5,44.5,-200.0,0.0,,16.5,,,
06/30/2006,175.9,249.5,102.0,-145.0,,-8.6,-136.4,-30.6,-32.7,2.1,,23.3,23.3,121.3,,,-98.0,,,0.0,0.0,0.0,,,,,0.0,-378.9,0.0,0.0,,,,-378.5,21.6,-400.1,-0.4,,-179.7,,,
09/30/2006,288.4,309.0,99.2,-89.1,,-7.1,-82.0,-30.7,-168.6,137.9,,-339.0,-339.5,94.7,,,-434.2,,,0.0,0.0,0.0,,,,,0.5,175.5,0.0,1900.0,,,,-1749.7,0.7,-1750.4,25.2,,124.9,,,
12/31/2006,504.8,621.0,98.2,-253.7,,-41.3,-212.4,39.3,49.5,-10.2,,-2.4,-2.9,163.3,,,-166.2,,,0.0,0.0,0.0,,,,,0.5,-441.1,0.0,-200.0,,,,-241.3,9.2,-250.5,0.2,,61.3,125.0,125.0,
03/31/2007,654.0,553.0,100.0,-16.0,,-2.0,-14.0,17.0,-139.0,156.0,,-429.0,-426.0,39.0,,,-465.0,,,0.0,0.0,0.0,,,,,-3.0,-190.0,0.0,190.0,,,,-385.0,15.0,-400.0,5.0,,35.0,,,
06/30/2007,607.0,549.0,101.0,13.0,,-5.0,18.0,-56.0,-99.0,43.0,,-288.0,-288.0,2.0,,,-290.0,,,0.0,0.0,0.0,,,,,0.0,-376.0,0.0,-420.0,,,,40.0,40.0,0.0,4.0,,-57.0,,,
09/30/2007,897.0,973.0,103.0,0.0,,9.0,-9.0,-179.0,-82.0,-97.0,,-284.0,-284.0,21.0,,,-305.0,,,0.0,0.0,0.0,,,,,0.0,-440.0,0.0,-470.0,,,,24.0,24.0,0.0,6.0,,173.0,,,
03/31/2008,1482.0,1149.0,143.0,53.0,22.0,-25.0,56.0,137.0,,137.0,,-518.0,-515.0,254.0,,,-769.0,,,0.0,0.0,0.0,,,,,-3.0,-638.0,0.0,-661.0,,,,23.0,23.0,0.0,0.0,,326.0,,,
06/30/2008,1011.0,1065.0,147.0,-130.0,3.0,-31.0,-102.0,-71.0,,-71.0,,-327.0,-327.0,93.0,,,-420.0,,,0.0,0.0,0.0,,,,,0.0,-1275.0,0.0,-1316.0,,,,42.0,42.0,0.0,-1.0,,-591.0,,,
09/30/2008,1270.0,1106.0,193.0,87.0,,60.0,27.0,-116.0,,-116.0,,-903.0,-509.0,5.0,,,-514.0,,,0.0,0.0,0.0,,,,,-394.0,-514.0,0.0,-495.0,,,,-12.0,0.0,-12.0,-7.0,,-147.0,,,
12/31/2008,1196.0,754.0,263.0,439.0,29.0,4.0,406.0,-260.0,,-260.0,,-448.0,-509.0,0.0,,,-509.0,,,0.0,0.0,0.0,,,,,61.0,-614.0,0.0,-597.0,,,,-26.0,12.0,-38.0,9.0,,134.0,,,
03/31/2009,1441.0,942.0,251.0,304.0,19.0,6.0,279.0,-56.0,,-56.0,0.0,-479.0,-700.0,8.0,8.0,0.0,-708.0,-708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,-623.0,0.0,-638.0,-24.0,88.0,-702.0,0.0,0.0,0.0,15.0,0.0,339.0,,,
06/30/2009,1576.0,806.0,285.0,159.0,24.0,20.0,115.0,326.0,,326.0,0.0,-1009.0,-947.0,0.0,0.0,0.0,-947.0,-947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62.0,-962.0,0.0,-953.0,-476.0,231.0,-708.0,5.0,5.0,0.0,-14.0,0.0,-395.0,,,
09/30/2009,1406.0,710.0,309.0,145.0,14.0,24.0,107.0,242.0,,242.0,0.0,-538.0,-538.0,2.0,2.0,0.0,-540.0,-540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-889.0,0.0,-893.0,254.0,26.0,-1173.0,9.0,9.0,0.0,-5.0,0.0,-21.0,,,
12/31/2009,1175.0,723.0,338.0,24.0,23.0,-37.0,38.0,90.0,,90.0,0.0,-668.0,-849.0,8.0,8.0,0.0,-857.0,-857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,-263.0,0.0,-255.0,-136.0,169.0,-288.0,9.0,9.0,0.0,-17.0,0.0,244.0,,,
03/31/2010,1172.0,677.0,341.0,101.0,35.0,-22.0,88.0,53.0,,53.0,,-323.0,-328.0,41.0,41.0,0.0,-369.0,-369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-393.0,0.0,-330.0,-131.0,54.0,-253.0,-60.0,0.0,-60.0,-3.0,0.0,456.0,,,
06/30/2010,1269.0,715.0,364.0,-228.0,18.0,-12.0,-234.0,418.0,,418.0,,280.0,-290.0,10.0,10.0,0.0,-300.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,-46.0,0.0,-46.0,-46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1503.0,,,
09/30/2010,709.0,368.0,365.0,54.0,26.0,-40.0,68.0,-78.0,,-78.0,,-298.0,-300.0,0.0,0.0,0.0,-300.0,-300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1337.0,0.0,1355.0,46.0,2000.0,-691.0,0.0,0.0,0.0,-18.0,0.0,1748.0,,,
12/31/2010,796.0,-799.0,361.0,1014.0,24.0,-40.0,1030.0,220.0,,220.0,,-380.0,-413.0,9.0,9.0,0.0,-422.0,-422.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,7.0,-1658.0,0.0,-1661.0,-62.0,0.0,-1599.0,-4.0,0.0,-4.0,7.0,,-1242.0,,,
03/31/2011,390.0,310.0,344.0,47.0,27.0,11.0,9.0,-138.0,,-138.0,,26.0,-227.0,13.0,13.0,0.0,-240.0,-240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,2.0,0.0,9.0,51.0,5.0,-47.0,0.0,0.0,0.0,-7.0,0.0,418.0,,,
06/30/2011,340.0,124.0,349.0,76.0,27.0,12.0,37.0,-209.0,,-209.0,,-315.0,-288.0,5.0,5.0,0.0,-293.0,-293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.0,-448.0,-254.0,-197.0,5.0,0.0,-202.0,0.0,0.0,0.0,3.0,0.0,-423.0,,,
09/30/2011,492.0,-32.0,269.0,156.0,20.0,-6.0,142.0,11.0,,11.0,,-320.0,-120.0,4.0,4.0,0.0,-124.0,-124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-271.0,-275.0,-254.0,-21.0,2.0,0.0,-23.0,0.0,0.0,0.0,0.0,0.0,-103.0,,,
12/31/2011,603.0,-6165.0,277.0,5358.0,21.0,-92.0,5429.0,1133.0,,1133.0,,-1287.0,-339.0,2.0,2.0,0.0,-341.0,-341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1033.0,1455.0,-255.0,651.0,-146.0,2934.0,-2137.0,1211.0,1211.0,0.0,-152.0,0.0,771.0,,,
03/31/2012,540.0,10.0,274.0,141.0,23.0,-17.0,135.0,-49.0,,-49.0,,-207.0,-231.0,7.0,7.0,0.0,-238.0,-238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-368.0,-278.0,-147.0,,,-147.0,0.0,0.0,0.0,57.0,0.0,-35.0,,,
06/30/2012,459.0,-304.0,268.0,0.0,25.0,-26.0,1.0,418.0,,418.0,,-62.0,-206.0,1.0,1.0,0.0,-207.0,-207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,-415.0,0.0,-433.0,-260.0,0.0,-173.0,0.0,0.0,0.0,18.0,0.0,-18.0,,,
09/30/2012,786.0,-381.0,271.0,-9.0,24.0,-61.0,28.0,-22.0,,-22.0,,-35.0,-20.0,181.0,181.0,0.0,-201.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1286.0,0.0,1229.0,0.0,1493.0,-264.0,0.0,0.0,0.0,57.0,0.0,2037.0,,,
12/31/2012,923.0,456.0,268.0,88.0,25.0,-29.0,92.0,111.0,,111.0,,-85.0,-655.0,2.0,2.0,0.0,-657.0,-657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-1705.0,0.0,-1698.0,0.0,0.0,-1698.0,0.0,0.0,0.0,-7.0,0.0,-867.0,,,
03/31/2013,106.0,321.0,266.0,24.0,21.0,-28.0,31.0,-490.0,,-490.0,,-415.0,-487.0,1.0,1.0,0.0,-488.0,-488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-1136.0,0.0,-1190.0,,,-1190.0,0.0,0.0,0.0,54.0,0.0,-1445.0,,,
06/30/2013,416.0,307.0,279.0,89.0,28.0,-8.0,69.0,-256.0,,-256.0,,-161.0,-349.0,3.0,3.0,0.0,-352.0,-352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,-587.0,-202.0,-406.0,0.0,0.0,-406.0,0.0,0.0,0.0,21.0,0.0,-332.0,,,
09/30/2013,623.0,546.0,268.0,52.0,36.0,-28.0,44.0,-226.0,,-226.0,,-210.0,-280.0,170.0,170.0,0.0,-450.0,-450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-211.0,-202.0,-77.0,,,-77.0,0.0,0.0,0.0,68.0,0.0,202.0,,,
12/31/2013,773.0,233.0,281.0,164.0,28.0,55.0,81.0,78.0,,78.0,,-872.0,-948.0,0.0,0.0,0.0,-948.0,-948.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-217.0,-202.0,-19.0,0.0,0.0,-19.0,0.0,0.0,0.0,4.0,0.0,-316.0,,,
03/31/2014,136.0,456.0,269.0,129.0,28.0,-15.0,116.0,-740.0,,-740.0,,-1038.0,-1040.0,91.0,91.0,0.0,-1131.0,-1131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-354.0,-202.0,-237.0,0.0,0.0,-237.0,0.0,0.0,0.0,85.0,0.0,-1256.0,,,
06/30/2014,636.0,587.0,284.0,-6.0,23.0,-25.0,-4.0,-229.0,,-229.0,,-221.0,-341.0,10.0,10.0,0.0,-351.0,-351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,-285.0,-272.0,-6.0,0.0,0.0,-6.0,0.0,0.0,0.0,-7.0,0.0,130.0,,,
09/30/2014,882.0,-2217.0,284.0,2622.0,24.0,-94.0,2692.0,193.0,,193.0,,-264.0,-263.0,102.0,102.0,0.0,-365.0,-365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,-272.0,-75.0,0.0,0.0,-75.0,0.0,0.0,0.0,485.0,0.0,756.0,,,
12/31/2014,566.0,-739.0,287.0,1219.0,23.0,-8.0,1204.0,-201.0,,-201.0,,-305.0,-306.0,12.0,12.0,0.0,-318.0,-318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-499.0,-272.0,-221.0,0.0,0.0,-221.0,0.0,0.0,0.0,-6.0,0.0,-238.0,,,
03/31/2015,526.0,-483.0,291.0,943.0,19.0,-98.0,1022.0,-225.0,,-225.0,,-192.0,-192.0,9.0,9.0,0.0,-201.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-287.0,-272.0,-63.0,0.0,0.0,-63.0,0.0,0.0,0.0,48.0,0.0,47.0,,,
06/30/2015,1311.0,342.0,246.0,991.0,14.0,8.0,969.0,-268.0,,-268.0,,-156.0,-172.0,23.0,23.0,0.0,-195.0,-195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,-68.0,-55.0,-6.0,0.0,0.0,-6.0,0.0,0.0,0.0,-7.0,0.0,1087.0,,,
09/30/2015,648.0,321.0,206.0,94.0,14.0,-14.0,94.0,27.0,,27.0,,-937.0,-937.0,3.0,3.0,0.0,-940.0,-940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1246.0,-54.0,-1237.0,,,-1237.0,0.0,0.0,0.0,45.0,0.0,-1535.0,,,
12/31/2015,960.0,611.0,213.0,473.0,20.0,26.0,427.0,-336.0,,-336.0,,-647.0,-650.0,15.0,15.0,0.0,-665.0,-665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-208.0,-381.0,-200.0,0.0,0.0,-200.0,0.0,0.0,0.0,373.0,0.0,105.0,314.0,439.0,
03/31/2016,631.0,235.0,217.0,81.0,13.0,20.0,48.0,98.0,,98.0,0.0,-364.0,-364.0,4.0,4.0,0.0,-368.0,-368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.0,0.0,-55.0,0.0,0.0,-55.0,0.0,0.0,0.0,23.0,0.0,235.0,,,
06/30/2016,207.0,82.0,225.0,35.0,10.0,19.0,6.0,-135.0,,-135.0,,-447.0,-447.0,11.0,11.0,0.0,-458.0,-458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-181.0,0.0,-196.0,0.0,0.0,-196.0,0.0,0.0,0.0,15.0,0.0,-421.0,,,
