Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non-Cash Adjustments,Net Ch in Operating Capital,Trading Assets & Liab,Accrued Interest Receivable,Accrued Interest Payable,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/2002,241.2,126.8,37.2,5.0,81.1,,,,81.1,-8.9,,,,,,1333.0,-121.8,,-121.8,2513.6,7144.5,,,,-4630.9,,,,-514.7,,,,,,,,-544.1,-781.1,-38.2,-1694.5,,,,,-31.0,8.5,-39.5,976.7,5.9,,793.1,12.8,157.7,
09/30/2002,187.699997,96.400002,4.3,,201.199997,,,,201.199997,0.0,,,,,,-232.399994,0.0,,0.0,-1735.201172,22672.099609,,,,-24407.300781,,,,1722.0,,,,,,,,-219.198822,-703.900014,-114.599998,146.599994,,,,,-108.899998,18.299999,-127.199997,-646.200012,19.200001,,-748.599976,27.299999,134.899994,
12/31/2002,175.5,96.3,97.2,,-121.8,,,,-121.8,103.8,,,,,,-28.1,-28.1,,-28.1,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,147.4,26.7,150.7,
03/31/2003,18.9,94.699997,50.599998,,0.0,,,,0.0,4.2,,,,,,1373.699951,0.0,,0.0,-968.700195,6432.0,,,,-7400.700195,,,,1971.199951,,,,,,,,371.200195,-2640.899903,-37.900002,-998.899951,,,,,-31.199999,1.1,-32.299999,-1579.699951,6.8,,-1248.300049,0.0,137.5,
06/30/2003,113.599998,66.599998,58.0,,55.299999,,,,55.299999,0.0,,,,,,6.2,35.400002,35.400002,0.0,-1197.099609,10380.0,,,,-11577.099609,,,,858.700012,,,,,,,,309.199595,-358.499999,-75.800003,680.799988,,,,,-27.499999,5.6,-33.099998,-762.799988,-173.199997,,-238.699997,57.900002,130.800003,
09/30/2003,438.0,113.800003,0.0,,325.299988,,,,325.299988,20.4,,,,,,-2505.800049,35.400002,35.400002,0.0,-2494.5,13821.200195,,,,-16315.700195,,,,272.5,,,,,,,,-319.20005,835.899991,-113.300003,1553.199997,,,,,-54.000003,13.3,-67.300003,-408.100006,-141.899994,,-1231.900024,21.0,130.300003,
12/31/2003,-59.1,129.7,43.3,-15.0,106.1,,87.9,,18.2,-323.2,,,,,,73.5,-32.9,0.0,-32.9,-142.0,4044.7,,,,-4186.7,,,,-314.7,,,,,,,,563.1,156.1,-37.4,-398.9,,,,,-30.5,12.1,-42.6,616.0,6.9,,170.5,28.9,118.0,
03/31/2004,254.5,127.5,17.3,,101.5,,,,101.5,8.2,,,,,,431.7,-13.7,0.0,-13.7,648.4,4703.8,,,,-4055.4,,,,-121.6,,,,,,,,-81.4,-864.7,-41.8,-2971.8,,,,,-27.9,15.4,-43.3,2177.6,-0.8,,-178.5,18.3,124.1,
06/30/2004,111.4,130.8,22.8,,-0.1,,,,-0.1,-42.1,,,,,,-2611.1,-10.2,0.0,-10.2,-160.8,2878.0,,,,-3038.8,,,,-2674.6,,,,,,,,234.5,3055.1,-41.8,3713.1,,,,,-30.2,5.7,-35.9,-568.5,-17.5,,555.4,80.6,115.7,
09/30/2004,229.699997,114.699997,23.200001,,39.700001,,,,39.700001,52.099998,,,,,,2290.300049,-10.3,0.0,-10.3,2065.0,5485.399902,,,,-3420.399902,,,,613.299988,,,,,,,,-377.699939,-2214.599939,-41.799999,-2889.599951,,,,,-32.8,3.7,-36.5,738.700012,10.9,,305.399994,32.799999,148.399994,
12/31/2004,58.400002,132.600006,98.099998,,-171.399994,,,,-171.399994,-0.9,,,,,,-3593.0,-15.1,0.0,-15.1,-2264.700195,3824.0,,,,-6088.700195,,,,-1502.400024,,,,,,,,189.200219,3308.900055,-41.599998,909.300003,,,,,-21.3,10.6,-31.9,2439.800049,22.700001,,-225.699997,33.299999,167.5,
03/31/2005,231.9,139.1,41.5,,93.9,,,,93.9,-42.6,,,,,,471.0,-20.2,0.0,-20.2,239.1,13863.8,,,,-13624.7,,,,997.8,,,,,,,,-745.7,-477.7,-46.0,-1314.2,,,,,-31.9,4.2,-36.1,918.2,-3.8,,225.2,-18.2,193.4,
06/30/2005,26.9,150.0,47.9,,-155.5,,,,-155.5,-15.5,,,,,,1623.4,-16.4,0.0,-16.4,545.3,9098.1,,,,-8552.8,,,,828.5,,,,,,,,266.0,-1998.8,-45.9,59.6,,,,,-26.7,13.0,-39.7,-2039.5,53.7,,-348.5,101.8,223.3,
09/30/2005,83.7,147.7,52.2,,-77.0,,,,-77.0,-39.2,,,,,,-396.1,-15.6,4.9,-20.5,-1335.5,9003.8,,,,-10339.3,,,,1390.3,,,,,,,,-435.3,861.6,-45.8,530.0,,,,,-24.8,17.4,-42.2,438.2,-36.0,,549.2,60.4,238.4,
12/31/2005,242.6,147.6,52.6,,62.6,,,,62.6,-20.2,,,,,,-5770.0,-12.5,16.3,-28.8,-1403.2,22969.1,,,,-24372.3,,,,-4780.8,,,,,,,,426.5,6045.2,-45.8,1073.4,,,,,-31.3,16.0,-47.3,5024.1,24.8,,517.8,35.6,262.2,
03/31/2006,135.0,163.0,50.4,,-14.4,,,,-14.4,-64.0,,,,,,3041.0,-9.4,0.0,-9.4,197.7,33659.3,,,,-33461.6,,,,3155.4,,,,,,,,-302.7,-3356.8,-50.1,604.4,,,,,-16.0,21.5,-37.5,-3910.7,15.6,,-180.8,0.8,319.7,
06/30/2006,48.6,167.9,51.7,,-148.4,,,,-148.4,-22.6,,,,,,-1851.2,-22.7,0.0,-22.7,414.0,21893.0,,,,-21479.0,,,,-2142.1,,,,,,,,-100.4,3343.9,-50.2,-619.7,,,,,-24.5,36.4,-60.9,4074.3,-36.0,,1541.3,198.4,348.4,
09/30/2006,183.8,163.7,56.3,,-4.1,,,,-4.1,-32.1,,,,,,-1916.7,-29.3,0.0,-29.3,-1207.8,17204.0,,,,-18411.8,,,,-897.3,,,,,,,,217.7,1201.1,-50.1,1223.8,,,,,-5.5,19.2,-24.7,-7.2,40.1,,-531.8,55.2,377.0,
12/31/2006,22.4,170.8,56.2,,-183.3,,,,-183.3,-21.3,,,,,,-4657.6,-38.0,0.0,-38.0,-496.3,13296.8,,,,-13793.1,,,,-3460.5,,,,,,,,-662.8,5771.3,-50.1,643.0,,,,,24.3,28.6,-4.3,5144.3,9.8,,1136.1,49.7,418.8,
03/31/2007,111.3,186.7,48.6,,-91.5,,,,-91.5,-32.5,,,,,,-1265.4,-15.5,0.0,-15.5,-49.8,17487.0,,,,-17536.8,,,,-1879.4,,,,,,,,679.3,-1235.4,-54.6,-2960.8,,,,,30.8,32.3,-1.5,1173.4,575.8,,-2389.5,21.2,453.6,
06/30/2007,256.1,206.9,54.5,,-50.8,,,,-50.8,45.5,,,,,,856.1,-23.6,0.0,-23.6,-74.8,23332.4,,,,-23407.2,,,,1563.6,,,,,,,,-609.1,-164.7,-54.9,-831.6,,,,,16.3,65.5,-49.2,868.4,-162.9,,947.5,113.2,465.1,
09/30/2007,234.8,208.3,58.3,,15.1,,,,15.1,-46.9,,,,,,-2365.7,-13.9,0.0,-13.9,952.1,8211.5,,,,-7259.4,,,,-3522.0,,,,,,,,218.1,2483.4,-55.0,652.2,,,,,-25.5,50.7,-76.2,1806.8,104.9,,352.5,48.7,485.1,
12/31/2007,278.5,125.0,68.0,,128.8,,,,128.8,-43.3,,,,,,-4694.2,-200.5,0.0,-200.5,2819.0,9781.3,,,,-6962.3,,,,-7231.9,,,,,,,,-80.8,4465.8,-55.0,1303.4,,,,,15.3,101.4,-86.1,3544.3,-342.2,,50.1,184.9,478.9,
03/31/2008,271.1,385.2,50.9,20.0,-94.0,,,,-94.0,-91.0,,,,,,-8446.7,-21.2,0.0,-21.2,-1758.0,3437.2,,,,-5195.2,,,,-6760.6,,,,,,,,93.1,8315.5,-61.9,1180.1,,,,,-42.8,19.7,-62.5,7179.4,60.7,,139.9,-15.7,440.4,
06/30/2008,300.8,215.6,32.8,30.0,172.6,,,,172.6,-150.2,,,,,,2987.7,-21.4,0.0,-21.4,-1175.2,1742.0,,,,-2917.2,,,,4681.7,,,,,,,,-497.4,-1698.4,-61.6,-3555.2,,,,,50.5,50.8,-0.3,1881.8,-13.9,,1590.1,176.1,361.0,
09/30/2008,347.3,-148.3,80.3,,327.5,,,,327.5,87.8,,,,,,-5391.3,-21.8,0.0,-21.8,-1694.0,790.1,,,,-2484.1,,,,-3456.5,,,,,,,,-219.0,3168.1,-61.9,823.4,,,,,121.1,122.2,-1.1,2164.8,120.7,,-1875.9,127.8,372.2,
12/31/2008,49.0,342.3,56.4,65.0,-762.3,,-280.7,-35.0,-446.6,347.6,,,,,,-3496.9,-243.6,0.0,-243.6,-2434.8,2486.7,,,,-4921.5,,,,-1109.0,,,,,,,,290.5,2433.3,-62.3,1259.6,,,,,1575.8,1580.2,-4.4,-32.7,-307.1,,-1014.6,196.9,226.8,
03/31/2009,446.8,161.8,55.3,55.0,88.6,-0.4,,-2.3,91.3,86.1,-2.8,120.6,-31.7,,0.0,1422.4,-50.2,0.0,-50.2,-2182.8,2314.9,54.7,2260.2,0.0,-4497.7,-31.1,-4466.6,0.0,4867.3,349.5,4517.8,0.0,0.0,0.0,0.0,0.0,-1211.9,-2366.7,-82.4,6778.2,1460.1,5450.2,0.0,-132.1,12.9,17.1,-4.2,-9061.8,-13.6,-46.6,-544.1,106.9,148.4,
06/30/2009,-103.6,314.2,59.0,60.0,-507.1,,,-1.2,-505.9,-29.7,0.4,-51.8,21.7,,0.0,4406.7,-37.1,0.0,-37.1,424.4,3781.3,53.3,3728.0,0.0,-3356.9,-84.5,-3272.4,0.0,3022.7,1360.4,1662.3,0.0,0.0,0.0,0.0,0.0,996.7,-3954.7,-89.3,-3382.5,-1035.6,-2840.0,500.0,-6.9,848.0,851.8,-3.8,236.0,-1566.9,78.8,427.2,82.5,82.8,
09/30/2009,349.3,187.9,62.8,60.0,61.4,4.0,,-0.4,57.8,-22.8,-5.3,-5.1,-12.4,,0.0,-2808.3,-19.3,0.0,-19.3,201.0,4750.0,42.9,4707.1,0.0,-4549.0,-48.6,-4500.4,0.0,-3223.3,797.3,-4020.6,0.0,0.0,0.0,0.0,0.0,233.3,2762.0,-67.6,1018.6,-382.5,1633.9,0.0,-232.8,-83.9,3.7,-87.6,1743.5,151.4,51.6,354.6,111.7,107.3,
12/31/2009,-5247.0,200.3,66.6,40.0,-5593.6,,,-0.3,-5593.3,39.7,0.1,1.6,8.6,29.4,0.0,869.8,-207.6,0.0,-207.6,-571.4,1298.9,68.3,1230.6,0.0,-1870.3,-56.7,-1813.6,0.0,1815.3,325.5,1489.8,0.0,0.0,0.0,0.0,0.0,-166.5,3980.6,-67.6,1380.3,584.3,846.6,0.0,-50.6,2.5,4.6,-2.1,2957.2,-291.8,2.5,-394.1,108.5,81.5,
03/31/2010,34.8,157.2,59.2,40.0,-203.5,-0.3,,,-203.2,-18.1,,0.3,-18.4,,0.0,5506.0,-80.4,0.0,-80.4,229.8,4554.3,215.8,4338.5,0.0,-4324.5,-224.1,-4100.4,0.0,4950.2,-195.5,5145.7,0.0,0.0,0.0,0.0,0.0,406.4,-5365.9,-67.7,-4567.0,-459.6,-3850.9,0.0,-256.5,0.2,4.0,-3.8,-846.1,114.7,-15.0,159.9,-58.5,102.3,
06/30/2010,732.6,199.6,59.5,50.0,372.9,0.1,,-0.8,373.6,50.6,-14.5,51.0,14.1,,0.0,-2724.5,-55.6,0.0,-55.6,-1943.2,1638.5,55.7,1582.8,0.0,-3581.7,-55.4,-3526.3,0.0,-812.6,-468.7,-343.9,0.0,0.0,0.0,0.0,0.0,86.9,2896.8,-67.8,2196.6,-1.6,1623.8,600.0,-25.6,9.8,9.9,-0.1,516.9,241.3,-32.4,872.5,91.8,71.2,
09/30/2010,152.0,155.6,63.8,30.0,70.7,13.5,,-0.1,57.3,-168.1,0.7,-167.1,-1.7,,0.0,-477.1,-75.3,0.0,-75.3,-947.0,2958.4,105.7,2852.7,0.0,-3905.4,-102.9,-3802.5,0.0,954.8,497.6,457.2,0.0,0.0,0.0,0.0,0.0,-409.6,152.8,-69.1,41.9,-42.7,677.4,42.7,-635.5,42.0,44.1,-2.1,493.8,-355.8,137.6,-34.7,103.4,98.2,
12/31/2010,-129.2,157.1,67.0,40.0,-599.4,7.1,,,-606.5,206.1,,25.2,13.7,167.2,0.0,-4072.4,-99.8,0.0,-99.8,-623.6,2710.4,51.9,2658.5,0.0,-3334.0,-66.2,-3267.8,0.0,-3880.0,-313.2,-3566.8,0.0,0.0,0.0,0.0,0.0,531.0,3461.4,-68.6,-2233.5,-69.4,-2663.4,500.0,-0.7,12.5,,,5749.8,1.2,68.7,-671.5,36.4,98.6,
03/31/2011,72.9,151.0,63.5,15.0,-109.9,5.5,,,-115.4,-46.7,,-34.9,-11.8,,0.0,-8005.7,-77.9,0.0,-77.9,-1990.0,4655.4,67.2,4588.2,0.0,-6645.4,-48.0,-6597.4,0.0,-5424.6,201.5,-5626.1,0.0,0.0,0.0,0.0,0.0,-513.2,8684.6,-68.6,1883.8,878.0,1197.7,16.1,-208.0,-9.8,26.4,-36.2,6879.7,-0.5,23.0,774.8,11.3,124.5,
06/30/2011,490.3,152.0,67.3,10.0,130.8,16.6,,,114.2,130.2,,129.2,1.0,,0.0,-3126.5,-19.8,0.0,-19.8,-2007.2,4984.3,88.1,4896.2,0.0,-6991.5,-39.8,-6951.7,0.0,-453.6,-693.1,239.5,0.0,-71.0,0.0,-71.0,0.0,-574.9,4025.2,-68.5,-2308.3,1097.7,-3280.2,,-125.8,-24.0,16.2,-40.2,6425.5,0.5,117.3,1506.3,66.8,112.6,
09/30/2011,-700.2,170.4,65.8,17.5,-976.5,2.0,,,-978.5,22.6,,10.2,12.4,,0.0,2215.9,-177.2,0.0,-177.2,-4312.5,7040.2,40.6,6999.6,0.0,-11352.7,-13.7,-11339.0,0.0,6026.9,-143.3,6170.2,0.0,-101.6,0.0,-101.6,0.0,780.3,-2061.6,-68.4,-3021.1,-1453.4,-1505.6,500.0,-562.1,14.8,16.1,-1.3,1013.1,0.0,-216.6,-762.5,45.5,77.8,
12/31/2011,1391.3,130.2,68.5,12.5,1576.4,-0.2,,,1576.6,-396.3,,-284.2,3.4,-115.5,0.0,-6472.1,-96.2,0.0,-96.2,-1784.2,6675.9,77.0,6598.9,0.0,-8460.1,-46.1,-8414.0,0.0,-4985.3,-383.0,-4602.3,0.0,0.0,0.0,0.0,0.0,393.6,5155.4,-68.2,1044.5,108.2,937.2,0.0,-0.9,15.6,16.9,-1.3,4163.5,0.0,-95.9,-21.3,29.7,79.6,
03/31/2012,757.6,161.2,71.6,5.0,551.0,2.4,,,548.6,-31.2,,-17.4,-13.8,,0.0,7903.1,-57.3,0.0,-57.3,-568.2,8592.1,143.9,8448.2,0.0,-9160.3,-53.2,-9107.1,0.0,8778.9,-97.3,8876.2,0.0,0.0,0.0,0.0,0.0,-250.3,-8787.3,-67.5,8.6,115.9,243.6,0.0,-350.9,16.2,30.6,-14.4,-8744.6,0.0,91.6,-35.0,4.8,413.3,
